# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-12 09:55:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmppskox6w4\ezya6fh9.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\samples\cereal_1_fit-20220612115517_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 1.01207
# Diagonal elements of inverse mass matrix:
# 4.27658, 0.00615037
-264.382,0.821507,1.01207,2,3,0,266.589,108.435,20.6965,-337.96,117.759
-265.199,0.874244,1.01207,2,3,0,265.913,108.347,17.3909,-338.637,98.3205
-264.509,1,1.01207,2,3,0,265.522,108.167,21.1119,-338.104,111.764
-263.997,1,1.01207,2,3,0,264.399,106.159,18.9463,-337.506,91.291
-264.106,0.962644,1.01207,2,3,0,264.28,107.844,18.7138,-337.606,142.635
-264.314,0.803814,1.01207,2,3,0,265.554,105.83,20.8102,-337.897,119.576
-264.162,0.901347,1.01207,2,3,0,265.435,107.929,18.614,-337.657,86.3042
-266.999,0.654224,1.01207,2,3,0,267.093,107.799,24.1144,-340.698,94.8315
-265.9,1,1.01207,2,3,0,267.901,106.926,16.6787,-339.305,120.121
-264.039,1,1.01207,2,3,0,265.938,107.672,20.1681,-337.599,90.2544
-264.011,0.92015,1.01207,2,3,0,264.742,106,19.0097,-337.523,107.459
-264.218,0.896576,1.01207,1,3,0,264.718,108.648,19.8152,-337.761,103.333
-264.11,0.932685,1.01207,1,3,0,264.874,105.519,19.0993,-337.625,68.5219
-265.998,0.800068,1.01207,2,3,0,266.212,111.392,19.3639,-339.502,127.71
-264.759,1,1.01207,1,1,0,265.772,109.735,19.1882,-338.27,130.65
