# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-12 09:55:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\user\AppData\Local\Temp\tmppskox6w4\ezya6fh9.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\samples\cereal_1_fit-20220612115517_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.948034
# Diagonal elements of inverse mass matrix:
# 5.20694, 0.00575351
-264.389,0.698659,0.948034,2,3,0,268.84,104.811,20.1521,-337.943,106.833
-263.916,0.978428,0.948034,1,3,0,264.591,107.4,19.6122,-337.454,89.476
-264.077,0.968741,0.948034,2,3,0,264.151,107.842,18.8041,-337.58,111.613
-265.726,0.763573,0.948034,2,3,0,265.917,109.058,22.5155,-339.368,108.317
-263.924,0.732087,0.948034,2,3,0,268.663,106.892,19.0249,-337.438,110.023
-264.231,0.957193,0.948034,2,3,0,264.262,105.637,20.5066,-337.803,122.254
-264.331,0.995054,0.948034,2,3,0,264.41,106.199,20.9671,-337.922,69.9567
-264.476,0.987673,0.948034,2,3,0,264.597,107.475,17.9178,-337.941,111.917
-264.879,0.699283,0.948034,2,3,0,266.647,106.251,21.8665,-338.503,132.146
-265.232,0.944722,0.948034,3,7,0,265.788,103.658,21.0109,-338.812,100.56
-264.072,0.985532,0.948034,2,7,0,265.069,107.541,18.6563,-337.569,152.439
-265.088,0.638261,0.948034,2,3,0,266.802,107.87,22.0852,-338.719,112.935
-266.181,0.855546,0.948034,1,1,0,266.209,108.951,23.0734,-339.843,87.5122
-264.332,1,0.948034,2,3,0,266.079,104.798,19.6806,-337.867,112.59
-264.36,0.99766,0.948034,2,3,0,264.421,108.936,19.1018,-337.872,90.2375
-265.797,0.745626,0.948034,2,3,0,267.372,103.041,18.4505,-339.266,113.448
-264.376,1,0.948034,1,1,0,265.403,104.81,19.0756,-337.886,110.005
-265.846,0.689034,0.948034,2,3,0,267.063,107.639,16.7601,-339.256,106.963
-264.007,1,0.948034,2,3,0,265.547,106.901,20.268,-337.572,91.9873
-264.128,0.787929,0.948034,2,3,0,265.75,108.238,20.0427,-337.681,117.339
-264.187,0.887582,0.948034,2,3,0,265.153,105.174,19.4164,-337.713,87.6084
-264.366,0.952652,0.948034,2,3,0,264.766,107.136,18.0201,-337.836,93.6095
-264.883,0.677486,0.948034,2,7,0,266.923,108.727,21.5013,-338.49,103.914
-267.885,0.824589,0.948034,2,3,0,268.113,101.514,17.9557,-341.314,141.93
-267.384,1,0.948034,2,3,0,268.366,112.3,22.1257,-340.983,138.606
-265.597,1,0.948034,1,1,0,267.127,110.246,21.5831,-339.199,145.716
-264.919,0.969694,0.948034,2,3,0,265.763,103.877,18.9533,-338.417,121.847
-264.094,0.951361,0.948034,2,3,0,265.371,107.264,18.5186,-337.586,98.2382
-263.897,0.985606,0.948034,1,3,0,264.199,106.562,19.5626,-337.433,84.0213
-264.201,0.938529,0.948034,1,3,0,264.32,106.437,20.7434,-337.784,90.4102
-264.078,0.931571,0.948034,2,3,0,264.866,107.67,18.6983,-337.577,143.221
-264.601,0.900414,0.948034,2,7,0,264.932,109.032,20.742,-338.179,79.3107
-266.55,0.716051,0.948034,2,3,0,267.021,103.315,22.7727,-340.189,94.6668
-265.675,1,0.948034,1,1,0,266.515,103.821,21.9583,-339.29,91.3692
-264.557,1,0.948034,2,3,0,265.605,105.97,21.3223,-338.16,108.152
-263.981,0.962151,0.948034,2,3,0,265.056,107.833,19.3417,-337.507,110.783
-265.047,0.800987,0.948034,1,3,0,265.476,109.625,21.1606,-338.637,117.83
-264.657,1,0.948034,1,1,0,265.046,109.238,20.6703,-338.231,95.5833
-267.034,0.72817,0.948034,2,7,0,267.379,101.948,22.1984,-340.638,90.3758
-264.355,1,0.948034,2,3,0,266.617,108.88,20.138,-337.91,85.6806
-264.757,0.801348,0.948034,2,3,0,266.243,104.219,18.8066,-338.252,77.3319
-263.978,1,0.948034,2,3,0,264.775,106.187,19.9466,-337.529,120.668
-263.994,0.973375,0.948034,1,3,0,264.272,107.188,18.7781,-337.497,86.5663
-264.433,0.835246,0.948034,2,3,0,264.841,104.569,19.5439,-337.961,115.883
-264.893,0.910954,0.948034,1,1,0,264.958,103.752,19.9491,-338.431,87.6136
-264.456,1,0.948034,2,3,0,264.891,104.878,20.4921,-338.024,98.7868
-264.515,0.869186,0.948034,1,3,0,265.775,109.281,20.0895,-338.066,98.1133
-264.288,1,0.948034,2,3,0,264.74,108.673,18.9418,-337.795,72.5444
-264.029,0.978277,0.948034,2,3,0,264.55,107.762,20.0666,-337.585,97.9173
-265.403,0.81195,0.948034,2,3,0,265.955,108.327,17.2149,-338.832,107.423
-265.264,0.9556,0.948034,2,3,0,266.077,103.842,21.2906,-338.855,126.339
-266.199,0.802452,0.948034,2,3,0,267.477,107.283,23.3993,-339.875,68.6039
-265.83,0.93674,0.948034,2,3,0,267.749,109.515,22.4348,-339.467,122.002
-263.943,0.895482,0.948034,1,3,0,267.074,106.251,19.1762,-337.463,99.5338
-264.542,0.818048,0.948034,1,3,0,265.213,108.328,21.1021,-338.137,87.8011
-264.107,0.914136,0.948034,1,3,0,265.48,105.72,18.867,-337.612,123.748
-264.258,0.980353,0.948034,2,3,0,264.338,107.795,20.7422,-337.84,140.289
-264.255,1,0.948034,2,3,0,264.363,107.022,20.8946,-337.844,123.116
-264.326,0.965531,0.948034,2,3,0,264.745,106.985,21.038,-337.921,97.3808
-263.972,0.886372,0.948034,2,3,0,265.453,107.789,19.6216,-337.51,136.6
-264.189,0.937621,0.948034,2,3,0,264.49,108.304,18.8345,-337.692,105.864
-264.054,1,0.948034,2,3,0,264.174,107.833,18.879,-337.561,87.7178
-264.556,0.918539,0.948034,2,3,0,264.719,109.45,19.6258,-338.087,110.906
-264.213,1,0.948034,1,1,0,264.495,108.668,19.657,-337.75,95.4612
-264.213,0.696496,0.948034,2,3,0,267.176,108.668,19.657,-337.75,118.293
-264.916,0.902601,0.948034,2,3,0,265.323,106.41,17.4245,-338.357,126.051
-264.044,0.965972,0.948034,2,3,0,265.227,105.653,19.6321,-337.581,95.601
-264.022,1,0.948034,1,1,0,264.067,105.78,19.7444,-337.564,100.22
-264.348,0.97067,0.948034,2,7,0,264.354,108.527,18.5999,-337.841,95.5648
-264.348,0.560646,0.948034,1,3,0,268.78,108.527,18.5999,-337.841,105.075
-264.505,0.949471,0.948034,2,7,0,265.071,105.743,21.1604,-338.102,127.38
-265.282,0.835722,0.948034,2,3,0,266.138,103.549,18.6288,-338.763,87.2784
-264.266,1,0.948034,2,3,0,265.397,108.403,18.6973,-337.763,117.269
-264.07,1,0.948034,1,1,0,264.234,108.02,18.9877,-337.581,128.522
-265.317,0.841172,0.948034,2,3,0,265.563,109.04,21.9956,-338.941,114.528
-266.098,0.899003,0.948034,1,1,0,266.145,109.76,22.6368,-339.74,116.526
-264.319,0.9961,0.948034,2,3,0,265.986,104.899,19.9638,-337.866,106.862
-264.339,0.995518,0.948034,2,3,0,264.675,107.543,20.9893,-337.931,90.0786
-264.702,0.919688,0.948034,2,3,0,265.206,109.541,18.9574,-338.205,127.663
