# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-12 13:04:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\dx9r5ynd.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_fit-20220612150446_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.737835
# Diagonal elements of inverse mass matrix:
# 5.59832, 0.00670957
-260.901,0.987365,0.737835,3,7,0,261.603,106.263,19.636,-333.521,101.083
-261.556,0.871307,0.737835,2,3,0,262.418,107.38,17.8425,-334.098,116.241
-261.902,0.903837,0.737835,3,7,0,262.819,106.308,22.087,-334.615,122.372
-261.041,0.989096,0.737835,3,7,0,262.235,108.125,19.0722,-333.637,132.75
-261.477,0.945514,0.737835,2,3,0,261.718,108.102,18.1102,-334.03,107.792
-262.34,0.929953,0.737835,3,7,0,262.72,109.749,21.8786,-335.037,126.163
-261.322,0.895457,0.737835,2,3,0,263.963,108.342,18.4726,-333.891,141.532
-260.873,1,0.737835,2,3,0,261.265,106.509,19.4882,-333.487,87.515
-261.89,0.827449,0.737835,2,3,0,262.607,104.157,20.9746,-334.553,101.167
-264.683,0.759916,0.737835,2,3,0,267.026,109.405,16.243,-337.14,113.905
-262.353,0.870974,0.737835,2,3,0,266.674,106.22,22.6492,-335.086,116.745
-261.665,0.970087,0.737835,3,7,0,263.741,107.948,17.826,-334.206,73.0116
-261.665,0.958591,0.737835,1,1,0,261.969,107.948,17.826,-334.206,95.3877
-261.004,0.866331,0.737835,3,7,0,263.279,106.971,20.4898,-333.658,124.72
-261.97,0.923374,0.737835,2,3,0,262.06,110.216,19.2178,-334.56,122.816
-261,1,0.737835,2,3,0,262.136,107.878,19.0176,-333.594,129.609
-261.055,0.997775,0.737835,3,7,0,261.08,107.751,18.7598,-333.638,118.109
-260.996,0.929334,0.737835,1,3,0,261.845,107.102,20.4611,-333.649,143.591
-262.567,0.890612,0.737835,2,3,0,262.605,110.379,21.7301,-335.254,159.262
-261.301,1,0.737835,2,3,0,262.76,109.038,19.324,-333.904,131.342
-261.15,0.997141,0.737835,3,7,0,261.645,107.729,18.5251,-333.722,130.029
-261.65,0.863154,0.737835,2,3,0,262.734,104.177,20.1116,-334.279,79.6646
-261.78,0.989869,0.737835,3,7,0,262.407,109.212,18.2994,-334.338,117.637
-261.224,0.972257,0.737835,2,3,0,262.168,107.529,18.3287,-333.788,90.6684
-262.314,0.872708,0.737835,2,3,0,262.732,103.153,19.5914,-334.914,103.605
-261.687,0.969218,0.737835,2,3,0,263.599,106.685,21.8209,-334.391,102.916
-260.971,1,0.737835,2,3,0,261.656,107.685,20.1984,-333.613,137.976
-261.227,0.973805,0.737835,2,3,0,261.318,105.239,20.2915,-333.87,103.724
