# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-12 18:33:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\n1yr1i80.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_fit-20220612203309_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.765294
# Diagonal elements of inverse mass matrix:
# 5.45341, 0.00653634
-262.091,0.929421,0.765294,2,3,0,262.218,109.532,18.1138,-334.638,107.252
-262.091,0.94117,0.765294,1,1,0,262.484,109.532,18.1138,-334.638,103.524
-262.885,0.950116,0.765294,2,3,0,263.099,109.348,17.25,-335.393,82.028
-261.914,1,0.765294,2,3,0,262.862,107.65,17.5091,-334.441,137.975
-261.101,1,0.765294,2,3,0,262.018,105.453,19.3185,-333.706,117.116
-261.151,0.875777,0.765294,1,3,0,262.266,107.873,20.702,-333.813,88.5662
-261.926,0.807117,0.765294,1,3,0,264.128,107.948,17.5562,-334.454,97.1026
-262.149,0.934586,0.765294,3,7,0,263.13,106.435,22.4252,-334.874,136.722
-261.374,1,0.765294,2,3,0,262.252,107.563,21.2706,-334.057,126.421
-261.904,0.962977,0.765294,2,3,0,262.334,109.42,18.2824,-334.459,127.799
-262.005,0.932195,0.765294,2,3,0,262.787,103.56,19.9563,-334.623,114.02
-261.104,1,0.765294,2,3,0,262.033,108.143,20.406,-333.754,113.944
-261.665,0.944908,0.765294,3,7,0,261.894,104.113,19.8812,-334.285,77.3956
-261.811,0.878798,0.765294,3,7,0,263.56,110.07,20.0443,-334.436,132.084
-262.382,0.938272,0.765294,2,3,0,263.041,110.46,21.2748,-335.051,109.531
-260.91,0.921788,0.765294,1,3,0,263.817,107.397,19.1227,-333.509,106.176
-261.108,0.953395,0.765294,2,3,0,261.382,105.378,19.7542,-333.73,99.3013
-261,0.931491,0.765294,1,3,0,261.828,107.951,20.1342,-333.639,86.8269
-261.605,0.932129,0.765294,2,3,0,261.766,109.472,18.9314,-334.188,92.857
-262.226,0.893703,0.765294,1,1,0,262.273,110.486,19.0129,-334.805,57.1906
-261.89,1,0.765294,1,1,0,262.284,110.167,19.4515,-334.49,111.792
-262.519,0.932384,0.765294,3,7,0,263.215,103.873,21.9168,-335.214,121.197
-261.005,0.948405,0.765294,2,3,0,263.461,105.821,19.9405,-333.636,92.0502
-261.005,0.838352,0.765294,1,3,0,262.553,105.821,19.9405,-333.636,114.849
-261.033,0.991093,0.765294,3,7,0,261.22,108.244,19.2906,-333.637,104.844
-261.833,0.914406,0.765294,2,3,0,262.039,110.033,20.3542,-334.47,99.5769
-261.139,1,0.765294,2,3,0,261.899,105.362,20.0291,-333.772,89.28
-261.414,0.970682,0.765294,2,3,0,261.616,108.303,18.2902,-333.975,114.151
-261.486,0.970733,0.765294,3,7,0,261.991,105.578,21.2247,-334.166,122.709
-261.053,0.99486,0.765294,2,3,0,261.624,106.761,18.61,-333.63,131.805
-263.317,0.740535,0.765294,2,3,0,263.667,111.552,21.7004,-335.991,110.737
-262.858,0.882337,0.765294,3,7,0,266.373,102.487,19.6489,-335.454,77.6178
