# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-12 18:33:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\n1yr1i80.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_fit-20220612203309_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.875296
# Diagonal elements of inverse mass matrix:
# 4.93242, 0.00556894
-261.103,0.940609,0.875296,2,3,0,262.39,106.933,20.7626,-333.768,132.232
-261.554,0.93251,0.875296,2,3,0,261.865,109.141,20.846,-334.216,104.852
-261.854,0.984248,0.875296,2,7,0,261.937,105.081,17.9748,-334.398,90.2501
-263.536,0.648982,0.875296,1,1,0,263.575,103.409,17.4406,-336.044,88.156
-261.221,1,0.875296,2,3,0,263.27,108.813,19.2537,-333.822,122.721
-261.992,0.902362,0.875296,2,3,0,262.446,106.678,17.3981,-334.513,93.9254
-261.201,0.993556,0.875296,3,7,0,262.032,106.619,18.3319,-333.766,139.982
-261.878,0.904759,0.875296,2,3,0,262.201,104.791,21.509,-334.565,108.097
-263.96,0.837795,0.875296,2,3,0,264.392,112.592,19.7993,-336.547,137.693
-261.379,0.691133,0.875296,1,3,0,267.192,105.625,21.0293,-334.052,120.139
-261.112,1,0.875296,2,3,0,261.364,106.446,20.7237,-333.775,130.766
-261.232,0.959812,0.875296,2,3,0,261.674,108.674,18.9763,-333.821,128.362
-261.294,0.986897,0.875296,2,7,0,261.663,107.179,18.1674,-333.851,101.956
-262.189,0.804231,0.875296,2,3,0,262.988,104.769,21.9947,-334.893,129.407
-263.737,0.661431,0.875296,2,3,0,266.411,110.04,23.489,-336.486,130.264
-264.532,0.925994,0.875296,1,1,0,264.649,110.11,24.2689,-337.305,110.444
-262.663,0.996312,0.875296,2,3,0,265.272,111.07,20.9705,-335.315,141.361
-263.131,0.77921,0.875296,2,3,0,265.813,108.919,16.9124,-335.625,96.9294
-261.946,1,0.875296,2,3,0,263.288,104.785,21.6232,-334.637,84.6774
-262.34,0.929469,0.875296,3,7,0,263.199,103.09,19.8113,-334.949,82.5909
-262.446,0.996072,0.875296,2,7,0,262.635,110.972,20.3366,-335.075,65.7329
-261.919,1,0.875296,1,1,0,262.445,110.015,20.7309,-334.572,95.109
-261.187,1,0.875296,2,3,0,262.033,107.228,20.9445,-333.858,75.4856
-261.611,0.95707,0.875296,2,3,0,261.853,104.591,20.765,-334.269,99.9605
-262.247,0.959496,0.875296,3,7,0,262.438,109.381,17.8297,-334.782,132.991
-262.909,0.855182,0.875296,2,3,0,264.673,105.429,16.9353,-335.405,111.789
-262.185,1,0.875296,1,1,0,262.865,105.857,17.3591,-334.703,115.341
-261.785,1,0.875296,2,3,0,262.579,107.364,21.9552,-334.493,116.76
-260.87,0.964868,0.875296,1,3,0,262.152,106.953,19.8952,-333.501,93.3137
-261.19,0.911453,0.875296,2,3,0,261.664,106.129,20.821,-333.856,107.923
-260.914,1,0.875296,2,3,0,261.198,106.698,19.0499,-333.51,121.287
-260.982,0.95252,0.875296,1,3,0,261.339,106.637,20.3838,-333.632,111.093
-261.541,0.959461,0.875296,2,3,0,261.606,108.948,18.4901,-334.108,106.736
-261.721,0.997841,0.875296,2,3,0,262.158,107.31,17.6553,-334.255,134.821
-262.057,0.932401,0.875296,1,1,0,262.144,107.577,17.3716,-334.577,115.095
-263.274,0.725122,0.875296,2,3,0,264.333,102.995,22.3242,-335.975,108.74
-262.7,1,0.875296,1,1,0,263.311,103.96,22.2528,-335.408,119.135
-262.168,0.770159,0.875296,2,7,0,265.844,109.836,21.5178,-334.851,130.285
-262.842,0.933032,0.875296,2,3,0,263.505,102.558,19.4279,-335.429,81.9436
-262.071,1,0.875296,2,3,0,263.29,103.919,21.1182,-334.737,96.6096
-260.855,0.940005,0.875296,1,3,0,262.878,107.2,19.5794,-333.473,90.3211
-261.362,0.904382,0.875296,1,3,0,261.696,105.975,18.232,-333.921,125.187
-260.986,0.984017,0.875296,2,3,0,261.694,105.822,19.7358,-333.609,85.0536
-261.183,0.860977,0.875296,2,3,0,262.403,107.804,18.4846,-333.754,128.034
-260.873,1,0.875296,2,7,0,261.139,106.894,19.9108,-333.504,131.253
-261.069,0.863052,0.875296,2,3,0,262.339,107.79,18.7404,-333.651,86.8636
-261.222,0.985629,0.875296,3,7,0,261.401,106.895,21.0312,-333.897,137.436
-262.785,0.794099,0.875296,2,3,0,264.284,102.672,19.2719,-335.367,110.873
-260.971,1,0.875296,2,3,0,262.444,107.936,19.9804,-333.604,90.6926
-261.018,0.994298,0.875296,2,3,0,261.121,107.073,18.6851,-333.598,68.5899
-260.86,0.925804,0.875296,3,7,0,261.684,106.759,19.4103,-333.471,126.217
-260.877,0.956538,0.875296,2,3,0,261.211,106.461,19.5597,-333.493,147.877
-260.962,0.972936,0.875296,2,3,0,261.1,107.422,18.9126,-333.552,86.128
-264.247,0.558315,0.875296,3,7,0,265.696,111.436,17.5859,-336.753,124.924
-261.649,0.745682,0.875296,2,3,0,266.973,108.261,21.559,-334.341,125.921
-261.168,0.994527,0.875296,2,3,0,261.905,108.667,20.0493,-333.801,141.604
-260.875,1,0.875296,2,3,0,261.126,106.643,19.3104,-333.482,102.329
-262.243,0.714523,0.875296,1,3,0,263.503,104.114,21.6518,-334.93,77.2317
-261.562,0.999595,0.875296,2,3,0,262.633,108.081,21.4733,-334.252,127.904
-261.093,1,0.875296,2,3,0,261.598,106.873,20.736,-333.757,114.285
-260.908,0.956553,0.875296,3,7,0,261.603,106.779,20.1111,-333.548,114.778
-261.756,0.931731,0.875296,2,3,0,261.794,109.282,18.3967,-334.317,114.718
-261.371,1,0.875296,1,1,0,261.705,108.742,18.6631,-333.946,116.113
-261.135,1,0.875296,2,3,0,261.408,107.618,18.5195,-333.708,99.0764
-260.998,0.980791,0.875296,2,3,0,261.451,105.928,20.0498,-333.634,94.2762
-261.643,0.697015,0.875296,2,3,0,264.885,108.274,17.9565,-334.189,106.195
-262.875,0.815326,0.875296,2,3,0,263.733,110.426,22.1859,-335.578,140.242
-262.382,0.989256,0.875296,3,7,0,263.208,110.9,20.2366,-335.008,154.664
-261.685,1,0.875296,2,3,0,262.872,108.376,21.5765,-334.378,70.5359
-261.425,0.985922,0.875296,2,3,0,262.113,109.322,20.0783,-334.056,90.0709
-261.919,0.734035,0.875296,2,3,0,264.241,104.925,17.9835,-334.463,155.945
-261.781,0.802722,0.875296,3,7,0,264.702,109.609,18.6867,-334.352,125.508
-262.569,0.827464,0.875296,2,3,0,264.459,102.875,20.6121,-335.207,115.954
-261.416,0.941812,0.875296,2,3,0,263.29,106.462,21.3609,-334.103,124.603
-263.02,0.86978,0.875296,2,3,0,263.344,102.346,20.7735,-335.659,94.3574
