# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-12 20:29:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\ducjxu2u.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_fit-20220612222943_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.869688
# Diagonal elements of inverse mass matrix:
# 5.13676, 0.00617787
-262.093,0.960093,0.869688,2,3,0,265.925,105.526,20.6967,-333.925,148.401
-261.708,0.94564,0.869688,1,3,0,262.7,107.735,19.1854,-333.542,115.589
-261.834,0.937826,0.869688,1,3,0,262.202,105.559,19.5049,-333.666,62.7437
-262.097,0.96612,0.869688,2,3,0,262.31,105.593,20.747,-333.929,76.1902
-262.298,0.969408,0.869688,1,1,0,262.341,104.919,20.7303,-334.127,61.0522
-261.713,0.998437,0.869688,2,7,0,262.207,107.769,19.1896,-333.547,86.2686
-262.207,0.830107,0.869688,2,7,0,263.031,104.796,20.3124,-334.036,106.555
-261.966,1,0.869688,1,1,0,262.185,105.257,19.9868,-333.798,112.174
-262.243,0.986105,0.869688,2,3,0,262.343,105.29,20.891,-334.074,136.431
-262.239,0.968121,0.869688,2,3,0,262.821,104.529,19.8034,-334.067,92.6036
-262.528,0.937249,0.869688,2,3,0,263.495,109.351,18.3967,-334.353,130.324
-261.865,0.884422,0.869688,2,3,0,263.515,107.032,20.5983,-333.699,132.842
-263.231,0.872019,0.869688,2,3,0,263.437,109.048,22.2711,-335.055,95.2613
-261.831,0.882304,0.869688,1,3,0,264.84,107.832,18.7266,-333.663,112.208
-261.848,0.969899,0.869688,2,3,0,262.167,107.599,18.58,-333.68,82.5308
-261.958,0.867115,0.869688,1,3,0,262.942,106.126,20.67,-333.792,96.2014
-262.032,0.976336,0.869688,2,3,0,262.398,108.739,18.9119,-333.862,105.625
-263.032,0.801771,0.869688,2,3,0,263.889,107.034,17.1053,-334.855,114.741
-262.245,0.88905,0.869688,2,3,0,264.254,108.797,18.4323,-334.073,98.1701
-261.963,0.974856,0.869688,2,3,0,262.672,108.608,20.1106,-333.795,112.035
-261.831,1,0.869688,1,1,0,261.955,108.305,19.8419,-333.664,92.1078
-261.971,0.922488,0.869688,3,7,0,262.677,105.473,18.8034,-333.801,120.174
-263.656,0.751487,0.869688,2,3,0,264.304,102.656,20.9401,-335.466,66.6845
-264.286,0.929616,0.869688,2,7,0,264.571,112.014,19.2254,-336.089,111.94
-262.098,0.998996,0.869688,2,7,0,263.967,105.596,20.7497,-333.93,94.4374
-262.544,0.901969,0.869688,2,3,0,263.47,109.652,18.7089,-334.368,86.2733
-262.799,0.987572,0.869688,3,7,0,263.394,108.873,21.7533,-334.626,93.8278
-262.084,0.993552,0.869688,2,3,0,263.103,106.576,18.0908,-333.914,82.4878
-262.522,0.9579,0.869688,2,3,0,262.629,106.841,21.7748,-334.353,100.999
-262.572,0.989053,0.869688,2,3,0,263.24,109.999,20.0566,-334.396,103.398
-263.907,0.904652,0.869688,2,3,0,264.379,110.689,22.1806,-335.72,129.38
-261.649,0.998365,0.869688,3,7,0,263.584,106.562,19.5297,-333.483,112.858
-264.515,0.760903,0.869688,2,3,0,264.931,110.861,17.4575,-336.322,126.871
-262.37,1,0.869688,2,3,0,264.115,109.528,19.0102,-334.195,80.3174
-263.352,0.860311,0.869688,2,3,0,263.944,104.079,21.9984,-335.171,99.6373
-261.756,0.960803,0.869688,2,3,0,264.05,107.396,20.2259,-333.59,80.8517
-261.725,0.986839,0.869688,2,7,0,261.907,106.144,19.8403,-333.559,111.286
-261.646,0.999951,0.869688,2,7,0,261.714,107.224,19.271,-333.48,84.3456
-261.646,0.79023,0.869688,1,3,0,263.19,107.224,19.271,-333.48,127.545
-262.396,0.906701,0.869688,2,3,0,262.401,107.193,21.5866,-334.228,121.462
-261.952,1,0.869688,2,3,0,262.569,108.756,19.504,-333.783,103.259
-262.24,0.88954,0.869688,2,3,0,263.216,106.544,21.3212,-334.073,116.581
-261.665,0.98294,0.869688,1,3,0,262.403,107.34,19.8007,-333.5,111.311
-261.663,0.998572,0.869688,2,3,0,261.696,106.79,19.8553,-333.498,134.293
