# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-13 18:44:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbw1k1b7l\ummwngff.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_fit-20220613204410_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.956861
# Diagonal elements of inverse mass matrix:
# 5.88865, 0.00602453
-261.959,0.999112,0.956861,2,3,0,262.171,105.468,20.2507,-333.791,126.359
-262.363,0.881571,0.956861,2,3,0,262.929,106.415,17.7533,-334.191,81.5954
-262.15,0.874885,0.956861,2,3,0,263.611,107.927,18.1231,-333.979,113.017
-261.811,1,0.956861,2,3,0,262.19,107.163,20.4457,-333.646,146.281
-262.492,0.620458,0.956861,2,3,0,265.525,107.906,21.6303,-334.323,125.043
-262.039,0.882361,0.956861,2,7,0,263.666,105.285,18.7942,-333.869,87.7255
-262.641,0.945443,0.956861,2,3,0,262.788,110.139,19.5454,-334.464,122.372
-262.457,1,0.956861,2,3,0,262.723,104.13,19.4117,-334.282,119.447
-265.206,0.730443,0.956861,2,3,0,265.947,110.126,16.5872,-337.013,127.604
-263.448,1,0.956861,1,1,0,264.909,108.461,17.0144,-335.268,104.331
-261.844,0.97603,0.956861,2,3,0,263.732,105.596,19.1986,-333.676,98.3651
-261.829,0.90963,0.956861,2,3,0,262.446,105.592,19.6811,-333.662,112.099
-263.858,0.737851,0.956861,2,3,0,264.123,103.491,17.7008,-335.67,121.399
-263.162,1,0.956861,2,3,0,264.365,109.705,21.8283,-334.984,83.2629
-263.531,0.951627,0.956861,1,1,0,263.712,109.594,22.4004,-335.351,119.126
-261.791,1,0.956861,2,3,0,263.14,105.925,19.0181,-333.623,89.5127
-261.862,0.9926,0.956861,2,7,0,261.946,107.289,20.5698,-333.697,64.9238
-261.876,0.928105,0.956861,1,3,0,262.523,106.332,18.5198,-333.707,86.5015
-261.977,0.889921,0.956861,2,7,0,262.695,106.211,20.7442,-333.811,100.8
-262.596,0.883566,0.956861,2,3,0,262.945,109.426,21.0508,-334.422,118.461
-262.082,1,0.956861,1,1,0,262.507,108.552,20.5758,-333.914,127.225
-262.882,0.940949,0.956861,2,3,0,262.941,110.447,20.2714,-334.702,121.779
-262.779,1,0.956861,1,1,0,263.095,110.194,20.5043,-334.601,122.925
-263.068,0.94331,0.956861,2,3,0,263.261,103.518,18.7083,-334.885,104.33
-262.757,1,0.956861,2,3,0,263.496,108.366,21.8876,-334.586,112.234
