# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-13 19:03:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbw1k1b7l\s5f5dw6h.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_fit-20220613210336_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.816493
# Diagonal elements of inverse mass matrix:
# 3.02624, 0.00713215
-235.961,1,0.816493,2,3,0,236.503,104.959,14.0726,-307.736,117.262
-236.323,0.961925,0.816493,2,3,0,236.477,104.963,14.934,-308.114,93.8027
-237.353,0.681692,0.816493,2,3,0,240.03,106.344,15.3392,-309.155,76.4797
-236.111,0.961019,0.816493,2,3,0,238.194,102.87,14.222,-307.873,103.03
-237.87,0.8083,0.816493,2,3,0,238.114,104.875,16.4554,-309.682,106.22
-239.605,0.851388,0.816493,2,3,0,241.026,100.706,16.6402,-311.375,106.165
-236.653,0.964949,0.816493,2,3,0,240.419,103.83,15.4793,-308.445,109.099
-236.501,0.992528,0.816493,2,3,0,237.065,105.605,13.207,-308.259,112.413
-236.823,0.879971,0.816493,2,3,0,238.28,101.921,14.6211,-308.581,93.7812
-236.898,0.876798,0.816493,2,7,0,238.693,102.827,12.6106,-308.62,107.11
-237.823,0.84727,0.816493,2,3,0,238.442,104.529,16.466,-309.632,124.906
-237.47,1,0.816493,1,1,0,237.932,104.806,16.1544,-309.278,97.736
-238.953,0.913229,0.816493,2,3,0,239.991,105.926,11.8052,-310.669,114.095
-236.453,1,0.816493,2,7,0,238.509,102.942,15.0032,-308.23,82.0321
-235.809,0.945801,0.816493,2,3,0,237.131,104.262,14.0277,-307.579,95.1549
-237.725,0.624377,0.816493,1,3,0,239.154,101.635,15.6284,-309.496,84.1901
-237.484,0.928232,0.816493,2,3,0,238.674,104.872,12.1187,-309.207,84.6103
-237.893,0.969277,0.816493,2,3,0,238.191,104.74,11.9034,-309.607,107.125
-235.854,0.990713,0.816493,2,3,0,238.051,103.957,13.4963,-307.609,95.6008
-235.932,0.979985,0.816493,2,3,0,236.033,103.354,13.5825,-307.685,94.2818
-236.591,0.925852,0.816493,2,3,0,236.71,103.146,15.2685,-308.374,107.704
-235.863,0.963807,0.816493,2,3,0,237.014,104.589,14.092,-307.636,105.008
-236.505,0.914164,0.816493,2,3,0,236.557,102.914,15.0603,-308.283,80.4348
