# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-13 19:03:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbw1k1b7l\s5f5dw6h.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_fit-20220613210336_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.791014
# Diagonal elements of inverse mass matrix:
# 2.47371, 0.00650242
-237.022,0.950022,0.791014,3,7,0,238.727,106.084,13.0285,-308.776,118.222
-238.472,0.722348,0.791014,1,1,0,238.502,106.823,12.539,-310.213,127.799
-237.49,0.947103,0.791014,3,7,0,240.576,101.153,13.8377,-309.222,108.69
-236.016,0.992487,0.791014,2,3,0,237.66,103.536,13.255,-307.762,119.872
-235.921,0.997282,0.791014,3,7,0,236.154,103.744,14.4137,-307.694,125.137
-237.042,0.893494,0.791014,2,3,0,237.127,104.84,15.7782,-308.846,98.0204
-236.866,0.98092,0.791014,3,7,0,237.589,105.872,15.1171,-308.664,86.2885
-239.151,0.826657,0.791014,2,3,0,239.729,108.24,14.8689,-310.944,109.343
-237.992,1,0.791014,1,1,0,239.033,107.371,14.7736,-309.786,97.4457
-240.001,0.891378,0.791014,2,3,0,241.173,100.546,12.3514,-311.684,106.593
-236.632,1,0.791014,2,3,0,240.398,105.469,12.9354,-308.381,120.049
-236.637,1,0.791014,3,7,0,237.087,102.8,15.1714,-308.415,97.9251
-237.137,0.95214,0.791014,3,7,0,237.821,105.936,15.41,-308.94,123.129
-236.009,0.997543,0.791014,2,3,0,237.199,103.082,13.6638,-307.761,70.9512
-235.824,0.978827,0.791014,2,3,0,236.277,103.962,14.1509,-307.594,94.1555
-235.82,0.988664,0.791014,2,3,0,235.947,104.264,14.0999,-307.591,127.107
-235.986,0.985371,0.791014,2,7,0,236.008,103.194,14.232,-307.751,106.393
-235.911,0.947532,0.791014,2,3,0,236.61,104.457,13.4191,-307.667,94.7791
-236.139,0.978467,0.791014,3,7,0,236.246,102.879,13.5205,-307.885,117.294
-236.119,0.999148,0.791014,3,7,0,236.414,105.255,14.279,-307.899,109.523
