# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-13 20:08:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbw1k1b7l\yex7ph_r.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_fit-20220613220811_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.767793
# Diagonal elements of inverse mass matrix:
# 2.58414, 0.0070078
-236.269,0.946921,0.767793,2,3,0,236.87,103.811,13.1944,-307.751,109.761
-236.178,0.776597,0.767793,2,3,0,238.696,104.193,13.3588,-307.661,105.167
-236.085,0.985298,0.767793,1,3,0,236.335,104.003,14.0213,-307.57,106.144
-236.586,0.903688,0.767793,1,3,0,237.035,105.651,13.9802,-308.063,99.9652
-236.251,0.973932,0.767793,3,7,0,237.004,103.389,13.3969,-307.733,104.375
-236.499,0.969859,0.767793,2,3,0,236.718,102.587,13.9155,-307.979,112.1
-236.085,0.97382,0.767793,1,3,0,236.831,104.113,14.0138,-307.569,101.764
-236.515,0.929707,0.767793,1,3,0,236.738,104.29,14.9558,-307.998,128.736
-238.006,0.848562,0.767793,3,7,0,239.179,107.032,14.8896,-309.465,107.925
-236.98,0.994601,0.767793,2,7,0,238.243,101.917,14.1257,-308.453,100.093
-236.72,1,0.767793,2,3,0,236.986,102.246,13.9602,-308.197,100.744
-236.583,0.893159,0.767793,3,7,0,238.025,105.085,13.0635,-308.062,110.803
-236.594,0.943686,0.767793,3,7,0,237.643,103.285,14.939,-308.075,126.604
-237.764,0.903913,0.767793,3,7,0,238.361,106.806,13.4335,-309.227,98.9292
-236.137,1,0.767793,2,3,0,237.526,104.061,14.258,-307.622,108.919
-236.589,0.955958,0.767793,2,3,0,236.64,103.408,14.9741,-308.071,118.559
-238.186,0.849781,0.767793,2,3,0,238.574,107.123,15.0498,-309.643,118.408
-236.976,0.950382,0.767793,2,3,0,239.475,105.926,13.284,-308.449,105.122
-236.926,0.996107,0.767793,3,7,0,237.533,102.129,14.5489,-308.401,113.523
-238.957,0.858445,0.767793,2,3,0,239.311,100.403,15.2629,-310.405,82.7895
