# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-19 21:11:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpyv1tpl7w\m4v3fddi.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_fit-20220619231149_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.849741
# Diagonal elements of inverse mass matrix:
# 2.87109, 0.00584719
-237.555,1,0.849741,2,3,0,238.091,104.365,12.1336,-309.029,105.99
-236.784,0.935935,0.849741,2,3,0,238.469,102.386,13.3309,-308.26,101.849
-236.35,1,0.849741,2,3,0,236.77,105.185,13.6792,-307.83,95.1197
-236.659,0.816371,0.849741,2,3,0,238.12,104.425,15.1236,-308.141,111.292
-236.613,0.934846,0.849741,2,3,0,237.662,102.705,13.2625,-308.092,90.7068
-236.19,0.951247,0.849741,1,3,0,237.104,103.817,14.38,-307.674,98.9281
-236.568,0.93172,0.849741,2,3,0,236.998,104.207,12.8074,-308.048,115.584
-236.644,0.995435,0.849741,2,3,0,236.717,104.005,12.7307,-308.123,106.56
-236.921,0.892491,0.849741,2,3,0,237.818,105.795,13.2065,-308.396,105.766
-236.316,0.845339,0.849741,1,3,0,238.187,103.443,14.5385,-307.799,83.9782
-236.273,0.984525,0.849741,2,7,0,236.535,104.619,14.4601,-307.756,116.202
-236.35,0.928238,0.849741,2,3,0,237.079,103.403,14.5883,-307.833,116.565
-236.153,1,0.849741,2,3,0,236.358,104.382,13.478,-307.636,97.9692
-236.153,0.932503,0.849741,2,3,0,236.818,103.716,13.4774,-307.636,115.08
-236.25,0.992669,0.849741,3,7,0,236.285,104.258,14.5243,-307.734,109.378
-239.186,0.614077,0.849741,2,7,0,241.13,100.951,16.1943,-310.636,109.912
-236.287,1,0.849741,2,3,0,239.077,103.138,13.5352,-307.769,88.5905
-236.47,0.813433,0.849741,2,3,0,237.903,103.746,14.8833,-307.952,100.633
-236.294,0.997173,0.849741,2,7,0,236.596,104.693,13.2918,-307.775,106.053
-236.543,0.932626,0.849741,2,3,0,236.983,104.773,12.9586,-308.023,106.75
-237.618,0.859199,0.849741,2,3,0,238.006,102.929,12.262,-309.09,99.7116
-237.177,0.958733,0.849741,2,3,0,238.24,106.22,14.7002,-308.648,101.17
-237.033,0.985018,0.849741,2,3,0,237.862,104.575,15.5099,-308.511,112.012
-236.431,1,0.849741,2,3,0,237.052,103.793,14.8325,-307.914,106.148
-236.429,0.819924,0.849741,2,3,0,238.348,102.715,13.8891,-307.909,112.664
-236.692,0.941795,0.849741,2,3,0,237.308,105.35,13.1046,-308.169,99.8874
-236.635,0.94484,0.849741,2,3,0,237.512,105.608,14.389,-308.113,100.996
-236.298,0.893882,0.849741,2,7,0,237.658,103.031,13.6704,-307.78,98.4282
-236.19,0.865653,0.849741,2,3,0,237.508,104.794,13.749,-307.672,90.8509
-236.377,0.979653,0.849741,2,3,0,236.432,103.321,14.602,-307.86,102.467
-236.346,0.925381,0.849741,1,3,0,237.388,104.961,13.3738,-307.827,115.491
-236.818,0.944214,0.849741,2,3,0,237.119,103.593,12.6237,-308.296,79.5152
-236.26,0.985143,0.849741,2,3,0,237.057,103.082,13.91,-307.743,96.2575
-238.273,0.878226,0.849741,2,3,0,238.317,105.941,12.229,-309.738,105.298
-238.393,0.973206,0.849741,3,7,0,238.97,106.393,12.4313,-309.855,119.529
-238.7,0.979632,0.849741,3,7,0,240.436,101.427,12.4521,-310.16,107.544
-239.472,0.999184,0.849741,2,3,0,240.704,103.111,11.45,-310.935,108.874
-238.768,1,0.849741,1,1,0,239.815,102.707,11.7918,-310.234,98.5762
-239.695,0.920973,0.849741,2,3,0,240.148,102.301,11.5832,-311.154,91.0339
-240.118,0.86283,0.849741,1,1,0,240.948,101.995,11.5536,-311.573,113.035
-237.003,1,0.849741,3,7,0,239.753,104.683,15.4593,-308.482,107.442
-236.158,0.92565,0.849741,2,3,0,238.017,104.144,14.3155,-307.642,121.788
-236.247,0.987956,0.849741,2,7,0,236.331,104.966,13.7523,-307.729,107.381
-236.767,0.786999,0.849741,1,3,0,237.873,102.248,14.3211,-308.244,123.319
-236.307,0.995649,0.849741,2,3,0,236.922,103.539,14.5591,-307.79,105.983
-236.465,0.887265,0.849741,2,3,0,237.582,104.067,14.8991,-307.948,109.45
-238.414,0.737239,0.849741,2,3,0,239.288,106.761,15.7781,-309.873,89.3472
-239.922,0.871882,0.849741,2,3,0,241.241,104.398,17.6318,-311.379,84.2918
-237.044,1,0.849741,2,3,0,240.072,102.036,14.6692,-308.518,118.571
-236.332,0.973968,0.849741,2,3,0,237.382,103.098,13.4461,-307.813,96.213
-236.279,1,0.849741,2,3,0,236.348,104.874,14.2991,-307.761,93.8268
-236.268,0.944812,0.849741,2,7,0,236.745,103.155,14.1748,-307.75,90.4434
-236.26,0.950993,0.849741,1,3,0,236.866,104.288,13.2093,-307.742,101.837
-236.658,0.910469,0.849741,2,3,0,237.042,104.523,15.1047,-308.139,90.7821
-236.188,0.909663,0.849741,1,3,0,237.743,103.847,13.3446,-307.671,94.8625
-236.644,0.942654,0.849741,2,3,0,236.822,104.593,12.7951,-308.123,103.331
-236.441,0.937763,0.849741,2,3,0,237.291,105.075,13.2762,-307.921,113.773
-237.199,0.489635,0.849741,2,3,0,243.973,101.741,13.6181,-308.67,124.47
-236.965,0.999732,0.849741,2,3,0,237.471,106.148,13.7913,-308.438,110.27
-236.179,0.984202,0.849741,1,3,0,237.051,104.507,14.2658,-307.663,105.909
-236.503,0.968922,0.849741,2,3,0,236.589,103.903,14.9469,-307.985,91.466
-237.092,0.926762,0.849741,2,7,0,237.399,106.238,13.6059,-308.563,127.252
-236.904,0.96341,0.849741,2,3,0,237.643,102.031,13.7532,-308.379,105.549
-236.137,1,0.849741,2,3,0,236.933,103.672,14.1534,-307.621,106.386
-236.292,0.980859,0.849741,2,3,0,236.332,104.775,14.4175,-307.775,104.607
-237.436,0.917608,0.849741,2,7,0,237.468,102.491,12.5627,-308.908,92.6762
-238.323,0.937878,0.849741,2,3,0,238.521,102.513,12.0476,-309.79,83.9439
-238.637,0.987398,0.849741,3,7,0,239.18,106.353,16.2645,-310.096,120.257
-238.405,1,0.849741,2,3,0,238.84,106.428,16.0178,-309.865,111.641
-237.637,1,0.849741,1,1,0,238.37,106.126,15.4616,-309.106,84.1446
-237.051,1,0.849741,1,1,0,237.601,105.8,14.9805,-308.525,118.349
-236.308,0.91471,0.849741,1,3,0,238.053,103.073,14.221,-307.79,88.0759
-238.161,0.880812,0.849741,2,7,0,238.169,105.531,12.1046,-309.628,115.485
-241.313,0.400608,0.849741,2,7,0,243.727,98.7726,14.6103,-312.727,88.0988
-241.313,0.834658,0.849741,1,1,0,243.252,98.7726,14.6103,-312.727,99.4116
-238.486,1,0.849741,2,3,0,240.876,100.746,15.1403,-309.941,97.702
-238.397,0.920651,0.849741,2,3,0,239.998,106.619,15.8767,-309.857,116.098
-236.953,0.900967,0.849741,2,7,0,239.952,103.068,15.3078,-308.432,121.236
-240.424,0.732697,0.849741,2,3,0,240.681,108.835,14.5702,-311.849,127.094
-240.232,1,0.849741,2,7,0,240.504,99.491,13.8665,-311.664,80.0225
-240.537,0.996183,0.849741,2,3,0,240.925,108.733,13.7584,-311.964,81.1872
-238.237,1,0.849741,2,3,0,240.25,107.322,14.6637,-309.692,100.895
-237.393,1,0.849741,2,3,0,238.61,101.995,12.954,-308.864,88.165
-237.907,0.987122,0.849741,2,7,0,238.551,105.364,16.0972,-309.377,117.642
-236.33,0.95569,0.849741,2,7,0,238.957,105.182,13.9191,-307.811,101.042
-239.735,0.783573,0.849741,2,3,0,239.884,100.383,12.7906,-311.181,124.663
-236.676,1,0.849741,2,7,0,239.104,105.666,14.4061,-308.153,102.888
-236.369,1,0.849741,2,3,0,236.728,102.837,13.8222,-307.849,103.957
-236.627,0.952095,0.849741,1,1,0,236.658,102.384,14.0186,-308.105,96.4267
-236.265,0.957419,0.849741,2,3,0,237.027,104.111,14.5682,-307.749,88.0975
-236.772,0.89115,0.849741,2,3,0,237.718,104.009,12.6202,-308.251,107.107
-237.477,0.94683,0.849741,2,3,0,237.655,105.344,12.4101,-308.949,118.294
-236.167,0.887052,0.849741,2,3,0,238.44,103.377,13.9638,-307.651,95.2926
-236.167,0.854266,0.849741,1,3,0,237.457,103.377,13.9638,-307.651,118.303
-236.211,0.96755,0.849741,1,3,0,236.539,104.578,13.4136,-307.694,101.963
-236.224,0.990874,0.849741,2,7,0,236.396,103.847,14.4671,-307.707,105.01
-238.563,0.825968,0.849741,2,3,0,238.788,106.801,12.6439,-310.021,89.8932
-236.52,1,0.849741,2,3,0,238.579,102.896,13.2433,-307.999,97.8042
-237.047,0.942528,0.849741,2,3,0,237.459,104.11,12.4188,-308.524,104.776
-237.882,0.826294,0.849741,2,7,0,238.801,106.32,15.5819,-309.347,89.3054
-237.882,0.516637,0.849741,2,3,0,242.993,106.32,15.5819,-309.347,92.698
-236.763,0.985476,0.849741,2,7,0,238.014,102.206,13.7816,-308.239,116.714
-236.908,0.94044,0.849741,2,3,0,237.685,105.849,13.2935,-308.382,92.0971
-236.705,1,0.849741,1,1,0,236.96,105.673,13.4364,-308.181,84.368
-236.691,0.893744,0.849741,2,3,0,237.89,104.893,12.8447,-308.17,106.951
-236.461,0.838447,0.849741,1,3,0,238.449,104.257,14.8824,-307.943,134.335
-236.753,0.852238,0.849741,3,7,0,238.176,102.55,14.7299,-308.231,83.2895
-237.147,0.935855,0.849741,2,3,0,237.468,106.377,14.079,-308.617,104.531
-236.265,0.999859,0.849741,2,7,0,236.982,103.077,13.9714,-307.747,107.684
-236.628,0.943877,0.849741,2,3,0,236.991,103.429,15.032,-308.11,113.326
-236.786,0.827188,0.849741,1,3,0,238.758,105.623,13.2203,-308.262,87.7319
-236.901,0.991194,0.849741,2,3,0,237.045,105.611,13.0509,-308.376,102.86
-236.077,1,0.849741,2,3,0,236.805,103.905,13.8431,-307.561,88.1686
-237.182,0.780038,0.849741,1,3,0,237.609,101.683,14.1045,-308.653,106.834
-237.596,0.924237,0.849741,2,3,0,238.903,106.22,12.8683,-309.064,84.5172
-237.072,1,0.849741,3,7,0,237.565,102.578,15.214,-308.548,123.81
-236.688,0.993995,0.849741,2,3,0,237.371,105.752,14.2637,-308.165,118.331
-237.043,0.935942,0.849741,2,3,0,237.325,101.966,14.5445,-308.516,107.776
-237.393,0.906607,0.849741,2,3,0,238.446,103.868,12.2121,-308.868,123.687
-239.637,0.868524,0.849741,2,3,0,239.641,103.465,11.3494,-311.099,113.598
-237.888,1,0.849741,2,3,0,239.317,103.621,11.9806,-309.359,100.291
-237.888,0.809682,0.849741,1,1,0,238.789,103.621,11.9806,-309.359,118.854
-236.968,1,0.849741,2,3,0,237.766,104.296,12.483,-308.445,84.9156
-239.995,0.658633,0.849741,2,3,0,240.357,102.323,17.4553,-311.448,99.4593
-236.417,1,0.849741,2,3,0,239.628,104.124,14.8281,-307.9,128.919
-237.131,0.928939,0.849741,2,3,0,237.38,103.326,15.5683,-308.609,110.219
-236.826,0.995059,0.849741,2,7,0,237.588,105.995,14.0139,-308.3,127.037
-236.793,0.816548,0.849741,2,7,0,238.86,102.54,13.1453,-308.269,114.171
-236.283,0.90666,0.849741,1,3,0,237.693,103.895,14.5964,-307.767,136.624
-236.483,0.896038,0.849741,1,3,0,237.442,105.042,13.1805,-307.962,110.269
-236.805,0.956283,0.849741,2,3,0,237.077,103.626,15.2859,-308.285,95.6652
-236.425,0.992159,0.849741,2,3,0,237.038,102.901,14.3784,-307.906,106.49
-238.406,0.675756,0.849741,2,3,0,239.573,101.837,12.3377,-309.87,103.745
-237.468,0.68829,0.849741,2,3,0,242.639,106.65,14.4898,-308.934,118.259
-236.915,0.870852,0.849741,2,3,0,239.248,103.375,15.3579,-308.395,95.2489
-237.267,0.984942,0.849741,2,3,0,237.317,102.849,15.5588,-308.743,111.425
-237.173,0.936139,0.849741,2,7,0,238.629,106.404,13.9601,-308.643,101.434
-237.516,0.882303,0.849741,2,3,0,238.94,106.599,14.7422,-308.982,134.252
-236.732,0.972783,0.849741,2,7,0,238.271,104.49,12.6927,-308.211,110.723
-236.382,0.956841,0.849741,2,3,0,237.314,105.289,13.8372,-307.862,119.08
-236.467,0.994678,0.849741,2,3,0,236.664,102.836,13.4099,-307.947,129.753
-236.411,0.751166,0.849741,2,3,0,238.718,104.239,14.8102,-307.894,97.1121
-237.016,0.945766,0.849741,2,3,0,237.201,103.304,12.5359,-308.492,126.584
-237.319,0.972565,0.849741,2,3,0,237.478,102.75,12.5172,-308.793,114.507
-236.843,0.99815,0.849741,2,3,0,237.942,105.35,12.9233,-308.319,105.652
-238.046,0.908799,0.849741,2,3,0,238.121,106.581,12.8219,-309.509,98.5823
-237.523,1,0.849741,1,1,0,238.16,106.114,12.8414,-308.992,103.835
-237.523,0.544997,0.849741,1,1,0,239.182,106.114,12.8414,-308.992,101.798
-237.664,0.846972,0.849741,2,3,0,240.241,101.482,14.9936,-309.13,107.963
-236.364,0.980989,0.849741,2,7,0,237.769,104.077,13.0336,-307.845,101.488
-236.249,0.932212,0.849741,2,7,0,236.992,104.901,14.1544,-307.731,102.496
-236.151,0.987898,0.849741,3,7,0,236.466,103.63,13.5305,-307.634,101.361
