# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-19 21:15:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpyv1tpl7w\2mi8sgmz.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_fit-20220619231552_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.988719
# Diagonal elements of inverse mass matrix:
# 2.16181, 0.00633106
-236.33,0.986395,0.988719,2,3,0,236.373,104.413,14.6467,-307.813,90.3109
-236.59,0.947397,0.988719,1,1,0,236.604,104.355,15.0469,-308.072,114.767
-236.423,1,0.988719,1,1,0,236.602,104.092,14.8372,-307.906,99.4652
-236.273,0.927568,0.988719,2,3,0,237.292,104.296,13.1882,-307.755,95.7347
-237.843,0.537638,0.988719,1,3,0,239.718,101.57,15.3538,-309.309,84.4317
-238.229,0.972975,0.988719,2,3,0,239.011,105.101,11.9377,-309.698,85.1414
-238.136,1,0.988719,2,3,0,238.803,104.801,11.9146,-309.606,112.664
-236.532,1,0.988719,2,3,0,237.752,103.582,14.9411,-308.015,127.069
-236.735,0.99016,0.988719,2,3,0,236.987,105.793,13.5851,-308.21,105.037
-236.404,0.904311,0.988719,2,3,0,237.461,103.967,12.9836,-307.885,109.687
-237.943,0.619266,0.988719,2,3,0,239.398,107.136,14.113,-309.402,107.555
-237.185,0.975692,0.988719,2,3,0,238.412,102.259,15.1361,-308.659,110.253
-236.559,1,0.988719,1,1,0,237.084,102.945,14.7099,-308.04,71.8788
-236.147,0.931447,0.988719,2,3,0,236.952,104.65,13.8009,-307.63,92.4548
-236.291,0.929038,0.988719,1,3,0,236.636,103.12,14.2229,-307.774,122.403
-236.291,0.637304,0.988719,1,3,0,238.818,103.12,14.2229,-307.774,91.9796
-236.083,0.868967,0.988719,2,3,0,237.422,104.26,13.902,-307.567,97.7428
-236.075,0.924438,0.988719,2,3,0,236.639,103.954,13.8893,-307.56,99.7084
-236.33,0.937017,0.988719,1,3,0,236.455,104.969,14.3578,-307.811,81.0013
-239.157,0.708549,0.988719,2,3,0,239.65,105.047,17.0824,-310.619,108.994
-236.648,1,0.988719,2,3,0,238.771,102.703,13.2076,-308.126,105.623
-236.811,0.8507,0.988719,2,3,0,238.097,104.456,15.2957,-308.292,98.4524
-236.539,0.999419,0.988719,2,7,0,237.158,102.524,14.0105,-308.018,91.1621
-236.748,0.952333,0.988719,2,3,0,237.215,103.6,15.217,-308.229,115.058
-236.891,0.945947,0.988719,2,3,0,237.679,105.601,14.91,-308.367,112.047
-237.377,0.947862,0.988719,2,7,0,237.775,101.487,13.9339,-308.845,99.3968
-236.521,0.793082,0.988719,1,3,0,239.01,105.078,14.6929,-308.002,97.0356
-236.776,0.928779,0.988719,2,3,0,237.382,105.002,15.1072,-308.255,118.294
-236.517,0.945906,0.988719,2,3,0,237.526,102.946,13.2067,-307.997,70.972
-236.454,1,0.988719,2,3,0,236.784,103.411,14.7745,-307.936,132.281
-236.253,0.944234,0.988719,1,3,0,237.03,104.481,13.275,-307.735,100.492
-236.088,1,0.988719,2,3,0,236.224,103.851,13.9801,-307.572,116.76
-237.071,0.864436,0.988719,2,3,0,237.401,102.354,12.969,-308.545,109.152
-236.841,1,0.988719,1,1,0,237.164,102.549,13.0732,-308.317,122.074
-237.186,0.774305,0.988719,2,3,0,239.127,103.848,15.6938,-308.665,82.1786
-236.533,1,0.988719,2,3,0,237.251,105.325,13.3412,-308.011,80.0946
-236.292,0.980282,0.988719,2,3,0,236.845,103.614,13.2045,-307.774,129.545
-236.831,0.813005,0.988719,2,3,0,237.72,102.18,13.5808,-308.306,104.252
-237.244,0.974577,0.988719,2,3,0,237.352,101.638,13.8227,-308.714,89.0193
-237.246,0.998056,0.988719,2,7,0,237.564,106.478,14.1811,-308.715,115.973
-236.983,0.987328,0.988719,2,3,0,237.919,103.328,15.4188,-308.462,103.627
-237.581,0.93748,0.988719,2,3,0,238.294,101.345,13.6982,-309.047,103.15
-236.569,1,0.988719,2,3,0,237.608,104.612,14.9677,-308.05,106.849
-236.754,0.961296,0.988719,1,1,0,236.835,104.286,15.2516,-308.235,111.541
-236.997,0.953604,0.988719,1,1,0,237.089,104.026,15.5184,-308.476,82.9651
-236.521,0.979146,0.988719,2,3,0,237.437,102.691,14.3723,-308,94.592
-237.623,0.883306,0.988719,2,3,0,237.817,102.687,15.8352,-309.096,89.1589
-236.757,1,0.988719,2,3,0,238.014,102.254,13.6355,-308.233,97.4617
-237.196,0.791139,0.988719,2,3,0,238.398,106.124,14.8706,-308.668,114.146
-237.196,0.714647,0.988719,2,3,0,239.474,106.124,14.8706,-308.668,94.2695
-237.309,0.990898,0.988719,2,7,0,237.314,102.04,12.9983,-308.78,97.9834
-237.017,0.999012,0.988719,2,3,0,237.571,106.2,14.2712,-308.489,140.561
-236.331,0.899546,0.988719,1,3,0,238.143,103.176,13.3732,-307.813,90.1858
-238.296,0.732541,0.988719,2,3,0,238.523,103.681,11.7971,-309.765,74.3892
-236.138,1,0.988719,1,3,0,237.878,104.071,13.452,-307.621,98.9402
-236.62,0.853567,0.988719,1,3,0,237.097,105.173,14.7997,-308.1,97.9699
-236.52,1,0.988719,2,3,0,236.688,103.106,13.0925,-308,98.1592
-236.68,0.977771,0.988719,2,3,0,236.902,105.77,14.1617,-308.157,73.8821
-236.538,0.928356,0.988719,2,3,0,237.475,105.53,13.6642,-308.016,109.507
-237.29,0.830269,0.988719,1,1,0,237.302,106.385,13.4673,-308.759,125.152
-236.895,0.99114,0.988719,2,3,0,237.54,102.618,15.0077,-308.372,125.037
-237.594,0.858153,0.988719,2,3,0,238.627,105.051,15.9248,-309.067,108.744
-236.752,0.986619,0.988719,2,3,0,238.509,104.271,12.6463,-308.23,109.405
-236.508,1,0.988719,1,1,0,236.758,104.352,12.8858,-307.989,98.8678
-236.136,0.953075,0.988719,2,3,0,236.849,104.196,13.4707,-307.619,125.89
-236.226,0.867391,0.988719,2,3,0,237.172,103.798,14.4631,-307.71,122.405
-236.131,0.967732,0.988719,2,3,0,236.523,103.968,13.478,-307.614,92.5653
-238.127,0.65054,0.988719,2,3,0,238.682,107.26,13.9041,-309.584,105.406
-237.454,1,0.988719,2,3,0,238.428,101.499,13.5913,-308.922,94.4055
-238.133,0.92336,0.988719,2,3,0,238.343,107.267,14.516,-309.59,140.539
-236.594,0.865788,0.988719,2,3,0,238.947,104.135,12.7783,-308.074,103.251
-236.594,0.830793,0.988719,1,1,0,237.108,104.135,12.7783,-308.074,120.637
-236.494,0.926465,0.988719,2,3,0,237.262,102.603,13.8192,-307.974,107.777
-237.034,0.723781,0.988719,2,3,0,238.583,106.072,13.3987,-308.506,89.8924
-237.034,0.423203,0.988719,1,1,0,239.121,106.072,13.3987,-308.506,97.3532
-237.562,0.946874,0.988719,2,3,0,237.756,106.236,12.9155,-309.03,126.218
-237.682,0.803053,0.988719,2,3,0,240.191,103.558,16.0957,-309.157,117.563
-236.294,0.88745,0.988719,1,3,0,238.683,103.455,13.2663,-307.776,97.811
-238.007,0.724195,0.988719,2,3,0,238.306,101.295,15.2582,-309.47,138.197
-236.274,0.917165,0.988719,1,3,0,239.261,104.857,14.3008,-307.756,108.729
-238.349,0.717429,0.988719,2,3,0,238.413,100.678,14.6493,-309.804,73.5449
-236.92,0.996287,0.988719,2,3,0,238.463,105.971,14.5318,-308.394,76.1198
-236.999,0.996927,0.988719,2,3,0,237.25,102.152,13.2729,-308.473,99.5817
