# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-21 17:16:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\umkfd7xs.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_fit-20220621191647_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.857504
# Diagonal elements of inverse mass matrix:
# 2.75024, 0.00761479
-238.915,0.97965,0.857504,2,3,0,239.951,107.197,12.8274,-310.311,113.103
-238.215,1,0.857504,1,1,0,239.213,106.388,12.6037,-309.579,118.952
-237.365,1,0.857504,2,7,0,238.405,101.86,14.2816,-308.522,102.47
-237.488,0.983648,0.857504,2,3,0,238.326,104.998,12.3885,-308.791,116.826
-236.303,0.994802,0.857504,1,3,0,237.43,104.452,13.7298,-307.595,90.9988
-237.396,0.782401,0.857504,1,3,0,237.885,102.202,13.0837,-308.566,98.2246
-236.975,1,0.857504,1,1,0,237.382,102.675,13.1622,-308.172,119.654
-237.027,0.987292,0.857504,2,3,0,237.387,106.111,13.9332,-308.392,93.5948
-236.636,0.797162,0.857504,2,3,0,239.288,104.045,14.8462,-307.911,119.762
-236.564,0.903347,0.857504,2,7,0,237.485,104.492,13.0829,-307.853,98.5491
-236.65,0.993232,0.857504,2,3,0,236.7,104.395,12.9571,-307.933,78.5037
-236.332,0.995913,0.857504,2,3,0,236.72,103.718,13.6994,-307.588,105.45
-236.819,0.877102,0.857504,2,3,0,237.159,105.431,13.2018,-308.15,92.022
-236.382,1,0.857504,2,3,0,236.733,103.796,14.2922,-307.644,97.8679
-236.517,0.982932,0.857504,2,3,0,236.598,104.473,14.6316,-307.813,121.423
-236.349,0.991964,0.857504,2,3,0,236.609,104.061,14.2679,-307.625,111.366
-236.407,0.988613,0.857504,1,1,0,236.411,104.104,14.4298,-307.684,103.227
-236.434,0.914456,0.857504,2,3,0,237.239,103.421,13.5536,-307.674,86.3831
-236.329,1,0.857504,2,7,0,236.43,104.66,13.8375,-307.631,102.45
-236.508,0.903565,0.857504,2,3,0,237.183,103.113,13.9822,-307.735,104.177
-237.201,0.74208,0.857504,1,3,0,238.591,106.096,14.7206,-308.567,108.652
