# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-21 17:19:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\iwppsi_o.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_fit-20220621191946_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.895695
# Diagonal elements of inverse mass matrix:
# 2.71703, 0.00614109
-237.038,0.961407,0.895695,2,3,0,237.585,105.885,13.3302,-308.389,127.768
-236.832,0.761792,0.895695,2,3,0,238.543,102.531,13.7396,-308.025,112.072
-236.809,0.996427,0.895695,2,7,0,237.24,104.882,12.899,-308.114,114.566
-236.746,0.985284,0.895695,2,7,0,237.237,105.204,14.7375,-308.075,90.7144
-236.759,0.98025,0.895695,2,7,0,237.174,103.694,14.9665,-308.017,94.2083
-236.409,0.959451,0.895695,2,3,0,237.294,104.951,13.7487,-307.724,106.567
-236.295,0.989133,0.895695,1,3,0,236.485,104.033,14.01,-307.568,104.367
-237.192,0.823441,0.895695,1,3,0,237.52,102.286,14.716,-308.375,124.144
-236.413,1,0.895695,2,3,0,237.245,103.357,13.8549,-307.652,105.214
-236.812,0.842855,0.895695,1,3,0,237.543,105.39,14.7235,-308.149,104.797
-236.345,1,0.895695,2,3,0,236.794,104.363,13.4847,-307.631,94.4409
-237.606,0.748808,0.895695,2,3,0,238.358,106.739,14.3948,-308.996,113.275
-236.434,0.905177,0.895695,1,3,0,238.396,103.597,14.3391,-307.686,90.6252
-236.927,0.939792,0.895695,3,7,0,237.078,104.99,15.1009,-308.246,96.8331
-237.455,0.964399,0.895695,2,3,0,237.744,102.053,13.1823,-308.617,100.909
-237.729,0.980492,0.895695,2,3,0,238.596,105.951,12.6475,-309.076,103.446
-236.748,1,0.895695,1,1,0,237.492,104.895,12.973,-308.054,133.39
-236.775,0.928338,0.895695,2,3,0,237.495,103.838,15.0168,-308.041,90.6148
-238.301,0.856361,0.895695,2,3,0,238.595,107.318,14.7376,-309.712,90.0625
-238.779,0.967889,0.895695,1,1,0,239.023,107.509,15.2762,-310.196,128.766
-238.498,0.998686,0.895695,2,7,0,239.201,100.959,13.4999,-309.597,123.241
