# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-21 17:24:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\_h918kh5.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_fit-20220621192449_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.761611
# Diagonal elements of inverse mass matrix:
# 2.68939, 0.0060416
-236.924,0.760578,0.761611,2,3,0,238.819,102.438,14.2889,-308.115,78.6261
-237.874,0.924045,0.761611,2,3,0,238.238,101.776,15.1949,-309.027,91.1304
-236.578,0.991069,0.761611,3,7,0,238.01,103.879,14.7353,-307.846,117.739
-236.663,0.992054,0.761611,3,7,0,236.87,105.255,13.3126,-307.988,117.983
-238.503,0.808945,0.761611,2,3,0,238.986,107.297,15.1963,-309.914,101.526
-236.935,0.9711,0.761611,2,3,0,238.984,105.07,15.0829,-308.259,110.114
-237.113,0.966818,0.761611,3,7,0,237.876,103.632,15.377,-308.367,89.3035
-237.828,0.941001,0.761611,2,3,0,238.226,102.357,15.6076,-309.014,120.674
-237.384,0.993462,0.761611,3,7,0,238.342,101.849,13.7303,-308.538,92.6248
-239.371,0.730412,0.761611,3,7,0,241.197,102.962,11.6046,-310.562,99.626
-237.942,1,0.761611,2,3,0,240.725,106.908,13.4561,-309.334,116.147
-237.606,0.865383,0.761611,2,3,0,239.887,105.755,12.6192,-308.946,134.607
-237.583,0.958978,0.761611,3,7,0,239.362,106.746,14.1012,-308.972,130.288
-236.555,1,0.761611,2,3,0,237.841,105.219,13.5331,-307.88,115.668
-236.417,0.915782,0.761611,1,3,0,237.405,103.562,14.2635,-307.668,93.4501
-236.416,0.977198,0.761611,2,3,0,236.775,103.569,13.4725,-307.663,91.0409
-237.563,0.869421,0.761611,2,3,0,237.766,106.367,15.0192,-308.94,104.563
-237.707,0.991933,0.761611,3,7,0,238.005,106.014,15.5011,-309.069,103.372
-240.595,0.883656,0.761611,3,7,0,240.886,108.45,16.1817,-312.039,122.344
-238.5,0.946823,0.761611,2,3,0,241.83,105.568,16.4023,-309.84,80.709
-237.221,1,0.761611,3,7,0,238.94,102.126,13.4706,-308.39,101.456
-237.414,0.965634,0.761611,1,1,0,237.522,101.929,13.4384,-308.572,119.724
-238.642,0.860409,0.761611,2,7,0,239.854,104.392,11.7378,-309.908,111.647
-237.038,0.7707,0.761611,3,7,0,241.796,102.986,15.0644,-308.26,120.873
-236.913,0.987969,0.761611,2,3,0,237.408,103.93,15.1992,-308.183,101.642
-236.654,0.991734,0.761611,3,7,0,237.396,103.012,13.3912,-307.871,117.752
-236.918,0.947564,0.761611,2,3,0,237.344,102.39,13.8294,-308.104,98.4696
-237.116,0.993919,0.761611,2,3,0,237.245,102.154,14.2449,-308.291,105.268
-236.94,0.970559,0.761611,2,3,0,237.587,105.62,13.1908,-308.279,104.043
-236.739,0.994665,0.761611,3,7,0,237.529,102.657,13.9675,-307.941,99.6174
-237.326,0.957454,0.761611,2,3,0,237.508,102.109,13.2975,-308.493,121.161
-237.735,0.922431,0.761611,3,7,0,239.56,106.367,12.9755,-309.102,100.64
-237.351,0.805613,0.761611,2,3,0,240.917,102.435,12.9177,-308.533,80.4415
-236.994,0.649291,0.761611,1,3,0,241.27,106.021,14.294,-308.356,96.2281
-236.618,1,0.761611,2,3,0,237.153,104.313,14.8205,-307.906,108.644
-236.433,0.992608,0.761611,3,7,0,236.792,104.11,14.4909,-307.711,88.929
-236.311,0.999789,0.761611,2,3,0,236.454,103.944,13.6334,-307.577,73.4534
-236.521,0.939886,0.761611,1,3,0,236.94,103.663,14.5736,-307.777,124.013
-236.763,0.977534,0.761611,2,3,0,236.904,104.199,15.0293,-308.047,103.343
-237.45,0.964024,0.761611,2,3,0,237.525,104.482,12.316,-308.73,105.845
-236.36,0.954945,0.761611,2,3,0,238.117,104.762,13.7205,-307.666,110.172
-237.392,0.891238,0.761611,3,7,0,237.653,102.225,14.9827,-308.571,84.1157
-240.26,0.726664,0.761611,2,3,0,241.207,106.759,17.2182,-311.641,91.5226
-240.463,0.838568,0.761611,2,3,0,243.854,99.8363,13.3072,-311.488,94.5084
-238.17,0.99857,0.761611,3,7,0,240.792,107.195,14.7466,-309.577,121.619
-237.51,0.958331,0.761611,3,7,0,239.481,102.496,12.7272,-308.693,126.586
-237.087,1,0.761611,3,7,0,237.688,106.124,14.376,-308.453,84.8631
-236.98,0.977825,0.761611,3,7,0,237.787,102.452,13.4268,-308.168,87.3347
-238.03,0.816675,0.761611,2,3,0,241.129,106.962,13.4177,-309.423,117.253
-239.365,0.820728,0.761611,3,7,0,241.257,100.802,15.8837,-310.458,112.69
-236.511,0.948292,0.761611,2,3,0,240.521,103.297,14.3248,-307.749,103.355
-236.458,1,0.761611,2,3,0,236.518,103.352,14.2033,-307.698,99.7074
-237.091,0.929983,0.761611,2,3,0,237.297,102.489,13.1816,-308.279,107.461
-237.199,0.988642,0.761611,3,7,0,237.966,104.265,15.5191,-308.484,98.0377
-238.883,0.897355,0.761611,3,7,0,239.766,103.121,11.7484,-310.086,104.117
-236.697,1,0.761611,2,3,0,238.881,105.576,14.1821,-308.04,86.0872
