# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-21 17:28:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\2piltt68.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_fit-20220621192826_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.79324
# Diagonal elements of inverse mass matrix:
# 2.53172, 0.00676175
-237.752,0.949914,0.79324,2,3,0,238.163,105.891,15.6202,-309.109,99.1588
-236.664,1,0.79324,2,3,0,237.848,104.685,14.8288,-307.97,117.274
-236.402,0.997505,0.79324,2,3,0,236.744,103.552,13.5317,-307.649,94.8561
-236.916,0.93332,0.79324,2,3,0,237.084,103.793,12.7042,-308.167,108.266
-236.726,0.938616,0.79324,2,3,0,237.875,105.334,14.605,-308.061,93.4676
-237.09,0.83433,0.79324,2,3,0,238.972,103.726,12.5723,-308.336,109.39
-237.437,0.904099,0.79324,2,3,0,238.515,105.77,12.7631,-308.779,98.4122
-236.77,0.999505,0.79324,3,7,0,237.82,102.72,13.5065,-307.972,96.105
-236.574,0.992205,0.79324,2,3,0,237.057,105.342,13.6874,-307.906,121.681
-237.438,0.818858,0.79324,2,3,0,238.507,105.386,15.5348,-308.774,135.773
-236.305,0.950538,0.79324,1,3,0,237.986,104.45,14.0009,-307.598,93.9478
-237.133,0.926453,0.79324,2,3,0,237.154,104.171,12.5074,-308.4,95.1748
-236.898,0.963263,0.79324,3,7,0,237.893,103.189,14.979,-308.13,104.013
-236.979,0.964867,0.79324,3,7,0,237.754,104.936,15.1832,-308.296,132.11
-236.325,0.974508,0.79324,2,7,0,237.449,103.789,14.0492,-307.586,94.0719
-236.325,0.95034,0.79324,1,3,0,236.794,103.789,14.0492,-307.586,85.0819
-236.78,0.953707,0.79324,3,7,0,236.862,104.906,12.9403,-308.086,90.301
-236.328,1,0.79324,2,3,0,236.798,104.635,13.7677,-307.628,79.8126
-236.397,0.99543,0.79324,2,3,0,236.401,104.929,13.8219,-307.711,100.585
-236.882,0.868383,0.79324,2,3,0,237.726,105.517,14.7476,-308.225,110.272
-239.316,0.794309,0.79324,2,3,0,240.065,107.046,12.437,-310.702,118.452
-237.276,1,0.79324,2,3,0,238.998,106.266,13.4694,-308.644,85.5689
-238.23,0.894902,0.79324,2,3,0,238.828,102.175,15.8893,-309.405,98.9664
-236.499,0.971782,0.79324,2,3,0,238.965,104.219,14.6243,-307.782,85.0261
-236.517,0.999577,0.79324,3,7,0,236.66,103.306,13.4171,-307.75,106.784
-236.397,1,0.79324,1,1,0,236.5,103.623,13.4887,-307.647,102.347
-237.124,0.908122,0.79324,2,3,0,237.296,103.67,12.5552,-308.367,116.909
-237.124,0.859615,0.79324,1,1,0,237.75,103.67,12.5552,-308.367,113.785
-238.344,0.775536,0.79324,1,1,0,238.352,103.547,11.8928,-309.571,100.195
-236.795,0.907286,0.79324,2,3,0,239.294,103.52,12.8831,-308.034,109.584
-236.655,0.992615,0.79324,2,3,0,237.041,103.687,14.8141,-307.913,105.945
-238.066,0.887285,0.79324,2,3,0,238.278,102.594,15.951,-309.264,89.7871
-236.492,1,0.79324,2,3,0,237.984,103.472,13.3448,-307.733,116.689
-236.562,0.987603,0.79324,2,3,0,236.725,105.359,13.8881,-307.895,119.471
-236.557,1,0.79324,3,7,0,236.685,103.008,13.774,-307.776,101.693
-236.65,0.810186,0.79324,3,7,0,238.776,104.876,14.7426,-307.965,109.277
-237.004,0.970596,0.79324,3,7,0,237.277,102.941,14.9931,-308.223,111.432
-238.998,0.864882,0.79324,2,3,0,239.595,102.795,11.787,-310.183,103.191
-239.422,0.799282,0.79324,2,3,0,241.428,104.29,17.2134,-310.699,123.003
-239.529,0.978871,0.79324,3,7,0,240.075,104.014,11.4206,-310.771,94.0145
-240.959,0.90027,0.79324,2,3,0,241.38,103.618,11.0392,-312.172,96.4017
-240.566,0.788419,0.79324,2,3,0,244.582,100.745,16.885,-311.649,80.1552
-239.966,0.968291,0.79324,3,7,0,241.106,100.187,15.7685,-311.019,104.961
-239.162,1,0.79324,1,1,0,239.983,100.789,15.6432,-310.255,96.0078
-238.611,1,0.79324,2,3,0,239.458,100.799,14.7786,-309.705,95.3766
-238.091,1,0.79324,1,1,0,238.635,101.254,14.7467,-309.214,112.249
-237.961,0.916703,0.79324,2,7,0,239.55,106.928,14.8836,-309.358,113.005
-236.608,0.991728,0.79324,3,7,0,237.947,105.276,14.3786,-307.94,94.1432
-236.344,0.967175,0.79324,2,3,0,237.028,104.316,13.4769,-307.628,90.2529
-236.441,0.920014,0.79324,2,3,0,237.161,103.305,13.7162,-307.676,92.8996
-236.439,0.932255,0.79324,3,7,0,237.129,103.285,13.8278,-307.673,104.336
-236.46,0.996125,0.79324,3,7,0,236.572,105.097,14.0303,-307.782,75.9543
-236.639,0.902448,0.79324,2,3,0,237.521,105.242,14.4929,-307.969,109.307
-236.362,0.99777,0.79324,2,3,0,236.697,104.805,13.9081,-307.671,107.397
-240.03,0.744592,0.79324,2,3,0,240.097,100.088,13.283,-311.072,82.4453
-236.618,1,0.79324,2,3,0,239.779,103.296,14.5806,-307.856,117.868
-238.726,0.859719,0.79324,2,3,0,238.9,104.057,11.699,-309.975,98.2551
-238.575,1,0.79324,2,3,0,239.119,104.154,11.7572,-309.83,111.388
-237.236,0.996439,0.79324,2,3,0,238.925,103.888,15.5414,-308.503,110.55
-236.466,1,0.79324,2,3,0,237.236,104.839,13.3956,-307.773,118.601
-236.628,0.988302,0.79324,2,3,0,236.665,102.996,14.3247,-307.849,93.3375
-236.408,0.999442,0.79324,2,3,0,236.7,104.081,14.4325,-307.685,115.284
-236.707,0.974014,0.79324,2,3,0,236.773,104.603,14.9125,-308.009,83.2593
-236.621,0.998692,0.79324,3,7,0,237.01,105.091,13.2568,-307.939,107.306
-237.661,0.87874,0.79324,2,3,0,237.896,103.018,15.7506,-308.883,90.8056
-238.454,0.911422,0.79324,1,1,0,238.472,102.924,16.3827,-309.668,108.419
-238.384,0.954701,0.79324,2,3,0,240.019,105.766,16.245,-309.733,106.081
-237.681,0.981043,0.79324,3,7,0,239.398,103.139,12.3143,-308.893,90.7279
-240.186,0.652684,0.79324,2,7,0,242.137,99.7538,15.1908,-311.212,115.233
-236.815,1,0.79324,2,3,0,240.715,105.211,14.8465,-308.144,81.8498
-236.526,0.995584,0.79324,2,3,0,236.96,103.096,13.6986,-307.75,112.654
-237.794,0.881958,0.79324,2,3,0,237.977,105.573,12.4012,-309.123,114.659
-237.321,0.829787,0.79324,2,3,0,239.894,105.939,13.0015,-308.672,83.6765
-237.043,1,0.79324,2,7,0,237.575,103.4,15.2421,-308.286,108.94
-238.827,0.742689,0.79324,2,3,0,240.351,107.649,15.083,-310.249,116.099
-236.375,0.886988,0.79324,1,3,0,240.684,104.118,14.35,-307.653,108.706
-236.408,0.949569,0.79324,3,7,0,236.939,104.187,14.4368,-307.69,115.84
-236.561,0.983775,0.79324,2,7,0,236.638,104.032,13.0579,-307.827,113.398
-240.153,0.68751,0.79324,3,7,0,240.232,103.83,17.6516,-311.403,103.038
-237.042,1,0.79324,2,3,0,240.096,103.62,15.2974,-308.296,108.217
-237.861,0.708789,0.79324,1,3,0,241.614,103.192,12.1967,-309.075,97.2558
-237.315,1,0.79324,3,7,0,237.832,103.517,12.4486,-308.549,98.8129
-236.82,1,0.79324,2,3,0,237.582,104.815,12.8649,-308.121,104.642
-236.787,0.936196,0.79324,3,7,0,237.659,103.668,14.9988,-308.044,90.3785
-237.053,0.936973,0.79324,3,7,0,237.85,102.209,14.1044,-308.23,101.166
-236.4,0.997127,0.79324,2,3,0,237.093,103.418,13.7504,-307.641,99.2402
-236.354,1,0.79324,3,7,0,236.442,104.424,14.2554,-307.647,136.962
-237.201,0.930357,0.79324,2,3,0,237.232,104.503,12.481,-308.483,102.835
-236.443,1,0.79324,2,3,0,237.287,104.818,13.4396,-307.749,107.749
-237.87,0.670054,0.79324,1,3,0,239.847,105.726,15.8162,-309.22,135.78
-236.32,0.993027,0.79324,2,7,0,237.693,103.754,13.9566,-307.579,110.721
-236.788,0.787452,0.79324,3,7,0,238.656,105.565,14.5062,-308.132,111.341
-236.659,1,0.79324,1,1,0,236.79,105.335,14.4498,-307.993,117.387
-236.552,1,0.79324,1,1,0,236.664,105.03,14.4629,-307.873,91.4336
-236.774,0.972204,0.79324,2,3,0,236.969,105.523,14.5223,-308.117,105.534
-237.333,0.918104,0.79324,2,7,0,237.962,104.373,15.6456,-308.623,107.318
-238.14,0.934998,0.79324,2,3,0,238.789,105.904,12.3521,-309.481,126.18
-237.971,1,0.79324,2,3,0,238.672,104.794,12.0748,-309.261,81.095
-236.508,1,0.79324,3,7,0,237.834,103.552,13.2667,-307.752,97.4203
-237.136,0.933532,0.79324,2,3,0,237.301,102.309,13.3329,-308.315,111.556
-237.335,0.888788,0.79324,3,7,0,238.518,103.734,12.3978,-308.579,109.887
-236.713,1,0.79324,2,3,0,237.508,104.83,12.9893,-308.016,83.051
-236.63,0.838331,0.79324,1,3,0,238.28,104.049,14.8374,-307.906,108.565
-238.07,0.698694,0.79324,2,3,0,240.159,102.656,15.9806,-309.272,82.7609
-236.421,0.982304,0.79324,3,7,0,238.205,103.391,13.6564,-307.66,133.475
-236.477,0.997272,0.79324,2,7,0,236.48,105.106,14.1277,-307.8,113.471
-236.628,0.991424,0.79324,2,3,0,236.659,102.863,13.7849,-307.84,93.7727
-236.763,0.973048,0.79324,2,3,0,237.132,103.918,12.833,-308.021,82.3678
-236.593,0.842668,0.79324,1,3,0,238.251,103.717,14.7219,-307.852,105.946
