# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-21 17:31:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\rneql_4v.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_fit-20220621193144_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.865811
# Diagonal elements of inverse mass matrix:
# 2.64929, 0.00647308
-236.477,0.995027,0.865811,2,3,0,238.18,103.743,14.8536,-307.933,106.991
-236.137,0.964269,0.865811,3,7,0,236.828,103.845,13.5939,-307.591,113.266
-236.88,0.883186,0.865811,2,3,0,236.976,106.015,13.579,-308.382,99.2059
-236.113,0.988688,0.865811,1,3,0,236.986,104.202,13.6493,-307.577,114.51
-236.768,0.919103,0.865811,2,3,0,236.774,102.81,14.8761,-308.196,122.147
-237.282,0.960719,0.865811,2,3,0,237.592,103.76,15.7536,-308.736,107.948
-237.525,0.965571,0.865811,1,1,0,237.669,104.176,15.9843,-308.989,75.728
-237.663,0.983036,0.865811,2,7,0,237.706,104.14,12.0806,-309.108,108.395
-237.207,0.979103,0.865811,2,7,0,238.171,103.03,15.5182,-308.64,101.24
-236.442,0.987008,0.865811,2,3,0,237.546,102.817,14.0643,-307.868,95.9289
-236.514,0.993904,0.865811,3,7,0,236.771,105.309,13.3432,-308.001,100.957
-236.597,0.967965,0.865811,2,7,0,237.115,103.692,12.8398,-308.04,104.968
-236.218,0.978792,0.865811,2,3,0,236.808,104.183,13.3158,-307.679,124.86
-237.241,0.842018,0.865811,2,3,0,237.727,106.305,13.3453,-308.747,90.8006
-239.184,0.816203,0.865811,2,3,0,239.848,104.551,17.1658,-310.65,95.3197
-238.807,1,0.865811,3,7,0,240.479,101.965,12.1046,-310.186,86.8392
-239.047,0.927931,0.865811,1,1,0,239.719,101.848,12.0566,-310.421,91.4351
-237.452,1,0.865811,2,3,0,239.42,103.917,15.9166,-308.91,97.0021
-236.121,0.958086,0.865811,1,3,0,237.887,104.35,14.0514,-307.591,100.88
-236.318,0.722494,0.865811,2,3,0,239.381,103.557,13.2483,-307.761,99.1973
-236.174,0.813467,0.865811,2,3,0,237.999,104.693,14.044,-307.652,116.527
-236.186,0.998415,0.865811,3,7,0,236.243,103.44,13.8589,-307.631,130.063
-236.251,0.946068,0.865811,1,3,0,236.62,104.994,13.9399,-307.735,115.024
-236.623,0.831439,0.865811,2,3,0,237.459,102.557,13.6043,-308.038,94.7809
-236.659,0.999161,0.865811,2,7,0,236.755,105.8,13.9615,-308.16,101.315
-236.849,0.837759,0.865811,2,7,0,238.428,102.401,13.3162,-308.257,124.387
-237.108,0.898054,0.865811,2,3,0,238.615,105.494,12.7468,-308.593,85.4002
-236.234,0.969366,0.865811,2,3,0,237.43,104.941,13.9555,-307.717,103.621
-236.651,0.901447,0.865811,2,3,0,237.073,104.467,12.777,-308.114,117.94
-236.651,0.845489,0.865811,1,1,0,237.277,104.467,12.777,-308.114,114.761
-236.581,0.885981,0.865811,3,7,0,237.61,103.671,12.8601,-308.024,103.152
-237.623,0.787222,0.865811,1,1,0,237.626,103.432,12.1609,-309.05,89.4782
-237.567,0.807599,0.865811,2,3,0,240.106,106.286,12.9264,-309.069,108.256
-238.48,0.801651,0.865811,2,3,0,239.255,101.993,16.2103,-309.876,88.9788
-236.324,1,0.865811,2,3,0,238.248,103.694,13.1858,-307.771,116.754
-236.394,0.9912,0.865811,3,7,0,236.564,103.028,13.5005,-307.823,110.797
-236.767,0.916838,0.865811,1,1,0,236.781,102.609,13.2103,-308.181,98.2989
-237.716,0.912019,0.865811,2,7,0,238.108,106.753,13.335,-309.229,112.629
-240.159,0.822721,0.865811,2,7,0,240.77,99.7853,13.4255,-311.464,100.184
-237.302,1,0.865811,2,3,0,240.181,104.172,15.791,-308.767,106.329
-236.622,1,0.865811,2,3,0,237.246,104.593,15.0385,-308.1,99.1351
-237.933,0.771923,0.865811,2,3,0,239.083,107.055,13.5709,-309.452,95.0634
-236.174,0.971004,0.865811,1,3,0,238.046,104.603,14.1485,-307.651,115.826
-236.149,0.97581,0.865811,2,7,0,236.377,103.65,13.6971,-307.598,92.921
-236.179,0.854888,0.865811,2,3,0,237.346,103.702,14.2167,-307.632,97.0374
-236.327,0.950802,0.865811,2,3,0,236.743,104.753,13.2746,-307.802,100.696
-236.496,0.975427,0.865811,2,3,0,236.686,102.821,13.5051,-307.919,80.2768
-239.553,0.64907,0.865811,2,3,0,239.808,105.435,17.2781,-311.038,109.427
-236.403,1,0.865811,2,3,0,239.225,102.874,13.897,-307.83,105.947
-236.672,0.867502,0.865811,2,3,0,237.834,104.237,15.1447,-308.14,98.2924
-236.595,0.988787,0.865811,2,3,0,237.085,102.656,14.3668,-308.016,90.0148
-236.288,0.922877,0.865811,1,3,0,237.459,104.668,13.3078,-307.761,83.4666
-236.663,0.922643,0.865811,2,3,0,236.943,102.832,14.7186,-308.091,97.9505
-236.262,0.929882,0.865811,2,7,0,237.399,103.897,13.2461,-307.715,82.9184
-236.49,0.983771,0.865811,2,3,0,236.505,103.422,13.0411,-307.928,76.3336
-237.275,0.857372,0.865811,2,3,0,237.699,105.879,15.2604,-308.78,110.159
-237.057,1,0.865811,1,1,0,237.345,105.448,15.2615,-308.553,76.5339
-236.334,1,0.865811,2,3,0,237.029,103.096,13.6097,-307.766,108.941
-237.531,0.628975,0.865811,1,3,0,239.672,105.557,15.7121,-309.028,90.7532
-238.043,0.958625,0.865811,2,3,0,238.251,102.949,12.0647,-309.453,96.9661
-237.852,1,0.865811,2,3,0,238.402,103.62,12.0175,-309.282,111.014
-238.092,0.933726,0.865811,1,1,0,238.454,103.281,11.9602,-309.511,94.3306
-238.092,0.467974,0.865811,1,1,0,240.26,103.281,11.9602,-309.511,112.657
-237.589,0.879229,0.865811,2,3,0,240.049,106.758,13.5672,-309.103,88.5256
-237.701,0.940829,0.865811,3,7,0,239.453,102.638,15.8402,-309.122,120.035
-237.686,0.982097,0.865811,3,7,0,238.839,106.869,14.671,-309.207,109.107
-237.991,0.932105,0.865811,1,1,0,238.199,107.218,14.4269,-309.515,102.392
-239.437,0.86798,0.865811,2,3,0,239.789,99.9498,14.3487,-310.754,116.567
-237.157,1,0.865811,2,3,0,239.54,105.397,15.4,-308.652,114.933
-237.903,0.92343,0.865811,2,3,0,238.467,102.962,12.1304,-309.315,90.2721
-236.799,1,0.865811,1,1,0,237.649,103.365,12.731,-308.232,107.935
-238.012,0.802961,0.865811,2,3,0,239.353,106.639,12.8712,-309.519,98.0279
-238.821,0.961111,0.865811,3,7,0,240.197,105.974,16.6197,-310.321,83.418
-236.765,1,0.865811,2,3,0,239.041,102.804,14.867,-308.192,94.4262
-236.328,0.920076,0.865811,2,3,0,237.72,103.784,13.1563,-307.777,96.5701
-236.482,0.967583,0.865811,1,1,0,236.498,103.665,12.9737,-307.925,86.9611
-236.306,1,0.865811,2,3,0,236.578,103.683,14.5435,-307.76,107.529
-236.302,0.982102,0.865811,3,7,0,236.611,105.062,13.6274,-307.786,94.1982
-236.101,0.996947,0.865811,1,3,0,236.313,104.222,13.7602,-307.566,107.112
-236.299,0.944323,0.865811,1,3,0,236.474,103.294,14.2998,-307.741,94.1806
-236.576,0.950299,0.865811,2,3,0,236.856,102.572,13.8136,-307.992,89.1541
-237.596,0.817805,0.865811,2,3,0,238.423,103.295,12.2041,-309.019,72.9918
