# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-21 17:31:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\rneql_4v.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_fit-20220621193144_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.850417
# Diagonal elements of inverse mass matrix:
# 2.83881, 0.00686827
-237.691,0.696694,0.850417,1,3,0,238.818,101.304,13.7954,-309.063,91.5389
-237.691,0.528331,0.850417,1,1,0,239.518,101.304,13.7954,-309.063,107.2
-236.318,1,0.850417,2,3,0,237.518,105.011,13.4957,-307.8,97.1596
-236.676,0.942574,0.850417,2,3,0,236.744,102.465,14.2575,-308.091,80.0331
-236.627,0.869193,0.850417,2,7,0,238.055,104.597,12.8253,-308.094,121.129
-236.437,0.919692,0.850417,2,3,0,237.24,102.877,13.6048,-307.863,101.266
-236.304,1,0.850417,2,3,0,236.498,104.87,14.3796,-307.788,81.3926
-238.165,0.762375,0.850417,1,3,0,238.672,106.09,16.0419,-309.671,140.675
-237.552,0.968824,0.850417,2,3,0,239.147,105.052,12.2648,-309.022,95.5851
-237.05,0.816848,0.850417,2,3,0,239.329,106.28,14.3037,-308.56,123.464
-236.966,0.992019,0.850417,2,7,0,237.484,105.377,15.187,-308.461,133.331
-239.816,0.825558,0.850417,2,7,0,239.878,101.493,11.9261,-311.175,115.606
-237.805,1,0.850417,2,3,0,240.347,103.671,16.1857,-309.255,114.462
-236.697,0.991532,0.850417,2,3,0,238.148,102.688,14.6508,-308.12,90.9013
-237.481,0.842035,0.850417,2,3,0,238.879,102.632,12.505,-308.888,73.9762
-236.977,0.775711,0.850417,2,3,0,240.257,105.724,14.977,-308.478,91.4423
-237.286,0.984025,0.850417,2,3,0,237.482,105.16,15.6229,-308.775,101.698
-237.454,0.98247,0.850417,2,3,0,237.683,102.798,12.4469,-308.866,90.7669
-237.427,0.757627,0.850417,2,3,0,240.916,105.393,15.6787,-308.921,115.666
-238.057,0.897355,0.850417,2,3,0,239.224,106.661,12.8553,-309.564,97.1246
-236.297,1,0.850417,2,3,0,237.989,103.227,13.5491,-307.733,114.206
-236.245,0.995238,0.850417,2,3,0,236.452,104.982,13.9002,-307.729,80.9555
-236.449,0.973038,0.850417,2,7,0,236.529,103.234,14.6118,-307.889,88.6563
-236.657,0.96675,0.850417,1,1,0,236.675,102.851,14.7231,-308.085,120.287
-237.018,0.929226,0.850417,2,3,0,237.586,106.068,13.3645,-308.52,119.239
-236.615,1,0.850417,2,3,0,237.019,105.73,13.8833,-308.115,113.33
-238.456,0.400465,0.850417,1,3,0,242.099,101.621,15.9623,-309.84,66.7883
-236.47,0.980397,0.850417,2,7,0,238.31,104.047,12.935,-307.924,92.0288
-236.295,0.988299,0.850417,2,3,0,236.696,105.103,13.7735,-307.781,110.556
-236.268,1,0.850417,2,3,0,236.374,103.198,13.7698,-307.705,92.152
-236.307,0.926434,0.850417,2,3,0,237.024,105.001,13.5194,-307.789,112.626
-236.099,1,0.850417,2,3,0,236.273,104.025,13.9243,-307.56,105.891
-236.526,0.853011,0.850417,2,3,0,237.218,105.286,14.5622,-308.019,104.699
-236.161,1,0.850417,2,3,0,236.53,104.361,13.4945,-307.628,94.4317
-237.393,0.758498,0.850417,2,3,0,238.149,106.648,14.4056,-308.91,113.189
-236.228,0.908277,0.850417,1,3,0,238.197,103.642,14.3389,-307.679,90.6699
-236.725,0.937037,0.850417,3,7,0,236.873,104.875,15.0958,-308.208,96.7203
-237.25,0.963888,0.850417,2,3,0,237.53,102.03,13.1737,-308.644,100.887
-237.434,0.98693,0.850417,2,3,0,238.371,105.798,12.6626,-308.924,103.29
-236.562,1,0.850417,1,1,0,237.237,104.855,12.9763,-308.036,133.356
-236.566,0.935127,0.850417,2,3,0,237.3,103.973,15.0075,-308.027,90.7581
-238.06,0.862219,0.850417,2,3,0,238.361,107.208,14.7283,-309.585,89.9633
-238.586,0.957861,0.850417,1,1,0,238.792,107.444,15.262,-310.114,128.681
-238.249,1,0.850417,2,7,0,238.979,100.961,13.4836,-309.605,123.216
-239.311,0.727501,0.850417,1,1,0,239.658,100.474,13.0871,-310.643,90.3628
-236.397,1,0.850417,2,3,0,239.438,103.546,14.6689,-307.847,117.908
-239.762,0.579964,0.850417,2,3,0,240.806,100.936,12.3194,-311.104,118.146
-236.178,0.846827,0.850417,1,3,0,240.862,104.631,14.1403,-307.655,99
-236.481,0.96049,0.850417,2,3,0,236.611,104.878,13.0907,-307.957,98.0012
-236.207,0.979429,0.850417,2,3,0,236.728,104.769,14.1331,-307.687,106.216
-236.736,0.929231,0.850417,2,3,0,236.957,104.969,12.8346,-308.211,106.927
-237.248,0.887161,0.850417,2,3,0,238.11,102.259,12.9397,-308.648,98.864
-237.847,0.852851,0.850417,1,1,0,238.039,101.64,12.9523,-309.224,121.845
-238.375,0.949145,0.850417,2,3,0,238.933,107.344,15.0889,-309.901,114.579
-237.791,1,0.850417,1,1,0,238.398,106.831,14.9709,-309.311,89.5843
-237.559,0.87957,0.850417,2,3,0,239.559,101.876,12.9872,-308.945,83.3089
-237.104,1,0.850417,1,1,0,237.638,102.525,12.8737,-308.512,98.8716
-237.316,0.981127,0.850417,2,7,0,237.947,103.804,15.789,-308.772,121.777
-236.652,0.97481,0.850417,2,3,0,237.759,103.448,15.0225,-308.099,94.7696
-236.366,0.983334,0.850417,2,3,0,236.905,103.655,14.649,-307.818,121.264
-236.471,0.963255,0.850417,2,3,0,236.914,105.025,13.1863,-307.951,104.253
-236.621,0.877461,0.850417,2,3,0,237.563,105.02,12.9798,-308.099,115.239
-237.187,0.927516,0.850417,2,3,0,237.435,103.866,15.676,-308.644,73.9665
-236.58,1,0.850417,2,3,0,237.404,102.711,13.4457,-308,96.1149
-238.12,0.879173,0.850417,2,3,0,238.572,106.166,12.4261,-309.614,105.513
-237.723,0.97321,0.850417,2,3,0,238.733,101.545,15.0432,-309.107,117.44
