# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-21 17:41:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\plcs3278.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_fit-20220621194111_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.790499
# Diagonal elements of inverse mass matrix:
# 2.30441, 0.00668295
-236.476,0.983771,0.790499,3,7,0,239.176,104.767,12.9727,-308.009,108.795
-236.133,1,0.790499,2,3,0,236.515,103.305,13.8771,-307.667,77.5441
-236.153,0.978989,0.790499,3,7,0,236.438,103.96,14.447,-307.693,136.991
-237.34,0.866276,0.790499,3,7,0,238.089,105.519,15.5844,-308.881,131.536
-237.748,0.960799,0.790499,1,1,0,237.804,105.909,15.787,-309.287,118.098
-236.903,0.989808,0.790499,3,7,0,238.466,102.49,15.0003,-308.432,105.906
-236.42,0.997583,0.790499,2,3,0,237.084,102.642,13.9212,-307.948,84.362
-236.349,0.848899,0.790499,1,3,0,238.233,105.315,14.1082,-307.889,86.4978
-236.584,0.961367,0.790499,2,3,0,236.902,105.3,13.1371,-308.118,85.9472
-236.922,0.980335,0.790499,2,3,0,236.975,105.815,13.1427,-308.455,96.3649
-236.39,1,0.790499,2,3,0,237.077,104.383,14.8482,-307.932,81.8795
-236.603,0.978865,0.790499,3,7,0,237.014,104.803,12.8469,-308.134,98.221
-236.029,0.853539,0.790499,3,7,0,238.011,103.965,13.7099,-307.566,99.2502
-236.167,0.96359,0.790499,1,3,0,236.373,104.908,13.976,-307.707,88.5143
-237.564,0.843304,0.790499,2,3,0,237.771,102.164,15.5722,-309.088,88.5333
-236.797,1,0.790499,2,3,0,237.591,103.137,15.2159,-308.331,109.823
-237.07,0.805587,0.790499,2,3,0,239.41,104.908,15.5372,-308.611,121.549
-236.828,1,0.790499,1,1,0,237.083,104.728,15.3293,-308.37,101.062
-236.145,1,0.790499,2,3,0,236.801,104.845,13.946,-307.685,115.004
-241.267,0.620491,0.790499,2,3,0,241.53,109.23,14.0047,-312.767,107.555
-238.363,1,0.790499,2,3,0,241.475,107.278,13.3425,-309.888,128.069
-236.833,1,0.790499,2,3,0,238.458,106.017,14.369,-308.372,112.236
-238.639,0.839297,0.790499,3,7,0,239.068,100.455,14.8376,-310.136,97.1175
-236.756,0.942892,0.790499,2,3,0,239.573,105.431,13.0129,-308.289,138.82
-236.891,0.99084,0.790499,3,7,0,237.085,102.568,15.0399,-308.42,92.2634
-236.183,0.995708,0.790499,2,3,0,236.989,104.919,13.6817,-307.721,107.309
-236.921,0.915248,0.790499,3,7,0,237.181,105.761,13.0903,-308.454,120.767
-236.758,1,0.790499,3,7,0,237.419,102.547,14.8229,-308.287,86.5689
-237.096,0.945199,0.790499,2,3,0,237.75,106.377,13.8388,-308.632,117.12
-237.304,0.966609,0.790499,1,1,0,237.403,106.579,13.7868,-308.838,121.668
-236.72,1,0.790499,1,1,0,237.22,105.939,13.9809,-308.258,110.561
-236.22,0.906792,0.790499,3,7,0,238.296,103.129,14.1473,-307.753,90.1194
-236.306,0.990234,0.790499,3,7,0,236.471,104.028,14.7437,-307.846,125.438
-237.518,0.823659,0.790499,2,3,0,239.268,101.414,13.5574,-309.027,107.183
-236.044,1,0.790499,2,3,0,237.302,104.021,14.1042,-307.583,91.8495
-236.058,0.985556,0.790499,1,3,0,236.191,104.196,13.5584,-307.595,76.2712
-236.134,0.926852,0.790499,3,7,0,236.752,103.649,13.4185,-307.667,117.101
-236.112,0.970195,0.790499,2,3,0,236.48,103.478,14.1148,-307.647,133.365
-236.303,0.984602,0.790499,3,7,0,236.352,104.903,13.3004,-307.839,106.487
-236.433,0.969438,0.790499,3,7,0,236.741,103.185,14.7292,-307.968,102.014
-236.336,0.891789,0.790499,1,3,0,237.923,105.291,13.7216,-307.874,82.7805
-236.077,0.958022,0.790499,2,3,0,236.812,103.736,13.5549,-307.612,89.6847
-236.229,0.927361,0.790499,3,7,0,236.881,103.049,14.0047,-307.761,105.524
-236.089,0.955438,0.790499,1,3,0,236.766,104.506,13.5873,-307.627,91.5628
-236.075,0.970333,0.790499,1,3,0,236.382,103.596,14.0341,-307.611,108.613
-236.668,0.947587,0.790499,3,7,0,236.705,103.741,15.2115,-308.206,109.791
-236.971,0.971112,0.790499,2,3,0,237.42,102.214,14.8524,-308.496,107.147
-236.812,1,0.790499,2,3,0,237.124,102.104,14.2812,-308.334,107.744
-236.575,1,0.790499,2,3,0,236.883,102.396,13.8389,-308.099,96.0133
-236.093,0.979401,0.790499,2,3,0,236.85,104.59,13.6575,-307.631,96.6533
-236.537,0.72988,0.790499,2,3,0,239.867,102.999,13.0731,-308.062,101.486
-236.369,0.798809,0.790499,1,3,0,238.484,105.209,14.3785,-307.91,94.5427
-237.528,0.89674,0.790499,2,3,0,237.873,105.936,12.6531,-309.055,112.981
-240.671,0.813111,0.790499,2,3,0,240.828,106.327,11.4515,-312.177,102.087
-237.877,1,0.790499,2,3,0,240.597,106.517,12.8491,-309.403,94.1977
-237.592,0.912712,0.790499,3,7,0,240.756,103,15.9606,-309.123,103.144
-237.999,0.982892,0.790499,3,7,0,238.932,106.947,15.1552,-309.533,119.842
-236.133,0.858285,0.790499,1,3,0,240.273,103.611,14.2986,-307.67,142.086
-236.084,0.999958,0.790499,2,7,0,236.128,104.426,13.5521,-307.621,114.851
-236.479,0.956778,0.790499,2,3,0,236.544,102.683,14.3862,-308.009,98.5469
-236.475,0.960053,0.790499,3,7,0,237.158,104.539,12.9027,-308.007,98.2509
-236.395,0.827196,0.790499,1,3,0,238.188,104.24,14.8733,-307.936,104.877
-236.364,0.998857,0.790499,3,7,0,236.634,105.336,14.1377,-307.905,100.779
-236.067,0.949675,0.790499,2,3,0,236.937,104.5,13.7108,-307.605,96.8659
-236.826,0.793227,0.790499,1,3,0,237.936,103.45,15.3399,-308.363,119.209
-236.7,0.99762,0.790499,3,7,0,237.174,104.632,12.7062,-308.229,123.791
-236.612,0.98373,0.790499,2,7,0,237.294,102.606,13.2916,-308.135,146.131
-236.247,1,0.790499,2,3,0,236.75,105.052,13.6099,-307.786,105.796
-236.241,1,0.790499,3,7,0,236.259,103.057,14.1175,-307.774,96.6546
-236.392,0.923536,0.790499,2,3,0,237.156,103.091,14.5963,-307.926,102.921
-236.232,0.996892,0.790499,2,3,0,236.534,103.636,13.216,-307.763,100.936
-237.16,0.864794,0.790499,2,3,0,237.696,105.273,12.5596,-308.688,74.1301
-236.324,0.972151,0.790499,3,7,0,237.542,103.205,14.5322,-307.858,103.174
-236.483,0.97486,0.790499,2,3,0,236.725,103.932,15.0001,-308.023,120.675
-236.838,0.968428,0.790499,2,3,0,237.171,103.073,12.7181,-308.36,120.001
-239.495,0.720153,0.790499,2,3,0,240.171,102.613,17.2507,-311.014,113.363
-237.043,1,0.790499,2,3,0,239.956,104.13,15.6217,-308.583,95.2914
-236.089,1,0.790499,2,3,0,236.947,104.625,13.7392,-307.628,115.431
-236.157,0.933686,0.790499,2,3,0,236.766,104.888,13.869,-307.696,101.473
-236.154,0.927168,0.790499,3,7,0,237.057,104.876,13.9406,-307.694,110.574
-236.547,0.96207,0.790499,3,7,0,236.639,102.781,14.6545,-308.079,87.5006
-236.916,0.947656,0.790499,2,7,0,237.531,106.141,14.3291,-308.454,103.319
-236.263,1,0.790499,2,3,0,237.018,103.855,14.6573,-307.802,108.139
-236.794,0.823648,0.790499,2,3,0,238.222,103.663,15.3436,-308.333,90.9204
-236.483,0.82514,0.790499,1,3,0,239.334,104.277,12.8493,-308.013,110.775
-236.87,0.912511,0.790499,3,7,0,237.508,103.316,12.609,-308.393,104.412
-236.262,0.975438,0.790499,2,3,0,237.358,104.799,13.3116,-307.798,86.0946
-236.306,0.992349,0.790499,1,1,0,236.335,104.905,13.2953,-307.842,125.623
-237.922,0.826171,0.790499,2,3,0,238.355,107.158,13.9315,-309.452,108.848
-236.521,1,0.790499,2,3,0,237.965,105.082,14.7952,-308.063,99.4824
-236.182,0.997302,0.790499,2,3,0,236.7,104.329,13.2658,-307.716,96.3415
-236.049,0.98822,0.790499,2,3,0,236.346,103.701,13.9488,-307.585,113.702
-236.07,0.995893,0.790499,3,7,0,236.11,104.273,13.5359,-307.607,112.534
-236.307,0.963836,0.790499,2,3,0,236.447,103.497,13.1426,-307.837,83.0184
-236.999,0.81945,0.790499,3,7,0,238.213,105.183,15.3714,-308.541,125.505
-237.076,0.976447,0.790499,3,7,0,238.108,106.313,14.4119,-308.614,97.0095
-236.42,0.987502,0.790499,2,3,0,237.366,103.194,14.7114,-307.955,87.3619
-236.956,0.936854,0.790499,2,3,0,237.382,106.235,13.9901,-308.493,80.2848
-236.891,0.988761,0.790499,2,3,0,237.514,105.593,15.014,-308.433,96.0608
-237.588,0.939544,0.790499,2,3,0,238.022,106.429,15.2183,-309.125,91.8257
-238.53,0.911906,0.790499,3,7,0,239.482,100.463,14.2511,-310.026,103.664
-237.222,1,0.790499,2,3,0,238.971,102.971,15.6128,-308.754,96.1216
-237.715,0.977012,0.790499,3,7,0,237.75,102.629,15.9458,-309.243,140.506
-237.701,0.998459,0.790499,3,7,0,238.644,106.678,13.214,-309.23,99.1218
-237.701,0.734971,0.790499,1,1,0,238.845,106.678,13.214,-309.23,125.762
-238.421,0.949264,0.790499,3,7,0,240.005,104.534,16.6999,-309.957,97.9366
-237.025,0.957788,0.790499,3,7,0,240.314,106.239,14.4463,-308.564,105.13
-236.142,0.946936,0.790499,3,7,0,237.866,103.878,13.3299,-307.675,104.638
-236.363,0.975603,0.790499,3,7,0,236.501,105.116,13.3567,-307.899,88.0059
-236.985,0.653087,0.790499,1,3,0,239.78,102.816,15.301,-308.517,107.351
-236.884,0.987436,0.790499,3,7,0,237.577,101.997,14.2364,-308.405,105.953
-236.708,0.99942,0.790499,3,7,0,236.901,102.24,14.2515,-308.232,97.7223
-236.041,0.932546,0.790499,1,3,0,237.61,104.373,13.7827,-307.579,112.858
-236.135,0.96159,0.790499,1,3,0,236.387,103.47,14.2081,-307.671,117.852
-236.122,0.999922,0.790499,3,7,0,236.142,103.484,14.1716,-307.658,102.147
