# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-21 18:24:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\_afgozmg.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_fit-20220621202436_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.753898
# Diagonal elements of inverse mass matrix:
# 2.70787, 0.0066869
-236.373,0.98824,0.753898,2,3,0,236.871,104.145,12.9608,-307.905,102.234
-236.153,0.996308,0.753898,2,3,0,236.455,104.429,14.3891,-307.694,115.232
-236.56,0.965447,0.753898,2,3,0,236.65,102.62,13.3742,-308.084,120.056
-236.974,0.972251,0.753898,2,7,0,237.382,101.876,14.1843,-308.493,88.6966
-236.395,0.995118,0.753898,2,3,0,237.144,102.913,14.4498,-307.927,108.634
-236.145,0.998791,0.753898,3,7,0,236.443,103.808,14.4026,-307.684,93.8005
-243.178,0.664098,0.753898,2,3,0,243.271,109.427,12.8448,-314.666,128.506
-239.489,1,0.753898,2,3,0,242.553,107.787,13.0062,-311.005,109.53
-237.54,1,0.753898,2,3,0,240.16,101.623,13.1626,-309.049,111.361
-236.761,0.916204,0.753898,2,3,0,238.933,105.908,13.5819,-308.297,113.3
-236.681,0.940276,0.753898,3,7,0,237.953,102.495,14.6296,-308.209,81.6193
-236.932,0.990448,0.753898,2,3,0,237.121,102.866,15.2624,-308.464,97.8902
-236.843,1,0.753898,2,3,0,236.999,102.789,15.1147,-308.375,94.624
-236.409,0.980171,0.753898,2,7,0,237.466,103.614,12.97,-307.938,100.711
-238.806,0.751975,0.753898,3,7,0,239.272,107.304,15.7425,-310.335,107.269
-237.437,0.961438,0.753898,3,7,0,239.98,106.21,12.9526,-308.966,81.2532
-237.143,0.884023,0.753898,2,3,0,239.058,104.851,12.4268,-308.669,106.603
-237.834,0.865686,0.753898,2,7,0,238.922,101.79,15.5957,-309.352,117.96
-237.687,1,0.753898,1,1,0,237.966,101.74,15.388,-309.206,94.4184
-238.025,0.986605,0.753898,2,3,0,238.395,102.41,16.1237,-309.549,81.5536
-237.52,0.996873,0.753898,3,7,0,238.489,104.039,12.1143,-309.04,108.31
-242.021,0.631352,0.753898,3,7,0,242.562,100.667,18.1097,-313.502,110.689
-237.005,1,0.753898,2,3,0,241.861,101.832,14.1175,-308.523,86.6584
-236.368,0.898169,0.753898,2,3,0,238.469,103.305,14.6752,-307.903,100.235
-236.382,0.999042,0.753898,3,7,0,236.525,104.874,13.1462,-307.917,106.219
-236.601,0.94333,0.753898,2,3,0,237.064,105.002,12.931,-308.134,106.974
-237.354,0.909316,0.753898,2,3,0,237.974,103.376,12.2706,-308.873,100.156
-236.792,0.971486,0.753898,2,3,0,237.938,105.888,14.516,-308.332,100.902
-237.076,0.969997,0.753898,2,3,0,237.553,105.037,15.5058,-308.618,112.472
-236.412,1,0.753898,2,3,0,237.101,104.274,14.8951,-307.953,106.639
-238.422,0.839544,0.753898,2,3,0,238.608,100.546,14.3649,-309.919,110.836
-236.668,1,0.753898,3,7,0,238.941,103.921,12.6698,-308.195,99.9288
-236.488,0.998434,0.753898,3,7,0,236.899,104.889,14.8429,-308.031,85.6093
-236.219,0.991183,0.753898,3,7,0,236.758,104.726,13.3551,-307.755,100.753
-236.366,0.90836,0.753898,2,3,0,237.373,102.997,13.3546,-307.894,99.0279
-237.397,0.878285,0.753898,2,3,0,237.852,101.415,14.0802,-308.909,109.575
-237.31,1,0.753898,1,1,0,237.572,101.515,13.8956,-308.823,111.076
-239.096,0.820298,0.753898,2,7,0,240.192,105.002,17.0964,-310.629,94.1176
-239.413,0.953671,0.753898,2,3,0,240.977,106.685,16.7537,-310.942,128.463
-239.818,0.990198,0.753898,3,7,0,240.542,105.487,17.4634,-311.346,123.939
-236.719,0.952359,0.753898,2,3,0,241.406,105.734,14.576,-308.259,81.6397
-238.11,0.902757,0.753898,2,3,0,238.481,106.361,15.8575,-309.647,115.187
-236.063,0.898162,0.753898,1,3,0,239.541,104.496,13.9746,-307.602,99.6004
-236.607,0.908828,0.753898,3,7,0,237.23,102.987,12.992,-308.131,87.8355
-236.479,1,0.753898,3,7,0,236.746,104.466,14.9609,-308.021,94.1714
-236.044,0.948553,0.753898,1,3,0,237.147,103.881,13.6427,-307.579,110.244
-236.273,0.964708,0.753898,2,3,0,236.379,102.982,13.6601,-307.803,110.447
-236.352,0.993456,0.753898,3,7,0,236.571,104.59,14.7388,-307.894,96.0575
-236.619,0.974649,0.753898,3,7,0,236.826,104.903,15.0244,-308.162,136.71
-237.185,0.96916,0.753898,2,3,0,237.256,104.644,15.7056,-308.725,131.477
-237.607,0.974509,0.753898,3,7,0,238.463,101.617,13.0916,-309.116,92.8209
-236.53,0.74539,0.753898,3,7,0,240.617,105.636,13.7381,-308.069,80.6917
-236.215,0.994311,0.753898,2,3,0,236.668,103.139,13.6288,-307.746,109.366
-236.119,1,0.753898,2,3,0,236.204,103.367,13.7772,-307.652,90.3276
-236.608,0.945049,0.753898,2,3,0,236.735,103.521,12.781,-308.134,96.6772
-236.499,0.984434,0.753898,3,7,0,237.153,102.603,13.556,-308.024,100.086
-236.091,0.938439,0.753898,1,3,0,237.159,104.259,14.2617,-307.631,97.2853
-236.038,0.98755,0.753898,1,3,0,236.237,104.223,13.6677,-307.576,97.6911
-236.078,0.979097,0.753898,1,3,0,236.226,103.563,14.0163,-307.614,102.181
-236.021,0.943619,0.753898,3,7,0,236.735,104.15,13.8735,-307.559,119.129
-236.021,0.857551,0.753898,1,3,0,237.279,104.15,13.8735,-307.559,95.2202
-236.302,0.938349,0.753898,1,3,0,236.587,102.92,14.1407,-307.833,95.4495
-236.139,0.99511,0.753898,2,3,0,236.391,103.319,13.7167,-307.671,72.494
-236.111,1,0.753898,3,7,0,236.17,103.398,13.9652,-307.646,90.0936
-236.49,0.885093,0.753898,2,3,0,237.404,104.19,12.8348,-308.02,123.671
-237.373,0.88611,0.753898,2,3,0,237.871,105.912,15.3955,-308.913,113.934
-238.154,0.916392,0.753898,3,7,0,239.245,100.751,14.2618,-309.656,98.2021
