# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-21 18:55:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\cggnyrrh.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_fit-20220621205508_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.912087
# Diagonal elements of inverse mass matrix:
# 2.22674, 0.0062948
-236.34,0.88845,0.912087,1,3,0,236.985,105.002,14.5078,-307.882,126.277
-236.396,0.99289,0.912087,3,7,0,236.617,105.418,13.7689,-307.935,115.446
-236.388,0.987315,0.912087,3,7,0,236.773,102.735,13.6967,-307.916,103.128
-237.142,0.921944,0.912087,2,3,0,237.466,102.304,15.1821,-308.668,88.464
-236.622,0.974816,0.912087,2,3,0,237.34,104.399,12.7303,-308.152,94.0563
-236.472,0.762709,0.912087,2,3,0,238.954,103.743,14.9657,-308.011,110.486
-236.692,0.905258,0.912087,2,3,0,237.796,104.686,12.7263,-308.222,97.3494
-236.645,0.994066,0.912087,3,7,0,237.176,103.012,12.9354,-308.168,96.6765
-236.411,0.982935,0.912087,2,3,0,236.921,105.088,14.5929,-307.953,122.508
-236.411,0.79259,0.912087,2,3,0,238.197,105.088,14.5929,-307.953,133.632
-236.188,0.944606,0.912087,1,3,0,237.071,104.06,13.2243,-307.722,94.1402
-236.515,0.917843,0.912087,2,3,0,236.964,104.1,12.8059,-308.045,89.223
-236.893,0.676226,0.912087,1,3,0,238.997,104.701,15.4064,-308.435,133.922
-236.798,0.802256,0.912087,2,3,0,240.015,102.983,12.7941,-308.32,113.105
-236.388,0.994836,0.912087,2,3,0,237.174,105.171,13.3573,-307.925,114.256
-236.112,0.935224,0.912087,2,3,0,236.841,103.399,13.7588,-307.645,104.455
-236.266,0.912127,0.912087,1,3,0,236.791,105.098,14.1779,-307.807,101.294
-236.185,0.932383,0.912087,1,3,0,236.939,103.194,13.6828,-307.716,76.6892
-238.143,0.827062,0.912087,2,3,0,238.246,107.244,13.6154,-309.67,118.717
-237.085,1,0.912087,1,1,0,237.993,106.278,13.5538,-308.619,121.052
-242.413,0.38165,0.912087,2,3,0,243.353,100.905,18.4559,-313.894,102.414
-236.423,0.942153,0.912087,2,3,0,244.324,103.755,14.8987,-307.962,108.643
-237.311,0.905514,0.912087,2,3,0,237.787,101.762,14.8765,-308.83,109.206
-236.873,0.952868,0.912087,2,3,0,237.751,106.136,13.9711,-308.411,106.612
-237.033,0.956401,0.912087,3,7,0,237.803,102.096,13.2254,-308.55,90.382
-238,0.806142,0.912087,1,1,0,238.109,101.144,13.2909,-309.503,88.8488
-236.48,0.906254,0.912087,2,3,0,238.791,103.347,14.8753,-308.016,68.0563
-238.058,0.865364,0.912087,2,3,0,238.404,100.844,13.9942,-309.56,112.118
-237.443,0.978713,0.912087,2,3,0,238.957,102.347,15.5553,-308.969,97.9628
-236.912,0.950012,0.912087,2,3,0,238.531,106.1,13.5953,-308.447,112.5
-236.544,0.994692,0.912087,2,3,0,237.127,103.076,14.8508,-308.078,105.339
-236.381,0.875739,0.912087,1,3,0,237.863,104.5,13.0029,-307.914,96.2731
-236.381,0.555772,0.912087,1,3,0,239.66,104.5,13.0029,-307.914,83.4417
-237.267,0.834361,0.912087,2,3,0,237.864,106.467,13.5561,-308.8,104.834
