# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_fit_model
# start_datetime = 2022-06-21 18:55:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\cggnyrrh.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_fit-20220621205508_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,log_lik,calorie
# Adaptation terminated
# Step size = 0.80745
# Diagonal elements of inverse mass matrix:
# 2.5767, 0.0080817
-237.001,0.884274,0.80745,2,3,0,237.327,106.209,13.6118,-308.536,106.38
-236.752,0.972786,0.80745,2,3,0,237.571,105.438,14.9239,-308.294,102.937
-236.213,0.952067,0.80745,2,3,0,237.232,104.833,13.4509,-307.75,126.819
-237.762,0.719833,0.80745,2,3,0,238.916,102.097,12.5416,-309.272,92.6214
-237.762,0.521817,0.80745,1,1,0,239.583,102.097,12.5416,-309.272,122.931
-237.787,1,0.80745,3,7,0,237.943,106.475,15.4248,-309.324,107.922
-237.332,0.712692,0.80745,2,7,0,243.321,101.795,13.1985,-308.845,121.711
-238.221,0.941082,0.80745,2,3,0,238.759,107.374,14.6594,-309.751,108.863
-238.12,0.743762,0.80745,2,3,0,241.286,104.354,16.4975,-309.656,124.458
-236.311,1,0.80745,2,3,0,237.946,105.218,13.6577,-307.85,88.4018
-236.123,0.99124,0.80745,3,7,0,236.405,103.353,13.9688,-307.658,117.487
-236.869,0.770557,0.80745,1,3,0,238.091,105.778,14.818,-308.41,92.1933
-237.106,0.980282,0.80745,2,3,0,237.465,102.514,12.7756,-308.623,103.73
-238.235,0.73509,0.80745,1,1,0,238.413,102.65,12.0199,-309.743,109.287
-237.861,0.973091,0.80745,2,3,0,238.975,104.024,16.3132,-309.397,133.116
-238.105,0.964066,0.80745,2,3,0,239.245,103.136,11.9419,-309.616,131.346
-238.105,0.552083,0.80745,1,1,0,239.757,103.136,11.9419,-309.616,116.919
-237.226,0.993097,0.80745,2,7,0,238.333,104.961,15.6751,-308.767,123.83
-237.941,0.932074,0.80745,2,3,0,238.812,101.893,12.5595,-309.448,86.5849
-237.9,1,0.80745,2,3,0,238.666,102.93,12.0906,-309.412,87.318
-236.165,0.833789,0.80745,1,3,0,239.113,104.154,14.4752,-307.706,118.584
-236.538,0.974623,0.80745,2,3,0,236.603,102.586,13.4734,-308.063,103.162
-236.782,0.925172,0.80745,2,3,0,237.533,104.466,12.605,-308.311,116.501
-236.025,0.98798,0.80745,1,3,0,236.84,104.194,13.7731,-307.563,90.6992
-237.016,0.820227,0.80745,1,3,0,237.559,102.205,13.1236,-308.533,98.215
-236.743,1,0.80745,1,1,0,237.05,102.522,13.17,-308.264,119.511
-236.622,0.995444,0.80745,2,3,0,237.12,105.799,13.8836,-308.161,93.3272
-236.523,0.804121,0.80745,2,3,0,238.932,105.058,14.8128,-308.066,120.74
-236.494,0.917435,0.80745,2,7,0,237.407,105.125,13.1361,-308.029,110.074
-236.48,0.972074,0.80745,2,3,0,237.079,103.192,13.0373,-308.007,77.14
-236.043,0.994246,0.80745,2,3,0,236.534,103.912,13.6324,-307.579,105.636
-236.588,0.897278,0.80745,2,3,0,236.875,105.355,13.1753,-308.123,91.9727
-236.087,1,0.80745,2,3,0,236.503,103.906,14.258,-307.626,97.9918
-236.252,0.983001,0.80745,2,3,0,236.306,104.439,14.6045,-307.794,121.357
-236.104,0.992374,0.80745,2,3,0,236.351,103.98,14.322,-307.644,111.313
-236.159,0.989727,0.80745,1,1,0,236.164,104.003,14.4641,-307.699,103.125
-236.406,0.925236,0.80745,2,3,0,237.033,102.772,13.5424,-307.933,85.7484
-236.061,1,0.80745,2,7,0,236.363,104.514,13.8549,-307.6,100.472
-236.09,0.990047,0.80745,2,3,0,236.162,103.53,14.0544,-307.626,113.433
-236.124,0.963961,0.80745,1,3,0,236.448,104.739,13.6936,-307.663,114.715
-236.265,0.818432,0.80745,3,7,0,237.756,104.965,14.3489,-307.807,96.8126
-236.279,0.957316,0.80745,2,3,0,236.797,103.529,13.1756,-307.809,116.85
-236.602,0.826799,0.80745,1,3,0,237.608,103.388,15.058,-308.138,130.207
-237.17,0.878619,0.80745,2,3,0,238.044,101.683,13.7528,-308.685,88.4622
-236.228,0.963524,0.80745,2,3,0,237.98,104.087,13.1578,-307.761,92.7007
-236.744,0.897979,0.80745,2,3,0,237.281,102.772,12.9677,-308.266,107.317
-236.496,0.994071,0.80745,2,3,0,237.107,104.344,15.0028,-308.037,120.597
-236.97,0.78263,0.80745,2,3,0,238.457,105.484,12.8247,-308.501,101.381
-236.025,0.961293,0.80745,1,3,0,237.309,103.971,13.9528,-307.563,108.221
-236.142,0.978782,0.80745,1,3,0,236.17,103.753,14.3813,-307.681,102.59
-237.524,0.564817,0.80745,2,3,0,240.532,103.913,16.0438,-309.061,88.5951
-237.716,0.92022,0.80745,2,3,0,239.13,105.109,16.0699,-309.255,132.198
-236.455,0.980072,0.80745,2,3,0,238.015,104.168,14.9628,-307.995,95.5389
-236.612,0.977934,0.80745,2,3,0,237.019,102.517,14.5013,-308.14,111.424
-237.109,0.97823,0.80745,2,3,0,237.115,102.061,14.9126,-308.633,102.154
-236.902,0.970131,0.80745,2,3,0,237.835,102.07,13.5055,-308.421,107.268
-236.766,0.973655,0.80745,2,7,0,237.375,105.486,14.9102,-308.308,92.8081
-238.483,0.859338,0.80745,2,3,0,238.877,107.59,14.6455,-310.01,106.96
-236.781,0.994916,0.80745,2,3,0,238.588,105.576,14.8616,-308.323,126.702
-236.413,1,0.80745,2,3,0,236.962,103.474,13.0054,-307.941,108.107
-236.252,0.863486,0.80745,2,3,0,237.753,104.76,14.4722,-307.794,126.266
-236.09,0.983736,0.80745,2,3,0,236.504,104.338,13.4909,-307.626,89.6843
-236.059,0.987459,0.80745,2,3,0,236.223,103.689,14.0322,-307.596,104.619
-236.68,0.900396,0.80745,1,3,0,236.871,102.75,14.8598,-308.211,100.92
-237.015,0.953477,0.80745,2,3,0,237.432,106.253,13.6914,-308.55,104.941
-236.769,1,0.80745,2,3,0,237.373,102.126,13.8452,-308.291,89.4848
-236.487,0.879218,0.80745,2,3,0,238.575,105.122,13.1437,-308.022,100.662
-236.261,0.995303,0.80745,2,7,0,236.59,102.97,13.9975,-307.792,101.771
-237.343,0.914227,0.80745,2,3,0,237.552,105.139,12.384,-308.869,91.9376
-238.36,0.756106,0.80745,1,1,0,238.517,105.335,11.9224,-309.878,112.45
-237.744,0.954248,0.80745,2,7,0,239.494,101.17,14.635,-309.254,110.397
-237.779,0.676128,0.80745,1,3,0,243.683,105.995,12.5152,-309.304,104.851
-240.132,0.838763,0.80745,2,3,0,241.114,104.314,11.1711,-311.635,90.8859
-239.765,1,0.80745,2,7,0,240.023,103.335,17.5465,-311.287,110.613
-236.127,1,0.80745,2,3,0,239.127,104.607,13.5227,-307.664,119.992
-236.083,0.995246,0.80745,2,3,0,236.204,103.546,14.0288,-307.619,92.5573
-236.47,0.882293,0.80745,3,7,0,237.122,105.332,14.4984,-308.011,88.7743
-237.237,0.875476,0.80745,2,3,0,237.643,104.615,12.3167,-308.762,114.332
-236.113,1,0.80745,2,3,0,237.109,104.498,14.2375,-307.653,107.33
-236.166,0.960683,0.80745,1,3,0,236.562,103.373,13.5122,-307.698,103.417
-237.423,0.88347,0.80745,2,3,0,237.696,106.152,12.9117,-308.952,102.961
-237.322,1,0.80745,2,7,0,237.548,102.084,15.2363,-308.845,73.6929
-236.211,0.959859,0.80745,2,3,0,237.91,105.004,13.6986,-307.75,90.9478
-236.816,0.741833,0.80745,1,3,0,238.482,102.137,14.3911,-308.339,109.136
-236.94,0.985253,0.80745,1,1,0,237.027,102.078,14.6121,-308.463,110.057
-236.697,0.936854,0.80745,2,7,0,237.816,102.757,13.0321,-308.22,94.6757
-237.886,0.820482,0.80745,2,3,0,238.311,106.148,15.7795,-309.424,87.9768
-236.356,1,0.80745,2,3,0,237.806,105.059,13.3178,-307.892,115.054
-236.363,0.997068,0.80745,2,7,0,236.577,104.545,14.7696,-307.905,123.383
-236.117,0.966936,0.80745,2,3,0,236.624,104.68,13.6384,-307.655,98.8203
-238.614,0.713449,0.80745,2,3,0,239.452,107.308,13.1123,-310.136,118.773
-236.548,0.711802,0.80745,3,7,0,240.771,105.396,13.28,-308.083,124.526
-236.545,1,0.80745,2,3,0,236.923,105.049,14.8526,-308.088,104.404
-236.842,0.957508,0.80745,1,1,0,236.861,105.325,15.1194,-308.384,70.494
-236.464,0.979911,0.80745,2,3,0,237.194,105.117,14.6746,-308.006,111.394
-236.459,0.855504,0.80745,2,3,0,238.227,103.456,12.9555,-307.987,95.0608
-236.231,0.999866,0.80745,2,7,0,236.504,103.694,14.5662,-307.77,94.8448
-236.246,0.998771,0.80745,2,7,0,236.252,104.356,13.1593,-307.78,97.7326
-236.213,0.969291,0.80745,2,3,0,236.579,104.672,13.3352,-307.749,88.0829
-236.116,1,0.80745,2,3,0,236.269,104.591,14.1857,-307.657,122.453
-236.138,0.992057,0.80745,2,3,0,236.246,103.724,14.361,-307.676,82.9691
-236.427,0.95656,0.80745,2,3,0,236.603,104.377,14.9023,-307.968,96.8385
