# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_ppc_model
# start_datetime = 2022-06-12 19:25:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_ppc-20220612212523.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,mu,sigma,calories
0,0,92.8203,166.995,106.8
0,0,100.94,154.597,66.778
0,0,97.3316,83.4773,10.4443
0,0,130.994,18.2793,121.288
0,0,99.1067,46.2233,91.5583
0,0,95.5187,33.1528,125.123
0,0,110.15,279.797,147.391
0,0,144.834,81.0571,219.885
0,0,98.7328,21.2954,101.222
0,0,94.1255,18.7077,78.8557
0,0,109.581,157.358,234.738
0,0,108.92,8.43392,101.139
0,0,97.5069,84.7418,184.655
0,0,92.833,136.404,-87.8331
0,0,82.7548,404.511,-157.724
0,0,96.049,59.1744,133.823
0,0,97.8855,158.819,201.037
0,0,96.1589,23.5371,115.497
0,0,96.3639,48.3832,136.075
0,0,97.2388,173.015,-51.5147
0,0,74.8939,16.1258,60.5224
0,0,73.9551,13.2281,83.8585
0,0,122.57,86.6485,175.094
0,0,126.897,103.872,268.18
0,0,135.832,28.2318,114.786
0,0,138.616,130.327,289.108
0,0,105.27,320.895,-85.9336
0,0,83.5065,15.9423,69.3551
0,0,122.775,231.226,349.855
0,0,85.2591,88.2156,120.908
0,0,129.619,5.25545,138.31
0,0,125.756,118.228,141.85
0,0,77.557,8.97099,88.071
0,0,113.887,145.867,141.96
0,0,133.323,327.242,256.031
0,0,121.331,12.7587,128.563
0,0,86.1368,137.913,41.9653
0,0,105.002,10.4669,88.7102
0,0,83.2038,37.5015,55.7107
0,0,112.83,67.8342,79.5688
0,0,109.579,15.1717,117.676
0,0,161.166,173.218,523.476
0,0,91.2156,20.1176,93.0656
0,0,113.659,17.2812,102.871
0,0,119.274,26.4891,117.305
0,0,63.8888,268.16,-30.2397
0,0,130.736,5.24316,129.652
0,0,102.797,27.4329,105.289
0,0,122.215,116.938,174.665
0,0,120.867,103.866,320.52
0,0,87.115,35.6883,93.5479
0,0,131.04,98.3986,41.8498
0,0,75.542,13.7201,99.5676
0,0,104.344,87.5025,222.373
0,0,105.1,75.5071,233.15
0,0,127.329,27.8167,99.1098
0,0,128.289,15.9616,150.744
0,0,123.04,16.2249,76.7853
0,0,84.0145,25.1191,92.6978
0,0,60.5279,49.8899,93.1808
0,0,68.0863,160.588,-112.606
0,0,108.263,245.11,450.024
0,0,109.944,59.2852,125.515
0,0,95.1619,37.904,90.9095
0,0,92.1253,20.039,98.0736
0,0,94.2576,46.081,132.306
0,0,85.5596,62.5133,45.5611
0,0,100.915,292.463,-273.755
0,0,91.7056,498.258,-130.034
0,0,85.9356,176.465,219.211
0,0,104.088,11.4969,116.993
0,0,118.8,88.4649,218.523
0,0,78.4749,27.133,117.743
0,0,131.043,96.0492,4.34373
0,0,130.106,18.3694,117.675
0,0,102.413,239.537,20.1957
0,0,125.274,73.0691,89.1441
0,0,126.904,173.304,206.264
0,0,125.173,26.787,133.608
0,0,102.685,6.86837,98.1564
0,0,88.9862,1.6733,92.1947
0,0,76.1301,198.615,-35.6318
0,0,72.943,14.5047,96.3335
0,0,126.589,40.1192,141.681
0,0,121.421,3.59854,127.922
0,0,105.96,10.1831,111.291
0,0,98.9996,90.8574,80.5177
0,0,84.4381,8.42609,86.3683
0,0,136.257,250.433,-299.67
0,0,134.42,26.5676,111.097
0,0,122.365,235.425,-49.3031
0,0,105.179,60.1481,64.9056
0,0,101.348,8.47532,99.3247
0,0,112.23,35.3084,85.7608
0,0,180.755,51.4242,185.28
0,0,87.7055,2.35636,86.9768
0,0,127.111,412.514,32.7382
0,0,112.661,6.00019,107.347
0,0,101.14,12.8948,110.509
0,0,99.4222,57.5864,75.9163
0,0,134.101,18.3758,116.924
0,0,93.6493,77.4865,71.3622
0,0,99.9198,137.552,-9.76233
0,0,93.1801,45.9209,102.935
0,0,90.4139,178.72,261.708
0,0,117.885,43.7435,96.8659
0,0,120.481,28.6773,160.083
0,0,79.6171,89.6587,98.0151
0,0,112.25,225.589,582.664
0,0,109.132,20.6722,102.177
0,0,101.483,280.832,297.164
0,0,119.853,357.07,451.324
0,0,121.333,125.362,400.262
0,0,117.384,51.3398,149.388
0,0,115.723,72.0551,67.6483
0,0,132.417,12.8389,142.907
0,0,111.584,62.9608,172.428
0,0,138.209,73.329,39.2255
0,0,76.1947,153.921,193.52
0,0,60.8858,12.6538,50.0349
0,0,92.5992,50.7257,108.662
0,0,113.879,92.3088,-73.3532
0,0,88.4483,108.378,-61.5977
0,0,95.1199,164.593,-24.8644
0,0,117.715,56.0442,133.261
0,0,93.6826,33.3518,83.4897
