# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-12 09:57:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmppskox6w4\y1de9146.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\samples\cereal_2_fit-20220612115707_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,mu.77,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76,calorie.77
# Adaptation terminated
# Step size = 0.759878
# Diagonal elements of inverse mass matrix:
# 4.29546, 0.195187, 0.00670229
-252.103,0.989251,0.759878,3,7,0,253.293,106.291,2.01672,17.0968,112.498,108.465,94.3479,110.482,106.448,118.549,118.549,112.498,110.482,112.498,98.3813,116.532,104.431,112.498,108.465,98.3813,120.565,98.3813,98.3813,116.532,98.3813,108.465,102.415,92.3311,120.565,96.3646,116.532,106.448,98.3813,118.549,114.515,106.448,116.532,104.431,110.482,118.549,110.482,106.448,96.3646,98.3813,116.532,104.431,98.3813,122.582,98.3813,104.431,92.3311,92.3311,92.3311,102.415,102.415,112.498,116.532,122.582,102.415,98.3813,100.398,114.515,120.565,108.465,116.532,114.515,104.431,92.3311,92.3311,104.431,108.465,104.431,98.3813,102.415,114.515,114.515,96.3646,98.3813,98.3813,92.3311,90.3144,-3.7685,-4.55112,-4.1769,-3.9128,-3.77941,-3.88283,-3.88283,-4.02504,-3.75822,-3.7685,-3.98874,-3.83081,-3.79142,-4.28179,-3.8804,-3.98874,-4.40393,-3.76231,-3.98874,-3.83081,-3.76231,-3.76186,-5.55516,-6.82306,-3.94877,-3.78043,-3.83081,-3.77941,-3.98874,-3.88283,-3.7927,-3.82895,-3.7784,-3.81087,-5.24831,-6.69698,-3.9128,-5.68346,-3.82712,-3.76231,-3.7784,-4.11408,-3.98874,-4.02862,-3.98874,-5.78576,-4.01793,-3.76712,-3.76712,-4.02147,-4.02147,-3.85409,-3.83081,-4.63013,-3.7678,-3.98874,-4.41509,-3.7927,-3.75837,-3.98543,-3.7784,-3.80929,-3.79142,-6.82306,-6.82306,-3.79142,-3.76186,-4.11408,-3.98874,-3.7678,-5.91175,-5.91175,-4.07587,-3.76231,-3.76231,-3.85843,-3.9183,107.17,102.66,68.6975,105.632,98.4547,113.261,147.247,118.138,116.203,120.252,87.5371,118.11,104.426,136.532,107.591,86.725,127.7,100.763,86.8734,116.719,90.0063,109.039,102.438,127.854,111.235,107.46,119.737,104.12,97.717,93.2774,112.403,89.9608,136.171,89.7327,84.936,120.609,77.0671,104.35,93.7679,62.7989,116.982,105.116,100.373,98.2532,118.692,107.339,98.0787,76.8538,120.658,98.2011,113.692,130.265,86.2771,121.85,105.895,92.0977,106.658,119.681,105.949,99.3536,106.325,105.47,95.8796,130.159,88.7979,92.6164,92.7594,119.971,105.519,71.9976,113.421,135.841,71.4258,98.0379,113.929,65.2787,126.96
-251.994,0.987952,0.759878,3,7,0,252.536,106.855,2.22015,15.0563,113.688,109.248,93.7066,111.468,107.028,120.348,120.348,113.688,111.468,113.688,98.1469,118.128,104.807,113.688,109.248,98.1469,122.569,98.1469,98.1469,118.128,98.1469,109.248,102.587,91.4865,122.569,95.9268,118.128,107.028,98.1469,120.348,115.908,107.028,118.128,104.807,111.468,120.348,111.468,107.028,95.9268,98.1469,118.128,104.807,98.1469,124.789,98.1469,104.807,91.4865,91.4865,91.4865,102.587,102.587,113.688,118.128,124.789,102.587,98.1469,100.367,115.908,122.569,109.248,118.128,115.908,104.807,91.4865,91.4865,104.807,109.248,104.807,98.1469,102.587,115.908,115.908,95.9268,98.1469,98.1469,91.4865,89.2664,-3.66073,-4.58061,-4.21627,-3.7913,-3.65022,-3.86693,-3.86693,-4.04398,-3.63549,-3.66073,-3.94062,-3.77646,-3.68171,-4.21762,-3.81936,-3.94062,-4.30093,-3.63831,-3.94062,-3.77646,-3.63831,-3.63198,-5.97296,-7.42692,-3.97915,-3.66733,-3.77646,-3.65022,-3.94062,-3.86693,-3.70772,-3.73966,-3.63846,-3.69021,-5.42631,-7.09854,-3.7913,-6.02867,-3.70821,-3.63831,-3.63846,-4.11434,-3.94062,-4.11312,-3.94062,-6.30298,-3.92175,-3.63561,-3.63561,-3.98019,-3.98019,-3.71861,-3.77646,-4.98605,-3.6455,-3.94062,-4.4809,-3.70772,-3.64529,-3.88573,-3.63846,-3.66767,-3.68171,-7.42692,-7.42692,-3.68171,-3.63198,-4.11434,-3.94062,-3.6455,-6.19425,-6.19425,-4.06757,-3.63831,-3.63831,-3.7906,-3.88485,107.189,116.685,106.797,113.206,96.685,127.495,134.031,143.898,104.158,128.777,100.577,117.722,92.6609,115.712,87.1603,117.333,123.469,105.356,90.3775,123.623,99.3802,129.082,110.246,75.0021,124.731,113.639,101.873,87.3389,126.744,101.08,101.477,101.406,101.173,122.812,121.592,137.441,100.41,123.899,102.294,86.7699,103.98,115.21,88.3226,128.043,93.0923,93.1475,67.7075,90.1694,100.751,82.519,108.154,110.779,110.556,133.75,100.213,73.5982,122.882,131.326,113.931,107.691,123.156,126.788,99.395,87.4094,66.1932,98.2668,112.741,87.9573,95.612,124.9,134.468,113.06,88.2418,132.983,76.9821,113.815,78.2082
-251.65,0.905342,0.759878,2,3,0,253.017,107.01,2.47646,15.9656,114.632,109.679,92.344,112.156,107.203,122.062,122.062,114.632,112.156,114.632,97.2969,119.585,104.726,114.632,109.679,97.2969,124.538,97.2969,97.2969,119.585,97.2969,109.679,102.25,89.8675,124.538,94.8205,119.585,107.203,97.2969,122.062,117.109,107.203,119.585,104.726,112.156,122.062,112.156,107.203,94.8205,97.2969,119.585,104.726,97.2969,127.014,97.2969,104.726,89.8675,89.8675,89.8675,102.25,102.25,114.632,119.585,127.014,102.25,97.2969,99.7734,117.109,124.538,109.679,119.585,117.109,104.726,89.8675,89.8675,104.726,109.679,104.726,97.2969,102.25,117.109,117.109,94.8205,97.2969,97.2969,89.8675,87.3911,-3.73146,-4.49937,-4.30086,-3.81007,-3.70472,-3.97474,-3.97474,-4.10934,-3.69849,-3.73146,-4.00591,-3.86959,-3.73319,-4.15263,-3.87315,-4.00591,-4.15833,-3.70371,-4.00591,-3.86959,-3.70371,-3.68957,-5.7295,-6.80712,-4.10396,-3.742,-3.86959,-3.70472,-4.00591,-3.97474,-3.7885,-3.79114,-3.68971,-3.74393,-5.21018,-6.51269,-3.81007,-5.79934,-3.73495,-3.70371,-3.68971,-4.11477,-4.00591,-4.25723,-4.00591,-6.05485,-3.88037,-3.68941,-3.68941,-3.98372,-3.98372,-3.74589,-3.86959,-5.12088,-3.6993,-4.00591,-4.49188,-3.7885,-3.72977,-3.89831,-3.68971,-3.70577,-3.73319,-6.80712,-6.80712,-3.73319,-3.68957,-4.11477,-4.00591,-3.6993,-5.81147,-5.81147,-4.14135,-3.70371,-3.70371,-3.89076,-4.00123,125.296,109.378,88.9547,146.102,118.855,120.106,133.876,124.283,126.225,111.463,73.2837,124.91,95.6943,108.721,86.0496,105.213,86.5194,94.3431,86.3116,116.949,83.0038,117.554,79.1628,88.058,149.178,91.184,129.083,115.941,92.0259,138.878,107.743,92.5846,129.522,130.478,123.465,109.728,123.107,131.183,86.7808,99.5519,111.576,94.53,90.8129,133.787,69.926,129.695,83.0808,98.4666,74.6254,93.8295,96.7456,110.243,124.175,135.059,83.0179,90.0003,80.745,110.663,152.44,111.092,106.697,91.1358,79.6709,124.066,79.7287,97.7989,85.7841,123.775,119.196,97.9614,84.0355,105.84,91.9609,105.07,95.1433,93.7052,97.7803
-254.768,0.691384,0.759878,2,3,0,254.878,104.351,3.18362,17.5624,114.15,107.782,85.4971,110.966,104.599,123.7,123.7,114.15,110.966,114.15,91.8643,120.517,101.415,114.15,107.782,91.8643,126.884,91.8643,91.8643,120.517,91.8643,107.782,98.2315,82.3135,126.884,88.6807,120.517,104.599,91.8643,123.7,117.333,104.599,120.517,101.415,110.966,123.7,110.966,104.599,88.6807,91.8643,120.517,101.415,91.8643,130.068,91.8643,101.415,82.3135,82.3135,82.3135,98.2315,98.2315,114.15,120.517,130.068,98.2315,91.8643,95.0479,117.333,126.884,107.782,120.517,117.333,101.415,82.3135,82.3135,101.415,107.782,101.415,91.8643,98.2315,117.333,117.333,88.6807,91.8643,91.8643,82.3135,79.1298,-3.81261,-4.5849,-4.75798,-3.917,-3.83199,-4.08898,-4.08898,-4.10926,-3.78621,-3.81261,-4.31788,-3.96399,-3.78794,-4.19197,-3.88288,-4.31788,-4.06357,-3.892,-4.31788,-3.96399,-3.892,-3.79267,-5.07673,-5.47736,-4.24682,-3.9924,-3.96399,-3.83199,-4.31788,-4.08898,-3.87187,-3.81898,-3.78513,-3.90417,-5.15122,-5.92072,-3.917,-5.81631,-3.78752,-3.892,-3.78513,-3.99593,-4.31788,-4.43752,-4.31788,-5.38456,-3.79337,-3.88048,-3.88048,-3.89454,-3.89454,-3.84018,-3.96399,-5.25026,-3.78977,-4.31788,-4.79399,-3.87187,-3.86152,-4.02668,-3.78513,-3.79623,-3.78794,-5.47736,-5.47736,-3.78794,-3.79267,-3.99593,-4.31788,-3.78977,-5.51458,-5.51458,-4.5215,-3.892,-3.892,-4.29179,-4.49078,136.367,100.895,71.8106,105.828,115.218,137.666,91.6257,120.129,91.5174,89.2222,89.9921,70.5043,94.823,108.518,100.384,83.3053,136.552,106.564,75.8429,131.686,53.8755,107.799,93.2991,77.5772,142.419,109.595,134.6,101.264,118.184,138.252,95.8101,78.3704,111.318,85.5538,102.612,141.592,120.455,91.2464,81.899,93.0571,102.65,122.553,88.88,143.404,94.6381,84.9698,122.579,73.9437,97.0776,110.393,108.523,98.1309,117.054,142.503,145.393,98.6135,90.8665,107.088,121.23,105.397,121.284,93.578,98.8295,74.2902,93.7912,86.5278,120.124,126.43,120.315,98.3655,126.445,109.555,72.1782,91.2942,116.503,63.9279,88.1333
-252.347,1,0.759878,2,3,0,254.848,107.925,2.75949,16.7213,116.418,110.899,91.5829,113.659,108.14,124.697,124.697,116.418,113.659,116.418,97.1019,121.937,105.38,116.418,110.899,97.1019,127.456,97.1019,97.1019,121.937,97.1019,110.899,102.621,88.8234,127.456,94.3424,121.937,108.14,97.1019,124.697,119.178,108.14,121.937,105.38,113.659,124.697,113.659,108.14,94.3424,97.1019,121.937,105.38,97.1019,130.216,97.1019,105.38,88.8234,88.8234,88.8234,102.621,102.621,116.418,121.937,130.216,102.621,97.1019,99.8613,119.178,127.456,110.899,121.937,119.178,105.38,88.8234,88.8234,105.38,110.899,105.38,97.1019,102.621,119.178,119.178,94.3424,97.1019,97.1019,88.8234,86.0639,-3.80929,-4.38804,-4.34218,-3.80753,-3.74181,-4.12188,-4.12188,-4.21767,-3.75956,-3.80929,-4.03312,-3.99045,-3.78739,-4.06549,-3.94806,-4.03312,-4.01699,-3.75064,-4.03312,-3.99045,-3.75064,-3.73707,-5.63854,-6.43099,-4.28054,-3.79286,-3.99045,-3.74181,-4.03312,-4.12188,-3.88625,-3.8541,-3.74233,-3.77378,-4.97642,-5.96436,-3.80753,-5.55083,-3.76934,-3.75064,-3.74233,-4.15864,-4.03312,-4.46644,-4.03312,-5.97411,-3.87484,-3.7381,-3.7381,-4.02046,-4.02046,-3.75856,-3.99045,-5.36829,-3.7479,-4.03312,-4.46088,-3.88625,-3.83504,-3.88373,-3.74233,-3.73683,-3.78739,-6.43099,-6.43099,-3.78739,-3.73707,-4.15864,-4.03312,-3.7479,-5.43448,-5.43448,-4.17403,-3.75064,-3.75064,-3.959,-4.08293,95.1232,92.8966,100.137,104.852,103.587,125.617,125.271,98.3036,131.187,109.643,108.671,139.525,107.052,100.892,134.75,140.356,102.64,114.481,122.748,135.595,111.063,84.4289,129.532,95.8574,126.619,80.2733,104.813,123.832,110.231,157.781,135.275,94.4595,115.882,130.554,99.2903,101.131,101.586,99.9503,104.572,137.158,126.171,92.4057,110.629,157.942,98.1081,136.951,92.1804,58.1539,105.938,119.975,118.063,112.118,121.519,122.647,120.316,97.6899,79.7095,103.264,113.772,74.7078,107.734,126.955,106.727,67.0533,62.2289,107.399,100.134,110.051,93.7983,95.1926,77.211,104.19,106.62,97.5795,85.5376,85.9416,123.688
-252.464,0.726264,0.759878,1,3,0,255.766,105.598,1.8667,16.8186,111.344,107.61,94.5435,109.477,105.744,116.944,116.944,111.344,109.477,111.344,98.2768,115.077,103.877,111.344,107.61,98.2768,118.81,98.2768,98.2768,115.077,98.2768,107.61,102.01,92.6768,118.81,96.4101,115.077,105.744,98.2768,116.944,113.21,105.744,115.077,103.877,109.477,116.944,109.477,105.744,96.4101,98.2768,115.077,103.877,98.2768,120.677,98.2768,103.877,92.6768,92.6768,92.6768,102.01,102.01,111.344,115.077,120.677,102.01,98.2768,100.144,113.21,118.81,107.61,115.077,113.21,103.877,92.6768,92.6768,103.877,107.61,103.877,98.2768,102.01,113.21,113.21,96.4101,98.2768,98.2768,92.6768,90.8101,-3.74461,-4.62753,-4.16372,-3.93716,-3.77345,-3.82665,-3.82665,-3.96888,-3.7419,-3.74461,-3.98435,-3.78699,-3.76799,-4.35666,-3.8438,-3.98435,-4.53508,-3.74667,-3.98435,-3.78699,-3.74667,-3.75152,-5.55264,-6.96082,-3.87863,-3.7642,-3.78699,-3.77345,-3.98435,-3.82665,-3.75964,-3.79973,-3.78426,-3.80769,-5.38824,-7.01833,-3.93716,-5.81574,-3.81405,-3.74667,-3.78426,-4.08181,-3.98435,-3.94294,-3.98435,-5.77004,-4.02548,-3.75409,-3.75409,-3.9964,-3.9964,-3.87387,-3.78699,-4.49717,-3.74856,-3.98435,-4.43836,-3.75964,-3.74392,-4.01276,-3.78426,-3.82291,-3.76799,-6.96082,-6.96082,-3.76799,-3.75152,-4.08181,-3.98435,-3.74856,-6.13387,-6.13387,-4.06788,-3.74667,-3.74667,-3.83622,-3.89071,107.913,129.046,74.5173,145.031,114.403,115.8,121.094,110.489,115.623,93.18,98.3716,113.02,107.635,104.65,93.1381,120.33,101.498,113.317,105.295,91.2446,95.886,140.902,109.892,68.7004,143.785,131.135,132.001,125.368,85.968,104.585,125.391,111.568,136.48,88.2965,127.73,106.682,95.4104,118.702,84.0008,71.7357,149.883,125.598,88.286,137.41,88.1605,66.8844,76.5707,99.1181,115.114,97.3692,88.6735,115.788,118.596,113.675,107.28,87.9555,88.8489,105.718,85.313,87.0819,126.567,132.363,99.3962,94.7998,123.322,109.91,109.431,81.2624,79.4983,91.1972,93.8438,112.532,87.6338,103.879,87.4777,122.439,77.3668
