# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-12 09:57:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\user\AppData\Local\Temp\tmppskox6w4\y1de9146.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\samples\cereal_2_fit-20220612115707_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,mu.77,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76,calorie.77
# Adaptation terminated
# Step size = 0.699796
# Diagonal elements of inverse mass matrix:
# 3.45079, 0.183209, 0.0073461
-254.219,0.863609,0.699796,3,7,0,254.432,109.416,2.07803,19.0059,115.812,111.656,97.1102,113.734,109.578,122.047,122.047,115.812,113.734,115.812,101.266,119.969,107.5,115.812,111.656,101.266,124.125,101.266,101.266,119.969,101.266,111.656,105.422,95.0322,124.125,99.1882,119.969,109.578,101.266,122.047,117.89,109.578,119.969,107.5,113.734,122.047,113.734,109.578,99.1882,101.266,119.969,107.5,101.266,126.203,101.266,107.5,95.0322,95.0322,95.0322,105.422,105.422,115.812,119.969,126.203,105.422,101.266,103.344,117.89,124.125,111.656,119.969,117.89,107.5,95.0322,95.0322,107.5,111.656,107.5,101.266,105.422,117.89,117.89,99.1882,101.266,101.266,95.0322,92.9541,-3.91045,-4.32945,-4.09367,-3.91803,-3.86394,-4.06456,-4.06456,-4.20978,-3.88299,-3.91045,-3.96927,-4.00124,-3.94156,-4.14231,-4.05176,-3.96927,-4.21254,-3.86591,-3.96927,-4.00124,-3.86591,-3.86749,-5.60047,-6.67066,-4.13984,-3.8646,-4.00124,-3.86394,-3.96927,-4.06456,-3.94987,-3.99068,-3.86369,-3.87234,-4.81861,-5.85755,-3.91803,-5.14471,-3.98055,-3.86591,-3.86369,-4.28761,-3.96927,-4.22707,-3.96927,-5.81023,-4.17647,-3.89874,-3.89874,-4.19291,-4.19291,-3.88796,-4.00124,-4.81403,-3.90439,-3.96927,-4.24768,-3.94987,-3.88724,-3.96005,-3.86369,-3.86985,-3.94156,-6.67066,-6.67066,-3.94156,-3.86749,-4.28761,-3.96927,-3.90439,-5.29081,-5.29081,-4.02549,-3.86591,-3.86591,-3.89785,-3.93241,120.392,130.403,110.192,119.142,83.7488,168.449,107.942,144.458,85.8892,134.337,89.1181,141.238,113.872,118.546,105.044,102.756,83.7233,109.065,96.8164,113.747,115.993,80.3332,93.7315,104.643,110.541,88.4219,128.289,143.68,96.0432,130.466,117.938,120.339,118.374,113.547,113.425,120.595,131.132,107.339,101.577,98.9451,116.458,116.867,88.8817,133.096,122.36,97.7533,96.3198,84.7337,102.771,107.265,141.716,137.785,111.935,118.172,121.605,107.036,101.42,109.689,102.858,108.286,121.961,93.4133,152.177,96.3755,75.4974,86.2053,118.3,147.777,91.0054,124.187,90.8724,69.1727,97.2743,104.235,85.4505,106.458,81.7025
-252.18,1,0.699796,2,3,0,254.389,106.984,1.8654,16.1444,112.726,108.995,95.9373,110.86,107.13,118.322,118.322,112.726,110.86,112.726,99.6681,116.457,105.264,112.726,108.995,99.6681,120.188,99.6681,99.6681,116.457,99.6681,108.995,103.399,94.0719,120.188,97.8027,116.457,107.13,99.6681,118.322,114.591,107.13,116.457,105.264,110.86,118.322,110.86,107.13,97.8027,99.6681,116.457,105.264,99.6681,122.053,99.6681,105.264,94.0719,94.0719,94.0719,103.399,103.399,112.726,116.457,122.053,103.399,99.6681,101.533,114.591,120.188,108.995,116.457,114.591,105.264,94.0719,94.0719,105.264,108.995,105.264,99.6681,103.399,114.591,114.591,97.8027,99.6681,99.6681,94.0719,92.2065,-3.71476,-4.5469,-4.07988,-3.86075,-3.71632,-3.83337,-3.83337,-4.01118,-3.70193,-3.71476,-3.90529,-3.78048,-3.75367,-4.27294,-3.85573,-3.90529,-4.45353,-3.70072,-3.90529,-3.78048,-3.70072,-3.70245,-5.8404,-7.42657,-3.89961,-3.70977,-3.78048,-3.71632,-3.90529,-3.83337,-3.74095,-3.79802,-3.7246,-3.74353,-5.3294,-7.03277,-3.86075,-5.7732,-3.8173,-3.70072,-3.7246,-4.14748,-3.90529,-3.97919,-3.90529,-6.08611,-4.08038,-3.73232,-3.73232,-4.04491,-4.04491,-3.80202,-3.78048,-4.63346,-3.72267,-3.90529,-4.35469,-3.74095,-3.70058,-3.93284,-3.7246,-3.75663,-3.75367,-7.42657,-7.42657,-3.75367,-3.70245,-4.14748,-3.90529,-3.72267,-6.10569,-6.10569,-3.98591,-3.70072,-3.70072,-3.76793,-3.81703,73.4961,95.1665,104.386,101.049,91.3123,105.385,108.831,96.134,94.7813,118.482,89.9442,142.255,130.108,116.476,74.5503,112.653,105.26,77.4339,82.3676,111.793,101.721,127.303,112.641,89.2062,140.126,83.7935,93.7506,94.0186,105.056,128.968,129.69,105.697,126.015,97.8105,122.869,106.751,118.985,105.992,93.6392,111.507,114.667,129.762,105.711,139.199,95.7893,96.2431,103.237,102.052,66.4419,112.093,99.6035,101.58,82.4168,146.572,128.15,135.646,103.428,156.98,122.617,111.898,126.052,115.631,101.057,110.34,69.7019,122.248,110.009,120.95,85.4458,89.4502,113.577,122.765,95.9357,92.0647,104.321,95.0537,90.1914
-252.04,0.988639,0.699796,2,7,0,252.649,105.525,2.5512,15.7831,113.377,108.275,90.4164,110.826,105.724,121.031,121.031,113.377,110.826,113.377,95.5188,118.48,103.172,113.377,108.275,95.5188,123.582,95.5188,95.5188,118.48,95.5188,108.275,100.621,87.8652,123.582,92.9676,118.48,105.724,95.5188,121.031,115.928,105.724,118.48,103.172,110.826,121.031,110.826,105.724,92.9676,95.5188,118.48,103.172,95.5188,126.133,95.5188,103.172,87.8652,87.8652,87.8652,100.621,100.621,113.377,118.48,126.133,100.621,95.5188,98.07,115.928,123.582,108.275,118.48,115.928,103.172,87.8652,87.8652,103.172,108.275,103.172,95.5188,100.621,115.928,115.928,92.9676,95.5188,95.5188,87.8652,85.314,-3.70077,-4.62524,-4.44766,-3.84681,-3.71458,-3.92211,-3.92211,-4.03706,-3.67924,-3.70077,-4.09879,-3.8222,-3.69808,-4.2325,-3.81531,-4.09879,-4.21892,-3.71818,-4.09879,-3.8222,-3.71818,-3.68385,-5.55993,-6.55573,-4.04814,-3.77714,-3.8222,-3.71458,-4.09879,-3.92211,-3.74842,-3.74363,-3.68252,-3.77144,-5.38624,-6.72599,-3.84681,-6.03606,-3.69555,-3.71818,-3.68252,-4.02615,-4.09879,-4.2003,-4.09879,-5.8866,-3.80204,-3.68702,-3.68702,-3.90431,-3.90431,-3.76591,-3.8222,-5.04867,-3.67865,-4.09879,-4.64318,-3.74842,-3.70363,-3.95382,-3.68252,-3.71115,-3.69808,-6.55573,-6.55573,-3.69808,-3.68385,-4.02615,-4.09879,-3.67865,-6.00797,-6.00797,-4.26016,-3.71818,-3.71818,-3.97344,-4.11078,109.277,126.998,98.5889,86.1621,88.8325,131.147,126.881,128.117,133.609,129.81,94.666,106.152,100.457,118.822,106.111,91.0004,116.88,71.3527,90.8028,115.393,121.495,119.857,105.334,88.721,119.921,102.204,127.814,140.764,92.7618,113.124,112.841,100.274,104.755,89.753,127.386,128.124,143.99,104.54,90.6364,130.27,142.472,105.117,80.4802,146.973,87.5186,92.2618,81.2066,82.1223,105.613,116.079,85.7577,128.724,113.137,109.633,91.2863,97.8701,101.279,103.993,123.993,98.7276,136.07,98.8666,139.29,78.3597,88.886,87.5657,143.533,121.55,96.5906,107.899,111.913,115.857,127.044,105.274,103.944,92.5309,86.8789
-254.657,0.782212,0.699796,2,3,0,255.236,102.959,2.34353,14.9847,110.172,105.485,89.0804,107.829,103.142,117.203,117.203,110.172,107.829,110.172,93.7675,114.859,100.798,110.172,105.485,93.7675,119.546,93.7675,93.7675,114.859,93.7675,105.485,98.4545,86.7369,119.546,91.4239,114.859,103.142,93.7675,117.203,112.516,103.142,114.859,100.798,107.829,117.203,107.829,103.142,91.4239,93.7675,114.859,100.798,93.7675,121.89,93.7675,100.798,86.7369,86.7369,86.7369,98.4545,98.4545,110.172,114.859,121.89,98.4545,93.7675,96.111,112.516,119.546,105.485,114.859,112.516,100.798,86.7369,86.7369,100.798,105.485,100.798,93.7675,98.4545,112.516,112.516,91.4239,93.7675,93.7675,86.7369,84.3934,-3.62603,-4.96421,-4.60046,-3.95585,-3.73071,-3.74149,-3.74149,-3.85638,-3.63647,-3.62603,-4.21271,-3.67855,-3.62739,-4.5014,-3.69296,-4.21271,-4.55755,-3.71247,-4.21271,-3.67855,-3.71247,-3.67136,-5.42889,-6.63121,-3.8289,-3.78974,-3.67855,-3.73071,-4.21271,-3.74149,-3.64006,-3.64794,-3.68482,-3.81452,-5.93066,-7.70452,-3.95585,-6.65112,-3.63048,-3.71247,-3.68482,-3.8856,-4.21271,-3.94076,-4.21271,-5.7381,-3.72703,-3.64968,-3.64968,-3.78513,-3.78513,-3.84104,-3.67855,-4.69295,-3.63129,-4.21271,-4.89675,-3.64006,-3.62643,-4.09511,-3.68482,-3.7507,-3.62739,-6.63121,-6.63121,-3.62739,-3.67136,-3.8856,-4.21271,-3.63129,-6.75474,-6.75474,-4.39436,-3.71247,-3.71247,-4.01768,-4.16833,111.353,108.007,77.7803,87.7252,111.686,124.135,108.254,116.167,113.035,127.721,120.582,119.215,88.606,99.8183,132.125,80.8358,105.085,115.749,68.9825,117.859,96.987,87.0064,107.406,62.2124,116.133,100.159,105.561,131.079,96.131,111.254,102.376,110.996,117.995,101.265,96.349,100.163,101.109,121.693,104.572,105.925,98.213,99.2024,122.489,125.266,102.558,81.7799,84.4802,67.2421,90.1108,86.1641,81.261,122.701,120.463,116.589,82.4869,93.4401,88.7219,131.249,147.996,104.445,116.246,113.664,87.4858,69.911,69.6112,114.546,82.8108,95.811,84.3936,92.372,135.542,102.875,94.717,76.7675,102.604,98.1802,84.4672
-253.535,0.894085,0.699796,2,3,0,256.526,103.605,2.67131,16.0498,111.827,106.485,87.7854,109.156,103.813,119.841,119.841,111.827,109.156,111.827,93.128,117.17,101.142,111.827,106.485,93.128,122.512,93.128,93.128,117.17,93.128,106.485,98.4706,85.1141,122.512,90.4567,117.17,103.813,93.128,119.841,114.498,103.813,117.17,101.142,109.156,119.841,109.156,103.813,90.4567,93.128,117.17,101.142,93.128,125.184,93.128,101.142,85.1141,85.1141,85.1141,98.4706,98.4706,111.827,117.17,125.184,98.4706,93.128,95.7993,114.498,122.512,106.485,117.17,114.498,101.142,85.1141,85.1141,101.142,106.485,101.142,93.128,98.4706,114.498,114.498,90.4567,93.128,93.128,85.1141,82.4428,-3.70111,-4.76798,-4.65251,-3.92289,-3.76893,-3.88262,-3.88262,-3.96615,-3.69602,-3.70111,-4.24717,-3.79441,-3.69716,-4.33566,-3.77625,-4.24717,-4.28823,-3.7863,-4.24717,-3.79441,-3.7863,-3.71862,-5.26799,-6.08792,-3.99852,-3.87141,-3.79441,-3.76893,-4.24717,-3.88262,-3.73391,-3.72286,-3.71018,-3.84694,-5.54125,-6.825,-3.92289,-6.23637,-3.69504,-3.7863,-3.71018,-3.9356,-4.24717,-4.14213,-4.24717,-5.57708,-3.7454,-3.74097,-3.74097,-3.83391,-3.83391,-3.82428,-3.79441,-4.92567,-3.69917,-4.24717,-4.83144,-3.73391,-3.70689,-4.0492,-3.71018,-3.75338,-3.69716,-6.08792,-6.08792,-3.69716,-3.71862,-3.9356,-4.24717,-3.69917,-6.14102,-6.14102,-4.43599,-3.7863,-3.7863,-4.12475,-4.29297,141.565,88.9829,75.2787,104.627,82.7384,112.283,127.462,88.1399,117.173,101.085,90.7173,115.23,87.9778,127.761,121.659,99.6399,149.551,125.76,57.9357,117.036,111.838,151.4,128.234,64.4694,142.508,74.0037,117.748,123.919,128.453,131.568,104.664,112.267,123.238,107.128,102.69,128.319,111.295,91.8238,92.4351,71.0984,94.6113,102.859,82.513,137.026,64.2973,96.113,109.646,92.3437,96.7663,108.367,84.2322,121.068,136.432,89.0899,70.3341,82.8868,121.256,134.941,118.113,98.724,99.7838,114.299,120.944,84.5093,112.381,104.658,90.1166,91.8108,65.4601,105.273,104.709,130.613,95.9565,80.9049,92.6069,68.6905,71.9122
-252.727,0.945004,0.699796,2,3,0,254.701,105.916,2.57262,14.5772,113.834,108.689,90.6806,111.262,106.116,121.552,121.552,113.834,111.262,113.834,95.8259,118.979,103.544,113.834,108.689,95.8259,124.125,95.8259,95.8259,118.979,95.8259,108.689,100.971,88.108,124.125,93.2532,118.979,106.116,95.8259,121.552,116.407,106.116,118.979,103.544,111.262,121.552,111.262,106.116,93.2532,95.8259,118.979,103.544,95.8259,126.697,95.8259,103.544,88.108,88.108,88.108,100.971,100.971,113.834,118.979,126.697,100.971,95.8259,98.3985,116.407,124.125,108.689,118.979,116.407,103.544,88.108,88.108,103.544,108.689,103.544,95.8259,100.971,116.407,116.407,93.2532,95.8259,95.8259,88.108,85.5354,-3.63299,-4.66703,-4.47663,-3.77807,-3.63389,-3.91241,-3.91241,-4.04873,-3.60214,-3.63299,-4.07113,-3.78812,-3.62795,-4.21331,-3.77605,-4.07113,-4.19141,-3.6394,-4.07113,-3.78812,-3.6394,-3.60244,-5.85541,-7.01545,-4.06784,-3.7055,-3.78812,-3.63389,-4.07113,-3.91241,-3.69498,-3.68642,-3.60085,-3.69648,-5.54172,-7.07669,-3.77807,-6.29987,-3.6233,-3.6394,-3.60085,-4.03001,-4.07113,-4.25441,-4.07113,-6.24594,-3.75308,-3.60682,-3.60682,-3.88162,-3.88162,-3.68785,-3.78812,-5.27549,-3.60062,-4.07113,-4.69637,-3.69498,-3.63843,-3.89944,-3.60085,-3.62878,-3.62795,-7.01545,-7.01545,-3.62795,-3.60244,-4.03001,-4.07113,-3.60062,-6.25375,-6.25375,-4.25831,-3.6394,-3.6394,-3.93116,-4.09071,119.476,119.736,105.031,119.352,135.265,115.928,110.443,75.2872,110.494,120.32,95.2993,131.843,90.4318,98.1789,110.035,81.8252,112.205,97.7456,80.0438,107.616,100.708,117.118,101.68,106.8,147.699,62.6156,132.937,114.834,114.851,138.287,113.775,108.508,119.697,100.476,110.973,108.769,106.819,83.4932,113.922,88.9667,128.659,84.1746,118.787,115.605,91.2911,95.3588,101.99,81.9594,116.003,118.022,96.6093,104.52,107.163,108.558,87.7439,94.6971,106.467,127.442,112.486,106.379,116.845,114.333,117.839,105.211,84.2441,119.512,77.1666,109.414,85.1525,82.3653,117.617,112.66,110.1,74.0501,109.285,90.1613,102.991
