# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-12 13:06:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\25yin2i7.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220612150643_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.833064
# Diagonal elements of inverse mass matrix:
# 3.58331, 0.181079, 0.00582792
-250.051,0.979396,0.833064,2,7,0,252.619,106.276,1.70046,15.7111,111.333,107.932,96.0288,109.632,106.232,116.434,116.434,111.333,109.632,111.333,99.4297,114.734,104.531,111.333,107.932,99.4297,118.135,99.4297,99.4297,114.734,99.4297,107.932,102.831,94.3283,118.135,97.7292,114.734,106.232,99.4297,116.434,113.033,106.232,114.734,104.531,109.632,116.434,109.632,106.232,97.7292,99.4297,114.734,104.531,99.4297,119.835,99.4297,104.531,94.3283,94.3283,94.3283,102.831,102.831,111.333,114.734,119.835,102.831,99.4297,101.13,113.033,118.135,107.932,114.734,113.033,104.531,94.3283,94.3283,104.531,107.932,104.531,99.4297,102.831,113.033,113.033,97.7292,99.4297,99.4297,94.3283,-3.67691,-4.65977,-4.0687,-3.89103,-3.70207,-3.75717,-3.75717,-3.93347,-3.67358,-3.67691,-3.89963,-3.7187,-3.7149,-4.37915,-3.80075,-3.89963,-4.64172,-3.67397,-3.89963,-3.7187,-3.67397,-3.68197,-5.8566,-7.65362,-3.80735,-3.68375,-3.7187,-3.70207,-3.89963,-3.75717,-3.69195,-3.75197,-3.72948,-3.73389,-5.54129,-7.51784,-3.89103,-5.98312,-3.79432,-3.67397,-3.72948,-4.10102,-3.89963,-3.86925,-3.89963,-6.08863,-4.08917,-3.71126,-3.71126,-4.00677,-4.00677,-3.82547,-3.7187,-4.47026,-3.68954,-3.89963,-4.39457,-3.69195,-3.68036,-3.96831,-3.72948,-3.77162,-3.7149,-7.65362,-7.65362,-3.7149,-3.68197,-4.10102,-3.89963,-3.68954,-6.44135,-6.44135,-3.97831,-3.67397,-3.67397,-3.73847,124.715,98.0372,85.1604,85.6421,95.5642,112.075,102.788,101.467,102.73,115.307,111.919,91.8006,103.124,119.466,100.469,80.5081,109.153,96.273,100.936,99.6584,70.3653,95.3624,123.854,103.078,125.978,95.6328,109.459,94.0646,74.6165,115.06,122.701,85.2905,120.543,101.496,101.731,125.785,107.155,80.6151,121.223,115.518,105.72,102.907,104.677,131.188,93.782,100.277,67.9349,87.5033,97.9733,85.2477,100.185,134.616,134.101,116.863,94.8114,135.781,79.0448,136.333,106.596,100.376,115.817,134.587,106.153,104.822,94.032,101.196,141.337,115.998,97.5052,114.457,122.531,126.878,94.6107,75.7992,104.67,85.4402
-249.407,0.960343,0.833064,2,3,0,251.232,107.134,2.44969,18.0357,114.419,109.52,92.3718,111.969,107.07,121.768,121.768,114.419,111.969,114.419,97.2712,119.318,104.62,114.419,109.52,97.2712,124.218,97.2712,97.2712,119.318,97.2712,109.52,102.171,89.9221,124.218,94.8215,119.318,107.07,97.2712,121.768,116.869,107.07,119.318,104.62,111.969,121.768,111.969,107.07,94.8215,97.2712,119.318,104.62,97.2712,126.668,97.2712,104.62,89.9221,89.9221,89.9221,102.171,102.171,114.419,119.318,126.668,102.171,97.2712,99.7209,116.869,124.218,109.52,119.318,116.869,104.62,89.9221,89.9221,104.62,109.52,104.62,97.2712,102.171,116.869,116.869,94.8215,97.2712,97.2712,89.9221,-3.84131,-4.45602,-4.28895,-3.91042,-3.82449,-4.02416,-4.02416,-4.13087,-3.81725,-3.84131,-4.06034,-3.94476,-3.8441,-4.18445,-3.95059,-4.06034,-4.19415,-3.82274,-4.06034,-3.94476,-3.82274,-3.81165,-5.40212,-6.2611,-4.12201,-3.85251,-3.94476,-3.82449,-4.06034,-4.02416,-3.88381,-3.88812,-3.81201,-3.85578,-5.01902,-6.05804,-3.91042,-5.47811,-3.84702,-3.82274,-3.81201,-4.13985,-4.06034,-4.23831,-4.06034,-5.65361,-3.96262,-3.8113,-3.8113,-4.03897,-4.03897,-3.85917,-3.94476,-4.90441,-3.81853,-4.06034,-4.44341,-3.88381,-3.83864,-3.98012,-3.81201,-3.82636,-3.8441,-6.2611,-6.2611,-3.8441,-3.81165,-4.13985,-4.06034,-3.81853,-5.49854,-5.49854,-4.16542,-3.82274,-3.82274,-3.96741,102.814,118.78,84.6637,122.353,136.665,106.89,130.664,88.3384,109.925,142.254,93.1632,130.048,114.491,108.465,128.516,86.691,107.704,108.497,126.362,132.094,83.3382,121.891,129.26,80.84,126.765,85.7741,107.8,99.7452,104.922,90.8482,145.075,99.4033,129.033,87.4018,102.457,115.55,107.011,112.255,103.909,75.5456,111.076,83.1246,89.99,158.187,98.8669,90.0615,60.5816,61.6179,128.555,90.7171,94.3449,87.4256,140.837,151.407,97.3261,59.9098,86.9915,113.638,132.999,107.087,123.654,128.605,126.341,57.1269,74.3578,102.435,116.101,115.707,101.913,85.229,105.093,102.681,95.2772,99.1496,94.8108,93.3349
-249.528,0.965368,0.833064,3,7,0,250.512,105.711,2.57786,14.7631,113.377,108.221,90.1758,110.799,105.643,121.11,121.11,113.377,110.799,113.377,95.3315,118.532,103.065,113.377,108.221,95.3315,123.688,95.3315,95.3315,118.532,95.3315,108.221,100.487,87.5979,123.688,92.7536,118.532,105.643,95.3315,121.11,115.954,105.643,118.532,103.065,110.799,121.11,110.799,105.643,92.7536,95.3315,118.532,103.065,95.3315,126.266,95.3315,103.065,87.5979,87.5979,87.5979,100.487,100.487,113.377,118.532,126.266,100.487,95.3315,97.9094,115.954,123.688,108.221,118.532,115.954,103.065,87.5979,87.5979,103.065,108.221,103.065,95.3315,100.487,115.954,115.954,92.7536,95.3315,95.3315,87.5979,-3.63723,-4.69924,-4.51265,-3.8053,-3.65462,-3.89424,-3.89424,-4.02156,-3.61253,-3.63723,-4.10468,-3.77808,-3.63262,-4.24503,-3.76611,-4.10468,-4.22149,-3.66107,-4.10468,-3.77808,-3.66107,-3.61833,-5.74337,-6.85403,-4.04089,-3.73153,-3.77808,-3.65462,-4.10468,-3.89424,-3.69241,-3.68412,-3.61601,-3.7214,-5.5673,-7.08073,-3.8053,-6.31905,-3.62847,-3.66107,-3.61601,-4.00267,-4.10468,-4.21804,-4.10468,-6.11922,-3.74351,-3.62431,-3.62431,-3.86338,-3.86338,-3.71171,-3.77808,-5.19376,-3.61162,-4.10468,-4.73059,-3.69241,-3.64227,-3.92938,-3.61601,-3.64862,-3.63262,-6.85403,-6.85403,-3.63262,-3.61833,-4.00267,-4.10468,-3.61162,-6.27018,-6.27018,-4.29342,-3.66107,-3.66107,-3.96393,112.135,75.1421,85.9578,96.8855,130.703,128.394,125.412,126.567,92.9968,130.198,94.1408,111.573,119.481,101.777,130.345,107.564,105.595,73.2837,87.5985,105.199,88.3091,123.261,108.464,76.3738,117.987,93.7563,103.514,123.411,92.8229,132.321,118.286,91.8188,152.38,96.0293,123.21,131.333,119.45,92.1774,89.8431,105.785,158.176,108.739,91.8166,117.653,90.5787,101.06,88.2428,67.629,85.4244,93.7428,110.136,100.862,128.907,147.293,124.403,95.4441,105.569,109.416,109.816,107.742,139.244,100.499,110.634,81.543,75.6172,101.554,106.113,104.66,112.509,106.468,115.913,96.2505,69.6907,86.5749,89.3327,80.1229
-248.879,0.756013,0.833064,1,3,0,251.887,107.652,2.14766,16.9144,114.038,109.743,94.7091,111.89,107.595,120.481,120.481,114.038,111.89,114.038,99.0044,118.333,105.447,114.038,109.743,99.0044,122.629,99.0044,99.0044,118.333,99.0044,109.743,103.3,92.5614,122.629,96.8567,118.333,107.595,99.0044,120.481,116.186,107.595,118.333,105.447,111.89,120.481,111.89,107.595,96.8567,99.0044,118.333,105.447,99.0044,124.776,99.0044,105.447,92.5614,92.5614,92.5614,103.3,103.3,114.038,118.333,124.776,103.3,99.0044,101.152,116.186,122.629,109.743,118.333,116.186,105.447,92.5614,92.5614,105.447,109.743,105.447,99.0044,103.3,116.186,116.186,96.8567,99.0044,99.0044,92.5614,-3.7756,-4.46427,-4.15573,-3.86204,-3.75721,-3.93909,-3.93909,-4.09151,-3.75335,-3.7756,-3.9584,-3.86847,-3.79896,-4.19238,-3.91299,-3.9584,-4.27448,-3.74884,-3.9584,-3.86847,-3.74884,-3.74722,-5.68503,-6.91294,-4.02583,-3.76437,-3.86847,-3.75721,-3.9584,-3.93909,-3.81397,-3.84792,-3.75196,-3.78333,-5.12802,-6.47651,-3.86204,-5.58229,-3.82927,-3.74884,-3.75196,-4.16413,-3.9584,-4.12869,-3.9584,-5.94307,-4.02287,-3.75857,-3.75857,-4.05623,-4.05623,-3.80922,-3.86847,-4.81993,-3.76613,-3.9584,-4.36795,-3.81397,-3.75918,-3.93098,-3.75196,-3.77253,-3.79896,-6.91294,-6.91294,-3.79896,-3.74722,-4.16413,-3.9584,-3.76613,-5.74539,-5.74539,-4.049,-3.74884,-3.74884,-3.84381,98.3323,133.868,138.463,86.7874,125.175,146.423,134.297,128.16,85.1143,141.26,106.12,117.486,91.2159,96.7159,125.617,112.285,156.095,115.288,85.1661,112.208,124.469,95.2082,79.4621,80.3488,114.345,107.205,158.852,111.878,85.8799,134.165,144.232,108.613,150.269,108.843,80.8667,137.794,129.444,123.216,92.5071,98.581,110.677,123.346,99.5992,104.392,82.9064,91.6055,55.9519,78.1945,100.428,104.662,81.2782,87.1364,120.375,113.887,108.024,95.6627,93.638,73.7342,107.468,122.162,118.817,104.488,102.532,130.62,71.4249,67.0285,113.869,72.6958,76.1332,110,125.524,123.802,80.3195,74.6179,91.9043,81.1599
-248.657,0.999676,0.833064,3,7,0,248.894,107.639,2.28894,16.5341,114.446,109.868,93.8452,112.157,107.579,121.312,121.312,114.446,112.157,114.446,98.423,119.023,105.29,114.446,109.868,98.423,123.601,98.423,98.423,119.023,98.423,109.868,103.001,91.5562,123.601,96.1341,119.023,107.579,98.423,121.312,116.735,107.579,119.023,105.29,112.157,121.312,112.157,107.579,96.1341,98.423,119.023,105.29,98.423,125.89,98.423,105.29,91.5562,91.5562,91.5562,103.001,103.001,114.446,119.023,125.89,103.001,98.423,100.712,116.735,123.601,109.868,119.023,116.735,105.29,91.5562,91.5562,105.29,109.868,105.29,98.423,103.001,116.735,116.735,96.1341,98.423,98.423,91.5562,-3.76051,-4.46566,-4.20169,-3.83688,-3.73509,-3.95842,-3.95842,-4.10603,-3.73287,-3.76051,-3.96949,-3.87329,-3.77554,-4.16687,-3.90246,-3.96949,-4.2162,-3.72891,-3.96949,-3.87329,-3.72891,-3.7244,-5.71623,-6.88286,-4.06272,-3.7517,-3.87329,-3.73509,-3.96949,-3.95842,-3.80732,-3.82942,-3.72611,-3.76494,-5.14228,-6.46185,-3.83688,-5.64687,-3.79318,-3.72891,-3.72611,-4.15194,-3.96949,-4.18618,-3.96949,-6.00213,-3.96862,-3.72879,-3.72879,-4.0335,-4.0335,-3.78079,-3.87329,-4.95034,-3.74083,-3.96949,-4.40479,-3.80732,-3.74809,-3.91213,-3.72611,-3.74387,-3.77554,-6.88286,-6.88286,-3.77554,-3.7244,-4.15194,-3.96949,-3.74083,-5.74829,-5.74829,-4.07601,-3.72891,-3.72891,-3.85476,118.14,103.287,79.6177,133.837,90.5595,136.098,128.212,91.0161,109.806,147.174,106.171,95.4526,129.842,148.583,126.506,117.715,111.501,86.2734,110.398,124.749,119.464,94.5508,120.946,81.4676,109.773,108.874,106.824,81.4866,132.64,142.666,106.913,124.029,109.078,68.923,96.323,127.645,134.214,103.016,83.0229,102.792,122.483,98.4057,103.603,115.743,87.3194,97.9237,58.6253,71.375,102.852,121.829,98.5959,116.533,149.15,131.821,104.791,76.191,82.251,106.104,104.562,109.201,110.396,122.242,94.6734,120.816,78.3403,82.2378,93.963,137.274,103.299,97.3733,104.727,102.605,89.1839,115.214,109.57,101.14
-249.301,0.825377,0.833064,1,3,0,250.358,104.767,2.46013,15.8723,112.083,107.163,89.9419,109.623,104.703,119.463,119.463,112.083,109.623,112.083,94.8621,117.003,102.243,112.083,107.163,94.8621,121.924,94.8621,94.8621,117.003,94.8621,107.163,99.7824,87.4817,121.924,92.402,117.003,104.703,94.8621,119.463,114.543,104.703,117.003,102.243,109.623,119.463,109.623,104.703,92.402,94.8621,117.003,102.243,94.8621,124.384,94.8621,102.243,87.4817,87.4817,87.4817,99.7824,99.7824,112.083,117.003,124.384,99.7824,94.8621,97.3223,114.543,121.924,107.163,117.003,114.543,102.243,87.4817,87.4817,102.243,107.163,102.243,94.8621,99.7824,114.543,114.543,92.402,94.8621,94.8621,87.4817,-3.69213,-4.7186,-4.48201,-3.89723,-3.73921,-3.86126,-3.86126,-3.97328,-3.6838,-3.69213,-4.13831,-3.78086,-3.6935,-4.32063,-3.78534,-4.13831,-4.33202,-3.73591,-4.13831,-3.78086,-3.73591,-3.69949,-5.44391,-6.47175,-3.96568,-3.79809,-3.78086,-3.73921,-4.13831,-3.86126,-3.72448,-3.72741,-3.70134,-3.80295,-5.51491,-6.94475,-3.89723,-6.15622,-3.69497,-3.73591,-3.70134,-3.98098,-4.13831,-4.09413,-4.13831,-5.74675,-3.79461,-3.6961,-3.6961,-3.87344,-3.87344,-3.80791,-3.78086,-4.86354,-3.68361,-4.13831,-4.70419,-3.72448,-3.69086,-4.01058,-3.70134,-3.74261,-3.6935,-6.47175,-6.47175,-3.6935,-3.69949,-3.98098,-4.13831,-3.68361,-6.17862,-6.17862,-4.29815,-3.73591,-3.73591,-3.99453,80.6072,96.5352,75.4175,117.206,92.1685,123.686,129.553,107.009,113.899,120.048,98.2454,90.6588,67.124,96.5138,128.69,78.0234,99.6512,60.9409,95.763,126.577,83.3734,128.682,98.3,87.6109,117.592,113.508,102.479,95.43,118.51,113.233,117.068,81.9242,97.2866,129.026,106.89,140.173,118.018,126.189,76.2471,95.4078,123.109,103.979,93.8332,117.564,86.9519,71.1203,89.5076,92.0357,100.198,96.6097,104.637,105.442,125.958,119.719,99.754,92.3344,116.859,123.108,117.622,119.893,119.707,122.757,119.158,84.581,59.1225,110.612,97.6949,99.1285,95.776,89.7191,132.948,101.481,107.128,114.987,80.8182,99.8231
