# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-12 13:06:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\25yin2i7.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220612150643_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.771502
# Diagonal elements of inverse mass matrix:
# 2.89522, 0.186767, 0.00793903
-251,0.903828,0.771502,2,3,0,253.268,106.184,1.59385,15.1363,110.923,107.735,96.5785,109.329,106.142,115.705,115.705,110.923,109.329,110.923,99.7662,114.111,104.548,110.923,107.735,99.7662,117.299,99.7662,99.7662,114.111,99.7662,107.735,102.954,94.9847,117.299,98.1724,114.111,106.142,99.7662,115.705,112.517,106.142,114.111,104.548,109.329,115.705,109.329,106.142,98.1724,99.7662,114.111,104.548,99.7662,118.892,99.7662,104.548,94.9847,94.9847,94.9847,102.954,102.954,110.923,114.111,118.892,102.954,99.7662,101.36,112.517,117.299,107.735,114.111,112.517,104.548,94.9847,94.9847,104.548,107.735,104.548,99.7662,102.954,112.517,112.517,98.1724,99.7662,99.7662,94.9847,-3.63789,-4.71786,-4.02916,-3.88453,-3.66852,-3.70706,-3.70706,-3.89643,-3.63702,-3.63789,-3.86459,-3.67292,-3.68117,-4.43026,-3.76662,-3.86459,-4.76073,-3.63615,-3.86459,-3.67292,-3.63615,-3.64723,-6.00602,-8.05235,-3.75229,-3.64332,-3.67292,-3.66852,-3.86459,-3.70706,-3.64986,-3.71835,-3.71172,-3.70091,-5.68898,-7.91802,-3.88453,-6.13789,-3.78179,-3.63615,-3.71172,-4.09791,-3.86459,-3.80861,-3.86459,-6.24082,-4.12607,-3.69026,-3.69026,-4.00225,-4.00225,-3.81584,-3.67292,-4.41498,-3.65508,-3.86459,-4.39429,-3.64986,-3.65196,-3.9643,-3.71172,-3.75824,-3.68117,-8.05235,-8.05235,-3.68117,-3.64723,-4.09791,-3.86459,-3.65508,-6.70222,-6.70222,-3.94133,-3.63615,-3.63615,-3.69093,104.327,123.601,77.8449,124.628,125.743,123.085,109.254,120.585,106.93,112.164,89.3582,94.1907,126.661,110.279,123.958,117.237,105.545,85.2561,92.0931,109.635,90.822,110.056,98.4075,115.665,120.377,105.2,114.893,88.4932,94.1568,113.986,125.876,105.602,108.883,83.0354,96.5191,80.5518,112.371,107.599,100.776,82.3449,118.02,98.0182,87.3684,128.091,67.3703,76.7008,115.056,78.537,78.744,90.2835,97.8169,111.285,133.074,111.191,91.4347,86.6414,116.026,107.838,92.4261,107.875,68.5846,108.595,100.275,85.7435,66.9333,87.7174,81.6847,104.908,88.4644,78.7818,108.259,110.247,76.0782,109.217,98.0648,96.148
-250.663,0.976135,0.771502,2,3,0,252.831,109.484,2.4761,18.6301,116.847,111.895,94.5626,114.371,109.419,124.276,124.276,116.847,114.371,116.847,99.5148,121.8,106.943,116.847,111.895,99.5148,126.752,99.5148,99.5148,121.8,99.5148,111.895,104.467,92.0865,126.752,97.0387,121.8,109.419,99.5148,124.276,119.324,109.419,121.8,106.943,114.371,124.276,114.371,109.419,97.0387,99.5148,121.8,106.943,99.5148,129.228,99.5148,106.943,92.0865,92.0865,92.0865,104.467,104.467,116.847,121.8,129.228,104.467,99.5148,101.991,119.324,126.752,111.895,121.8,119.324,106.943,92.0865,92.0865,106.943,111.895,106.943,99.5148,104.467,119.324,119.324,97.0387,99.5148,99.5148,92.0865,-3.91126,-4.31591,-4.18703,-3.88936,-3.8442,-4.13731,-4.13731,-4.25261,-3.87125,-3.91126,-4.0021,-4.04429,-3.91316,-4.09292,-4.04756,-4.0021,-4.09656,-3.84406,-4.0021,-4.04429,-3.84406,-3.84889,-5.55509,-6.39539,-4.24798,-3.85635,-4.04429,-3.8442,-4.0021,-4.13731,-3.96895,-3.97153,-3.84838,-3.85718,-4.78993,-5.68222,-3.88936,-5.19093,-3.91509,-3.84406,-3.84838,-4.25726,-4.0021,-4.37632,-4.0021,-5.80981,-4.05416,-3.84999,-3.84999,-4.14522,-4.14522,-3.85804,-4.04429,-5.07437,-3.87246,-4.0021,-4.31094,-3.96895,-3.90939,-3.93835,-3.84838,-3.84438,-3.91316,-6.39539,-6.39539,-3.91316,-3.84889,-4.25726,-4.0021,-3.87246,-5.19937,-5.19937,-4.08573,-3.84406,-3.84406,-3.93393,114.834,96.0164,120.52,103.536,100.841,103.236,135.533,109.997,93.4693,114.219,95.9464,112.832,103.441,118.423,123.287,87.1985,124.055,111.964,115.863,120.933,111.682,103.91,103.716,99.7562,128.161,87.8981,121.394,84.3592,92.044,114.497,159.225,103.316,113.387,118.505,161.859,163.392,99.4616,94.7115,126.816,105.321,94.6063,119.561,137.482,132.035,65.4049,134.525,68.0513,75.2206,76.6451,118.648,120.038,130.485,156.424,119.483,103.155,67.324,101.475,101.456,147.126,109.928,121.609,138.381,125.036,85.3101,77.8711,99.8628,130.552,130.502,85.7194,116.714,87.9296,132.681,128.972,98.6797,81.9412,113.753
-249.786,0.966602,0.771502,2,7,0,251.862,107.668,2.31447,14.3503,114.551,109.922,93.7205,112.236,107.607,121.494,121.494,114.551,112.236,114.551,98.3494,119.18,105.293,114.551,109.922,98.3494,123.809,98.3494,98.3494,119.18,98.3494,109.922,102.978,91.406,123.809,96.0349,119.18,107.607,98.3494,121.494,116.865,107.607,119.18,105.293,112.236,121.494,112.236,107.607,96.0349,98.3494,119.18,105.293,98.3494,126.123,98.3494,105.293,91.406,91.406,91.406,102.978,102.978,114.551,119.18,126.123,102.978,98.3494,100.664,116.865,123.809,109.922,119.18,116.865,105.293,91.406,91.406,105.293,109.922,105.293,98.3494,102.978,116.865,116.865,96.0349,98.3494,98.3494,91.406,-3.63299,-4.56152,-4.22619,-3.72906,-3.59661,-3.90348,-3.90348,-4.09677,-3.59485,-3.63299,-3.91228,-3.78731,-3.65073,-4.16223,-3.82172,-3.91228,-4.21924,-3.58933,-3.91228,-3.78731,-3.58933,-3.58273,-6.22332,-7.74538,-4.04567,-3.62088,-3.78731,-3.59661,-3.91228,-3.90348,-3.69714,-3.72322,-3.58435,-3.63651,-5.45427,-7.1827,-3.72906,-6.13037,-3.67114,-3.58933,-3.58435,-4.15054,-3.91228,-4.21387,-3.91228,-6.60697,-3.89858,-3.58751,-3.58751,-3.99167,-3.99167,-3.65481,-3.78731,-5.2396,-3.60425,-3.91228,-4.4905,-3.69714,-3.61793,-3.82933,-3.58435,-3.60657,-3.65073,-7.74538,-7.74538,-3.65073,-3.58273,-4.15054,-3.91228,-3.60425,-6.24844,-6.24844,-4.05623,-3.58933,-3.58933,-3.76204,98.148,105.736,114.32,115.9,107.528,145.056,122.89,109.182,97.6534,101.219,93.5484,128.64,127.979,113.212,119.084,86.4462,137.846,87.2289,84.905,132.014,88.6244,112.032,81.4874,88.9502,129.409,103.264,118.399,112.775,89.6205,105.852,127.486,94.2794,141.251,115.734,123.736,125.098,116.19,133.652,107.607,103.95,109.502,109.935,91.4393,123.362,106.152,139.235,100.933,95.6509,75.6382,104.215,91.1259,97.2812,116.191,125.679,106.498,66.6458,99.9865,147.477,127.268,122.706,123.352,147.403,127.586,125.924,81.0105,101.378,76.8784,105.615,71.6608,132.357,141.241,97.2078,129.462,106.715,100.765,105.724
-250.105,0.969694,0.771502,3,7,0,251.048,105.68,2.49175,18.5745,113.09,108.106,90.6639,110.598,105.614,120.565,120.565,113.09,110.598,113.09,95.6474,118.073,103.123,113.09,108.106,95.6474,123.057,95.6474,95.6474,118.073,95.6474,108.106,100.631,88.1721,123.057,93.1556,118.073,105.614,95.6474,120.565,115.581,105.614,118.073,103.123,110.598,120.565,110.598,105.614,93.1556,95.6474,118.073,103.123,95.6474,125.548,95.6474,103.123,88.1721,88.1721,88.1721,100.631,100.631,113.09,118.073,125.548,100.631,95.6474,98.1391,115.581,123.057,108.106,118.073,115.581,103.123,88.1721,88.1721,103.123,108.106,103.123,95.6474,100.631,115.581,115.581,93.1556,95.6474,95.6474,88.1721,-3.85456,-4.5354,-4.38257,-3.96884,-3.8686,-4.00249,-4.00249,-4.08904,-3.84125,-3.85456,-4.13927,-3.93518,-3.85486,-4.25515,-3.93596,-4.13927,-4.25677,-3.86818,-4.13927,-3.93518,-3.86818,-3.84593,-5.20046,-5.95241,-4.08779,-3.90862,-3.93518,-3.8686,-4.13927,-4.00249,-3.88587,-3.88641,-3.84611,-3.90927,-5.09356,-6.09445,-3.96884,-5.55425,-3.85516,-3.86818,-3.84611,-4.09029,-4.13927,-4.19108,-4.13927,-5.43069,-3.93751,-3.84557,-3.84557,-4.00451,-4.00451,-3.90993,-3.93518,-4.78667,-3.84131,-4.13927,-4.53331,-3.88587,-3.85427,-4.04574,-3.84611,-3.86902,-3.85486,-5.95241,-5.95241,-3.85486,-3.84593,-4.09029,-4.13927,-3.84131,-5.55754,-5.55754,-4.25192,-3.86818,-3.86818,-4.04347,124.634,123.29,103.016,103.448,90.4229,156.934,99.5896,105.491,129.404,119.861,60.6637,141.927,130.29,150.851,131.525,98.4501,98.6654,98.828,98.8487,136.597,103.172,127.735,89.8888,75.6775,122.326,109.657,98.1604,100.644,112.144,111.302,106.888,104.837,125.071,103.517,147.877,134.427,103.959,127.662,85.7939,73.4989,107.396,93.4145,132.732,113.934,126.887,154.735,94.5176,115.734,91.4215,121.621,110.944,96.1102,123.86,144.324,124.22,93.4746,94.4512,101.696,136.124,106.172,111.154,133.354,74.4575,71.2275,61.4827,111.384,104.45,108.193,87.5261,112.544,83.1908,146.296,76.5811,117.346,98.0402,116.257
-248.802,1,0.771502,2,3,0,250.113,106.87,2.71001,16.046,114.929,109.509,90.5387,112.219,106.799,123.059,123.059,114.929,112.219,114.929,95.9588,120.349,104.089,114.929,109.509,95.9588,125.769,95.9588,95.9588,120.349,95.9588,109.509,101.379,87.8287,125.769,93.2487,120.349,106.799,95.9588,123.059,117.639,106.799,120.349,104.089,112.219,123.059,112.219,106.799,93.2487,95.9588,120.349,104.089,95.9588,128.479,95.9588,104.089,87.8287,87.8287,87.8287,101.379,101.379,114.929,120.349,128.479,101.379,95.9588,98.6688,117.639,125.769,109.509,120.349,117.639,104.089,87.8287,87.8287,104.089,109.509,104.089,95.9588,101.379,117.639,117.639,93.2487,95.9588,95.9588,87.8287,-3.74158,-4.5098,-4.42989,-3.81198,-3.7143,-4.02557,-4.02557,-4.1272,-3.70396,-3.74158,-4.07727,-3.90238,-3.72687,-4.13549,-3.86999,-4.07727,-4.08769,-3.72612,-4.07727,-3.90238,-3.72612,-3.69487,-5.60648,-6.47333,-4.17728,-3.78291,-3.90238,-3.7143,-4.07727,-4.02557,-3.80772,-3.78416,-3.69464,-3.76226,-5.19317,-6.34446,-3.81198,-5.83503,-3.7149,-3.72612,-3.69464,-4.07986,-4.07727,-4.35751,-4.07727,-5.95101,-3.81342,-3.70356,-3.70356,-3.94584,-3.94584,-3.74434,-3.90238,-5.2694,-3.69809,-4.07727,-4.57802,-3.80772,-3.75903,-3.90814,-3.69464,-3.70523,-3.72687,-6.47333,-6.47333,-3.72687,-3.69487,-4.07986,-4.07727,-3.69809,-5.72808,-5.72808,-4.23932,-3.72612,-3.72612,-3.98208,120.831,115.838,78.1031,118.085,101.185,141.08,126.247,95.6222,105.034,117.908,65.4338,97.9469,88.0777,100.331,119.314,56.5321,126.426,74.5885,109.46,96.3998,77.1485,97.9618,102.246,74.4867,124.258,100.659,121.515,91.9743,103.423,109.181,111.826,101.175,120.051,114.157,121.999,124.859,94.1666,99.2478,89.401,92.8053,121.569,103.532,99.5193,146.716,68.0322,108.272,99.5836,95.198,71.8111,100.893,108.477,108.393,129.152,111.728,76.0181,89.1434,71.3529,123.687,154.305,94.4562,144.014,119.505,88.7318,105.515,75.2881,96.7985,107.917,111.02,94.6431,105.154,107.256,129.499,69.1419,72.315,73.5786,45.7468
-250.4,0.838051,0.771502,2,3,0,250.732,104.003,1.99916,17.4838,109.947,105.949,91.955,107.948,103.95,115.945,115.945,109.947,107.948,109.947,95.9533,113.946,101.951,109.947,105.949,95.9533,117.944,95.9533,95.9533,113.946,95.9533,105.949,99.9517,89.9558,117.944,93.9542,113.946,103.95,95.9533,115.945,111.947,103.95,113.946,101.951,107.948,115.945,107.948,103.95,93.9542,95.9533,113.946,101.951,95.9533,119.943,95.9533,101.951,89.9558,89.9558,89.9558,99.9517,99.9517,109.947,113.946,119.943,99.9517,95.9533,97.9525,111.947,117.944,105.949,113.946,111.947,101.951,89.9558,89.9558,101.951,105.949,101.951,95.9533,99.9517,111.947,111.947,93.9542,95.9533,95.9533,89.9558,-3.78022,-4.72636,-4.31283,-4.01779,-3.84008,-3.83802,-3.83802,-3.94207,-3.7871,-3.78022,-4.10295,-3.80568,-3.78644,-4.43793,-3.8381,-4.10295,-4.57591,-3.807,-4.10295,-3.80568,-3.807,-3.80705,-5.24758,-6.39153,-3.88344,-3.84,-3.80568,-3.84008,-4.10295,-3.83802,-3.78641,-3.80573,-3.84017,-3.88619,-5.46056,-6.95482,-4.01779,-5.90595,-3.80579,-3.807,-3.84017,-4.01382,-4.10295,-3.94193,-4.10295,-5.45,-3.94234,-3.78022,-3.78022,-3.9422,-3.9422,-3.9455,-3.80568,-4.43078,-3.78022,-4.10295,-4.5753,-3.78641,-3.78713,-4.10314,-3.84017,-3.8863,-3.78644,-6.39153,-6.39153,-3.78644,-3.80705,-4.01382,-4.10295,-3.78022,-6.14877,-6.14877,-4.20135,-3.807,-3.807,-3.94523,114.842,89.4747,82.3703,113.925,137.981,87.5697,97.0485,91.7042,107.097,137.843,91.9965,125.038,115.688,110.764,116.475,104.868,108.161,110.886,109.556,123.964,124.482,92.6875,84.5065,99.4032,89.6021,94.6951,116.01,108.978,74.0287,89.0894,84.6416,87.4056,108.098,89.8436,99.3119,122.976,133.905,104.718,73.3294,118.973,106.923,89.6188,98.1266,107.192,117.944,97.1993,106.595,109.313,75.3813,112.487,100.845,99.818,126.473,139.223,122.863,65.4001,112.3,115.967,134.84,114.316,115.519,110.407,102.155,89.7378,94.5077,108.331,106.659,98.6034,103.801,77.3761,105.019,106.767,123.018,97.9669,115.983,72.8284
