# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-12 17:40:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\qag4mfs1.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220612194004_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.865404
# Diagonal elements of inverse mass matrix:
# 3.45809, 0.185968, 0.00724436
-248.899,0.971827,0.865404,2,3,0,249.263,107.602,2.31609,17.2436,114.49,109.857,93.6447,112.173,107.541,121.438,121.438,114.49,112.173,114.49,98.2769,119.122,105.225,114.49,109.857,98.2769,123.754,98.2769,98.2769,119.122,98.2769,109.857,102.909,91.3286,123.754,95.9608,119.122,107.541,98.2769,121.438,116.806,107.541,119.122,105.225,112.173,121.438,112.173,107.541,95.9608,98.2769,119.122,105.225,98.2769,126.07,98.2769,105.225,91.3286,91.3286,91.3286,102.909,102.909,114.49,119.122,126.07,102.909,98.2769,100.593,116.806,123.754,109.857,119.122,116.806,105.225,91.3286,91.3286,105.225,109.857,105.225,98.2769,102.909,116.806,116.806,95.9608,98.2769,98.2769,91.3286,-3.80027,-4.44864,-4.21619,-3.86938,-3.77655,-3.98637,-3.98637,-4.11942,-3.77432,-3.80027,-3.99748,-3.9063,-3.81229,-4.17092,-3.92977,-3.99748,-4.21021,-3.77137,-3.99748,-3.9063,-3.77137,-3.76641,-5.58753,-6.63859,-4.08448,-3.79381,-3.9063,-3.77655,-3.99748,-3.98637,-3.84426,-3.86201,-3.76768,-3.80472,-5.06845,-6.26694,-3.86938,-5.53803,-3.82613,-3.77137,-3.76768,-4.15618,-3.99748,-4.20063,-3.99748,-5.85289,-3.98219,-3.76935,-3.76935,-4.0466,-4.0466,-3.81744,-3.9063,-4.90924,-3.78061,-3.99748,-4.39971,-3.84426,-3.79008,-3.93937,-3.76768,-3.78354,-3.81229,-6.63859,-6.63859,-3.81229,-3.76641,-4.15618,-3.99748,-3.78061,-5.61924,-5.61924,-4.09781,-3.77137,-3.77137,-3.89282,116.152,92.5733,76.8518,97.4453,138.184,138.088,140.164,95.7216,138.667,133.073,116.691,119.797,60.5379,108.843,87.97,86.7313,160.212,77.9235,142.677,128.651,122.719,92.8591,95.4318,76.0554,126.462,108.551,92.9312,119.137,106.794,124.385,124.092,112.447,88.9873,60.3282,101.474,127.72,97.1934,118.37,108.2,92.455,109.455,101.252,111.717,136.838,118.307,88.174,107.139,86.1941,73.0404,68.3287,99.5325,147.097,149.282,120.559,81.4973,89.6641,89.3032,113.806,129.001,132.179,115.784,96.2486,85.4998,87.6212,94.6307,90.3877,100.488,108.672,88.3375,92.1265,140.252,134.338,67.3783,95.5633,78.9766,119.17
-250.234,0.865265,0.865404,2,3,0,250.473,106.809,2.34663,18.9183,113.787,109.094,92.6673,111.44,106.747,120.827,120.827,113.787,111.44,113.787,97.3605,118.48,104.4,113.787,109.094,97.3605,123.173,97.3605,97.3605,118.48,97.3605,109.094,102.054,90.3207,123.173,95.0139,118.48,106.747,97.3605,120.827,116.134,106.747,118.48,104.4,111.44,120.827,111.44,106.747,95.0139,97.3605,118.48,104.4,97.3605,125.52,97.3605,104.4,90.3207,90.3207,90.3207,102.054,102.054,113.787,118.48,125.52,102.054,97.3605,99.7072,116.134,123.173,109.094,118.48,116.134,104.4,90.3207,90.3207,104.4,109.094,104.4,97.3605,102.054,116.134,116.134,95.0139,97.3605,97.3605,90.3207,-3.8791,-4.46967,-4.27877,-3.96143,-3.87385,-4.02283,-4.02283,-4.12461,-3.86197,-3.8791,-4.08225,-3.95953,-3.88612,-4.2263,-3.9746,-4.08225,-4.25461,-3.8688,-4.08225,-3.95953,-3.8688,-3.86022,-5.29444,-6.1303,-4.10151,-3.8938,-3.95953,-3.87385,-4.08225,-4.02283,-3.91163,-3.92267,-3.8623,-3.90287,-4.99856,-6.00286,-3.96143,-5.40385,-3.89419,-3.8688,-3.8623,-4.14877,-4.08225,-4.19557,-4.08225,-5.5123,-4.00788,-3.85921,-3.85921,-4.06205,-4.06205,-3.913,-3.95953,-4.76892,-3.86496,-4.08225,-4.43436,-3.91163,-3.87314,-4.02524,-3.8623,-3.87995,-3.88612,-6.1303,-6.1303,-3.88612,-3.86022,-4.14877,-4.08225,-3.86496,-5.46137,-5.46137,-4.17282,-3.8688,-3.8688,-3.98996,77.6026,126.545,94.183,133.421,94.9432,120.668,112.178,115.295,102.707,122.973,73.9417,88.9796,120.643,90.6168,102.578,80.2702,90.6003,79.9154,112.59,118.748,94.5678,139.319,122.298,120.873,128.433,68.3171,133.834,126.024,118.206,78.6369,90.0213,95.4963,112.216,85.675,104.285,111.296,99.509,74.9186,113.312,115.582,122.989,75.799,75.1018,134.755,125.782,103.387,93.6856,101.085,85.5382,107.583,99.477,87.3827,115.218,108.094,114.757,116.645,81.998,127.173,133.416,110.004,151.896,125.639,83.8847,70.3848,80.5745,96.4797,105.201,96.9316,78.5359,91.4481,137.352,125.228,97.5849,104.069,114.582,111.941
-251.489,0.86293,0.865404,2,3,0,252.88,104.142,2.1738,19.2587,110.606,106.259,91.0421,108.432,104.085,117.128,117.128,110.606,108.432,110.606,95.3897,114.954,101.911,110.606,106.259,95.3897,119.301,95.3897,95.3897,114.954,95.3897,106.259,99.7373,88.8683,119.301,93.2159,114.954,104.085,95.3897,117.128,112.78,104.085,114.954,101.911,108.432,117.128,108.432,104.085,93.2159,95.3897,114.954,101.911,95.3897,121.475,95.3897,101.911,88.8683,88.8683,88.8683,99.7373,99.7373,110.606,114.954,121.475,99.7373,95.3897,97.5635,112.78,119.301,106.259,114.954,112.78,101.911,88.8683,88.8683,101.911,106.259,101.911,95.3897,99.7373,112.78,112.78,93.2159,95.3897,95.3897,88.8683,-3.8774,-4.63675,-4.3614,-4.05728,-3.92407,-3.94539,-3.94539,-4.02855,-3.88021,-3.8774,-4.16466,-3.90998,-3.88182,-4.38394,-3.92971,-4.16466,-4.45446,-3.90555,-4.16466,-3.90998,-3.90555,-3.89577,-5.06902,-5.91351,-3.99353,-3.93895,-3.90998,-3.92407,-4.16466,-3.94539,-3.88732,-3.8994,-3.91123,-3.96511,-5.22028,-6.35472,-4.05728,-5.61579,-3.89084,-3.90555,-3.91123,-4.06816,-4.16466,-4.05442,-4.16466,-5.24968,-3.98292,-3.87863,-3.87863,-4.00472,-4.00472,-3.99586,-3.90998,-4.49862,-3.87699,-4.16466,-4.55552,-3.88732,-3.87756,-4.13145,-3.91123,-3.94717,-3.88182,-5.91351,-5.91351,-3.88182,-3.89577,-4.06816,-4.16466,-3.87699,-5.74443,-5.74443,-4.25666,-3.90555,-3.90555,-4.04395,151.748,115.838,82.8638,99.976,80.3334,136.983,120.357,118.419,143.785,148.368,112.641,114.466,87.0834,97.7078,97.2138,109.504,120.348,75.6453,126.674,121.438,106.997,67.4562,115.065,92.1072,137.847,65.8375,126.032,114.443,83.6958,118.026,120.817,116.575,134.103,125.68,90.0727,167.166,132.519,114.967,78.2318,96.207,111.245,107.902,106.264,125.494,76.5774,108.504,52.8278,104.443,128.657,93.3728,108.376,115.434,134.061,131.196,96.9703,126.436,91.2086,120.194,130.682,119.85,108.19,83.6336,66.1874,72.3796,80.655,111.145,115.402,95.3261,113.434,99.361,114.641,133.542,119.462,111.569,120.445,85.185
-250.949,0.695082,0.865404,2,3,0,257.121,104.512,3.01439,17.9256,113.476,107.447,86.3467,110.462,104.433,122.519,122.519,113.476,110.462,113.476,92.3754,119.505,101.419,113.476,107.447,92.3754,125.534,92.3754,92.3754,119.505,92.3754,107.447,98.4042,83.3323,125.534,89.3611,119.505,104.433,92.3754,122.519,116.491,104.433,119.505,101.419,110.462,122.519,110.462,104.433,89.3611,92.3754,119.505,101.419,92.3754,128.548,92.3754,101.419,83.3323,83.3323,83.3323,98.4042,98.4042,113.476,119.505,128.548,98.4042,92.3754,95.3898,116.491,125.534,107.447,119.505,116.491,101.419,83.3323,83.3323,101.419,107.447,101.419,92.3754,98.4042,116.491,116.491,89.3611,92.3754,92.3754,83.3323,-3.82397,-4.59661,-4.67575,-3.94673,-3.85339,-4.04905,-4.04905,-4.08776,-3.8055,-3.82397,-4.28852,-3.94575,-3.8083,-4.23003,-3.89147,-4.28852,-4.13081,-3.89563,-4.28852,-3.94575,-3.89563,-3.81531,-5.06059,-5.534,-4.18064,-3.98129,-3.94575,-3.85339,-4.28852,-4.04905,-3.87072,-3.83575,-3.80555,-3.91975,-5.16283,-5.99111,-3.94673,-5.77359,-3.8058,-3.89563,-3.80555,-4.00805,-4.28852,-4.3405,-4.28852,-5.34119,-3.82245,-3.87435,-3.87435,-3.91507,-3.91507,-3.87139,-3.94575,-5.07334,-3.80913,-4.28852,-4.74761,-3.87072,-3.85282,-4.05035,-3.80555,-3.82433,-3.8083,-5.534,-5.534,-3.8083,-3.81531,-4.00805,-4.28852,-3.80913,-5.55243,-5.55243,-4.46799,-3.89563,-3.89563,-4.23746,133.775,97.8455,61.9502,111.535,112.14,126.256,106.295,107.937,109.728,131.091,86.2823,142.306,99.6041,93.3659,118.854,95.4742,104.835,73.6681,88.6326,135.075,83.5804,108.704,87.5438,84.0076,159.329,55.7533,139.548,94.2863,128.695,98.6167,149.951,117.524,133.975,107.259,106.244,156.156,31.2527,107.375,120.816,101.021,126.307,90.4272,98.0495,123.645,117.746,92.4813,98.6567,118.032,46.2043,104.014,72.97,134.15,90.8551,140.801,55.1074,82.6448,85.7859,118.231,86.6579,100.997,121.968,103.06,78.603,75.1254,63.0964,138.923,131.635,114.715,106.032,94.9807,117.503,129.461,84.7348,72.2747,123.198,85.6915
-249.943,1,0.865404,2,3,0,250.999,104.748,2.88417,16.8023,113.325,107.556,87.3673,110.441,104.672,121.977,121.977,113.325,110.441,113.325,93.1356,119.093,101.788,113.325,107.556,93.1356,124.861,93.1356,93.1356,119.093,93.1356,107.556,98.9039,84.4831,124.861,90.2514,119.093,104.672,93.1356,121.977,116.209,104.672,119.093,101.788,110.441,121.977,110.441,104.672,90.2514,93.1356,119.093,101.788,93.1356,127.746,93.1356,101.788,84.4831,84.4831,84.4831,98.9039,98.9039,113.325,119.093,127.746,98.9039,93.1356,96.0198,116.209,124.861,107.556,119.093,116.209,101.788,84.4831,84.4831,101.788,107.556,101.788,93.1356,98.9039,116.209,116.209,90.2514,93.1356,93.1356,84.4831,-3.76003,-4.63256,-4.64766,-3.9023,-3.79073,-3.99452,-3.99452,-4.05491,-3.7408,-3.76003,-4.24416,-3.8869,-3.74612,-4.23292,-3.84158,-4.24416,-4.14634,-3.82391,-4.24416,-3.8869,-3.82391,-3.75103,-5.22006,-5.84638,-4.13162,-3.90877,-3.8869,-3.79073,-4.24416,-3.99452,-3.80873,-3.77912,-3.74191,-3.85989,-5.28792,-6.30091,-3.9023,-5.95081,-3.74057,-3.82391,-3.74191,-3.98656,-4.24416,-4.29817,-4.24416,-5.53007,-3.77605,-3.79436,-3.79436,-3.88087,-3.88087,-3.81937,-3.8869,-5.10385,-3.74258,-4.24416,-4.7589,-3.80873,-3.78231,-4.01469,-3.74191,-3.76591,-3.74612,-5.84638,-5.84638,-3.74612,-3.75103,-3.98656,-4.24416,-3.74258,-5.7627,-5.7627,-4.43118,-3.82391,-3.82391,-4.16688,124.929,86.0449,93.5593,102.311,77.456,137.512,128.136,132.81,106.785,131.826,84.7354,93.9173,85.3241,93.1837,91.4438,85.9974,146.45,88.1184,100.663,89.5589,77.8792,108.716,118.364,65.4248,110.431,90.7735,114.756,77.9538,87.9583,88.3592,119.047,109.942,143.799,128.308,134.161,122.422,103.558,95.4541,115.283,64.4115,127.54,84.5816,119.978,131.207,109.204,103.264,92.8695,88.9987,100.135,101.239,81.8916,102.866,158.725,133.878,69.6815,75.7717,101.807,111.204,111.234,82.3322,112.692,145.642,123.364,68.8908,114.823,93.0484,88.4631,93.7501,94.2994,113.801,122.633,121.292,102.55,134.385,98.9112,123.474
-250.025,0.827581,0.865404,2,3,0,251.92,106.785,2.62989,14.2014,114.606,109.346,90.9368,111.976,106.716,122.495,122.495,114.606,111.976,114.606,96.1966,119.866,104.086,114.606,109.346,96.1966,125.125,96.1966,96.1966,119.866,96.1966,109.346,101.456,88.3069,125.125,93.5667,119.866,106.716,96.1966,122.495,117.236,106.716,119.866,104.086,111.976,122.495,111.976,106.716,93.5667,96.1966,119.866,104.086,96.1966,127.755,96.1966,104.086,88.3069,88.3069,88.3069,101.456,101.456,114.606,119.866,127.755,101.456,96.1966,98.8265,117.236,125.125,109.346,119.866,117.236,104.086,88.3069,88.3069,104.086,109.346,104.086,96.1966,101.456,117.236,117.236,93.5667,96.1966,96.1966,88.3069,-3.62487,-4.62986,-4.47322,-3.7319,-3.59901,-3.95937,-3.95937,-4.10116,-3.58196,-3.62487,-4.04465,-3.81358,-3.61368,-4.1598,-3.78883,-4.04465,-4.12081,-3.60814,-4.04465,-3.81358,-3.60814,-3.57334,-6.02543,-7.21027,-4.13946,-3.67489,-3.81358,-3.59901,-4.04465,-3.95937,-3.70208,-3.68411,-3.57233,-3.65898,-5.51929,-7.05945,-3.7319,-6.31874,-3.60382,-3.60814,-3.57233,-4.0642,-4.04465,-4.35384,-4.04465,-6.45276,-3.74336,-3.57939,-3.57939,-3.89767,-3.89767,-3.64442,-3.81358,-5.48212,-3.57754,-4.04465,-4.68374,-3.70208,-3.63741,-3.85368,-3.57233,-3.59122,-3.61368,-7.21027,-7.21027,-3.61368,-3.57334,-4.0642,-4.04465,-3.57754,-6.23367,-6.23367,-4.24179,-3.60814,-3.60814,-3.91125,110.759,120.422,87.9935,110.232,103.669,129.331,109.851,102.832,107.529,111.648,106.687,128.598,97.6213,129.111,109.028,98.7524,122.316,113.572,104.506,97.6214,100.702,105.199,96.0391,97.2128,145.696,97.1612,113.568,119.033,64.7305,102.676,133.126,125.224,126.686,95.7207,108.98,124.834,107.848,90.2796,104.906,113.49,99.4437,88.2845,81.6617,131.572,92.1647,96.3306,102.042,91.5326,82.6373,96.51,89.1139,115.99,128.058,123.716,106.229,104.626,78.5275,134.698,131.721,125.357,97.0442,105.339,86.8636,70.6034,95.4534,95.7863,101.206,107.87,118.167,97.4187,97.6476,139.827,95.9708,90.8172,82.8705,52.5628
