# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-12 18:33:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\kyod9cnk.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220612203337_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.796654
# Diagonal elements of inverse mass matrix:
# 3.35995, 0.181832, 0.00708468
-249.322,0.978825,0.796654,2,3,0,249.703,106.066,2.73461,15.1224,114.198,108.729,89.5867,111.464,105.994,122.402,122.402,114.198,111.464,114.198,95.0559,119.667,103.26,114.198,108.729,95.0559,125.137,95.0559,95.0559,119.667,95.0559,108.729,100.525,86.8521,125.137,92.3213,119.667,105.994,95.0559,122.402,116.933,105.994,119.667,103.26,111.464,122.402,111.464,105.994,92.3213,95.0559,119.667,103.26,95.0559,127.871,95.0559,103.26,86.8521,86.8521,86.8521,100.525,100.525,114.198,119.667,127.871,100.525,95.0559,97.7905,116.933,125.137,108.729,119.667,116.933,103.26,86.8521,86.8521,103.26,108.729,103.26,95.0559,100.525,116.933,116.933,92.3213,95.0559,95.0559,86.8521,-3.67365,-4.62436,-4.54619,-3.79444,-3.6702,-3.97141,-3.97141,-4.07587,-3.6398,-3.67365,-4.12339,-3.83946,-3.65835,-4.18105,-3.80171,-4.12339,-4.11813,-3.68856,-4.12339,-3.83946,-3.68856,-3.63865,-5.67236,-6.6044,-4.13606,-3.76403,-3.83946,-3.6702,-4.12339,-3.97141,-3.7402,-3.71368,-3.63536,-3.73445,-5.41555,-6.72581,-3.79444,-6.16342,-3.6469,-3.68856,-3.63536,-4.01953,-4.12339,-4.33341,-4.12339,-6.05373,-3.73777,-3.65678,-3.65678,-3.87732,-3.87732,-3.70871,-3.83946,-5.33352,-3.63572,-4.12339,-4.71358,-3.7402,-3.69281,-3.91287,-3.63536,-3.65568,-3.65835,-6.6044,-6.6044,-3.65835,-3.63865,-4.01953,-4.12339,-3.63572,-6.0258,-6.0258,-4.31844,-3.68856,-3.68856,-4.01307,107.383,114.28,44.911,110.145,124.242,98.0185,130.481,117.693,107.83,105.748,103.641,127.142,77.3788,122.342,105.174,84.6155,93.2515,118.023,118.241,153.368,96.8307,148.435,102.801,89.5716,134.124,93.2956,115.727,121.232,72.2286,138.311,117.883,120.687,106.345,90.1941,110.514,130.058,109.715,98.8723,96.6795,95.9756,117.78,92.4906,104.323,123.017,128.535,99.3313,104.791,94.6825,63.2206,84.341,110.218,119.803,133.79,149.701,116.27,94.2388,85.9794,114.331,130.353,106.656,115.338,110.511,80.1052,82.3334,83.8943,128.148,119.827,107.775,95.8759,97.0175,125.783,125.876,125.895,92.4143,87.4803,83.8938
-249.227,0.970855,0.796654,3,7,0,250.098,108.053,2.04548,17.2101,114.136,110.045,95.7268,112.091,108,120.272,120.272,114.136,112.091,114.136,99.8177,118.227,105.954,114.136,110.045,99.8177,122.318,99.8177,99.8177,118.227,99.8177,110.045,103.909,93.6813,122.318,97.7723,118.227,108,99.8177,120.272,116.182,108,118.227,105.954,112.091,120.272,112.091,108,97.7723,99.8177,118.227,105.954,99.8177,124.363,99.8177,105.954,93.6813,93.6813,93.6813,103.909,103.909,114.136,118.227,124.363,103.909,99.8177,101.863,116.182,122.318,110.045,118.227,116.182,105.954,93.6813,93.6813,105.954,110.045,105.954,99.8177,103.909,116.182,116.182,97.7723,99.8177,99.8177,93.6813,-3.79331,-4.43664,-4.10835,-3.87004,-3.77119,-3.94257,-3.94257,-4.10177,-3.77181,-3.79331,-3.93946,-3.87869,-3.82428,-4.18928,-3.93477,-3.93946,-4.29223,-3.76449,-3.93946,-3.87869,-3.76449,-3.76444,-5.70543,-6.98546,-4.02058,-3.77281,-3.87869,-3.77119,-3.93946,-3.94257,-3.82894,-3.87247,-3.76974,-3.79207,-5.07937,-6.42875,-3.87004,-5.49311,-3.86641,-3.76449,-3.76974,-4.19412,-3.93946,-4.11271,-3.93946,-5.94667,-4.08041,-3.78731,-3.78731,-4.091,-4.091,-3.82248,-3.87869,-4.76646,-3.79023,-3.93946,-4.31973,-3.82894,-3.77351,-3.93173,-3.76974,-3.78905,-3.82428,-6.98546,-6.98546,-3.82428,-3.76444,-4.19412,-3.93946,-3.79023,-5.69512,-5.69512,-4.01684,-3.76449,-3.76449,-3.83184,121.308,104.28,120.14,96.6326,82.7071,112.158,140.199,103.889,97.2324,101.088,101.184,110.464,82.3576,113.797,123.825,121.687,127.931,101.004,113.761,101.481,97.4795,134.846,102.733,62.8892,116.537,111.169,129.931,88.669,95.2744,143.963,132.854,90.4654,128.461,108.323,109.065,146.74,131.648,155.135,124.216,84.1802,98.0026,77.6739,116.933,124.089,132.253,107.31,96.5774,80.703,70.5922,113.722,111.871,103.858,125.112,130.343,124.064,130.615,106.866,102.179,110.426,140.641,103.375,99.5723,131.201,65.2155,97.1268,109.652,88.8221,116.235,71.651,99.9882,126.214,105.503,129.859,102.532,92.985,82.036
-248.919,1,0.796654,2,3,0,249.347,106.99,2.06328,16.8806,113.125,108.999,94.5558,111.062,106.936,119.315,119.315,113.125,111.062,113.125,98.6824,117.252,104.872,113.125,108.999,98.6824,121.378,98.6824,98.6824,117.252,98.6824,108.999,102.809,92.4926,121.378,96.6191,117.252,106.936,98.6824,119.315,115.189,106.936,117.252,104.872,111.062,119.315,111.062,106.936,96.6191,98.6824,117.252,104.872,98.6824,123.442,98.6824,104.872,92.4926,92.4926,92.4926,102.809,102.809,113.125,117.252,123.442,102.809,98.6824,100.746,115.189,121.378,108.999,117.252,115.189,104.872,92.4926,92.4926,104.872,108.999,104.872,98.6824,102.809,115.189,115.189,96.6191,98.6824,98.6824,92.4926,-3.76224,-4.519,-4.16363,-3.88528,-3.76158,-3.89736,-3.89736,-4.04739,-3.74708,-3.76224,-3.96985,-3.83738,-3.78675,-4.24475,-3.88719,-3.96985,-4.35356,-3.74815,-3.96985,-3.83738,-3.74815,-3.74686,-5.63388,-6.91337,-3.97228,-3.76516,-3.83738,-3.76158,-3.96985,-3.89736,-3.79234,-3.8295,-3.75835,-3.79124,-5.21447,-6.64953,-3.88528,-5.66342,-3.82198,-3.74815,-3.75835,-4.13321,-3.96985,-4.06214,-3.96985,-5.87891,-4.01894,-3.756,-3.756,-4.03299,-4.03299,-3.82803,-3.83738,-4.70932,-3.75895,-3.96985,-4.39561,-3.79234,-3.74844,-3.95746,-3.75835,-3.78572,-3.78675,-6.91337,-6.91337,-3.78675,-3.74686,-4.13321,-3.96985,-3.75895,-5.87147,-5.87147,-4.05927,-3.74815,-3.74815,-3.844,95.1865,116.789,56.8985,128.753,113.065,110.202,134.215,136.075,139.537,126.129,95.8714,117.811,122.577,124.445,108.137,115.547,160.3,84.7926,83.0889,95.4642,102.674,86.4494,116.828,111.199,101.966,82.964,116.944,108.573,90.1185,81.5801,122.25,110.376,120.71,121.03,92.6885,126.432,92.8596,100.815,131.158,93.2969,132.063,94.6082,113.835,130.286,67.9051,136.149,74.085,79.3385,87.7292,80.6432,94.8594,121.141,92.3385,131.874,91.511,96.1469,98.7058,101.343,138.137,124.958,124.101,143.626,139.194,55.4786,92.3517,124.55,156.239,136.176,76.9691,123.84,97.884,115.797,117.766,135.835,111.016,82.1489
-248.929,0.996946,0.796654,3,7,0,249.204,106.939,2.69033,15.4202,114.939,109.558,90.7258,112.248,106.868,123.01,123.01,114.939,112.248,114.939,96.1065,120.319,104.177,114.939,109.558,96.1065,125.7,96.1065,96.1065,120.319,96.1065,109.558,101.487,88.0355,125.7,93.4162,120.319,106.868,96.1065,123.01,117.629,106.868,120.319,104.177,112.248,123.01,112.248,106.868,93.4162,96.1065,120.319,104.177,96.1065,128.39,96.1065,104.177,88.0355,88.0355,88.0355,101.487,101.487,114.939,120.319,128.39,101.487,96.1065,98.7968,117.629,125.7,109.558,120.319,117.629,104.177,88.0355,88.0355,104.177,109.558,104.177,96.1065,101.487,117.629,117.629,93.4162,96.1065,96.1065,88.0355,-3.70591,-4.5333,-4.43578,-3.78097,-3.67525,-4.01052,-4.01052,-4.12388,-3.66525,-3.70591,-4.06051,-3.87854,-3.69131,-4.13161,-3.84672,-4.06051,-4.08461,-3.6865,-4.06051,-3.87854,-3.6865,-3.65503,-5.73937,-6.69667,-4.17293,-3.74577,-3.87854,-3.67525,-4.06051,-4.01052,-3.77701,-3.7538,-3.65483,-3.72591,-5.27405,-6.53177,-3.78097,-5.9629,-3.67916,-3.6865,-3.65483,-4.07727,-4.06051,-4.36578,-4.06051,-6.11084,-3.79039,-3.66273,-3.66273,-3.93209,-3.93209,-3.70848,-3.87854,-5.34947,-3.65927,-4.06051,-4.59996,-3.77701,-3.72294,-3.88389,-3.65483,-3.66644,-3.69131,-6.69667,-6.69667,-3.69131,-3.65503,-4.07727,-4.06051,-3.65927,-5.85804,-5.85804,-4.23293,-3.6865,-3.6865,-3.95563,116.994,98.0389,92.6266,91.0829,85.1941,124.66,112.811,126.316,84.5485,110.107,119.676,127.265,115.373,124.447,95.8782,104.985,144.206,61.4284,69.0736,110.48,120.564,129.199,97.2602,80.5793,108.996,93.2243,139.345,106.287,122.304,126.388,101.903,97.9026,93.7367,110.713,102.843,138.492,117.533,95.1241,92.9155,80.3271,110.202,111.074,88.1456,150.561,98.7312,110.145,99.7211,103.216,96.5934,132.321,95.5378,103.187,79.5433,127.578,108.348,95.5494,112.404,103.759,109.139,110.981,105.509,105.02,106.208,71.3407,76.0153,109.342,118.475,104.928,115.879,126.425,85.2197,132.394,102.638,116.232,113.809,85.2512
-248.553,1,0.796654,3,7,0,248.905,107.294,2.39184,15.9679,114.407,109.623,92.8801,112.015,107.231,121.582,121.582,114.407,112.015,114.407,97.6638,119.19,104.839,114.407,109.623,97.6638,123.974,97.6638,97.6638,119.19,97.6638,109.623,102.447,90.4882,123.974,95.2719,119.19,107.231,97.6638,121.582,116.798,107.231,119.19,104.839,112.015,121.582,112.015,107.231,95.2719,97.6638,119.19,104.839,97.6638,126.366,97.6638,104.839,90.4882,90.4882,90.4882,102.447,102.447,114.407,119.19,126.366,102.447,97.6638,100.056,116.798,123.974,109.623,119.19,116.798,104.839,90.4882,90.4882,104.839,109.623,104.839,97.6638,102.447,116.798,116.798,95.2719,97.6638,97.6638,90.4882,-3.7276,-4.50377,-4.26427,-3.81456,-3.70455,-3.95258,-3.95258,-4.09652,-3.69748,-3.7276,-3.98795,-3.85515,-3.73544,-4.16634,-3.87111,-3.98795,-4.19316,-3.70022,-3.98795,-3.85515,-3.70022,-3.6898,-5.75412,-6.90417,-4.07245,-3.73336,-3.85515,-3.70455,-3.98795,-3.95258,-3.78015,-3.79206,-3.6908,-3.74174,-5.22531,-6.58381,-3.81456,-5.79523,-3.74402,-3.70022,-3.6908,-4.12134,-3.98795,-4.21475,-3.98795,-6.06972,-3.90523,-3.68998,-3.68998,-3.99335,-3.99335,-3.75087,-3.85515,-5.05271,-3.70126,-3.98795,-4.46956,-3.78015,-3.72049,-3.90068,-3.6908,-3.70962,-3.73544,-6.90417,-6.90417,-3.73544,-3.6898,-4.12134,-3.98795,-3.70126,-5.8512,-5.8512,-4.11489,-3.70022,-3.70022,-3.86694,108.009,117.717,110.381,118.173,80.4272,124.047,137.587,117.647,106.976,112.155,118.462,122.752,78.5374,96.4808,117.245,92.4968,128.048,105.482,89.3779,123.453,63.6216,101.058,91.0793,93.9485,133.564,96.2996,104.363,119.622,86.9963,108.602,108.189,117.876,114.903,99.8269,149.931,129.533,105.355,114.478,68.0409,82.1669,97.565,122.636,102.216,103.226,97.2707,85.3074,96.8829,101.197,104.87,76.6232,110.85,125.808,115.504,140.927,95.2985,98.4491,84.6806,112.262,122.605,99.6699,120.87,134.117,98.88,75.7892,100.558,118.092,141.44,120.127,85.4213,111.373,84.8406,127.751,91.9667,67.6546,98.9237,114.084
-249.286,0.884249,0.796654,2,3,0,249.669,107.38,1.93364,17.1781,113.13,109.262,95.7268,111.196,107.329,118.931,118.931,113.13,111.196,113.13,99.5941,116.997,105.395,113.13,109.262,99.5941,120.864,99.5941,99.5941,116.997,99.5941,109.262,103.461,93.7932,120.864,97.6604,116.997,107.329,99.5941,118.931,115.063,107.329,116.997,105.395,111.196,118.931,111.196,107.329,97.6604,99.5941,116.997,105.395,99.5941,122.798,99.5941,105.395,93.7932,93.7932,93.7932,103.461,103.461,113.13,116.997,122.798,103.461,99.5941,101.528,115.063,120.864,109.262,116.997,115.063,105.395,93.7932,93.7932,105.395,109.262,105.395,99.5941,103.461,115.063,115.063,97.6604,99.5941,99.5941,93.7932,-3.77917,-4.49126,-4.10777,-3.89391,-3.77467,-3.89771,-3.89771,-4.05467,-3.765,-3.77917,-3.94605,-3.84553,-3.81189,-4.24482,-3.90794,-3.94605,-4.38304,-3.76285,-3.94605,-3.84553,-3.76285,-3.7635,-5.65975,-7.01219,-3.96257,-3.77185,-3.84553,-3.77467,-3.94605,-3.89771,-3.80601,-3.85358,-3.77786,-3.79851,-5.16838,-6.62054,-3.89391,-5.57122,-3.86201,-3.76285,-3.77786,-4.16416,-3.94605,-4.04009,-3.94605,-5.88535,-4.08494,-3.78695,-3.78695,-4.06962,-4.06962,-3.84256,-3.84553,-4.64323,-3.78288,-3.94605,-4.34075,-3.80601,-3.76384,-3.95794,-3.77786,-3.80387,-3.81189,-7.01219,-7.01219,-3.81189,-3.7635,-4.16416,-3.94605,-3.78288,-5.83074,-5.83074,-4.02057,-3.76285,-3.76285,-3.82785,121.524,139.122,94.1574,100.002,112.984,131.272,128.804,103.742,102.735,89.7396,89.3377,106.731,103.347,139.185,153.387,93.455,110.945,103.506,97.0222,105.157,101.96,103.068,114.236,82.3417,131.758,63.1965,124.719,70.1962,106.146,120.5,132.723,136.762,108.161,141.045,116.596,120.29,108.471,98.4449,131.026,95.7569,76.3982,93.0193,76.1884,119.191,92.9062,112.572,76.6305,71.9602,85.2136,127.073,100.348,109.694,106.187,137.936,87.0026,110.117,112.284,121.58,104.586,140.363,136.522,104.484,91.7492,98.3259,90.3007,84.3523,145.506,84.7178,77.0028,123.678,102.82,96.0545,95.436,84.084,58.0336,52.4031
