# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-12 20:31:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\4_0d74ox.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220612223159_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.829819
# Diagonal elements of inverse mass matrix:
# 3.90161, 0.1899, 0.00657064
-249.617,0.9841,0.829819,2,3,0,249.844,105.32,2.5029,16.3202,102.751,107.757,100.248,87.7333,107.757,112.762,122.774,107.757,102.751,100.248,117.768,90.2362,110.259,105.254,120.271,95.242,92.7391,117.768,120.271,105.254,87.7333,95.242,112.762,100.248,120.271,115.265,105.254,112.762,117.768,117.768,125.277,110.259,100.248,95.242,97.7449,115.265,112.762,115.265,102.751,110.259,95.242,102.751,117.768,95.242,115.265,115.265,120.271,102.751,110.259,105.254,92.7391,112.762,122.774,95.242,87.7333,87.7333,102.751,117.768,107.757,102.751,92.7391,95.242,87.7333,87.7333,87.7333,125.277,95.242,100.248,95.242,122.774,95.242,95.242,117.768,95.242,95.242,107.757,-5.72488,-3.99274,-5.42888,-6.38415,-3.72079,-3.72567,-4.01766,-4.64014,-4.01655,-3.90849,-3.72069,-4.4446,-3.88945,-3.75363,-3.90938,-4.1202,-3.81031,-3.82462,-3.90938,-3.75363,-3.99381,-4.1202,-4.0171,-3.71146,-3.90938,-3.76339,-3.76316,-3.80968,-3.72069,-3.82462,-4.91075,-3.71147,-3.71146,-4.1202,-4.64112,-3.75343,-3.72567,-3.76339,-3.81,-5.37176,-4.1202,-3.72555,-3.82462,-3.75384,-5.97623,-5.97623,-6.67435,-3.72555,-3.88945,-5.97775,-3.72543,-4.26914,-3.72579,-3.75384,-6.38415,-6.38415,-3.72555,-3.72069,-3.82428,-4.01655,-4.27064,-4.1202,-3.82361,-3.72099,-3.72099,-4.14946,-4.1202,-3.90849,-4.1202,-4.26839,-3.75384,-4.1202,-3.82462,-3.75384,-3.75384,-3.72079,83.6189,92.7031,92.4919,82.1817,120.144,131.049,137.213,113.413,93.2524,86.3985,107.323,118.309,96.2025,78.6987,99.6063,76.8302,96.6433,107.034,108.413,108.701,73.7797,120.093,125.174,106.196,119.392,103.256,106.348,118.909,121.97,137.771,113.216,95.2367,66.5807,85.5199,120.397,116.82,121.033,90.0105,104.729,103.959,85.3127,80.4216,97.0238,115.824,107.634,113.434,140.121,134.729,125.116,110.316,80.3926,128.849,136.905,109.477,87.7358,89.3866,96.971,142.646,108.16,125.365,72.4958,118.54,88.279,93.8325,86.9923,111.035,89.2981,126.159,91.9145,133.927,106.261,102.666,104.14,100.732,71.0829,114.88
-249.846,0.982338,0.829819,2,7,0,250.189,107.484,2.75942,17.1187,104.652,110.171,101.892,88.0952,110.171,115.689,126.727,110.171,104.652,101.892,121.208,90.8546,112.93,107.411,123.968,96.3734,93.614,121.208,123.968,107.411,88.0952,96.3734,115.689,101.892,123.968,118.449,107.411,115.689,121.208,121.208,129.486,112.93,101.892,96.3734,99.1328,118.449,115.689,118.449,104.652,112.93,96.3734,104.652,121.208,96.3734,118.449,118.449,123.968,104.652,112.93,107.411,93.614,115.689,126.727,96.3734,88.0952,88.0952,104.652,121.208,110.171,104.652,93.614,96.3734,88.0952,88.0952,88.0952,129.486,96.3734,101.892,96.3734,126.727,96.3734,96.3734,121.208,96.3734,96.3734,110.171,-5.80781,-3.92396,-5.49451,-6.23521,-3.75916,-3.81434,-4.23649,-4.43,-4.12538,-4.00041,-3.7616,-4.38451,-3.84439,-3.77054,-4.09198,-4.07592,-3.82869,-3.97345,-4.09198,-3.77054,-4.00092,-4.07592,-4.1791,-3.76522,-4.09198,-3.8809,-3.85282,-3.79081,-3.7616,-3.97345,-5.24256,-3.77376,-3.76522,-4.07592,-4.50205,-3.76321,-3.81434,-3.8809,-3.80791,-5.00939,-4.07592,-3.79603,-3.97345,-3.78155,-5.45759,-5.45759,-5.97432,-3.79603,-3.84439,-5.57115,-3.78139,-4.10853,-3.83632,-3.78155,-6.23521,-6.23521,-3.79603,-3.7616,-3.9356,-4.12538,-4.21722,-4.07592,-3.87092,-3.7653,-3.7653,-4.40699,-4.07592,-4.00041,-4.07592,-4.05969,-3.78155,-4.07592,-3.97345,-3.78155,-3.78155,-3.75916,79.0307,130.595,125.374,83.497,74.7087,103.607,123.661,118.505,102.343,106.007,132.348,111.471,81.8022,92.6381,121.893,102.62,104.137,125.614,107.887,96.2343,74.6286,96.8059,117.472,99.5569,127.207,137.988,92.7199,123.342,109.753,119.768,91.1298,108.039,85.7592,125.433,107.579,123.437,130.985,97.8065,124.157,111.549,88.3033,123.687,107.758,122.028,132.633,97.4694,98.4019,95.6848,97.4694,99.2682,111.053,124.939,113.712,89.7631,89.2578,70.6802,125.255,118.299,123.17,107.355,77.5841,135.621,79.9368,102.486,99.9495,139.518,80.7594,98.5173,108.495,172.697,102.952,92.2976,111.221,90.8623,94.048,110.918
-250.415,0.9274,0.829819,2,3,0,250.982,109.805,2.43123,16.8116,107.31,112.172,104.879,92.7225,112.172,117.035,126.76,112.172,107.31,104.879,121.897,95.1538,114.604,109.741,124.329,100.016,97.585,121.897,124.329,109.741,92.7225,100.016,117.035,104.879,124.329,119.466,109.741,117.035,121.897,121.897,129.191,114.604,104.879,100.016,102.447,119.466,117.035,119.466,107.31,114.604,100.016,107.31,121.897,100.016,119.466,119.466,124.329,107.31,114.604,109.741,97.585,117.035,126.76,100.016,92.7225,92.7225,107.31,121.897,112.172,107.31,97.585,100.016,92.7225,92.7225,92.7225,129.191,100.016,104.879,100.016,126.76,100.016,100.016,121.897,100.016,100.016,112.172,-6.20365,-3.8494,-5.89316,-6.96999,-3.74936,-3.82856,-4.23793,-4.30327,-4.27109,-4.13264,-3.74738,-4.13094,-3.79253,-3.74113,-4.10422,-3.91734,-3.75133,-3.99142,-4.10422,-3.74113,-3.8347,-3.91734,-4.25437,-3.78311,-4.10422,-3.89953,-3.90888,-3.75656,-3.74738,-3.99142,-5.24848,-3.7785,-3.78311,-3.91734,-4.28605,-3.74151,-3.82856,-3.89953,-3.75381,-4.88204,-3.91734,-3.83554,-3.99142,-3.74101,-5.39038,-5.39038,-5.9921,-3.83554,-3.79253,-5.36079,-3.84279,-4.03838,-3.82185,-3.74101,-6.96999,-6.96999,-3.83554,-3.74738,-4.00313,-4.27109,-4.01368,-3.91734,-4.02736,-3.75412,-3.75412,-4.39256,-3.91734,-4.13264,-3.91734,-4.05114,-3.74101,-3.91734,-3.99142,-3.74101,-3.74101,-3.74936,115.2,105.37,120.496,99.0022,134.372,106.897,117.609,102.89,93.2046,97.3112,131.572,104.483,114.29,114.648,135.224,98.6393,76.1749,103.797,132.928,100.887,88.1455,100.941,117.612,86.6661,141.952,112.654,121.372,134.717,123.578,106.287,153.17,158.091,79.9283,117.489,128.232,133.198,131.071,92.8527,134.367,121.676,99.1745,93.1649,104.68,115.794,132.666,152.729,140.513,93.5557,108.515,135.051,83.1389,93.3421,114.621,91.7825,103.008,132.995,111.567,108.853,125.773,135.186,98.5967,131.757,96.0977,61.8874,109.93,146.638,115.542,100.555,99.5954,119.15,117.807,100.607,101.637,84.016,86.2585,75.7854
-249.521,0.979121,0.829819,2,3,0,250.726,108.126,2.15545,16.2129,105.914,110.225,103.758,92.9812,110.225,114.536,123.157,110.225,105.914,103.758,118.847,95.1366,112.38,108.069,121.002,99.4475,97.292,118.847,121.002,108.069,92.9812,99.4475,114.536,103.758,121.002,116.691,108.069,114.536,118.847,118.847,125.313,112.38,103.758,99.4475,101.603,116.691,114.536,116.691,105.914,112.38,99.4475,105.914,118.847,99.4475,116.691,116.691,121.002,105.914,112.38,108.069,97.292,114.536,123.157,99.4475,92.9812,92.9812,105.914,118.847,110.225,105.914,97.292,99.4475,92.9812,92.9812,92.9812,125.313,99.4475,103.758,99.4475,123.157,99.4475,99.4475,118.847,99.4475,99.4475,110.225,-6.15816,-3.88651,-5.8725,-7.21875,-3.70484,-3.74388,-4.03404,-4.44861,-4.18647,-4.06481,-3.70728,-4.12497,-3.81519,-3.71184,-3.93499,-3.91656,-3.7187,-3.85361,-3.93499,-3.71184,-3.79846,-3.91656,-4.10664,-3.73162,-3.93499,-3.78991,-3.8286,-3.76155,-3.70728,-3.85361,-4.92354,-3.71552,-3.73162,-3.91656,-4.34854,-3.72558,-3.74388,-3.78991,-3.73651,-5.15582,-3.91656,-3.77127,-3.85361,-3.70533,-5.81516,-5.81516,-6.59764,-3.77127,-3.81519,-5.64413,-3.80589,-4.15964,-3.72371,-3.70533,-7.21875,-7.21875,-3.77127,-3.70728,-3.90361,-4.18647,-4.01193,-3.91656,-4.02528,-3.72165,-3.72165,-4.15077,-3.91656,-4.06481,-3.91656,-4.24434,-3.70533,-3.91656,-3.85361,-3.70533,-3.70533,-3.70484,80.1279,112.182,93.3204,97.5095,107.022,107.333,82.4664,95.6928,117.818,104.222,107.634,92.3424,148.86,87.8093,84.1764,103.402,65.8987,96.9237,127.424,117.021,100.281,83.596,91.1604,96.9528,110.073,114.188,109.2,110.549,112.375,106.706,117.591,129.396,133.287,97.3505,97.1077,86.1503,132.827,116.596,127.441,101.562,101.582,131.879,134.42,106.26,128.405,106.773,132.744,111.528,133.012,93.0499,114.888,104.643,109.597,111.94,81.0187,67.3958,139.467,139.785,100.594,122.044,87.54,63.787,77.455,99.1906,114.61,120.839,86.591,108.043,102.84,116.407,104.527,89.4978,107.959,92.2244,67.1562,90.4355
-250.146,0.928977,0.829819,3,7,0,250.536,106.851,1.79095,16.6058,105.013,108.595,103.222,94.2672,108.595,112.177,119.34,108.595,105.013,103.222,115.759,96.0581,110.386,106.804,117.549,99.64,97.8491,115.759,117.549,106.804,94.2672,99.64,112.177,103.222,117.549,113.968,106.804,112.177,115.759,115.759,121.131,110.386,103.222,99.64,101.431,113.968,112.177,113.968,105.013,110.386,99.64,105.013,115.759,99.64,113.968,113.968,117.549,105.013,110.386,106.804,97.8491,112.177,119.34,99.64,94.2672,94.2672,105.013,115.759,108.595,105.013,97.8491,99.64,94.2672,94.2672,94.2672,121.131,99.64,103.222,99.64,119.34,99.64,99.64,115.759,99.64,99.64,108.595,-5.95151,-3.96455,-5.72993,-7.28183,-3.73227,-3.73728,-3.88688,-4.55948,-4.13737,-4.04568,-3.76131,-4.08114,-3.8963,-3.74722,-3.83204,-3.9233,-3.73708,-3.78882,-3.83204,-3.74722,-3.78828,-3.9233,-3.99754,-3.74752,-3.83204,-3.75724,-3.81263,-3.83967,-3.76131,-3.78882,-4.53836,-3.72896,-3.74752,-3.9233,-4.3539,-3.79468,-3.73728,-3.75724,-3.77379,-5.31889,-3.9233,-3.77426,-3.78882,-3.72893,-6.08285,-6.08285,-6.99618,-3.77426,-3.8963,-5.72683,-3.8404,-4.3047,-3.72948,-3.72893,-7.28183,-7.28183,-3.77426,-3.76131,-3.86263,-4.13737,-3.9964,-3.9233,-4.09778,-3.76171,-3.76171,-3.95336,-3.9233,-4.04568,-3.9233,-4.5026,-3.72893,-3.9233,-3.78882,-3.72893,-3.72893,-3.73227,130.439,101.3,85.3608,120.528,83.4269,141.704,136.14,105.015,61.0664,84.7631,108.414,101.913,113.41,118.024,135.227,123.613,94.0336,106.84,103.359,99.8235,111.131,110.836,121.802,75.4258,124.101,104.979,115.344,101.678,123.423,72.5627,122.69,129.28,114.644,98.6566,80.1198,89.1977,98.037,118.704,98.9072,110.327,88.9304,106.404,113.776,116.522,103.396,99.3438,105.952,89.4396,108.114,136.818,103.414,132.854,120.687,96.4325,68.8292,88.2023,131.173,129.082,107.864,126.234,96.3601,74.3028,115.183,116.676,110.337,81.2642,111.502,83.4723,88.597,109.265,99.3079,98.8794,142.87,119.947,124.642,105.837
-250.582,0.973932,0.829819,3,7,0,251.256,106.563,1.6912,17.0806,104.827,108.209,103.136,94.6798,108.209,111.592,118.357,108.209,104.827,103.136,114.974,96.371,109.901,106.518,116.665,99.7533,98.0621,114.974,116.665,106.518,94.6798,99.7533,111.592,103.136,116.665,113.283,106.518,111.592,114.974,114.974,120.048,109.901,103.136,99.7533,101.445,113.283,111.592,113.283,104.827,109.901,99.7533,104.827,114.974,99.7533,113.283,113.283,116.665,104.827,109.901,106.518,98.0621,111.592,118.357,99.7533,94.6798,94.6798,104.827,114.974,108.209,104.827,98.0621,99.7533,94.6798,94.6798,94.6798,120.048,99.7533,103.136,99.7533,118.357,99.7533,99.7533,114.974,99.7533,99.7533,108.209,-5.83559,-3.99514,-5.63861,-7.17813,-3.76238,-3.76122,-3.87656,-4.57066,-4.13364,-4.0526,-3.80017,-4.07522,-3.93169,-3.77766,-3.83302,-3.93682,-3.76332,-3.79929,-3.83302,-3.77766,-3.80539,-3.93682,-3.98716,-3.77373,-3.83302,-3.77535,-3.8297,-3.87805,-3.80017,-3.79929,-4.44568,-3.7569,-3.77373,-3.93682,-4.34696,-3.83421,-3.76122,-3.77535,-3.80275,-5.30956,-3.93682,-3.79681,-3.79929,-3.75699,-6.06735,-6.06735,-6.97524,-3.79681,-3.93169,-5.67813,-3.86828,-4.33763,-3.76151,-3.75699,-7.17813,-7.17813,-3.79681,-3.80017,-3.87238,-4.13364,-4.00112,-3.93682,-4.1262,-3.79442,-3.79442,-3.9299,-3.93682,-4.0526,-3.93682,-4.5597,-3.75699,-3.93682,-3.79929,-3.75699,-3.75699,-3.76238,102.107,129.233,112.352,90.0511,121.909,114.501,127.195,126.413,101.705,72.6176,123.981,86.1823,106.549,107.502,105.836,119.56,84.0055,130.821,138.322,91.4051,107.961,88.0781,126.527,128.504,130.715,117.64,112.544,109.564,123.019,95.0387,135.32,114.675,116.328,95.955,84.9677,106.794,108.306,92.4002,116.683,112.316,84.1617,90.3559,129.073,113.652,91.5979,122.547,143.91,79.0754,106.548,122.074,92.2338,128.737,105.598,107.643,91.3732,71.1111,122.314,118.305,94.6128,112.275,73.6394,91.554,97.6279,108.394,129.811,66.402,85.8798,125.867,124.104,95.1605,111.522,108.162,106.494,65.9859,113.482,110.178
