# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-12 20:31:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\4_0d74ox.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220612223159_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.82026
# Diagonal elements of inverse mass matrix:
# 3.83894, 0.193052, 0.00613622
-250.427,0.940073,0.82026,2,7,0,252.272,109.438,2.2505,17.3985,107.128,111.629,104.878,93.6253,111.629,116.13,125.132,111.629,107.128,104.878,120.631,95.8758,113.88,109.379,122.882,100.377,98.1263,120.631,122.882,109.379,93.6253,100.377,116.13,104.878,122.882,118.381,109.379,116.13,120.631,120.631,127.383,113.88,104.878,100.377,102.627,118.381,116.13,118.381,107.128,113.88,100.377,107.128,120.631,100.377,118.381,118.381,122.882,107.128,113.88,109.379,98.1263,116.13,125.132,100.377,93.6253,93.6253,107.128,120.631,111.629,107.128,98.1263,100.377,93.6253,93.6253,93.6253,127.383,100.377,104.878,100.377,125.132,100.377,100.377,120.631,100.377,100.377,111.629,-6.05228,-3.89106,-5.78462,-6.91889,-3.77971,-3.8374,-4.15355,-4.33276,-4.25991,-4.14094,-3.77598,-4.10484,-3.83719,-3.77596,-4.04942,-3.92829,-3.78112,-3.96201,-4.04942,-3.77596,-3.84245,-3.92829,-4.20509,-3.81462,-4.04942,-3.89134,-3.92061,-3.80006,-3.77598,-3.96201,-5.01384,-3.80019,-3.81462,-3.92829,-4.27384,-3.77965,-3.8374,-3.89134,-3.78895,-4.90226,-3.92829,-3.85925,-3.96201,-3.77556,-5.42671,-5.42671,-6.05105,-3.85925,-3.83719,-5.32411,-3.8844,-4.09307,-3.81883,-3.77556,-6.91889,-6.91889,-3.85925,-3.77598,-3.99871,-4.25991,-4.0082,-3.92829,-4.08197,-3.79703,-3.79703,-4.27442,-3.92829,-4.14094,-3.92829,-4.14044,-3.77556,-3.92829,-3.96201,-3.77556,-3.77556,-3.77971,106.95,129.427,121.775,87.2969,98.3537,109.518,142.556,133.631,94.2448,116.315,91.3127,108.35,143.702,108.599,106.47,120.611,120.262,118.973,105.318,120.812,86.9305,68.7116,91.08,109.403,154.843,135.344,119.504,116.674,120.711,116.794,145.639,159.272,96.8295,113.612,100.953,136.125,125.256,122.926,84.083,118.363,82.3717,91.386,135.863,109.82,136.326,132.616,137.283,101.872,107.777,88.5727,86.4308,89.8308,133.876,81.2483,126.065,111.842,92.766,136.154,92.4115,93.4753,108.784,105.684,100.641,116.88,115.644,142.748,125.091,105.627,114.071,133.641,106.268,102.717,121.728,79.871,93.7221,106.2
-249.307,0.834441,0.82026,3,7,0,253.261,107.882,2.34084,16.2359,105.48,110.161,103.139,91.4347,110.161,114.843,124.206,110.161,105.48,103.139,119.525,93.7756,112.502,107.821,121.866,98.4572,96.1164,119.525,121.866,107.821,91.4347,98.4572,114.843,103.139,121.866,117.184,107.821,114.843,119.525,119.525,126.547,112.502,103.139,98.4572,100.798,117.184,114.843,117.184,105.48,112.502,98.4572,105.48,119.525,98.4572,117.184,117.184,121.866,105.48,112.502,107.821,96.1164,114.843,124.206,98.4572,91.4347,91.4347,105.48,119.525,110.161,105.48,96.1164,98.4572,91.4347,91.4347,91.4347,126.547,98.4572,103.139,98.4572,124.206,98.4572,98.4572,119.525,98.4572,98.4572,110.161,-6.09387,-3.88976,-5.78919,-6.96264,-3.70621,-3.75065,-4.08898,-4.45268,-4.16068,-4.03361,-3.70659,-4.20546,-3.81279,-3.71517,-3.97322,-3.95888,-3.73477,-3.87824,-3.97322,-3.71517,-3.84532,-3.95888,-4.12406,-3.72485,-3.97322,-3.80405,-3.82217,-3.7566,-3.70659,-3.87824,-5.04295,-3.71804,-3.72485,-3.95888,-4.40553,-3.7212,-3.75065,-3.80405,-3.74492,-5.14037,-3.95888,-3.76312,-3.87824,-3.71068,-5.7488,-5.7488,-6.46453,-3.76312,-3.81279,-5.67031,-3.77712,-4.14191,-3.73972,-3.71068,-6.96264,-6.96264,-3.76312,-3.70659,-3.90201,-4.16068,-4.07178,-3.95888,-3.95417,-3.71006,-3.71006,-4.22553,-3.95888,-4.03361,-3.95888,-4.17929,-3.71068,-3.95888,-3.87824,-3.71068,-3.71068,-3.70621,80.6601,133.769,134.228,85.3784,114.025,105.948,95.3107,108.55,67.4226,84.9977,125.247,112.737,139.335,131.215,121.082,101.095,103.502,107.532,93.6724,90.587,85.4626,118.978,112.299,88.4693,137.351,112.46,105.684,125.161,99.9559,157.11,152.583,118.346,127.353,104.084,126.172,114.156,109.875,124.405,123.414,112.417,102.402,103.072,99.9158,102.394,111.297,80.7439,118.312,102.547,101.979,82.4606,132.445,107.854,140.184,104.898,112.038,116.34,112.923,129.018,104.497,112.227,93.4654,121.692,80.8832,79.4232,111.271,146.489,118.557,77.3653,86.9318,154.985,82.1626,111.2,117.948,112.142,89.8611,87.4481
-249.729,0.891169,0.82026,2,3,0,250.525,106.155,2.50396,14.955,103.585,108.593,101.081,88.5612,108.593,113.601,123.617,108.593,103.585,101.081,118.609,91.0651,111.097,106.089,121.113,96.0731,93.5691,118.609,121.113,106.089,88.5612,96.0731,113.601,101.081,121.113,116.105,106.089,113.601,118.609,118.609,126.121,111.097,101.081,96.0731,98.577,116.105,113.601,116.105,103.585,111.097,96.0731,103.585,118.609,96.0731,116.105,116.105,121.113,103.585,111.097,106.089,93.5691,113.601,123.617,96.0731,88.5612,88.5612,103.585,118.609,108.593,103.585,93.5691,96.0731,88.5612,88.5612,88.5612,126.121,96.0731,101.081,96.0731,123.617,96.0731,96.0731,118.609,96.0731,96.0731,108.593,-6.14565,-3.91489,-5.78366,-6.94828,-3.62841,-3.65297,-4.03849,-4.64849,-4.03657,-3.89849,-3.62831,-4.42552,-3.80119,-3.65818,-3.90006,-4.0576,-3.71644,-3.78966,-3.90006,-3.65818,-3.91651,-4.0576,-4.03753,-3.62659,-3.90006,-3.7073,-3.70687,-3.71553,-3.62831,-3.78966,-5.14931,-3.62667,-3.62659,-4.0576,-4.65001,-3.6579,-3.65297,-3.7073,-3.71598,-5.49161,-4.0576,-3.65271,-3.78966,-3.65846,-6.19247,-6.19247,-7.00476,-3.65271,-3.80119,-6.19487,-3.65246,-4.22522,-3.65322,-3.65846,-6.94828,-6.94828,-3.65271,-3.62831,-3.78905,-4.03657,-4.22754,-4.0576,-3.78784,-3.62861,-3.62861,-4.20496,-4.0576,-3.89849,-4.0576,-4.22406,-3.65846,-4.0576,-3.78966,-3.65846,-3.65846,-3.62841,80.5056,94.9502,79.5924,95.2128,105.65,117.683,117.078,118.185,77.5062,125.81,105.264,108.535,113.023,128.701,122.964,105.882,93.7821,106.387,136.598,99.3203,106.485,93.6681,94.1808,114.1,126.298,110.521,102.412,92.7241,114.129,130.559,112.932,100.12,63.603,107.502,60.1549,129.74,126.77,101.68,99.6684,114.577,63.364,99.4978,103.64,57.3737,145.61,111.16,128.138,104.154,97.7862,113.861,96.5502,116.82,96.6366,102.22,71.6339,90.6868,102.683,116.252,110.419,86.4648,103.143,112.471,73.332,93.1244,64.3011,146.784,115.868,108.232,86.3389,161.7,92.151,68.5013,125.459,94.8532,90.5437,118.1
-252.545,0.576494,0.82026,2,3,0,253.651,102.704,2.77838,15.5604,99.8524,105.409,97.0741,83.1822,105.409,110.966,122.079,105.409,99.8524,97.0741,116.523,85.9605,108.188,102.631,119.301,91.5173,88.7389,116.523,119.301,102.631,83.1822,91.5173,110.966,97.0741,119.301,113.744,102.631,110.966,116.523,116.523,124.858,108.188,97.0741,91.5173,94.2957,113.744,110.966,113.744,99.8524,108.188,91.5173,99.8524,116.523,91.5173,113.744,113.744,119.301,99.8524,108.188,102.631,88.7389,110.966,122.079,91.5173,83.1822,83.1822,99.8524,116.523,105.409,99.8524,88.7389,91.5173,83.1822,83.1822,83.1822,124.858,91.5173,97.0741,91.5173,122.079,91.5173,91.5173,116.523,91.5173,91.5173,105.409,-5.50396,-4.1033,-5.17735,-5.93739,-3.70719,-3.6656,-3.96499,-4.91241,-3.86412,-3.76701,-3.68864,-4.85704,-3.95181,-3.77581,-3.84232,-4.36911,-3.92554,-3.75153,-3.84232,-3.77581,-4.24774,-4.36911,-3.91199,-3.68135,-3.84232,-3.69262,-3.67796,-3.8322,-3.68864,-3.75153,-4.93968,-3.67045,-3.68135,-4.36911,-5.02806,-3.74448,-3.6656,-3.69262,-3.87631,-5.75355,-4.36911,-3.66371,-3.75153,-3.81226,-6.3781,-6.3781,-7.08419,-3.66371,-3.95181,-6.5474,-3.66695,-4.41182,-3.6726,-3.81226,-5.93739,-5.93739,-3.66371,-3.68864,-3.72409,-3.86412,-4.59713,-4.36911,-3.68458,-3.75966,-3.75966,-4.11954,-4.36911,-3.76701,-4.36911,-4.32684,-3.81226,-4.36911,-3.75153,-3.81226,-3.81226,-3.70719,122.801,107.219,82.1819,100.334,93.2481,103.896,120.535,112.131,98.5767,100.735,106.454,97.462,84.8103,79.7026,97.5983,50.709,66.0222,103.975,131.839,96.6283,54.5366,113.039,123.225,86.0349,120.497,140.249,109.228,117.019,114.98,154.212,103.426,93.6966,101.187,90.7822,107.42,110.082,93.8036,103.312,92.2035,111.977,115.284,107.879,140.188,64.1142,90.3469,118.508,126.496,140.664,109.052,132.31,70.1775,120.824,144.563,80.5968,95.6312,75.1548,106.103,132.94,89.3059,94.2127,73.5279,68.4011,88.8041,65.8201,102.804,138.754,107.029,126.498,90.7303,115.54,94.6671,120.887,140.369,97.4213,86.1576,93.6133
-250.35,1,0.82026,2,3,0,252.669,108.731,1.86718,16.3984,106.815,110.549,104.948,95.612,110.549,114.284,121.753,110.549,106.815,104.948,118.018,97.4792,112.417,108.682,119.885,101.214,99.3464,118.018,119.885,108.682,95.612,101.214,114.284,104.948,119.885,116.151,108.682,114.284,118.018,118.018,123.62,112.417,104.948,101.214,103.081,116.151,114.284,116.151,106.815,112.417,101.214,106.815,118.018,101.214,116.151,116.151,119.885,106.815,112.417,108.682,99.3464,114.284,121.753,101.214,95.612,95.612,106.815,118.018,110.549,106.815,99.3464,101.214,95.612,95.612,95.612,123.62,101.214,104.948,101.214,121.753,101.214,101.214,118.018,101.214,101.214,110.549,-6.23624,-3.88219,-5.98709,-7.58448,-3.71668,-3.75024,-3.97294,-4.41957,-4.24186,-4.13158,-3.72342,-4.00762,-3.82305,-3.71935,-3.89782,-3.85967,-3.71692,-3.83566,-3.89782,-3.71935,-3.75192,-3.85967,-4.09549,-3.76164,-3.89782,-3.78647,-3.85629,-3.77688,-3.72342,-3.83566,-4.75345,-3.72698,-3.76164,-3.85967,-4.24839,-3.74367,-3.75024,-3.78647,-3.73498,-5.13081,-3.85967,-3.80248,-3.83566,-3.71886,-5.84651,-5.84651,-6.7082,-3.80248,-3.82305,-5.5398,-3.87855,-4.17538,-3.72183,-3.71886,-7.58448,-7.58448,-3.80248,-3.72342,-3.92305,-4.24186,-3.92716,-3.85967,-4.16932,-3.77468,-3.77468,-4.06103,-3.85967,-4.13158,-3.85967,-4.33524,-3.71886,-3.85967,-3.83566,-3.71886,-3.71886,-3.71668,107.42,84.1363,118.323,134.001,123.24,132.12,122.313,126.767,108.417,57.4569,136.71,79.3524,112.72,112.632,105.262,72.0062,96.6044,124.571,125.539,99.3177,98.0901,79.1294,112.718,109.203,114.914,132.326,100.405,109.219,123.697,107.45,98.415,126.212,121.639,138.386,84.8227,113.955,145.745,124.481,83.4001,104.58,86.3457,97.4164,135.228,88.0854,102.942,126.512,120.492,111.74,96.5259,118.118,107.037,103.11,136.493,118.387,121.961,90.8168,125.037,127.883,118.61,130.43,116.644,68.0127,115.587,104.747,85.884,106.208,73.4524,110.529,97.9316,139.156,103.601,112.557,125.927,131.164,108.547,108.825
-249.763,1,0.82026,2,3,0,250.618,106.945,1.93177,16.005,104.962,108.826,103.03,93.3714,108.826,112.689,120.416,108.826,104.962,103.03,116.553,95.3031,110.757,106.894,118.484,99.1667,97.2349,116.553,118.484,106.894,93.3714,99.1667,112.689,103.03,118.484,114.621,106.894,112.689,116.553,116.553,122.348,110.757,103.03,99.1667,101.098,114.621,112.689,114.621,104.962,110.757,99.1667,104.962,116.553,99.1667,114.621,114.621,118.484,104.962,110.757,106.894,97.2349,112.689,120.416,99.1667,93.3714,93.3714,104.962,116.553,108.826,104.962,97.2349,99.1667,93.3714,93.3714,93.3714,122.348,99.1667,103.03,99.1667,120.416,99.1667,99.1667,116.553,99.1667,99.1667,108.826,-6.07772,-3.93557,-5.82135,-7.36351,-3.69453,-3.70596,-3.90361,-4.56699,-4.12879,-4.02325,-3.71504,-4.11345,-3.85859,-3.71067,-3.83235,-3.92092,-3.70677,-3.77565,-3.83235,-3.71067,-3.77761,-3.92092,-4.00612,-3.70976,-3.83235,-3.73352,-3.7846,-3.79617,-3.71504,-3.77565,-4.66667,-3.69296,-3.70976,-3.92092,-4.38919,-3.74832,-3.70596,-3.73352,-3.74138,-5.36098,-3.92092,-3.7399,-3.77565,-3.6932,-6.13501,-6.13501,-7.05603,-3.7399,-3.85859,-5.83117,-3.79401,-4.27677,-3.69218,-3.6932,-7.36351,-7.36351,-3.7399,-3.71504,-3.84387,-4.12879,-4.0099,-3.92092,-4.04083,-3.71403,-3.71403,-3.98945,-3.92092,-4.02325,-3.92092,-4.44045,-3.6932,-3.92092,-3.77565,-3.6932,-3.6932,-3.69453,90.8401,112.228,117.314,108.089,122.541,131.846,123.281,119.952,87.7025,115.228,99.5015,120.691,89.6711,119.216,134.107,56.5285,84.6341,106.455,95.8377,125.133,104.568,116.148,104.552,102.583,93.6432,130.906,121.411,121.987,148.222,124.297,162.864,105.034,88.1227,109.702,113.107,119.713,106.058,124.765,101.894,117.259,126.057,122.352,91.3501,79.4721,136.392,136.513,150.698,68.6293,124.516,77.6825,127.455,92.7035,132.637,92.2225,113.319,84.6222,105.9,118.796,85.757,95.1192,94.0216,108.626,92.3341,81.5389,95.776,122.869,119.909,107.635,100.849,115.601,85.243,124.243,130.908,119.921,80.3531,97.0032
