# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-13 19:04:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbw1k1b7l\tjsau41x.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220613210402_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.772359
# Diagonal elements of inverse mass matrix:
# 2.64351, 0.128985, 0.00736253
-231.227,0.87778,0.772359,2,7,0,233.019,104.488,1.22473,13.3986,103.686,106.135,102.461,96.3375,106.135,108.585,113.484,103.704,103.686,102.461,111.034,97.5623,107.36,104.911,112.259,100.012,98.787,111.034,112.259,104.911,96.3375,100.012,108.585,102.461,112.259,109.81,104.911,106.135,107.388,111.034,114.708,107.36,102.461,100.012,101.236,109.81,108.585,109.81,103.686,104.816,100.012,103.686,111.034,100.012,109.81,109.81,106.952,103.686,107.36,102.783,98.787,106.135,109.229,100.012,96.3375,96.3375,103.686,107.388,106.135,103.686,98.787,100.012,96.3375,96.3375,96.3375,114.708,100.012,102.461,100.012,107.768,100.012,100.012,111.034,100.012,100.012,106.135,-6.67455,-4.04948,-6.44891,-9.49434,-3.55568,-3.51966,-3.54789,-3.61302,-4.03576,-3.94657,-3.73797,-3.94495,-3.95907,-3.58623,-3.5283,-3.79195,-3.51818,-3.51706,-3.5283,-3.58623,-3.55144,-3.79195,-3.71935,-3.53096,-3.5283,-3.51419,-3.58125,-3.80019,-4.33443,-3.51706,-4.11663,-3.5335,-3.53096,-3.79195,-4.49467,-3.80331,-3.51966,-3.51419,-3.62512,-3.53712,-3.79195,-3.55192,-3.51706,-3.51409,-8.01292,-8.01292,-3.51431,-3.55192,-3.95907,-3.53121,-3.72913,-3.52678,-4.51994,-3.51409,-3.55144,-3.55144,-3.55192,-4.33443,-3.61893,-4.03576,-3.86427,-3.79195,-3.51409,-3.62595,-3.62595,-3.57583,-3.79195,-3.94657,-3.79195,-4.09443,-3.51409,-3.79195,-3.51706,-3.51409,-3.51409,-3.55568,101.151,99.2965,133.462,77.503,126.005,98.7442,107.04,104.628,122.067,103.845,119.983,97.3095,104.516,133.399,122.038,98.3705,108.702,119.134,124.066,102.251,76.1853,104.481,101.005,97.5007,92.4287,116.453,73.0048,103.656,98.1687,108.822,102.713,113.969,83.0861,98.4931,121.915,106.758,116.556,117.143,99.2624,118.929,92.1518,91.4181,119.374,121.623,119.3,99.4588,116.142,123.81,100.613,104.676,92.0658,97.5785,103.788,105.695,73.3674,117.292,97.9904,114.604,93.3439,96.6194,94.1677,96.3284,100.189,103.089,80.1978,108.585,84.0428,97.052,123.427,108.954,89.1961,78.2149,90.0073,128.712,91.5031,100.322
-232.998,0.70286,0.772359,1,3,0,234.309,102.467,1.53641,14.4775,101.461,104.534,99.9245,92.2424,104.534,107.607,113.752,101.484,101.461,99.9245,110.679,93.7788,106.07,102.997,112.216,96.8517,95.3153,110.679,112.216,102.997,92.2424,96.8517,107.607,99.9245,112.216,109.143,102.997,104.534,106.105,110.679,115.289,106.07,99.9245,96.8517,98.3881,109.143,107.607,109.143,101.461,102.879,96.8517,101.461,110.679,96.8517,109.143,109.143,105.558,101.461,106.07,100.329,95.3153,104.534,108.415,96.8517,92.2424,92.2424,101.461,106.105,104.534,101.461,95.3153,96.8517,92.2424,92.2424,92.2424,115.289,96.8517,99.9245,96.8517,106.582,96.8517,96.8517,110.679,96.8517,96.8517,104.534,-5.9527,-4.16217,-5.72771,-7.84832,-3.66281,-3.6052,-3.62512,-3.62489,-3.90488,-3.8265,-3.79877,-4.21923,-4.05442,-3.70851,-3.60324,-4.00394,-3.64389,-3.59263,-3.60324,-3.70851,-3.73509,-4.00394,-3.72956,-3.59155,-3.60324,-3.59328,-3.61296,-3.76526,-4.19304,-3.59263,-4.14913,-3.62837,-3.59155,-4.00394,-4.70575,-3.87273,-3.6052,-3.59328,-3.76548,-3.6468,-4.00394,-3.59662,-3.59263,-3.61518,-7.57369,-7.57369,-3.59446,-3.59662,-4.05442,-3.64961,-3.65893,-3.59221,-4.38081,-3.61518,-3.73509,-3.73509,-3.59662,-4.19304,-3.64057,-3.90488,-4.10595,-4.00394,-3.63248,-3.60353,-3.60353,-3.65825,-4.00394,-3.8265,-4.00394,-4.01027,-3.61518,-4.00394,-3.59263,-3.61518,-3.61518,-3.66281,101.115,139.303,82.8369,79.0668,94.5504,85.9231,105.736,103.972,90.9277,102.74,131.021,128.554,89.872,70.9131,115.302,100.243,86.1713,126.074,100.628,100.162,70.4243,95.9603,106.152,97.8824,103.341,110.764,91.0447,116.019,94.5807,127.963,96.5512,110.206,113.982,93.5113,85.9171,109.895,111.365,134.702,88.8439,71.8626,100.249,119.958,83.0494,114.193,110.229,99.7206,99.2343,102.993,120.624,91.5122,101.942,107.061,85.7453,100.481,62.3339,95.6856,64.8594,131.797,112.018,63.6422,113.166,89.9521,104.413,102.268,100.726,102.084,93.9974,110.175,135.729,112.146,93.4047,88.4057,106.019,94.8851,97.4841,84.9512
-231.509,0.985024,0.772359,2,7,0,233.075,104.398,1.38574,12.1332,103.491,106.262,102.105,95.1764,106.262,109.034,114.577,103.512,103.491,102.105,111.805,96.5621,107.648,104.877,113.191,99.3336,97.9479,111.805,113.191,104.877,95.1764,99.3336,109.034,102.105,113.191,110.42,104.877,106.262,107.679,111.805,115.963,107.648,102.105,99.3336,100.719,110.42,109.034,110.42,103.491,104.77,99.3336,103.491,111.805,99.3336,110.42,110.42,107.186,103.491,107.648,102.47,97.9479,106.262,109.763,99.3336,95.1764,95.1764,103.491,107.679,106.262,103.491,97.9479,99.3336,95.1764,95.1764,95.1764,115.963,99.3336,102.105,99.3336,108.11,99.3336,99.3336,111.805,99.3336,99.3336,106.262,-7.22441,-4.05587,-6.91568,-10.3466,-3.46233,-3.41805,-3.48603,-3.52786,-4.03304,-3.91257,-3.64296,-4.0282,-3.93307,-3.50404,-3.44947,-3.8013,-3.42919,-3.42595,-3.44947,-3.50404,-3.49391,-3.8013,-3.69206,-3.42994,-3.44947,-3.41548,-3.49565,-3.77258,-4.44954,-3.42595,-4.2803,-3.43367,-3.42994,-3.8013,-4.67747,-3.72662,-3.41805,-3.41548,-3.55879,-3.44389,-3.8013,-3.45627,-3.42595,-3.41639,-8.73572,-8.73572,-3.4158,-3.45627,-3.93307,-3.44139,-3.62943,-3.43227,-4.71135,-3.41639,-3.49391,-3.49391,-3.45627,-4.44954,-3.54808,-4.03304,-3.90823,-3.8013,-3.41985,-3.50589,-3.50589,-3.53563,-3.8013,-3.91257,-3.8013,-4.15649,-3.41639,-3.8013,-3.42595,-3.41639,-3.41639,-3.46233,98.5816,117.533,106.637,111.198,98.9456,102.43,107.877,93.3316,98.0293,109.087,118.539,96.3361,111.189,112.74,112.197,83.8816,84.8848,118.012,106.801,101.573,95.8439,99.7502,95.8895,114.824,108.274,118.814,117.638,107.475,96.4132,129.111,147.348,89.641,114.716,117.943,110.63,120.55,89.8265,129.947,108.595,104.162,89.1249,91.0651,123.192,108.86,134.426,122.1,97.2596,99.0969,125.915,92.0438,80.8484,97.5018,103.821,106.757,124.242,98.2487,94.0762,117.495,126.381,104.221,120.856,101.77,72.9222,107.595,107.768,127.168,96.2135,101.801,93.8416,120.95,99.7603,84.7111,100.258,89.4044,73.0725,95.9565
-232.25,0.902383,0.772359,2,7,0,232.618,103.214,1.1305,14.5458,102.474,104.735,101.344,95.691,104.735,106.996,111.518,102.491,102.474,101.344,109.257,96.8215,105.866,103.605,110.388,99.0825,97.952,109.257,110.388,103.605,95.691,99.0825,106.996,101.344,110.388,108.127,103.605,104.735,105.891,109.257,112.649,105.866,101.344,99.0825,100.213,108.127,106.996,108.127,102.474,103.518,99.0825,102.474,109.257,99.0825,108.127,108.127,105.489,102.474,105.866,101.641,97.952,104.735,107.591,99.0825,95.691,95.691,102.474,105.891,104.735,102.474,97.952,99.0825,95.691,95.691,95.691,112.649,99.0825,101.344,99.0825,106.242,99.0825,99.0825,109.257,99.0825,99.0825,104.735,-6.08836,-4.14691,-5.91786,-8.52977,-3.66175,-3.61756,-3.60168,-3.64948,-3.96395,-3.90032,-3.86898,-4.00666,-4.06836,-3.6929,-3.59659,-3.87791,-3.60615,-3.59754,-3.59659,-3.6929,-3.64012,-3.87791,-3.7119,-3.6005,-3.59659,-3.60453,-3.62694,-3.77655,-4.17618,-3.59754,-3.97431,-3.63663,-3.6005,-3.87791,-4.52148,-3.9294,-3.61756,-3.60453,-3.73009,-3.63743,-3.87791,-3.6107,-3.59754,-3.59823,-7.7398,-7.7398,-3.59952,-3.6107,-4.06836,-3.62724,-3.74567,-3.59752,-4.30888,-3.59823,-3.64012,-3.64012,-3.6107,-4.17618,-3.64922,-3.96395,-3.93926,-3.87791,-3.59738,-3.67278,-3.67278,-3.61282,-3.87791,-3.90032,-3.87791,-3.99005,-3.59823,-3.87791,-3.59754,-3.59823,-3.59823,-3.66175,104.23,95.3703,105.406,92.8172,98.2732,70.4893,98.4804,113.171,102.89,91.2838,106.75,129.55,87.6889,70.5657,113.936,70.9173,78.2836,115.019,118.419,110.154,81.4696,78.111,100.89,91.5386,108.142,109.141,100.028,98.929,94.9988,102.329,127.915,132.358,99.4622,95.0495,72.8127,124.537,106.911,127.44,92.7683,105.433,122.378,116.447,115.369,109.592,99.2285,118.661,110.526,120.984,92.3906,117.428,89.0766,92.5693,118.799,88.3501,72.7365,125.794,121.259,97.2503,119.207,93.7248,65.9585,85.1529,101.262,115.096,91.6772,101.114,102.926,104.387,93.0263,110.8,90.1559,89.3142,102.777,70.1117,81.3282,114.672
-232.198,0.994497,0.772359,3,7,0,232.929,106.12,1.14599,12.3896,105.37,107.662,104.224,98.4939,107.662,109.954,114.538,105.387,105.37,104.224,112.246,99.6399,108.808,106.516,113.392,101.932,100.786,112.246,113.392,106.516,98.4939,101.932,109.954,104.224,113.392,111.1,106.516,107.662,108.834,112.246,115.684,108.808,104.224,101.932,103.078,111.1,109.954,111.1,105.37,106.428,101.932,105.37,112.246,101.932,111.1,111.1,108.426,105.37,108.808,104.525,100.786,107.662,110.557,101.932,98.4939,98.4939,105.37,108.834,107.662,105.37,100.786,101.932,98.4939,98.4939,98.4939,115.684,101.932,104.224,101.932,109.19,101.932,101.932,112.246,101.932,101.932,107.662,-7.51072,-3.93165,-7.25094,-11.0958,-3.45361,-3.43581,-3.50287,-3.62606,-4.20527,-4.0948,-3.63165,-3.78541,-3.84382,-3.47534,-3.47327,-3.64783,-3.43781,-3.45223,-3.47327,-3.47534,-3.44319,-3.64783,-3.75852,-3.49391,-3.47327,-3.43974,-3.57409,-3.87878,-4.56366,-3.45223,-4.23702,-3.44043,-3.49391,-3.64783,-4.36855,-3.69382,-3.43581,-3.43974,-3.50563,-3.44101,-3.64783,-3.52972,-3.45223,-3.44795,-8.36478,-8.36478,-3.44588,-3.52972,-3.84382,-3.43757,-3.81473,-3.47947,-4.78224,-3.44795,-3.44319,-3.44319,-3.52972,-4.56366,-3.62701,-4.20527,-3.71234,-3.64783,-3.45028,-3.6708,-3.6708,-3.54103,-3.64783,-4.0948,-3.64783,-4.25477,-3.44795,-3.64783,-3.45223,-3.44795,-3.44795,-3.45361,106.711,91.0025,90.3904,90.5283,93.3951,109.454,108.073,109.514,97.4145,126.149,102.343,82.3661,96.8898,130.483,117.045,97.7149,91.7879,101.658,108.184,119.098,106.847,109.113,89.2151,109.112,106.685,117.472,98.6825,113.38,76.6053,113.409,129.781,117.33,103.49,86.0316,84.597,100.55,113.488,106.544,105.326,98.4372,102.97,103.891,124.842,94.0443,100.189,102.447,96.8066,103.675,131.201,108.678,116.213,108.666,108.164,82.9526,93.9689,118.012,115.31,108.288,123.495,104.259,81.8817,117.537,115.213,110.483,68.749,124.534,87.1967,95.9846,94.4144,108.942,101.364,122.159,127.397,120.586,99.874,119.306
-231.676,0.999163,0.772359,3,7,0,232.738,104.427,1.52519,12.3873,103.428,106.478,101.903,94.2767,106.478,109.529,115.629,103.451,103.428,101.903,112.579,95.8019,108.003,104.953,114.104,98.8523,97.3271,112.579,114.104,104.953,94.2767,98.8523,109.529,101.903,114.104,111.054,104.953,106.478,108.038,112.579,117.155,108.003,101.903,98.8523,100.377,111.054,109.529,111.054,103.428,104.836,98.8523,103.428,112.579,98.8523,111.054,111.054,107.495,103.428,108.003,102.304,97.3271,106.478,110.331,98.8523,94.2767,94.2767,103.428,108.038,106.478,103.428,97.3271,98.8523,94.2767,94.2767,94.2767,117.155,98.8523,101.903,98.8523,108.512,98.8523,98.8523,112.579,98.8523,98.8523,106.478,-7.0767,-4.03139,-6.75202,-9.8236,-3.47603,-3.43634,-3.53887,-3.54172,-4.02314,-3.89725,-3.61506,-4.09248,-3.90457,-3.51861,-3.4905,-3.84055,-3.45889,-3.45729,-3.4905,-3.51861,-3.54235,-3.84055,-3.73146,-3.44741,-3.4905,-3.43923,-3.51555,-3.79337,-4.46945,-3.45729,-4.39451,-3.4486,-3.44741,-3.84055,-4.69027,-3.6964,-3.43634,-3.43923,-3.57636,-3.4622,-3.84055,-3.4739,-3.45729,-3.43991,-8.37809,-8.37809,-3.43785,-3.4739,-3.90457,-3.46415,-3.61055,-3.45563,-4.75282,-3.43991,-3.54235,-3.54235,-3.4739,-4.46945,-3.57236,-4.02314,-3.95893,-3.84055,-3.4501,-3.49521,-3.49521,-3.60241,-3.84055,-3.89725,-3.84055,-4.18632,-3.43991,-3.84055,-3.45729,-3.43991,-3.43991,-3.47603,95.9118,108.936,88.6198,84.2746,112.039,104.723,105.463,111.742,90.8651,103.649,100.397,113.176,73.4415,86.6216,100.536,101.565,103.843,119.626,127.869,128.986,110.181,119.295,123.529,105.527,129.062,101.652,78.1971,105.223,101.416,122.846,163.83,82.108,113.396,86.0537,97.5617,144.446,105.352,99.7463,92.933,115.061,108.932,87.7013,119.298,118.611,92.3781,108.623,118.776,99.201,120.438,93.051,103.049,104.08,93.2387,111.534,96.6927,84.4161,108.83,90.3257,100.532,105.566,107.273,124.331,55.3714,84.2152,110.762,134.814,82.0299,110.438,104.95,102.361,74.3632,108.809,114.007,82.0392,99.7856,95.5908
