# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-13 19:04:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbw1k1b7l\tjsau41x.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220613210402_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.777316
# Diagonal elements of inverse mass matrix:
# 2.02149, 0.125482, 0.00728124
-232.684,0.806059,0.777316,2,3,0,233.585,103.445,1.69227,14.0983,102.337,105.721,100.644,92.183,105.721,109.106,115.875,102.362,102.337,100.644,112.49,93.8752,107.413,104.029,114.182,97.2598,95.5675,112.49,114.182,104.029,92.183,97.2598,109.106,100.644,114.182,110.798,104.029,105.721,107.452,112.49,117.567,107.413,100.644,97.2598,98.9521,110.798,109.106,110.798,102.337,103.899,97.2598,102.337,112.49,97.2598,110.798,110.798,106.849,102.337,107.413,101.09,95.5675,105.721,109.996,97.2598,92.183,92.183,102.337,107.452,105.721,102.337,95.5675,97.2598,92.183,92.183,92.183,117.567,97.2598,100.644,97.2598,107.977,97.2598,97.2598,112.49,97.2598,97.2598,105.721,-6.19543,-4.07788,-5.92731,-8.04124,-3.61105,-3.567,-3.65181,-3.61863,-3.94784,-3.85001,-3.70686,-4.21906,-3.96352,-3.65468,-3.60899,-3.9733,-3.61441,-3.58059,-3.60899,-3.65468,-3.71871,-3.9733,-3.77356,-3.56603,-3.60899,-3.56659,-3.60582,-3.80271,-4.31145,-3.58059,-4.3413,-3.58182,-3.56603,-3.9733,-4.67943,-3.778,-3.567,-3.56659,-3.71272,-3.60119,-3.9733,-3.57872,-3.58059,-3.58388,-7.43095,-7.43095,-3.56507,-3.57872,-3.96352,-3.60881,-3.64297,-3.57244,-4.54829,-3.58388,-3.71871,-3.71871,-3.57872,-4.31145,-3.64733,-3.94784,-4.08898,-3.9733,-3.60942,-3.57698,-3.57698,-3.70903,-3.9733,-3.85001,-3.9733,-4.10446,-3.58388,-3.9733,-3.58059,-3.58388,-3.58388,-3.61105,110.204,76.7903,125.294,110.811,103.043,110.968,95.2737,109.031,103.939,96.6595,96.5177,122.403,138.182,90.2924,110.02,100.307,96.9164,141.207,125.822,123.478,104.86,82.8596,126.934,73.5366,116.363,100.761,118.728,91.0664,73.15,75.888,101.689,128.01,106.321,88.586,103.269,131.947,116.68,119.72,136.206,105.034,122.991,109.464,109.004,103.497,119.182,120.373,103.628,98.1934,127.626,107.74,103.923,111.1,122.29,99.3365,91.646,107.958,102.085,99.6736,104.641,115.07,99.1274,97.6736,98.5262,99.4222,80.3377,114.837,98.8438,87.0607,84.692,88.2326,112.205,80.9113,115.063,106.786,119.849,108.457
-232.811,0.830074,0.777316,2,3,0,235.933,101.967,1.58471,13.5676,100.929,104.098,99.3441,91.4205,104.098,107.268,113.606,100.953,100.929,99.3441,110.437,93.0052,105.683,102.513,112.022,96.1746,94.5899,110.437,112.022,102.513,91.4205,96.1746,107.268,99.3441,112.022,108.852,102.513,104.098,105.719,110.437,115.191,105.683,99.3441,96.1746,97.7594,108.852,107.268,108.852,100.929,102.392,96.1746,100.929,110.437,96.1746,108.852,108.852,105.155,100.929,105.683,99.7611,94.5899,104.098,108.102,96.1746,91.4205,91.4205,100.929,105.719,104.098,100.929,94.5899,96.1746,91.4205,91.4205,91.4205,115.191,96.1746,99.3441,96.1746,106.211,96.1746,96.1746,110.437,96.1746,96.1746,104.098,-6.12494,-4.21347,-5.8655,-8.18675,-3.62123,-3.5469,-3.56195,-3.55458,-3.85104,-3.76378,-3.77502,-4.31113,-4.08339,-3.67886,-3.53772,-4.0458,-3.60612,-3.52714,-3.53772,-3.67886,-3.72656,-4.0458,-3.67009,-3.52779,-3.53772,-3.5302,-3.54378,-3.70475,-4.17861,-3.52714,-4.15345,-3.57724,-3.52779,-4.0458,-4.87019,-3.86417,-3.5469,-3.5302,-3.75013,-3.60294,-4.0458,-3.52896,-3.52714,-3.56637,-8.12555,-8.12555,-3.53283,-3.52896,-4.08339,-3.60885,-3.58384,-3.52665,-4.39461,-3.56637,-3.72656,-3.72656,-3.52896,-4.17861,-3.57224,-3.85104,-4.17164,-4.0458,-3.59358,-3.5321,-3.5321,-3.59982,-4.0458,-3.76378,-4.0458,-3.97708,-3.56637,-4.0458,-3.52714,-3.56637,-3.56637,-3.62123,91.9692,130.108,104.673,100.08,75.1984,107.802,99.6137,92.4398,106.903,93.3034,104.655,101.666,103.533,103.626,102.692,78.319,114.412,109.86,126.563,118.174,80.8851,83.1683,100.39,95.3323,104.005,110.933,98.4382,122.635,108.478,116.736,115.892,89.8635,94.316,94.6339,109.733,108.369,102.582,89.5696,89.4462,70.882,98.9008,102.235,112.771,80.5589,112.356,103,94.0418,109.174,76.6446,74.8002,112.581,89.3552,93.5442,84.8174,86.8159,91.745,117.926,98.8152,93.7728,89.1642,107.736,91.9808,69.1258,91.5458,50.6126,111.676,92.3443,91.0606,71.0305,91.1251,72.8238,96.4974,100.307,74.5078,92.3576,102.063
-234.158,0.937442,0.777316,2,3,0,234.257,100.886,1.6463,13.3019,99.8081,103.101,98.1618,89.9303,103.101,106.393,112.979,99.8329,99.8081,98.1618,109.686,91.5766,104.747,101.454,111.332,94.8692,93.2229,109.686,111.332,101.454,89.9303,94.8692,106.393,98.1618,111.332,108.04,101.454,103.101,104.784,109.686,114.625,104.747,98.1618,94.8692,96.5155,108.04,106.393,108.04,99.8081,101.328,94.8692,99.8081,109.686,94.8692,108.04,108.04,104.198,99.8081,104.747,98.595,93.2229,103.101,107.26,94.8692,89.9303,89.9303,99.8081,104.784,103.101,99.8081,93.2229,94.8692,89.9303,89.9303,89.9303,114.625,94.8692,98.1618,94.8692,105.296,94.8692,94.8692,109.686,94.8692,94.8692,103.101,-6.01763,-4.31386,-5.74795,-8.01238,-3.64136,-3.54361,-3.53192,-3.51917,-3.77869,-3.69509,-3.80746,-4.46599,-4.16428,-3.71321,-3.51186,-4.15379,-3.63663,-3.50713,-3.51186,-3.71321,-3.79338,-4.15379,-3.62235,-3.5164,-3.51186,-3.51771,-3.51282,-3.64932,-4.10578,-3.50713,-4.11125,-3.58482,-3.5164,-4.15379,-5.06534,-3.91108,-3.54361,-3.51771,-3.80038,-3.62131,-4.15379,-3.50695,-3.50713,-3.58124,-8.48215,-8.48215,-3.52407,-3.50695,-4.16428,-3.63249,-3.5362,-3.50913,-4.32679,-3.58124,-3.79338,-3.79338,-3.50695,-4.10578,-3.53402,-3.77869,-4.30223,-4.15379,-3.6246,-3.50686,-3.50686,-3.56729,-4.15379,-3.69509,-4.15379,-3.91122,-3.58124,-4.15379,-3.50713,-3.58124,-3.58124,-3.64136,93.0673,115.106,109.751,68.7363,108.386,101.763,101.672,107.209,101.203,119.781,113.472,92.3668,100.458,105.02,106.199,93.5552,101.388,111.948,117.328,91.9937,65.7213,98.3078,99.8404,79.0604,130.378,107.763,78.5127,113.887,104.714,129.879,149.386,106.783,99.1773,99.969,94.5345,107.447,99.5741,104.373,93.1445,85.282,107.685,102.278,109.828,103.568,107.175,61.6856,115.596,87.2542,119.152,99.9535,97.1217,95.9223,130.727,128.067,95.5415,85.3709,104.949,89.7639,81.0766,109.956,82.3134,114.442,98.0986,94.374,79.9889,104.354,102.219,94.4164,103.238,133.136,101.491,101.127,103.7,106.45,95.0775,112.835
-231.473,0.938629,0.777316,2,3,0,235.258,103.979,0.838864,13.2654,103.43,105.108,102.591,98.3968,105.108,106.785,110.141,103.443,103.43,102.591,108.463,99.2356,105.947,104.269,109.302,100.913,100.074,108.463,109.302,104.269,98.3968,100.913,106.785,102.591,109.302,107.624,104.269,105.108,105.965,108.463,110.98,105.947,102.591,100.913,101.752,107.624,106.785,107.624,103.43,104.204,100.913,103.43,108.463,100.913,107.624,107.624,105.667,103.43,105.947,102.812,100.074,105.108,107.227,100.913,98.3968,98.3968,103.43,105.965,105.108,103.43,100.074,100.913,98.3968,98.3968,98.3968,110.98,100.913,102.591,100.913,106.226,100.913,100.913,108.463,100.913,100.913,105.108,-6.6795,-4.13426,-6.52214,-10.1593,-3.57211,-3.53346,-3.50416,-3.59636,-4.01658,-3.95456,-3.88228,-3.83333,-4.06527,-3.59743,-3.50548,-3.7387,-3.50412,-3.51081,-3.50548,-3.59743,-3.5114,-3.7387,-3.63492,-3.52318,-3.50548,-3.52014,-3.55588,-3.73979,-4.20803,-3.51081,-3.84664,-3.55079,-3.52318,-3.7387,-4.45022,-3.93928,-3.53346,-3.52014,-3.62675,-3.53867,-3.7387,-3.53753,-3.51081,-3.50647,-8.60635,-8.60635,-3.50694,-3.53753,-4.06527,-3.52117,-3.79249,-3.50759,-4.32538,-3.50647,-3.5114,-3.5114,-3.53753,-4.20803,-3.57823,-4.01658,-3.78402,-3.7387,-3.51559,-3.70443,-3.70443,-3.50683,-3.7387,-3.95456,-3.7387,-3.97641,-3.50647,-3.7387,-3.51081,-3.50647,-3.50647,-3.57211,91.0694,107.797,101.213,114.707,112.578,116.489,102.909,86.1106,94.4821,88.2487,130.461,87.737,102.343,109.939,134.288,87.0982,107.909,130.802,103.57,92.8467,91.0519,78.7244,100.857,94.3936,109.586,108.217,81.1239,132.755,78.2444,93.9901,101.656,96.9942,90.8972,99.613,117.454,118.207,96.5143,117.043,110.626,114.81,103.357,82.1014,110.645,104.148,94.1234,141.437,84.6051,78.1911,80.6931,118.021,119.619,91.4661,85.7938,118.121,91.2375,88.441,131.314,97.193,93.6101,95.7016,106.607,90.0686,109.711,98.5361,100.369,96.5325,129.657,103.914,122.558,110.917,97.2335,106.347,97.0123,106.046,117.665,114.692
-232.043,0.942608,0.777316,3,7,0,232.453,102.471,1.0631,12.099,101.775,103.901,100.712,95.396,103.901,106.027,110.279,101.791,101.775,100.712,108.153,96.4591,104.964,102.838,109.216,98.5853,97.5222,108.153,109.216,102.838,95.396,98.5853,106.027,100.712,109.216,107.09,102.838,103.901,104.988,108.153,111.343,104.964,100.712,98.5853,99.6484,107.09,106.027,107.09,101.775,102.756,98.5853,101.775,108.153,98.5853,107.09,107.09,104.61,101.775,104.964,100.991,97.5222,103.901,106.587,98.5853,95.396,95.396,101.775,104.988,103.901,101.775,97.5222,98.5853,95.396,95.396,95.396,111.343,98.5853,100.712,98.5853,105.318,98.5853,98.5853,108.153,98.5853,98.5853,103.901,-6.86057,-4.29733,-6.63368,-10.451,-3.53912,-3.46598,-3.41233,-3.46798,-3.88561,-3.80396,-3.89143,-4.03833,-4.18428,-3.58728,-3.41416,-3.8571,-3.43303,-3.42371,-3.41416,-3.58728,-3.48446,-3.8571,-3.53614,-3.41379,-3.41416,-3.44098,-3.43957,-3.62528,-4.15642,-3.42371,-3.85149,-3.49869,-3.41379,-3.8571,-4.82677,-3.98132,-3.46598,-3.44098,-3.64315,-3.49529,-3.8571,-3.42282,-3.42371,-3.4189,-9.7011,-9.7011,-3.42652,-3.42282,-4.18428,-3.47439,-3.60533,-3.4121,-4.32637,-3.4189,-3.48446,-3.48446,-3.42282,-4.15642,-3.46404,-3.88561,-3.94386,-3.8571,-3.41541,-3.51152,-3.51152,-3.41822,-3.8571,-3.80396,-3.8571,-3.90268,-3.4189,-3.8571,-3.42371,-3.4189,-3.4189,-3.53912,111.484,109.651,106.215,86.4589,82.8912,93.1845,105.829,117.083,99.879,89.7797,119.693,92.9391,103.371,110.527,94.6335,126.594,116.924,112.508,127.261,107.031,114.305,96.3288,102.325,106.092,122.581,107.026,105.777,102.107,90.3752,111.087,106.955,77.8087,98.0633,96.3997,91.8068,88.1918,133.099,101.882,113.681,107.556,113.939,120.334,113.7,105.66,102.869,112.118,102.634,119.089,97.101,92.0403,112.304,118.761,121.565,79.3787,86.8073,118.332,89.6318,114.484,102.726,111.973,91.1164,81.6593,98.5981,96.5571,77.305,121.396,105.294,91.1568,78.7153,103.094,108.331,91.8475,114.817,92.2542,77.3923,101.29
-233.257,0.919683,0.777316,3,7,0,233.427,106.549,0.964217,14.4935,105.917,107.846,104.953,100.132,107.846,109.774,113.631,105.932,105.917,104.953,111.703,101.096,108.81,106.882,112.667,103.025,102.061,111.703,112.667,106.882,100.132,103.025,109.774,104.953,112.667,110.738,106.882,107.846,108.832,111.703,114.595,108.81,104.953,103.025,103.989,110.738,109.774,110.738,105.917,106.807,103.025,105.917,111.703,103.025,110.738,110.738,108.489,105.917,108.81,105.207,102.061,107.846,110.282,103.025,100.132,100.132,105.917,108.832,107.846,105.917,102.061,103.025,100.132,100.132,100.132,114.595,103.025,104.953,103.025,109.131,103.025,103.025,111.703,103.025,103.025,107.846,-6.66332,-3.94426,-6.50066,-9.57478,-3.60368,-3.59276,-3.62402,-3.7522,-4.19571,-4.12486,-3.75651,-3.78133,-3.89068,-3.61578,-3.60957,-3.70845,-3.60274,-3.59954,-3.60957,-3.61578,-3.59268,-3.70845,-3.82004,-3.65103,-3.60957,-3.59394,-3.70536,-3.92664,-4.41667,-3.59954,-4.09969,-3.59601,-3.65103,-3.70845,-4.20282,-3.79681,-3.59276,-3.59394,-3.63231,-3.5945,-3.70845,-3.67598,-3.59954,-3.61441,-7.26173,-7.26173,-3.60054,-3.67598,-3.89068,-3.59264,-3.93886,-3.62784,-4.5501,-3.61441,-3.59268,-3.59268,-3.67598,-4.41667,-3.73916,-4.19571,-3.74268,-3.70845,-3.62605,-3.83699,-3.83699,-3.6429,-3.70845,-4.12486,-3.70845,-4.1867,-3.61441,-3.70845,-3.59954,-3.61441,-3.61441,-3.60368,130.386,110.699,120.456,102.815,86.5785,107.249,108.385,87.3113,118.965,94.1621,112.262,116.153,107.294,87.4441,122.736,107.593,102.512,128.88,106.042,126.449,83.1995,107.741,117.747,122.385,126.372,115.564,99.4352,114.332,101.44,109.94,93.1856,84.2853,104.418,97.0629,89.6467,82.2392,103.367,101.647,103.319,113.189,95.9709,113.065,101.295,88.9486,103.672,102.8,102.924,79.2819,115.387,93.7136,83.2191,131.407,108.086,109.346,94.1773,101.004,95.7247,110.476,109.678,124.245,110.627,112.942,85.2495,89.387,102.842,119.145,80.1104,101.591,131.28,105.831,98.3652,101.439,108.182,93.5046,92.7873,106.766
