# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-13 19:32:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbw1k1b7l\i5_vkbsc.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220613213257_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.773762
# Diagonal elements of inverse mass matrix:
# 2.36587, 0.13217, 0.00683749
-234.941,0.519876,0.773762,1,3,0,238.225,105.207,0.825485,16.0195,104.666,106.317,103.841,99.7131,106.317,107.968,111.27,104.678,104.666,103.841,109.619,100.539,107.142,105.491,110.444,102.19,101.364,109.619,110.444,105.491,99.7131,102.19,107.968,103.841,110.444,108.793,105.491,106.317,107.161,109.619,112.095,107.142,103.841,102.19,103.015,108.793,107.968,108.793,104.666,105.428,102.19,104.666,109.619,102.19,108.793,108.793,106.867,104.666,107.142,104.058,101.364,106.317,108.402,102.19,99.7131,99.7131,104.666,107.161,106.317,104.666,101.364,102.19,99.7131,99.7131,99.7131,112.095,102.19,103.841,102.19,107.418,102.19,102.19,109.619,102.19,102.19,106.317,-6.03418,-4.05753,-5.92399,-8.50796,-3.71917,-3.70079,-3.69588,-3.78642,-4.11182,-4.06597,-3.90271,-3.86716,-4.01484,-3.73235,-3.69313,-3.8116,-3.69637,-3.69303,-3.69313,-3.73235,-3.6929,-3.8116,-3.81644,-3.72148,-3.69313,-3.69558,-3.7515,-3.90013,-4.25156,-3.69303,-3.97779,-3.70865,-3.72148,-3.8116,-4.25483,-3.93743,-3.70079,-3.69558,-3.74818,-3.70273,-3.8116,-3.73516,-3.69303,-3.70208,-7.00106,-7.00106,-3.69282,-3.73516,-4.01484,-3.69557,-3.94436,-3.7032,-4.33648,-3.70208,-3.6929,-3.6929,-3.73516,-4.25156,-3.77049,-4.11182,-3.83805,-3.8116,-3.71432,-3.87656,-3.87656,-3.7013,-3.8116,-4.06597,-3.8116,-4.07924,-3.70208,-3.8116,-3.69303,-3.70208,-3.70208,-3.71917,105.009,82.6502,107.449,109.111,85.9855,105.555,90.4289,108.285,91.5268,85.4597,123.013,106.529,101.476,88.4212,110.094,94.2902,121.391,140.034,109.332,106.974,100.94,87.958,89.9801,85.5322,125.142,84.5534,100.16,96.2958,100.658,134.236,101.789,110.663,85.6666,111.636,115.249,108.872,136.633,96.4969,114.088,89.7602,95.0849,115.676,112.326,107.03,102.248,121.585,109.21,73.3547,92.5892,112.06,90.6424,103.911,106.467,89.0502,115.617,114.858,111.166,134.148,138.888,69.5402,101.23,120.864,144.543,129.42,79.1074,132.053,85.7676,104.418,122.257,142.675,113.894,92.3736,118.057,108.246,108.165,99.8635
-232.084,1,0.773762,2,3,0,234.933,102.721,1.15593,12.0415,101.964,104.276,100.808,95.0282,104.276,106.587,111.211,101.981,101.964,100.808,108.899,96.1841,105.432,103.12,110.055,98.496,97.34,108.899,110.055,103.12,95.0282,98.496,106.587,100.808,110.055,107.743,103.12,104.276,105.458,108.899,112.367,105.432,100.808,98.496,99.6519,107.743,106.587,107.743,101.964,103.031,98.496,101.964,108.899,98.496,107.743,107.743,105.046,101.964,105.432,101.112,97.34,104.276,107.196,98.496,95.0282,95.0282,101.964,105.458,104.276,101.964,97.34,98.496,95.0282,95.0282,95.0282,112.367,98.496,100.808,98.496,105.817,98.496,98.496,108.899,98.496,98.496,104.276,-6.93041,-4.25992,-6.6802,-10.3989,-3.52029,-3.44745,-3.41235,-3.46919,-3.90086,-3.81009,-3.83222,-4.06551,-4.13917,-3.57054,-3.40731,-3.86366,-3.43169,-3.41147,-3.40731,-3.57054,-3.49254,-3.86366,-3.55694,-3.40955,-3.40731,-3.42485,-3.44086,-3.64346,-4.20737,-3.41147,-3.93471,-3.47926,-3.40955,-3.86366,-4.83507,-3.92532,-3.44745,-3.42485,-3.62999,-3.48223,-3.86366,-3.42059,-3.41147,-3.4151,-9.56472,-9.56472,-3.41635,-3.42059,-4.13917,-3.46672,-3.59308,-3.40756,-4.40039,-3.4151,-3.49254,-3.49254,-3.42059,-4.20737,-3.47033,-3.90086,-3.95998,-3.86366,-3.41365,-3.49448,-3.49448,-3.42662,-3.86366,-3.81009,-3.86366,-3.94468,-3.4151,-3.86366,-3.41147,-3.4151,-3.4151,-3.52029,85.4358,87.3509,102.096,87.0641,113.16,84.957,107.438,120.387,107.388,109.55,116.324,85.5016,112.365,117.571,82.9756,77.3863,89.6565,127.998,125.392,99.8189,89.2057,85.452,106.438,115.665,109.602,128.201,105.758,91.9954,98.4568,88.1412,117.471,98.0868,112.898,102.622,90.4814,107.352,94.2655,99.8428,107.349,96.8142,115.809,104.013,113.56,107.621,119.598,114.426,129.124,97.318,96.2548,69.2704,96.7059,109.633,106.761,109.122,84.1971,82.0961,103.075,93.8924,94.429,103.55,84.3033,89.1095,99.0609,101.991,95.614,127.807,117.97,75.4997,110.026,113.018,114.212,112.32,106.725,100.472,99.0884,101.742
-231.869,1,0.773762,2,3,0,232.481,104.32,1.51599,13.2965,103.327,106.359,101.811,94.231,106.359,109.391,115.455,103.35,103.327,101.811,112.423,95.747,107.875,104.843,113.939,98.779,97.263,112.423,113.939,104.843,94.231,98.779,109.391,101.811,113.939,110.907,104.843,106.359,107.909,112.423,116.971,107.875,101.811,98.779,100.295,110.907,109.391,110.907,103.327,104.726,98.779,103.327,112.423,98.779,110.907,110.907,107.37,103.327,107.875,102.21,97.263,106.359,110.189,98.779,94.231,94.231,103.327,107.909,106.359,103.327,97.263,98.779,94.231,94.231,94.231,116.971,98.779,101.811,98.779,108.38,98.779,98.779,112.423,98.779,98.779,106.359,-6.64758,-4.03269,-6.36831,-9.03931,-3.54393,-3.50749,-3.59059,-3.5953,-4.00873,-3.90096,-3.66881,-4.08096,-3.92222,-3.58165,-3.55032,-3.86253,-3.52762,-3.52304,-3.55032,-3.58165,-3.60056,-3.86253,-3.75585,-3.51571,-3.55032,-3.50876,-3.57277,-3.80992,-4.39081,-3.52304,-4.32096,-3.51921,-3.51571,-3.86253,-4.60456,-3.74028,-3.50749,-3.50876,-3.63237,-3.53132,-3.86253,-3.53774,-3.52304,-3.51065,-7.82856,-7.82856,-3.50783,-3.53774,-3.92222,-3.5328,-3.65562,-3.52217,-4.63353,-3.51065,-3.60056,-3.60056,-3.53774,-4.39081,-3.6208,-4.00873,-3.96525,-3.86253,-3.51957,-3.55706,-3.55706,-3.64386,-3.86253,-3.90096,-3.86253,-4.14675,-3.51065,-3.86253,-3.52304,-3.51065,-3.51065,-3.54393,117.587,96.9017,116.619,108.618,112.444,115.156,114.283,90.1522,111.763,100.594,114.95,120.485,97.1854,99.1832,94.6951,98.2707,115.099,112.321,108.495,109.419,110.126,105.234,100.088,101.14,96.5728,114.443,108.688,104.94,122.04,118.958,113.052,122.17,115.553,95.7702,89.7998,102.751,110.444,104.367,73.7869,117.86,106.962,87.8495,116.729,73.8249,88.4334,104.304,114.945,120.282,127.076,99.8553,84.8438,105.235,123.405,98.4601,90.707,103.677,106.037,96.9055,103.845,78.4047,93.8381,94.0033,99.2725,123.553,118.702,131.186,104.415,100.129,107.807,115.46,97.1865,114.453,110.539,100.764,125.141,119.864
-231.725,0.990649,0.773762,2,3,0,232.184,105.075,1.26384,13.4298,104.248,106.775,102.984,96.6646,106.775,109.303,114.358,104.267,104.248,102.984,111.831,97.9285,108.039,105.512,113.095,100.456,99.1923,111.831,113.095,105.512,96.6646,100.456,109.303,102.984,113.095,110.567,105.512,106.775,108.068,111.831,115.622,108.039,102.984,100.456,101.72,110.567,109.303,110.567,104.248,105.414,100.456,104.248,111.831,100.456,110.567,110.567,107.618,104.248,108.039,103.316,99.1923,106.775,109.968,100.456,96.6646,96.6646,104.248,108.068,106.775,104.248,99.1923,100.456,96.6646,96.6646,96.6646,115.622,100.456,102.984,100.456,108.461,100.456,100.456,111.831,100.456,100.456,106.775,-6.76798,-4.00125,-6.53243,-9.5532,-3.54524,-3.51776,-3.56908,-3.63435,-4.07917,-3.98376,-3.70142,-3.92039,-3.91301,-3.57227,-3.54296,-3.76892,-3.51822,-3.52571,-3.54296,-3.57227,-3.54726,-3.76892,-3.75635,-3.5411,-3.54296,-3.51731,-3.60063,-3.8383,-4.39894,-3.52571,-4.193,-3.52707,-3.5411,-3.76892,-4.44278,-3.7631,-3.51776,-3.51731,-3.60815,-3.5308,-3.76892,-3.56644,-3.52571,-3.51699,-7.82715,-7.82715,-3.51892,-3.56644,-3.91301,-3.52692,-3.75067,-3.53777,-4.59696,-3.51699,-3.54726,-3.54726,-3.56644,-4.39894,-3.64368,-4.07917,-3.84023,-3.76892,-3.51663,-3.63955,-3.63955,-3.60405,-3.76892,-3.98376,-3.76892,-4.15079,-3.51699,-3.76892,-3.52571,-3.51699,-3.51699,-3.54524,103.108,108.186,93.6349,104.468,89.6562,140.849,123.116,92.5254,117.326,105.322,115.918,96.7867,85.115,92.9531,103.677,96.7963,72.1717,105.504,109.465,88.629,108.991,84.7057,116.128,113.729,103.762,116.384,99.3362,120.964,122.849,134.282,85.2723,101.427,122.832,118.405,87.0411,122.04,105.078,86.4901,98.5212,112.972,103.693,105.705,118.082,104.837,97.3169,109.943,101.873,103.482,92.9452,90.0615,92.8121,101.754,122.696,106.829,69.2014,82.9687,94.3206,117.928,123.851,124.466,102.271,108.999,101.092,102.28,109.034,135.607,104.579,105.984,76.5479,111.356,96.5174,98.8018,116.254,92.1847,95.6096,88.8158
-231.661,0.873415,0.773762,1,3,0,233.335,103.191,1.11422,12.2612,102.462,104.69,101.347,95.7764,104.69,106.919,111.375,102.478,102.462,101.347,109.147,96.8906,105.804,103.576,110.261,99.119,98.0048,109.147,110.261,103.576,95.7764,99.119,106.919,101.347,110.261,108.033,103.576,104.69,105.829,109.147,112.49,105.804,101.347,99.119,100.233,108.033,106.919,108.033,102.462,103.49,99.119,102.462,109.147,99.119,108.033,108.033,105.433,102.462,105.804,101.641,98.0048,104.69,107.505,99.119,95.7764,95.7764,102.462,105.829,104.69,102.462,98.0048,99.119,95.7764,95.7764,95.7764,112.49,99.119,101.347,99.119,106.176,99.119,99.119,109.147,99.119,99.119,104.69,-6.93004,-4.20493,-6.69358,-10.3946,-3.51915,-3.45696,-3.43167,-3.49992,-3.94186,-3.85363,-3.81712,-3.99695,-4.09559,-3.56263,-3.42561,-3.81915,-3.43862,-3.4278,-3.42561,-3.56263,-3.48471,-3.81915,-3.58458,-3.43142,-3.42561,-3.43825,-3.46791,-3.67654,-4.23517,-3.4278,-3.94419,-3.48393,-3.43142,-3.81915,-4.72487,-3.90169,-3.45696,-3.43825,-3.61437,-3.48411,-3.81915,-3.44553,-3.4278,-3.42796,-9.28303,-9.28303,-3.43044,-3.44553,-4.09559,-3.46902,-3.63849,-3.42696,-4.41841,-3.42796,-3.48471,-3.48471,-3.44553,-4.23517,-3.49854,-3.94186,-3.90392,-3.81915,-3.42661,-3.53635,-3.53635,-3.44599,-3.81915,-3.85363,-3.81915,-3.97391,-3.42796,-3.81915,-3.4278,-3.42796,-3.42796,-3.51915,92.3948,93.3503,99.2082,98.4441,116.116,121.504,113.842,110.671,112.6,108.869,99.6917,75.9805,117.347,99.8055,110.028,88.9802,97.4035,88.4327,99.6938,103.8,75.0588,100.096,124.048,135.303,99.9612,81.1608,115.456,111.394,110.916,119.652,112.288,109.497,83.8023,99.4345,105.598,118,126.977,112.284,122.137,107.876,95.2709,112.325,111.82,106.813,115.52,96.2406,110.863,107.945,148.46,102.045,92.3449,99.2966,119.276,89.3785,113.02,102.368,73.7964,91.4166,94.137,104.411,85.6342,83.6162,111.061,99.8718,96.897,121.415,98.6666,93.5273,93.7044,111.617,114.726,90.7251,114.095,81.4591,105.177,99.3875
-232.999,0.832609,0.773762,2,3,0,233.455,104.101,1.41093,14.8292,103.177,105.998,101.766,94.7109,105.998,108.82,114.464,103.198,103.177,101.766,111.642,96.1219,107.409,104.587,113.053,98.9437,97.5328,111.642,113.053,104.587,94.7109,98.9437,108.82,101.766,113.053,110.231,104.587,105.998,107.441,111.642,115.875,107.409,101.766,98.9437,100.355,110.231,108.82,110.231,103.177,104.479,98.9437,103.177,111.642,98.9437,110.231,110.231,106.939,103.177,107.409,102.137,97.5328,105.998,109.563,98.9437,94.7109,94.7109,103.177,107.441,105.998,103.177,97.5328,98.9437,94.7109,94.7109,94.7109,115.875,98.9437,101.766,98.9437,107.88,98.9437,98.9437,111.642,98.9437,98.9437,105.998,-6.11816,-4.06129,-5.90983,-8.16083,-3.65195,-3.6187,-3.66085,-3.68316,-4.0103,-3.93028,-3.77437,-4.05346,-3.97598,-3.68215,-3.63673,-3.89348,-3.62938,-3.62167,-3.63673,-3.68215,-3.67914,-3.89348,-3.79242,-3.62263,-3.63673,-3.61566,-3.66339,-3.84283,-4.28941,-3.62167,-4.18854,-3.6308,-3.62263,-3.89348,-4.49305,-3.83252,-3.6187,-3.61566,-3.7214,-3.63902,-3.89348,-3.63848,-3.62167,-3.61807,-7.21153,-7.21153,-3.61571,-3.63848,-3.97598,-3.63776,-3.74455,-3.62462,-4.46574,-3.61807,-3.67914,-3.67914,-3.63848,-4.28941,-3.69735,-4.0103,-3.96894,-3.89348,-3.62191,-3.666,-3.666,-3.69401,-3.89348,-3.93028,-3.89348,-4.09664,-3.61807,-3.89348,-3.62167,-3.61807,-3.61807,-3.65195,91.689,112.945,88.266,100.587,146.333,100.038,113.074,94.8705,101.11,112.057,113.307,100.405,99.7346,100.665,147.821,107.098,112.436,104.431,89.9379,98.8164,97.6055,93.4856,117.234,100.205,97.4851,129.637,98.489,109.954,111.27,100.08,130.951,106.281,103.621,94.116,101.988,142.937,118.449,117.324,92.7809,94.5639,101.509,115.429,116.766,107.645,91.8067,87.7893,105.685,104.669,118.78,105.329,87.074,83.5971,117.105,112.677,95.0256,105.768,79.2986,109.671,136.653,87.4373,97.9431,92.1256,61.8619,115.248,83.119,99.9772,79.7027,103.949,79.5657,91.8325,87.1947,123.413,83.5853,89.8169,101.568,98.7289
