# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-13 20:08:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbw1k1b7l\lijdz2as.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220613220835_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.684231
# Diagonal elements of inverse mass matrix:
# 2.42595, 0.14269, 0.00615783
-234.601,0.913343,0.684231,3,7,0,235.728,105.12,0.411372,14.9432,104.851,105.674,104.439,102.383,105.674,106.496,108.142,104.857,104.851,104.439,107.319,102.794,106.085,105.262,107.73,103.617,103.205,107.319,107.73,105.262,102.383,103.617,106.496,104.439,107.73,106.908,105.262,105.674,106.094,107.319,108.553,106.085,104.439,103.617,104.028,106.908,106.496,106.908,104.851,105.231,103.617,104.851,107.319,103.617,106.908,106.908,105.948,104.851,106.085,104.548,103.205,105.674,106.713,103.617,102.383,102.383,104.851,106.094,105.674,104.851,103.205,103.617,102.383,102.383,102.383,108.553,103.617,104.439,103.617,106.222,103.617,103.617,107.319,103.617,103.617,105.674,-6.34282,-4.08277,-6.27899,-9.76727,-3.66511,-3.65068,-3.63093,-3.73647,-4.11703,-4.09005,-3.98326,-3.73947,-4.05676,-3.67346,-3.63473,-3.71443,-3.6462,-3.63929,-3.63473,-3.67346,-3.63591,-3.71443,-3.71769,-3.66733,-3.63473,-3.64461,-3.6852,-3.83273,-4.18704,-3.63929,-3.787,-3.65752,-3.66733,-3.71443,-4.19441,-4.007,-3.65068,-3.64461,-3.68256,-3.63677,-3.71443,-3.67588,-3.63929,-3.65248,-7.78117,-7.78117,-3.62435,-3.67588,-4.05676,-3.62434,-4.01366,-3.62947,-4.23186,-3.65248,-3.63591,-3.63591,-3.67588,-4.18704,-3.69527,-4.11703,-3.72657,-3.71443,-3.70373,-3.96652,-3.96652,-3.62788,-3.71443,-4.09005,-3.71443,-3.99516,-3.65248,-3.71443,-3.63929,-3.65248,-3.65248,-3.66511,117.79,90.5674,73.9654,92.6036,113.926,106.222,104.259,87.8188,109.122,101.42,96.0913,107.051,127.97,111.128,95.3012,106.001,130.792,113.438,111.419,131.165,87.6173,72.5751,113.073,108.364,118.43,115.415,119.528,85.3166,101.991,94.187,88.1352,118.676,95.3767,108.554,102.422,68.1096,94.8087,115.205,116.654,119.197,83.1908,105.054,133.376,112.903,120.214,107.881,105.454,116.496,118.473,88.9661,107.82,105.576,102.949,123.022,117.327,105.293,112.973,123.644,83.3105,127.958,99.1577,109.361,111.402,83.512,84.4086,114.57,83.3103,83.7726,117.454,110.07,114.566,90.5221,127.205,109.566,106.457,109.518
-234.896,0.980175,0.684231,3,7,0,236.372,103.36,0.589883,15.7736,102.974,104.154,102.384,99.4347,104.154,105.334,107.693,102.983,102.974,102.384,106.513,100.025,104.744,103.564,107.103,101.204,100.614,106.513,107.103,103.564,99.4347,101.204,105.334,102.384,107.103,105.923,103.564,104.154,104.757,106.513,108.283,104.744,102.384,101.204,101.794,105.923,105.334,105.923,102.974,103.519,101.204,102.974,106.513,101.204,105.923,105.923,104.547,102.974,104.744,102.539,100.614,104.154,105.644,101.204,99.4347,99.4347,102.974,104.757,104.154,102.974,100.614,101.204,99.4347,99.4347,99.4347,108.283,101.204,102.384,101.204,104.94,101.204,101.204,106.513,101.204,101.204,104.154,-5.86228,-4.18189,-5.78481,-8.58831,-3.74596,-3.72104,-3.68797,-3.73242,-4.01554,-3.98548,-4.0428,-3.87725,-4.14502,-3.76052,-3.69414,-3.83274,-3.67803,-3.70171,-3.69414,-3.76052,-3.67792,-3.83274,-3.73444,-3.6887,-3.69414,-3.71067,-3.7028,-3.81088,-4.10163,-3.70171,-3.81515,-3.7328,-3.6887,-3.83274,-4.34335,-4.07548,-3.72104,-3.71067,-3.77648,-3.71228,-3.83274,-3.69505,-3.70171,-3.68019,-7.58141,-7.58141,-3.6863,-3.69505,-4.14502,-3.69218,-3.90369,-3.67732,-4.15502,-3.68019,-3.67792,-3.67792,-3.69505,-4.10163,-3.71195,-4.01554,-3.8543,-3.83274,-3.69596,-3.85616,-3.85616,-3.6832,-3.83274,-3.98548,-3.83274,-3.94801,-3.68019,-3.83274,-3.70171,-3.68019,-3.68019,-3.74596,126.648,109.699,143.099,78.4488,104.289,116.984,123.091,69.8394,96.3446,90.9068,95.3118,112.597,85.9183,113.487,102.12,111.269,105.308,105.133,120.573,109.206,100.956,85.3938,89.9723,88.9116,135.134,121.154,120.693,86.9858,128.992,123.512,125.128,105.361,61.5065,96.0395,81.7728,95.3621,138.683,87.3051,143.589,112.235,123.562,87.4249,99.6735,87.2332,108.401,117.44,80.5893,113.581,112.535,105.235,107.279,108.642,78.0785,60.1349,89.6472,105.181,89.2711,114.662,115.35,97.6485,91.7716,97.5697,111.729,109.285,117.758,92.6854,115.667,97.6873,84.4752,73.3079,98.1157,131.032,134.103,96.1629,81.618,96.2753
-232.752,1,0.684231,2,3,0,235.018,102.669,0.855698,14.3206,102.109,103.82,101.253,96.9747,103.82,105.532,108.954,102.122,102.109,101.253,107.243,97.8304,104.676,102.965,108.099,99.5417,98.6861,107.243,108.099,102.965,96.9747,99.5417,105.532,101.253,108.099,106.387,102.965,103.82,104.695,107.243,109.81,104.676,101.253,99.5417,100.397,106.387,105.532,106.387,102.109,102.899,99.5417,102.109,107.243,99.5417,106.387,106.387,104.391,102.109,104.676,101.478,98.6861,103.82,105.982,99.5417,96.9747,96.9747,102.109,104.695,103.82,102.109,98.6861,99.5417,96.9747,96.9747,96.9747,109.81,99.5417,101.253,99.5417,104.961,99.5417,99.5417,107.243,99.5417,99.5417,103.82,-6.09425,-4.21889,-5.96206,-8.96057,-3.67374,-3.62931,-3.5833,-3.62735,-3.93812,-3.88938,-3.97741,-3.94172,-4.15316,-3.70131,-3.58945,-3.8473,-3.58484,-3.59917,-3.58945,-3.70131,-3.60295,-3.8473,-3.65524,-3.58446,-3.58945,-3.61246,-3.60206,-3.72974,-4.0911,-3.59917,-3.81527,-3.64974,-3.58446,-3.8473,-4.5175,-4.03242,-3.62931,-3.61246,-3.73246,-3.63666,-3.8473,-3.59148,-3.59917,-3.58115,-8.21805,-8.21805,-3.59326,-3.59148,-4.15316,-3.61556,-3.76458,-3.58071,-4.18593,-3.58115,-3.60295,-3.60295,-3.59148,-4.0911,-3.61622,-3.93812,-3.89272,-3.8473,-3.58148,-3.69924,-3.69924,-3.58072,-3.8473,-3.88938,-3.8473,-3.91028,-3.58115,-3.8473,-3.59917,-3.58115,-3.58115,-3.67374,120.646,101.049,84.1809,80.593,100.741,108.274,96.6321,94.3409,104.971,92.9986,98.2883,117.303,119.236,79.2272,105.845,83.5132,121.808,102.051,108.557,125.763,77.8692,123.412,137.239,94.7295,116.668,103.364,91.6051,131.505,86.5992,94.4178,98.9438,114.159,108.714,134.636,110.27,102.169,126.386,118.526,113.637,103.101,97.4277,124.988,122.567,122.669,110.369,86.1787,116.013,116.701,120.455,69.5419,78.9199,95.3038,101.24,85.3672,91.558,89.7603,93.0772,80.6021,117.672,115.902,102.099,77.8914,80.1255,103.965,118.489,109.043,102.089,109.401,95.9216,109.147,97.5912,79.5546,104.774,86.3512,109.158,118.418
-232.937,0.983847,0.684231,3,7,0,233.54,105.792,1.09575,11.6553,105.075,107.266,103.979,98.5003,107.266,109.458,113.841,105.091,105.075,103.979,111.649,99.5961,108.362,106.171,112.745,101.788,100.692,111.649,112.745,106.171,98.5003,101.788,109.458,103.979,112.745,110.554,106.171,107.266,108.387,111.649,114.937,108.362,103.979,101.788,102.883,110.554,109.458,110.554,105.075,106.086,101.788,105.075,111.649,101.788,110.554,110.554,107.997,105.075,108.362,104.267,100.692,107.266,110.034,101.788,98.5003,98.5003,105.075,108.387,107.266,105.075,100.692,101.788,98.5003,98.5003,98.5003,114.937,101.788,103.979,101.788,108.727,101.788,101.788,111.649,101.788,101.788,107.266,-7.90276,-3.97151,-7.62427,-12.0326,-3.40221,-3.37578,-3.429,-3.57337,-4.21112,-4.09395,-3.63137,-3.7731,-3.87321,-3.42868,-3.40243,-3.62294,-3.37646,-3.38471,-3.40243,-3.42868,-3.38298,-3.62294,-3.70393,-3.43298,-3.40243,-3.37583,-3.51484,-3.84188,-4.58868,-3.38471,-4.19585,-3.38458,-3.43298,-3.62294,-4.45306,-3.70315,-3.37578,-3.37583,-3.46398,-3.38419,-3.62294,-3.46949,-3.38471,-3.38646,-9.10185,-9.10185,-3.38121,-3.46949,-3.87321,-3.37835,-3.79545,-3.41397,-4.81895,-3.38646,-3.38298,-3.38298,-3.46949,-4.58868,-3.56903,-4.21112,-3.6936,-3.62294,-3.39116,-3.64065,-3.64065,-3.46439,-3.62294,-4.09395,-3.62294,-4.24691,-3.38646,-3.62294,-3.38471,-3.38646,-3.38646,-3.40221,91.7137,114.713,101.181,105.257,109.226,87.6358,113.311,100.854,78.0103,108.684,117.362,113.557,100.418,105.325,93.1726,94.8501,112.475,101.978,104.357,127.078,95.1425,114.044,103.947,94.8698,111.334,118.285,106.573,111.994,129.782,134.503,125.377,108.067,95.0054,93.9814,97.4093,119.096,110.091,98.6043,124.008,110.01,108.813,81.5916,120.925,103.748,121.777,93.9842,114.701,111.343,101.285,104.811,105.556,114.825,121.623,116.172,87.389,128.783,119.652,114.973,98.198,105.569,98.4472,105.413,105.081,100.932,87.1152,118.927,79.976,113.405,125.867,104.875,107.015,104.709,123.213,107.67,100.113,126.056
-231.573,1,0.684231,2,3,0,233.085,103.495,1.3235,13.3181,102.628,105.275,101.305,94.6871,105.275,107.922,113.216,102.648,102.628,101.305,110.569,96.0106,106.599,103.952,111.893,98.6576,97.3341,110.569,111.893,103.952,94.6871,98.6576,107.922,101.305,111.893,109.246,103.952,105.275,106.628,110.569,114.54,106.599,101.305,98.6576,99.9811,109.246,107.922,109.246,102.628,103.85,98.6576,102.628,110.569,98.6576,109.246,109.246,106.157,102.628,106.599,101.653,97.3341,105.275,108.619,98.6576,94.6871,94.6871,102.628,106.628,105.275,102.628,97.3341,98.6576,94.6871,94.6871,94.6871,114.54,98.6576,101.305,98.6576,107.04,98.6576,98.6576,110.569,98.6576,98.6576,105.275,-6.50907,-4.11927,-6.27055,-9.13728,-3.571,-3.52024,-3.53722,-3.57585,-3.9576,-3.86831,-3.75879,-4.05974,-4.01434,-3.61119,-3.51816,-3.87072,-3.5281,-3.50898,-3.51816,-3.61119,-3.58763,-3.87072,-3.68498,-3.51286,-3.51816,-3.50967,-3.55208,-3.75057,-4.26651,-3.50898,-4.10398,-3.54068,-3.51286,-3.87072,-4.63777,-3.83409,-3.52024,-3.50967,-3.66126,-3.54969,-3.87072,-3.52753,-3.50898,-3.51314,-8.19008,-8.19008,-3.5088,-3.52753,-4.01434,-3.54481,-3.65969,-3.51265,-4.46172,-3.51314,-3.58763,-3.58763,-3.52753,-4.26651,-3.58651,-3.9576,-3.96029,-3.87072,-3.5162,-3.56999,-3.56999,-3.56616,-3.87072,-3.86831,-3.87072,-4.03765,-3.51314,-3.87072,-3.50898,-3.51314,-3.51314,-3.571,116.091,101.899,102.697,107.512,130.097,116.31,112.978,111.197,97.9469,105.805,103.099,89.0059,114.752,111.839,120.07,115.008,70.6379,123.317,118.487,133.355,92.4129,103.132,87.0739,118.412,121.691,109.709,113.018,99.1948,87.9579,114.523,98.4658,113.157,101.523,75.4838,130.216,111.293,115.089,109.597,116.228,98.5013,108.611,98.9337,122.685,121.713,109.127,117.569,104.361,87.4747,102.15,107.12,103.88,88.8911,119.854,98.1183,90.7239,106.683,102.678,108.652,92.0706,88.1133,120.729,113.418,107.045,84.3125,73.6463,119.891,95.0376,101.079,108.094,124.223,115.844,106.183,128.665,88.4486,85.85,94.1858
-232.152,0.953699,0.684231,2,3,0,232.356,105.925,1.06746,12.8695,105.226,107.361,104.159,98.8214,107.361,109.496,113.766,105.242,105.226,104.159,111.631,99.8889,108.429,106.294,112.698,102.024,100.956,111.631,112.698,106.294,98.8214,102.024,109.496,104.159,112.698,110.563,106.294,107.361,108.453,111.631,114.833,108.429,104.159,102.024,103.091,110.563,109.496,110.563,105.226,106.211,102.024,105.226,111.631,102.024,110.563,110.563,108.073,105.226,108.429,104.44,100.956,107.361,110.058,102.024,98.8214,98.8214,105.226,108.453,107.361,105.226,100.956,102.024,98.8214,98.8214,98.8214,114.833,102.024,104.159,102.024,108.784,102.024,102.024,111.631,102.024,102.024,107.361,-7.21988,-3.95604,-6.99628,-10.6694,-3.49482,-3.47457,-3.51661,-3.64351,-4.17368,-4.07899,-3.68525,-3.78243,-3.87803,-3.51527,-3.49578,-3.66586,-3.47656,-3.48183,-3.49578,-3.51527,-3.47799,-3.66586,-3.74602,-3.52601,-3.49578,-3.47476,-3.59337,-3.86346,-4.47675,-3.48183,-4.13803,-3.48125,-3.52601,-3.66586,-4.33692,-3.74263,-3.47457,-3.47476,-3.5426,-3.48042,-3.66586,-3.55625,-3.48183,-3.48616,-8.1689,-8.1689,-3.47977,-3.55625,-3.87803,-3.47585,-3.83619,-3.5079,-4.66118,-3.48616,-3.47799,-3.47799,-3.55625,-4.47675,-3.63738,-4.17368,-3.72071,-3.66586,-3.49171,-3.70872,-3.70872,-3.54432,-3.66586,-4.07899,-3.66586,-4.19451,-3.48616,-3.66586,-3.48183,-3.48616,-3.48616,-3.49482,98.3311,108.611,76.2482,94.1905,109.129,99.8537,97.3855,99.3502,90.698,131.084,128.996,109.435,118.233,103.836,113.426,111.336,97.6349,97.1997,134.827,107.987,103.028,99.6933,115.185,98.3225,117.706,130.921,121.115,105.005,121.379,132.271,111.066,113.846,89.2001,99.4331,83.8082,97.9531,94.0692,98.2222,99.7587,122.747,98.1809,110.992,89.0096,90.3384,111.451,125.469,93.4753,94.1735,108.828,101.117,80.4917,103.396,84.3085,104.197,102.857,117.745,125.538,126.621,107.702,99.9544,93.8958,121.196,76.8206,105.291,85.6423,135.393,104.675,116.466,103.154,115.208,105.482,114.012,113.42,88.9934,94.0132,137.716
