# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-17 19:54:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbr7o873l\o06s1fgo.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220617215408_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.799595
# Diagonal elements of inverse mass matrix:
# 1.96275, 0.111966, 0.00702551
-232.651,0.933079,0.799595,2,3,0,234.053,103.922,0.70447,11.9944,103.461,104.87,102.757,99.2342,104.87,106.279,109.097,103.472,103.461,102.757,107.688,99.9387,105.574,104.166,108.392,101.348,100.643,107.688,108.392,104.166,99.2342,101.348,106.279,102.757,108.392,106.983,104.166,104.87,105.59,107.688,109.801,105.574,102.757,101.348,102.052,106.983,106.279,106.983,103.461,104.111,101.348,103.461,107.688,101.348,106.983,106.983,105.34,103.461,105.574,102.942,100.643,104.87,106.65,101.348,99.2342,99.2342,103.461,105.59,104.87,103.461,100.643,101.348,99.2342,99.2342,99.2342,109.801,101.348,102.757,101.348,105.809,101.348,101.348,107.688,101.348,101.348,104.87,-7.29463,-4.19897,-7.13251,-11.8279,-3.49485,-3.4515,-3.40622,-3.51738,-4.03313,-3.96894,-3.93022,-3.7552,-4.12661,-3.52169,-3.41236,-3.66357,-3.40482,-3.42196,-3.41236,-3.52169,-3.40542,-3.66357,-3.5404,-3.42979,-3.41236,-3.43501,-3.46369,-3.67682,-4.22385,-3.42196,-3.73725,-3.47145,-3.42979,-3.66357,-4.52292,-3.99223,-3.4515,-3.43501,-3.55198,-3.44795,-3.66357,-3.44501,-3.42196,-3.40969,-9.83444,-9.83444,-3.4095,-3.44501,-4.12661,-3.42211,-3.79707,-3.40601,-4.34089,-3.40969,-3.40542,-3.40542,-3.44501,-4.22385,-3.48581,-4.03313,-3.70766,-3.66357,-3.43158,-3.69974,-3.69974,-3.40352,-3.66357,-3.96894,-3.66357,-3.94433,-3.40969,-3.66357,-3.42196,-3.40969,-3.40969,-3.49485,111.697,121.853,105.981,94.2318,114.93,110.956,113.464,107.996,99.0277,109.469,115.049,106.545,110.96,94.0147,97.2515,85.6688,92.6788,110.055,105.364,108.329,99.2349,133.167,93.1577,87.3586,111.458,123.449,100.427,100.797,87.595,104.285,104.193,101.865,122.89,105.304,106.066,112.423,98.671,108.091,103.457,120.972,100.734,95.2834,112.693,103.019,98.9099,107.115,99.464,103.864,105.59,127.863,94.0974,112.654,108.899,99.7144,98.7682,81.505,101.98,94.0234,118.648,93.149,82.7213,102.793,75.7918,97.7623,97.4125,84.838,101.664,103.237,102.745,88.7412,115.597,103.387,111.72,90.4893,121.22,101.914
-234.288,0.855479,0.799595,2,3,0,235.227,103.094,1.01831,15.7588,102.428,104.464,101.409,96.3177,104.464,106.501,110.574,102.443,102.428,101.409,108.537,97.336,105.482,103.446,109.556,99.3726,98.3543,108.537,109.556,103.446,96.3177,99.3726,106.501,101.409,109.556,107.519,103.446,104.464,105.505,108.537,111.592,105.482,101.409,99.3726,100.391,107.519,106.501,107.519,102.428,103.368,99.3726,102.428,108.537,99.3726,107.519,107.519,105.143,102.428,105.482,101.677,98.3543,104.464,107.037,99.3726,96.3177,96.3177,102.428,105.505,104.464,102.428,98.3543,99.3726,96.3177,96.3177,96.3177,111.592,99.3726,101.409,99.3726,105.822,99.3726,99.3726,108.537,99.3726,99.3726,104.464,-5.79349,-4.16229,-5.66261,-7.99567,-3.73804,-3.70099,-3.677,-3.72079,-3.98729,-3.93842,-3.94088,-3.99924,-4.10067,-3.76283,-3.67674,-3.90373,-3.68179,-3.68065,-3.67674,-3.76283,-3.70364,-3.90373,-3.76142,-3.68034,-3.67674,-3.68873,-3.70025,-3.82058,-4.14641,-3.68065,-3.9469,-3.71743,-3.68034,-3.90373,-4.45051,-3.98997,-3.70099,-3.68873,-3.79179,-3.714,-3.90373,-3.6882,-3.68065,-3.67713,-7.30971,-7.30971,-3.68101,-3.6882,-4.10067,-3.70223,-3.81686,-3.67677,-4.24535,-3.67713,-3.70364,-3.70364,-3.6882,-4.14641,-3.71646,-3.98729,-3.94939,-3.90373,-3.67635,-3.7567,-3.7567,-3.68144,-3.90373,-3.93842,-3.90373,-3.99035,-3.67713,-3.90373,-3.68065,-3.67713,-3.67713,-3.73804,89.0293,59.5726,92.6707,90.1979,118.403,108.271,79.5498,113.152,84.1539,106.974,104.892,126.951,129.203,125.147,95.1926,118.719,72.8589,108.971,124.456,101.755,74.4075,124.708,121.894,77.5264,125.677,104.156,95.3851,92.8488,110.152,119.03,101.642,119.514,105.695,64.567,105.7,88.9755,91.3572,124.631,90.3907,122.41,112.437,91.7058,128.539,112.796,97.5942,96.6177,81.0799,91.7278,101.11,87.9898,88.4584,97.5406,111.023,111.9,73.3148,94.906,110.585,98.0202,85.4852,93.4182,95.1881,100.883,81.1965,67.1651,83.71,132.679,108.149,109.276,97.2699,100.531,87.1687,74.4841,107.159,109.069,78.368,110.291
-232,1,0.799595,2,3,0,234.282,103.431,0.854383,13.7368,102.872,104.581,102.018,97.7456,104.581,106.289,109.707,102.885,102.872,102.018,107.998,98.6,105.435,103.726,108.853,100.309,99.4544,107.998,108.853,103.726,97.7456,100.309,106.289,102.018,108.853,107.144,103.726,104.581,105.454,107.998,110.561,105.435,102.018,100.309,101.163,107.144,106.289,107.144,102.872,103.661,100.309,102.872,107.998,100.309,107.144,107.144,105.15,102.872,105.435,102.242,99.4544,104.581,106.739,100.309,97.7456,97.7456,102.872,105.454,104.581,102.872,99.4544,100.309,97.7456,97.7456,97.7456,110.561,100.309,102.018,100.309,105.72,100.309,100.309,107.998,100.309,100.309,104.581,-6.40221,-4.169,-6.25531,-9.57944,-3.61683,-3.5755,-3.53924,-3.60903,-3.97804,-3.92169,-3.92069,-3.88337,-4.10112,-3.64331,-3.5425,-3.78788,-3.5398,-3.54963,-3.5425,-3.64331,-3.55248,-3.78788,-3.64383,-3.5498,-3.5425,-3.56063,-3.57581,-3.73411,-4.15353,-3.54963,-3.83457,-3.59423,-3.5498,-3.78788,-4.47921,-3.97696,-3.5755,-3.56063,-3.67365,-3.58209,-3.78788,-3.56087,-3.54963,-3.53927,-8.40562,-8.40562,-3.54511,-3.56087,-4.10112,-3.56319,-3.77586,-3.53991,-4.26159,-3.53927,-3.55248,-3.55248,-3.56087,-4.15353,-3.59461,-3.97804,-3.83369,-3.78788,-3.54392,-3.69799,-3.69799,-3.53985,-3.78788,-3.92169,-3.78788,-3.94555,-3.53927,-3.78788,-3.54963,-3.53927,-3.53927,-3.61683,87.9766,100.065,110.35,89.638,109.902,100.427,101.752,90.9551,92.3659,81.4148,117.161,94.8539,102.663,106.719,107.503,101.05,103.127,89.4389,127.496,119.119,109.899,105.07,98.2947,90.3605,100.061,130.773,91.8946,82.2293,88.0607,92.501,113.848,96.4,92.0365,103.211,89.4183,128.061,116.736,112.15,102.132,93.5524,101.23,108.045,111.535,117.145,96.9922,94.4992,76.8126,94.6888,124.502,103.551,106.415,83.3237,108.404,95.0057,89.3881,78.9511,85.4114,122.778,98.1573,101.331,116.162,127.225,110.251,102.006,87.3536,124.102,112.203,113.999,100.311,107.111,95.444,121.249,108.337,119.343,83.2699,124.191
-231.919,1,0.799595,3,7,0,232.061,103.552,0.823753,13.5185,103.013,104.66,102.189,98.07,104.66,106.308,109.603,103.025,103.013,102.189,107.955,98.8938,105.484,103.836,108.779,100.541,99.7175,107.955,108.779,103.836,98.07,100.541,106.308,102.189,108.779,107.131,103.836,104.66,105.502,107.955,110.426,105.484,102.189,100.541,101.365,107.131,106.308,107.131,103.013,103.773,100.541,103.013,107.955,100.541,107.131,107.131,105.209,103.013,105.484,102.406,99.7175,104.66,106.741,100.541,98.07,98.07,103.013,105.502,104.66,103.013,99.7175,100.541,98.07,98.07,98.07,110.426,100.541,102.189,100.541,105.758,100.541,100.541,107.955,100.541,100.541,104.66,-6.50474,-4.16681,-6.35779,-9.8451,-3.60101,-3.5603,-3.52343,-3.59929,-3.98627,-3.92947,-3.91994,-3.86048,-4.09952,-3.62694,-3.52708,-3.76778,-3.52322,-3.53444,-3.52708,-3.62694,-3.53319,-3.76778,-3.63185,-3.53611,-3.52708,-3.54551,-3.56326,-3.72819,-4.16152,-3.53444,-3.82042,-3.5788,-3.53611,-3.76778,-4.4731,-3.97609,-3.5603,-3.54551,-3.65658,-3.56503,-3.76778,-3.54783,-3.53444,-3.5238,-8.55098,-8.55098,-3.52881,-3.54783,-4.09952,-3.54534,-3.78136,-3.52419,-4.26927,-3.5238,-3.53319,-3.53319,-3.54783,-4.16152,-3.58241,-3.98627,-3.81227,-3.76778,-3.53076,-3.70118,-3.70118,-3.5235,-3.76778,-3.92947,-3.76778,-3.94538,-3.5238,-3.76778,-3.53444,-3.5238,-3.5238,-3.60101,98.089,126.123,99.4325,107.309,113.787,112.457,98.3136,107.572,83.0008,108.09,108.994,109.497,114.581,112.594,102.138,113.584,104.501,131.341,108.456,136.303,82.1143,88.2384,96.9855,81.9416,101.293,109.454,94.0008,107.289,124.497,140.427,95.3011,75.5248,105.071,103.708,92.8267,121.506,95.4874,104.484,82.6396,102.941,99.1827,101.106,99.6685,102.055,95.9704,117.856,94.4484,119.151,87.9876,106.268,112.844,101.541,95.0962,101.243,101.579,121.936,91.2313,76.5403,107.832,120.285,73.9177,116.734,99.0843,89.2718,92.1652,111.857,114.131,93.9562,106.729,108.118,79.3731,103.93,80.0277,103.756,66.3642,128.651
-232.428,0.963452,0.799595,2,3,0,236.107,103.104,1.60325,12.2759,102.054,105.261,100.451,92.4347,105.261,108.467,114.88,102.078,102.054,100.451,111.674,94.0379,106.864,103.657,113.277,97.2444,95.6412,111.674,113.277,103.657,92.4347,97.2444,108.467,100.451,113.277,110.07,103.657,105.261,106.9,111.674,116.483,106.864,100.451,97.2444,98.8477,110.07,108.467,110.07,102.054,103.534,97.2444,102.054,111.674,97.2444,110.07,110.07,106.33,102.054,106.864,100.873,95.6412,105.261,109.311,97.2444,92.4347,92.4347,102.054,106.9,105.261,102.054,95.6412,97.2444,92.4347,92.4347,92.4347,116.483,97.2444,100.451,97.2444,107.398,97.2444,97.2444,111.674,97.2444,97.2444,105.261,-6.83565,-4.14738,-6.50315,-9.40117,-3.5011,-3.43437,-3.50559,-3.48889,-3.90868,-3.78896,-3.65659,-4.27194,-3.9991,-3.56005,-3.4622,-3.96641,-3.48961,-3.43587,-3.4622,-3.56005,-3.61647,-3.96641,-3.66445,-3.42725,-3.4622,-3.42659,-3.47096,-3.71112,-4.34909,-3.43587,-4.32807,-3.4592,-3.42725,-3.96641,-4.91108,-3.75371,-3.43437,-3.42659,-3.63605,-3.48394,-3.96641,-3.44057,-3.43587,-3.45177,-8.71657,-8.71657,-3.42695,-3.44057,-3.9991,-3.49052,-3.53216,-3.43185,-4.63514,-3.45177,-3.61647,-3.61647,-3.44057,-4.34909,-3.5184,-3.90868,-4.11065,-3.96641,-3.47836,-3.44624,-3.44624,-3.56604,-3.96641,-3.78896,-3.96641,-4.08294,-3.45177,-3.96641,-3.43587,-3.45177,-3.45177,-3.5011,94.4597,98.9563,110.864,102.828,113.544,82.0161,97.665,94.5367,99.6352,91.8972,109.851,94.898,134.668,113.653,107.995,104.78,83.9071,109.798,92.7914,94.4022,117.831,87.6109,124.401,101.049,111.136,107.226,83.2604,102.079,94.1396,109.83,115.037,104.118,94.6583,76.8162,109.9,126.169,104.284,118.696,103.434,96.6762,94.5443,105.101,125.551,92.6949,120.693,110.893,93.6316,98.7577,116.906,106.461,104.463,109.305,134.001,110.548,99.1181,96.7341,118.098,105.517,104.768,104.616,107.162,106.883,116.723,104.252,82.3914,112.038,115.726,89.9024,79.9439,98.5349,91.2322,104.755,141.081,100.353,87.7192,115.192
-233.795,0.695921,0.799595,2,3,0,235.835,101.975,1.12793,11.3682,101.236,103.492,100.108,94.4684,103.492,105.748,110.259,101.253,101.236,100.108,108.004,95.5963,104.62,102.364,109.132,97.8522,96.7242,108.004,109.132,102.364,94.4684,97.8522,105.748,100.108,109.132,106.876,102.364,103.492,104.645,108.004,111.387,104.62,100.108,97.8522,98.9801,106.876,105.748,106.876,101.236,102.277,97.8522,101.236,108.004,97.8522,106.876,106.876,104.244,101.236,104.62,100.405,96.7242,103.492,106.341,97.8522,94.4684,94.4684,101.236,104.645,103.492,101.236,96.7242,97.8522,94.4684,94.4684,94.4684,111.387,97.8522,100.108,97.8522,104.996,97.8522,97.8522,108.004,97.8522,97.8522,103.492,-7.12457,-4.4041,-6.85687,-11.0002,-3.51363,-3.41972,-3.35002,-3.39739,-3.8382,-3.74505,-3.90655,-4.15242,-4.26495,-3.57535,-3.35268,-3.92069,-3.39128,-3.36518,-3.35268,-3.57535,-3.46814,-3.92069,-3.47757,-3.34981,-3.35268,-3.38753,-3.37138,-3.56691,-4.1542,-3.36518,-3.85145,-3.46175,-3.34981,-3.92069,-5.05917,-4.01617,-3.41972,-3.38753,-3.64692,-3.46321,-3.92069,-3.35567,-3.36518,-3.36761,-10.5447,-10.5447,-3.37247,-3.35567,-4.26495,-3.44108,-3.52469,-3.35076,-4.35458,-3.36761,-3.46814,-3.46814,-3.35567,-4.1542,-3.39693,-3.8382,-4.03163,-3.92069,-3.36398,-3.42701,-3.42701,-3.35721,-3.92069,-3.74505,-3.92069,-3.87597,-3.36761,-3.92069,-3.36518,-3.36761,-3.36761,-3.51363,85.3009,126.67,115.504,110.385,105.639,114.82,104.602,111.016,119.888,104.838,109.541,97.9005,111.225,105.71,120.536,104.409,95.5777,123.407,116.364,92.9881,95.0243,86.9988,101.243,93.5795,129.107,89.1352,106.47,93.2078,108.438,103.532,122.054,122.471,101.839,96.7582,106.495,110.118,120.842,126.995,103.407,108.35,102.056,96.4983,92.2121,91.8934,90.7989,106.258,110.401,113.028,109.192,117.517,71.8741,100.717,112.216,91.2634,77.7106,95.329,96.9204,89.2113,84.4427,106.885,83.0478,95.2569,105.968,76.0327,76.0104,109.846,90.9519,102.02,100.082,88.5376,99.2428,94.4833,93.9502,89.5011,90.2605,128.871
