# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-17 20:17:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.90000000000000002
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbr7o873l\se6q4jj6.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220617221724_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.679311
# Diagonal elements of inverse mass matrix:
# 2.24121, 0.12195, 0.00647552
-233.382,1,0.679311,2,3,0,234.444,104.825,0.617171,14.6233,104.421,105.655,103.804,100.718,105.655,106.89,109.358,104.43,104.421,103.804,108.124,101.335,106.272,105.038,108.741,102.569,101.952,108.124,108.741,105.038,100.718,102.569,106.89,103.804,108.741,107.507,105.038,105.655,106.286,108.124,109.975,106.272,103.804,102.569,103.187,107.507,106.89,107.507,104.421,104.991,102.569,104.421,108.124,102.569,107.507,107.507,106.067,104.421,106.272,103.966,101.952,105.655,107.214,102.569,100.718,100.718,104.421,106.286,105.655,104.421,101.952,102.569,100.718,100.718,100.718,109.975,102.569,103.804,102.569,106.478,102.569,102.569,108.124,102.569,102.569,105.655,-6.37182,-4.08269,-6.27337,-9.61605,-3.64569,-3.62418,-3.60252,-3.70607,-4.08781,-4.04708,-3.93134,-3.77711,-4.04218,-3.65912,-3.60526,-3.73066,-3.61047,-3.60979,-3.60526,-3.65912,-3.60276,-3.73066,-3.71254,-3.63539,-3.60526,-3.61609,-3.66091,-3.81953,-4.20469,-3.60979,-3.83423,-3.63405,-3.63539,-3.73066,-4.26254,-3.9665,-3.62418,-3.61609,-3.67434,-3.61862,-3.73066,-3.64726,-3.60979,-3.61699,-7.82354,-7.82354,-3.6024,-3.64726,-4.04218,-3.60549,-3.93558,-3.60796,-4.2764,-3.61699,-3.60276,-3.60276,-3.64726,-4.20469,-3.67634,-4.08781,-3.75299,-3.73066,-3.64544,-3.87015,-3.87015,-3.60156,-3.73066,-4.04708,-3.73066,-4.00556,-3.61699,-3.73066,-3.60979,-3.61699,-3.61699,-3.64569,91.1319,122.946,90.3854,103.498,122.413,122.396,105.308,116.729,112.538,80.5373,106.414,104.244,93.9211,98.4537,105.391,94.177,92.2329,106.574,99.3318,112.547,94.4681,110.988,130.885,91.7406,115.954,86.3606,103.381,128.224,102.956,116.824,117.979,101.445,119.206,93.991,89.7974,116.609,130.477,117.865,93.124,115.021,124.533,97.0571,110.189,95.2338,98.1677,101.568,112.27,79.351,129.142,97.75,109.828,91.6945,99.502,97.5279,96.6979,104.922,111.789,88.6712,98.972,86.9922,96.0486,128.126,102.012,88.9136,76.9286,87.0264,133.893,94.5173,96.2243,84.5919,120.017,122.628,104.196,72.2767,92.2484,103.036
-232.11,1,0.679311,3,7,0,233.444,105.098,0.887938,13.7759,104.517,106.293,103.629,99.1891,106.293,108.068,111.62,104.53,104.517,103.629,109.844,100.077,107.181,105.405,110.732,101.853,100.965,109.844,110.732,105.405,99.1891,101.853,108.068,103.629,110.732,108.956,105.405,106.293,107.201,109.844,112.508,107.181,103.629,101.853,102.741,108.956,108.068,108.956,104.517,105.336,101.853,104.517,109.844,101.853,108.956,108.956,106.885,104.517,107.181,103.862,100.965,106.293,108.536,101.853,99.1891,99.1891,104.517,107.201,106.293,104.517,100.965,101.853,99.1891,99.1891,99.1891,112.508,101.853,103.629,101.853,107.477,101.853,101.853,109.844,101.853,101.853,106.293,-6.68084,-4.0369,-6.52142,-9.91668,-3.57807,-3.55169,-3.54878,-3.66318,-4.09708,-4.03124,-3.81359,-3.80128,-3.97484,-3.5975,-3.54327,-3.71674,-3.54431,-3.54192,-3.54327,-3.5975,-3.54359,-3.71674,-3.71338,-3.57655,-3.54327,-3.54473,-3.61882,-3.82097,-4.30105,-3.54192,-3.95407,-3.5628,-3.57655,-3.71674,-4.32668,-3.86319,-3.55169,-3.54473,-3.62107,-3.55648,-3.71674,-3.59561,-3.54192,-3.5509,-7.9802,-7.9802,-3.54198,-3.59561,-3.97484,-3.54703,-3.85863,-3.55571,-4.42518,-3.5509,-3.54359,-3.54359,-3.59561,-4.30105,-3.64618,-4.09708,-3.75693,-3.71674,-3.56257,-3.76433,-3.76433,-3.55843,-3.71674,-4.03124,-3.71674,-4.06888,-3.5509,-3.71674,-3.54192,-3.5509,-3.5509,-3.57807,90.468,103.805,103.467,100.868,110.401,134.429,129.048,99.1273,93.7811,99.5982,118.174,111.032,82.0212,110.095,95.4769,82.2999,99.4964,70.6146,105.561,100.988,93.3857,95.1392,115.652,115.159,98.1652,117.718,75.6063,106.305,103.332,106.129,124.694,123.586,114.676,99.2372,123.386,120.371,91.1858,88.383,97.3008,92.8948,95.3001,118.551,117.288,91.3793,103.637,109.892,92.8702,121.097,104.84,114.324,103.141,93.3929,140.12,95.2877,110.77,108.729,112.589,94.6355,103.577,114.271,137.958,107.147,95.9092,91.1524,94.7542,110.637,102.455,84.9952,99.8247,101.183,110.856,90.1753,119.525,121.474,124.169,106.398
-232.037,0.989571,0.679311,3,7,0,232.788,102.721,1.44345,12.6269,101.776,104.663,100.333,93.1153,104.663,107.55,113.324,101.798,101.776,100.333,110.437,94.5587,106.106,103.219,111.88,97.4456,96.0022,110.437,111.88,103.219,93.1153,97.4456,107.55,100.333,111.88,108.993,103.219,104.663,106.139,110.437,114.767,106.106,100.333,97.4456,98.8891,108.993,107.55,108.993,101.776,103.108,97.4456,101.776,110.437,97.4456,108.993,108.993,105.625,101.776,106.106,100.712,96.0022,104.663,108.309,97.4456,93.1153,93.1153,101.776,106.139,104.663,101.776,96.0022,97.4456,93.1153,93.1153,93.1153,114.767,97.4456,100.333,97.4456,106.587,97.4456,97.4456,110.437,97.4456,97.4456,104.663,-6.62121,-4.19244,-6.34007,-9.28434,-3.5441,-3.4736,-3.48941,-3.50629,-3.88965,-3.78957,-3.74158,-4.20249,-4.06013,-3.59895,-3.46586,-3.94904,-3.50489,-3.45537,-3.46586,-3.59895,-3.60342,-3.94904,-3.63352,-3.45512,-3.46586,-3.45795,-3.48727,-3.69011,-4.24891,-3.45537,-4.13862,-3.50232,-3.45512,-3.94904,-4.85239,-3.83469,-3.4736,-3.45795,-3.66687,-3.52067,-3.94904,-3.46466,-3.45537,-3.47523,-8.72811,-8.72811,-3.45817,-3.46466,-4.06013,-3.51972,-3.56775,-3.45615,-4.48032,-3.47523,-3.60342,-3.60342,-3.46466,-4.24891,-3.52295,-3.88965,-4.06923,-3.94904,-3.48831,-3.48521,-3.48521,-3.52603,-3.94904,-3.78957,-3.94904,-4.00567,-3.47523,-3.94904,-3.45537,-3.47523,-3.47523,-3.5441,119.491,91.4441,106.806,87.9364,94.4157,106.257,111.521,103.162,116.468,105.448,110.401,77.706,86.3805,95.7299,106.749,91.0522,107.126,97.4277,132.802,101.223,112.97,79.1992,114.918,83.8916,84.3401,81.9721,114.485,107.979,111.774,99.8344,115.474,91.9773,92.9761,120.286,81.1244,92.5575,99.6929,113.048,94.9179,121.75,98.4335,101.217,124.588,101.188,99.361,121,93.9722,100.956,99.5882,83.8828,83.5025,116.014,115.722,93.5795,75.4159,118.86,118.877,123.817,107.048,111.852,89.7185,108.289,113.832,98.3695,94.8229,117.326,104.782,104.049,110.113,113.87,96.1721,114.554,118.47,87.0317,98.063,92.6078
-232.607,0.927619,0.679311,3,7,0,233.893,105.315,1.19882,11.5805,104.53,106.928,103.331,97.3372,106.928,109.325,114.121,104.548,104.53,103.331,111.723,98.536,108.127,105.729,112.922,100.934,99.7349,111.723,112.922,105.729,97.3372,100.934,109.325,103.331,112.922,110.524,105.729,106.928,108.154,111.723,115.319,108.127,103.331,100.934,102.132,110.524,109.325,110.524,104.53,105.637,100.934,104.53,111.723,100.934,110.524,110.524,107.727,104.53,108.127,103.647,99.7349,106.928,109.956,100.934,97.3372,97.3372,104.53,108.154,106.928,104.53,99.7349,100.934,97.3372,97.3372,97.3372,115.319,100.934,103.331,100.934,108.526,100.934,100.934,111.723,100.934,100.934,106.928,-7.81366,-4.00537,-7.51035,-11.7228,-3.40345,-3.36996,-3.43157,-3.54085,-4.1554,-4.03088,-3.62368,-3.85825,-3.89388,-3.43627,-3.40009,-3.67472,-3.36852,-3.37933,-3.40009,-3.43627,-3.3947,-3.67472,-3.69249,-3.40964,-3.40009,-3.36929,-3.49063,-3.81348,-4.5666,-3.37933,-4.24325,-3.38135,-3.40964,-3.67472,-4.55852,-3.70303,-3.36996,-3.36929,-3.47981,-3.38402,-3.67472,-3.44478,-3.37933,-3.37151,-9.17826,-9.17826,-3.37245,-3.44478,-3.89388,-3.378,-3.72159,-3.40022,-4.81972,-3.37151,-3.3947,-3.3947,-3.44478,-4.5666,-3.5472,-4.1554,-3.76113,-3.67472,-3.37164,-3.56898,-3.56898,-3.47376,-3.67472,-4.03088,-3.67472,-4.22885,-3.37151,-3.67472,-3.37933,-3.37151,-3.37151,-3.40345,104.861,98.9188,101.336,123.394,92.4565,83.0218,116.945,82.1247,88.8712,107.919,118.117,103.75,96.8043,89.0326,108.061,93.1276,97.9467,112.531,110.074,101.107,88.6655,95.4181,121.48,124.423,111.424,107.313,83.9144,119.993,108.086,127.099,107.592,109.651,121.878,112.058,106.998,118.892,102.241,118.911,108.541,120.374,90.2057,117.099,104.657,91.248,119.447,101.98,89.4519,128.496,123.082,96.7675,111.257,99.9621,84.4849,89.8437,101.772,112.787,101.335,98.9705,109.988,106.953,94.9132,104.562,90.2304,89.5602,92.178,92.2546,86.7987,111.243,114.121,105.441,102.396,122.035,115.877,102.187,85.3623,93.9977
-232.23,0.995763,0.679311,3,7,0,233.422,105.012,1.59911,12.7784,103.964,107.162,102.365,94.3696,107.162,110.361,116.757,103.988,103.964,102.365,113.559,95.9687,108.762,105.563,115.158,99.1669,97.5678,113.559,115.158,105.563,94.3696,99.1669,110.361,102.365,115.158,111.96,105.563,107.162,108.798,113.559,118.356,108.762,102.365,99.1669,100.766,111.96,110.361,111.96,103.964,105.44,99.1669,103.964,113.559,99.1669,111.96,111.96,108.229,103.964,108.762,102.786,97.5678,107.162,111.202,99.1669,94.3696,94.3696,103.964,108.798,107.162,103.964,97.5678,99.1669,94.3696,94.3696,94.3696,118.356,99.1669,102.365,99.1669,109.295,99.1669,99.1669,113.559,99.1669,99.1669,107.162,-6.99902,-3.97133,-6.67423,-9.49488,-3.49135,-3.4671,-3.60651,-3.58608,-4.0638,-3.93488,-3.59373,-4.06955,-3.85344,-3.52697,-3.54816,-3.82605,-3.48481,-3.50548,-3.54816,-3.52697,-3.56377,-3.82605,-3.79539,-3.48383,-3.54816,-3.47846,-3.56147,-3.84823,-4.52288,-3.50548,-4.49847,-3.47139,-3.48383,-3.82605,-4.5995,-3.66464,-3.4671,-3.47846,-3.57825,-3.48223,-3.82605,-3.51482,-3.50548,-3.46882,-7.89768,-7.89768,-3.47417,-3.51482,-3.85344,-3.48549,-3.64207,-3.49732,-4.81409,-3.46882,-3.56377,-3.56377,-3.51482,-4.52288,-3.62378,-4.0638,-3.93997,-3.82605,-3.47914,-3.52516,-3.52516,-3.68051,-3.82605,-3.93488,-3.82605,-4.2468,-3.46882,-3.82605,-3.50548,-3.46882,-3.46882,-3.49135,105.926,121.12,105.544,82.8942,104.658,128.809,113.821,97.1253,93.0442,96.9937,126.536,104.584,116.168,84.1738,120.199,92.2498,104.14,105.48,121.056,72.3236,95.5689,113.706,119.15,101.608,98.7588,92.899,94.6827,110.807,104.099,113.514,110.115,109.832,100.84,112.158,92.631,100.707,101.436,99.976,102.216,128.537,103.449,119.876,114.595,96.6987,92.385,107.293,128.359,114.217,108.199,119.116,96.4221,87.6651,127.297,116.411,106.735,63.6913,113.092,93.6001,98.6647,96.2109,97.3123,98.5816,115.232,109.996,113.609,116.234,111.176,98.1929,112.736,104.534,100.738,102.461,100.48,73.7668,96.7683,100.341
-233.5,0.89614,0.679311,2,3,0,233.992,106.497,1.62668,12.8297,105.432,108.685,103.805,95.6717,108.685,111.938,118.445,105.456,105.432,103.805,115.192,97.2984,110.312,107.058,116.818,100.552,98.925,115.192,116.818,107.058,95.6717,100.552,111.938,103.805,116.818,113.565,107.058,108.685,110.348,115.192,120.072,110.312,103.805,100.552,102.178,113.565,111.938,113.565,105.432,106.933,100.552,105.432,115.192,100.552,113.565,113.565,109.77,105.432,110.312,104.233,98.925,108.685,112.795,100.552,95.6717,95.6717,105.432,110.348,108.685,105.432,98.925,100.552,95.6717,95.6717,95.6717,120.072,100.552,103.805,100.552,110.854,100.552,100.552,115.192,100.552,100.552,108.685,-7.28416,-3.8596,-6.94205,-9.80689,-3.47596,-3.48212,-3.68735,-3.65136,-4.19408,-4.04961,-3.54093,-3.96077,-3.75582,-3.49699,-3.61193,-3.74187,-3.47422,-3.55258,-3.61193,-3.49699,-3.52761,-3.74187,-3.90365,-3.51469,-3.61193,-3.50931,-3.62204,-3.95949,-4.70073,-3.55258,-4.6945,-3.471,-3.51469,-3.74187,-4.43548,-3.59649,-3.48212,-3.50931,-3.5341,-3.47246,-3.74187,-3.56033,-3.55258,-3.47163,-7.50315,-7.50315,-3.49995,-3.56033,-3.75582,-3.47393,-3.71267,-3.53738,-5.01795,-3.47163,-3.52761,-3.52761,-3.56033,-4.70073,-3.69984,-4.19408,-3.84328,-3.74187,-3.47225,-3.56842,-3.56842,-3.77885,-3.74187,-4.04961,-3.74187,-4.40318,-3.47163,-3.74187,-3.55258,-3.47163,-3.47163,-3.47596,92.4204,110.494,91.1876,113.666,72.8888,92.9523,104.392,108.265,112.181,111.104,129.448,122.19,126.784,128.231,131.319,104.305,114.417,105.454,89.107,105.758,88.8139,111.185,160.281,76.9848,128.722,100.31,104.142,143.269,106.022,103.48,109.202,120.902,114.245,84.2635,109.137,134.029,92.5957,111.047,117.116,102.555,113.43,95.8483,121.118,98.0681,95.862,126.7,112.272,95.219,115.906,85.8885,92.7662,110.9,123.096,126.94,55.3769,85.2509,122.506,128.639,91.2619,114.272,105.241,94.1817,70.308,105.984,97.1505,102.658,101.518,92.5288,111.505,128.572,75.6691,104.811,121.771,114.646,86.8116,86.939
