# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-17 20:17:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.90000000000000002
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbr7o873l\se6q4jj6.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220617221724_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.806033
# Diagonal elements of inverse mass matrix:
# 2.09135, 0.138425, 0.00591316
-233.48,0.828278,0.806033,2,3,0,235.581,103.024,0.707473,14.8686,102.56,103.975,101.853,98.3156,103.975,105.39,108.22,102.571,102.56,101.853,106.805,99.023,104.683,103.268,107.513,100.438,99.7305,106.805,107.513,103.268,98.3156,100.438,105.39,101.853,107.513,106.098,103.268,103.975,104.699,106.805,108.928,104.683,101.853,100.438,101.145,106.098,105.39,106.098,102.56,103.213,100.438,102.56,106.805,100.438,106.098,106.098,104.447,102.56,104.683,102.039,99.7305,103.975,105.763,100.438,98.3156,98.3156,102.56,104.699,103.975,102.56,99.7305,100.438,98.3156,98.3156,98.3156,108.928,100.438,101.853,100.438,104.919,100.438,100.438,106.805,100.438,100.438,103.975,-6.01598,-4.19896,-5.91292,-8.89786,-3.70028,-3.66625,-3.62535,-3.67088,-3.975,-3.93594,-4.01195,-3.89071,-4.14881,-3.72069,-3.63218,-3.82498,-3.61835,-3.64127,-3.63218,-3.72069,-3.6246,-3.82498,-3.6839,-3.62595,-3.63218,-3.65263,-3.64234,-3.76204,-4.09195,-3.64127,-3.79845,-3.68213,-3.62595,-3.82498,-4.4222,-4.05531,-3.66625,-3.65263,-3.74337,-3.66356,-3.82498,-3.63301,-3.64127,-3.61862,-7.97737,-7.97737,-3.62933,-3.63301,-4.14881,-3.6417,-3.83233,-3.61819,-4.16416,-3.61862,-3.6246,-3.6246,-3.63301,-4.09195,-3.65393,-3.975,-3.85671,-3.82498,-3.62661,-3.77458,-3.77458,-3.62079,-3.82498,-3.93594,-3.82498,-3.92175,-3.61862,-3.82498,-3.64127,-3.61862,-3.61862,-3.70028,98.533,109.691,110.827,79.5393,86.0912,111.377,88.0152,82.0074,116.328,105.681,117.699,85.9938,124.47,109.188,110.339,104.263,90.953,92.9286,129.868,112.032,78.1878,116.265,89.3015,126.749,129.265,92.9144,81.5824,116.755,108.395,100.524,92.4295,96.4303,106.101,120.212,95.4637,83.4079,97.4175,87.4348,100.479,93.1641,106.809,86.9338,128.312,113.455,132.52,120.454,120.594,86.3775,127.528,118.063,115.609,104.557,67.2304,95.5694,79.4429,88.3602,133.997,87.1487,142.26,110.777,120.806,85.781,91.8682,85.146,100.651,119.784,77.8548,111.851,107.782,107.46,106.72,104.668,80.8214,61.7249,91.212,109.392
-232.231,0.991967,0.806033,2,3,0,234.146,105.408,0.86825,12.39,104.839,106.576,103.971,99.6295,106.576,108.312,111.785,104.852,104.839,103.971,110.049,100.498,107.444,105.707,110.917,102.234,101.366,110.049,110.917,105.707,99.6295,102.234,108.312,103.971,110.917,109.18,105.707,106.576,107.463,110.049,112.653,107.444,103.971,102.234,103.103,109.18,108.312,109.18,104.839,105.64,102.234,104.839,110.049,102.234,109.18,109.18,107.154,104.839,107.444,104.199,101.366,106.576,108.769,102.234,99.6295,99.6295,104.839,107.463,106.576,104.839,101.366,102.234,99.6295,99.6295,99.6295,112.653,102.234,103.971,102.234,107.733,102.234,102.234,110.049,102.234,102.234,106.576,-7.38915,-4.02281,-7.19456,-11.4583,-3.47402,-3.4451,-3.4462,-3.60037,-4.15303,-4.07155,-3.75838,-3.72991,-3.94933,-3.49584,-3.43856,-3.63225,-3.4419,-3.43583,-3.43856,-3.49584,-3.43627,-3.63225,-3.66086,-3.48718,-3.43856,-3.43801,-3.54192,-3.8001,-4.40364,-3.43583,-3.9573,-3.45711,-3.48718,-3.63225,-4.36581,-3.81712,-3.4451,-3.43801,-3.52258,-3.44954,-3.63225,-3.51209,-3.43583,-3.45208,-8.86296,-8.86296,-3.4366,-3.51209,-3.94933,-3.43951,-3.8566,-3.45743,-4.55581,-3.45208,-3.43627,-3.43627,-3.51209,-4.40364,-3.57665,-4.15303,-3.67863,-3.63225,-3.4701,-3.73785,-3.73785,-3.45875,-3.63225,-4.07155,-3.63225,-4.1112,-3.45208,-3.63225,-3.43583,-3.45208,-3.45208,-3.47402,97.8931,103.721,113.628,107.367,120.968,96.0604,123.145,101.163,91.6985,79.1239,107.622,123.927,129.115,101.747,95.5319,96.0458,93.2541,107.893,114.687,121.746,97.2315,87.4636,94.1389,101.307,113.289,98.5192,98.9754,109.052,100.322,102.301,129.5,120.041,83.4336,100.284,89.2348,129.185,103.82,109.576,124.564,89.1107,122.887,132.272,104.404,109.648,106.564,99.3523,131.107,89.1826,96.3476,94.7979,109.571,113.031,139.132,110.776,95.9802,117.672,115.341,117.437,106.751,103.01,121.161,115.492,119.639,103.074,82.1453,122.709,114.859,117.623,74.6033,90.6318,94.866,98.1318,97.7849,97.5479,95.9925,98.7615
-231.711,0.756628,0.806033,1,3,0,234.625,102.985,1.27036,13.3482,102.153,104.694,100.883,94.5307,104.694,107.234,112.316,102.172,102.153,100.883,109.775,95.8011,105.964,103.423,111.045,98.3418,97.0715,109.775,111.045,103.423,94.5307,98.3418,107.234,100.883,111.045,108.505,103.423,104.694,105.993,109.775,113.586,105.964,100.883,98.3418,99.6122,108.505,107.234,108.505,102.153,103.326,98.3418,102.153,109.775,98.3418,108.505,108.505,105.541,102.153,105.964,101.217,97.0715,104.694,107.903,98.3418,94.5307,94.5307,102.153,105.993,104.694,102.153,97.0715,98.3418,94.5307,94.5307,94.5307,113.586,98.3418,100.883,98.3418,106.387,98.3418,98.3418,109.775,98.3418,98.3418,104.694,-6.41142,-4.16778,-6.18671,-9.07503,-3.58934,-3.53179,-3.52537,-3.56534,-3.92478,-3.84266,-3.80371,-4.07608,-4.06317,-3.6317,-3.51339,-3.89172,-3.53439,-3.51046,-3.51339,-3.6317,-3.59426,-3.89172,-3.65719,-3.51251,-3.51339,-3.5166,-3.54321,-3.72242,-4.20795,-3.51046,-4.02831,-3.55603,-3.51251,-3.89172,-4.67677,-3.88114,-3.53179,-3.5166,-3.68312,-3.56383,-3.89172,-3.52333,-3.51046,-3.51804,-8.34224,-8.34224,-3.51388,-3.52333,-4.06317,-3.55627,-3.65065,-3.51167,-4.38724,-3.51804,-3.59426,-3.59426,-3.52333,-4.20795,-3.57214,-3.92478,-3.97937,-3.89172,-3.51998,-3.56793,-3.56793,-3.54641,-3.89172,-3.84266,-3.89172,-3.98853,-3.51804,-3.89172,-3.51046,-3.51804,-3.51804,-3.58934,92.0462,111.871,110.882,101.118,105.07,94.9406,104.753,101.199,102.128,90.4452,107.023,106.339,103.94,104.741,108.557,111.473,111.421,106.516,82.7113,88.1215,103.059,95.1369,114.972,103.127,86.0539,107.898,98.5711,73.698,111.381,116.317,129.575,96.866,99.9147,75.9266,91.667,122,96.1586,98.8986,126.098,99.48,112.378,95.8414,99.3428,96.7257,117.359,108.965,110.955,126.656,132.137,113.174,96.7332,94.4166,98.963,92.0728,104.314,95.2563,88.468,127.676,109.188,110.198,70.1774,108.965,96.7756,107.385,75.5547,121.265,105.521,92.7775,98.9643,111.958,106.999,111.614,126.249,85.6166,133.023,121.388
-231.55,0.969584,0.806033,3,7,0,232.148,103.909,1.41458,12.6805,102.982,105.811,101.568,94.4946,105.811,108.64,114.299,103.003,102.982,101.568,111.47,95.9092,107.226,104.397,112.884,98.7384,97.3238,111.47,112.884,104.397,94.4946,98.7384,108.64,101.568,112.884,110.055,104.397,105.811,107.258,111.47,115.713,107.226,101.568,98.7384,100.153,110.055,108.64,110.055,102.982,104.288,98.7384,102.982,111.47,98.7384,110.055,110.055,106.754,102.982,107.226,101.94,97.3238,105.811,109.385,98.7384,94.4946,94.4946,102.982,107.258,105.811,102.982,97.3238,98.7384,94.4946,94.4946,94.4946,115.713,98.7384,101.568,98.7384,107.697,98.7384,98.7384,111.47,98.7384,98.7384,105.811,-6.84163,-4.08502,-6.55769,-9.61518,-3.51356,-3.46475,-3.51647,-3.54501,-3.98307,-3.87509,-3.68528,-4.0764,-3.96641,-3.55664,-3.48487,-3.85337,-3.48128,-3.46572,-3.48487,-3.55664,-3.55325,-3.85337,-3.69116,-3.46665,-3.48487,-3.45902,-3.51912,-3.75833,-4.36107,-3.46572,-4.22678,-3.48294,-3.46665,-3.85337,-4.68387,-3.76655,-3.46475,-3.45902,-3.61215,-3.49505,-3.85337,-3.48666,-3.46572,-3.46396,-8.42058,-8.42058,-3.45903,-3.48666,-3.96641,-3.49335,-3.6258,-3.46921,-4.60046,-3.46396,-3.55325,-3.55325,-3.48666,-4.36107,-3.56402,-3.98307,-3.95866,-3.85337,-3.47012,-3.52182,-3.52182,-3.56051,-3.85337,-3.87509,-3.85337,-4.10059,-3.46396,-3.85337,-3.46572,-3.46396,-3.46396,-3.51356,85.4432,78.4015,95.4535,111.747,92.9666,108.73,113.242,107.164,80.3963,81.4766,96.7638,95.784,120.724,98.1465,116.103,83.6241,112.064,115.812,104.157,117.215,91.2801,100.064,120.852,125.201,120.87,109.828,112.536,101.354,111.543,104.357,109.044,114.989,109.077,106.524,115.721,84.6369,120.778,116.334,130.978,102.123,102.998,83.1321,127.758,108.068,110.497,118.687,100.965,85.2055,110.99,86.6355,103.568,106.019,87.3206,127.525,96.4443,101.318,103.317,120.206,100.719,112.459,93.8063,110.274,116.446,94.3817,102.42,114.003,84.3105,97.3321,103.944,113.93,83.1388,109.436,110.956,94.965,110.16,105.859
-232.561,0.915642,0.806033,2,3,0,232.788,103.799,1.55307,14.1743,102.782,105.888,101.229,93.4633,105.888,108.994,115.206,102.805,102.782,101.229,112.1,95.0164,107.441,104.335,113.653,98.1226,96.5695,112.1,113.653,104.335,93.4633,98.1226,108.994,101.229,113.653,110.547,104.335,105.888,107.476,112.1,116.759,107.441,101.229,98.1226,99.6756,110.547,108.994,110.547,102.782,104.215,98.1226,102.782,112.1,98.1226,110.547,110.547,106.923,102.782,107.441,101.637,96.5695,105.888,109.811,98.1226,93.4633,93.4633,102.782,107.476,105.888,102.782,96.5695,98.1226,93.4633,93.4633,93.4633,116.759,98.1226,101.229,98.1226,107.959,98.1226,98.1226,112.1,98.1226,98.1226,105.888,-6.24481,-4.06599,-5.99741,-8.27164,-3.61245,-3.57288,-3.63782,-3.6341,-3.97695,-3.88415,-3.72568,-4.12909,-3.9629,-3.65024,-3.60358,-3.92145,-3.59965,-3.58134,-3.60358,-3.65024,-3.6767,-3.92145,-3.77168,-3.57412,-3.60358,-3.57111,-3.61713,-3.81369,-4.31094,-3.58134,-4.26938,-3.58666,-3.57412,-3.92145,-4.59839,-3.79275,-3.57288,-3.57111,-3.70003,-3.60045,-3.92145,-3.58962,-3.58134,-3.57914,-7.44407,-7.44407,-3.57053,-3.58962,-3.9629,-3.60308,-3.67777,-3.57924,-4.52504,-3.57914,-3.6767,-3.6767,-3.58962,-4.31094,-3.65664,-3.97695,-4.01927,-3.92145,-3.59162,-3.60022,-3.60022,-3.68407,-3.92145,-3.88415,-3.92145,-4.1027,-3.57914,-3.92145,-3.58134,-3.57914,-3.57914,-3.61245,73.2874,119.041,90.1871,71.07,111.584,105.141,114.966,112.849,121.07,119.519,120.11,114.276,96.5757,90.704,101.851,114.783,96.4171,114.599,118.766,116.132,85.9773,96.4343,134.05,104.114,110.843,106.793,101.919,101.206,114.58,126.881,106.149,116.061,113.739,89.8953,94.8835,144.177,106.975,110.401,89.5933,115.117,78.7777,105.208,101.778,106.205,120.337,92.4002,112.147,95.9241,84.4816,114.742,101.765,122.325,106.728,113.73,86.3771,72.2253,88.8929,90.4852,92.2955,96.76,114.781,93.8901,99.8136,68.5486,80.5932,117.737,114.539,85.1514,85.9493,108.399,94.4635,75.5831,107.733,69.7628,100.516,110.333
-235.695,0.813022,0.806033,2,3,0,236.235,106.651,1.88518,14.9408,105.417,109.187,103.532,94.1058,109.187,112.958,120.498,105.445,105.417,103.532,116.728,95.991,111.072,107.302,118.613,99.7613,97.8761,116.728,118.613,107.302,94.1058,99.7613,112.958,103.532,118.613,114.843,107.302,109.187,111.115,116.728,122.383,111.072,103.532,99.7613,101.647,114.843,112.958,114.843,105.417,107.157,99.7613,105.417,116.728,99.7613,114.843,114.843,110.444,105.417,111.072,104.028,97.8761,109.187,113.95,99.7613,94.1058,94.1058,105.417,111.115,109.187,105.417,97.8761,99.7613,94.1058,94.1058,94.1058,122.383,99.7613,103.532,99.7613,111.701,99.7613,99.7613,116.728,99.7613,99.7613,109.187,-6.43263,-3.88491,-6.14149,-7.98031,-3.62451,-3.64262,-3.8699,-3.75586,-4.1554,-4.03317,-3.64701,-4.06261,-3.80156,-3.63934,-3.7892,-3.85784,-3.63314,-3.72442,-3.7892,-3.63934,-3.70085,-3.85784,-3.9991,-3.65097,-3.7892,-3.67556,-3.74246,-4.01255,-4.60044,-3.72442,-4.74525,-3.62561,-3.65097,-3.85784,-4.37754,-3.68261,-3.64262,-3.67556,-3.67008,-3.62367,-3.85784,-3.68875,-3.72442,-3.62316,-6.3916,-6.3916,-3.65499,-3.68875,-3.80156,-3.62645,-3.76198,-3.6833,-4.88372,-3.62316,-3.70085,-3.70085,-3.68875,-4.60044,-3.81209,-4.1554,-3.95227,-3.85784,-3.63467,-3.66079,-3.66079,-3.96652,-3.85784,-4.03317,-3.85784,-4.37868,-3.62316,-3.85784,-3.72442,-3.62316,-3.62316,-3.62451,99.2967,100.99,125.79,68.5641,116.698,97.6574,144.367,108.523,119.705,104.844,124.185,100.006,124.99,109.379,103.486,90.4615,133.117,122.181,92.6283,91.8619,99.2516,95.311,100.84,81.1021,112.921,141.015,126.487,95.3224,138.093,108.957,105.406,103.925,104.567,113.008,107.359,119.363,123.894,151.522,110.553,141.828,107.179,92.194,142.303,104.943,103.977,97.2087,123.56,87.921,109.876,105.961,114.062,97.4966,120.147,74.9088,95.6369,89.6921,111.628,102.048,97.7254,78.9619,101.054,97.6237,121.997,85.0761,93.397,131.753,121.403,107.313,93.1356,124.659,66.6571,78.9099,133.445,119.233,106.936,100.386
