# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-17 20:17:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.98999999999999999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbr7o873l\yvod17fh.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220617221740_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.258098
# Diagonal elements of inverse mass matrix:
# 1.85962, 0.155874, 0.00541953
-234.903,0.954696,0.258098,4,15,0,239.325,101.535,1.33768,11.1833,100.659,103.334,99.3211,92.6327,103.334,106.009,111.36,100.679,100.659,99.3211,108.685,93.9704,104.672,101.996,110.022,96.6457,95.3081,108.685,110.022,101.996,92.6327,96.6457,106.009,99.3211,110.022,107.347,101.996,103.334,104.702,108.685,112.698,104.672,99.3211,96.6457,97.9834,107.347,106.009,107.347,100.659,101.894,96.6457,100.659,108.685,96.6457,107.347,107.347,104.226,100.659,104.672,99.6731,95.3081,103.334,106.713,96.6457,92.6327,92.6327,100.659,104.702,103.334,100.659,95.3081,96.6457,92.6327,92.6327,92.6327,112.698,96.6457,99.3211,96.6457,105.118,96.6457,96.6457,108.685,96.6457,96.6457,103.334,-7.09119,-4.44378,-6.77043,-10.5997,-3.511,-3.39703,-3.34076,-3.36779,-3.78756,-3.68071,-3.84522,-4.36061,-4.27268,-3.58945,-3.33336,-4.04633,-3.42137,-3.34028,-3.33336,-3.58945,-3.55036,-4.04633,-3.47774,-3.33521,-3.33336,-3.3615,-3.3493,-3.5484,-4.17118,-3.34028,-3.97796,-3.44686,-3.33521,-4.04633,-5.27125,-3.9734,-3.39703,-3.3615,-3.68221,-3.46779,-4.04633,-3.3351,-3.34028,-3.37834,-10.6065,-10.6065,-3.35718,-3.3351,-4.27268,-3.45829,-3.446,-3.33514,-4.42019,-3.37834,-3.55036,-3.55036,-3.3351,-4.17118,-3.3778,-3.78756,-4.19631,-4.04633,-3.38967,-3.36107,-3.36107,-3.36246,-4.04633,-3.68071,-4.04633,-3.88855,-3.37834,-4.04633,-3.34028,-3.37834,-3.37834,-3.511,95.4049,113.184,102.94,80.278,96.6034,86.1874,119.826,70.5556,107.039,78.8249,99.1274,87.549,84.0455,104.594,100.787,91.7618,112.928,107.914,102.666,121.862,89.7855,84.7234,103.397,89.3473,111.417,122.614,110.785,92.6797,94.046,116.57,107.585,103.822,110.422,86.9161,107.932,113.222,100.547,122.04,109.753,111.55,95.0229,103.255,111.737,104.537,85.7636,109.468,94.1784,100.537,122.36,103.388,104.933,100.14,93.1208,93.1355,119.31,81.3736,92.1775,120.856,108.48,102.065,113.202,112.494,88.4911,73.4719,96.6048,118.358,98.0301,95.8384,101.24,96.3044,97.407,100.73,109.807,93.0254,97.6723,96.9212
-234.043,0.996144,0.258098,3,7,0,236.146,101.929,1.44047,11.4105,100.985,103.866,99.5449,92.3426,103.866,106.747,112.509,101.007,100.985,99.5449,109.628,93.7831,105.307,102.426,111.069,96.664,95.2235,109.628,111.069,102.426,92.3426,96.664,106.747,99.5449,111.069,108.188,102.426,103.866,105.339,109.628,113.95,105.307,99.5449,96.664,98.1045,108.188,106.747,108.188,100.985,102.315,96.664,100.985,109.628,96.664,108.188,108.188,104.827,100.985,105.307,99.924,95.2235,103.866,107.505,96.664,92.3426,92.3426,100.985,105.339,103.866,100.985,95.2235,96.664,92.3426,92.3426,92.3426,113.95,96.664,99.5449,96.664,105.787,96.664,96.664,109.628,96.664,96.664,103.866,-7.04046,-4.35307,-6.70563,-10.2386,-3.49795,-3.39411,-3.37765,-3.39436,-3.81691,-3.70334,-3.76659,-4.36341,-4.18254,-3.57378,-3.35786,-4.03646,-3.44109,-3.35401,-3.35786,-3.57378,-3.57865,-4.03646,-3.52831,-3.35427,-3.35786,-3.36609,-3.37608,-3.59111,-4.23068,-3.35401,-4.10075,-3.43806,-3.35427,-4.03646,-5.19454,-3.8893,-3.39411,-3.36609,-3.66554,-3.46452,-4.03646,-3.35721,-3.35401,-3.39621,-10.0672,-10.0672,-3.36648,-3.35721,-4.18254,-3.46295,-3.45826,-3.35355,-4.50014,-3.39621,-3.57865,-3.57865,-3.35721,-4.23068,-3.41088,-3.81691,-4.19197,-4.03646,-3.41625,-3.37455,-3.37455,-3.41338,-4.03646,-3.70334,-4.03646,-3.94907,-3.39621,-4.03646,-3.35401,-3.39621,-3.39621,-3.49795,112.837,106.432,86.0712,80.8561,104.648,98.7307,107.765,121.671,109.568,102.43,112.197,109.556,99.5388,97.9605,106.617,96.8726,94.8418,115.536,103.885,130.676,109.952,107.476,102.253,111.992,134.376,93.2744,110.26,108.149,85.9035,106.129,112.151,113.575,96.8707,90.7133,88.5073,95.8854,117.704,120.393,101.834,115.193,87.8126,116.199,91.3932,110.76,104.403,119.819,78.9068,111.592,120.889,81.4945,104.198,90.3575,104.738,93.1109,90.0977,104.535,92.8259,105.295,123.086,84.9718,90.3288,108.727,112.546,90.061,106.185,105.004,104.123,102.145,93.9585,121.894,94.0688,77.8293,105.195,83.4018,122.857,101.51
-233.424,0.999205,0.258098,3,7,0,234.697,102.232,1.62503,11.9606,101.167,104.418,99.5424,91.4173,104.418,107.668,114.168,101.192,101.167,99.5424,110.918,93.0423,106.043,102.792,112.543,96.2924,94.6673,110.918,112.543,102.792,91.4173,96.2924,107.668,99.5424,112.543,109.293,102.792,104.418,106.079,110.918,115.793,106.043,99.5424,96.2924,97.9174,109.293,107.668,109.293,101.167,102.667,96.2924,101.167,110.918,96.2924,109.293,109.293,105.501,101.167,106.043,99.9701,94.6673,104.418,108.523,96.2924,91.4173,91.4173,101.167,106.079,104.418,101.167,94.6673,96.2924,91.4173,91.4173,91.4173,115.793,96.2924,99.5424,96.2924,106.584,96.2924,96.2924,110.918,96.2924,96.2924,104.418,-6.79576,-4.24922,-6.45095,-9.39607,-3.50948,-3.41957,-3.46127,-3.4421,-3.83644,-3.71882,-3.68887,-4.40563,-4.08145,-3.58212,-3.42315,-4.05729,-3.49995,-3.4035,-3.42315,-3.58212,-3.65802,-4.05729,-3.60604,-3.40129,-3.42315,-3.40231,-3.42781,-3.6482,-4.27901,-3.4035,-4.27227,-3.4553,-3.40129,-4.05729,-5.10493,-3.80127,-3.41957,-3.40231,-3.67323,-3.48881,-4.05729,-3.40532,-3.4035,-3.4486,-9.19231,-9.19231,-3.40531,-3.40532,-4.08145,-3.49848,-3.4767,-3.40117,-4.57069,-3.4486,-3.65802,-3.65802,-3.40532,-4.27901,-3.46876,-3.83644,-4.22223,-4.05729,-3.48683,-3.40758,-3.40758,-3.51784,-4.05729,-3.71882,-4.05729,-4.01425,-3.4486,-4.05729,-3.4035,-3.4486,-3.4486,-3.50948,91.5275,106.257,101.806,92.5265,86.3958,90.0045,132.065,121.956,73.2224,135.435,117.906,110.724,102.78,105.748,108.195,93.068,78.4999,101.066,110.197,103.075,91.6489,107.354,98.7664,104.438,110.765,94.1644,99.3485,110.181,109.267,86.2414,94.3088,96.9125,113.91,95.0268,98.3306,115.271,102.442,116.974,91.956,85.9655,81.9526,99.2221,113.179,110.254,104.392,107.328,112.017,86.1879,94.2136,95.6922,121.557,97.7785,106.655,93.1787,91.671,104.568,100.776,103.484,96.8044,94.4566,109.152,81.2132,105.796,77.6792,101.88,110.361,78.3852,89.9532,72.4823,103.686,95.206,89.0274,93.4423,77.6142,78.2929,95.8887
-232.93,1,0.258098,3,7,0,233.82,102.146,1.41343,11.9275,101.22,104.047,99.8066,92.7395,104.047,106.874,112.527,101.241,101.22,99.8066,109.701,94.1529,105.46,102.633,111.114,96.9797,95.5663,109.701,111.114,102.633,92.7395,96.9797,106.874,99.8066,111.114,108.287,102.633,104.047,105.492,109.701,113.941,105.46,99.8066,96.9797,98.3932,108.287,106.874,108.287,101.22,102.525,96.9797,101.22,109.701,96.9797,108.287,108.287,104.989,101.22,105.46,100.179,95.5663,104.047,107.618,96.9797,92.7395,92.7395,101.22,105.492,104.047,101.22,95.5663,96.9797,92.7395,92.7395,92.7395,113.941,96.9797,99.8066,96.9797,105.931,96.9797,96.9797,109.701,96.9797,96.9797,104.047,-6.82342,-4.29225,-6.52026,-9.81774,-3.52234,-3.43213,-3.42023,-3.44076,-3.84023,-3.73578,-3.7706,-4.2804,-4.14077,-3.5885,-3.40214,-3.9936,-3.46687,-3.3981,-3.40214,-3.5885,-3.58305,-3.9936,-3.56384,-3.39791,-3.40214,-3.40809,-3.42216,-3.62536,-4.21693,-3.3981,-4.08084,-3.47021,-3.39791,-3.9936,-5.03858,-3.87995,-3.43213,-3.40809,-3.66871,-3.49163,-3.9936,-3.40301,-3.3981,-3.42984,-9.51301,-9.51301,-3.40767,-3.40301,-4.14077,-3.48864,-3.50668,-3.39779,-4.46089,-3.42984,-3.58305,-3.58305,-3.40301,-4.21693,-3.45534,-3.84023,-4.12998,-3.9936,-3.4445,-3.42416,-3.42416,-3.45237,-3.9936,-3.73578,-3.9936,-3.95559,-3.42984,-3.9936,-3.3981,-3.42984,-3.42984,-3.52234,103.486,96.8657,82.6274,96.1059,83.896,118.893,108.9,95.4032,96.7048,111.901,115.429,99.0637,80.4673,113.319,114.603,102.933,103.52,128.038,97.843,98.5066,120.725,94.6238,68.8612,84.3433,96.4841,109.854,101.629,99.4144,102.981,131.911,122.001,97.5321,82.2621,87.9726,113.149,95.8262,90.3737,117.793,102.541,106.723,92.8729,86.1125,117.201,92.168,96.4529,101.584,84.7445,99.0939,67.3842,105.468,101.036,124.039,104.834,95.84,92.5612,99.4691,119.502,93.8139,107.572,102.638,92.5743,82.9234,95.4376,104.466,72.7912,108.573,115.449,98.2175,87.7272,102.605,92.896,80.2916,93.4401,97.4765,85.7165,89.0795
-232.006,0.998184,0.258098,3,7,0,233.335,102.787,1.235,12.0911,101.978,104.449,100.743,94.5685,104.449,106.919,111.859,101.997,101.978,100.743,109.389,95.8035,105.684,103.214,110.624,98.2735,97.0385,109.389,110.624,103.214,94.5685,98.2735,106.919,100.743,110.624,108.154,103.214,104.449,105.711,109.389,113.094,105.684,100.743,98.2735,99.5085,108.154,106.919,108.154,101.978,103.119,98.2735,101.978,109.389,98.2735,108.154,108.154,105.272,101.978,105.684,101.068,97.0385,104.449,107.569,98.2735,94.5685,94.5685,101.978,105.711,104.449,101.978,97.0385,98.2735,94.5685,94.5685,94.5685,113.094,98.2735,100.743,98.2735,106.095,98.2735,98.2735,109.389,98.2735,98.2735,104.449,-6.90887,-4.23855,-6.64394,-10.2049,-3.51681,-3.44389,-3.42322,-3.47326,-3.90214,-3.80617,-3.79652,-4.1007,-4.1124,-3.56893,-3.41274,-3.88171,-3.44141,-3.41269,-3.41274,-3.56893,-3.51231,-3.88171,-3.57512,-3.4133,-3.41274,-3.42307,-3.44673,-3.65553,-4.23158,-3.41269,-3.99775,-3.47513,-3.4133,-3.88171,-4.84751,-3.89138,-3.44389,-3.42307,-3.63147,-3.48296,-3.88171,-3.4248,-3.41269,-3.42161,-9.40041,-9.40041,-3.41806,-3.4248,-4.1124,-3.47159,-3.58084,-3.4121,-4.4401,-3.42161,-3.51231,-3.51231,-3.4248,-4.23158,-3.47909,-3.90214,-3.98599,-3.88171,-3.4227,-3.48279,-3.48279,-3.44414,-3.88171,-3.80617,-3.88171,-3.96842,-3.42161,-3.88171,-3.41269,-3.42161,-3.42161,-3.51681,87.0857,103.778,89.7513,80.3061,103.942,77.4135,109.986,118.251,140.67,97.8868,105.251,88.9766,86.6383,87.0976,102.756,88.4489,94.9963,119.433,116.507,114.357,86.408,112.378,101.454,90.8616,108.862,115.623,91.0863,125.976,103.882,125.929,102.168,113.937,120.341,93.2588,111.299,105.38,102.559,127.611,103.214,107.933,91.2658,99.8971,115.99,108.605,96.6382,101.997,101.168,103.919,91.6826,109.491,114.063,118.147,121.611,105.994,84.9295,106.393,94.1638,112.607,115.862,69.6992,87.4344,92.3806,96.0147,81.1974,101.205,113.273,99.9571,80.832,103.754,114.161,97.4929,92.8387,112.091,95.9506,108.895,109.96
-231.657,0.996773,0.258098,4,15,0,232.723,103.159,1.3349,12.4873,102.285,104.954,100.95,94.2752,104.954,107.624,112.964,102.305,102.285,100.95,110.294,95.6101,106.289,103.619,111.629,98.2799,96.945,110.294,111.629,103.619,94.2752,98.2799,107.624,100.95,111.629,108.959,103.619,104.954,106.319,110.294,114.299,106.289,100.95,98.2799,99.6148,108.959,107.624,108.959,102.285,103.517,98.2799,102.285,110.294,98.2799,108.959,108.959,105.844,102.285,106.289,101.301,96.945,104.954,108.327,98.2799,94.2752,94.2752,102.285,106.319,104.954,102.285,96.945,98.2799,94.2752,94.2752,94.2752,114.299,98.2799,100.95,98.2799,106.734,98.2799,98.2799,110.294,98.2799,98.2799,104.954,-6.78578,-4.16951,-6.51511,-9.72936,-3.52528,-3.46175,-3.47181,-3.51033,-3.92755,-3.8281,-3.74573,-4.10762,-4.04643,-3.57419,-3.45216,-3.8841,-3.47358,-3.44393,-3.45216,-3.57419,-3.54874,-3.8841,-3.63004,-3.44654,-3.45216,-3.44712,-3.48566,-3.70075,-4.27417,-3.44393,-4.09923,-3.4878,-3.44654,-3.8841,-4.77614,-3.83453,-3.46175,-3.44712,-3.63453,-3.49956,-3.8841,-3.46039,-3.44393,-3.45314,-8.84458,-8.84458,-3.44582,-3.46039,-4.04643,-3.49399,-3.59831,-3.44657,-4.49427,-3.45314,-3.54874,-3.54874,-3.46039,-4.27417,-3.52236,-3.92755,-3.99015,-3.8841,-3.45793,-3.50226,-3.50226,-3.5029,-3.8841,-3.8281,-3.8841,-4.01949,-3.45314,-3.8841,-3.44393,-3.45314,-3.45314,-3.52528,115.183,131.663,120.535,91.2411,92.4003,107.325,116.123,95.7812,105.928,106.807,113.413,88.6477,75.8869,95.3407,106.732,92.366,93.7291,119.441,109.559,73.8922,84.0631,102.92,116.124,84.6869,107.529,92.8743,116.545,111.093,103.054,104.621,109.571,117.338,103.049,91.0379,92.2607,112.526,114.526,117.983,84.5759,88.2091,122.032,94.7598,104.392,109.499,114.898,99.3721,123.799,83.054,111.08,105.585,90.149,104.277,95.6594,104.89,77.3004,98.2604,89.8508,104.566,100.348,96.5475,91.1536,123.55,108.9,97.2081,83.2444,112.768,91.7766,92.6148,83.1928,106.894,115.163,113.744,104.125,117.47,104.868,109.094
