# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-17 20:17:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbr7o873l\uulxqti1.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220617221756_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.689643
# Diagonal elements of inverse mass matrix:
# 2.29414, 0.131157, 0.00677912
-231.376,0.985626,0.689643,3,7,0,232.662,104.269,1.05544,12.6403,103.578,105.689,102.522,97.2451,105.689,107.8,112.021,103.594,103.578,102.522,109.91,98.3006,106.744,104.633,110.966,100.411,99.356,109.91,110.966,104.633,97.2451,100.411,107.8,102.522,110.966,108.855,104.633,105.689,106.768,109.91,113.077,106.744,102.522,100.411,101.467,108.855,107.8,108.855,103.578,104.552,100.411,103.578,109.91,100.411,108.855,108.855,106.392,103.578,106.744,102.8,99.356,105.689,108.355,100.411,97.2451,97.2451,103.578,106.768,105.689,103.578,99.356,100.411,97.2451,97.2451,97.2451,113.077,100.411,102.522,100.411,107.096,100.411,100.411,109.91,100.411,100.411,105.689,-6.98408,-4.09676,-6.76576,-10.4409,-3.514,-3.47098,-3.46861,-3.5629,-4.03275,-3.94654,-3.77439,-3.88416,-4.00571,-3.54596,-3.45875,-3.74354,-3.45713,-3.45585,-3.45875,-3.54596,-3.47958,-3.74354,-3.6462,-3.47574,-3.45875,-3.45993,-3.52301,-3.74958,-4.31218,-3.45585,-3.99096,-3.489,-3.47574,-3.74354,-4.53069,-3.84453,-3.47098,-3.45993,-3.5849,-3.48669,-3.74354,-3.49589,-3.45585,-3.45636,-8.75355,-8.75355,-3.45606,-3.49589,-4.00571,-3.47481,-3.72976,-3.46475,-4.48438,-3.45636,-3.47958,-3.47958,-3.49589,-4.31218,-3.5571,-4.03275,-3.81037,-3.74354,-3.45814,-3.6201,-3.6201,-3.48545,-3.74354,-3.94654,-3.74354,-4.04856,-3.45636,-3.74354,-3.45585,-3.45636,-3.45636,-3.514,92.0109,111.728,92.5405,100.608,113.724,103.758,115.427,109.936,106.272,81.5422,81.943,85.9016,123.888,91.2233,93.2287,73.3975,100.073,117.535,101.817,121.77,96.0646,100.514,104.35,119.331,99.399,101.471,123.466,100.727,108.778,91.7703,97.3748,128.074,100.346,116.904,108.153,125.966,94.9342,109.29,108.44,105.935,99.592,98.1464,103.611,75.6265,110.468,112.482,116.519,101.051,110.61,97.5111,106.488,101.974,108.332,98.3984,112.803,104.066,100.152,116.906,107.842,110.119,112.827,98.1014,74.6606,103.91,89.7052,110.597,101.139,94.5082,115.069,96.6935,112.139,116.438,98.7262,110.24,91.7714,116.742
-232.569,0.896137,0.689643,3,7,0,232.999,101.884,0.955499,12.7838,101.258,103.169,100.303,95.5254,103.169,105.08,108.902,101.273,101.258,100.303,106.991,96.4809,104.125,102.214,107.947,98.3919,97.4364,106.991,107.947,102.214,95.5254,98.3919,105.08,100.303,107.947,106.036,102.214,103.169,104.146,106.991,109.858,104.125,100.303,98.3919,99.3474,106.036,105.08,106.036,101.258,102.14,98.3919,101.258,106.991,98.3919,106.036,106.036,103.806,101.258,104.125,100.554,97.4364,103.169,105.583,98.3919,95.5254,95.5254,101.258,104.146,103.169,101.258,97.4364,98.3919,95.5254,95.5254,95.5254,109.858,98.3919,100.303,98.3919,104.443,98.3919,98.3919,106.991,98.3919,98.3919,103.169,-6.45651,-4.33378,-6.27654,-9.80811,-3.60987,-3.54117,-3.4708,-3.50521,-3.85491,-3.79188,-3.98486,-4.02629,-4.23817,-3.6526,-3.48001,-3.87938,-3.48723,-3.49481,-3.48001,-3.6526,-3.52838,-3.87938,-3.54608,-3.4674,-3.48001,-3.5152,-3.48211,-3.62438,-4.06002,-3.49481,-3.76443,-3.57272,-3.4674,-3.87938,-4.77209,-4.06371,-3.54117,-3.5152,-3.70091,-3.56142,-3.87938,-3.47196,-3.49481,-3.47503,-9.38064,-9.38064,-3.49215,-3.47196,-4.23817,-3.53496,-3.63631,-3.46923,-4.18873,-3.47503,-3.52838,-3.52838,-3.47196,-4.06002,-3.49785,-3.85491,-3.95004,-3.87938,-3.46938,-3.56052,-3.56052,-3.46718,-3.87938,-3.79188,-3.87938,-3.84476,-3.47503,-3.87938,-3.49481,-3.47503,-3.47503,-3.60987,99.9629,96.3361,110.899,143.695,76.4451,116.941,95.6942,98.3669,135.719,95.9922,95.322,85.6502,114.677,112.616,91.717,105.326,117.827,87.7179,105.438,113.856,91.1632,111.224,95.5313,106.207,105.472,88.3962,115.302,105.663,93.9703,112.566,91.5789,97.9881,102.509,108.656,125.641,65.8853,94.6969,123.049,119.483,84.7796,107.2,107.552,100.644,73.119,116.311,107.509,86.4552,102.222,92.889,111.469,115.09,78.3758,109.827,104.948,109.57,81.8345,79.5902,113.903,79.0983,116.051,102.984,119.439,96.5006,114.847,92.0219,109.486,85.5367,107.716,95.3646,108.852,115.619,100.813,86.6588,95.8176,96.1555,95.103
-232.348,0.967797,0.689643,2,3,0,233.368,102.944,0.722521,12.7584,102.471,103.916,101.748,98.1355,103.916,105.361,108.251,102.481,102.471,101.748,106.806,98.858,104.638,103.193,107.528,100.303,99.5805,106.806,107.528,103.193,98.1355,100.303,105.361,101.748,107.528,106.083,103.193,103.916,104.654,106.806,108.973,104.638,101.748,100.303,101.026,106.083,105.361,106.083,102.471,103.138,100.303,102.471,106.806,100.303,106.083,106.083,104.397,102.471,104.638,101.938,99.5805,103.916,105.741,100.303,98.1355,98.1355,102.471,104.654,103.916,102.471,99.5805,100.303,98.1355,98.1355,98.1355,108.973,100.303,101.748,100.303,104.879,100.303,100.303,106.806,100.303,100.303,103.916,-6.70376,-4.2598,-6.56123,-10.5824,-3.57884,-3.53124,-3.47452,-3.53405,-3.94283,-3.88908,-3.99987,-3.84646,-4.19,-3.60745,-3.48389,-3.75396,-3.46567,-3.49647,-3.48389,-3.60745,-3.4758,-3.75396,-3.5534,-3.47451,-3.48389,-3.51225,-3.49644,-3.65759,-4.10464,-3.49647,-3.71246,-3.55343,-3.47451,-3.75396,-4.57103,-4.06004,-3.53124,-3.51225,-3.63926,-3.52885,-3.75396,-3.48387,-3.49647,-3.46541,-9.38949,-9.38949,-3.48094,-3.48387,-4.19,-3.49908,-3.74707,-3.46515,-4.20457,-3.46541,-3.4758,-3.4758,-3.48387,-4.10464,-3.51222,-3.94283,-3.79861,-3.75396,-3.47453,-3.66843,-3.66843,-3.46836,-3.75396,-3.88908,-3.75396,-3.87459,-3.46541,-3.75396,-3.49647,-3.46541,-3.46541,-3.57884,110.056,118.522,118.243,109.373,87.678,95.1072,133.211,141.026,112.525,96.6899,94.5497,106.377,109.019,95.4258,118.937,116.193,100.836,106.5,83.6937,102.585,105.757,117.188,112.49,99.2459,108.884,118.127,113.23,95.8849,95.666,113.595,106.748,119.931,90.8102,114.628,107.486,111.616,107.113,120.143,100.147,89.1699,108.19,103.45,99.2931,106.063,106.985,88.154,86.1168,115.474,83.0692,98.0804,103.383,94.428,101.009,93.7564,102.651,95.0378,77.1206,121.458,95.7233,105.222,101,98.8723,96.014,91.9638,96.1338,122.473,87.7579,113.194,84.491,79.5959,110.167,88.318,121.051,89.6062,106.63,103.999
-232.052,1,0.689643,2,3,0,232.447,102.913,0.8183,13.1706,102.377,104.014,101.559,97.4675,104.014,105.65,108.924,102.39,102.377,101.559,107.287,98.2858,104.832,103.196,108.105,99.9224,99.1041,107.287,108.105,103.196,97.4675,99.9224,105.65,101.559,108.105,106.469,103.196,104.014,104.851,107.287,109.742,104.832,101.559,99.9224,100.741,106.469,105.65,106.469,102.377,103.133,99.9224,102.377,107.287,99.9224,106.469,106.469,104.559,102.377,104.832,101.774,99.1041,104.014,106.081,99.9224,97.4675,97.4675,102.377,104.851,104.014,102.377,99.1041,99.9224,97.4675,97.4675,97.4675,109.742,99.9224,101.559,99.9224,105.105,99.9224,99.9224,107.287,99.9224,99.9224,104.014,-6.51854,-4.23355,-6.36774,-9.99151,-3.60021,-3.55146,-3.50026,-3.55912,-3.9385,-3.88205,-3.96278,-3.89246,-4.16007,-3.63038,-3.50727,-3.78966,-3.49924,-3.51814,-3.50727,-3.63038,-3.51541,-3.78966,-3.58895,-3.50393,-3.50727,-3.53287,-3.52636,-3.68204,-4.11345,-3.51814,-3.77048,-3.5739,-3.50393,-3.78966,-4.56608,-4.02468,-3.55146,-3.53287,-3.66441,-3.55685,-3.78966,-3.51321,-3.51814,-3.49694,-8.95905,-8.95905,-3.50972,-3.51321,-4.16007,-3.53201,-3.73583,-3.49693,-4.22157,-3.49694,-3.51541,-3.51541,-3.51321,-4.11345,-3.54336,-3.9385,-3.83913,-3.78966,-3.5003,-3.65766,-3.65766,-3.49712,-3.78966,-3.88205,-3.78966,-3.89634,-3.49694,-3.78966,-3.51814,-3.49694,-3.49694,-3.60021,105.459,113.045,95.9936,98.9711,118.712,100.343,86.0458,91.3346,91.114,108.893,89.9471,92.5632,118.698,107.444,129.816,93.1433,93.4228,106.797,126.068,110.361,122.433,85.6764,99.4329,98.4672,112.103,101.667,101.022,100.851,115.021,115.482,116.381,116.524,85.7047,80.1436,106.574,132.067,98.4416,117.985,100.996,126.97,106.99,102.81,114.14,96.2238,118.997,103.863,107.309,79.1344,128.497,101.04,96.5568,101.486,93.7554,115.521,95.9022,116.207,81.6828,112.895,106.758,121.395,114.289,85.1254,84.8972,102.01,91.95,113.86,91.0696,97.9201,107.994,119.486,100.352,91.2677,121.747,95.9668,85.4661,99.102
-231.617,0.999581,0.689643,2,7,0,232.141,104.941,1.27168,12.4204,104.108,106.651,102.836,96.478,106.651,109.195,114.281,104.127,104.108,102.836,111.738,97.7496,107.923,105.38,113.01,100.293,99.0213,111.738,113.01,105.38,96.478,100.293,109.195,102.836,113.01,110.466,105.38,106.651,107.952,111.738,115.553,107.923,102.836,100.293,101.565,110.466,109.195,110.466,104.108,105.282,100.293,104.108,111.738,100.293,110.466,110.466,107.499,104.108,107.923,103.171,99.0213,106.651,109.864,100.293,96.478,96.478,104.108,107.952,106.651,104.108,99.0213,100.293,96.478,96.478,96.478,115.553,100.293,102.836,100.293,108.347,100.293,100.293,111.738,100.293,100.293,106.651,-7.20888,-4.0158,-6.93296,-10.4398,-3.47462,-3.44038,-3.49769,-3.57032,-4.08338,-3.97233,-3.65952,-3.92468,-3.91101,-3.50747,-3.46764,-3.74368,-3.44138,-3.44807,-3.46764,-3.50747,-3.47849,-3.74368,-3.7123,-3.46435,-3.46764,-3.43899,-3.53208,-3.80599,-4.4567,-3.44807,-4.22231,-3.45226,-3.46435,-3.74368,-4.53982,-3.73287,-3.44038,-3.43899,-3.5508,-3.45711,-3.74368,-3.49298,-3.44807,-3.43856,-8.50387,-8.50387,-3.44053,-3.49298,-3.91101,-3.45247,-3.70206,-3.46106,-4.68829,-3.43856,-3.47849,-3.47849,-3.49298,-4.4567,-3.58167,-4.08338,-3.82894,-3.74368,-3.43831,-3.57429,-3.57429,-3.53823,-3.74368,-3.97233,-3.74368,-4.16886,-3.43856,-3.74368,-3.44807,-3.43856,-3.43856,-3.47462,81.8234,107.213,92.738,101.462,130.584,97.2424,110.748,118.902,108.93,104.992,102.381,98.2205,119.325,102.677,134.278,111.09,98.7392,122.758,113.005,68.1831,102.093,86.4306,82.6371,83.4416,94.9161,117.093,102.715,122.355,85.3106,114.568,94.548,99.8055,124.381,98.8779,90.6688,123.258,124.811,126.155,94.3333,108.967,90.6081,106.339,105.482,97.6974,111.598,113.752,115.085,103.83,86.142,96.4782,89.2465,102.188,88.9114,92.4763,88.2961,109.216,103.392,95.1672,110.456,104.131,106.178,98.1164,95.3894,85.3317,87.8988,106.492,102.856,111.753,129.41,117.81,111.634,121.169,108.528,74.3686,107.884,131.278
-231.634,0.917752,0.689643,2,3,0,232.668,104.126,1.38146,13.4187,103.221,105.984,101.84,94.9327,105.984,108.747,114.273,103.242,103.221,101.84,111.51,96.3141,107.366,104.603,112.892,99.077,97.6956,111.51,112.892,104.603,94.9327,99.077,108.747,101.84,112.892,110.129,104.603,105.984,107.397,111.51,115.655,107.366,101.84,99.077,100.458,110.129,108.747,110.129,103.221,104.497,99.077,103.221,111.51,99.077,110.129,110.129,106.905,103.221,107.366,102.203,97.6956,105.984,109.474,99.077,94.9327,94.9327,103.221,107.397,105.984,103.221,97.6956,99.077,94.9327,94.9327,94.9327,115.655,99.077,101.84,99.077,107.826,99.077,99.077,111.51,99.077,99.077,105.984,-6.58026,-4.06107,-6.33068,-9.12183,-3.56037,-3.51995,-3.56629,-3.59952,-4.00099,-3.90486,-3.71574,-4.0357,-3.95883,-3.59648,-3.53881,-3.84689,-3.53034,-3.52192,-3.53881,-3.59648,-3.58689,-3.84689,-3.72806,-3.52499,-3.53881,-3.51564,-3.57442,-3.7924,-4.33435,-3.52192,-4.19609,-3.53486,-3.52499,-3.84689,-4.57597,-3.78617,-3.51995,-3.51564,-3.64318,-3.54395,-3.84689,-3.54441,-3.52192,-3.51795,-7.92995,-7.92995,-3.51575,-3.54441,-3.95883,-3.54158,-3.68004,-3.52652,-4.54444,-3.51795,-3.58689,-3.58689,-3.54441,-4.33435,-3.61503,-4.00099,-3.936,-3.84689,-3.52145,-3.58315,-3.58315,-3.60438,-3.84689,-3.90486,-3.84689,-4.09885,-3.51795,-3.84689,-3.52192,-3.51795,-3.51795,-3.56037,110.699,95.1937,110.18,92.9183,90.1816,130.027,110.927,97.262,74.0213,97.1538,111.522,74.6597,95.8592,84.2868,97.2285,98.3258,104.74,123.373,107.696,121.958,123.584,119.706,77.5603,111.95,122.036,108.937,111.265,92.9167,96.4898,113.494,116.378,107.66,105.734,88.047,121.242,111.867,110.582,105.584,113.806,87.6889,99.6196,100.434,112.652,109.799,130.153,122.337,103.238,96.8013,109.411,90.0965,111.447,96.1473,91.8596,108.09,88.6564,86.437,83.8627,127.453,126.398,99.8952,104.05,97.5397,112.134,89.0295,125.657,125.241,98.6537,83.5995,92.7795,109.277,102.355,93.0472,109.052,94.0392,107.58,120.763
