# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-17 20:17:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbr7o873l\uulxqti1.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220617221756_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.593579
# Diagonal elements of inverse mass matrix:
# 1.93308, 0.121107, 0.00755795
-233.09,0.998912,0.593579,3,7,0,234.855,101.308,1.08247,13.4846,100.599,102.764,99.5166,94.1043,102.764,104.929,109.259,100.615,100.599,99.5166,107.094,95.1867,103.846,101.682,108.176,97.3517,96.2692,107.094,108.176,101.682,94.1043,97.3517,104.929,99.5166,108.176,106.011,101.682,102.764,103.871,107.094,110.341,103.846,99.5166,97.3517,98.4341,106.011,104.929,106.011,100.599,101.598,97.3517,100.599,107.094,97.3517,106.011,106.011,103.486,100.599,103.846,99.8015,96.2692,102.764,105.499,97.3517,94.1043,94.1043,100.599,103.871,102.764,100.599,96.2692,97.3517,94.1043,94.1043,94.1043,110.341,97.3517,99.5166,97.3517,104.207,97.3517,97.3517,107.094,97.3517,97.3517,102.764,-6.09507,-4.33738,-5.91614,-8.86924,-3.66447,-3.5912,-3.522,-3.54316,-3.8294,-3.76952,-3.97851,-4.12387,-4.238,-3.71076,-3.52964,-3.96039,-3.55876,-3.54371,-3.52964,-3.71076,-3.61607,-3.96039,-3.58729,-3.52113,-3.52964,-3.56424,-3.52827,-3.6463,-4.03248,-3.54371,-3.81455,-3.62461,-3.52113,-3.96039,-4.79935,-4.05856,-3.5912,-3.56424,-3.76351,-3.62261,-3.96039,-3.52148,-3.54371,-3.53978,-8.84122,-8.84122,-3.54831,-3.52148,-4.238,-3.60252,-3.62856,-3.52469,-4.16191,-3.53978,-3.61607,-3.61607,-3.52148,-4.03248,-3.5415,-3.8294,-4.03891,-3.96039,-3.5348,-3.56681,-3.56681,-3.52081,-3.96039,-3.76952,-3.96039,-3.84563,-3.53978,-3.96039,-3.54371,-3.53978,-3.53978,-3.66447,82.0903,83.8109,100.96,85.1858,112.713,80.706,105.034,121.227,106.673,109.307,115.409,83.224,111.61,117.865,77.8511,73.712,87.6648,128.482,125.351,97.9852,87.584,82.7443,104.761,116.154,107.668,128.921,104.636,89.012,96.031,83.8479,116.056,95.6214,113.055,101.972,88.1646,105.574,91.1302,97.1639,106.63,94.6366,116.739,102.894,112.313,107.57,119.286,113.495,130.449,95.3965,93.5699,64.1436,95.559,108.764,105.012,109.251,81.9751,79.6224,101.844,90.9196,91.7373,102.375,81.67,86.8402,98.6204,101.902,94.7603,127.632,119.159,71.1753,110.263,112.272,114.951,112.832,104.659,99.5645,98.0151,99.9262
-231.789,0.998207,0.593579,3,7,0,233.426,104.218,1.50359,13.1815,103.233,106.24,101.73,94.2116,106.24,109.247,115.262,103.256,103.233,101.73,112.255,95.7152,107.744,104.737,113.758,98.7223,97.2188,112.255,113.758,104.737,94.2116,98.7223,109.247,101.73,113.758,110.751,104.737,106.24,107.778,112.255,116.765,107.744,101.73,98.7223,100.226,110.751,109.247,110.751,103.233,104.621,98.7223,103.233,112.255,98.7223,110.751,110.751,107.243,103.233,107.744,102.125,97.2188,106.24,110.039,98.7223,94.2116,94.2116,103.233,107.778,106.24,103.233,97.2188,98.7223,94.2116,94.2116,94.2116,116.765,98.7223,101.73,98.7223,108.245,98.7223,98.7223,112.255,98.7223,98.7223,106.24,-6.67598,-4.04258,-6.3949,-9.12265,-3.53843,-3.49938,-3.57743,-3.58516,-4.00168,-3.89367,-3.67038,-4.08496,-3.93001,-3.57747,-3.5384,-3.86375,-3.52001,-3.51238,-3.5384,-3.57747,-3.59417,-3.86375,-3.74384,-3.50636,-3.5384,-3.49937,-3.56231,-3.79952,-4.38431,-3.51238,-4.30661,-3.5124,-3.50636,-3.86375,-4.62296,-3.74391,-3.49938,-3.49937,-3.62952,-3.52489,-3.86375,-3.52783,-3.51238,-3.50245,-7.93075,-7.93075,-3.4987,-3.52783,-3.93001,-3.52609,-3.64771,-3.51219,-4.62743,-3.50245,-3.59417,-3.59417,-3.52783,-4.38431,-3.60981,-4.00168,-3.96785,-3.86375,-3.51135,-3.54879,-3.54879,-3.62947,-3.86375,-3.89367,-3.86375,-4.13763,-3.50245,-3.86375,-3.51238,-3.50245,-3.50245,-3.53843,121.923,100.038,110.482,76.6971,127.003,99.2172,111.161,95.8545,115.786,96.1696,137.479,111.134,103.8,96.3143,103.073,82.3203,85.2581,111.234,121.054,114.716,83.6871,96.6332,107.317,99.8545,126.685,126.216,101.243,120.68,79.2737,117.563,107.114,90.9196,102.823,95.334,115.459,91.0604,121.418,112.608,119.017,112.827,97.7453,115.416,111.62,99.006,99.7264,97.8588,116.852,108.442,102.387,101.282,91.2307,111.614,112.211,93.0512,106.592,55.7781,89.5935,104.966,93.2731,78.5264,93.8235,93.9879,99.2095,123.28,118.471,130.858,104.31,100.062,107.672,115.263,97.1436,114.261,110.387,100.69,124.856,119.629
-231.546,0.995178,0.593579,3,7,0,232.098,103.267,1.23253,12.4205,102.459,104.924,101.227,95.0642,104.924,107.39,112.32,102.478,102.459,101.227,109.855,96.2967,106.157,103.692,111.087,98.7618,97.5293,109.855,111.087,103.692,95.0642,98.7618,107.39,101.227,111.087,108.622,103.692,104.924,106.185,109.855,113.552,106.157,101.227,98.7618,99.9943,108.622,107.39,108.622,102.459,103.597,98.7618,102.459,109.855,98.7618,108.622,108.622,105.746,102.459,106.157,101.551,97.5293,104.924,108.038,98.7618,95.0642,95.0642,102.459,106.185,104.924,102.459,97.5293,98.7618,95.0642,95.0642,95.0642,113.552,98.7618,101.227,98.7618,106.568,98.7618,98.7618,109.855,98.7618,98.7618,104.924,-6.85316,-4.1749,-6.59875,-10.0203,-3.52178,-3.46037,-3.45572,-3.51091,-3.94142,-3.8468,-3.77189,-4.0469,-4.05938,-3.56725,-3.44211,-3.84763,-3.45807,-3.43835,-3.44211,-3.56725,-3.51724,-3.84763,-3.61526,-3.44316,-3.44211,-3.44444,-3.48246,-3.69643,-4.26379,-3.43835,-4.03355,-3.48615,-3.44316,-3.84763,-4.73546,-3.85787,-3.46037,-3.44444,-3.62258,-3.49264,-3.84763,-3.45789,-3.43835,-3.44325,-8.98751,-8.98751,-3.44103,-3.45789,-4.05938,-3.48294,-3.62202,-3.44105,-4.46666,-3.44325,-3.51724,-3.51724,-3.45789,-4.26379,-3.51688,-3.94142,-3.94234,-3.84763,-3.44394,-3.52141,-3.52141,-3.47918,-3.84763,-3.8468,-3.84763,-4.00597,-3.44325,-3.84763,-3.43835,-3.44325,-3.44325,-3.52178,103.764,96.2781,108.444,79.2316,134.099,115.489,101.461,114.573,104.622,105.007,108.799,75.0955,94.5424,94.9823,107.702,73.772,91.6776,106.498,95.4734,115.091,80.4975,105.073,117.327,92.5955,116.467,102.911,116.814,118.594,126.949,81.7857,107.437,124.514,117.827,85.1861,110.605,104.714,85.1222,103.326,109.449,106.591,100.109,108.241,113.906,86.5076,108.045,103.309,105.038,88.4998,93.8982,95.6505,92.8848,116.695,113.932,73.3626,82.3976,85.8832,111.578,121.977,123.623,105.306,105.43,102.856,100.258,106.504,113.547,117.365,101.536,79.1155,101.44,102.925,97.2318,102.852,102.205,94.2794,82.152,88.4986
-232.383,0.943576,0.593579,2,7,0,232.659,103.189,0.783962,12.1458,102.675,104.243,101.891,97.9717,104.243,105.811,108.947,102.687,102.675,101.891,107.379,98.7556,105.027,103.459,108.163,100.324,99.5396,107.379,108.163,103.459,97.9717,100.324,105.811,101.891,108.163,106.595,103.459,104.243,105.045,107.379,109.731,105.027,101.891,100.324,101.108,106.595,105.811,106.595,102.675,103.399,100.324,102.675,107.379,100.324,106.595,106.595,104.766,102.675,105.027,102.098,99.5396,104.243,106.224,100.324,97.9717,97.9717,102.675,105.045,104.243,102.675,99.5396,100.324,97.9717,97.9717,97.9717,109.731,100.324,101.891,100.324,105.289,100.324,100.324,107.379,100.324,100.324,104.243,-7.03471,-4.2574,-6.86315,-11.2158,-3.52824,-3.47539,-3.41968,-3.49873,-3.96048,-3.8952,-3.95579,-3.84446,-4.17575,-3.56091,-3.42735,-3.73328,-3.41664,-3.4392,-3.42735,-3.56091,-3.42986,-3.73328,-3.53038,-3.42805,-3.42735,-3.45521,-3.45648,-3.64624,-4.16028,-3.4392,-3.73687,-3.49973,-3.42805,-3.73328,-4.62568,-4.02495,-3.47539,-3.45521,-3.59776,-3.47839,-3.73328,-3.44018,-3.4392,-3.41627,-9.80142,-9.80142,-3.42816,-3.44018,-4.17575,-3.44988,-3.72437,-3.41612,-4.28342,-3.41627,-3.42986,-3.42986,-3.44018,-4.16028,-3.47695,-3.96048,-3.78678,-3.73328,-3.42445,-3.63131,-3.63131,-3.41616,-3.73328,-3.8952,-3.73328,-3.90036,-3.41627,-3.73328,-3.4392,-3.41627,-3.41627,-3.52824,117.451,107.989,97.1157,94.9131,133.124,117.88,103.534,95.5972,106.359,109.056,108.456,115.158,119.514,103.098,92.167,104.018,97.863,118.653,110.202,89.0671,103.882,99.9256,106.084,91.6885,81.5442,118.364,110.1,109.282,115.451,107.179,113.389,87.6474,102.204,105.638,110.981,126.465,110.023,126.085,107.02,99.5872,110.094,105.324,115.001,107.74,94.9141,111.975,110.198,144.929,105.428,96.4911,94.1969,115.904,96.5751,117.405,104.501,69.5763,88.3982,94.5913,106.175,90.4213,84.1828,115.464,102.029,99.0818,106.813,109.283,92.577,96.5279,105.714,120.748,92.0087,105.225,89.8856,106.325,95.0709,109.678
-235.401,0.842159,0.593579,3,7,0,235.726,105.567,1.96823,15.0364,104.278,108.215,102.31,92.4688,108.215,112.151,120.024,104.308,104.278,102.31,116.088,94.4371,110.183,106.246,118.056,98.3735,96.4053,116.088,118.056,106.246,92.4688,98.3735,112.151,102.31,118.056,114.119,106.246,108.215,110.227,116.088,121.992,110.183,102.31,98.3735,100.342,114.119,112.151,114.119,104.278,106.095,98.3735,104.278,116.088,98.3735,114.119,114.119,109.527,104.278,110.183,102.828,96.4053,108.215,113.187,98.3735,92.4688,92.4688,104.278,110.227,108.215,104.278,96.4053,98.3735,92.4688,92.4688,92.4688,121.992,98.3735,102.31,98.3735,110.839,98.3735,98.3735,116.088,98.3735,98.3735,108.215,-6.2279,-3.93657,-5.93806,-7.61805,-3.63646,-3.63964,-3.85163,-3.72468,-4.08026,-3.96453,-3.66326,-4.16504,-3.84254,-3.66057,-3.77293,-3.92835,-3.65799,-3.71137,-3.77293,-3.66057,-3.75484,-3.92835,-3.95594,-3.64121,-3.77293,-3.66694,-3.7157,-3.95936,-4.51416,-3.71137,-4.69903,-3.62948,-3.64121,-3.92835,-4.48403,-3.70589,-3.63964,-3.66694,-3.70181,-3.63505,-3.92835,-3.66989,-3.71137,-3.63526,-6.47651,-6.47651,-3.6475,-3.66989,-3.84254,-3.64252,-3.72014,-3.66869,-4.79538,-3.63526,-3.75484,-3.75484,-3.66989,-4.51416,-3.77864,-4.08026,-4.03813,-3.92835,-3.66334,-3.64289,-3.64289,-3.94746,-3.92835,-3.96453,-3.92835,-4.30712,-3.63526,-3.92835,-3.71137,-3.63526,-3.63526,-3.63646,106.744,117.715,122.349,90.2506,111.162,119.873,117.505,125.337,121.03,120.021,120.968,112.535,70.6128,111.688,128.774,93.197,97.1237,127.128,137.328,96.0979,112.63,92.0539,107.602,86.1997,116.764,95.3041,79.5652,116.315,90.5658,119.735,116.043,108.191,104.191,93.4784,101.998,147.282,121.915,121.311,93.7374,96.0416,100.975,116.702,121.283,107.197,95.4375,91.364,108.255,105.791,121.713,106.064,85.8004,85.5005,120.835,112.299,92.7879,103.681,80.0668,112.489,139.297,88.3191,96.8213,91.4601,59.1609,113.293,80.715,105.873,78.8637,104.524,78.7248,94.5677,86.4604,123.184,87.6389,89.1192,101.034,100.844
-231.459,0.989379,0.593579,2,3,0,235.902,104.863,1.19668,12.8829,104.079,106.473,102.883,96.8992,106.473,108.866,113.653,104.097,104.079,102.883,111.259,98.0959,107.669,105.276,112.456,100.489,99.2926,111.259,112.456,105.276,96.8992,100.489,108.866,102.883,112.456,110.063,105.276,106.473,107.696,111.259,114.849,107.669,102.883,100.489,101.686,110.063,108.866,110.063,104.079,105.184,100.489,104.079,111.259,100.489,110.063,110.063,107.27,104.079,107.669,103.197,99.2926,106.473,109.496,100.489,96.8992,96.8992,104.079,107.696,106.473,104.079,99.2926,100.489,96.8992,96.8992,96.8992,114.849,100.489,102.883,100.489,108.068,100.489,100.489,111.259,100.489,100.489,106.473,-6.97365,-4.02612,-6.73225,-10.1011,-3.51233,-3.47872,-3.51504,-3.59643,-4.07201,-3.97481,-3.705,-3.90175,-3.9329,-3.54207,-3.49301,-3.74735,-3.47635,-3.47962,-3.49301,-3.54207,-3.50381,-3.74735,-3.71165,-3.49988,-3.49301,-3.47485,-3.5587,-3.80525,-4.39436,-3.47962,-4.13913,-3.49121,-3.49988,-3.74735,-4.48528,-3.77234,-3.47872,-3.47485,-3.58045,-3.4938,-3.74735,-3.52497,-3.47962,-3.47556,-8.2799,-8.2799,-3.47594,-3.52497,-3.9329,-3.4877,-3.73498,-3.49326,-4.59354,-3.47556,-3.50381,-3.50381,-3.52497,-4.39436,-3.60105,-4.07201,-3.82023,-3.74735,-3.47564,-3.61824,-3.61824,-3.54569,-3.74735,-3.97481,-3.74735,-4.12892,-3.47556,-3.74735,-3.47962,-3.47556,-3.47556,-3.51233,105.075,121.895,118.287,89.5533,124.101,122.518,126.948,119.055,98.5039,103.88,91.8023,88.7786,91.2867,91.6079,99.4727,109.27,103.41,111.452,121.78,99.9993,96.524,111.457,112.24,78.8848,99.7585,111.896,82.3029,123.816,119.363,102.816,104.808,83.5191,115.665,118.521,107.361,126.765,110.278,104.286,102.928,106.419,102.01,98.4226,99.6069,101.909,97.0937,119.466,113.548,105.583,116.05,105.055,74.8104,111.174,113.224,104.133,76.2561,83.9311,81.5628,94.5763,98.0449,127.55,89.0483,101.272,87.944,84.587,84.2933,106.019,101.761,100.63,87.6144,114.061,96.7317,123.039,110.927,105.167,103.063,105.157
