# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-17 20:18:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.96999999999999997
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbr7o873l\164nikpv.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220617221812_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.455717
# Diagonal elements of inverse mass matrix:
# 2.30755, 0.127041, 0.00637915
-232.468,0.989578,0.455717,3,7,0,233.506,102.665,0.848059,13.9586,102.109,103.805,101.261,97.0209,103.805,105.502,108.894,102.122,102.109,101.261,107.198,97.869,104.653,102.957,108.046,99.5651,98.717,107.198,108.046,102.957,97.0209,99.5651,105.502,101.261,108.046,106.35,102.957,103.805,104.673,107.198,109.742,104.653,101.261,99.5651,100.413,106.35,105.502,106.35,102.109,102.892,99.5651,102.109,107.198,99.5651,106.35,106.35,104.371,102.109,104.653,101.484,98.717,103.805,105.948,99.5651,97.0209,97.0209,102.109,104.673,103.805,102.109,98.717,99.5651,97.0209,97.0209,97.0209,109.742,99.5651,101.261,99.5651,104.936,99.5651,99.5651,107.198,99.5651,99.5651,103.805,-6.20078,-4.22805,-6.06287,-9.22877,-3.65351,-3.60696,-3.55817,-3.60421,-3.93132,-3.88046,-3.97563,-3.93268,-4.15941,-3.68231,-3.56483,-3.83446,-3.55926,-3.57519,-3.56483,-3.68231,-3.57781,-3.83446,-3.6327,-3.55912,-3.56483,-3.58923,-3.57748,-3.71138,-4.09064,-3.57519,-3.79857,-3.62839,-3.55912,-3.83446,-4.53953,-4.0332,-3.60696,-3.58923,-3.71481,-3.61416,-3.83446,-3.56645,-3.57519,-3.55552,-8.44453,-8.44453,-3.56856,-3.56645,-4.15941,-3.59168,-3.75003,-3.55513,-4.18937,-3.55552,-3.57781,-3.57781,-3.56645,-4.09064,-3.59219,-3.93132,-3.88172,-3.83446,-3.55607,-3.68153,-3.68153,-3.5552,-3.83446,-3.88046,-3.83446,-3.90051,-3.55552,-3.83446,-3.57519,-3.55552,-3.55552,-3.65351,103.899,92.7917,79.8413,97.4489,78.1097,114.807,105.719,80.7634,93.9571,66.4903,116.622,75.8091,96.5313,115.489,101.446,120.486,111.336,95.8956,111.848,84.1463,72.2545,126.935,94.4293,105.632,114.316,100.467,100.383,89.63,112.174,107.37,119.646,108.547,112.816,111.937,99.117,131.199,102.996,101.519,77.3289,103.902,105.64,107.699,92.8193,112.699,82.1566,105.077,116.993,90.1569,126.84,110.922,108.243,101.832,108.937,101.081,92.5803,105.585,115.548,97.8255,83.1104,81.7349,129.117,93.4508,95.022,105.34,86.862,111.963,59.0022,92.9281,81.2349,94.7884,97.4703,92.4156,88.7923,98.4075,104.083,87.4334
-233.655,0.983812,0.455717,3,15,0,234.135,104.301,0.678773,15.093,103.856,105.214,103.178,99.7837,105.214,106.571,109.286,103.866,103.856,103.178,107.929,100.462,105.893,104.535,108.608,101.82,101.141,107.929,108.608,104.535,99.7837,101.82,106.571,103.178,108.608,107.25,104.535,105.214,105.908,107.929,109.965,105.893,103.178,101.82,102.499,107.25,106.571,107.25,103.856,104.483,101.82,103.856,107.929,101.82,107.25,107.25,105.666,103.856,105.893,103.356,101.141,105.214,106.929,101.82,99.7837,99.7837,103.856,105.908,105.214,103.856,101.141,101.82,99.7837,99.7837,99.7837,109.965,101.82,103.178,101.82,106.119,101.82,101.82,107.929,101.82,101.82,105.214,-6.14908,-4.11305,-6.04921,-9.07306,-3.68345,-3.65897,-3.63429,-3.71544,-4.05459,-4.01431,-3.95299,-3.83283,-4.07,-3.69872,-3.63743,-3.78004,-3.63603,-3.64259,-3.63743,-3.69872,-3.63327,-3.78004,-3.72795,-3.65533,-3.63743,-3.64977,-3.67831,-3.81951,-4.17298,-3.64259,-3.85114,-3.6702,-3.65533,-3.78004,-4.30546,-3.98997,-3.65897,-3.64977,-3.71602,-3.65578,-3.78004,-3.66581,-3.64259,-3.64044,-7.64448,-7.64448,-3.63537,-3.66581,-4.07,-3.64115,-3.90562,-3.63641,-4.24554,-3.64044,-3.63327,-3.63327,-3.66581,-4.17298,-3.69284,-4.05459,-3.80542,-3.78004,-3.65852,-3.84327,-3.84327,-3.63317,-3.78004,-4.01431,-3.78004,-3.99197,-3.64044,-3.78004,-3.64259,-3.64044,-3.64044,-3.68345,56.5159,118.211,102.314,106.067,103.529,109.165,114.92,88.1092,106.819,97.1842,138.935,88.4763,118.112,83.5757,100.044,85.4084,107.481,117.68,122.494,130.611,71.2329,119.623,134.413,117.79,90.3091,113.109,99.1306,101.673,106.402,101.234,106.825,97.9044,99.1983,114.124,116.157,104.452,109.752,99.9668,75.5285,66.0372,79.6436,117.636,103.746,111.101,105.731,96.2389,115.159,103.382,107.495,100.653,131.315,91.6107,108.934,104.363,102.115,112.672,106.887,124.604,111.023,87.3101,111.329,125.584,73.8958,94.9191,90.9783,127.118,93.9528,112.035,96.6506,99.574,82.3529,109.852,98.2045,125.093,115.049,115.444
-233.077,0.988444,0.455717,3,7,0,235.668,106.695,1.374,12.9582,105.795,108.543,104.421,97.5512,108.543,111.291,116.787,105.816,105.795,104.421,114.039,98.9252,109.917,107.169,115.413,101.673,100.299,114.039,115.413,107.169,97.5512,101.673,111.291,104.421,115.413,112.665,107.169,108.543,109.948,114.039,118.161,109.917,104.421,101.673,103.047,112.665,111.291,112.665,105.795,107.064,101.673,105.795,114.039,101.673,112.665,112.665,109.459,105.795,109.917,104.783,100.299,108.543,112.014,101.673,97.5512,97.5512,105.795,109.948,108.543,105.795,100.299,101.673,97.5512,97.5512,97.5512,118.161,101.673,104.421,101.673,110.375,101.673,101.673,114.039,101.673,101.673,108.543,-7.29598,-3.87151,-7.0087,-10.2136,-3.48699,-3.48563,-3.61784,-3.67466,-4.22357,-4.09994,-3.58647,-3.84589,-3.78339,-3.50453,-3.56792,-3.68713,-3.48093,-3.52925,-3.56792,-3.50453,-3.49852,-3.68713,-3.8603,-3.53887,-3.56792,-3.50182,-3.63371,-3.94916,-4.63894,-3.52925,-4.4628,-3.48069,-3.53887,-3.68713,-4.33645,-3.64086,-3.48563,-3.50182,-3.53331,-3.48185,-3.68713,-3.58067,-3.52925,-3.489,-7.63123,-7.63123,-3.50389,-3.58067,-3.78339,-3.48136,-3.79652,-3.54213,-4.89434,-3.489,-3.49852,-3.49852,-3.58067,-4.63894,-3.698,-4.22357,-3.76089,-3.68713,-3.48471,-3.65046,-3.65046,-3.679,-3.68713,-4.09994,-3.68713,-4.34547,-3.489,-3.68713,-3.52925,-3.489,-3.489,-3.48699,99.135,104.249,85.7498,111.296,106.5,114.407,129.866,118.744,104.025,115.135,97.8919,92.9094,86.1434,109.908,112.264,118.96,120.376,102.219,107.989,87.1901,81.9891,95.2826,118.766,114.03,133.941,115.552,113.94,103.757,115.659,100.782,106.495,98.3929,116.409,97.7249,111.122,111.594,125.228,148.985,103.791,127.29,108.969,98.1288,113.527,92.6938,109.04,99.6488,110.811,107.302,131.818,105.101,73.3387,124.334,91.485,95.8341,108.39,78.1418,99.9936,114.434,95.328,102.448,96.7209,106.757,94.8613,85.6444,85.8045,117.717,92.5113,75.303,106.153,113.188,69.1218,108.292,111.967,117.514,94.4872,93.7075
-233.138,0.99527,0.455717,3,7,0,233.884,101.314,1.24832,13.5891,100.496,102.993,99.2479,93.0064,102.993,105.49,110.483,100.515,100.496,99.2479,107.986,94.2547,104.241,101.745,109.234,96.7513,95.503,107.986,109.234,101.745,93.0064,96.7513,105.49,99.2479,109.234,106.738,101.745,102.993,104.269,107.986,111.731,104.241,99.2479,96.7513,97.9996,106.738,105.49,106.738,100.496,101.649,96.7513,100.496,107.986,96.7513,106.738,106.738,103.825,100.496,104.241,99.5765,95.503,102.993,106.147,96.7513,93.0064,93.0064,100.496,104.269,102.993,100.496,95.503,96.7513,93.0064,93.0064,93.0064,111.731,96.7513,99.2479,96.7513,104.657,96.7513,96.7513,107.986,96.7513,96.7513,102.993,-6.04635,-4.31136,-5.84442,-8.53607,-3.66115,-3.58329,-3.52884,-3.54899,-3.82651,-3.75978,-3.919,-4.19947,-4.20062,-3.71274,-3.5298,-4.00347,-3.58296,-3.53919,-3.5298,-3.71274,-3.66064,-4.00347,-3.6098,-3.52974,-3.5298,-3.55702,-3.53645,-3.66061,-4.06223,-3.53919,-3.90083,-3.618,-3.52974,-4.00347,-4.83874,-4.00444,-3.58329,-3.55702,-3.77276,-3.62711,-4.00347,-3.52888,-3.53919,-3.55678,-8.59582,-8.59582,-3.55007,-3.52888,-4.20062,-3.61577,-3.6102,-3.53095,-4.21453,-3.55678,-3.66064,-3.66064,-3.52888,-4.06223,-3.55246,-3.82651,-4.09725,-4.00347,-3.55913,-3.55268,-3.55268,-3.53632,-4.00347,-3.75978,-4.00347,-3.87541,-3.55678,-4.00347,-3.53919,-3.55678,-3.55678,-3.66115,80.5912,96.3763,71.6454,67.7623,100.844,109.729,116.826,89.028,107.598,85.604,117.799,88.4827,97.9604,110.293,106.965,117.679,68.1675,103.639,122.965,116.826,79.047,98.5976,96.9416,79.3438,124.551,136.263,92.0821,98.8312,109.094,99.7438,109.992,123.346,99.8102,96.6967,97.6458,100.654,104.557,90.6275,92.915,120.432,94.4182,113.273,115.475,114.03,114.19,80.9647,85.4469,99.8148,112.792,122.45,91.0588,89.6162,97.1424,110.284,68.7634,79.0678,119.822,106.167,82.9656,115.425,90.2018,96.3354,84.5064,95.0506,104.996,105.871,110.517,112.36,87.6454,105.243,90.0522,82.4984,106.611,86.0483,103.933,90.3163
-232.652,0.991489,0.455717,3,7,0,233.936,101.706,1.00158,13.0492,101.05,103.053,100.049,95.0409,103.053,105.057,109.063,101.065,101.05,100.049,107.06,96.0425,104.055,102.052,108.061,98.0456,97.044,107.06,108.061,102.052,95.0409,98.0456,105.057,100.049,108.061,106.058,102.052,103.053,104.078,107.06,110.065,104.055,100.049,98.0456,99.0472,106.058,105.057,106.058,101.05,101.975,98.0456,101.05,107.06,98.0456,106.058,106.058,103.721,101.05,104.055,100.312,97.044,103.053,105.584,98.0456,95.0409,95.0409,101.05,104.078,103.053,101.05,97.044,98.0456,95.0409,95.0409,95.0409,110.065,98.0456,100.049,98.0456,104.389,98.0456,98.0456,107.06,98.0456,98.0456,103.053,-6.31862,-4.33093,-6.13893,-9.44448,-3.62936,-3.55942,-3.49025,-3.52005,-3.84622,-3.78417,-3.97935,-4.0597,-4.23419,-3.67316,-3.4987,-3.90729,-3.51332,-3.51305,-3.4987,-3.67316,-3.55988,-3.90729,-3.56275,-3.48767,-3.4987,-3.53329,-3.50003,-3.63375,-4.05109,-3.51305,-3.7851,-3.59144,-3.48767,-3.90729,-4.77676,-4.0584,-3.55942,-3.53329,-3.72285,-3.58365,-3.90729,-3.49091,-3.51305,-3.49888,-9.1573,-9.1573,-3.51314,-3.49091,-4.23419,-3.55964,-3.63336,-3.4903,-4.18027,-3.49888,-3.55988,-3.55988,-3.49091,-4.05109,-3.51505,-3.84622,-3.98055,-3.90729,-3.49298,-3.56228,-3.56228,-3.48768,-3.90729,-3.78417,-3.90729,-3.84656,-3.49888,-3.90729,-3.51305,-3.49888,-3.49888,-3.62936,115.309,105.03,95.2955,119.662,107.138,105.73,120.233,99.4396,94.5184,112.601,131.948,85.1633,142.679,91.1038,112.797,110.46,93.7015,117.925,98.5442,122.556,86.6809,98.8089,92.2799,85.6138,106.198,111.276,116.134,106.916,101.858,116.576,91.1912,100.969,82.9366,112.718,100.467,107.002,105.915,96.4729,96.7357,91.0493,82.5448,126.023,96.3031,76.5569,115.269,125.718,101.708,122.641,113.547,99.534,80.3292,130.883,100.68,95.7627,97.5095,89.594,99.5866,94.041,85.3309,94.5313,122.82,123.658,88.9994,90.4992,86.812,123.52,87.7469,129.879,116.787,117.872,93.1138,106.444,98.2644,90.2936,120.179,90.8978
-231.893,1,0.455717,3,7,0,233.049,105.159,1.10501,13.7261,104.435,106.645,103.33,97.805,106.645,108.855,113.275,104.452,104.435,103.33,111.065,98.91,107.75,105.54,112.17,101.12,100.015,111.065,112.17,105.54,97.805,101.12,108.855,103.33,112.17,109.96,105.54,106.645,107.775,111.065,114.38,107.75,103.33,101.12,102.225,109.96,108.855,109.96,104.435,105.455,101.12,104.435,111.065,101.12,109.96,109.96,107.382,104.435,107.75,103.621,100.015,106.645,109.437,101.12,97.805,97.805,104.435,107.775,106.645,104.435,100.015,101.12,97.805,97.805,97.805,114.38,101.12,103.33,101.12,108.118,101.12,101.12,111.065,101.12,101.12,106.645,-6.6851,-4.01156,-6.48638,-9.60312,-3.56811,-3.54172,-3.56671,-3.65763,-4.09122,-4.0098,-3.7501,-3.86463,-3.93647,-3.59103,-3.55074,-3.7475,-3.53824,-3.54125,-3.55074,-3.59103,-3.55102,-3.7475,-3.74634,-3.56767,-3.55074,-3.53824,-3.61969,-3.83897,-4.35558,-3.54125,-4.08703,-3.55167,-3.56767,-3.7475,-4.37671,-3.80574,-3.54172,-3.53824,-3.62042,-3.55152,-3.7475,-3.59044,-3.54125,-3.54157,-7.79285,-7.79285,-3.5396,-3.59044,-3.93647,-3.5454,-3.80442,-3.55681,-4.51769,-3.54157,-3.55102,-3.55102,-3.59044,-4.35558,-3.65543,-4.09122,-3.80282,-3.7475,-3.54359,-3.69991,-3.69991,-3.58916,-3.7475,-4.0098,-3.7475,-4.11837,-3.54157,-3.7475,-3.54125,-3.54157,-3.54157,-3.56811,59.9227,98.1107,78.0692,98.6275,102.769,107.736,95.1425,118.253,78.6584,93.6121,112.194,86.8668,99.3772,89.2756,115.374,125.765,100.585,113.232,97.7165,98.8721,74.6731,94.6821,122.676,98.5812,97.7476,102.424,97.1331,118.942,94.6007,113.329,112.409,103.249,94.9707,90.9808,105.32,105.126,103.751,106.253,115.213,90.1938,104.505,91.2401,98.9689,109.536,119.547,103.237,118.769,129.613,99.981,97.8559,77.9039,114.727,110.556,93.2246,87.1997,86.0017,105.043,108.01,93.5713,87.6878,99.539,92.9159,81.0706,108.017,105.766,128.071,75.6181,75.3421,95.9409,125.858,83.0367,91.176,125.8,105.553,131.803,119.388
