# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-17 20:18:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.96999999999999997
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbr7o873l\164nikpv.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220617221812_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.464909
# Diagonal elements of inverse mass matrix:
# 2.74658, 0.13012, 0.00755635
-231.403,0.99523,0.464909,3,7,0,231.57,104.18,1.20645,12.387,103.39,105.803,102.184,96.1515,105.803,108.216,113.042,103.408,103.39,102.184,110.629,97.358,107.01,104.597,111.835,99.7709,98.5644,110.629,111.835,104.597,96.1515,99.7709,108.216,102.184,111.835,109.422,104.597,105.803,107.037,110.629,114.248,107.01,102.184,99.7709,100.977,109.422,108.216,109.422,103.39,104.504,99.7709,103.39,110.629,99.7709,109.422,109.422,106.607,103.39,107.01,102.501,98.5644,105.803,108.851,99.7709,96.1515,96.1515,103.39,107.037,105.803,103.39,98.5644,99.7709,96.1515,96.1515,96.1515,114.248,99.7709,102.184,99.7709,107.412,99.7709,99.7709,110.629,99.7709,99.7709,105.803,-7.0687,-4.09237,-6.8109,-10.3764,-3.49298,-3.44595,-3.46573,-3.54012,-4.01986,-3.91931,-3.72175,-3.95639,-3.98549,-3.53072,-3.44656,-3.77655,-3.4423,-3.43687,-3.44656,-3.53072,-3.48385,-3.77655,-3.65555,-3.45112,-3.44656,-3.43667,-3.50444,-3.74874,-4.35654,-3.43687,-4.09713,-3.46472,-3.45112,-3.77655,-4.61477,-3.80018,-3.44595,-3.43667,-3.57795,-3.46871,-3.77655,-3.47304,-3.43687,-3.43575,-8.80111,-8.80111,-3.43559,-3.47304,-3.98549,-3.46044,-3.6746,-3.44618,-4.56604,-3.43575,-3.48385,-3.48385,-3.47304,-4.35654,-3.54532,-4.01986,-3.86173,-3.77655,-3.43576,-3.5589,-3.5589,-3.49439,-3.77655,-3.91931,-3.77655,-4.08145,-3.43575,-3.77655,-3.43687,-3.43575,-3.43575,-3.49298,123.429,90.9067,100.835,103.258,102.575,88.8629,101.61,91.2887,102.183,102.69,103.928,124.16,99.8195,109.551,122.435,95.2416,94.7565,106.213,113.665,85.5197,95.2192,77.8895,127.809,103.402,119.593,109.692,109.996,99.101,100.133,117.534,113.383,120.64,114.539,122.018,94.4157,109.711,117.892,76.8534,116.479,98.891,107.918,94.5177,108.106,103.036,121.096,98.855,104.765,129.662,127.375,112.219,94.1025,95.5273,93.5354,97.5256,99.8678,95.2319,127.813,106.57,102.092,109.915,94.6396,97.3848,92.0913,91.4677,99.6284,105.781,106.603,100.395,83.2751,119.496,101.927,96.3369,126.287,100.18,87.9573,89.6159
-232.292,0.958855,0.464909,3,7,0,232.602,104.215,0.80276,11.9874,103.69,105.295,102.887,98.8731,105.295,106.901,110.112,103.702,103.69,102.887,108.506,99.6759,106.098,104.492,109.309,101.281,100.479,108.506,109.309,104.492,98.8731,101.281,106.901,102.887,109.309,107.703,104.492,105.295,106.116,108.506,110.914,106.098,102.887,101.281,102.084,107.703,106.901,107.703,103.69,104.431,101.281,103.69,108.506,101.281,107.703,107.703,105.83,103.69,106.098,103.098,100.479,105.295,107.323,101.281,98.8731,98.8731,103.69,106.116,105.295,103.69,100.479,101.281,98.8731,98.8731,98.8731,110.914,101.281,102.887,101.281,106.366,101.281,101.281,108.506,101.281,101.281,105.295,-7.35202,-4.15518,-7.16606,-11.7139,-3.47982,-3.43622,-3.40284,-3.52628,-4.05488,-3.98065,-3.86247,-3.77367,-4.07527,-3.50834,-3.40446,-3.66729,-3.40359,-3.41056,-3.40446,-3.50834,-3.40721,-3.66729,-3.56849,-3.43179,-3.40446,-3.42115,-3.47302,-3.70343,-4.2814,-3.41056,-3.8173,-3.45578,-3.43179,-3.66729,-4.51965,-3.92892,-3.43622,-3.42115,-3.54135,-3.43981,-3.66729,-3.45016,-3.41056,-3.40851,-9.62764,-9.62764,-3.40523,-3.45016,-4.07527,-3.41911,-3.78485,-3.40863,-4.41996,-3.40851,-3.40721,-3.40721,-3.45016,-4.2814,-3.50036,-4.05488,-3.71824,-3.66729,-3.42433,-3.67674,-3.67674,-3.40571,-3.66729,-3.98065,-3.66729,-3.99375,-3.40851,-3.66729,-3.41056,-3.40851,-3.40851,-3.47982,113.868,104.286,83.4997,85.2655,120.81,117.331,102.342,109.423,118.505,95.0827,97.2214,83.6482,113.103,135.161,108.49,114.119,136.783,111.85,102.675,96.2633,91.5889,91.959,95.8882,126.283,115.533,101.167,98.1704,105.246,86.204,134.656,118.934,119.38,105.558,94.0371,104.292,102.411,114.54,105.042,102.28,101.777,97.6176,95.7419,117.525,102.157,91.1191,100.319,120.104,87.9314,100.755,113.042,99.5354,95.1862,107.331,107.395,87.7245,105.12,92.3543,115.453,121.082,110.276,96.1502,84.2081,87.8467,96.2539,105.685,112.808,108.867,87.5207,105.539,105.004,103.695,112.305,94.9922,85.9516,102.899,118.589
-234.089,0.933584,0.464909,3,7,0,235.678,104.353,0.550707,15.1388,103.992,105.094,103.442,100.688,105.094,106.195,108.398,104,103.992,103.442,107.296,101.239,105.644,104.543,107.847,102.34,101.789,107.296,107.847,104.543,100.688,102.34,106.195,103.442,107.847,106.746,104.543,105.094,105.657,107.296,108.949,105.644,103.442,102.34,102.891,106.746,106.195,106.746,103.992,104.501,102.34,103.992,107.296,102.34,106.746,106.746,105.461,103.992,105.644,103.586,101.789,105.094,106.485,102.34,100.688,100.688,103.992,105.657,105.094,103.992,101.789,102.34,100.688,100.688,100.688,108.949,102.34,103.442,102.34,105.828,102.34,102.34,107.296,102.34,102.34,105.094,-6.15703,-4.12096,-6.07602,-9.24145,-3.68872,-3.66779,-3.6418,-3.72159,-4.06333,-4.03037,-3.98828,-3.80367,-4.08581,-3.70117,-3.64631,-3.76421,-3.64319,-3.65215,-3.64631,-3.70117,-3.63723,-3.76421,-3.71993,-3.66204,-3.64631,-3.65931,-3.68123,-3.81661,-4.1557,-3.65215,-3.8109,-3.67759,-3.66204,-3.76421,-4.27482,-4.01946,-3.66779,-3.65931,-3.71495,-3.65843,-3.76421,-3.67097,-3.65215,-3.64815,-7.71792,-7.71792,-3.63937,-3.67097,-4.08581,-3.64234,-3.93943,-3.63881,-4.21296,-3.64815,-3.63723,-3.63723,-3.67097,-4.1557,-3.69281,-4.06333,-3.78328,-3.76421,-3.67659,-3.88542,-3.88542,-3.63861,-3.76421,-4.03037,-3.76421,-3.97679,-3.64815,-3.76421,-3.65215,-3.64815,-3.64815,-3.68872,107.443,121.309,99.96,109.952,77.1413,94.386,78.9266,80.1459,77.6671,111.805,112.434,114.683,92.0676,128.581,105.183,92.0147,103.021,119.794,100.063,100.149,100.784,109.414,131.527,124.329,117.13,87.7591,139.995,96.4385,131.14,126.824,117.082,85.0891,108.322,104.797,92.2395,80.6535,115.603,111.051,95.2572,121.967,89.5383,102.575,104.497,75.8817,118.743,116.152,106.603,99.6754,104.067,93.6943,133.863,98.2081,111.051,99.1488,84.0987,80.7699,125.756,127.204,95.5853,121.483,83.7641,91.921,84.5335,83.0368,136.273,122.88,125.042,94.3153,122.865,99.5814,86.8151,124.176,104.621,82.669,132.078,89.8556
-233.796,0.975382,0.464909,3,7,0,236.376,106.648,0.862486,14.4895,106.083,107.808,105.22,100.908,107.808,109.533,112.983,106.096,106.083,105.22,111.258,101.77,108.67,106.945,112.12,103.495,102.633,111.258,112.12,106.945,100.908,103.495,109.533,105.22,112.12,110.395,106.945,107.808,108.69,111.258,113.845,108.67,105.22,103.495,104.358,110.395,109.533,110.395,106.083,106.879,103.495,106.083,111.258,103.495,110.395,110.395,108.383,106.083,108.67,105.447,102.633,107.808,109.987,103.495,100.908,100.908,106.083,108.69,107.808,106.083,102.633,103.495,100.908,100.908,100.908,113.845,103.495,105.22,103.495,108.958,103.495,103.495,111.258,103.495,103.495,107.808,-6.6931,-3.94638,-6.54664,-9.76449,-3.60381,-3.59288,-3.61355,-3.75847,-4.20837,-4.14407,-3.77438,-3.75366,-3.89807,-3.61458,-3.60307,-3.69313,-3.60887,-3.59613,-3.60307,-3.61458,-3.59432,-3.69313,-3.80878,-3.65726,-3.60307,-3.59273,-3.70724,-3.92441,-4.4043,-3.59613,-4.04888,-3.59657,-3.65726,-3.69313,-4.17508,-3.81207,-3.59288,-3.59273,-3.6289,-3.59394,-3.69313,-3.68048,-3.59613,-3.62146,-7.32797,-7.32797,-3.59937,-3.68048,-3.89807,-3.59244,-3.97243,-3.62689,-4.52237,-3.62146,-3.59432,-3.59432,-3.68048,-4.4043,-3.73754,-4.20837,-3.72162,-3.69313,-3.64107,-3.87572,-3.87572,-3.62757,-3.69313,-4.14407,-3.69313,-4.17376,-3.62146,-3.69313,-3.59613,-3.62146,-3.62146,-3.60381,115.627,122.387,117.133,84.4098,96.5459,103.934,110.026,101.039,89.3168,85.1192,141.905,101.307,91.2824,122.519,133.25,94.2066,73.0031,105.327,127.161,96.693,100.268,110.317,111.538,96.2415,115.998,111.98,112.75,129.87,85.8043,127.557,116.791,124.368,99.394,100.945,85.7653,120.127,111.756,117.904,90.2712,116.064,87.2124,89.4867,87.5195,79.3692,116.751,102.64,114.773,113.094,136.049,129.855,122.046,125.657,96.4981,90.8458,95.4735,87.722,118.986,99.4123,93.959,101.709,92.6107,108.83,99.7214,104.785,108.927,118.696,104.235,116.555,91.7795,127.829,109.962,103.373,111.6,116.16,94.3396,116.741
-235.261,0.913314,0.464909,3,7,0,237.719,104.802,1.45404,16.1888,103.85,106.758,102.396,95.1259,106.758,109.666,115.482,103.872,103.85,102.396,112.574,96.58,108.212,105.304,114.028,99.488,98.034,112.574,114.028,105.304,95.1259,99.488,109.666,102.396,114.028,111.12,105.304,106.758,108.245,112.574,116.936,108.212,102.396,99.488,100.942,111.12,109.666,111.12,103.85,105.192,99.488,103.85,112.574,99.488,111.12,111.12,107.728,103.85,108.212,102.779,98.034,106.758,110.432,99.488,95.1259,95.1259,103.85,108.245,106.758,103.85,98.034,99.488,95.1259,95.1259,95.1259,116.936,99.488,102.396,99.488,108.697,99.488,99.488,112.574,99.488,99.488,106.758,-5.88932,-4.03779,-5.70555,-7.58828,-3.72331,-3.70347,-3.7606,-3.77489,-4.06923,-3.99642,-3.80845,-4.04685,-3.96835,-3.74533,-3.73422,-3.91408,-3.71063,-3.7159,-3.73422,-3.74533,-3.74858,-3.91408,-3.88152,-3.71421,-3.73422,-3.70565,-3.75693,-3.92407,-4.32274,-3.7159,-4.25051,-3.70935,-3.71421,-3.91408,-4.39619,-3.85369,-3.70347,-3.70565,-3.77541,-3.71518,-3.91408,-3.73154,-3.7159,-3.70376,-6.5872,-6.5872,-3.7054,-3.73154,-3.96835,-3.71503,-3.8264,-3.71777,-4.4822,-3.70376,-3.74858,-3.74858,-3.73154,-4.32274,-3.79039,-4.06923,-3.97643,-3.91408,-3.70628,-3.75339,-3.75339,-3.79505,-3.91408,-3.99642,-3.91408,-4.15358,-3.70376,-3.91408,-3.7159,-3.70376,-3.70376,-3.72331,114.399,112.941,108.325,110.116,104.566,134.371,136.266,102.509,73.7932,92.2414,139.29,114.387,127.696,102.343,126.047,118.749,83.498,101.175,132.293,87.4749,89.0606,109.828,97.0817,76.4704,135.935,107.111,81.053,100.49,120.456,107.664,127.8,110.119,102.258,100.924,125.372,113.175,106.612,107.373,62.1681,92.089,100.44,121.265,109.474,102.807,117.162,140.677,99.2669,97.29,100.1,112.43,88.1439,112.785,118.407,96.4933,114.642,66.0662,119.805,101.219,107.82,145.102,90.5938,91.1957,80.0335,76.0033,83.0717,132.206,98.4114,119.119,92.5329,125.31,98.8833,117.705,109.169,125.477,99.4268,106.962
-234.937,1,0.464909,2,3,0,235.391,104.97,1.49914,15.9256,103.988,106.987,102.489,94.9935,106.987,109.985,115.982,104.011,103.988,102.489,112.983,96.4927,108.486,105.488,114.482,99.4909,97.9918,112.983,114.482,105.488,94.9935,99.4909,109.985,102.489,114.482,111.484,105.488,106.987,108.52,112.983,117.481,108.486,102.489,99.4909,100.99,111.484,109.985,111.484,103.988,105.372,99.4909,103.988,112.983,99.4909,111.484,111.484,107.986,103.988,108.486,102.884,97.9918,106.987,110.774,99.4909,94.9935,94.9935,103.988,108.52,106.987,103.988,97.9918,99.4909,94.9935,94.9935,94.9935,117.481,99.4909,102.489,99.4909,108.986,99.4909,99.4909,112.983,99.4909,99.4909,106.987,-5.96427,-4.02072,-5.7678,-7.67785,-3.70477,-3.68687,-3.7574,-3.76428,-4.07262,-3.99437,-3.78393,-4.04655,-3.94823,-3.72701,-3.72647,-3.90459,-3.69482,-3.70441,-3.72647,-3.72701,-3.73628,-3.90459,-3.88341,-3.69908,-3.72647,-3.69121,-3.74623,-3.92483,-4.34665,-3.70441,-4.28928,-3.69138,-3.69908,-3.90459,-4.39929,-3.82983,-3.68687,-3.69121,-3.75811,-3.69748,-3.90459,-3.71822,-3.70441,-3.68738,-6.61142,-6.61142,-3.6903,-3.71822,-3.94823,-3.69803,-3.81278,-3.70445,-4.51927,-3.68738,-3.73628,-3.73628,-3.71822,-4.34665,-3.7831,-4.07262,-3.97114,-3.90459,-3.69068,-3.73602,-3.73602,-3.79719,-3.90459,-3.99437,-3.90459,-4.16985,-3.68738,-3.90459,-3.70441,-3.68738,-3.68738,-3.70477,107.246,121.219,103.74,120.173,98.4787,87.7595,92.3096,123.325,94.498,110.446,92.2825,106.709,131.046,124.94,101.536,112.646,121.116,119.235,102.877,123.968,86.2016,129.485,119.758,94.2778,125.221,120.741,102.42,102.637,150.034,106.946,107.984,125.598,100.402,105.876,107.377,123.046,118.966,120.223,84.8461,125.602,119.047,77.6902,104.682,95.0359,118.487,100.044,79.8916,89.8506,91.1154,107.878,110.694,109.026,122.592,119.546,90.5854,97.7978,117.393,95.9623,74.8969,122.241,126.456,118.677,88.1345,116.835,87.861,99.9144,109.745,115.033,89.9695,105.106,90.3791,116.069,117.402,106.87,85.5325,105.303
