# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-17 20:18:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.97999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbr7o873l\u2pkjpsc.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220617221827_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.306042
# Diagonal elements of inverse mass matrix:
# 2.08679, 0.12415, 0.00608333
-233.254,0.989901,0.306042,3,15,0,237.107,102.312,0.601927,12.7553,101.918,103.122,101.316,98.3065,103.122,104.326,106.734,101.927,101.918,101.316,105.53,98.9085,103.724,102.52,106.132,100.112,99.5104,105.53,106.132,102.52,98.3065,100.112,104.326,101.316,106.132,104.928,102.52,103.122,103.737,105.53,107.335,103.724,101.316,100.112,100.714,104.928,104.326,104.928,101.918,102.474,100.112,101.918,105.53,100.112,104.928,104.928,103.523,101.918,103.724,101.475,99.5104,103.122,104.643,100.112,98.3065,98.3065,101.918,103.737,103.122,101.918,99.5104,100.112,98.3065,98.3065,98.3065,107.335,100.112,101.316,100.112,103.925,100.112,100.112,105.53,100.112,100.112,103.122,-6.59572,-4.34034,-6.47875,-10.6362,-3.61027,-3.56383,-3.49768,-3.51865,-3.9014,-3.85842,-4.10838,-3.84296,-4.27901,-3.63683,-3.51088,-3.76534,-3.46562,-3.5263,-3.51088,-3.63683,-3.4737,-3.76534,-3.52239,-3.47021,-3.51088,-3.54395,-3.4844,-3.62077,-4.02596,-3.5263,-3.63025,-3.58594,-3.47021,-3.76534,-4.60793,-4.16303,-3.56383,-3.54395,-3.66562,-3.54858,-3.76534,-3.47619,-3.5263,-3.46493,-9.70806,-9.70806,-3.49525,-3.47619,-4.27901,-3.509,-3.74285,-3.46726,-4.10365,-3.46493,-3.4737,-3.4737,-3.47619,-4.02596,-3.49484,-3.9014,-3.80304,-3.76534,-3.47623,-3.67693,-3.67693,-3.48671,-3.76534,-3.85842,-3.76534,-3.80961,-3.46493,-3.76534,-3.5263,-3.46493,-3.46493,-3.61027,100.872,99.06,115.906,114.273,112.87,111.649,111.717,126.507,96.0204,84.5016,124.068,123.727,93.6051,88.599,116.886,89.33,103.332,95.8187,119.862,88.2456,119.527,102.066,116.013,91.8125,110.971,109.336,99.1022,119.221,112.667,119.221,109.886,101.857,97.8865,94.5577,108.004,90.1777,106.814,138.478,97.1553,103.232,98.6009,96.7591,97.2926,122.627,106.535,92.5221,101.152,120.381,92.7751,98.8617,85.1703,124.493,98.962,89.6843,109.96,92.2601,103.707,106.639,113.234,108.428,95.8764,78.5198,105.192,126.282,83.7483,97.0293,92.7058,90.2954,97.2275,107.384,128.135,98.9844,124.689,95.1558,98.443,94.8004
-234.199,0.980028,0.306042,4,15,0,235.598,105.133,1.82907,14.6804,103.935,107.593,102.106,92.9608,107.593,111.252,118.568,103.963,103.935,102.106,114.91,94.7898,109.422,105.764,116.739,98.448,96.6189,114.91,116.739,105.764,92.9608,98.448,111.252,102.106,116.739,113.081,105.764,107.593,109.464,114.91,120.397,109.422,102.106,98.448,100.277,113.081,111.252,113.081,103.935,105.624,98.448,103.935,114.91,98.448,113.081,113.081,108.813,103.935,109.422,102.587,96.6189,107.593,112.214,98.448,92.9608,92.9608,103.935,109.464,107.593,103.935,96.6189,98.448,92.9608,92.9608,92.9608,120.397,98.448,102.106,98.448,110.032,98.448,98.448,114.91,98.448,98.448,107.593,-6.27719,-3.96256,-5.99694,-7.88735,-3.61889,-3.60909,-3.77576,-3.69516,-4.05598,-3.94547,-3.66557,-4.14219,-3.86503,-3.64708,-3.71081,-3.91506,-3.63198,-3.66138,-3.71081,-3.64708,-3.72041,-3.91506,-3.89916,-3.61575,-3.71081,-3.62747,-3.68254,-3.91728,-4.46411,-3.66138,-4.57066,-3.60623,-3.61575,-3.91506,-4.50793,-3.71653,-3.60909,-3.62747,-3.69079,-3.61538,-3.91506,-3.64138,-3.66138,-3.61104,-6.76775,-6.76775,-3.61614,-3.64138,-3.86503,-3.62206,-3.70709,-3.63541,-4.72718,-3.61104,-3.72041,-3.72041,-3.64138,-4.46411,-3.73922,-4.05598,-4.02086,-3.91506,-3.63267,-3.62579,-3.62579,-3.85624,-3.91506,-3.94547,-3.91506,-4.25239,-3.61104,-3.91506,-3.66138,-3.61104,-3.61104,-3.61889,95.9078,77.1181,89.0643,112.149,104.793,117.924,95.0835,99.9543,114.838,105.834,96.1097,87.1795,127.175,111.479,125.693,100.315,80.0514,93.5,124.96,122.484,94.0264,96.275,108.704,115.309,125.233,81.8049,108.561,98.9129,135.969,121.227,110.03,111.671,108.136,111.651,105.38,105.911,119.451,124.687,112.473,104.809,90.4814,106.302,112.36,114.169,120.814,128.085,121.476,118.799,94.4762,71.7633,106.126,128.235,99.5672,88.6727,60.2874,69.8413,121.998,119.048,105.623,107.826,106.106,85.9318,86.5241,102.573,101.274,121.429,103.997,101.536,113.555,100.016,97.4606,96.8684,86.7929,92.4011,124.676,92.1436
-233,0.996617,0.306042,4,15,0,235.816,103.261,0.876924,11.4528,102.687,104.441,101.81,97.4254,104.441,106.195,109.702,102.7,102.687,101.81,107.948,98.3023,105.318,103.564,108.825,100.056,99.1792,107.948,108.825,103.564,97.4254,100.056,106.195,101.81,108.825,107.072,103.564,104.441,105.337,107.948,110.579,105.318,101.81,100.056,100.933,107.072,106.195,107.072,102.687,103.496,100.056,102.687,107.948,100.056,107.072,107.072,105.025,102.687,105.318,102.041,99.1792,104.441,106.656,100.056,97.4254,97.4254,102.687,105.337,104.441,102.687,99.1792,100.056,97.4254,97.4254,97.4254,110.579,100.056,101.81,100.056,105.61,100.056,100.056,107.948,100.056,100.056,104.441,-7.42998,-4.28001,-7.21438,-11.9309,-3.47498,-3.41237,-3.35751,-3.45079,-3.97073,-3.88885,-3.91082,-3.87879,-4.17892,-3.51508,-3.36243,-3.7341,-3.35974,-3.37322,-3.36243,-3.51508,-3.38244,-3.7341,-3.50345,-3.36966,-3.36243,-3.38986,-3.40559,-3.62876,-4.2277,-3.37322,-3.78381,-3.44075,-3.36966,-3.7341,-4.743,-3.99432,-3.41237,-3.38986,-3.56104,-3.42429,-3.7341,-3.38469,-3.37322,-3.35719,-10.382,-10.382,-3.36744,-3.38469,-4.17892,-3.39676,-3.67836,-3.35791,-4.38626,-3.35719,-3.38244,-3.38244,-3.38469,-4.2277,-3.43235,-3.97073,-3.80351,-3.7341,-3.3613,-3.56735,-3.56735,-3.35845,-3.7341,-3.88885,-3.7341,-3.93169,-3.35719,-3.7341,-3.37322,-3.35719,-3.35719,-3.47498,102.025,127.938,121.031,117.351,107.536,97.1764,78.8577,92.211,123.05,125.962,106.091,96.1894,102.29,76.1911,126.43,114.507,104.302,112.015,93.8647,97.5868,94.5976,97.501,108.328,114.058,110.591,104.256,108.691,99.2689,88.235,120.79,135.738,89.2999,121.187,115.085,105.463,101.174,84.2167,137.094,109.774,99.9212,88.3336,97.1316,94.342,95.2622,114.376,113.51,97.643,120.342,122.806,113.486,114.388,102.809,112.728,98.1392,88.3074,115.748,109.007,89.2868,81.7001,113.381,79.9574,100.51,78.0474,112.715,88.5963,108.974,116.019,97.6939,86.0479,96.5937,96.3947,93.1475,114.982,90.2599,99.3203,78.0699
-233.043,0.996991,0.306042,3,7,0,233.822,103.423,1.12365,11.169,102.687,104.934,101.563,95.945,104.934,107.181,111.676,102.704,102.687,101.563,109.429,97.0686,106.058,103.811,110.552,99.3159,98.1923,109.429,110.552,103.811,95.945,99.3159,107.181,101.563,110.552,108.305,103.811,104.934,106.083,109.429,112.8,106.058,101.563,99.3159,100.44,108.305,107.181,108.305,102.687,103.724,99.3159,102.687,109.429,99.3159,108.305,108.305,105.683,102.687,106.058,101.859,98.1923,104.934,107.773,99.3159,95.945,95.945,102.687,106.083,104.934,102.687,98.1923,99.3159,95.945,95.945,95.945,112.8,99.3159,101.563,99.3159,106.432,99.3159,99.3159,109.429,99.3159,99.3159,104.934,-7.61452,-4.24184,-7.32515,-11.7931,-3.43494,-3.36392,-3.34334,-3.43066,-3.97722,-3.868,-3.77999,-4.00232,-4.1112,-3.48563,-3.3333,-3.78961,-3.34517,-3.33338,-3.3333,-3.48563,-3.39798,-3.78961,-3.53879,-3.34187,-3.3333,-3.34359,-3.39028,-3.65201,-4.33998,-3.33338,-3.98875,-3.39437,-3.34187,-3.78961,-4.86564,-3.88027,-3.36392,-3.34359,-3.54644,-3.39519,-3.78961,-3.36101,-3.33338,-3.33395,-10.3001,-10.3001,-3.33595,-3.36101,-4.1112,-3.37853,-3.60108,-3.33557,-4.56622,-3.33395,-3.39798,-3.39798,-3.36101,-4.33998,-3.42966,-3.97722,-3.8909,-3.78961,-3.33285,-3.47374,-3.47374,-3.36349,-3.78961,-3.868,-3.78961,-4.01982,-3.33395,-3.78961,-3.33338,-3.33395,-3.33395,-3.43494,101.946,105.544,96.797,78.4613,107.178,125.92,107.926,94.1958,106.24,85.2813,104.142,91.7502,126.498,93.5248,117.621,75.7271,80.3819,116.391,108.038,111.291,89.8039,101.812,113.442,104.226,116.612,106.08,99.1971,109.42,102.287,114.127,110.543,104.491,89.2171,89.1631,117.95,96.2156,114.143,116.316,98.7694,104.364,89.6396,92.6713,96.4518,94.0914,129.017,95.7906,82.6015,126.816,106.234,115.675,105.427,105.538,113.024,106.925,99.3652,82.9137,100.104,102.494,103.819,106.388,87.7431,114.032,107.91,93.1321,92.0324,120.946,105.667,116.425,107.245,103.883,95.489,96.3289,121.906,89.9709,105.937,103.1
-232.342,1,0.306042,3,7,0,233.458,103.326,0.978387,11.6868,102.686,104.642,101.707,96.8153,104.642,106.599,110.513,102.7,102.686,101.707,108.556,97.7936,105.621,103.664,109.534,99.7504,98.772,108.556,109.534,103.664,96.8153,99.7504,106.599,101.707,109.534,107.578,103.664,104.642,105.643,108.556,111.491,105.621,101.707,99.7504,100.729,107.578,106.599,107.578,102.686,103.589,99.7504,102.686,108.556,99.7504,107.578,107.578,105.295,102.686,105.621,101.965,98.772,104.642,107.114,99.7504,96.8153,96.8153,102.686,105.643,104.642,102.686,98.772,99.7504,96.8153,96.8153,96.8153,111.491,99.7504,101.707,99.7504,105.947,99.7504,99.7504,108.556,99.7504,99.7504,104.642,-7.28843,-4.24083,-7.05779,-11.4007,-3.48248,-3.41974,-3.37836,-3.46731,-3.96651,-3.87914,-3.85685,-3.92284,-4.13432,-3.52436,-3.37819,-3.76198,-3.38292,-3.38503,-3.37819,-3.52436,-3.41453,-3.76198,-3.53682,-3.38807,-3.37819,-3.39888,-3.42654,-3.65083,-4.24754,-3.38503,-3.86079,-3.44761,-3.38807,-3.76198,-4.73695,-3.94233,-3.41974,-3.39888,-3.57326,-3.43905,-3.76198,-3.4038,-3.38503,-3.37763,-9.96566,-9.96566,-3.38429,-3.4038,-4.13432,-3.41723,-3.65909,-3.37891,-4.42154,-3.37763,-3.41453,-3.41453,-3.4038,-4.24754,-3.45629,-3.96651,-3.83891,-3.76198,-3.37807,-3.54744,-3.54744,-3.38554,-3.76198,-3.87914,-3.76198,-3.95984,-3.37763,-3.76198,-3.38503,-3.37763,-3.37763,-3.48248,107.811,115.236,102.151,94.1467,113.075,119.033,124.304,123.392,104.882,90.9149,109.647,99.4955,131.202,117.419,111.034,103.312,68.2183,86.9653,86.5558,98.3739,111.461,90.435,85.4161,125.583,109.082,110.328,114.906,101.405,105.029,130.04,107.242,107.202,102.492,78.2896,110.067,119.073,91.5053,92.5006,91.1935,91.9856,113.961,108.825,93.5079,90.4592,113.109,89.496,97.2113,120.057,91.814,107.316,91.0909,102.655,107.367,108.087,87.5673,101.108,72.9725,94.681,109.022,105.496,107.715,104.342,111.924,92.001,115.729,115.139,87.6753,83.8841,85.5132,97.4725,103.033,105.079,119.489,89.4695,81.8431,87.2609
-232.908,0.98292,0.306042,4,15,0,234.732,105.036,1.49541,14.4765,104.057,107.047,102.561,95.0841,107.047,110.038,116.02,104.079,104.057,102.561,113.029,96.5795,108.543,105.552,114.524,99.5703,98.0749,113.029,114.524,105.552,95.0841,99.5703,110.038,102.561,114.524,111.534,105.552,107.047,108.576,113.029,117.515,108.543,102.561,99.5703,101.066,111.534,110.038,111.534,104.057,105.437,99.5703,104.057,113.029,99.5703,111.534,111.534,108.044,104.057,108.543,102.955,98.0749,107.047,110.825,99.5703,95.0841,95.0841,104.057,108.576,107.047,104.057,98.0749,99.5703,95.0841,95.0841,95.0841,117.515,99.5703,102.561,99.5703,109.041,99.5703,99.5703,113.029,99.5703,99.5703,107.047,-6.35868,-3.99174,-6.121,-8.44087,-3.61227,-3.59147,-3.67792,-3.6872,-4.06287,-3.96791,-3.70741,-4.02118,-3.90465,-3.63867,-3.6403,-3.851,-3.60031,-3.61336,-3.6403,-3.63867,-3.64912,-3.851,-3.83187,-3.60711,-3.6403,-3.59708,-3.66501,-3.88264,-4.39491,-3.61336,-4.3234,-3.59653,-3.60711,-3.851,-4.44681,-3.76248,-3.59147,-3.59708,-3.67575,-3.6036,-3.851,-3.63073,-3.61336,-3.59191,-7.12172,-7.12172,-3.59599,-3.63073,-3.90465,-3.60418,-3.74703,-3.61362,-4.60389,-3.59191,-3.64912,-3.64912,-3.63073,-4.39491,-3.70996,-4.06287,-3.93075,-3.851,-3.59551,-3.65313,-3.65313,-3.72621,-3.851,-3.96791,-3.851,-4.18014,-3.59191,-3.851,-3.61336,-3.59191,-3.59191,-3.61227,111.766,117.237,109.337,82.5848,111.412,107.643,86.8214,88.8002,102.04,108.803,121.47,128.048,121.424,110.305,93.6369,88.0557,83.2341,102.308,107.036,98.9419,54.4694,88.413,120.735,93.7772,89.2222,99.4618,133.088,74.2812,89.8825,107.146,130.622,96.4694,105.325,93.0908,114.22,109.63,115.733,119.736,114.788,104.057,88.5221,100.187,110.229,82.2342,113.912,120.485,123.352,95.6994,128.006,73.071,89.4935,100.678,103.109,118.06,94.7503,115.428,129.323,124.368,103.315,113.326,104.08,99.6582,90.0539,61.645,102.645,102.899,112.668,119.589,98.7528,88.9306,105.732,88.59,101.453,86.3763,83.5538,120.638
