# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-17 20:18:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.97999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbr7o873l\u2pkjpsc.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220617221827_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.387601
# Diagonal elements of inverse mass matrix:
# 2.39421, 0.141273, 0.00633301
-231.51,0.997813,0.387601,3,7,0,231.91,103.945,1.38066,12.5621,103.041,105.803,101.661,94.7573,105.803,108.564,114.087,103.062,103.041,101.661,111.325,96.1379,107.183,104.422,112.706,98.8993,97.5186,111.325,112.706,104.422,94.7573,98.8993,108.564,101.661,112.706,109.945,104.422,105.803,107.214,111.325,115.467,107.183,101.661,98.8993,100.28,109.945,108.564,109.945,103.041,104.316,98.8993,103.041,111.325,98.8993,109.945,109.945,106.723,103.041,107.183,102.024,97.5186,105.803,109.291,98.8993,94.7573,94.7573,103.041,107.214,105.803,103.041,97.5186,98.8993,94.7573,94.7573,94.7573,115.467,98.8993,101.661,98.8993,107.643,98.8993,98.8993,111.325,98.8993,98.8993,105.803,-6.90867,-4.08827,-6.62563,-9.79666,-3.50545,-3.45616,-3.50254,-3.53922,-3.98849,-3.88043,-3.68805,-4.05846,-3.9701,-3.54821,-3.47282,-3.84006,-3.46913,-3.45519,-3.47282,-3.54821,-3.53671,-3.84006,-3.682,-3.45836,-3.47282,-3.44963,-3.51158,-3.75408,-4.3641,-3.45519,-4.20762,-3.47476,-3.45836,-3.84006,-4.68177,-3.76999,-3.45616,-3.44963,-3.60305,-3.48575,-3.84006,-3.47893,-3.45519,-3.45346,-8.53317,-8.53317,-3.44964,-3.47893,-3.9701,-3.48287,-3.62873,-3.45992,-4.60127,-3.45346,-3.53671,-3.53671,-3.47893,-4.3641,-3.55631,-3.98849,-3.94322,-3.84006,-3.45803,-3.52133,-3.52133,-3.54433,-3.84006,-3.88043,-3.84006,-4.09845,-3.45346,-3.84006,-3.45519,-3.45346,-3.45346,-3.50545,108.074,124.931,81.8193,108.888,108.356,122.173,109.035,100.851,86.9219,110.098,113.253,102.648,93.4748,112.385,98.5889,84.5107,76.938,90.4082,118.216,97.6983,100.297,104.978,132.301,122.822,129.537,125.419,92.7275,94.8356,102.503,99.8933,126.654,99.1399,89.6539,95.1073,91.5909,114.57,107.535,113.306,109.994,108.522,99.5401,112.868,101.168,115.261,115.551,109.838,107.02,114.021,99.2454,109.769,105.108,84.9906,82.674,86.0114,101.676,102.943,107.839,111.815,117.435,101.34,116.689,115.027,93.6999,71.4337,86.8775,136.198,112.717,116.78,96.6013,116.969,113.846,87.6196,102.479,113.072,85.0642,101.096
-232.63,0.961364,0.387601,3,7,0,233.342,103.296,1.24781,14.6063,102.479,104.975,101.231,94.9921,104.975,107.47,112.461,102.498,102.479,101.231,109.966,96.24,106.222,103.727,111.214,98.7356,97.4878,109.966,111.214,103.727,94.9921,98.7356,107.47,101.231,111.214,108.718,103.727,104.975,106.251,109.966,113.709,106.222,101.231,98.7356,99.9834,108.718,107.47,108.718,102.479,103.631,98.7356,102.479,109.966,98.7356,108.718,108.718,105.806,102.479,106.222,101.56,97.4878,104.975,108.127,98.7356,94.9921,94.9921,102.479,106.251,104.975,102.479,97.4878,98.7356,94.9921,94.9921,94.9921,113.709,98.7356,101.231,98.7356,106.638,98.7356,98.7356,109.966,98.7356,98.7356,104.975,-6.07266,-4.12949,-5.88634,-8.3446,-3.65958,-3.61539,-3.61459,-3.65335,-3.96535,-3.89602,-3.83636,-4.04413,-4.04526,-3.69262,-3.60384,-3.89777,-3.61518,-3.60039,-3.60384,-3.69262,-3.65917,-3.89777,-3.73118,-3.60394,-3.60384,-3.60424,-3.63294,-3.78916,-4.20224,-3.60039,-4.04086,-3.63383,-3.60394,-3.89777,-4.5394,-3.89869,-3.61539,-3.60424,-3.73296,-3.63905,-3.89777,-3.61479,-3.60039,-3.60414,-7.59441,-7.59441,-3.60212,-3.61479,-4.04526,-3.63254,-3.73179,-3.60262,-4.35143,-3.60414,-3.65917,-3.65917,-3.61479,-4.20224,-3.65839,-3.96535,-3.9673,-3.89777,-3.60494,-3.6588,-3.6588,-3.63264,-3.89777,-3.89602,-3.89777,-4.01527,-3.60414,-3.89777,-3.60039,-3.60414,-3.60414,-3.65958,117.823,113.248,73.7212,68.2071,120.532,87.72,109.831,87.6355,121.571,96.4448,93.3908,93.691,116.633,107.775,130.81,95.9181,107.426,113.859,88.8203,111.462,108.456,85.9608,89.9389,92.1926,108.072,101.444,129.443,99.8076,110.585,94.881,115.25,131.81,102.458,96.1606,61.6865,122.705,139.166,120.727,121.447,129.514,75.6282,104.871,89.8157,108.271,106.903,128.77,93.1931,113.62,99.049,107.474,85.345,102.173,101.991,93.9118,84.9312,91.1831,62.3967,89.777,100.8,100.532,98.9419,65.5622,97.7472,117.461,96.5043,97.5548,107.475,106.796,87.6768,92.9653,109.459,80.6269,109.684,70.6852,114.145,88.0914
-232.178,0.976959,0.387601,3,7,0,235.151,104.928,0.988021,11.8522,104.281,106.257,103.293,98.3525,106.257,108.233,112.185,104.296,104.281,103.293,110.209,99.3406,107.245,105.269,111.197,101.317,100.329,110.209,111.197,105.269,98.3525,101.317,108.233,103.293,111.197,109.221,105.269,106.257,107.267,110.209,113.173,107.245,103.293,101.317,102.305,109.221,108.233,109.221,104.281,105.193,101.317,104.281,110.209,101.317,109.221,109.221,106.915,104.281,107.245,103.553,100.329,106.257,108.753,101.317,98.3525,98.3525,104.281,107.267,106.257,104.281,100.329,101.317,98.3525,98.3525,98.3525,113.173,101.317,103.293,101.317,107.574,101.317,101.317,110.209,101.317,101.317,106.257,-7.57427,-4.06374,-7.33663,-11.7131,-3.44133,-3.40257,-3.40844,-3.54421,-4.11734,-4.02037,-3.73268,-3.79588,-3.97055,-3.47113,-3.39655,-3.65983,-3.39184,-3.39161,-3.39655,-3.47113,-3.40111,-3.65983,-3.6327,-3.43004,-3.39655,-3.39362,-3.49026,-3.7659,-4.42513,-3.39161,-4.00909,-3.41848,-3.43004,-3.65983,-4.50598,-3.80502,-3.40257,-3.39362,-3.50788,-3.41369,-3.65983,-3.45668,-3.39161,-3.39762,-9.31046,-9.31046,-3.39167,-3.45668,-3.97055,-3.40187,-3.77116,-3.40958,-4.61322,-3.39762,-3.40111,-3.40111,-3.45668,-4.42513,-3.53079,-4.11734,-3.72438,-3.65983,-3.40523,-3.63977,-3.63977,-3.42729,-3.65983,-4.02037,-3.65983,-4.11328,-3.39762,-3.65983,-3.39161,-3.39762,-3.39762,-3.44133,128.642,106.833,113.288,83.3722,104.724,120.214,109.486,90.6032,89.6124,109.357,96.9454,90.6868,107.309,90.1581,115.378,105.598,102.966,123.648,103.779,106.082,100.224,101.416,133.823,84.7416,124.591,92.3003,85.9348,102.479,119.53,122.549,113.829,107.471,121.399,114.139,110.068,111.842,75.5776,114.681,107.57,70.1082,88.1162,107.191,117.419,101.956,122.27,98.5835,114.427,105.87,106.568,105.952,96.8896,89.1816,102.353,110.744,100.359,126.265,109.398,107.603,77.9431,104.248,98.3219,107.332,97.2412,82.398,97.9554,116.003,91.1628,113.554,98.7759,118.745,100.091,124.91,125.526,69.0431,101.705,82.8012
-232.059,0.981357,0.387601,3,7,0,233.331,105.672,0.993139,12.6686,105.021,107.008,104.028,99.0625,107.008,108.994,112.966,105.036,105.021,104.028,110.98,100.056,108.001,106.015,111.973,102.042,101.049,110.98,111.973,106.015,99.0625,102.042,108.994,104.028,111.973,109.987,106.015,107.008,108.023,110.98,113.96,108.001,104.028,102.042,103.035,109.987,108.994,109.987,105.021,105.938,102.042,105.021,110.98,102.042,109.987,109.987,107.67,105.021,108.001,104.29,101.049,107.008,109.517,102.042,99.0625,99.0625,105.021,108.023,107.008,105.021,101.049,102.042,99.0625,99.0625,99.0625,113.96,102.042,104.028,102.042,108.332,102.042,102.042,110.98,102.042,102.042,107.008,-7.2791,-3.98395,-7.06546,-10.9573,-3.48596,-3.46122,-3.48548,-3.62372,-4.16103,-4.07115,-3.71152,-3.76614,-3.90662,-3.50755,-3.47019,-3.65536,-3.46149,-3.46106,-3.47019,-3.50755,-3.4608,-3.65536,-3.71007,-3.50861,-3.47019,-3.45806,-3.57076,-3.83555,-4.44489,-3.46106,-4.06516,-3.47051,-3.50861,-3.65536,-4.3547,-3.77041,-3.46122,-3.45806,-3.53528,-3.46765,-3.65536,-3.53661,-3.46106,-3.47105,-8.44595,-8.44595,-3.4612,-3.53661,-3.90662,-3.46101,-3.83838,-3.48624,-4.61745,-3.47105,-3.4608,-3.4608,-3.53661,-4.44489,-3.61105,-4.16103,-3.70768,-3.65536,-3.48039,-3.71393,-3.71393,-3.50691,-3.65536,-4.07115,-3.65536,-4.15889,-3.47105,-3.65536,-3.46106,-3.47105,-3.47105,-3.48596,89.6671,101.542,112.83,117.022,99.9318,106.465,117.274,96.9893,91.4178,106.387,95.3491,92.0797,105.005,100.644,110.763,102.596,112.92,115.713,117.808,86.8494,114.542,101.387,93.1935,118.933,104.123,102.009,71.9588,104.847,110.025,99.9734,105.693,97.1505,90.0804,65.4014,95.0582,126.869,99.6222,118.246,102.426,114.958,107.069,111.497,131.778,96.8058,131.927,112.991,104.205,77.5174,138.892,123.761,75.63,115.562,102.745,111.889,101.839,104.337,113.875,99.0069,116.573,99.1183,115.226,97.2847,80.3549,96.3663,106.27,109.336,99.0956,92.1377,89.3714,115.663,69.1212,82.4011,101.17,95.7828,102.204,99.4914
-232.039,0.982954,0.387601,3,7,0,233.074,105.661,1.05771,12.5023,104.969,107.084,103.911,98.6224,107.084,109.199,113.43,104.985,104.969,103.911,111.315,99.6801,108.142,106.026,112.373,101.795,100.738,111.315,112.373,106.026,98.6224,101.795,109.199,103.911,112.373,110.257,106.026,107.084,108.166,111.315,114.488,108.142,103.911,101.795,102.853,110.257,109.199,110.257,104.969,105.945,101.795,104.969,111.315,101.795,110.257,110.257,107.789,104.969,108.142,104.189,100.738,107.084,109.756,101.795,98.6224,98.6224,104.969,108.166,107.084,104.969,100.738,101.795,98.6224,98.6224,98.6224,114.488,101.795,103.911,101.795,108.494,101.795,101.795,111.315,101.795,101.795,107.084,-7.35638,-3.97848,-7.12333,-11.0073,-3.47205,-3.4469,-3.48249,-3.61253,-4.16158,-4.06387,-3.68614,-3.78553,-3.89466,-3.49536,-3.46286,-3.66018,-3.44659,-3.45038,-3.46286,-3.49536,-3.45092,-3.66018,-3.71557,-3.49378,-3.46286,-3.44506,-3.56102,-3.83785,-4.47438,-3.45038,-4.11629,-3.4559,-3.49378,-3.66018,-4.38534,-3.74849,-3.4469,-3.44506,-3.52583,-3.45462,-3.66018,-3.52382,-3.45038,-3.45516,-8.49735,-8.49735,-3.44888,-3.52382,-3.89466,-3.44854,-3.81368,-3.47528,-4.66502,-3.45516,-3.45092,-3.45092,-3.52382,-4.47438,-3.60538,-4.16158,-3.71927,-3.66018,-3.46086,-3.68267,-3.68267,-3.50928,-3.66018,-4.06387,-3.66018,-4.18012,-3.45516,-3.66018,-3.45038,-3.45516,-3.45516,-3.47205,93.5108,115.73,104.904,119.877,105.459,96.4284,94.5508,107.447,106.123,103.161,114.65,79.9239,113.864,87.4075,116.083,115.922,65.7486,120.468,127.659,91.5366,99.6716,106.525,100.724,78.5803,111.014,129.544,66.5783,90.4421,119.526,108.062,115.413,101.08,111.388,92.385,115.702,92.3002,115.872,119.393,94.5141,113.866,95.4095,109.756,113.109,107.584,103.847,112.83,95.1766,95.2369,111.396,109.192,87.3115,114.651,101.641,91.426,104.483,105.053,95.1497,118.974,96.8346,70.049,98.1705,125.993,140.457,91.592,117.334,120.777,106.691,111.73,91.2355,108.625,91.3565,118.2,122.773,86.3116,114.653,89.7917
-232.228,0.994962,0.387601,4,15,0,233.168,102.743,1.03282,14.0065,102.067,104.132,101.034,95.8698,104.132,106.198,110.329,102.082,102.067,101.034,108.264,96.9026,105.165,103.099,109.296,98.9682,97.9354,108.264,109.296,103.099,95.8698,98.9682,106.198,101.034,109.296,107.231,103.099,104.132,105.188,108.264,111.362,105.165,101.034,98.9682,100.001,107.231,106.198,107.231,102.067,103.02,98.9682,102.067,108.264,98.9682,107.231,107.231,104.821,102.067,105.165,101.306,97.9354,104.132,106.742,98.9682,95.8698,95.8698,102.067,105.188,104.132,102.067,97.9354,98.9682,95.8698,95.8698,95.8698,111.362,98.9682,101.034,98.9682,105.509,98.9682,98.9682,108.264,98.9682,98.9682,104.132,-6.17916,-4.20017,-6.01306,-8.9209,-3.64621,-3.5953,-3.55874,-3.60642,-3.92956,-3.86875,-3.90952,-3.99566,-4.11935,-3.67982,-3.55972,-3.86863,-3.56932,-3.56615,-3.55972,-3.67982,-3.60194,-3.86863,-3.65637,-3.56119,-3.55972,-3.57801,-3.58295,-3.72701,-4.12907,-3.56615,-3.88748,-3.61804,-3.56119,-3.86863,-4.57782,-3.97403,-3.5953,-3.57801,-3.71887,-3.6141,-3.86863,-3.56935,-3.56615,-3.56117,-8.22047,-8.22047,-3.56714,-3.56935,-4.11935,-3.59838,-3.71895,-3.55851,-4.25368,-3.56117,-3.60194,-3.60194,-3.56935,-4.12907,-3.60198,-3.92956,-3.92943,-3.86863,-3.55914,-3.64627,-3.64627,-3.56319,-3.86863,-3.86875,-3.86863,-3.93632,-3.56117,-3.86863,-3.56615,-3.56117,-3.56117,-3.64621,93.0365,108.833,88.4325,96.6142,104.739,96.4647,99.2179,98.5949,90.4492,120.783,111.341,113.475,93.9091,84.8675,114.516,122.217,88.2429,116.669,137.647,117.581,78.5844,99.573,87.6068,90.1744,106.251,88.6362,81.9096,107.845,108.858,112.958,97.9647,99.3414,111.643,110.96,131.576,92.789,80.0553,120.955,100.863,108.258,81.1471,79.2295,102.713,86.9228,112.726,106.527,118.679,99.9747,110.851,88.4334,106.972,99.1311,121.403,92.5308,75.4632,91.0622,107.516,112.901,121.845,108.09,122.693,103.804,122.05,108.339,122.104,134.183,118.021,101.001,105.731,125.65,98.6881,80.0972,104.144,105.152,76.4391,118.083
