# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-17 20:18:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.98999999999999999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbr7o873l\g2x1d_9i.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220617221846_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.262846
# Diagonal elements of inverse mass matrix:
# 1.96518, 0.123706, 0.00662241
-232.904,0.998707,0.262846,4,15,0,235.934,105.065,1.18706,11.3171,104.287,106.662,103.1,97.1651,106.662,109.036,113.784,104.305,104.287,103.1,111.41,98.3522,107.849,105.475,112.597,100.726,99.5392,111.41,112.597,105.475,97.1651,100.726,109.036,103.1,112.597,110.223,105.475,106.662,107.875,111.41,114.971,107.849,103.1,100.726,101.913,110.223,109.036,110.223,104.287,105.383,100.726,104.287,111.41,100.726,110.223,110.223,107.453,104.287,107.849,103.413,99.5392,106.662,109.661,100.726,97.1651,97.1651,104.287,107.875,106.662,104.287,99.5392,100.726,97.1651,97.1651,97.1651,114.971,100.726,103.1,100.726,108.244,100.726,100.726,111.41,100.726,100.726,106.662,-7.93483,-4.03981,-7.62254,-12.0297,-3.38876,-3.34888,-3.40115,-3.5133,-4.14217,-4.01525,-3.63332,-3.8749,-3.92168,-3.4252,-3.37158,-3.681,-3.34608,-3.35301,-3.37158,-3.4252,-3.37663,-3.681,-3.66399,-3.38278,-3.37158,-3.34545,-3.46226,-3.78901,-4.5614,-3.35301,-4.22025,-3.36332,-3.38278,-3.681,-4.62233,-3.71844,-3.34888,-3.34545,-3.47265,-3.36607,-3.681,-3.41702,-3.35301,-3.34731,-9.52213,-9.52213,-3.34767,-3.41702,-3.92168,-3.35862,-3.7005,-3.37291,-4.81983,-3.34731,-3.37663,-3.37663,-3.41702,-4.5614,-3.5185,-4.14217,-3.77245,-3.681,-3.34762,-3.54567,-3.54567,-3.44172,-3.681,-4.01525,-3.681,-4.21325,-3.34731,-3.681,-3.35301,-3.34731,-3.34731,-3.38876,114.571,103.717,103.938,90.7726,113.429,100.517,125.415,88.0507,110.328,111.371,101.946,105.522,102.068,109.808,114.221,105.966,93.7368,113.739,101.18,96.6654,100.111,105.254,96.8823,109.95,105.251,100.836,110.78,112.482,98.9874,121.193,105.693,76.2395,100.777,122.63,139.782,103.859,125.973,115.916,108.719,112.461,91.1674,104.406,101.961,115.576,120.595,96.2068,119.091,88.6345,102.878,116.769,90.3128,123.863,107.871,93.43,100.963,86.9834,104.889,108.366,98.7973,95.3097,96.7215,91.3395,113.123,99.6518,110.555,105.876,85.9951,107.318,119.511,100.413,107.518,123.633,123.111,86.7599,101.215,91.6402
-232.174,0.996638,0.262846,3,15,0,234.098,105.337,1.25585,13.9424,104.515,107.026,103.259,96.9796,107.026,109.538,114.562,104.534,104.515,103.259,112.05,98.2354,108.282,105.771,113.306,100.747,99.4913,112.05,113.306,105.771,96.9796,100.747,109.538,103.259,113.306,110.794,105.771,107.026,108.311,112.05,115.817,108.282,103.259,100.747,102.003,110.794,109.538,110.794,104.515,105.674,100.747,104.515,112.05,100.747,110.794,110.794,107.864,104.515,108.282,103.589,99.4913,107.026,110.199,100.747,96.9796,96.9796,104.515,108.311,107.026,104.515,99.4913,100.747,96.9796,96.9796,96.9796,115.817,100.747,103.259,100.747,108.701,100.747,100.747,112.05,100.747,100.747,107.026,-6.61797,-3.9868,-6.39905,-9.2308,-3.57662,-3.55442,-3.60739,-3.67243,-4.09576,-4.00605,-3.71645,-3.90987,-3.90704,-3.59988,-3.58198,-3.77409,-3.55454,-3.56468,-3.58198,-3.59988,-3.57734,-3.77409,-3.78788,-3.58119,-3.58198,-3.55549,-3.63952,-3.8666,-4.39514,-3.56468,-4.1974,-3.56146,-3.58119,-3.77409,-4.38697,-3.77187,-3.55442,-3.55549,-3.63127,-3.56435,-3.77409,-3.6063,-3.56468,-3.55531,-7.50755,-7.50755,-3.55756,-3.6063,-3.90704,-3.56108,-3.78558,-3.57743,-4.58001,-3.55531,-3.57734,-3.57734,-3.6063,-4.39514,-3.68086,-4.09576,-3.83792,-3.77409,-3.55478,-3.67917,-3.67917,-3.64092,-3.77409,-4.00605,-3.77409,-4.16131,-3.55531,-3.77409,-3.56468,-3.55531,-3.55531,-3.57662,103.832,112.068,83.5963,87.1115,89.262,109.964,114.434,119.765,101.46,122.69,118.775,108.834,107.395,110.976,97.537,109.598,90.0167,99.5697,104.789,91.4556,71.3904,84.6812,82.7709,98.2805,127.9,104.386,85.4574,102.241,113.735,119.727,133.449,114.278,127.903,105.561,128.063,123.207,135.652,133.511,123.48,105.641,107.479,124.563,111.771,81.9625,106.693,116.95,85.4376,118.401,102.208,93.069,118.736,91.7856,115.95,90.2328,80.4336,108.109,103.617,98.362,86.6609,110.742,119.647,114.963,105.06,95.3237,111.722,110.75,93.6703,96.4048,100.487,86.1457,128.043,116.56,121.283,109.291,99.3213,100.471
-231.799,0.984417,0.262846,3,15,0,235.313,105.139,0.92178,12.834,104.536,106.379,103.614,99.0051,106.379,108.223,111.91,104.55,104.536,103.614,110.066,99.9269,107.301,105.458,110.988,101.77,100.849,110.066,110.988,105.458,99.0051,101.77,108.223,103.614,110.988,109.145,105.458,106.379,107.322,110.066,112.832,107.301,103.614,101.77,102.692,109.145,108.223,109.145,104.536,105.387,101.77,104.536,110.066,101.77,109.145,109.145,106.994,104.536,107.301,103.857,100.849,106.379,108.708,101.77,99.0051,99.0051,104.536,107.322,106.379,104.536,100.849,101.77,99.0051,99.0051,99.0051,112.832,101.77,103.614,101.77,107.608,101.77,101.77,110.066,101.77,101.77,106.379,-7.09168,-4.03421,-6.90098,-10.7611,-3.51083,-3.48062,-3.48211,-3.61162,-4.11243,-4.03366,-3.77058,-3.77905,-3.96056,-3.53367,-3.474,-3.67662,-3.47322,-3.47105,-3.474,-3.53367,-3.47404,-3.67662,-3.67629,-3.51068,-3.474,-3.47326,-3.56145,-3.79806,-4.3583,-3.47105,-3.97086,-3.49315,-3.51068,-3.67662,-4.38038,-3.82875,-3.48062,-3.47326,-3.56167,-3.48717,-3.67662,-3.53349,-3.47105,-3.48055,-8.53796,-8.53796,-3.47136,-3.53349,-3.96056,-3.47704,-3.82831,-3.48822,-4.50801,-3.48055,-3.47404,-3.47404,-3.53349,-4.3583,-3.59457,-4.11243,-3.72526,-3.67662,-3.49187,-3.7172,-3.7172,-3.49538,-3.67662,-4.03366,-3.67662,-4.08962,-3.48055,-3.67662,-3.47105,-3.48055,-3.48055,-3.51083,121.765,96.6661,120.417,79.2012,99.1449,95.6993,104.972,95.1097,125.397,98.1705,104.835,112.109,118.021,96.4049,97.8674,92.7482,118.29,107.451,126.986,110.55,98.1613,87.1908,113.149,97.0342,118.405,111.363,113.89,111.596,96.9259,102.345,111.691,111.811,92.7193,75.1808,82.6384,123.342,108.216,103.347,113.396,111.052,105.571,90.9081,114.857,131.001,110.477,111.911,117.709,91.6058,112.155,93.5071,100.837,124.215,88.9132,116.464,93.6501,109.756,138.446,115.284,108.333,102.26,90.3519,109.81,91.1274,95.8882,88.5249,111.598,109.953,104.815,111.114,90.7339,124.147,105.632,115.566,98.7732,75.7685,111.655
-232.418,0.989248,0.262846,3,7,0,232.923,104.674,0.639648,13.0124,104.255,105.534,103.615,100.417,105.534,106.813,109.372,104.264,104.255,103.615,108.093,101.056,106.174,104.894,108.732,102.336,101.696,108.093,108.732,104.894,100.417,102.336,106.813,103.615,108.732,107.453,104.894,105.534,106.188,108.093,110.012,106.174,103.615,102.336,102.975,107.453,106.813,107.453,104.255,104.845,102.336,104.255,108.093,102.336,107.453,107.453,105.96,104.255,106.174,103.783,101.696,105.534,107.15,102.336,100.417,100.417,104.255,106.188,105.534,104.255,101.696,102.336,100.417,100.417,100.417,110.012,102.336,103.615,102.336,106.387,102.336,102.336,108.093,102.336,102.336,105.534,-6.94977,-4.10279,-6.82158,-10.9908,-3.54374,-3.51483,-3.48601,-3.61037,-4.08487,-4.03223,-3.90353,-3.72104,-4.04935,-3.56182,-3.48959,-3.6583,-3.49334,-3.49559,-3.48959,-3.56182,-3.48536,-3.6583,-3.62192,-3.52343,-3.48959,-3.504,-3.55558,-3.75326,-4.23726,-3.49559,-3.78082,-3.52808,-3.52343,-3.6583,-4.34071,-3.94972,-3.51483,-3.504,-3.58231,-3.50878,-3.6583,-3.5383,-3.49559,-3.50095,-8.8304,-8.8304,-3.48632,-3.5383,-4.04935,-3.49131,-3.8888,-3.49179,-4.33067,-3.50095,-3.48536,-3.48536,-3.5383,-4.23726,-3.57528,-4.08487,-3.68846,-3.6583,-3.53283,-3.80527,-3.80527,-3.48484,-3.6583,-4.03223,-3.6583,-3.98801,-3.50095,-3.6583,-3.49559,-3.50095,-3.50095,-3.54374,110.596,99.5957,105.218,100.286,97.4861,78.8286,113.747,93.5342,110.095,79.7704,128.943,95.3207,109.278,119.67,113.49,108.265,100.034,97.2194,117.803,108.263,121.017,86.1996,107.978,87.8828,105.995,128.22,111.301,126.668,117.875,113.504,122.804,110.049,79.946,118.196,95.4707,100.057,87.0841,117.14,117.411,116.616,72.5714,114.323,88.1441,111.197,95.0142,97.7441,77.524,108.252,119.977,129.54,116.9,101.751,103.858,105.414,94.3452,97.1384,111.798,123.897,115.079,91.9672,90.4928,91.426,102.527,94.8695,112.687,113.657,133.445,91.7588,122.862,109.081,85.1151,98.7587,101.101,97.3076,88.192,107.627
-232.29,0.996709,0.262846,3,7,0,233.174,105.197,0.802349,13.7174,104.671,106.276,103.869,99.8572,106.276,107.881,111.09,104.683,104.671,103.869,109.485,100.66,107.078,105.474,110.288,102.264,101.462,109.485,110.288,105.474,99.8572,102.264,107.881,103.869,110.288,108.683,105.474,106.276,107.096,109.485,111.892,107.078,103.869,102.264,103.067,108.683,107.881,108.683,104.671,105.412,102.264,104.671,109.485,102.264,108.683,108.683,106.811,104.671,107.078,104.08,101.462,106.276,108.303,102.264,99.8572,99.8572,104.671,107.096,106.276,104.671,101.462,102.264,99.8572,99.8572,99.8572,111.892,102.264,103.869,102.264,107.346,102.264,102.264,109.485,102.264,102.264,106.276,-6.73182,-4.03809,-6.58569,-10.1427,-3.57446,-3.54954,-3.54076,-3.66555,-4.10956,-4.04871,-3.83138,-3.76943,-3.98128,-3.59205,-3.53782,-3.69662,-3.54328,-3.53831,-3.53782,-3.59205,-3.53766,-3.69662,-3.70263,-3.57738,-3.53782,-3.54221,-3.61722,-3.81819,-4.29391,-3.53831,-3.91341,-3.56029,-3.57738,-3.69662,-4.29954,-3.87793,-3.54954,-3.54221,-3.61306,-3.55142,-3.69662,-3.59559,-3.53831,-3.55123,-8.07371,-8.07371,-3.53766,-3.59559,-3.98128,-3.54132,-3.88669,-3.55137,-4.40596,-3.55123,-3.53766,-3.53766,-3.59559,-4.29391,-3.64227,-4.10956,-3.73131,-3.69662,-3.56963,-3.79579,-3.79579,-3.54712,-3.69662,-4.04871,-3.69662,-4.05934,-3.55123,-3.69662,-3.53831,-3.55123,-3.55123,-3.57446,101.184,110.838,119.592,104.015,115.954,103.458,146.485,110.795,105.839,105.576,102.904,120.03,116.344,93.5323,106.87,123.375,104.994,109.682,126.684,110.654,79.3158,92.4501,125.872,90.8863,101.734,97.7114,99.6367,112.511,115.365,106.086,94.9077,131.235,96.1864,109.75,120.158,96.1995,122.841,98.7982,97.3403,103.884,73.4676,98.5129,117.576,88.2901,91.9935,107.881,122.378,104.33,98.6018,87.7611,103.826,102.854,132.117,110.982,108.002,92.4309,90.1201,102.396,125.209,108.059,124.479,114.393,85.5525,107.735,112.173,101.073,93.65,82.5956,97.2017,99.3904,101.219,127.93,101.879,107.189,78.4153,127.913
-234.248,0.980715,0.262846,3,7,0,234.659,104.568,0.303518,13.2134,104.37,104.977,104.066,102.548,104.977,105.584,106.798,104.374,104.37,104.066,106.191,102.852,105.28,104.673,106.494,103.459,103.155,106.191,106.494,104.673,102.548,103.459,105.584,104.066,106.494,105.887,104.673,104.977,105.287,106.191,107.101,105.28,104.066,103.459,103.762,105.887,105.584,105.887,104.37,104.65,103.459,104.37,106.191,103.459,105.887,105.887,105.179,104.37,105.28,104.146,103.155,104.977,105.743,103.459,102.548,102.548,104.37,105.287,104.977,104.37,103.155,103.459,102.548,102.548,102.548,107.101,103.459,104.066,103.459,105.381,103.459,103.459,106.191,103.459,103.459,104.977,-6.88306,-4.14654,-6.82358,-11.4081,-3.57244,-3.55603,-3.52954,-3.62604,-4.09149,-4.06678,-4.04629,-3.64649,-4.12069,-3.58143,-3.53537,-3.6227,-3.52868,-3.54173,-3.53537,-3.58143,-3.51877,-3.6227,-3.58945,-3.54751,-3.53537,-3.54861,-3.56271,-3.73093,-4.1498,-3.54173,-3.64458,-3.56397,-3.54751,-3.6227,-4.25523,-4.07056,-3.55603,-3.54861,-3.59096,-3.52668,-3.6227,-3.55485,-3.54173,-3.53443,-9.07296,-9.07296,-3.50651,-3.55485,-4.12069,-3.50374,-3.99579,-3.5029,-4.18977,-3.53443,-3.51877,-3.51877,-3.55485,-4.1498,-3.57109,-4.09149,-3.63433,-3.6227,-3.60894,-3.95111,-3.95111,-3.52423,-3.6227,-4.06678,-3.6227,-3.91585,-3.53443,-3.6227,-3.54173,-3.53443,-3.53443,-3.57244,89.9881,102.661,88.6819,116.574,111.556,96.3832,107.111,100.906,98.8301,88.3928,116.428,98.4663,109.993,82.6987,140.551,115.107,118.233,110.281,109.128,104.945,142.222,88.0875,104.757,129.706,81.8675,111.915,110.233,91.8954,93.5462,94.777,110.559,101.224,104.456,72.6753,98.5256,121.141,92.5761,128.092,121.505,93.7411,117.916,108.69,106.206,89.7425,101.504,100.304,110.72,92.9616,106.153,125.386,110.121,100.83,96.3396,90.0211,88.8396,113.743,105.158,88.2052,105.195,107.905,101.497,106.441,108.351,115.631,93.4444,98.2912,121.223,95.6998,97.2908,107.4,91.2537,113.681,103.134,79.0702,78.2953,103.126
