# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-17 20:42:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.98999999999999999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbr7o873l\5vxscyor.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220617224242_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.238151
# Diagonal elements of inverse mass matrix:
# 2.30592, 0.146693, 0.00781003
-231.917,0.998888,0.238151,4,15,0,232.524,102.941,1.04999,13.7266,102.253,104.353,101.203,95.9531,104.353,106.453,110.653,102.269,102.253,101.203,108.553,97.0031,105.403,103.303,109.603,99.103,98.053,108.553,109.603,103.303,95.9531,99.103,106.453,101.203,109.603,107.503,103.303,104.353,105.427,108.553,111.703,105.403,101.203,99.103,100.153,107.503,106.453,107.503,102.253,103.222,99.103,102.253,108.553,99.103,107.503,107.503,105.053,102.253,105.403,101.479,98.053,104.353,107.006,99.103,95.9531,95.9531,102.253,105.427,104.353,102.253,98.053,99.103,95.9531,95.9531,95.9531,111.703,99.103,101.203,99.103,105.753,99.103,99.103,108.553,99.103,99.103,104.353,-6.29874,-4.18797,-6.12194,-9.14194,-3.6229,-3.57166,-3.53941,-3.5926,-3.93668,-3.87133,-3.886,-3.98653,-4.1037,-3.65729,-3.53869,-3.85338,-3.54833,-3.54383,-3.53869,-3.65729,-3.58174,-3.85338,-3.64877,-3.54212,-3.53869,-3.55482,-3.56723,-3.72343,-4.15146,-3.54383,-3.90171,-3.59435,-3.54212,-3.85338,-4.58355,-3.95271,-3.57166,-3.55482,-3.69754,-3.5913,-3.85338,-3.55175,-3.54383,-3.54041,-8.33077,-8.33077,-3.54519,-3.55175,-4.1037,-3.57627,-3.71037,-3.53861,-4.28546,-3.54041,-3.58174,-3.58174,-3.55175,-4.15146,-3.58856,-3.93668,-3.91703,-3.85338,-3.53877,-3.63232,-3.63232,-3.54597,-3.85338,-3.87133,-3.85338,-3.94759,-3.54041,-3.85338,-3.54383,-3.54041,-3.54041,-3.6229,126.554,103.942,96.3872,81.5503,95.3405,127.111,109.432,138.496,100.865,77.6018,104.918,134.306,110.68,99.3032,101.038,86.1209,106.476,93.7329,94.3445,101.39,94.2341,102.381,109.789,105.077,104.911,146.254,87.6178,117.777,118.421,100.223,108.688,147.599,95.6289,107.185,117.583,120.578,86.2956,104.842,115.781,103.504,92.724,98.3082,117.581,136.331,111.76,84.9946,121.309,118.913,100.476,97.3612,78.6085,129.531,75.0874,112.616,91.8416,99.61,97.0905,122.588,97.6302,99.9997,105.488,80.1346,110.063,84.177,104.664,115.067,73.6758,93.5756,115.113,83.1157,79.6381,116.917,112.079,102.09,86.1505,124.026
-232.509,0.992298,0.238151,4,15,0,233.414,103.335,0.624432,13.2447,102.926,104.175,102.301,99.1792,104.175,105.424,107.921,102.935,102.926,102.301,106.672,99.8036,104.799,103.55,107.297,101.052,100.428,106.672,107.297,103.55,99.1792,101.052,105.424,102.301,107.297,106.048,103.55,104.175,104.813,106.672,108.546,104.799,102.301,101.052,101.677,106.048,105.424,106.048,102.926,103.502,101.052,102.926,106.672,101.052,106.048,106.048,104.591,102.926,104.799,102.466,100.428,104.175,105.752,101.052,99.1792,99.1792,102.926,104.813,104.175,102.926,100.428,101.052,99.1792,99.1792,99.1792,108.546,101.052,102.301,101.052,105.007,101.052,101.052,106.672,101.052,101.052,104.175,-6.59255,-4.21636,-6.47646,-10.3962,-3.59926,-3.56223,-3.51485,-3.57933,-3.97875,-3.93385,-4.00882,-3.79887,-4.16114,-3.6211,-3.52336,-3.73072,-3.50305,-3.53409,-3.52336,-3.6211,-3.50445,-3.73072,-3.58637,-3.51763,-3.52336,-3.54705,-3.53846,-3.693,-4.10907,-3.53409,-3.71068,-3.57963,-3.51763,-3.73072,-4.45948,-4.05737,-3.56223,-3.54705,-3.64517,-3.55258,-3.73072,-3.52693,-3.53409,-3.50569,-9.00867,-9.00867,-3.51481,-3.52693,-4.16114,-3.52484,-3.81248,-3.50262,-4.18967,-3.50569,-3.50445,-3.50445,-3.52693,-4.10907,-3.55221,-3.97875,-3.76368,-3.73072,-3.52478,-3.74269,-3.74269,-3.50856,-3.73072,-3.93385,-3.73072,-3.89097,-3.50569,-3.73072,-3.53409,-3.50569,-3.50569,-3.59926,113.981,100.625,99.8243,94.2076,87.6834,101.315,104.728,90.1622,138.864,129.12,103.827,102.606,102.25,106.632,91.7728,100.515,108.742,122.508,128.692,82.8568,68.7359,79.7521,88.6698,92.6425,109.46,108.903,108.314,72.3508,99.7803,108.199,135.205,97.032,112.061,98.132,113.093,98.9543,104.219,98.4216,90.7951,118.86,82.2395,125.498,98.9019,100.817,105.158,98.9238,115.298,110.092,87.2218,106.887,87.2704,91.7145,97.5611,94.5143,98.8656,110.421,107.747,97.6103,91.903,83.2527,114.231,120.958,84.511,119.612,84.2913,124.885,106.652,108.95,91.9944,106.518,96.0242,117.3,100.185,112.166,121.813,124.808
-232.043,0.999403,0.238151,3,7,0,232.758,103.812,0.763691,13.5546,103.311,104.839,102.548,98.7293,104.839,106.366,109.421,103.323,103.311,102.548,107.894,99.493,105.603,104.075,108.657,101.02,100.257,107.894,108.657,104.075,98.7293,101.02,106.366,102.548,108.657,107.13,104.075,104.839,105.62,107.894,110.185,105.603,102.548,101.02,101.784,107.13,106.366,107.13,103.311,104.016,101.02,103.311,107.894,101.02,107.13,107.13,105.348,103.311,105.603,102.749,100.257,104.839,106.768,101.02,98.7293,98.7293,103.311,105.62,104.839,103.311,100.257,101.02,98.7293,98.7293,98.7293,110.185,101.02,102.548,101.02,105.857,101.02,101.02,107.894,101.02,101.02,104.839,-6.54552,-4.15121,-6.40864,-9.98785,-3.59815,-3.5616,-3.52657,-3.61035,-4.00789,-3.95414,-3.92453,-3.8261,-4.08978,-3.6212,-3.53057,-3.7451,-3.52584,-3.53774,-3.53057,-3.6212,-3.53006,-3.7451,-3.63596,-3.54333,-3.53057,-3.54808,-3.57086,-3.73827,-4.17059,-3.53774,-3.80795,-3.57829,-3.54333,-3.7451,-4.42869,-3.97644,-3.5616,-3.54808,-3.64741,-3.56243,-3.7451,-3.5555,-3.53774,-3.5285,-8.52725,-8.52725,-3.53039,-3.5555,-4.08978,-3.54287,-3.81196,-3.52758,-4.2704,-3.5285,-3.53006,-3.53006,-3.5555,-4.17059,-3.58938,-4.00789,-3.78401,-3.7451,-3.54061,-3.73304,-3.73304,-3.52575,-3.7451,-3.95414,-3.7451,-3.9525,-3.5285,-3.7451,-3.53774,-3.5285,-3.5285,-3.59815,121.05,107.509,113.772,79.8128,117.971,79.2221,102.902,75.9299,95.7729,114.735,114.37,108.357,84.6507,108.97,94.1344,118.482,104.57,127.532,97.1323,119.999,110.436,94.5107,102.656,84.0866,105.454,115.538,95.7935,93.3484,72.3644,106.653,117.683,118.157,125.61,85.1881,113.153,101.854,104.478,86.4043,104.669,134.854,115.972,122.181,101.35,108.716,90.3855,105.261,107.624,112.114,104.011,90.6302,111.808,112.477,100.479,116.529,110.927,111.471,135.867,106.19,101.12,125.503,94.6418,117.699,127.432,121.201,124.205,115.85,103.24,104.655,91.8115,112.62,112.005,121.347,107.048,90.4025,89.3239,96.2494
-232.054,0.999826,0.238151,4,15,0,232.208,104.323,1.55648,12.2935,103.303,106.416,101.747,93.9645,106.416,109.529,115.755,103.327,103.303,101.747,112.642,95.521,107.973,104.86,114.199,98.634,97.0775,112.642,114.199,104.86,93.9645,98.634,109.529,101.747,114.199,111.086,104.86,106.416,108.008,112.642,117.312,107.973,101.747,98.634,100.19,111.086,109.529,111.086,103.303,104.74,98.634,103.303,112.642,98.634,111.086,111.086,107.454,103.303,107.973,102.157,97.0775,106.416,110.349,98.634,93.9645,93.9645,103.303,108.008,106.416,103.303,97.0775,98.634,93.9645,93.9645,93.9645,117.312,98.634,101.747,98.634,108.492,98.634,98.634,112.642,98.634,98.634,106.416,-7.09742,-4.03846,-6.76245,-9.82277,-3.4705,-3.42874,-3.53759,-3.53111,-4.01353,-3.88454,-3.60711,-4.12159,-3.90658,-3.51542,-3.48633,-3.85541,-3.45627,-3.45111,-3.48633,-3.51542,-3.54852,-3.85541,-3.72844,-3.4381,-3.48633,-3.43191,-3.50615,-3.78697,-4.47417,-3.45111,-4.41953,-3.4416,-3.4381,-3.85541,-4.72629,-3.6909,-3.42874,-3.43191,-3.57637,-3.45684,-3.85541,-3.46411,-3.45111,-3.43418,-8.43799,-8.43799,-3.43006,-3.46411,-3.90658,-3.45994,-3.59373,-3.44733,-4.76769,-3.43418,-3.54852,-3.54852,-3.46411,-4.47417,-3.56421,-4.01353,-3.98049,-3.85541,-3.4474,-3.48001,-3.48001,-3.60488,-3.85541,-3.88454,-3.85541,-4.1882,-3.43418,-3.85541,-3.45111,-3.43418,-3.43418,-3.4705,114.365,96.2742,114.224,99.763,95.0153,100.053,108.014,102.194,103.609,89.2837,113.106,101.045,106.414,101.01,127.928,79.9609,111.82,109.969,94.3435,107.165,93.8657,93.7948,107.17,99.6167,113.928,112.098,113.192,96.1165,126.331,129.224,90.5362,100.315,116.709,102.62,107.941,109.62,110.746,91.8052,93.7073,118.365,117.402,101.114,110.447,93.3968,126.143,89.8766,99.2044,95.9533,133.437,113.275,85.3056,126.199,113.799,109.098,98.3652,98.1999,81.0335,107.932,95.5917,100.996,114.402,90.0604,93.9928,94.4765,76.183,106.225,98.0708,97.6131,97.2553,98.1974,75.1044,96.9232,138.027,98.6459,99.7097,100.501
-232.448,0.996422,0.238151,3,7,0,232.528,103.996,1.63256,12.0875,102.927,106.192,101.295,93.1317,106.192,109.457,115.988,102.952,102.927,101.295,112.722,94.7643,107.825,104.56,114.355,98.0294,96.3968,112.722,114.355,104.56,93.1317,98.0294,109.457,101.295,114.355,111.09,104.56,106.192,107.862,112.722,117.62,107.825,101.295,98.0294,99.662,111.09,109.457,111.09,102.927,104.434,98.0294,102.927,112.722,98.0294,111.09,111.09,107.281,102.927,107.825,101.724,96.3968,106.192,110.317,98.0294,93.1317,93.1317,102.927,107.862,106.192,102.927,96.3968,98.0294,93.1317,93.1317,93.1317,117.62,98.0294,101.295,98.0294,108.369,98.0294,98.0294,112.722,98.0294,98.0294,106.192,-7.12138,-4.06356,-6.76258,-9.77748,-3.46073,-3.41212,-3.5338,-3.5039,-3.98298,-3.84766,-3.59235,-4.20548,-3.91839,-3.5124,-3.47601,-3.90149,-3.45554,-3.43647,-3.47601,-3.5124,-3.57254,-3.90149,-3.71719,-3.41684,-3.47601,-3.41517,-3.48226,-3.7666,-4.4755,-3.43647,-4.47358,-3.4273,-3.41684,-3.90149,-4.82663,-3.68279,-3.41212,-3.41517,-3.58231,-3.44744,-3.90149,-3.44043,-3.43647,-3.4244,-8.59223,-8.59223,-3.4124,-3.44043,-3.91839,-3.45397,-3.55114,-3.42755,-4.79246,-3.4244,-3.57254,-3.57254,-3.44043,-4.4755,-3.54233,-3.98298,-4.04436,-3.90149,-3.44734,-3.44467,-3.44467,-3.60982,-3.90149,-3.84766,-3.90149,-4.18475,-3.4244,-3.90149,-3.43647,-3.4244,-3.4244,-3.46073,107.784,132.107,92.1438,89.5136,88.9799,87.6325,107.851,106.183,111.797,113.385,105.906,74.374,101.785,88.6726,116.816,97.0509,91.1962,100.737,118.087,96.1058,72.93,92.7433,99.2787,115.11,123.556,109.847,115.747,115.377,94.0998,121.468,114.639,107.756,117.914,116.226,98.3013,119.882,122.828,125.343,103.268,103.698,82.5298,100.699,116.842,74.9545,118.48,75.8535,100.341,100.489,100.878,102.28,98.6942,97.7988,117.855,99.3912,85.1327,110.36,113.203,105.293,113.186,81.2914,97.087,99.4976,62.3353,104.281,84.8087,98.3805,98.8981,105.009,114.188,102.794,90.6002,105.058,114.024,82.7458,79.2035,102.597
-232.155,0.998398,0.238151,4,15,0,233.102,103.956,0.716913,13.5277,103.487,104.921,102.77,99.1854,104.921,106.355,109.222,103.498,103.487,102.77,107.788,99.9023,105.638,104.204,108.505,101.336,100.619,107.788,108.505,104.204,99.1854,101.336,106.355,102.77,108.505,107.071,104.204,104.921,105.654,107.788,109.939,105.638,102.77,101.336,102.053,107.071,106.355,107.071,103.487,104.149,101.336,103.487,107.788,101.336,107.071,107.071,105.399,103.487,105.638,102.959,100.619,104.921,106.732,101.336,99.1854,99.1854,103.487,105.654,104.921,103.487,100.619,101.336,99.1854,99.1854,99.1854,109.939,101.336,102.77,101.336,105.877,101.336,101.336,107.788,101.336,101.336,104.921,-6.58756,-4.14495,-6.45778,-10.1336,-3.59417,-3.55999,-3.52533,-3.61412,-4.02066,-3.96923,-3.93112,-3.80227,-4.08728,-3.61547,-3.52978,-3.72877,-3.52472,-3.53704,-3.52978,-3.61547,-3.52549,-3.72877,-3.63401,-3.54464,-3.52978,-3.54711,-3.57196,-3.74111,-4.17404,-3.53704,-3.79359,-3.57567,-3.54464,-3.72877,-4.40372,-3.98037,-3.55999,-3.54711,-3.63958,-3.55799,-3.72877,-3.5569,-3.53704,-3.52855,-8.55886,-8.55886,-3.52807,-3.5569,-4.08728,-3.53819,-3.83179,-3.52599,-4.2681,-3.52855,-3.52549,-3.52549,-3.5569,-4.17404,-3.58983,-4.02066,-3.76411,-3.72877,-3.5451,-3.7542,-3.7542,-3.52369,-3.72877,-3.96923,-3.72877,-3.95355,-3.52855,-3.72877,-3.53704,-3.52855,-3.52855,-3.59417,102.21,116.203,97.411,93.9559,95.0148,114.495,112.532,114.666,92.6668,116.046,124.272,90.77,135.571,100.102,108.481,91.7382,95.9389,116.607,113.738,101.834,93.1394,118.247,117.921,91.0592,109.964,115.766,104.175,113.636,100.332,85.5735,95.6139,111.032,101.582,98.431,110.725,92.7185,111.583,117.755,98.9988,110.609,87.4991,103.112,113.52,120.378,110.689,107.887,94.7404,108.331,98.1652,96.2809,107.115,86.6971,115.852,96.2321,107.183,96.4169,111.068,118.267,117.772,85.8533,100.07,97.1121,75.3299,107.333,96.5692,111.487,93.4784,87.1655,87.8974,113.177,96.5366,81.3882,124.523,120.735,108.866,97.1885
