# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-17 20:54:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.98999999999999999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbr7o873l\rjwnbqgf.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220617225413_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.30829
# Diagonal elements of inverse mass matrix:
# 2.52743, 0.131943, 0.00699237
-231.514,0.999537,0.30829,4,15,0,232.167,104.757,1.31523,12.9939,103.895,106.526,102.58,96.004,106.526,109.156,114.417,103.915,103.895,102.58,111.787,97.3192,107.841,105.211,113.102,99.9497,98.6345,111.787,113.102,105.211,96.004,99.9497,109.156,102.58,113.102,110.472,105.211,106.526,107.871,111.787,115.732,107.841,102.58,99.9497,101.265,110.472,109.156,110.472,103.895,105.109,99.9497,103.895,111.787,99.9497,110.472,110.472,107.403,103.895,107.841,102.926,98.6345,106.526,109.849,99.9497,96.004,96.004,103.895,107.871,106.526,103.895,98.6345,99.9497,96.004,96.004,96.004,115.732,99.9497,102.58,99.9497,108.279,99.9497,99.9497,111.787,99.9497,99.9497,106.526,-6.88571,-4.02106,-6.62679,-9.75072,-3.51916,-3.48553,-3.5412,-3.59619,-4.0552,-3.95208,-3.68318,-3.95961,-3.92122,-3.55135,-3.51192,-3.78254,-3.48894,-3.49287,-3.51192,-3.55135,-3.53071,-3.78254,-3.73169,-3.50313,-3.51192,-3.48408,-3.56382,-3.81152,-4.40544,-3.49287,-4.21638,-3.49722,-3.50313,-3.78254,-4.52286,-3.75229,-3.48553,-3.48408,-3.59378,-3.50318,-3.78254,-3.52836,-3.49287,-3.48343,-8.11052,-8.11052,-3.48502,-3.52836,-3.92122,-3.49959,-3.7042,-3.50231,-4.62372,-3.48343,-3.53071,-3.53071,-3.52836,-4.40544,-3.60953,-4.0552,-3.86595,-3.78254,-3.48385,-3.59017,-3.59017,-3.58073,-3.78254,-3.95208,-3.78254,-4.14495,-3.48343,-3.78254,-3.49287,-3.48343,-3.48343,-3.51916,123.117,76.466,98.2707,101.887,109.485,119.648,124.518,101.199,131.497,114.063,113.755,90.6433,105.035,109.768,126.854,124.758,105.645,101.338,103.341,108.305,88.8494,90.0366,107.524,118.126,125.021,117.753,112.523,113.13,85.4255,122.55,117.64,79.1205,120.428,111.883,110.853,120.381,104.629,119.169,88.4507,133.464,86.7692,116.368,137.387,74.2727,95.7654,130.324,95.666,104.31,118.693,90.0815,95.7129,96.716,95.6736,93.3178,113.93,98.9322,104.787,74.2869,92.4669,107.259,96.1046,114.168,72.0237,83.4675,105.413,113.991,111.146,118.321,117.027,124.827,90.7579,108.229,103.818,107.283,92.5172,108.785
-232.083,0.99083,0.30829,3,7,0,232.261,104.245,1.61491,13.0604,103.187,106.417,101.572,93.4978,106.417,109.647,116.107,103.212,103.187,101.572,112.877,95.1127,108.032,104.802,114.492,98.3425,96.7276,112.877,114.492,104.802,93.4978,98.3425,109.647,101.572,114.492,111.262,104.802,106.417,108.068,112.877,117.722,108.032,101.572,98.3425,99.9575,111.262,109.647,111.262,103.187,104.678,98.3425,103.187,112.877,98.3425,111.262,111.262,107.494,103.187,108.032,101.997,96.7276,106.417,110.497,98.3425,93.4978,93.4978,103.187,108.068,106.417,103.187,96.7276,98.3425,93.4978,93.4978,93.4978,117.722,98.3425,101.572,98.3425,108.57,98.3425,98.3425,112.877,98.3425,98.3425,106.417,-6.717,-4.02933,-6.41045,-9.03464,-3.52616,-3.48889,-3.59784,-3.57614,-3.99829,-3.88108,-3.63726,-4.13818,-3.90838,-3.56772,-3.54767,-3.88687,-3.51992,-3.51279,-3.54767,-3.56772,-3.61246,-3.88687,-3.76132,-3.49577,-3.54767,-3.49319,-3.55613,-3.80662,-4.42175,-3.51279,-4.40909,-3.49988,-3.49577,-3.88687,-4.66602,-3.71234,-3.48889,-3.49319,-3.62458,-3.51516,-3.88687,-3.51831,-3.51279,-3.49658,-7.8873,-7.8873,-3.49053,-3.51831,-3.90838,-3.51979,-3.6212,-3.50565,-4.69306,-3.49658,-3.61246,-3.61246,-3.51831,-4.42175,-3.60923,-3.99829,-4.00488,-3.88687,-3.51297,-3.52439,-3.52439,-3.66329,-3.88687,-3.88108,-3.88687,-4.16907,-3.49658,-3.88687,-3.51279,-3.49658,-3.49658,-3.52616,118.42,90.2683,97.023,111.418,108.839,110.443,133.708,117.31,96.9552,97.8798,107.002,91.0726,120.121,119.74,118.817,96.9083,107.788,105.436,104.285,130.136,109.884,108.933,122.511,91.373,86.4307,89.1003,109.258,111.261,99.3759,101.205,103.169,124.521,128.265,116.76,121.274,112.745,100.91,103.887,66.7387,71.4251,86.4316,90.2628,123.2,101.127,112.969,108.478,121.541,115.894,105.118,100.585,87.8505,94.8617,102.284,116.155,85.8538,98.2015,110.122,127.858,89.8038,106.823,104.76,97.4021,76.3937,89.0108,84.1519,137.426,112.178,101.619,84.495,89.6241,99.3917,97.502,117.933,117.127,108.527,122.856
-232.356,0.991563,0.30829,3,7,0,232.995,105.553,1.4965,13.4542,104.573,107.566,103.076,95.5938,107.566,110.559,116.545,104.595,104.573,103.076,113.552,97.0903,109.062,106.069,115.048,100.083,98.5868,113.552,115.048,106.069,95.5938,100.083,110.559,103.076,115.048,112.055,106.069,107.566,109.096,113.552,118.041,109.062,103.076,100.083,101.58,112.055,110.559,112.055,104.573,105.954,100.083,104.573,113.552,100.083,112.055,112.055,108.563,104.573,109.062,103.47,98.5868,107.566,111.346,100.083,95.5938,95.5938,104.573,109.096,107.566,104.573,98.5868,100.083,95.5938,95.5938,95.5938,118.041,100.083,103.076,100.083,109.561,100.083,100.083,113.552,100.083,100.083,107.566,-6.81983,-3.94529,-6.5402,-9.26029,-3.53459,-3.51909,-3.63654,-3.64787,-4.10483,-3.99054,-3.63308,-3.97858,-3.84868,-3.5609,-3.58862,-3.78987,-3.52374,-3.55307,-3.58862,-3.5609,-3.57185,-3.78987,-3.82618,-3.54437,-3.58862,-3.5299,-3.61998,-3.88772,-4.50184,-3.55307,-4.41729,-3.52066,-3.54437,-3.78987,-4.45546,-3.69257,-3.51909,-3.5299,-3.59959,-3.52657,-3.78987,-3.57599,-3.55307,-3.51825,-7.49526,-7.49526,-3.52816,-3.57599,-3.84868,-3.52711,-3.72189,-3.55335,-4.75042,-3.51825,-3.57185,-3.57185,-3.57599,-4.50184,-3.67634,-4.10483,-3.87804,-3.78987,-3.51996,-3.60466,-3.60466,-3.69684,-3.78987,-3.99054,-3.78987,-4.24563,-3.51825,-3.78987,-3.55307,-3.51825,-3.51825,-3.53459,107.692,112.818,81.9463,91.4613,83.7447,100.724,118.405,121.547,78.0112,107.146,97.701,102.093,119.654,100.13,109.92,92.9894,93.5868,127.8,108.588,90.57,101.965,120.852,97.1294,106.285,108.112,97.8384,85.3202,121.383,104.607,107.422,96.4836,103.816,83.0381,94.7054,116.087,113.861,107.377,126.522,105.58,110.441,93.1562,112.534,91.9592,94.3214,108.248,123,105.909,102.159,97.9292,96.6143,99.1432,114.752,93.9395,83.1487,111.687,94.9768,105.428,113.482,92.0796,80.6271,81.6089,83.0373,94.9718,70.8343,100.674,122.906,89.2194,73.413,90.5139,111.041,101.523,88.2286,97.876,119.111,104.49,117.917
-232.288,0.999113,0.30829,4,15,0,233.288,102.975,0.730691,12.8211,102.496,103.958,101.766,98.1122,103.958,105.419,108.342,102.507,102.496,101.766,106.88,98.8429,104.688,103.227,107.611,100.304,99.5736,106.88,107.611,103.227,98.1122,100.304,105.419,101.766,107.611,106.15,103.227,103.958,104.705,106.88,109.073,104.688,101.766,100.304,101.035,106.15,105.419,106.15,102.496,103.171,100.304,102.496,106.88,100.304,106.15,106.15,104.445,102.496,104.688,101.958,99.5736,103.958,105.804,100.304,98.1122,98.1122,102.496,104.705,103.958,102.496,99.5736,100.304,98.1122,98.1122,98.1122,109.073,100.304,101.766,100.304,104.932,100.304,100.304,106.88,100.304,100.304,103.958,-6.6821,-4.25283,-6.53928,-10.5109,-3.58108,-3.53386,-3.4784,-3.53904,-3.94502,-3.8911,-3.99358,-3.84867,-4.18315,-3.60957,-3.48739,-3.75598,-3.47059,-3.49963,-3.48739,-3.60957,-3.48087,-3.75598,-3.55936,-3.47952,-3.48739,-3.51513,-3.50171,-3.66265,-4.10773,-3.49963,-3.7204,-3.55585,-3.47952,-3.75598,-4.56405,-4.05352,-3.53386,-3.51513,-3.6413,-3.53222,-3.75598,-3.48899,-3.49963,-3.47032,-9.31874,-9.31874,-3.48505,-3.48899,-4.18315,-3.50326,-3.74882,-3.47004,-4.20818,-3.47032,-3.48087,-3.48087,-3.48899,-4.10773,-3.51768,-3.94502,-3.8007,-3.75598,-3.4791,-3.6702,-3.6702,-3.47265,-3.75598,-3.8911,-3.75598,-3.87923,-3.47032,-3.75598,-3.49963,-3.47032,-3.47032,-3.58108,83.6965,100.198,92.879,91.3822,94.8945,94.1859,109.132,81.6803,106.629,116.653,113.491,96.7817,92.4809,99.1867,116.381,118.415,107.39,95.4982,135.995,108.98,87.5033,103.025,118.283,132.465,105.539,102.558,113.672,108.61,110.793,123.208,120.062,121.503,87.3195,96.1514,88.1315,103.421,84.3254,111.497,93.7634,115.401,87.3333,84.8919,85.008,99.6305,93.3227,90.0232,82.0237,99.873,90.7342,109.084,97.8202,95.4144,107.813,92.4662,92.0574,99.5203,126.137,102.597,108.255,84.576,100.642,107.182,109.426,115.901,104.263,108.48,101.184,78.183,119.478,125.574,91.1874,133.541,85.9119,118.374,117.01,85.0748
-232.559,0.993179,0.30829,3,7,0,233.194,104.224,0.588755,12.9524,103.838,105.016,103.249,100.305,105.016,106.193,108.548,103.847,103.838,103.249,107.371,100.894,105.604,104.427,107.959,102.072,101.483,107.371,107.959,104.427,100.305,102.072,106.193,103.249,107.959,106.782,104.427,105.016,105.618,107.371,109.137,105.604,103.249,102.072,102.66,106.782,106.193,106.782,103.838,104.381,102.072,103.838,107.371,102.072,106.782,106.782,105.408,103.838,105.604,103.404,101.483,105.016,106.503,102.072,100.305,100.305,103.838,105.618,105.016,103.838,101.483,102.072,100.305,100.305,100.305,109.137,102.072,103.249,102.072,105.801,102.072,102.072,107.371,102.072,102.072,105.016,-6.89278,-4.14942,-6.77506,-11.0225,-3.55427,-3.52341,-3.4865,-3.59121,-4.05093,-4.0034,-3.9556,-3.72734,-4.09786,-3.57279,-3.49263,-3.66756,-3.48677,-3.50082,-3.49263,-3.57279,-3.4805,-3.66756,-3.59453,-3.51168,-3.49263,-3.51108,-3.53862,-3.72246,-4.18631,-3.50082,-3.72902,-3.53781,-3.51168,-3.66756,-4.37629,-4.00095,-3.52341,-3.51108,-3.59338,-3.51289,-3.66756,-3.52412,-3.50082,-3.49301,-9.04702,-9.04702,-3.48494,-3.52412,-4.09786,-3.49052,-3.87321,-3.48329,-4.26987,-3.49301,-3.4805,-3.4805,-3.52412,-4.18631,-3.55519,-4.05093,-3.69641,-3.66756,-3.52601,-3.79674,-3.79674,-3.48244,-3.66756,-4.0034,-3.66756,-3.94346,-3.49301,-3.66756,-3.50082,-3.49301,-3.49301,-3.55427,114.242,128.863,96.1641,120.73,97.0096,111.36,100.418,104.988,108.712,106.979,120.739,64.379,107.719,86.5344,86.1974,106.201,92.1018,108.88,89.627,85.006,93.6563,115.547,137.373,108.494,91.0672,110.039,98.9202,86.2213,76.6039,96.9882,101.38,96.7459,86.6426,76.5262,103.572,114.458,116.094,101.275,114.225,100.38,123.778,101.815,81.4664,97.5977,114.776,101.607,96.7742,95.4461,103.393,70.8592,90.5411,111.717,110.667,70.3371,93.3989,130.327,100.358,99.2465,121.272,112.588,89.1344,86.361,97.6899,115.744,125.027,125.219,90.3311,121.995,121.926,104.76,76.2317,117.27,99.3432,91.2394,93.1709,114.613
-235.268,0.944282,0.30829,3,11,0,236.082,102.719,2.01559,14.7969,101.399,105.43,99.3836,89.3057,105.43,109.462,117.524,101.43,101.399,99.3836,113.493,91.3212,107.446,103.415,115.508,95.3524,93.3368,113.493,115.508,103.415,89.3057,95.3524,109.462,99.3836,115.508,111.477,103.415,105.43,107.491,113.493,119.539,107.446,99.3836,95.3524,97.368,111.477,109.462,111.477,101.399,103.26,95.3524,101.399,113.493,95.3524,111.477,111.477,106.774,101.399,107.446,99.914,93.3368,105.43,110.522,95.3524,89.3057,89.3057,101.399,107.491,105.43,101.399,93.3368,95.3524,89.3057,89.3057,89.3057,119.539,95.3524,99.3836,95.3524,108.118,95.3524,95.3524,113.493,95.3524,95.3524,105.43,-5.86482,-4.09811,-5.58504,-7.14143,-3.66104,-3.61402,-3.74263,-3.64437,-3.9101,-3.81444,-3.71006,-4.41011,-3.97327,-3.71239,-3.68265,-4.10332,-3.71475,-3.64122,-3.68265,-3.71239,-3.87453,-4.10332,-3.81779,-3.61422,-3.68265,-3.61834,-3.63999,-3.81645,-4.29413,-3.64122,-4.48523,-3.62825,-3.61422,-4.10332,-4.78305,-3.77924,-3.61402,-3.61834,-3.78229,-3.65823,-4.10332,-3.61783,-3.64122,-3.66268,-7.00231,-7.00231,-3.61338,-3.61783,-3.97327,-3.6787,-3.63878,-3.61803,-4.55413,-3.66268,-3.87453,-3.87453,-3.61783,-4.29413,-3.6807,-3.9101,-4.24744,-4.10332,-3.72782,-3.61446,-3.61446,-3.82117,-4.10332,-3.81444,-4.10332,-4.11252,-3.66268,-4.10332,-3.64122,-3.66268,-3.66268,-3.66104,143.77,114.457,100.998,83.21,101.846,111.867,128.536,114.981,108.242,78.1514,111.914,100.507,142.737,96.4603,89.3409,68.7903,98.0147,124.968,121.106,95.501,50.1097,100.125,107.798,101.16,138.258,78.6108,114.262,86.8658,141.111,109.184,131.002,107.895,96.9376,63.8381,119.029,106.782,132.029,110.487,87.5819,97.7396,80.8156,94.9176,121.022,97.8859,116.211,126.981,120.396,87.651,123.33,137.986,90.0177,113.396,122.863,82.2539,84.7546,85.7215,121.514,115.372,102.886,98.5543,99.2958,99.5176,76.2518,91.4561,88.588,117.856,101.214,94.841,79.7415,121.453,91.099,104.687,119.726,89.5472,72.5608,115.349
