# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 17:21:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.98999999999999999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\zvexb0ng.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621192137_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.404734
# Diagonal elements of inverse mass matrix:
# 1.90467, 0.122788, 0.00681518
-234.149,0.967749,0.404734,4,15,0,235.663,102.985,0.746844,11.3319,102.496,103.99,101.749,98.0151,103.99,105.484,108.471,102.507,102.496,101.749,106.977,98.7619,104.737,103.243,107.724,100.256,99.5088,106.977,107.724,103.243,98.0151,100.256,105.484,101.749,107.724,106.23,103.243,103.99,104.754,106.977,109.218,104.737,101.749,100.256,101.002,106.23,105.484,106.23,102.496,103.186,100.256,102.496,106.977,100.256,106.23,106.23,104.488,102.496,104.737,101.946,99.5088,103.99,105.877,100.256,98.0151,98.0151,102.496,104.754,103.99,102.496,99.5088,100.256,98.0151,98.0151,98.0151,109.218,100.256,101.749,100.256,104.986,100.256,100.256,106.977,100.256,100.256,103.99,-7.45833,-4.34462,-7.27151,-12.3233,-3.48721,-3.42599,-3.35566,-3.43489,-3.95458,-3.88407,-4.00691,-3.83831,-4.25368,-3.52434,-3.36673,-3.71628,-3.3475,-3.38214,-3.36673,-3.52434,-3.3619,-3.71628,-3.46364,-3.35847,-3.36673,-3.40189,-3.38751,-3.59513,-4.16838,-3.38214,-3.6774,-3.45443,-3.35847,-3.71628,-4.75183,-4.08482,-3.42599,-3.40189,-3.56581,-3.42564,-3.71628,-3.37082,-3.38214,-3.34681,-10.8061,-10.8061,-3.36505,-3.37082,-4.25368,-3.38941,-3.69862,-3.34656,-4.30035,-3.34681,-3.3619,-3.3619,-3.37082,-4.16838,-3.40854,-3.95458,-3.77513,-3.71628,-3.3569,-3.5967,-3.5967,-3.34894,-3.71628,-3.88407,-3.71628,-3.87523,-3.34681,-3.71628,-3.38214,-3.34681,-3.34681,-3.48721,87.8064,106.78,88.2623,105.535,121.53,107.034,109.292,111.318,119.644,102.109,116.266,109.054,113.134,84.3966,124.255,82.4704,70.6944,98.9584,109.076,99.4795,77.9353,94.7819,101.832,120.169,121.334,104.549,94.9529,108.233,109.266,97.255,119.671,103.151,89.038,105.537,109.697,101.404,99.5268,113.473,94.8624,100.036,112.147,113.685,109.65,107.748,95.0526,98.9657,98.5386,112.314,103.955,109.721,108.744,97.56,106.301,84.0616,102.531,109.323,100.937,85.245,98.1701,112.576,94.9484,70.7091,101.672,91.0421,89.0683,107.582,105.194,116.082,114.456,96.7225,111.508,95.4204,106.754,93.3124,113.206,114.686
-232.014,1,0.404734,2,3,0,234.28,103.167,0.919716,12.5998,102.565,104.404,101.645,97.0466,104.404,106.244,109.923,102.579,102.565,101.645,108.083,97.9663,105.324,103.485,109.003,99.8058,98.8861,108.083,109.003,103.485,97.0466,99.8058,106.244,101.645,109.003,107.164,103.485,104.404,105.345,108.083,110.842,105.324,101.645,99.8058,100.725,107.164,106.244,107.164,102.565,103.414,99.8058,102.565,108.083,99.8058,107.164,107.164,105.018,102.565,105.324,101.887,98.8861,104.404,106.728,99.8058,97.0466,97.0466,102.565,105.345,104.404,102.565,98.8861,99.8058,97.0466,97.0466,97.0466,110.842,99.8058,101.645,99.8058,105.631,99.8058,99.8058,108.083,99.8058,99.8058,104.404,-6.79261,-4.21866,-6.60662,-10.4237,-3.55123,-3.49705,-3.45263,-3.52622,-3.94986,-3.87973,-3.89988,-3.9087,-4.13097,-3.58631,-3.45575,-3.77992,-3.45652,-3.46419,-3.45575,-3.58631,-3.48009,-3.77992,-3.5754,-3.46114,-3.45575,-3.47796,-3.49086,-3.67508,-4.17257,-3.46419,-3.82287,-3.52148,-3.46114,-3.77992,-4.62269,-3.97158,-3.49705,-3.47796,-3.62672,-3.51027,-3.77992,-3.47334,-3.46419,-3.45273,-9.2319,-9.2319,-3.46118,-3.47334,-4.13097,-3.48851,-3.70131,-3.45313,-4.31031,-3.45273,-3.48009,-3.48009,-3.47334,-4.17257,-3.51371,-3.94986,-3.84164,-3.77992,-3.45399,-3.60901,-3.60901,-3.45485,-3.77992,-3.87973,-3.77992,-3.9289,-3.45273,-3.77992,-3.46419,-3.45273,-3.45273,-3.55123,116.225,114.154,105.085,94.1943,109.195,104.936,112.796,118.065,117.25,109.778,116.932,93.8594,107.904,81.5462,103.795,89.9736,84.0877,113.031,111.498,96.9222,97.1974,77.0671,98.7405,94.7218,116.419,110.546,103.985,97.638,111.654,108.805,119.111,94.4761,100.989,124.294,124.607,86.1855,102.575,114.944,116.537,107.545,92.511,111.077,103.535,106.242,93.8807,109.164,81.3211,88.6067,121.406,112.694,105.591,112.236,100.481,99.1854,91.3257,102.985,82.8779,95.6874,114.088,85.2908,113.58,108.873,87.7147,97.4061,90.7506,143.764,107.527,105.457,76.7093,107.241,93.6338,89.4716,81.4319,103.468,102.272,107.078
-232.152,0.99348,0.404734,4,15,0,232.712,103.533,0.792199,13.274,103.014,104.599,102.222,98.2611,104.599,106.183,109.352,103.026,103.014,102.222,107.767,99.0533,105.391,103.806,108.56,100.638,99.8455,107.767,108.56,103.806,98.2611,100.638,106.183,102.222,108.56,106.975,103.806,104.599,105.409,107.767,110.144,105.391,102.222,100.638,101.43,106.975,106.183,106.975,103.014,103.746,100.638,103.014,107.767,100.638,106.975,106.975,105.127,103.014,105.391,102.431,99.8455,104.599,106.6,100.638,98.2611,98.2611,103.014,105.409,104.599,103.014,99.8455,100.638,98.2611,98.2611,98.2611,110.144,100.638,102.222,100.638,105.655,100.638,100.638,107.767,100.638,100.638,104.599,-6.59767,-4.17785,-6.45101,-10.1141,-3.58754,-3.54609,-3.50594,-3.58391,-3.98537,-3.92864,-3.92936,-3.84479,-4.11039,-3.6136,-3.51063,-3.75348,-3.50482,-3.51889,-3.51063,-3.6136,-3.51333,-3.75348,-3.61323,-3.51876,-3.51063,-3.53071,-3.54586,-3.71456,-4.15892,-3.51889,-3.79675,-3.56503,-3.51876,-3.75348,-4.48332,-3.98614,-3.54609,-3.53071,-3.64323,-3.54895,-3.75348,-3.53053,-3.51889,-3.5059,-8.75767,-8.75767,-3.51148,-3.53053,-4.11039,-3.52752,-3.77982,-3.50576,-4.2656,-3.5059,-3.51333,-3.51333,-3.53053,-4.15892,-3.56476,-3.98537,-3.79735,-3.75348,-3.51473,-3.69841,-3.69841,-3.50481,-3.75348,-3.92864,-3.75348,-3.93557,-3.5059,-3.75348,-3.51889,-3.5059,-3.5059,-3.58754,102.101,109.403,87.0726,83.0593,98.9638,124.029,121.283,110.202,104.996,109.217,104.998,85.3036,87.1631,89.7589,119.666,89.9583,87.765,91.691,106.283,111.448,94.7321,91.3976,97.2187,101.16,115.03,96.0269,100.736,99.0279,82.7304,125.947,101.156,116.769,106.309,92.423,85.9942,104.039,102.581,101.33,104.406,126.696,87.6073,122.115,102.646,110.834,123.855,97.2032,111.851,90.2461,120.459,113.42,98.8196,119.117,112.077,102.164,108.741,98.8932,79.2745,96.7614,104.471,118.082,98.0935,113.752,94.5624,88.7362,69.9333,104.224,95.159,112.035,84.7806,97.9516,98.1911,101.204,114.24,69.9378,96.4076,116.661
-231.813,0.994342,0.404734,1,3,0,232.435,103.681,0.91706,13.1339,103.08,104.914,102.163,97.5776,104.914,106.748,110.416,103.094,103.08,102.163,108.582,98.4946,105.831,103.997,109.499,100.329,99.4117,108.582,109.499,103.997,97.5776,100.329,106.748,102.163,109.499,107.665,103.997,104.914,105.852,108.582,111.333,105.831,102.163,100.329,101.246,107.665,106.748,107.665,103.08,103.926,100.329,103.08,108.582,100.329,107.665,107.665,105.525,103.08,105.831,102.404,99.4117,104.914,107.231,100.329,97.5776,97.5776,103.08,105.852,104.914,103.08,99.4117,100.329,97.5776,97.5776,97.5776,111.333,100.329,102.163,100.329,106.137,100.329,100.329,108.582,100.329,100.329,104.914,-6.66597,-4.15381,-6.49254,-10.0554,-3.56911,-3.52479,-3.49464,-3.57708,-3.99004,-3.92294,-3.872,-3.87783,-4.07604,-3.59859,-3.49486,-3.76525,-3.49514,-3.49996,-3.49486,-3.59859,-3.51115,-3.76525,-3.62613,-3.5077,-3.49486,-3.50994,-3.54045,-3.72446,-4.2019,-3.49996,-3.86645,-3.54451,-3.5077,-3.76525,-4.51361,-3.93514,-3.52479,-3.50994,-3.63294,-3.53524,-3.76525,-3.52163,-3.49996,-3.49445,-8.68901,-8.68901,-3.49791,-3.52163,-4.07604,-3.51783,-3.75089,-3.49656,-4.33234,-3.49445,-3.51115,-3.51115,-3.52163,-4.2019,-3.56413,-3.99004,-3.8191,-3.76525,-3.49826,-3.66057,-3.66057,-3.49929,-3.76525,-3.92294,-3.76525,-3.96929,-3.49445,-3.76525,-3.49996,-3.49445,-3.49445,-3.56911,106.643,120.035,106.991,91.3394,118.998,104.798,120.75,65.006,96.8444,95.2086,116.08,104.574,95.882,106.28,94.7347,82.0332,96.7394,96.5941,111.626,115.831,106.26,86.6242,94.6146,109.889,121.096,97.6208,87.1603,102.127,112.963,115.851,110.804,124.523,71.8983,84.9329,77.5041,99.2492,95.2244,138.7,127.63,99.1175,94.0768,92.0395,110.6,111.351,122.529,117.488,106.868,82.6002,128.126,112.721,96.4108,125.102,97.6841,105.802,94.3735,106.767,124.876,86.1068,110.493,96.4988,86.3537,125.006,86.5976,121.477,100.39,121.91,112.201,99.4547,112.331,112.461,92.9276,95.661,123.638,77.8717,93.3406,110.551
-233.182,0.968088,0.404734,3,7,0,233.573,105.733,0.707327,12.3175,105.27,106.684,104.562,101.026,106.684,108.099,110.928,105.28,105.27,104.562,109.514,101.733,107.392,105.977,110.221,103.148,102.441,109.514,110.221,105.977,101.026,103.148,108.099,104.562,110.221,108.806,105.977,106.684,107.408,109.514,111.636,107.392,104.562,103.148,103.855,108.806,108.099,108.806,105.27,105.923,103.148,105.27,109.514,103.148,108.806,108.806,107.156,105.27,107.392,104.749,102.441,106.684,108.471,103.148,101.026,101.026,105.27,107.408,106.684,105.27,102.441,103.148,101.026,101.026,101.026,111.636,103.148,104.562,103.148,107.628,103.148,103.148,109.514,103.148,103.148,106.684,-7.52947,-4.01427,-7.36668,-12.0103,-3.46619,-3.44187,-3.4328,-3.61712,-4.19837,-4.12883,-3.79234,-3.65518,-3.95384,-3.48329,-3.43012,-3.58469,-3.44959,-3.43074,-3.43012,-3.48329,-3.43343,-3.58469,-3.64613,-3.49856,-3.43012,-3.43465,-3.5477,-3.80617,-4.40289,-3.43074,-3.87614,-3.45238,-3.49856,-3.58469,-4.28896,-3.84287,-3.44187,-3.43465,-3.5037,-3.44028,-3.58469,-3.52148,-3.43074,-3.46261,-9.02216,-9.02216,-3.43075,-3.52148,-3.95384,-3.43083,-3.94,-3.45371,-4.52708,-3.46261,-3.43343,-3.43343,-3.52148,-4.40289,-3.57721,-4.19837,-3.61829,-3.58469,-3.50092,-3.8306,-3.8306,-3.43878,-3.58469,-4.12883,-3.58469,-4.10332,-3.46261,-3.58469,-3.43074,-3.46261,-3.46261,-3.46619,75.0294,123.248,95.166,83.9063,104.322,113.551,99.6697,114.953,115.251,88.6412,82.7654,100.719,114.466,109.163,102.13,109.033,120.116,91.537,105.378,105.667,115.111,97.7754,109.197,111.89,119.872,106.605,94.2434,99.2118,91.8888,109.669,98.6487,119.381,100.755,81.9809,120.283,118.694,92.7456,127.882,117.523,100.997,122.55,88.0069,105.538,104.775,89.1937,90.3663,102.854,97.4277,103.258,118.092,111.511,114.016,92.3466,103.529,101.861,118.033,103.361,102.744,94.952,104.493,117.019,112.119,93.7438,113.215,99.7258,98.9594,98.7649,106.52,93.2341,88.88,92.969,108.281,99.2475,85.9639,96.895,103.645
-233.616,0.978635,0.404734,3,7,0,236.505,102.608,1.77531,13.6875,101.445,104.996,99.67,90.7934,104.996,108.547,115.648,101.472,101.445,99.67,112.097,92.5687,106.771,103.221,113.872,96.1194,94.3441,112.097,113.872,103.221,90.7934,96.1194,108.547,99.67,113.872,110.322,103.221,104.996,106.811,112.097,117.423,106.771,99.67,96.1194,97.8947,110.322,108.547,110.322,101.445,103.084,96.1194,101.445,112.097,96.1194,110.322,110.322,106.179,101.445,106.771,100.137,94.3441,104.996,109.481,96.1194,90.7934,90.7934,101.445,106.811,104.996,101.445,94.3441,96.1194,90.7934,90.7934,90.7934,117.423,96.1194,99.67,96.1194,107.363,96.1194,96.1194,112.097,96.1194,96.1194,104.996,-6.17438,-4.13624,-5.88481,-7.97663,-3.60225,-3.54106,-3.62055,-3.57251,-3.88503,-3.78498,-3.7021,-4.34634,-4.00247,-3.65808,-3.57544,-4.04963,-3.6208,-3.54716,-3.57544,-3.65808,-3.76164,-4.04963,-3.73036,-3.53571,-3.57544,-3.5357,-3.5631,-3.7514,-4.26958,-3.54716,-4.34558,-3.56325,-3.53571,-4.04963,-4.83953,-3.7854,-3.54106,-3.5357,-3.73074,-3.5921,-4.04963,-3.541,-3.54716,-3.57561,-7.73711,-7.73711,-3.53606,-3.541,-4.00247,-3.60555,-3.58579,-3.53807,-4.52494,-3.57561,-3.76164,-3.76164,-3.541,-4.26958,-3.60203,-3.88503,-4.18958,-4.04963,-3.61888,-3.5371,-3.5371,-3.68248,-4.04963,-3.78498,-4.04963,-4.06073,-3.57561,-4.04963,-3.54716,-3.57561,-3.57561,-3.60225,101.951,79.4584,93.8856,81.1442,103.3,97.1766,101.925,84.7183,106.738,91.3575,101.13,99.5367,104.446,120.836,108.054,99.3148,109.781,133.944,119.453,129.867,99.1149,108.231,115.497,120.266,91.706,125.021,100.981,85.7988,113.591,119.255,90.4069,114.291,88.9001,101.563,103.222,87.935,110.391,108.734,118.578,87.6459,94.3822,80.5595,104.173,75.2461,91.8286,107.099,119.991,109.281,111.409,74.3573,78.567,106.606,99.3705,69.3614,104.38,112.013,113.941,84.5855,106.095,115.72,76.2776,70.3007,75.0203,83.0886,108.863,127.891,106.009,89.4477,106.433,110.694,85.9059,87.6382,100.642,86.0362,96.2878,131.772
