# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 17:21:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.98999999999999999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\zvexb0ng.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621192137_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.300335
# Diagonal elements of inverse mass matrix:
# 2.3765, 0.150884, 0.00673478
-233.779,0.98881,0.300335,3,7,0,234.373,103.706,0.883261,11.1186,103.128,104.894,102.245,97.8283,104.894,106.661,110.194,103.141,103.128,102.245,108.427,98.7115,105.778,104.011,109.311,100.478,99.5948,108.427,109.311,104.011,97.8283,100.478,106.661,102.245,109.311,107.544,104.011,104.894,105.798,108.427,111.077,105.778,102.245,100.478,101.361,107.544,106.661,107.544,103.128,103.943,100.478,103.128,108.427,100.478,107.544,107.544,105.483,103.128,105.778,102.477,99.5948,104.894,107.126,100.478,97.8283,97.8283,103.128,105.798,104.894,103.128,99.5948,100.478,97.8283,97.8283,97.8283,111.077,100.478,102.245,100.478,106.072,100.478,100.478,108.427,100.478,100.478,104.894,-7.76624,-4.25044,-7.53271,-12.5796,-3.43299,-3.37266,-3.32771,-3.44536,-4.0246,-3.93396,-3.86922,-3.84295,-4.14567,-3.47262,-3.32948,-3.69427,-3.32822,-3.33756,-3.32948,-3.47262,-3.34664,-3.69427,-3.50701,-3.34794,-3.32948,-3.35195,-3.39263,-3.64752,-4.3083,-3.33756,-3.82384,-3.39967,-3.34794,-3.69427,-4.73263,-3.95506,-3.37266,-3.35195,-3.51857,-3.38441,-3.69427,-3.36713,-3.33756,-3.32848,-10.6178,-10.6178,-3.33322,-3.36713,-4.14567,-3.35896,-3.6999,-3.3308,-4.48275,-3.32848,-3.34664,-3.34664,-3.36713,-4.3083,-3.42445,-4.0246,-3.76545,-3.69427,-3.33598,-3.57542,-3.57542,-3.33225,-3.69427,-3.93396,-3.69427,-3.98389,-3.32848,-3.69427,-3.33756,-3.32848,-3.32848,-3.43299,98.9418,114.715,94.0967,100.626,100.302,101.062,112.625,96.2028,97.255,107.709,91.6307,111.849,112.28,98.5896,99.1978,123.35,101.247,116.845,114.957,88.8352,74.2136,102.696,106.217,93.8105,104.957,106.912,98.316,109.949,98.3626,106.797,99.7566,101.629,99.9797,109.999,91.6816,109.544,98.1417,116,95.9502,109.229,105.686,122.132,118.339,113.851,119.367,106.671,115.097,105.875,109.633,108.473,111.432,120.812,113.319,113.157,90.7835,110.312,76.9155,104.067,89.5799,108.219,118.213,123.355,109.229,105.614,105.962,107.459,86.7157,112.718,101.08,131.344,100.35,80.5245,106.133,85.1272,97.7847,114.445
-235.242,0.947931,0.300335,3,15,0,237.712,103.924,1.93432,15.1726,102.657,106.526,100.723,91.0511,106.526,110.394,118.132,102.686,102.657,100.723,114.263,92.9854,108.46,104.591,116.197,96.8541,94.9198,114.263,116.197,104.591,91.0511,96.8541,110.394,100.723,116.197,112.329,104.591,106.526,108.504,114.263,120.066,108.46,100.723,96.8541,98.7884,112.329,110.394,112.329,102.657,104.443,96.8541,102.657,114.263,96.8541,112.329,112.329,107.815,102.657,108.46,101.232,94.9198,106.526,111.412,96.8541,91.0511,91.0511,102.657,108.504,106.526,102.657,94.9198,96.8541,91.0511,91.0511,91.0511,120.066,96.8541,100.723,96.8541,109.105,96.8541,96.8541,114.263,96.8541,96.8541,106.526,-5.95477,-4.03276,-5.6885,-7.29857,-3.66465,-3.63877,-3.78205,-3.69147,-3.98638,-3.88816,-3.70992,-4.2672,-3.92767,-3.70197,-3.72185,-4.01378,-3.69449,-3.6779,-3.72185,-3.70197,-3.81237,-4.01378,-3.87309,-3.63957,-3.72185,-3.65021,-3.68422,-3.87906,-4.36405,-3.6779,-4.51295,-3.64358,-3.63957,-4.01378,-4.61566,-3.76625,-3.63877,-3.65021,-3.75554,-3.66137,-4.01378,-3.65377,-3.6779,-3.65993,-6.72069,-6.72069,-3.6413,-3.65377,-3.92767,-3.67373,-3.691,-3.65229,-4.61338,-3.65993,-3.81237,-3.81237,-3.65377,-4.36405,-3.73092,-3.98638,-4.13236,-4.01378,-3.70024,-3.64083,-3.64083,-3.8585,-4.01378,-3.88816,-4.01378,-4.17868,-3.65993,-4.01378,-3.6779,-3.65993,-3.65993,-3.66465,114.446,130.8,126.402,68.41,122.912,115.094,93.6096,84.5534,108.975,95.9883,80.3369,90.7968,105.347,89.4044,156.88,109.335,89.2361,90.1906,130.238,98.4747,88.699,81.6271,111.444,124.061,109.099,99.1883,128.109,122.15,90.3362,113.798,130.301,119.602,90.272,80.0451,84.5362,122.415,84.2152,93.8331,112.94,113.955,110.141,85.1259,116.173,113.9,119.413,102.366,110.786,93.5403,101.77,106.685,92.4561,122.917,101.5,85.0723,115.427,107.708,108.421,121.271,134.607,92.7616,110.948,77.4795,94.7528,79.4242,86.6767,120.683,92.3567,53.1606,83.6187,101.599,119.443,92.2161,105.44,88.2217,96.5693,125.055
-234.299,0.999797,0.300335,3,7,0,235.657,104.819,1.709,15.0629,103.7,107.118,101.991,93.4457,107.118,110.536,117.372,103.725,103.7,101.991,113.954,95.1547,108.827,105.409,115.663,98.5727,96.8637,113.954,115.663,105.409,93.4457,98.5727,110.536,101.991,115.663,112.245,105.409,107.118,108.865,113.954,119.081,108.827,101.991,98.5727,100.282,112.245,110.536,112.245,103.7,105.277,98.5727,103.7,113.954,98.5727,112.245,112.245,108.257,103.7,108.827,102.44,96.8637,107.118,111.435,98.5727,93.4457,93.4457,103.7,108.865,107.118,103.7,96.8637,98.5727,93.4457,93.4457,93.4457,119.081,98.5727,101.991,98.5727,109.396,98.5727,98.5727,113.954,98.5727,98.5727,107.118,-6.13386,-3.99688,-5.88646,-7.79074,-3.64948,-3.6318,-3.75092,-3.71,-4.04477,-3.94801,-3.71173,-4.11683,-3.90629,-3.67762,-3.70184,-3.91894,-3.65285,-3.66562,-3.70184,-3.67762,-3.72584,-3.91894,-3.87579,-3.6399,-3.70184,-3.64227,-3.69564,-3.90356,-4.39682,-3.66562,-4.43348,-3.6342,-3.6399,-3.91894,-4.488,-3.76371,-3.6318,-3.64227,-3.71864,-3.64402,-3.91894,-3.66133,-3.66562,-3.63566,-6.77248,-6.77248,-3.63674,-3.66133,-3.90629,-3.64873,-3.73499,-3.65259,-4.62251,-3.63566,-3.72584,-3.72584,-3.66133,-4.39682,-3.74281,-4.04477,-4.01145,-3.91894,-3.65022,-3.65733,-3.65733,-3.81289,-3.91894,-3.94801,-3.91894,-4.19978,-3.63566,-3.91894,-3.66562,-3.63566,-3.63566,-3.64948,116.001,112.224,102.601,91.4096,109.867,139.14,115.172,88.7157,118.768,91.5566,111.366,99.2975,107.588,94.5606,127.002,89.666,121.815,130.04,111.863,107.276,106.095,101.702,102.179,110.608,102.923,94.1976,89.1243,97.4239,95.1383,108.344,146.704,136.513,114.784,105.8,115.407,117.764,105.569,119.522,104.283,114.494,84.8978,116.808,117.675,88.3573,116.64,108.463,124.926,106.465,126.318,101.727,82.1024,127.623,99.9973,115.377,70.7911,72.9992,116.855,108.762,130.818,104.7,85.3172,104.637,108.598,85.2338,75.7731,127.027,113.858,90.2533,126.213,105.968,78.3985,89.863,118.29,102.977,116.961,106.102
-235.864,0.98941,0.300335,3,7,0,236.175,106.007,1.71346,15.8208,104.885,108.311,103.171,94.6038,108.311,111.738,118.592,104.91,104.885,103.171,115.165,96.3172,110.025,106.598,116.879,99.7442,98.0307,115.165,116.879,106.598,94.6038,99.7442,111.738,103.171,116.879,113.452,106.598,108.311,110.064,115.165,120.306,110.025,103.171,99.7442,101.458,113.452,111.738,113.452,104.885,106.466,99.7442,104.885,115.165,99.7442,113.452,113.452,109.454,104.885,110.025,103.622,98.0307,108.311,112.64,99.7442,94.6038,94.6038,104.885,110.064,108.311,104.885,98.0307,99.7442,94.6038,94.6038,94.6038,120.306,99.7442,103.171,99.7442,110.596,99.7442,99.7442,115.165,99.7442,99.7442,108.311,-6.11123,-3.95318,-5.87828,-7.65452,-3.68596,-3.6863,-3.82774,-3.78284,-4.12284,-4.02681,-3.72696,-4.05425,-3.87903,-3.70338,-3.77479,-3.89038,-3.68801,-3.73356,-3.77479,-3.70338,-3.73843,-3.89038,-3.95552,-3.70035,-3.77479,-3.70407,-3.76723,-3.98305,-4.46642,-3.73356,-4.50393,-3.68027,-3.70035,-3.89038,-4.36709,-3.76592,-3.6863,-3.70407,-3.73254,-3.68327,-3.89038,-3.72793,-3.73356,-3.6804,-6.34861,-6.34861,-3.69578,-3.72793,-3.87903,-3.68565,-3.8091,-3.7174,-4.6839,-3.6804,-3.73843,-3.73843,-3.72793,-4.46642,-3.81826,-4.12284,-3.96645,-3.89038,-3.68661,-3.7226,-3.7226,-3.89243,-3.89038,-4.02681,-3.89038,-4.27556,-3.6804,-3.89038,-3.73356,-3.6804,-3.6804,-3.68596,114.993,88.2921,92.6946,110.314,111.612,106.785,131.299,114.607,117.56,87.414,128.969,105.352,108.36,100.988,137.417,121.95,91.6477,106.593,144.573,110.08,103.396,98.6414,79.9927,136.032,135.929,91.6437,96.178,104.299,107.993,100.4,139.885,150.118,85.5053,89.0496,108.958,94.4644,124.575,127.628,85.3287,121.486,127.963,84.9382,167.389,129.618,110.619,118.693,91.6233,86.792,122.078,95.6661,95.2389,88.2102,133.832,71.6748,107.299,77.2521,116.869,112.19,133.582,109.025,118.352,116.769,118.784,108.065,110.82,141.064,121.108,112.572,73.1818,131.11,68.9165,99.322,111.109,102.513,127.993,129.27
-233.873,0.997277,0.300335,4,15,0,237.589,102.651,1.06438,15.1981,101.954,104.082,100.889,95.5674,104.082,106.211,110.469,101.97,101.954,100.889,108.34,96.6318,105.147,103.018,109.404,98.7605,97.6961,108.34,109.404,103.018,95.5674,98.7605,106.211,100.889,109.404,107.276,103.018,104.082,105.171,108.34,111.533,105.147,100.889,98.7605,99.8249,107.276,106.211,107.276,101.954,102.936,98.7605,101.954,108.34,98.7605,107.276,107.276,104.792,101.954,105.147,101.169,97.6961,104.082,106.771,98.7605,95.5674,95.5674,101.954,105.171,104.082,101.954,97.6961,98.7605,95.5674,95.5674,95.5674,111.533,98.7605,100.889,98.7605,105.502,98.7605,98.7605,108.34,98.7605,98.7605,104.082,-5.8503,-4.18857,-5.70551,-8.13478,-3.71591,-3.67119,-3.64059,-3.67876,-3.94942,-3.89679,-3.93441,-4.02696,-4.11767,-3.74563,-3.64088,-3.91356,-3.6516,-3.64608,-3.64088,-3.74563,-3.68264,-3.91356,-3.72362,-3.64182,-3.64088,-3.65618,-3.65983,-3.78152,-4.12361,-3.64608,-3.92804,-3.6911,-3.64182,-3.91356,-4.5212,-3.99059,-3.67119,-3.65618,-3.78026,-3.68908,-3.91356,-3.64837,-3.64608,-3.64344,-7.59143,-7.59143,-3.64772,-3.64837,-4.11767,-3.67639,-3.76833,-3.64013,-4.23272,-3.64344,-3.68264,-3.68264,-3.64837,-4.12361,-3.67619,-3.94942,-3.96781,-3.91356,-3.64156,-3.70721,-3.70721,-3.6452,-3.91356,-3.89679,-3.91356,-3.96062,-3.64344,-3.91356,-3.64608,-3.64344,-3.64344,-3.71591,82.0516,85.3756,84.8516,93.7416,115.486,99.8899,104.285,99.3039,87.2787,83.8815,122.104,98.7577,97.2433,133.176,119.221,139.735,109.437,124.206,101.84,119.952,110.116,104.85,104.694,95.0645,124.698,96.4213,101.892,96.0702,97.5196,124.45,103.8,115.677,111.271,109.623,88.1687,87.4792,126.064,88.3181,91.5719,120.078,98.8059,92.7115,100.222,101.809,106.538,121.704,108.125,87.1337,97.19,115.345,117.426,91.5642,105.037,83.1566,117.34,111.636,81.1108,103.75,110.185,82.8003,96.5227,86.7953,88.9463,103.771,80.0831,97.2839,107.246,96.9372,84.2039,104.281,100.889,119.978,110.626,101.703,95.1758,103.848
-233.66,1,0.300335,2,3,0,233.905,102.8,1.08587,15.1004,102.089,104.26,101.003,95.5734,104.26,106.432,110.776,102.105,102.089,101.003,108.604,96.6592,105.346,103.174,109.69,98.831,97.7451,108.604,109.69,103.174,95.5734,98.831,106.432,101.003,109.69,107.518,103.174,104.26,105.371,108.604,111.861,105.346,101.003,98.831,99.9169,107.518,106.432,107.518,102.089,103.091,98.831,102.089,108.604,98.831,107.518,107.518,104.984,102.089,105.346,101.288,97.7451,104.26,107.004,98.831,95.5734,95.5734,102.089,105.371,104.26,102.089,97.7451,98.831,95.5734,95.5734,95.5734,111.861,98.831,101.003,98.831,105.708,98.831,98.831,108.604,98.831,98.831,104.26,-5.8915,-4.17689,-5.74127,-8.18787,-3.7059,-3.66158,-3.63498,-3.67536,-3.9541,-3.89912,-3.91844,-4.02392,-4.10452,-3.73582,-3.63387,-3.9072,-3.64481,-3.63794,-3.63387,-3.73582,-3.67663,-3.9072,-3.72438,-3.63587,-3.63387,-3.64717,-3.65576,-3.78328,-4.13663,-3.63794,-3.94217,-3.68115,-3.63587,-3.9072,-4.51807,-3.9753,-3.66158,-3.64717,-3.77091,-3.68009,-3.9072,-3.64323,-3.63794,-3.63666,-7.59099,-7.59099,-3.63987,-3.64323,-4.10452,-3.6683,-3.7652,-3.63381,-4.25093,-3.63666,-3.67663,-3.67663,-3.64323,-4.13663,-3.67346,-3.9541,-3.96298,-3.9072,-3.63511,-3.70178,-3.70178,-3.64126,-3.9072,-3.89912,-3.9072,-3.96945,-3.63666,-3.9072,-3.63794,-3.63666,-3.63666,-3.7059,78.3025,101.006,130.034,79.8685,114.724,125.396,101.209,92.677,97.5602,72.4417,129.669,93.0404,104.112,89.1565,106.735,111.398,110.777,141.902,111.824,88.5072,99.493,77.5862,96.6357,85.3771,129.306,96.2116,119.733,86.3441,125.275,106.996,114.793,118.299,80.9335,95.3235,99.2491,102.794,99.8818,111.413,88.3047,104.691,109.281,121.466,105.402,100.598,89.1757,117.954,100.45,92.7886,108.964,123.9,95.0837,96.6085,121.999,131.326,103.239,99.6585,132.355,113.862,99.7245,100.283,92.1831,80.1799,93.3265,111.777,87.7145,143.495,82.6508,76.3795,93.2252,131.464,100.42,110.376,95.4904,106.322,107.895,128.122
