# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 17:25:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.98999999999999999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\jkndcivy.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621192515_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.26516
# Diagonal elements of inverse mass matrix:
# 2.59836, 0.121364, 0.00624192
-232.559,0.998877,0.26516,4,15,0,234.598,104.715,1.58813,12.1213,103.675,106.852,102.087,94.1467,106.852,110.028,116.38,103.699,103.675,102.087,113.204,95.7348,108.44,105.264,114.792,98.911,97.3229,113.204,114.792,105.264,94.1467,98.911,110.028,102.087,114.792,111.616,105.264,106.852,108.476,113.204,117.969,108.44,102.087,98.911,100.499,111.616,110.028,111.616,103.675,105.141,98.911,103.675,113.204,98.911,111.616,111.616,107.91,103.675,108.44,102.505,97.3229,106.852,110.864,98.911,94.1467,94.1467,103.675,108.476,106.852,103.675,97.3229,98.911,94.1467,94.1467,94.1467,117.969,98.911,102.087,98.911,108.969,98.911,98.911,113.204,98.911,98.911,106.852,-7.27313,-4.00222,-6.91771,-10.0463,-3.44763,-3.4139,-3.55244,-3.53458,-4.05034,-3.9111,-3.57106,-4.10642,-3.86868,-3.49024,-3.49206,-3.83236,-3.43829,-3.44884,-3.49206,-3.49024,-3.53049,-3.83236,-3.75611,-3.42873,-3.49206,-3.42279,-3.50818,-3.81464,-4.54735,-3.44884,-4.51266,-3.42218,-3.42873,-3.83236,-4.70804,-3.6531,-3.4139,-3.42279,-3.55002,-3.43604,-3.83236,-3.45987,-3.44884,-3.41793,-8.42778,-8.42778,-3.41916,-3.45987,-3.86868,-3.43978,-3.59639,-3.44157,-4.8634,-3.41793,-3.53049,-3.53049,-3.45987,-4.54735,-3.57366,-4.05034,-3.96081,-3.83236,-3.43096,-3.47241,-3.47241,-3.62999,-3.83236,-3.9111,-3.83236,-4.24589,-3.41793,-3.83236,-3.44884,-3.41793,-3.41793,-3.44763,83.5174,138.094,112.773,107.978,110.604,112.444,116.63,140.094,89.5745,101.329,136.725,73.1436,113.969,110.364,102.792,88.1407,86.8527,116.376,111.072,105.621,65.9074,94.107,124.021,90.155,135.162,127.335,95.2566,120.113,112.439,113.218,105.386,104.419,96.9657,103.995,90.0342,112.417,129.512,118.006,99.8718,96.5149,86.5839,91.0997,123.474,99.6344,95.9462,111.817,111.154,102.154,111.175,107.829,109.324,98.5001,102.782,115.207,86.472,88.4883,105.527,97.2792,116.229,100.871,74.95,75.8273,92.4491,89.667,67.0955,127.104,90.7193,92.4504,108.396,106.132,92.0779,100.366,108.844,115.586,87.4677,105.792
-236.815,0.943407,0.26516,4,15,0,238.218,107.665,0.596573,15.7387,107.275,108.468,106.678,103.695,108.468,109.661,112.047,107.284,107.275,106.678,110.854,104.292,109.064,107.871,111.451,105.485,104.888,110.854,111.451,107.871,103.695,105.485,109.661,106.678,111.451,110.258,107.871,108.468,109.078,110.854,112.644,109.064,106.678,105.485,106.082,110.258,109.661,110.258,107.275,107.825,105.485,107.275,110.854,105.485,110.258,110.258,108.866,107.275,109.064,106.835,104.888,108.468,109.975,105.485,103.695,103.695,107.275,109.078,108.468,107.275,104.888,105.485,103.695,103.695,103.695,112.644,105.485,106.678,105.485,109.263,105.485,105.485,110.854,105.485,105.485,108.468,-6.47961,-3.9435,-6.39056,-9.49484,-3.6798,-3.67529,-3.68352,-3.85874,-4.27742,-4.23654,-3.8439,-3.74083,-3.91645,-3.68421,-3.67931,-3.71621,-3.7233,-3.67653,-3.67931,-3.68421,-3.70262,-3.71621,-3.86346,-3.76508,-3.67931,-3.67519,-3.80012,-3.98884,-4.39247,-3.67653,-3.99776,-3.67683,-3.76508,-3.71621,-4.06609,-3.86665,-3.67529,-3.67519,-3.69005,-3.6751,-3.71621,-3.78188,-3.67653,-3.73579,-6.86323,-6.86323,-3.68482,-3.78188,-3.91645,-3.68005,-4.1225,-3.71535,-4.46237,-3.73579,-3.70262,-3.70262,-3.78188,-4.39247,-3.8198,-4.27742,-3.7278,-3.71621,-3.78292,-4.05366,-4.05366,-3.68917,-3.71621,-4.23654,-3.71621,-4.18729,-3.73579,-3.71621,-3.67653,-3.73579,-3.73579,-3.6798,83.3576,116.567,112.003,85.4012,91.5134,106.316,120.824,120.914,91.0165,76.019,122.228,102.623,128.029,126.06,129.711,68.9075,76.7159,111.524,135.932,88.5682,90.6108,77.2872,106.166,131.098,123.845,84.5853,117.93,120.365,111.007,118.796,103.964,111.758,127.623,113.527,106.448,121.738,116.197,138.851,101.58,90.4688,129.209,137.482,103.548,117.335,64.9527,97.0846,99.7455,91.1016,77.6041,82.2802,113.319,104.715,97.6562,106.291,118.141,73.1987,105.492,101.487,101.885,118.254,90.3822,75.546,79.3222,111.615,106.173,95.1318,107.867,114.095,99.1172,98.3629,95.7298,116.449,124.772,120.415,112.049,131.087
-234.411,0.997129,0.26516,3,15,0,237.218,106.05,0.857612,15.3453,105.488,107.204,104.631,100.343,107.204,108.919,112.349,105.501,105.488,104.631,110.634,101.2,108.061,106.346,111.492,102.916,102.058,110.634,111.492,106.346,100.343,102.916,108.919,104.631,111.492,109.777,106.346,107.204,108.081,110.634,113.207,108.061,104.631,102.916,103.773,109.777,108.919,109.777,105.488,106.28,102.916,105.488,110.634,102.916,109.777,109.777,107.775,105.488,108.061,104.857,102.058,107.204,109.37,102.916,100.343,100.343,105.488,108.081,107.204,105.488,102.058,102.916,100.343,100.343,100.343,113.207,102.916,104.631,102.916,108.347,102.916,102.916,110.634,102.916,102.916,107.204,-6.32395,-3.99743,-6.19626,-9.03113,-3.66635,-3.65223,-3.66147,-3.77751,-4.15912,-4.10428,-3.83601,-3.81416,-3.95239,-3.6781,-3.65447,-3.75631,-3.65874,-3.6506,-3.65447,-3.6781,-3.65,-3.75631,-3.81865,-3.69528,-3.65447,-3.64985,-3.73526,-3.91628,-4.32668,-3.6506,-4.02011,-3.65773,-3.69528,-3.75631,-4.20884,-3.87168,-3.65223,-3.64985,-3.69297,-3.65398,-3.75631,-3.71371,-3.6506,-3.6678,-7.08515,-7.08515,-3.65236,-3.71371,-3.95239,-3.6501,-3.95847,-3.67154,-4.428,-3.6678,-3.65,-3.65,-3.71371,-4.32668,-3.75994,-4.15912,-3.78368,-3.75631,-3.683,-3.87689,-3.87689,-3.67159,-3.75631,-4.10428,-3.75631,-4.12838,-3.6678,-3.75631,-3.6506,-3.6678,-3.6678,-3.66635,113.876,102.756,111.523,89.0926,105.051,99.2439,85.7924,99.1644,115.723,115.613,106.197,85.5892,128.074,98.7623,90.1704,110.699,137.942,100.237,114.138,119.347,70.1719,127.135,98.6441,122.765,114.823,105.586,92.9415,78.3621,91.0179,109.433,118.064,136.814,109.345,122.395,105.66,63.3577,92.0832,115.882,111.932,106.895,109.922,93.7832,70.1747,84.254,112.398,77.7231,86.0928,95.538,126.682,99.917,89.3792,117.341,99.5901,110.084,105.79,79.8038,125.483,102.631,114.042,123.03,107.52,94.5333,98.6885,105.97,95.913,92.7217,91.2891,90.9067,90.041,105.328,105.909,86.1795,125.91,83.9287,118.793,110.934
-238.751,0.751643,0.26516,4,15,0,241.328,107.112,2.33192,12.7285,105.585,110.248,103.253,91.5931,110.248,114.912,124.24,105.62,105.585,103.253,119.576,93.925,112.58,107.917,121.908,98.5888,96.2569,119.576,121.908,107.917,91.5931,98.5888,114.912,103.253,121.908,117.244,107.917,110.248,112.633,119.576,126.572,112.58,103.253,98.5888,100.921,117.244,114.912,117.244,105.585,107.737,98.5888,105.585,119.576,98.5888,117.244,117.244,111.803,105.585,112.58,103.866,96.2569,110.248,116.14,98.5888,91.5931,91.5931,105.585,112.633,110.248,105.585,96.2569,98.5888,91.5931,91.5931,91.5931,126.572,98.5888,103.253,98.5888,113.358,98.5888,98.5888,119.576,98.5888,98.5888,110.248,-7.37067,-3.75625,-6.87527,-8.80179,-3.46297,-3.53725,-4.08858,-3.65418,-4.21234,-4.00481,-3.46333,-4.26026,-3.63268,-3.47618,-3.9004,-3.86464,-3.50602,-3.74579,-3.9004,-3.47618,-3.6809,-3.86464,-4.14907,-3.49543,-3.9004,-3.62474,-3.65619,-4.08932,-5.01231,-3.74579,-5.64181,-3.48333,-3.49543,-3.86464,-4.58619,-3.48622,-3.53725,-3.62474,-3.52295,-3.46278,-3.86464,-3.55903,-3.74579,-3.46892,-6.77405,-6.77405,-3.5442,-3.55903,-3.63268,-3.4688,-3.5836,-3.58327,-5.53525,-3.46892,-3.6809,-3.6809,-3.55903,-5.01231,-3.78692,-4.21234,-4.04567,-3.86464,-3.53366,-3.47061,-3.47061,-4.31032,-3.86464,-4.00481,-3.86464,-4.70025,-3.46892,-3.86464,-3.74579,-3.46892,-3.46892,-3.46297,127.693,98.6868,113.023,76.8418,112.287,132.814,143.162,130.995,117.77,97.5491,92.599,67.6955,131.362,124.811,115.281,107.985,100.517,113.002,94.9694,109.363,90.2297,84.7735,138.489,97.3138,112.653,114.053,114.557,113.199,111.055,125.969,111.291,129.165,126.104,87.6945,119.346,105.933,110.784,122.651,108.045,95.3946,108.544,81.9008,114.179,119.023,127.007,126.161,94.9651,108.986,97.1543,109.511,78.2312,99.2577,102.689,97.7988,97.4124,102.547,95.722,125.35,111.397,100.72,82.4779,82.0813,96.7624,92.754,108.038,125.777,110.614,123.818,118.287,113.485,118.07,91.8181,101.22,96.0065,64.504,102.677
-234.794,0.999045,0.26516,3,7,0,240.08,106.102,1.93331,12.4999,104.836,108.703,102.903,93.2364,108.703,112.57,120.303,104.865,104.836,102.903,116.436,95.1697,110.636,106.77,118.369,99.0364,97.103,116.436,118.369,106.77,93.2364,99.0364,112.57,102.903,118.369,114.503,106.77,108.703,110.68,116.436,122.236,110.636,102.903,99.0364,100.97,114.503,112.57,114.503,104.836,106.621,99.0364,104.836,116.436,99.0364,114.503,114.503,109.992,104.836,110.636,103.412,97.103,108.703,113.587,99.0364,93.2364,93.2364,104.836,110.68,108.703,104.836,97.103,99.0364,93.2364,93.2364,93.2364,122.236,99.0364,102.903,99.0364,111.281,99.0364,99.0364,116.436,99.0364,99.0364,108.703,-7.32816,-3.85306,-6.90908,-9.42684,-3.45004,-3.46578,-3.78434,-3.60693,-4.14904,-3.97743,-3.4853,-4.14847,-3.72524,-3.47805,-3.66881,-3.82931,-3.47151,-3.57722,-3.66881,-3.47805,-3.59105,-3.82931,-3.95025,-3.47162,-3.66881,-3.50954,-3.59131,-3.96103,-4.78349,-3.57722,-5.02691,-3.44595,-3.47162,-3.82931,-4.60357,-3.54136,-3.46578,-3.50954,-3.52998,-3.44833,-3.82931,-3.5195,-3.57722,-3.44763,-7.4769,-7.4769,-3.48004,-3.5195,-3.72524,-3.45562,-3.60611,-3.51543,-5.19113,-3.44763,-3.59105,-3.59105,-3.5195,-4.78349,-3.68703,-4.14904,-3.97693,-3.82931,-3.47639,-3.47817,-3.47817,-3.92378,-3.82931,-3.97743,-3.82931,-4.47542,-3.44763,-3.82931,-3.57722,-3.44763,-3.44763,-3.45004,120.784,116.955,119.757,98.5621,102.145,128.408,118.239,93.6504,99.4677,112.257,106.08,85.343,102.163,100.313,107.55,106.709,105.904,103.53,117.234,102.988,84.2106,78.1889,121.83,107.475,112.355,109.058,109.625,97.4836,112.142,125.572,106.919,109.158,106.374,105.255,100.915,117.901,105.45,116.994,113.417,93.8784,114.515,99.0666,126.597,77.1947,101.499,131.355,119.483,97.1618,106.736,106.087,116.684,109.809,91.9603,117.869,105.214,90.7194,98.0117,103.357,126.275,114.83,86.3519,102.066,69.9767,81.0627,90.3255,106.692,74.0287,103.561,118.083,112.944,92.0768,95.2917,108.732,91.9385,121.743,101.734
-233.2,0.997887,0.26516,4,15,0,236.022,101.587,1.2487,13.6504,100.77,103.267,99.5209,93.2775,103.267,105.764,110.759,100.788,100.77,99.5209,108.262,94.5261,104.516,102.018,109.51,97.0235,95.7748,108.262,109.51,102.018,93.2775,97.0235,105.764,99.5209,109.51,107.013,102.018,103.267,104.544,108.262,112.008,104.516,99.5209,97.0235,98.2722,107.013,105.764,107.013,100.77,101.922,97.0235,100.77,108.262,97.0235,107.013,107.013,104.099,100.77,104.516,99.8495,95.7748,103.267,106.422,97.0235,93.2775,93.2775,100.77,104.544,103.267,100.77,95.7748,97.0235,93.2775,93.2775,93.2775,112.008,97.0235,99.5209,97.0235,104.932,97.0235,97.0235,108.262,97.0235,97.0235,103.267,-6.07322,-4.28403,-5.8712,-8.55844,-3.65436,-3.58085,-3.53426,-3.55758,-3.84394,-3.77595,-3.90244,-4.17521,-4.17608,-3.70366,-3.53335,-3.98456,-3.58061,-3.54082,-3.53335,-3.70366,-3.65398,-3.98456,-3.62187,-3.53333,-3.53335,-3.55665,-3.54364,-3.67442,-4.08283,-3.54082,-3.91962,-3.61342,-3.53333,-3.98456,-4.79951,-3.98528,-3.58085,-3.55665,-3.76133,-3.62205,-3.98456,-3.5343,-3.54082,-3.55648,-8.49119,-8.49119,-3.5504,-3.5343,-4.17608,-3.61135,-3.6222,-3.53415,-4.23658,-3.55648,-3.65398,-3.65398,-3.5343,-4.08283,-3.56135,-3.84394,-4.0757,-3.98456,-3.55863,-3.56153,-3.56153,-3.54353,-3.98456,-3.77595,-3.98456,-3.89369,-3.55648,-3.98456,-3.54082,-3.55648,-3.55648,-3.65436,100.157,90.2703,105.148,87.9247,88.5822,91.643,108.406,88.0073,125.625,119.826,116.641,117.839,112.673,118.34,96.6902,107.738,89.9204,92.6538,113.433,114.676,63.0843,85.0538,108.113,103.569,118.591,93.955,121.479,106.447,111.828,99.216,113.572,76.3345,100.308,97.4195,106.159,89.6953,116.105,104.091,118.124,121.023,76.2728,108.521,108.476,102.091,109.696,118.613,116.489,113.31,127.341,101.433,80.9693,115.069,131.149,83.2469,105.82,89.4208,115.724,102.605,107.411,95.5195,114.302,102.071,83.9664,107.888,107.91,122.964,62.5804,114.437,102.93,118.877,87.0054,88.6516,89.4463,83.7977,91.9355,96.0524
