# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 17:29:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\9l2hjgi7.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621192907_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.186477
# Diagonal elements of inverse mass matrix:
# 2.04561, 0.120159, 0.00627151
-235.053,0.997961,0.186477,5,31,0,236.863,106.214,1.62784,11.3045,105.148,108.404,103.52,95.3808,108.404,111.659,118.171,105.172,105.148,103.52,114.915,97.0087,110.031,106.776,116.543,100.264,98.6365,114.915,116.543,106.776,95.3808,100.264,111.659,103.52,116.543,113.287,106.776,108.404,110.068,114.915,119.798,110.031,103.52,100.264,101.892,113.287,111.659,113.287,105.148,106.651,100.264,105.148,114.915,100.264,113.287,113.287,109.489,105.148,110.031,103.948,98.6365,108.404,112.516,100.264,95.3808,95.3808,105.148,110.068,108.404,105.148,98.6365,100.264,95.3808,95.3808,95.3808,119.798,100.264,103.52,100.264,110.574,100.264,100.264,114.915,100.264,100.264,108.404,-8.17772,-3.8703,-7.74036,-11.4019,-3.35411,-3.35491,-3.60534,-3.56002,-4.24193,-4.05934,-3.44531,-4.00449,-3.73294,-3.38481,-3.51163,-3.71499,-3.35141,-3.43865,-3.51163,-3.38481,-3.42762,-3.71499,-3.87602,-3.39262,-3.51163,-3.38641,-3.52377,-3.94609,-4.88465,-3.43865,-4.87782,-3.34414,-3.39262,-3.71499,-4.62706,-3.52045,-3.35491,-3.38641,-3.43625,-3.34838,-3.71499,-3.44782,-3.43865,-3.34441,-8.61774,-8.61774,-3.3753,-3.44782,-3.73294,-3.3509,-3.63598,-3.42001,-5.28819,-3.34441,-3.42762,-3.42762,-3.44782,-4.88465,-3.62045,-4.24193,-3.84937,-3.71499,-3.34808,-3.45742,-3.45742,-3.71979,-3.71499,-4.05934,-3.71499,-4.50714,-3.34441,-3.71499,-3.43865,-3.34441,-3.34441,-3.35411,103.184,91.6145,104.25,100.329,111.642,101.168,113.358,98.6614,98.718,100.398,102.159,110.469,101.61,90.502,118.904,102.103,110.649,128.367,103.767,110.597,94.3106,103.119,122.156,116.842,107.5,114.906,102,105.394,112.692,107.953,104.846,101.278,115.445,110.633,119.304,109.004,121.474,124.568,99.6435,96.2833,92.2833,136.018,106.937,114.188,123.986,86.2212,102.746,116.483,106.217,119.777,96.8784,105.529,116.35,90.0522,103.101,116.15,105.135,116.07,105.699,95.687,100.154,81.9479,113.187,79.9516,90.1619,120.929,114.685,111.804,117.418,97.8189,94.8648,103.185,145.268,103.152,97.6092,105.757
-232.189,0.999876,0.186477,4,15,0,235.871,102.819,1.42734,12.808,101.885,104.739,100.457,93.3206,104.739,107.594,113.303,101.906,101.885,100.457,110.449,94.7479,106.167,103.312,111.876,97.6026,96.1753,110.449,111.876,103.312,93.3206,97.6026,107.594,100.457,111.876,109.021,103.312,104.739,106.199,110.449,114.731,106.167,100.457,97.6026,99.0299,109.021,107.594,109.021,101.885,103.202,97.6026,101.885,110.449,97.6026,109.021,109.021,105.691,101.885,106.167,100.833,96.1753,104.739,108.345,97.6026,93.3206,93.3206,101.885,106.199,104.739,101.885,96.1753,97.6026,93.3206,93.3206,93.3206,114.731,97.6026,100.457,97.6026,106.642,97.6026,97.6026,110.449,97.6026,97.6026,104.739,-6.56762,-4.17884,-6.29641,-9.18897,-3.55336,-3.48666,-3.50227,-3.5218,-3.89951,-3.80232,-3.74707,-4.17804,-4.05227,-3.60535,-3.47974,-3.93746,-3.5136,-3.46963,-3.47974,-3.60535,-3.60499,-3.93746,-3.64478,-3.46965,-3.47974,-3.47193,-3.50244,-3.7018,-4.24667,-3.46963,-4.13039,-3.5138,-3.46965,-3.93746,-4.80932,-3.83638,-3.48666,-3.47193,-3.66975,-3.53046,-3.93746,-3.47984,-3.46963,-3.48653,-8.58725,-8.58725,-3.47191,-3.47984,-4.05227,-3.52883,-3.58524,-3.47068,-4.46971,-3.48653,-3.60499,-3.60499,-3.47984,-4.24667,-3.53747,-3.89951,-4.05154,-3.93746,-3.49764,-3.50262,-3.50262,-3.53722,-3.93746,-3.80232,-3.93746,-4.00889,-3.48653,-3.93746,-3.46963,-3.48653,-3.48653,-3.55336,107.715,100.335,86.8899,97.5187,122.474,107.168,120.525,90.7401,101.691,114.532,86.0316,78.336,126.375,73.3653,127.26,96.3071,81.4865,80.7319,96.9646,99.2246,98.1516,90.4723,83.8751,94.7716,121.632,102.979,94.6066,106.206,112.142,85.1873,140.519,93.816,105.174,102.256,93.5054,115.902,115.324,121.957,106.701,121.35,85.064,93.7176,109.199,83.705,86.896,112.746,89.3298,105.493,102.744,94.4056,103.71,86.7031,108.451,79.1883,104.981,82.9811,127.721,130.301,118.14,102.943,75.7037,76.5427,96.8018,96.2104,101.34,94.5934,105.435,80.8812,116.795,152.104,98.6486,99.2677,98.1115,107.596,89.8218,82.3026
-231.62,0.999393,0.186477,4,15,0,232.523,104.417,1.27917,12.5297,103.579,106.137,102.3,95.9038,106.137,108.696,113.812,103.598,103.579,102.3,111.254,97.183,107.416,104.858,112.533,99.7413,98.4622,111.254,112.533,104.858,95.9038,99.7413,108.696,102.3,112.533,109.975,104.858,106.137,107.445,111.254,115.091,107.416,102.3,99.7413,101.021,109.975,108.696,109.975,103.579,104.76,99.7413,103.579,111.254,99.7413,109.975,109.975,106.99,103.579,107.416,102.636,98.4622,106.137,109.369,99.7413,95.9038,95.9038,103.579,107.445,106.137,103.579,98.4622,99.7413,95.9038,95.9038,95.9038,115.091,99.7413,102.3,99.7413,107.843,99.7413,99.7413,111.254,99.7413,99.7413,106.137,-7.0381,-4.0591,-6.76971,-10.1581,-3.49456,-3.45246,-3.49332,-3.55617,-4.03428,-3.92885,-3.69066,-3.97023,-3.95135,-3.53124,-3.46747,-3.78221,-3.45457,-3.45205,-3.46747,-3.53124,-3.50048,-3.78221,-3.68785,-3.46388,-3.46747,-3.44704,-3.5222,-3.77432,-4.3914,-3.45205,-4.17239,-3.4683,-3.46388,-3.78221,-4.59429,-3.76714,-3.45246,-3.44704,-3.57835,-3.47443,-3.78221,-3.48783,-3.45205,-3.44725,-8.54926,-8.54926,-3.44737,-3.48783,-3.95135,-3.46901,-3.6751,-3.46159,-4.61418,-3.44725,-3.50048,-3.50048,-3.48783,-4.3914,-3.567,-4.03428,-3.87101,-3.78221,-3.44778,-3.55805,-3.55805,-3.5296,-3.78221,-3.92885,-3.78221,-4.11753,-3.44725,-3.78221,-3.45205,-3.44725,-3.44725,-3.49456,83.5813,97.5688,97.3137,97.2054,117.122,105.48,111.933,92.1272,110.827,109.725,129.727,96.9662,122.155,81.7258,119.034,100.717,99.2837,106.709,96.9161,95.9135,95.6284,99.7465,133.832,110.473,129.122,103.015,88.1009,107.707,102.265,122.9,110.048,125.878,95.8127,119.416,97.2119,88.9463,98.6249,115.754,118.041,128.221,100.405,130.433,107.335,107.644,114.391,122.066,108.321,106.609,113.279,87.9262,74.2872,88.6798,135.739,102.83,100.789,110.003,109.672,109.086,118.968,98.8982,94.0618,111.501,91.1472,107.471,94.6538,110.153,86.6743,110.85,86.0666,103.326,105.859,113.305,116.089,109.951,98.2714,98.9183
-233.461,0.980944,0.186477,3,15,0,236.06,103.9,1.84314,13.7505,102.693,106.379,100.849,91.6338,106.379,110.065,117.438,102.72,102.693,100.849,113.751,93.4769,108.222,104.536,115.595,97.1632,95.3201,113.751,115.595,104.536,91.6338,97.1632,110.065,100.849,115.595,111.908,104.536,106.379,108.264,113.751,119.281,108.222,100.849,97.1632,99.0063,111.908,110.065,111.908,102.693,104.394,97.1632,102.693,113.751,97.1632,111.908,111.908,107.608,102.693,108.222,101.335,95.3201,106.379,111.035,97.1632,91.6338,91.6338,102.693,108.264,106.379,102.693,95.3201,97.1632,91.6338,91.6338,91.6338,119.281,97.1632,100.849,97.1632,108.836,97.1632,97.1632,113.751,97.1632,97.1632,106.379,-6.36641,-4.03065,-6.0567,-8.12381,-3.57469,-3.54002,-3.6863,-3.60549,-3.96604,-3.85129,-3.64326,-4.26198,-3.90685,-3.61897,-3.62278,-3.97577,-3.59793,-3.57723,-3.62278,-3.61897,-3.72511,-3.97577,-3.80792,-3.54192,-3.62278,-3.54964,-3.59442,-3.82488,-4.40044,-3.57723,-4.52309,-3.54837,-3.54192,-3.97577,-4.70551,-3.71316,-3.54002,-3.54964,-3.68122,-3.56878,-3.97577,-3.55919,-3.57723,-3.56129,-7.37703,-7.37703,-3.54235,-3.55919,-3.90685,-3.58083,-3.61486,-3.55498,-4.68517,-3.56129,-3.72511,-3.72511,-3.55919,-4.40044,-3.64762,-3.96604,-4.10989,-3.97577,-3.59972,-3.54707,-3.54707,-3.76779,-3.97577,-3.85129,-3.97577,-4.17559,-3.56129,-3.97577,-3.57723,-3.56129,-3.56129,-3.57469,130.923,95.6083,100.18,117.957,110.718,129.347,107.659,102.605,82.142,113.079,130.338,101.773,125.033,132.04,114.621,74.9426,98.1731,90.4829,134.173,91.3597,103.366,104.406,107.622,89.9863,125.304,98.7404,89.6973,115.211,111.616,117.549,123.813,108.915,97.7275,86.7051,76.2896,99.1362,123.436,107.305,93.9524,104.211,91.8996,117.576,109.898,108.77,123.542,131.587,104.998,106.096,103.898,107.149,98.8806,100.104,102.361,106.14,89.1201,89.0041,94.9964,99.4136,115.104,119.391,77.522,99.1177,109.8,68.298,83.4687,137.092,104.741,89.6247,87.7835,119.791,87.0153,68.7879,116.602,83.4659,88.6458,127.515
-234.998,0.996908,0.186477,4,31,0,235.575,102.672,0.320309,12.7187,102.462,103.102,102.141,100.54,103.102,103.743,105.024,102.467,102.462,102.141,104.384,100.86,103.423,102.782,104.704,101.501,101.181,104.384,104.704,102.782,100.54,101.501,103.743,102.141,104.704,104.063,102.782,103.102,103.43,104.384,105.345,103.423,102.141,101.501,101.821,104.063,103.743,104.063,102.462,102.757,101.501,102.462,104.384,101.501,104.063,104.063,103.316,102.462,103.423,102.226,101.181,103.102,103.912,101.501,100.54,100.54,102.462,103.43,103.102,102.462,101.181,101.501,100.54,100.54,100.54,105.345,101.501,102.141,101.501,103.529,101.501,101.501,104.384,101.501,101.501,103.102,-6.71908,-4.34455,-6.65512,-11.357,-3.60907,-3.58302,-3.53854,-3.53094,-3.94202,-3.91766,-4.21579,-3.72021,-4.31141,-3.62304,-3.54871,-3.68529,-3.46632,-3.55951,-3.54871,-3.62304,-3.46292,-3.68529,-3.50532,-3.47619,-3.54871,-3.57095,-3.48594,-3.61793,-4.00093,-3.55951,-3.5503,-3.59573,-3.47619,-3.68529,-4.48346,-4.24703,-3.58302,-3.57095,-3.63765,-3.53729,-3.68529,-3.48075,-3.55951,-3.46898,-9.98432,-9.98432,-3.49672,-3.48075,-4.31141,-3.49053,-3.84839,-3.46451,-4.04096,-3.46898,-3.46292,-3.46292,-3.48075,-4.00093,-3.49176,-3.94202,-3.70243,-3.68529,-3.51536,-3.80538,-3.80538,-3.529,-3.68529,-3.91766,-3.68529,-3.78335,-3.46898,-3.68529,-3.55951,-3.46898,-3.46898,-3.60907,112.056,112.019,90.1153,100.311,123.536,113.111,107.932,94.5243,96.5367,97.5567,91.6471,98.4,84.7795,104.826,87.7252,109.161,103.987,106.096,95.2315,97.2062,101.364,99.1414,87.1727,105.574,95.9464,117.057,101.05,109.183,109.441,111.827,102.333,99.1415,87.5429,103.329,93.961,134.902,108.921,104.903,118.491,98.064,115.854,87.1384,113.452,104.428,121.815,105.435,114.996,93.6763,120.021,115.401,76.0477,83.0017,98.8046,106.867,92.5644,88.6026,88.082,94.4007,89.1005,98.5754,114.134,130.606,93.4254,87.5717,79.4366,90.2589,103.101,95.4232,90.5813,82.1674,85.5568,94.9946,97.3152,89.8038,111.695,102.296
-232.864,0.993831,0.186477,4,15,0,237.266,106.225,1.35221,13.7546,105.339,108.044,103.987,97.226,108.044,110.748,116.157,105.36,105.339,103.987,113.452,98.5782,109.396,106.691,114.805,101.283,99.9304,113.452,114.805,106.691,97.226,101.283,110.748,103.987,114.805,112.1,106.691,108.044,109.426,113.452,117.509,109.396,103.987,101.283,102.635,112.1,110.748,112.1,105.339,106.587,101.283,105.339,113.452,101.283,112.1,112.1,108.945,105.339,109.396,104.343,99.9304,108.044,111.46,101.283,97.226,97.226,105.339,109.426,108.044,105.339,99.9304,101.283,97.226,97.226,97.226,117.509,101.283,103.987,101.283,109.847,101.283,101.283,113.452,101.283,101.283,108.044,-6.84088,-3.91812,-6.59313,-9.43468,-3.55043,-3.54179,-3.64049,-3.69357,-4.16215,-4.05735,-3.65361,-3.88509,-3.8375,-3.56924,-3.60132,-3.74115,-3.54032,-3.57181,-3.60132,-3.56924,-3.56065,-3.74115,-3.84561,-3.58232,-3.60132,-3.55197,-3.65864,-3.92365,-4.51465,-3.57181,-4.35053,-3.54127,-3.58232,-3.74115,-4.33727,-3.70524,-3.54179,-3.55197,-3.59772,-3.54354,-3.74115,-3.61565,-3.57181,-3.54466,-7.33651,-7.33651,-3.55403,-3.61565,-3.8375,-3.54255,-3.80093,-3.58352,-4.73195,-3.54466,-3.56065,-3.56065,-3.61565,-4.51465,-3.7113,-4.16215,-3.80829,-3.74115,-3.54218,-3.67831,-3.67831,-3.68933,-3.74115,-4.05735,-3.74115,-4.26098,-3.54466,-3.74115,-3.57181,-3.54466,-3.54466,-3.55043,103.491,99.4909,74.5637,96.0786,108,113.607,122.388,109.673,118.011,92.7005,125.522,102.491,92.9144,95.3869,110.003,104.919,78.0869,113.591,97.8859,99.2892,86.2418,97.8814,114.547,77.207,120.655,115.879,116.174,113.644,107.545,101.481,125.204,129.985,75.6111,104.701,111.29,110.881,107.73,113.549,109.711,113.312,126.416,94.1384,111.188,100.57,116.571,97.597,122.639,93.8563,121.133,94.0707,85.7706,86.4511,90.3205,112.273,87.9134,81.9808,88.0243,113.666,122.317,115.908,83.9115,87.7825,71.1933,99.0175,99.1763,113.415,111.897,90.9045,109.376,114.488,89.0653,92.303,96.0826,108.953,103.622,104.528
