# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 17:29:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\9l2hjgi7.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621192907_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.285895
# Diagonal elements of inverse mass matrix:
# 2.46345, 0.107112, 0.00863388
-234.087,0.987739,0.285895,4,15,0,235.312,104.741,1.41176,15.4198,103.817,106.64,102.405,95.3463,106.64,109.464,115.111,103.838,103.817,102.405,112.287,96.7581,108.052,105.229,113.699,99.5816,98.1699,112.287,113.699,105.229,95.3463,99.5816,109.464,102.405,113.699,110.876,105.229,106.64,108.084,112.287,116.523,108.052,102.405,99.5816,100.993,110.876,109.464,110.876,103.817,105.12,99.5816,103.817,112.287,99.5816,110.876,110.876,107.582,103.817,108.052,102.777,98.1699,106.64,110.207,99.5816,95.3463,95.3463,103.817,108.084,106.64,103.817,98.1699,99.5816,95.3463,95.3463,95.3463,116.523,99.5816,102.405,99.5816,108.523,99.5816,99.5816,112.287,99.5816,99.5816,106.64,-6.05941,-4.02991,-5.86281,-7.97872,-3.67832,-3.65519,-3.70952,-3.73268,-4.05604,-3.9782,-3.77967,-4.02332,-3.95477,-3.70246,-3.68337,-3.88284,-3.66163,-3.66559,-3.68337,-3.70246,-3.70013,-3.88284,-3.84294,-3.66675,-3.68337,-3.6562,-3.71208,-3.89267,-4.32525,-3.66559,-4.22868,-3.66257,-3.66675,-3.88284,-4.41426,-3.82966,-3.65519,-3.6562,-3.73498,-3.6685,-3.88284,-3.68523,-3.66559,-3.65496,-6.87349,-6.87349,-3.65635,-3.68523,-3.95477,-3.66759,-3.79495,-3.66925,-4.49418,-3.65496,-3.70013,-3.70013,-3.68523,-4.32525,-3.74732,-4.05604,-3.94889,-3.88284,-3.65686,-3.7147,-3.7147,-3.74406,-3.88284,-3.9782,-3.88284,-4.13976,-3.65496,-3.88284,-3.66559,-3.65496,-3.65496,-3.67832,97.0013,93.2048,102.42,98.255,105.893,107.255,127.373,120.576,96.9816,99.0504,127.076,86.6053,72.8623,106.718,120.265,107.305,110.725,77.98,102.599,89.152,74.5354,103.209,101.567,117.914,112.54,107.599,114.151,79.0402,108.964,114.16,77.2363,122.275,91.7877,75.0379,102.102,115.614,130.078,103.764,94.3396,114.087,101.242,84.32,88.2717,94.9959,118.443,109.097,123.457,90.3314,118.731,106.892,108.837,119.501,104.099,93.6207,84.055,104.626,107.59,120.814,94.307,118.95,116.959,89.172,129.466,90.6713,95.3191,105.582,94.2466,112.457,105.546,105.822,92.6899,118.858,125.472,86.2329,101.244,116.551
-232.221,0.998051,0.285895,3,11,0,234.332,104.48,1.09307,14.151,103.764,105.95,102.671,97.2056,105.95,108.136,112.509,103.78,103.764,102.671,110.322,98.2987,107.043,104.857,111.415,100.485,99.3917,110.322,111.415,104.857,97.2056,100.485,108.136,102.671,111.415,109.229,104.857,105.95,107.068,110.322,113.602,107.043,102.671,100.485,101.578,109.229,108.136,109.229,103.764,104.773,100.485,103.764,110.322,100.485,109.229,109.229,106.679,103.764,107.043,102.959,99.3917,105.95,108.712,100.485,97.2056,97.2056,103.764,107.068,105.95,103.764,99.3917,100.485,97.2056,97.2056,97.2056,113.602,100.485,102.671,100.485,107.408,100.485,100.485,110.322,100.485,100.485,105.95,-6.41517,-4.0616,-6.23386,-9.13267,-3.60968,-3.5774,-3.58444,-3.65969,-4.04175,-3.9696,-3.80257,-3.9106,-3.9879,-3.63477,-3.57373,-3.79479,-3.56965,-3.56898,-3.57373,-3.63477,-3.58822,-3.79479,-3.73401,-3.58654,-3.57373,-3.57021,-3.62763,-3.81593,-4.27699,-3.56898,-4.03065,-3.59055,-3.58654,-3.79479,-4.4161,-3.85838,-3.5774,-3.57021,-3.66582,-3.59,-3.79479,-3.6041,-3.56898,-3.56931,-7.71914,-7.71914,-3.56872,-3.6041,-3.9879,-3.58198,-3.78896,-3.57822,-4.42198,-3.56931,-3.58822,-3.58822,-3.6041,-4.27699,-3.65712,-4.04175,-3.84971,-3.79479,-3.5704,-3.69836,-3.69836,-3.60111,-3.79479,-3.9696,-3.79479,-4.06331,-3.56931,-3.79479,-3.56898,-3.56931,-3.56931,-3.60968,93.0632,118.799,123.781,98.7676,135.784,91.4302,102.212,116.266,103.553,124.162,114.503,83.8945,96.8731,110.476,97.0503,95.1857,81.6543,72.5964,102.207,101.262,89.6179,101.543,134.61,100.515,123.559,81.5156,110.222,109.2,117.557,120.352,87.8901,90.096,111.194,97.7481,103.197,101.01,91.8128,95.1714,111.401,99.7523,79.6177,121.27,130.616,108.361,101.141,88.1435,117.275,117.853,105.147,110.592,73.9592,120.129,115.953,119.787,112.635,86.0958,115.27,109.252,106.575,103.112,107.087,108.521,104.649,84.3474,91.5609,82.9344,102.51,109.152,95.4398,98.4509,107.075,109.171,116.653,107.626,115.57,96.0078
-232.681,0.994185,0.285895,3,15,0,234.156,104.693,1.60647,13.8495,103.641,106.854,102.035,94.0025,106.854,110.067,116.493,103.665,103.641,102.035,113.28,95.6089,108.461,105.248,114.887,98.8219,97.2154,113.28,114.887,105.248,94.0025,98.8219,110.067,102.035,114.887,111.674,105.248,106.854,108.497,113.28,118.1,108.461,102.035,98.8219,100.428,111.674,110.067,111.674,103.641,105.124,98.8219,103.641,113.28,98.8219,111.674,111.674,107.925,103.641,108.461,102.458,97.2154,106.854,110.913,98.8219,94.0025,94.0025,103.641,108.497,106.854,103.641,97.2154,98.8219,94.0025,94.0025,94.0025,118.1,98.8219,102.035,98.8219,108.996,98.8219,98.8219,113.28,98.8219,98.8219,106.854,-6.49736,-3.99766,-6.22232,-8.59444,-3.57298,-3.5472,-3.65709,-3.63858,-4.03227,-3.92474,-3.6649,-4.08705,-3.89429,-3.60606,-3.60944,-3.8729,-3.5674,-3.57524,-3.60944,-3.60606,-3.64095,-3.8729,-3.81138,-3.55798,-3.60944,-3.55449,-3.61898,-3.8543,-4.41744,-3.57524,-4.40115,-3.55337,-3.55798,-3.8729,-4.54571,-3.72791,-3.5472,-3.55449,-3.65259,-3.56438,-3.8729,-3.58175,-3.57524,-3.55081,-7.37628,-7.37628,-3.55132,-3.58175,-3.89429,-3.56771,-3.6829,-3.56843,-4.66277,-3.55081,-3.64095,-3.64095,-3.58175,-4.41744,-3.66966,-4.03227,-3.97325,-3.8729,-3.56199,-3.58895,-3.58895,-3.7182,-3.8729,-3.92474,-3.8729,-4.18669,-3.55081,-3.8729,-3.57524,-3.55081,-3.55081,-3.57298,118.544,101.526,117.342,91.079,83.3936,113.571,119.354,92.1702,93.3585,100.633,96.5748,107.718,126.088,91.5475,133.671,89.2883,103.758,102.416,130.15,130.407,69.256,78.9961,99.4138,131.777,136.273,89.1585,96.267,104.202,105.505,86.8642,137.085,105.141,110.141,106.239,99.9352,125.832,109.947,99.5263,88.2646,114.275,68.1693,93.855,105.676,105.098,104.356,119.153,96.6324,122.53,123.173,120.914,102.499,114.866,121.807,108.22,86.4429,57.9439,123.404,119.958,124.749,100.079,79.5343,109.792,72.696,82.5513,75.6301,109.443,106.37,73.6563,106.766,106.485,118.129,117.869,127.817,118.19,83.8349,116.258
-231.952,0.999649,0.285895,4,15,0,233.137,103.067,1.21549,13.4609,102.271,104.702,101.056,94.9783,104.702,107.133,111.995,102.29,102.271,101.056,109.564,96.1938,105.918,103.487,110.78,98.6248,97.4093,109.564,110.78,103.487,94.9783,98.6248,107.133,101.056,110.78,108.349,103.487,104.702,105.945,109.564,113.211,105.918,101.056,98.6248,99.8403,108.349,107.133,108.349,102.271,103.393,98.6248,102.271,109.564,98.6248,108.349,108.349,105.513,102.271,105.918,101.376,97.4093,104.702,107.773,98.6248,94.9783,94.9783,102.271,105.945,104.702,102.271,97.4093,98.6248,94.9783,94.9783,94.9783,113.211,98.6248,101.056,98.6248,106.323,98.6248,98.6248,109.564,98.6248,98.6248,104.702,-6.39251,-4.1645,-6.18011,-9.10122,-3.59617,-3.5414,-3.52971,-3.57573,-3.93425,-3.85601,-3.81925,-4.04471,-4.06595,-3.63579,-3.5204,-3.87579,-3.53725,-3.51925,-3.5204,-3.63579,-3.58831,-3.87579,-3.65914,-3.5218,-3.5204,-3.52625,-3.55227,-3.7277,-4.2006,-3.51925,-4.00031,-3.56471,-3.5218,-3.87579,-4.64021,-3.89333,-3.5414,-3.52625,-3.68356,-3.56973,-3.87579,-3.53296,-3.51925,-3.52395,-8.3059,-8.3059,-3.5224,-3.53296,-4.06595,-3.56043,-3.67021,-3.52009,-4.36839,-3.52395,-3.58831,-3.58831,-3.53296,-4.2006,-3.57974,-3.93425,-3.95617,-3.87579,-3.52419,-3.58711,-3.58711,-3.54717,-3.87579,-3.85601,-3.87579,-3.98433,-3.52395,-3.87579,-3.51925,-3.52395,-3.52395,-3.59617,118.513,115.044,118.237,80.3035,122.226,92.7853,115.93,98.1944,104.152,112.589,116.393,99.8404,74.9007,117.641,102.586,109.158,93.3624,98.7598,98.9414,95.8805,107.894,88.4395,113.715,95.2655,114.365,94.6691,96.2532,104.69,106.939,123.26,115.326,89.9647,114.733,94.7109,104.522,83.6624,101.03,103.793,114.659,86.7758,97.1972,110.003,87.5084,76.3964,112.022,91.2615,131.2,97.5354,110.528,119.553,104.205,100.224,101.281,109.291,99.1084,87.271,80.9687,113.068,87.6708,105.176,92.4357,115.004,97.0694,104.693,96.3952,115.212,99.3297,113.85,117.131,111.982,79.6292,111.832,129.861,84.4089,117.532,113.345
-232.642,0.990345,0.285895,3,15,0,233.475,104.84,1.51545,11.8466,103.847,106.878,102.332,94.7547,106.878,109.909,115.971,103.87,103.847,102.332,112.94,96.2701,108.394,105.363,114.456,99.301,97.7856,112.94,114.456,105.363,94.7547,99.301,109.909,102.332,114.456,111.425,105.363,106.878,108.428,112.94,117.486,108.394,102.332,99.301,100.816,111.425,109.909,111.425,103.847,105.246,99.301,103.847,112.94,99.301,111.425,111.425,107.889,103.847,108.394,102.731,97.7856,106.878,110.707,99.301,94.7547,94.7547,103.847,108.428,106.878,103.847,97.7856,99.301,94.7547,94.7547,94.7547,117.486,99.301,102.332,99.301,108.899,99.301,99.301,112.94,99.301,99.301,106.878,-7.47257,-4.00441,-7.11526,-10.527,-3.4257,-3.39101,-3.518,-3.52467,-4.07413,-3.93278,-3.56856,-4.06259,-3.8709,-3.46759,-3.46171,-3.7988,-3.40845,-3.42178,-3.46171,-3.46759,-3.48901,-3.7988,-3.74081,-3.41036,-3.46171,-3.39821,-3.49344,-3.81258,-4.57139,-3.42178,-4.48037,-3.40017,-3.41036,-3.7988,-4.70209,-3.65297,-3.39101,-3.39821,-3.52585,-3.4123,-3.7988,-3.44372,-3.42178,-3.39272,-8.69251,-8.69251,-3.3963,-3.44372,-3.8709,-3.41383,-3.60694,-3.4205,-4.88546,-3.39272,-3.48901,-3.48901,-3.44372,-4.57139,-3.55954,-4.07413,-3.92251,-3.7988,-3.40046,-3.47152,-3.47152,-3.59066,-3.7988,-3.93278,-3.7988,-4.25417,-3.39272,-3.7988,-3.42178,-3.39272,-3.39272,-3.4257,110.118,104.3,102.92,79.292,94.3068,122.06,122.15,100.132,100.853,87.317,114.7,112.899,119.346,123.972,117.994,84.2081,89.3859,122.891,121.818,113.223,121.142,92.8611,109.977,80.6821,112.816,110.753,89.1881,93.1796,84.5683,97.3235,132.294,108.847,91.7868,117.369,110.484,115.024,116.651,105.787,109.475,102.79,94.803,101.793,102.676,95.2194,114.288,114.679,110.901,120.891,112.201,82.4665,103.332,115.769,125.327,92.928,96.6675,109.012,112.683,106.977,123.164,94.6655,79.9902,114.198,95.1736,90.143,73.4402,119.444,102.748,109.084,99.8214,98.1497,98.9487,80.8541,121.616,91.758,87.9189,97.3712
-233.121,0.994086,0.285895,4,15,0,233.912,105.059,1.51691,14.4751,104.065,107.099,102.548,94.9638,107.099,110.133,116.2,104.088,104.065,102.548,113.167,96.4807,108.616,105.582,114.684,99.5145,97.9976,113.167,114.684,105.582,94.9638,99.5145,110.133,102.548,114.684,111.65,105.582,107.099,108.65,113.167,117.717,108.616,102.548,99.5145,101.031,111.65,110.133,111.65,104.065,105.465,99.5145,104.065,113.167,99.5145,111.65,111.65,108.11,104.065,108.616,102.947,97.9976,107.099,110.931,99.5145,94.9638,94.9638,104.065,108.65,107.099,104.065,97.9976,99.5145,94.9638,94.9638,94.9638,117.717,99.5145,102.548,99.5145,109.122,99.5145,99.5145,113.167,99.5145,99.5145,107.099,-6.36052,-3.98854,-6.11939,-8.41584,-3.61145,-3.59141,-3.68311,-3.6874,-4.06345,-3.96712,-3.7028,-4.02752,-3.90063,-3.63795,-3.64372,-3.85374,-3.60094,-3.6153,-3.64372,-3.63795,-3.6519,-3.85374,-3.83638,-3.60687,-3.64372,-3.59787,-3.66573,-3.88533,-4.40143,-3.6153,-4.34044,-3.59594,-3.60687,-3.85374,-4.44998,-3.75776,-3.59141,-3.59787,-3.67542,-3.6032,-3.85374,-3.63081,-3.6153,-3.59193,-7.101,-7.101,-3.59634,-3.63081,-3.90063,-3.60417,-3.744,-3.61429,-4.61443,-3.59193,-3.6519,-3.6519,-3.63081,-4.40143,-3.71163,-4.06345,-3.93514,-3.85374,-3.59619,-3.65017,-3.65017,-3.73349,-3.85374,-3.96712,-3.85374,-4.1862,-3.59193,-3.85374,-3.6153,-3.59193,-3.59193,-3.61145,131.926,114.608,99.8378,113.456,114.912,97.8733,141.657,94.8927,117.161,99.1199,124.277,82.5563,113.308,114.083,117.02,117.993,94.2324,118.215,120.06,97.0779,98.1615,105.269,129.308,109.242,122.577,108.72,106.611,112.612,116.215,93.6246,117.839,99.7035,98.4076,151.802,110.908,96.9596,114.543,99.4974,84.2416,96.2195,88.9773,108.438,120.922,101.262,106.753,135.863,114.179,120.207,120.356,95.8525,80.3862,119.692,98.8425,117.671,99.4004,71.5107,111.999,111.684,100.742,128.175,103.027,102.549,107.806,106.644,78.8481,136.955,90.5712,102.334,99.0193,102.55,87.9836,85.1755,124.96,105.208,79.7236,95.9384
