# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 17:33:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\ymfns8mx.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621193338_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.100139
# Diagonal elements of inverse mass matrix:
# 1.99928, 0.149192, 0.00651489
-234.074,0.999919,0.100139,5,31,0,234.571,102.664,1.39987,15.3446,101.748,104.547,100.348,93.3484,104.547,107.347,112.947,101.769,101.748,100.348,110.147,94.7482,105.947,103.147,111.547,97.548,96.1481,110.147,111.547,103.147,93.3484,97.548,107.347,100.348,111.547,108.747,103.147,104.547,105.979,110.147,114.346,105.947,100.348,97.548,98.9478,108.747,107.347,108.747,101.748,103.04,97.548,101.748,110.147,97.548,108.747,108.747,105.481,101.748,105.947,100.716,96.1481,104.547,108.084,97.548,93.3484,93.3484,101.748,105.979,104.547,101.748,96.1481,97.548,93.3484,93.3484,93.3484,114.346,97.548,100.348,97.548,106.414,97.548,97.548,110.147,97.548,97.548,104.547,-5.79002,-4.15677,-5.60544,-7.63997,-3.71284,-3.66465,-3.66814,-3.68409,-3.94276,-3.87708,-3.85587,-4.14367,-4.06906,-3.74942,-3.65478,-3.97896,-3.68121,-3.64975,-3.65478,-3.74942,-3.74366,-3.97896,-3.76433,-3.64996,-3.65478,-3.65304,-3.67074,-3.80484,-4.17669,-3.64975,-4.08677,-3.68458,-3.64996,-3.97896,-4.59083,-3.91861,-3.66465,-3.65304,-3.79432,-3.69567,-3.97896,-3.65619,-3.64975,-3.66247,-7.26354,-7.26354,-3.65269,-3.65619,-4.06906,-3.69361,-3.72997,-3.65034,-4.32694,-3.66247,-3.74366,-3.74366,-3.65619,-4.17669,-3.69362,-3.94276,-4.05716,-3.97896,-3.66929,-3.67351,-3.67351,-3.68982,-3.97896,-3.87708,-3.97896,-4.01304,-3.66247,-3.97896,-3.64975,-3.66247,-3.66247,-3.71284,106.104,139.052,89.5165,128.109,153.981,112.342,92.7603,110.775,113.513,90.3382,103.52,106.103,105.375,87.3499,89.3697,80.1019,77.4038,97.05,103.422,88.8615,95.1602,88.9189,101.824,109.14,128.189,101.89,99.6836,109.478,90.5152,101.978,98.9602,103.507,77.1532,92.6226,87.0826,76.7049,104.54,127.775,94.1383,116.521,86.5715,80.7411,95.4682,77.6438,123.378,100.908,113.446,111.163,91.9215,114.793,102.439,110.022,133.836,93.9777,135.948,86.4353,77.16,87.0419,103.717,106.884,87.1065,95.6333,69.6595,86.0029,105.116,105.996,81.8798,104.216,106.987,106.106,129.732,74.5571,117.698,104.063,80.4867,113.02
-232.364,0.999835,0.100139,5,31,0,235.279,104.189,1.19732,14.4734,103.405,105.799,102.207,96.2208,105.799,108.194,112.983,103.423,103.405,102.207,110.589,97.4182,106.997,104.602,111.786,99.8128,98.6155,110.589,111.786,104.602,96.2208,99.8128,108.194,102.207,111.786,109.391,104.602,105.799,107.024,110.589,114.181,106.997,102.207,99.8128,101.01,109.391,108.194,109.391,103.405,104.51,99.8128,103.405,110.589,99.8128,109.391,109.391,106.598,103.405,106.997,102.523,98.6155,105.799,108.824,99.8128,96.2208,96.2208,103.405,107.024,105.799,103.405,98.6155,99.8128,96.2208,96.2208,96.2208,114.181,99.8128,102.207,99.8128,107.396,99.8128,99.8128,110.589,99.8128,99.8128,105.799,-6.25471,-4.07258,-6.0672,-8.6905,-3.63337,-3.59903,-3.61249,-3.66821,-4.02014,-3.94694,-3.80266,-3.9691,-3.99484,-3.6608,-3.59886,-3.83896,-3.59582,-3.59208,-3.59886,-3.6608,-3.62534,-3.83896,-3.75151,-3.60288,-3.59886,-3.59213,-3.6418,-3.82046,-4.26477,-3.59208,-4.07122,-3.61278,-3.60288,-3.83896,-4.452,-3.85988,-3.59903,-3.59213,-3.69507,-3.61542,-3.83896,-3.61892,-3.59208,-3.59133,-7.52737,-7.52737,-3.59126,-3.61892,-3.99484,-3.60918,-3.76842,-3.59898,-4.41689,-3.59133,-3.62534,-3.62534,-3.61892,-4.26477,-3.67153,-4.02014,-3.90061,-3.83896,-3.59131,-3.68362,-3.68362,-3.63297,-3.83896,-3.94694,-3.83896,-4.06326,-3.59133,-3.83896,-3.59208,-3.59133,-3.59133,-3.63337,100.532,140.563,128.879,122.309,89.4143,133.492,96.7141,114.155,118.838,70.9846,102.468,102.523,91.7265,104.215,96.6433,95.9136,81.0655,94.5149,111.216,88.284,89.4324,107.61,100.002,102.683,104.13,112.825,58.872,98.0267,106.247,98.2671,115.698,99.873,75.5498,94.1407,117.525,101.535,114.178,145.422,77.9631,100.993,83.0432,95.7015,88.9414,111.956,101.634,68.4929,113.581,103.38,91.3198,81.6276,97.8708,105.839,107.355,77.9518,72.8308,112.283,112.382,89.6633,91.9235,108.096,126.487,106.934,106.409,65.5413,94.1815,94.6654,114.404,110.461,98.6676,122.854,90.4101,102.681,95.7275,91.8642,116.589,104.57
-233.119,0.999269,0.100139,5,31,0,234.065,104.29,1.85461,13.2239,103.075,106.785,101.221,91.9478,106.785,110.494,117.912,103.103,103.075,101.221,114.203,93.8024,108.639,104.93,116.058,97.5116,95.657,114.203,116.058,104.93,91.9478,97.5116,110.494,101.221,116.058,112.349,104.93,106.785,108.681,114.203,119.767,108.639,101.221,97.5116,99.3662,112.349,110.494,112.349,103.075,104.787,97.5116,103.075,114.203,97.5116,112.349,112.349,108.021,103.075,108.639,101.709,95.657,106.785,111.47,97.5116,91.9478,91.9478,103.075,108.681,106.785,103.075,95.657,97.5116,91.9478,91.9478,91.9478,119.767,97.5116,101.221,97.5116,109.257,97.5116,97.5116,114.203,97.5116,97.5116,106.785,-6.62894,-4.00032,-6.28799,-8.53215,-3.53052,-3.50166,-3.67997,-3.58308,-3.9898,-3.86096,-3.59705,-4.25112,-3.86999,-3.57446,-3.60589,-3.94689,-3.55489,-3.55148,-3.60589,-3.57446,-3.68635,-3.94689,-3.81583,-3.50523,-3.60589,-3.51673,-3.57046,-3.83352,-4.47485,-3.55148,-4.61816,-3.50626,-3.50523,-3.94689,-4.71829,-3.66836,-3.50166,-3.51673,-3.63806,-3.52509,-3.94689,-3.52801,-3.55148,-3.51867,-7.55433,-7.55433,-3.50621,-3.52801,-3.86999,-3.53708,-3.59247,-3.52314,-4.79142,-3.51867,-3.68635,-3.68635,-3.52801,-4.47485,-3.63258,-3.9898,-4.08917,-3.94689,-3.55727,-3.51181,-3.51181,-3.77372,-3.94689,-3.86096,-3.94689,-4.22601,-3.51867,-3.94689,-3.55148,-3.51867,-3.51867,-3.53052,108.668,110.592,104.741,78.5814,107.768,123.321,109.354,106.273,91.29,117.859,93.1948,92.9728,101.84,77.5806,134.172,86.4054,103.647,94.3492,129.174,107.512,98.0766,106.453,119.918,92.1399,114.649,142.256,123.125,105.439,85.8387,125.527,131.242,100.223,95.5058,83.7792,77.946,100.792,115.925,97.538,93.4668,114.935,95.4348,105.513,115.335,113.758,113.435,128.419,130.73,113.512,104.657,101.866,94.0652,112.34,104.957,72.9107,66.5186,75.3452,103.057,107.842,109.4,83.6581,89.7446,93.3421,109.065,96.4475,96.1663,122.082,107.642,80.7712,84.0274,130.675,113.708,97.3441,110.036,91.191,120.625,94.8128
-233.693,0.999377,0.100139,5,31,0,234.757,102.607,0.723181,11.6547,102.134,103.58,101.411,97.7947,103.58,105.026,107.919,102.145,102.134,101.411,106.473,98.5178,104.303,102.857,107.196,99.9642,99.241,106.473,107.196,102.857,97.7947,99.9642,105.026,101.411,107.196,105.75,102.857,103.58,104.32,106.473,108.642,104.303,101.411,99.9642,100.687,105.75,105.026,105.75,102.134,102.801,99.9642,102.134,106.473,99.9642,105.75,105.75,104.062,102.134,104.303,101.601,99.241,103.58,105.407,99.9642,97.7947,97.7947,102.134,104.32,103.58,102.134,99.241,99.9642,97.7947,97.7947,97.7947,108.642,99.9642,101.411,99.9642,104.544,99.9642,99.9642,106.473,99.9642,99.9642,103.58,-7.17559,-4.3671,-7.00643,-11.7833,-3.52636,-3.4657,-3.39059,-3.44592,-3.9166,-3.85392,-4.04822,-3.85995,-4.2816,-3.56247,-3.40359,-3.74539,-3.37677,-3.42044,-3.40359,-3.56247,-3.39255,-3.74539,-3.46765,-3.38197,-3.40359,-3.44115,-3.40469,-3.58615,-4.10585,-3.42044,-3.64959,-3.49411,-3.38197,-3.74539,-4.74758,-4.12216,-3.4657,-3.44115,-3.60242,-3.4627,-3.74539,-3.39141,-3.42044,-3.37465,-10.5824,-10.5824,-3.39962,-3.39141,-4.2816,-3.42402,-3.68899,-3.3753,-4.22305,-3.37465,-3.39255,-3.39255,-3.39141,-4.10585,-3.42183,-3.9166,-3.80075,-3.74539,-3.38196,-3.59829,-3.59829,-3.38143,-3.74539,-3.85392,-3.74539,-3.8373,-3.37465,-3.74539,-3.42044,-3.37465,-3.37465,-3.52636,98.5972,107.591,86.7967,96.328,107.535,111.341,134.889,127.954,109.895,87.4885,106.005,105.227,131.564,114.696,101.386,104.298,88.437,101.946,87.8756,120.422,90.3624,106.179,95.8295,84.7853,115.363,122.07,118.471,86.4525,119.344,106.877,120.62,126.277,101.306,116.313,105.982,94.1841,93.4057,124.142,95.6641,93.1032,90.1092,100.712,100.919,83.0234,87.7924,105.474,98.0638,83.1836,114.755,109.801,81.5039,99.7121,103.047,95.5972,108.83,105.329,115.872,100.101,89.9016,118.958,115.279,93.7863,103.363,90.0877,106.662,113.593,104.803,109.23,91.3491,105.176,94.7015,96.3491,125.437,88.7326,118.591,87.2339
-233.751,0.999977,0.100139,4,15,0,233.845,102.56,0.730235,11.6272,102.082,103.542,101.352,97.7005,103.542,105.003,107.924,102.093,102.082,101.352,106.463,98.4307,104.273,102.812,107.194,99.8912,99.161,106.463,107.194,102.812,97.7005,99.8912,105.003,101.352,107.194,105.733,102.812,103.542,104.289,106.463,108.654,104.273,101.352,99.8912,100.621,105.733,105.003,105.733,102.082,102.756,99.8912,102.082,106.463,99.8912,105.733,105.733,104.029,102.082,104.273,101.544,99.161,103.542,105.387,99.8912,97.7005,97.7005,102.082,104.289,103.542,102.082,99.161,99.8912,97.7005,97.7005,97.7005,108.654,99.8912,101.352,99.8912,104.516,99.8912,99.8912,106.463,99.8912,99.8912,103.542,-7.17893,-4.37402,-7.00761,-11.7876,-3.52651,-3.46464,-3.38823,-3.44222,-3.91216,-3.84887,-4.05,-3.86731,-4.2871,-3.56336,-3.40141,-3.75022,-3.37489,-3.41854,-3.40141,-3.56336,-3.39184,-3.75022,-3.46485,-3.37904,-3.40141,-3.43962,-3.40153,-3.58268,-4.10378,-3.41854,-3.64927,-3.4936,-3.37904,-3.75022,-4.76116,-4.12509,-3.46464,-3.43962,-3.60416,-3.4624,-3.75022,-3.38831,-3.41854,-3.37233,-10.6196,-10.6196,-3.39801,-3.38831,-4.2871,-3.42344,-3.68267,-3.37306,-4.22247,-3.37233,-3.39184,-3.39184,-3.38831,-4.10378,-3.41869,-3.91216,-3.8068,-3.75022,-3.37868,-3.59159,-3.59159,-3.37898,-3.75022,-3.84887,-3.75022,-3.83479,-3.37233,-3.75022,-3.41854,-3.37233,-3.37233,-3.52651,89.3741,97.4722,94.2572,94.906,94.2538,109.895,103.624,126.473,94.2871,130.215,89.4818,109.41,123.744,99.3967,109.71,102.832,100.426,103.834,96.5006,106.253,119.407,87.3358,94.842,98.8718,129.653,84.1729,98.4786,113.788,86.0274,104.115,118.816,111.803,100.917,90.2165,117.42,103.512,107.436,104.349,99.7743,100.102,112.19,83.242,53.9092,105.434,82.3917,71.0739,91.0198,103.065,91.8915,95.5052,88.1053,118.145,100.966,104.241,112.498,97.2842,96.2617,94.1838,96.5479,98.9502,101.107,110.03,104.795,106.85,97.0902,112.394,121.473,94.7382,96.4818,101.279,103.979,102.991,107.604,113.25,104.01,110.077
-232.507,0.999941,0.100139,5,31,0,234.579,104.705,1.68684,12.5287,103.601,106.974,101.914,93.4796,106.974,110.348,117.095,103.626,103.601,101.914,113.722,95.1664,108.661,105.287,115.408,98.5401,96.8532,113.722,115.408,105.287,93.4796,98.5401,110.348,101.914,115.408,112.035,105.287,106.974,108.699,113.722,118.782,108.661,101.914,98.5401,100.227,112.035,110.348,112.035,103.601,105.158,98.5401,103.601,113.722,98.5401,112.035,112.035,108.099,103.601,108.661,102.358,96.8532,106.974,111.236,98.5401,93.4796,93.4796,103.601,108.699,106.974,103.601,96.8532,98.5401,93.4796,93.4796,93.4796,118.782,98.5401,101.914,98.5401,109.223,98.5401,98.5401,113.722,98.5401,98.5401,106.974,-7.04321,-3.98742,-6.69119,-9.46876,-3.47612,-3.44735,-3.60732,-3.55715,-4.03617,-3.89908,-3.57252,-4.14785,-3.8565,-3.5177,-3.54014,-3.86529,-3.4785,-3.49108,-3.54014,-3.5177,-3.58239,-3.86529,-3.78805,-3.45863,-3.54014,-3.46015,-3.53601,-3.83059,-4.53404,-3.49108,-4.57065,-3.45267,-3.45863,-3.86529,-4.69235,-3.64906,-3.44735,-3.46015,-3.57741,-3.46743,-3.86529,-3.48826,-3.49108,-3.45375,-8.03818,-8.03818,-3.4535,-3.48826,-3.8565,-3.47385,-3.59657,-3.47514,-4.85306,-3.45375,-3.58239,-3.58239,-3.48826,-4.53404,-3.6019,-4.03617,-3.99751,-3.86529,-3.47386,-3.48553,-3.48553,-3.69263,-3.86529,-3.89908,-3.86529,-4.25124,-3.45375,-3.86529,-3.49108,-3.45375,-3.45375,-3.47612,86.7823,107.167,89.5311,101.481,109.837,128.288,116.927,99.0434,119.221,132.933,105.76,112.657,96.8516,113.892,117.416,89.2794,114.885,103.583,105.29,100.189,107.128,98.3588,106.924,88.9294,105.432,114.811,117.596,87.1016,99.5456,133.46,113.707,108.705,108.27,101.807,102.717,77.9644,126.597,109.285,106.503,123.614,123.565,111.362,119.921,118.509,105.082,112.398,102.342,111.921,104.398,116.893,95.4699,116.207,125.895,90.7511,86.9637,80.7772,126.626,98.8587,104.784,99.7263,93.3292,100.111,91.2169,120.639,86.6878,117.017,100.996,76.9859,96.3928,98.9024,95.3615,102.073,135.755,112.187,81.302,100.163
