# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 17:33:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\ymfns8mx.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621193338_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.29584
# Diagonal elements of inverse mass matrix:
# 2.27671, 0.126957, 0.00768965
-231.41,1,0.29584,3,7,0,232.346,104.003,1.01645,12.8662,103.337,105.37,102.321,97.2387,105.37,107.403,111.469,103.353,103.337,102.321,109.436,98.2552,106.387,104.354,110.453,100.288,99.2716,109.436,110.453,104.354,97.2387,100.288,107.403,102.321,110.453,108.42,104.354,105.37,106.41,109.436,112.485,106.387,102.321,100.288,101.304,108.42,107.403,108.42,103.337,104.276,100.288,103.337,109.436,100.288,108.42,108.42,106.048,103.337,106.387,102.588,99.2716,105.37,107.938,100.288,97.2387,97.2387,103.337,106.41,105.37,103.337,99.2716,100.288,97.2387,97.2387,97.2387,112.485,100.288,102.321,100.288,106.726,100.288,100.288,109.436,100.288,100.288,105.37,-6.83038,-4.12,-6.62881,-10.2136,-3.53829,-3.49391,-3.48006,-3.56855,-4.01084,-3.93206,-3.81061,-3.89019,-4.03329,-3.56983,-3.47416,-3.75844,-3.47515,-3.47451,-3.47416,-3.56983,-3.49657,-3.75844,-3.63909,-3.48982,-3.47416,-3.48109,-3.5308,-3.73874,-4.26467,-3.47451,-3.94438,-3.51298,-3.48982,-3.75844,-4.52925,-3.8786,-3.49391,-3.48109,-3.60762,-3.5088,-3.75844,-3.50719,-3.47451,-3.4738,-8.69563,-8.69563,-3.4747,-3.50719,-4.03329,-3.49515,-3.73319,-3.47922,-4.42116,-3.4738,-3.49657,-3.49657,-3.50719,-4.26467,-3.56065,-4.01084,-3.82119,-3.75844,-3.47574,-3.63181,-3.63181,-3.4922,-3.75844,-3.93206,-3.75844,-4.01526,-3.4738,-3.75844,-3.47451,-3.4738,-3.4738,-3.53829,90.4476,119.564,106.244,108.66,112.475,105.649,112.798,113.92,103.104,127.755,107.457,113.705,91.3613,72.5305,103.053,101.304,94.3954,121.112,105.618,103.701,84.3962,103.357,100.77,88.7253,90.6101,121.633,100.061,99.5083,85.794,104.419,93.3228,101.244,116.194,102.015,98.2621,122.254,108.366,112.71,96.713,111.889,79.6391,97.8273,105.796,110.754,105.881,106.111,95.4014,96.7812,106.919,109.46,82.6254,89.1757,123.328,99.698,98.0565,101.433,88.5279,83.5104,89.1343,87.0363,98.6767,76.6106,102.097,101.891,86.8496,84.1184,91.1368,103.737,101.665,95.3889,85.2973,118.484,113.65,110.187,100.996,91.7485
-231.795,0.99368,0.29584,3,7,0,231.866,102.835,1.01949,12.7332,102.167,104.206,101.147,96.0499,104.206,106.245,110.323,102.182,102.167,101.147,108.284,97.0694,105.225,103.186,109.303,99.1084,98.0889,108.284,109.303,103.186,96.0499,99.1084,106.245,101.147,109.303,107.264,103.186,104.206,105.248,108.284,111.342,105.225,101.147,99.1084,100.128,107.264,106.245,107.264,102.167,103.108,99.1084,102.167,108.284,99.1084,107.264,107.264,104.885,102.167,105.225,101.416,98.0889,104.206,106.781,99.1084,96.0499,96.0499,102.167,105.248,104.206,102.167,98.0889,99.1084,96.0499,96.0499,96.0499,111.342,99.1084,101.147,99.1084,105.565,99.1084,99.1084,108.284,99.1084,99.1084,104.206,-6.65405,-4.23244,-6.45499,-10.0028,-3.56668,-3.50664,-3.46347,-3.52388,-3.91966,-3.84636,-3.88647,-3.97877,-4.13633,-3.60632,-3.46465,-3.82898,-3.47441,-3.47223,-3.46465,-3.60632,-3.51127,-3.82898,-3.58341,-3.46721,-3.46465,-3.48623,-3.49446,-3.6708,-4.15913,-3.47223,-3.85988,-3.53345,-3.46721,-3.82898,-4.68097,-3.96335,-3.50664,-3.48623,-3.65237,-3.52796,-3.82898,-3.47763,-3.47223,-3.4656,-9.09534,-9.09534,-3.47293,-3.47763,-4.13633,-3.5088,-3.66493,-3.46328,-4.30842,-3.4656,-3.51127,-3.51127,-3.47763,-4.15913,-3.5177,-3.91966,-3.90067,-3.82898,-3.4635,-3.57602,-3.57602,-3.46871,-3.82898,-3.84636,-3.82898,-3.92455,-3.4656,-3.82898,-3.47223,-3.4656,-3.4656,-3.56668,98.4334,95.3802,94.4636,87.0489,93.0498,107.03,89.6387,106.287,116.952,107.712,106.237,84.9456,101.213,111.896,127.29,106.871,86.7847,136.473,115.017,92.6503,98.7516,111.884,136.733,99.0897,105.736,117.638,107.807,110.252,121.464,119.198,128.042,90.8783,97.023,86.2934,97.4176,86.3153,111.556,98.5913,114.313,90.226,81.6248,80.4444,107.615,86.3693,91.2484,84.997,102.28,88.3084,112.302,99.6744,89.6042,106.202,98.9971,93.0951,97.4483,119.528,100.073,109.516,86.4084,103.228,104.919,110.344,113.717,102.158,95.4616,112.216,75.6876,120.19,119.608,96.5108,132.117,78.2836,126.23,115.7,80.3551,107.837
-232.499,0.991523,0.29584,4,15,0,232.856,106.259,1.28958,13.3386,105.414,107.993,104.124,97.6765,107.993,110.572,115.731,105.433,105.414,104.124,113.152,98.9661,109.283,106.704,114.441,101.545,100.256,113.152,114.441,106.704,97.6765,101.545,110.572,104.124,114.441,111.862,106.704,107.993,109.312,113.152,117.02,109.283,104.124,101.545,102.835,111.862,110.572,111.862,105.414,106.604,101.545,105.414,113.152,101.545,111.862,111.862,108.853,105.414,109.283,104.464,100.256,107.993,111.251,101.545,97.6765,97.6765,105.414,109.312,107.993,105.414,100.256,101.545,97.6765,97.6765,97.6765,117.02,101.545,104.124,101.545,109.713,101.545,101.545,113.152,101.545,101.545,107.993,-7.0341,-3.91474,-6.78209,-9.89747,-3.52092,-3.51052,-3.60189,-3.67575,-4.1773,-4.07025,-3.64141,-3.85174,-3.83239,-3.54014,-3.56503,-3.71049,-3.50979,-3.53752,-3.56503,-3.54014,-3.52477,-3.71049,-3.82372,-3.55741,-3.56503,-3.51935,-3.63589,-3.91382,-4.53335,-3.53752,-4.32371,-3.51105,-3.55741,-3.71049,-4.33763,-3.69572,-3.51052,-3.51935,-3.56871,-3.51293,-3.71049,-3.59198,-3.53752,-3.51631,-7.59716,-7.59716,-3.52304,-3.59198,-3.83239,-3.5114,-3.80518,-3.55441,-4.75194,-3.51631,-3.52477,-3.52477,-3.59198,-4.53335,-3.68915,-4.1773,-3.77644,-3.71049,-3.51429,-3.67521,-3.67521,-3.64811,-3.71049,-4.07025,-3.71049,-4.26355,-3.51631,-3.71049,-3.53752,-3.51631,-3.51631,-3.52092,76.9305,116.526,127.767,113.198,92.4306,97.9236,124.38,141.312,114.563,112.425,100.408,104.287,115.562,128.87,102.742,90.1076,108.194,101.498,122.291,127.154,87.769,83.5973,121.272,128.287,114.142,109.567,88.4244,78.1143,98.6199,105.163,107.898,92.1809,77.8171,102.484,110.74,122.058,104.902,122.559,101.293,128.958,99.4619,78.7374,108.544,109.778,106.533,102.971,100.211,103.137,75.7673,93.1956,107.157,112.281,78.5701,94.4327,128.593,94.0927,98.853,126.053,117.004,92.6972,84.0764,98.8517,113.576,123.135,114.238,104.93,120.85,124.57,100.473,83.102,117.197,93.2786,101.996,92.379,111.429,97.393
-235.447,0.937812,0.29584,3,7,0,237.732,107.502,1.59432,12.0344,106.458,109.646,104.863,96.8918,109.646,112.835,119.212,106.482,106.458,104.863,116.024,98.4862,111.241,108.052,117.618,101.675,100.08,116.024,117.618,108.052,96.8918,101.675,112.835,104.863,117.618,114.429,108.052,109.646,111.277,116.024,120.807,111.241,104.863,101.675,103.269,114.429,112.835,114.429,106.458,107.929,101.675,106.458,116.024,101.675,114.429,114.429,110.709,106.458,111.241,105.283,100.08,109.646,113.674,101.675,96.8918,96.8918,106.458,111.277,109.646,106.458,100.08,101.675,96.8918,96.8918,96.8918,120.807,101.675,104.863,101.675,111.772,101.675,101.675,116.024,101.675,101.675,109.646,-7.99554,-3.77679,-7.60297,-10.998,-3.40714,-3.43446,-3.69971,-3.67027,-4.34182,-4.16942,-3.46129,-3.86439,-3.67159,-3.41981,-3.60707,-3.64599,-3.40673,-3.53198,-3.60707,-3.41981,-3.44006,-3.64599,-3.97545,-3.48837,-3.60707,-3.47444,-3.63055,-4.04963,-4.93664,-3.53198,-4.90132,-3.41202,-3.48837,-3.64599,-4.37311,-3.51384,-3.43446,-3.47444,-3.45003,-3.4069,-3.64599,-3.55068,-3.53198,-3.41639,-7.77492,-7.77492,-3.46313,-3.55068,-3.67159,-3.40671,-3.75753,-3.51678,-5.30497,-3.41639,-3.44006,-3.44006,-3.55068,-4.93664,-3.72797,-4.34182,-3.74641,-3.64599,-3.40759,-3.57069,-3.57069,-3.8099,-3.64599,-4.16942,-3.64599,-4.5805,-3.41639,-3.64599,-3.53198,-3.41639,-3.41639,-3.40714,126.749,109.236,78.062,95.2251,135.181,109.662,98.6668,122.635,90.3078,124.822,112.424,105.983,119.316,92.394,125.751,103.042,87.7895,127.599,110.49,107.684,98.2926,86.4955,112.439,94.0175,142.052,121.132,90.0723,110.027,107.772,125.346,121.172,109.251,79.2327,119.292,99.4505,132.784,112.03,103.192,101.968,96.1066,96.4033,112.581,118.084,105.525,127.038,125.508,99.5279,119.376,142.205,102.584,106.559,119.683,103.021,97.9734,93.9768,113.252,112.867,109.208,107.333,111.304,103.468,91.0581,98.6408,96.3081,95.5228,125.574,97.9803,92.167,112.52,108.313,109.266,106.744,111.302,83.1383,109.742,132.467
-233.136,0.997801,0.29584,2,3,0,235.607,106.532,1.48061,12.6392,105.562,108.524,104.082,96.6788,108.524,111.485,117.407,105.585,105.562,104.082,114.446,98.1594,110.004,107.043,115.927,101.121,99.64,114.446,115.927,107.043,96.6788,101.121,111.485,104.082,115.927,112.965,107.043,108.524,110.038,114.446,118.888,110.004,104.082,101.121,102.601,112.965,111.485,112.965,105.562,106.929,101.121,105.562,114.446,101.121,112.965,112.965,109.511,105.562,110.004,104.471,99.64,108.524,112.264,101.121,96.6788,96.6788,105.562,110.038,108.524,105.562,99.64,101.121,96.6788,96.6788,96.6788,118.888,101.121,104.082,101.121,110.498,101.121,101.121,114.446,101.121,101.121,108.524,-7.41407,-3.86797,-7.09133,-10.2755,-3.46257,-3.46264,-3.62747,-3.64814,-4.21377,-4.07639,-3.55229,-3.89456,-3.76847,-3.48311,-3.56568,-3.70252,-3.45615,-3.51761,-3.56568,-3.48311,-3.49027,-3.70252,-3.86858,-3.50789,-3.56568,-3.48327,-3.611,-3.94664,-4.68428,-3.51761,-4.57234,-3.45574,-3.50789,-3.70252,-4.40322,-3.61063,-3.46264,-3.48327,-3.51738,-3.45757,-3.70252,-3.55258,-3.51761,-3.45967,-7.74857,-7.74857,-3.48106,-3.55258,-3.76847,-3.45771,-3.7466,-3.51979,-4.97592,-3.45967,-3.49027,-3.49027,-3.55258,-4.68428,-3.68314,-4.21377,-3.79167,-3.70252,-3.45601,-3.59535,-3.59535,-3.70299,-3.70252,-4.07639,-3.70252,-4.37786,-3.45967,-3.70252,-3.51761,-3.45967,-3.45967,-3.46257,83.0365,116.996,106.928,99.0122,108.301,108.567,106.739,105.979,103.515,121.793,101.119,102.894,117.563,101.856,138.034,133.529,92.9269,126.011,96.4949,135.127,88.9709,86.6013,119.273,107.441,105.661,111.087,110.136,100.791,88.673,130.947,112.149,115.375,122.077,93.2934,123.025,126.031,125.646,91.4713,112.183,105.248,98.2038,92.5964,128.672,84.5313,108.886,104.688,110.655,114.468,102.501,84.8139,110.124,100.208,86.4868,97.0528,72.5596,98.5814,94.0079,103.993,114.853,80.6329,94.9408,112.575,104.121,99.0582,86.4632,129.266,71.9703,85.3664,111.161,101.568,96.6036,93.455,104.339,95.657,106.668,92.6545
-232.728,0.998319,0.29584,4,15,0,234.412,102.363,0.835172,13.9361,101.816,103.487,100.981,96.8054,103.487,105.157,108.498,101.829,101.816,100.981,106.827,97.6406,104.322,102.652,107.663,99.3109,98.4757,106.827,107.663,102.652,96.8054,99.3109,105.157,100.981,107.663,105.992,102.652,103.487,104.341,106.827,109.333,104.322,100.981,99.3109,100.146,105.992,105.157,105.992,101.816,102.587,99.3109,101.816,106.827,99.3109,105.992,105.992,104.044,101.816,104.322,101.201,98.4757,103.487,105.597,99.3109,96.8054,96.8054,101.816,104.341,103.487,101.816,98.4757,99.3109,96.8054,96.8054,96.8054,109.333,99.3109,100.981,99.3109,104.6,99.3109,99.3109,106.827,99.3109,99.3109,103.487,-6.15951,-4.25544,-6.02449,-9.19341,-3.66264,-3.6138,-3.55923,-3.59638,-3.91289,-3.86387,-4.00013,-3.94669,-4.18623,-3.69244,-3.56749,-3.84757,-3.5594,-3.57933,-3.56749,-3.69244,-3.5797,-3.84757,-3.62189,-3.5559,-3.56749,-3.59477,-3.57152,-3.69773,-4.06636,-3.57933,-3.77767,-3.63642,-3.5559,-3.84757,-4.56822,-4.05857,-3.6138,-3.59477,-3.72584,-3.62051,-3.84757,-3.56192,-3.57933,-3.55465,-8.53933,-8.53933,-3.57114,-3.56192,-4.18623,-3.5959,-3.73837,-3.5541,-4.16169,-3.55465,-3.5797,-3.5797,-3.56192,-4.06636,-3.58472,-3.91289,-3.89533,-3.84757,-3.55388,-3.67265,-3.67265,-3.55457,-3.84757,-3.86387,-3.84757,-3.88024,-3.55465,-3.84757,-3.57933,-3.55465,-3.55465,-3.66264,123.074,93.3325,106.124,103.482,114.192,131.297,98.7094,125.172,111.082,114.7,112.074,96.1123,115.096,89.7601,103.477,111.533,98.6928,98.5016,95.4071,122.86,102.029,113.528,91.6392,89.561,101.85,93.4757,81.2787,128.462,119.619,101.155,128.289,95.7933,115.425,79.3644,91.7085,93.1631,87.8459,86.6158,107.735,78.0737,104.982,125.809,103.29,95.0741,110.373,100.657,100.18,104.5,118.917,97.4184,104.384,138.026,114.789,113.063,88.5712,93.2902,96.0117,91.5802,114.908,87.3074,85.7407,99.9369,116.162,112.831,87.7514,103.021,101.614,72.9224,92.9617,120.82,113.123,96.6458,108.383,105.673,88.5057,104.586
