# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 17:34:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.99999999900000003
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\8wcydun6.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621193401_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.159252
# Diagonal elements of inverse mass matrix:
# 2.34154, 0.140741, 0.00707965
-231.832,0.99738,0.159252,4,15,0,234.798,103.53,0.833734,13.1873,102.984,104.651,102.15,97.9816,104.651,106.319,109.654,102.997,102.984,102.15,107.986,98.8153,105.485,103.818,108.82,100.483,99.6491,107.986,108.82,103.818,97.9816,100.483,106.319,102.15,108.82,107.153,103.818,104.651,105.504,107.986,110.488,105.485,102.15,100.483,101.317,107.153,106.319,107.153,102.984,103.754,100.483,102.984,107.986,100.483,107.153,107.153,105.207,102.984,105.485,102.37,99.6491,104.651,106.758,100.483,97.9816,97.9816,102.984,105.504,104.651,102.984,99.6491,100.483,97.9816,97.9816,97.9816,110.488,100.483,102.15,100.483,105.763,100.483,100.483,107.986,100.483,100.483,104.651,-6.62618,-4.17551,-6.47005,-10.1174,-3.58044,-3.53715,-3.49854,-3.5775,-3.9829,-3.92265,-3.91315,-3.85786,-4.10392,-3.60808,-3.50219,-3.75861,-3.49855,-3.50985,-3.50219,-3.60808,-3.50991,-3.75861,-3.61299,-3.51149,-3.50219,-3.5215,-3.5401,-3.71339,-4.16934,-3.50985,-3.81443,-3.5568,-3.51149,-3.75861,-4.50182,-3.97275,-3.53715,-3.5215,-3.63972,-3.5428,-3.75861,-3.52379,-3.50985,-3.49886,-8.77664,-8.77664,-3.50432,-3.52379,-4.10392,-3.52226,-3.76588,-3.49941,-4.284,-3.49886,-3.50991,-3.50991,-3.52379,-4.16934,-3.5604,-3.9829,-3.80624,-3.75861,-3.50552,-3.68136,-3.68136,-3.49888,-3.75861,-3.92265,-3.75861,-3.9424,-3.49886,-3.75861,-3.50985,-3.49886,-3.49886,-3.58044,92.6502,104.197,112.274,86.0377,87.5644,97.021,128.849,109.654,115.354,93.7785,107.27,86.8708,98.4844,109.245,107.894,85.6767,115.667,97.9611,96.5471,109.386,96.3075,96.5982,114.623,109.371,98.2863,126.764,95.6271,102.251,113.658,124.344,102.826,100.807,83.0002,89.0207,89.6434,104.949,101.742,102.18,106.664,134.12,86.0069,92.4126,88.5223,77.6042,112.197,91.0709,119.507,100.374,108.701,106.018,104.916,111.849,127.529,91.3184,92.5412,112.116,108.417,86.3917,92.7308,107.886,79.4931,124.615,97.2348,110.297,114.288,146.348,89.8272,105.892,108.505,104.144,84.234,89.4479,113.285,101.866,113.614,122.803
-231.411,0.999575,0.159252,4,15,0,232.219,103.719,1.16497,12.5107,102.956,105.286,101.791,95.9664,105.286,107.616,112.276,102.974,102.956,101.791,109.946,97.1314,106.451,104.121,111.111,99.4614,98.2964,109.946,111.111,104.121,95.9664,99.4614,107.616,101.791,111.111,108.781,104.121,105.286,106.477,109.946,113.441,106.451,101.791,99.4614,100.626,108.781,107.616,108.781,102.956,104.032,99.4614,102.956,109.946,99.4614,108.781,108.781,106.063,102.956,106.451,102.098,98.2964,105.286,108.229,99.4614,95.9664,95.9664,102.956,106.477,105.286,102.956,98.2964,99.4614,95.9664,95.9664,95.9664,113.441,99.4614,101.791,99.4614,106.84,99.4614,99.4614,109.946,99.4614,99.4614,105.286,-6.91514,-4.13712,-6.67418,-10.1953,-3.51651,-3.46368,-3.46207,-3.53289,-3.98177,-3.88967,-3.76843,-3.97454,-4.03194,-3.55593,-3.44947,-3.80032,-3.4548,-3.44553,-3.44947,-3.55593,-3.4975,-3.80032,-3.63083,-3.45578,-3.44947,-3.45027,-3.49978,-3.721,-4.28928,-3.44553,-4.02265,-3.48576,-3.45578,-3.80032,-4.64455,-3.84759,-3.46368,-3.45027,-3.60402,-3.48833,-3.80032,-3.47344,-3.44553,-3.44645,-8.87298,-8.87298,-3.44669,-3.47344,-4.03194,-3.47753,-3.6654,-3.45081,-4.48098,-3.44645,-3.4975,-3.4975,-3.47344,-4.28928,-3.53479,-3.98177,-3.88309,-3.80032,-3.44609,-3.55924,-3.55924,-3.48335,-3.80032,-3.88967,-3.80032,-4.02826,-3.44645,-3.80032,-3.44553,-3.44645,-3.44645,-3.51651,102.76,93.4547,96.7625,94.1454,123.11,86.374,115.331,101.977,114.641,99.1292,105.743,96.7436,116.071,99.1207,124.385,108.127,84.3506,108.703,140.082,120.311,76.5098,96.2355,106.221,114.222,114.381,116.816,86.9772,102.844,77.3574,91.9511,111.064,95.1041,91.4608,100.43,114.238,91.5286,115.679,84.0174,90.1508,117.13,86.0365,110.3,103.237,104.045,101.144,102.161,90.1548,107.825,100.599,129.083,100.51,75.8611,93.8442,90.2964,102.441,97.19,84.2568,121.038,101.431,128.743,83.28,101.262,128.739,94.0586,100.844,92.4948,107.415,89.7551,96.4035,91.6656,120.812,88.9963,100.236,96.2772,122.755,113.171
-232.135,0.996849,0.159252,5,31,0,232.481,104.041,0.701752,12.8924,103.581,104.985,102.879,99.3706,104.985,106.388,109.195,103.592,103.581,102.879,107.792,100.072,105.686,104.283,108.493,101.476,100.774,107.792,108.493,104.283,99.3706,101.476,106.388,102.879,108.493,107.09,104.283,104.985,105.702,107.792,109.897,105.686,102.879,101.476,102.178,107.09,106.388,107.09,103.581,104.229,101.476,103.581,107.792,101.476,107.09,107.09,105.452,103.581,105.686,103.064,100.774,104.985,106.757,101.476,99.3706,99.3706,103.581,105.702,104.985,103.581,100.774,101.476,99.3706,99.3706,99.3706,109.897,101.476,102.879,101.476,105.92,101.476,101.476,107.792,101.476,101.476,104.985,-6.86784,-4.1538,-6.72754,-10.8078,-3.55125,-3.51482,-3.47753,-3.57843,-4.03042,-3.97456,-3.92393,-3.77206,-4.09189,-3.5739,-3.48241,-3.69416,-3.47738,-3.49025,-3.48241,-3.5739,-3.47677,-3.69416,-3.59834,-3.50052,-3.48241,-3.50106,-3.53076,-3.71841,-4.19611,-3.49025,-3.77022,-3.53155,-3.50052,-3.69416,-4.43108,-3.97695,-3.51482,-3.50106,-3.59952,-3.51166,-3.69416,-3.51416,-3.49025,-3.48213,-9.01443,-9.01443,-3.48002,-3.51416,-4.09189,-3.49013,-3.82477,-3.4785,-4.29772,-3.48213,-3.47677,-3.47677,-3.51416,-4.19611,-3.55032,-4.03042,-3.73163,-3.69416,-3.50238,-3.73972,-3.73972,-3.47561,-3.69416,-3.97456,-3.69416,-3.95216,-3.48213,-3.69416,-3.49025,-3.48213,-3.48213,-3.55125,132.637,107.64,102.021,109.967,99.9574,121.727,115.336,90.9444,106.443,117.214,79.9457,101.259,101.352,119.257,123.416,108.964,84.231,105.597,92.2448,94.4418,90.9738,84.9765,93.4647,114.178,107.476,118.209,88.5943,78.4516,105.9,108.198,112.383,121.361,98.3092,109.134,80.2954,108.073,113.285,96.4984,96.5877,120.075,95.2314,101.468,131.55,105.613,120.588,99.0551,105.496,97.3545,83.9449,100.198,106.589,102.899,103.263,96.5111,116.936,91.308,102.648,118.156,105.241,116.53,95.9389,94.4616,96.9981,97.3095,95.8918,97.6419,99.9953,101.018,91.1949,101.032,119.269,104.228,107.233,99.2033,111.822,129.899
-233.755,0.993839,0.159252,4,15,0,234.065,102.569,0.527554,12.3762,102.223,103.278,101.695,99.0577,103.278,104.333,106.443,102.231,102.223,101.695,105.388,99.5853,103.806,102.751,105.916,100.64,100.113,105.388,105.916,102.751,99.0577,100.64,104.333,101.695,105.916,104.861,102.751,103.278,103.818,105.388,106.971,103.806,101.695,100.64,101.168,104.861,104.333,104.861,102.223,102.71,100.64,102.223,105.388,100.64,104.861,104.861,103.63,102.223,103.806,101.834,100.113,103.278,104.611,100.64,99.0577,99.0577,102.223,103.818,103.278,102.223,100.113,100.64,99.0577,99.0577,99.0577,106.971,100.64,101.695,100.64,103.982,100.64,100.64,105.388,100.64,100.64,103.278,-6.82414,-4.34749,-6.71407,-11.2908,-3.58221,-3.53954,-3.47601,-3.50043,-3.92241,-3.88122,-4.13165,-3.78879,-4.2908,-3.60627,-3.48916,-3.72068,-3.43476,-3.50414,-3.48916,-3.60627,-3.43761,-3.72068,-3.49601,-3.4441,-3.48916,-3.52093,-3.45941,-3.60763,-4.03778,-3.50414,-3.59335,-3.55997,-3.4441,-3.72068,-4.5924,-4.18288,-3.53954,-3.52093,-3.63215,-3.51575,-3.72068,-3.45085,-3.50414,-3.43605,-10.0859,-10.0859,-3.46482,-3.45085,-4.2908,-3.47309,-3.76856,-3.43642,-4.11023,-3.43605,-3.43761,-3.43761,-3.45085,-4.03778,-3.46979,-3.92241,-3.75382,-3.72068,-3.45802,-3.70253,-3.70253,-3.46467,-3.72068,-3.88122,-3.72068,-3.80484,-3.43605,-3.72068,-3.50414,-3.43605,-3.43605,-3.58221,100.214,95.5146,86.1116,95.9295,99.2701,115.5,109.892,117.73,98.2857,80.0687,113.09,101.458,83.3905,94.4488,108.939,95.0875,102.803,91.1575,112.225,101.968,106.667,113.435,99.6926,109.348,111.832,113.144,115.473,93.8055,129.14,102.16,101.273,94.6508,119.178,106.353,99.4474,122.783,105.842,102.977,88.7757,90.1025,109.715,95.6647,119.649,96.4979,112.402,121.244,108.458,95.0288,110.583,117.342,99.4111,116.982,96.1426,114.179,92.545,104.731,108.767,128.059,73.3868,81.1202,109.591,92.2464,89.3564,98.9611,100.576,113.088,98.1606,105.851,112.682,74.7051,94.4436,98.1469,97.2578,110.487,106.373,121.14
-232.938,0.999878,0.159252,4,15,0,234.104,104.734,1.79826,13.2532,103.556,107.153,101.758,92.7666,107.153,110.749,117.942,103.583,103.556,101.758,114.346,94.5649,108.951,105.354,116.144,98.1614,96.3631,114.346,116.144,105.354,92.7666,98.1614,110.749,101.758,116.144,112.547,105.354,107.153,108.991,114.346,119.74,108.951,101.758,98.1614,99.9597,112.547,110.749,112.547,103.556,105.216,98.1614,103.556,114.346,98.1614,112.547,112.547,108.352,103.556,108.951,102.231,96.3631,107.153,111.696,98.1614,92.7666,92.7666,103.556,108.991,107.153,103.556,96.3631,98.1614,92.7666,92.7666,92.7666,119.74,98.1614,101.758,98.1614,109.55,98.1614,98.1614,114.346,98.1614,98.1614,107.153,-6.70853,-3.97302,-6.37418,-8.70961,-3.52625,-3.50477,-3.68274,-3.60022,-4.0263,-3.89672,-3.59418,-4.18136,-3.8507,-3.56461,-3.61063,-3.90214,-3.54083,-3.55693,-3.61063,-3.56461,-3.65212,-3.90214,-3.83209,-3.51197,-3.61063,-3.52165,-3.58479,-3.85725,-4.50564,-3.55693,-4.61247,-3.50631,-3.51197,-3.90214,-4.64642,-3.66128,-3.50477,-3.52165,-3.62138,-3.52063,-3.90214,-3.53917,-3.55693,-3.5128,-7.49612,-7.49612,-3.51126,-3.53917,-3.8507,-3.52934,-3.61843,-3.53147,-4.81537,-3.5128,-3.65212,-3.65212,-3.53917,-4.50564,-3.64881,-4.0263,-4.03255,-3.90214,-3.54046,-3.52496,-3.52496,-3.77325,-3.90214,-3.89672,-3.90214,-4.25181,-3.5128,-3.90214,-3.55693,-3.5128,-3.5128,-3.52625,98.0256,113.853,75.0071,90.4652,94.2618,110.228,110.952,84.6353,86.7391,75.8119,125.403,73.6826,88.0641,98.7899,109.795,75.9449,94.6822,115.034,125.644,91.6069,102.044,92.5962,106.298,116.976,136.187,123.511,121.572,89.8545,119.88,101.889,123.684,108.068,110.967,65.1189,110.856,119.667,116.457,137.276,109.195,103.21,96.7506,95.2398,142.03,71.8233,101.682,112.341,128.157,98.6499,93.1576,126.692,121.087,101.875,126.519,105.211,111.529,79.3283,115.015,104.888,113.337,101.432,83.6503,87.0087,87.9588,96.858,95.0959,105.116,96.8014,97.744,91.4692,117.038,90.77,102.209,101.548,115.298,91.5149,94.6803
-231.332,0.999603,0.159252,3,15,0,233.28,104.058,1.18679,12.747,103.281,105.655,102.094,96.1603,105.655,108.028,112.775,103.299,103.281,102.094,110.402,97.3471,106.841,104.468,111.589,99.7207,98.5339,110.402,111.589,104.468,96.1603,99.7207,108.028,102.094,111.589,109.215,104.468,105.655,106.868,110.402,113.962,106.841,102.094,99.7207,100.907,109.215,108.028,109.215,103.281,104.377,99.7207,103.281,110.402,99.7207,109.215,109.215,106.446,103.281,106.841,102.407,98.5339,105.655,108.653,99.7207,96.1603,96.1603,103.281,106.868,105.655,103.281,98.5339,99.7207,96.1603,96.1603,96.1603,113.962,99.7207,102.094,99.7207,107.237,99.7207,99.7207,110.402,99.7207,99.7207,105.655,-6.87264,-4.09749,-6.63388,-10.0211,-3.52234,-3.47619,-3.48793,-3.55917,-4.00701,-3.91434,-3.74772,-3.95688,-3.99704,-3.55841,-3.472,-3.78938,-3.47085,-3.46473,-3.472,-3.55841,-3.5096,-3.78938,-3.66256,-3.47773,-3.472,-3.46613,-3.52566,-3.75106,-4.31655,-3.46473,-4.06411,-3.49493,-3.47773,-3.78938,-4.58595,-3.82216,-3.47619,-3.46613,-3.60315,-3.49806,-3.78938,-3.49736,-3.46473,-3.46447,-8.5829,-8.5829,-3.46438,-3.49736,-3.99704,-3.48934,-3.68834,-3.47266,-4.50914,-3.46447,-3.5096,-3.5096,-3.49736,-4.31655,-3.56262,-4.00701,-3.8688,-3.78938,-3.46439,-3.58101,-3.58101,-3.51254,-3.78938,-3.91434,-3.78938,-4.0591,-3.46447,-3.78938,-3.46473,-3.46447,-3.46447,-3.52234,118.991,115.996,104.771,93.5802,122.283,107.813,101.3,113.225,95.4434,69.3586,128.227,86.3953,93.3364,100.418,116.355,102.864,104.03,99.0624,93.2151,88.7664,93.6334,104.208,95.3847,95.3056,96.9745,105.249,113.014,116.56,102.948,99.7589,114.788,103.829,121.138,104.377,106.59,106.5,78.4655,115.981,100.353,100.08,76.6665,82.7158,103.405,102.178,120.947,98.5101,114.609,102.532,111.92,95.5506,97.905,85.4373,118.239,119.432,95.876,93.2138,111.881,119.089,95.589,106.131,106.387,120.035,100.252,79.5441,107.768,114.664,110.621,109.961,99.8594,126.366,93.9227,103.27,104.248,101.294,96.3079,112.036
