# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 17:34:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.99999999900000003
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\8wcydun6.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621193401_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.255582
# Diagonal elements of inverse mass matrix:
# 2.1848, 0.142195, 0.00604391
-232.495,0.998192,0.255582,3,7,0,232.643,104.044,1.37489,14.4434,103.144,105.893,101.769,94.8942,105.893,108.643,114.143,103.164,103.144,101.769,111.393,96.2691,107.268,104.518,112.768,99.0189,97.644,111.393,112.768,104.518,94.8942,99.0189,108.643,101.769,112.768,110.018,104.518,105.893,107.299,111.393,115.518,107.268,101.769,99.0189,100.394,110.018,108.643,110.018,103.144,104.413,99.0189,103.144,111.393,99.0189,110.018,110.018,106.81,103.144,107.268,102.13,97.644,105.893,109.367,99.0189,94.8942,94.8942,103.144,107.299,105.893,103.144,97.644,99.0189,94.8942,94.8942,94.8942,115.518,99.0189,101.769,99.0189,107.727,99.0189,99.0189,111.393,99.0189,99.0189,105.893,-6.22204,-4.06613,-6.00814,-8.41989,-3.6296,-3.59359,-3.63031,-3.65958,-4.00323,-3.92113,-3.76674,-4.04106,-3.97769,-3.66119,-3.60754,-3.87819,-3.60248,-3.59383,-3.60754,-3.66119,-3.65166,-3.87819,-3.76822,-3.59667,-3.60754,-3.58918,-3.63811,-3.82377,-4.28787,-3.59383,-4.16631,-3.60706,-3.59667,-3.87819,-4.51052,-3.82799,-3.59359,-3.58918,-3.70185,-3.61496,-3.87819,-3.61286,-3.59383,-3.59148,-7.4206,-7.4206,-3.58923,-3.61286,-3.97769,-3.6127,-3.72922,-3.59777,-4.46732,-3.59148,-3.65166,-3.65166,-3.61286,-4.28787,-3.67242,-4.00323,-3.9551,-3.87819,-3.59451,-3.64659,-3.64659,-3.66214,-3.87819,-3.92113,-3.87819,-4.0857,-3.59148,-3.87819,-3.59383,-3.59148,-3.59148,-3.6296,112.518,110.777,93.0951,89.016,131.749,120.792,121.169,99.2606,105.885,101.468,107.53,84.373,108.482,97.9613,110.998,106.766,116.251,117.684,115.641,91.3971,91.1187,93.347,104.494,105.546,126.804,113.796,118.878,95.4392,95.4764,128.264,132.566,89.6788,95.9094,106.987,90.656,103.929,123.165,81.8977,89.5834,97.0629,91.3158,107.149,122.775,92.2237,114.332,124.155,100.872,100.568,111.754,121.075,93.2894,141.114,113.752,108.875,106.055,106.953,128.575,120.974,126.217,126.227,72.4614,77.6764,115.726,99.1788,108.917,130.409,123.025,87.2562,91.517,114.237,97.1662,84.6343,113.439,106.889,77.26,97.817
-232.866,0.994448,0.255582,4,15,0,234.241,105.648,0.701563,12.4775,105.189,106.592,104.487,100.979,106.592,107.995,110.801,105.199,105.189,104.487,109.398,101.681,107.293,105.89,110.1,103.084,102.383,109.398,110.1,105.89,100.979,103.084,107.995,104.487,110.1,108.697,105.89,106.592,107.309,109.398,111.503,107.293,104.487,103.084,103.786,108.697,107.995,108.697,105.189,105.836,103.084,105.189,109.398,103.084,108.697,108.697,107.06,105.189,107.293,104.672,102.383,106.592,108.364,103.084,100.979,100.979,105.189,107.309,106.592,105.189,102.383,103.084,100.979,100.979,100.979,111.503,103.084,104.487,103.084,107.527,103.084,103.084,109.398,103.084,103.084,106.592,-7.41955,-4.02023,-7.26257,-11.7893,-3.48017,-3.45578,-3.44493,-3.62135,-4.18377,-4.1169,-3.80384,-3.66513,-3.96139,-3.49711,-3.4429,-3.59648,-3.4611,-3.44403,-3.4429,-3.49711,-3.44595,-3.59648,-3.64815,-3.50753,-3.4429,-3.44832,-3.55429,-3.80316,-4.38017,-3.44403,-3.8678,-3.46639,-3.50753,-3.59648,-4.2872,-3.8532,-3.45578,-3.44832,-3.51721,-3.45393,-3.59648,-3.52933,-3.44403,-3.47341,-8.92167,-8.92167,-3.44336,-3.52933,-3.96139,-3.44399,-3.93528,-3.46444,-4.4995,-3.47341,-3.44595,-3.44595,-3.52933,-4.38017,-3.58242,-4.18377,-3.62922,-3.59648,-3.51064,-3.83001,-3.83001,-3.45012,-3.59648,-4.1169,-3.59648,-4.08989,-3.47341,-3.59648,-3.44403,-3.47341,-3.47341,-3.48017,105.197,102.507,104.558,77.6963,103.397,111.061,110.392,102.851,93.1352,100.437,137.512,99.3088,109.659,119.87,102.356,72.1306,103.408,111.364,103.914,108.421,111.829,94.9359,84.0218,83.4111,109.237,91.4023,98.6116,91.1028,111.114,107.093,116.898,70.2873,102.929,92.409,113.097,101.136,130.14,85.9417,111.642,95.0843,111.522,130.594,107.115,106.637,116.057,112.16,117.14,104.85,121.497,95.2932,109.294,109.187,101.16,96.0339,80.4712,106.846,106.925,98.7744,89.0301,115.185,111.918,95.5664,92.7493,97.9964,84.9919,127.486,86.9511,74.2108,98.6972,110.741,98.5575,88.7902,95.8391,91.1805,89.7072,119.462
-232.188,0.995452,0.255582,4,15,0,234.14,102.589,1.1784,13.8027,101.817,104.174,100.639,94.7466,104.174,106.531,111.244,101.835,101.817,100.639,108.887,95.925,105.352,102.995,110.066,98.2818,97.1034,108.887,110.066,102.995,94.7466,98.2818,106.531,100.639,110.066,107.709,102.995,104.174,105.379,108.887,112.423,105.352,100.639,98.2818,99.4602,107.709,106.531,107.709,101.817,102.905,98.2818,101.817,108.887,98.2818,107.709,107.709,104.959,101.817,105.352,100.949,97.1034,104.174,107.151,98.2818,94.7466,94.7466,101.817,105.379,104.174,101.817,97.1034,98.2818,94.7466,94.7466,94.7466,112.423,98.2818,100.639,98.2818,105.745,98.2818,98.2818,108.887,98.2818,98.2818,104.174,-6.2006,-4.20115,-6.00745,-8.79865,-3.63289,-3.57539,-3.54787,-3.58771,-3.91029,-3.84084,-3.8679,-4.06373,-4.1069,-3.67257,-3.54382,-3.90419,-3.56582,-3.54705,-3.54382,-3.67257,-3.61624,-3.90419,-3.65574,-3.54488,-3.54382,-3.55758,-3.56735,-3.71915,-4.14643,-3.54705,-3.94882,-3.6005,-3.54488,-3.90419,-4.65102,-3.94028,-3.57539,-3.55758,-3.71954,-3.60396,-3.90419,-3.55247,-3.54705,-3.55155,-8.23773,-8.23773,-3.55145,-3.55247,-4.1069,-3.59266,-3.67623,-3.54388,-4.29562,-3.55155,-3.61624,-3.61624,-3.55247,-4.14643,-3.58952,-3.91029,-3.98031,-3.90419,-3.55085,-3.60293,-3.60293,-3.55921,-3.90419,-3.84084,-3.90419,-3.9481,-3.55155,-3.90419,-3.54705,-3.55155,-3.55155,-3.63289,126.372,86.4633,107.064,88.8983,101.828,81.0949,117.677,95.2432,93.9637,90.9067,117.524,121.691,115.92,104.03,106.092,105.666,77.1444,115.143,100.714,82.6799,110.436,103.94,107.807,116.451,117.506,130.089,88.6691,114.595,89.0477,114.8,115.84,123.773,113.67,93.2228,84.9125,118.636,85.2117,97.0097,91.5473,97.6425,72.8794,96.0085,117.89,117.057,117.6,110.011,91.8607,101.935,106.007,115.828,92.839,94.6026,88.2906,94.1547,60.1718,110.819,109.896,101.265,108.768,98.445,102.738,98.4844,82.2251,81.9717,107.725,103.536,88.7178,91.9285,93.5598,109.645,105.35,88.7465,117.353,93.1419,100.275,113.547
-232.547,0.997697,0.255582,4,15,0,233.004,105.77,0.941782,12.1191,105.154,107.037,104.212,99.5028,107.037,108.921,112.688,105.168,105.154,104.212,110.804,100.445,107.979,106.095,111.746,102.328,101.386,110.804,111.746,106.095,99.5028,102.328,108.921,104.212,111.746,109.862,106.095,107.037,108,110.804,113.63,107.979,104.212,102.328,103.27,109.862,108.921,109.862,105.154,106.023,102.328,105.154,110.804,102.328,109.862,109.862,107.665,105.154,107.979,104.46,101.386,107.037,109.416,102.328,99.5028,99.5028,105.154,108,107.037,105.154,101.386,102.328,99.5028,99.5028,99.5028,113.63,102.328,104.212,102.328,108.293,102.328,102.328,110.804,102.328,102.328,107.037,-7.62068,-3.98577,-7.39829,-11.7561,-3.44361,-3.41769,-3.43831,-3.60132,-4.19545,-4.1013,-3.7016,-3.72455,-3.90567,-3.46562,-3.4241,-3.61409,-3.42026,-3.41592,-3.4241,-3.46562,-3.41456,-3.61409,-3.68463,-3.47411,-3.4241,-3.41378,-3.5402,-3.82842,-4.48926,-3.41592,-4.04612,-3.42763,-3.47411,-3.61409,-4.36657,-3.76358,-3.41769,-3.41378,-3.49368,-3.42321,-3.61409,-3.50413,-3.41592,-3.43217,-8.89817,-8.89817,-3.41711,-3.50413,-3.90567,-3.41592,-3.85509,-3.44512,-4.66748,-3.43217,-3.41456,-3.41456,-3.50413,-4.48926,-3.5823,-4.19545,-3.6663,-3.61409,-3.4468,-3.72114,-3.72114,-3.45857,-3.61409,-4.1013,-3.61409,-4.17556,-3.43217,-3.61409,-3.41592,-3.43217,-3.43217,-3.44361,89.2191,88.6991,114.178,76.1704,93.3605,101.376,87.8232,89.6455,108.088,99.1553,97.9677,99.3767,123.179,109.112,133.827,96.091,96.6728,124.852,106.022,84.2252,101.745,103.127,118.84,117.707,106.912,84.9011,110.976,101.361,104.915,124.087,122.55,108.666,98.5704,100.8,115.65,123.253,130.194,107.604,94.9021,104.601,125.364,93.4052,130.918,82.4986,124.496,115.197,117.294,101.231,108.391,104.572,81.5077,105.348,113.185,114.318,86.8115,98.9931,102.17,95.8433,107.318,95.3213,105.613,113.021,94.0078,78.8618,88.5695,101.396,102.56,124.699,82.3103,97.2306,94.0415,101.622,110.018,78.3709,109.599,119.728
-231.932,0.999875,0.255582,4,15,0,233.188,102.875,1.19639,12.1742,102.092,104.485,100.896,94.9136,104.485,106.878,111.663,102.11,102.092,100.896,109.27,96.11,105.681,103.288,110.467,98.5028,97.3064,109.27,110.467,103.288,94.9136,98.5028,106.878,100.896,110.467,108.074,103.288,104.485,105.708,109.27,112.859,105.681,100.896,98.5028,99.6992,108.074,106.878,108.074,102.092,103.196,98.5028,102.092,109.27,98.5028,108.074,108.074,105.282,102.092,105.681,101.21,97.3064,104.485,107.507,98.5028,94.9136,94.9136,102.092,105.708,104.485,102.092,97.3064,98.5028,94.9136,94.9136,94.9136,112.859,98.5028,100.896,98.5028,106.08,98.5028,98.5028,109.27,98.5028,98.5028,104.485,-6.89268,-4.23035,-6.63845,-10.2235,-3.52087,-3.45115,-3.42759,-3.48255,-3.91152,-3.81874,-3.80664,-4.06913,-4.10994,-3.57022,-3.41899,-3.8642,-3.44273,-3.42005,-3.41899,-3.57022,-3.50554,-3.8642,-3.57783,-3.42096,-3.41899,-3.43077,-3.45474,-3.66112,-4.22693,-3.42005,-3.97613,-3.48118,-3.42096,-3.8642,-4.80859,-3.89809,-3.45115,-3.43077,-3.62923,-3.48645,-3.8642,-3.43302,-3.42005,-3.42582,-9.34832,-9.34832,-3.42472,-3.43302,-4.10994,-3.47367,-3.59835,-3.41905,-4.42579,-3.42582,-3.50554,-3.50554,-3.43302,-4.22693,-3.48611,-3.91152,-3.96183,-3.8642,-3.42557,-3.49971,-3.49971,-3.44584,-3.8642,-3.81874,-3.8642,-3.96638,-3.42582,-3.8642,-3.42005,-3.42582,-3.42582,-3.52087,118.554,116.759,106.129,81.0646,108.846,107.715,115.815,86.9653,119.355,84.9308,105.704,81.2537,112.881,76.2509,111.892,86.1622,93.2506,121.927,113.706,99.3121,119.458,92.827,77.3766,94.6695,96.7582,102.773,89.2628,96.2487,104.163,101.343,104.714,105.502,99.4209,89.1847,91.4776,94.3618,102.177,71.424,78.2428,80.8714,124.8,89.889,125.762,111.8,120.578,92.7178,116.219,95.5288,106.964,80.2827,82.2868,104.91,79.8628,73.0201,111.491,81.9678,84.8966,91.4563,101.535,102.012,102.385,120.964,85.2956,95.271,95.5346,116.113,103.812,85.3595,105.23,118.239,103.991,99.8544,120.472,104.157,103.675,108.199
-232.348,0.992624,0.255582,3,15,0,233.11,105.21,0.860536,13.9895,104.647,106.368,103.786,99.4833,106.368,108.089,111.531,104.659,104.647,103.786,109.81,100.344,107.228,105.507,110.67,102.065,101.204,109.81,110.67,105.507,99.4833,102.065,108.089,103.786,110.67,108.949,105.507,106.368,107.248,109.81,112.391,107.228,103.786,102.065,102.925,108.949,108.089,108.949,104.647,105.441,102.065,104.647,109.81,102.065,108.949,108.949,106.941,104.647,107.228,104.012,101.204,106.368,108.542,102.065,99.4833,99.4833,104.647,107.248,106.368,104.647,101.204,102.065,99.4833,99.4833,99.4833,112.391,102.065,103.786,102.065,107.515,102.065,102.065,109.81,102.065,102.065,106.368,-6.62404,-4.03204,-6.47358,-9.81303,-3.59096,-3.56658,-3.56323,-3.67942,-4.10532,-4.04281,-3.82254,-3.79546,-3.97399,-3.60882,-3.5584,-3.71811,-3.56095,-3.55734,-3.5584,-3.60882,-3.55793,-3.71811,-3.7244,-3.59387,-3.5584,-3.56007,-3.63473,-3.83186,-4.29751,-3.55734,-3.94953,-3.57688,-3.59387,-3.71811,-4.30208,-3.86924,-3.56658,-3.56007,-3.63047,-3.5702,-3.71811,-3.61241,-3.55734,-3.56814,-7.86258,-7.86258,-3.55744,-3.61241,-3.97399,-3.56124,-3.87798,-3.57157,-4.41434,-3.56814,-3.55793,-3.55793,-3.61241,-4.29751,-3.66084,-4.10532,-3.7549,-3.71811,-3.58176,-3.78701,-3.78701,-3.57186,-3.71811,-4.04281,-3.71811,-4.07108,-3.56814,-3.71811,-3.55734,-3.56814,-3.56814,-3.59096,99.1997,121.32,107.938,93.686,129.576,110.57,93.7454,101.774,94.2926,117.494,121.275,115.608,122.385,102.375,98.5756,122.81,114.497,103.357,94.9151,104.672,110.888,120.255,127.619,93.5947,84.4742,94.6723,108.886,91.5126,112.2,116.302,119.074,112.192,107.203,109.652,92.1087,130.637,114.337,109.31,99.6953,91.8342,111.467,89.2899,104.005,116.773,95.9736,123.962,99.2657,110.35,113.641,124.823,81.9281,122.344,109.771,99.7007,134.666,92.4523,108.92,133.916,88.7066,83.394,99.6575,82.9482,115.611,106.159,102.666,144.515,106.129,109.451,104.309,101.09,132.334,119.165,105.597,100.032,110.783,103.479
