# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 17:35:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.99999999900000003
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\htyzhkiq.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621193554_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.221566
# Diagonal elements of inverse mass matrix:
# 1.88554, 0.136563, 0.00691745
-232.808,0.984008,0.221566,3,15,0,238.913,105.485,1.1917,14.5187,104.704,107.088,103.513,97.5543,107.088,109.471,114.238,104.722,104.704,103.513,111.855,98.746,108.28,105.896,113.046,101.129,99.9376,111.855,113.046,105.896,97.5543,101.129,109.471,103.513,113.046,110.663,105.896,107.088,108.306,111.855,115.43,108.28,103.513,101.129,102.321,110.663,109.471,110.663,104.704,105.804,101.129,104.704,111.855,101.129,110.663,110.663,107.882,104.704,108.28,103.826,99.9376,107.088,110.098,101.129,97.5543,97.5543,104.704,108.306,107.088,104.704,99.9376,101.129,97.5543,97.5543,97.5543,115.43,101.129,103.513,101.129,108.677,101.129,101.129,111.855,101.129,101.129,107.088,-6.45121,-3.98985,-6.25838,-8.95844,-3.61449,-3.59504,-3.63698,-3.70987,-4.10725,-4.02749,-3.75175,-3.8948,-3.92022,-3.63432,-3.61639,-3.78102,-3.59438,-3.60253,-3.61639,-3.63432,-3.60856,-3.78102,-3.80715,-3.62364,-3.61639,-3.59542,-3.67684,-3.88599,-4.36982,-3.60253,-4.15909,-3.6014,-3.62364,-3.78102,-4.33573,-3.80117,-3.59504,-3.59542,-3.66089,-3.60283,-3.78102,-3.64687,-3.60253,-3.5974,-7.26483,-7.26483,-3.59788,-3.64687,-3.92022,-3.59927,-3.82863,-3.61699,-4.53115,-3.5974,-3.60856,-3.60856,-3.64687,-4.36982,-3.71354,-4.10725,-3.83454,-3.78102,-3.59762,-3.72974,-3.72974,-3.66431,-3.78102,-4.02749,-3.78102,-4.15279,-3.5974,-3.78102,-3.60253,-3.5974,-3.5974,-3.61449,101.544,107.808,84.5624,82.1472,121.979,117.044,109.657,101.053,86.3028,105.67,132.234,112.168,131.086,110.233,94.5492,90.8351,112.133,120.878,122.679,138.235,89.6618,101.212,82.9383,101.503,112.223,90.84,89.1077,77.8466,89.1674,130.002,115.986,95.356,125.656,112.977,106.732,118.925,102.562,117.56,101.695,100.292,98.6122,92.1257,106.852,104.639,114.651,114.354,128.771,109.37,83.4446,110.624,110.834,125.005,102.288,103.474,115.028,108.383,102.926,128.265,95.835,82.8953,118.195,101.643,91.9024,71.4323,99.9532,119.654,109.404,104.151,87.9557,108.245,78.5216,111.762,102.61,87.1799,89.4779,98.3652
-233.387,0.99586,0.221566,4,15,0,234.776,104.453,1.48031,11.2014,103.484,106.444,102.004,94.602,106.444,109.405,115.326,103.506,103.484,102.004,112.366,96.0823,107.925,104.964,113.846,99.0429,97.5626,112.366,113.846,104.964,94.602,99.0429,109.405,102.004,113.846,110.885,104.964,106.444,107.958,112.366,116.807,107.925,102.004,99.0429,100.523,110.885,109.405,110.885,103.484,104.85,99.0429,103.484,112.366,99.0429,110.885,110.885,107.431,103.484,107.925,102.393,97.5626,106.444,110.184,99.0429,94.602,94.602,103.484,107.958,106.444,103.484,97.5626,99.0429,94.602,94.602,94.602,116.807,99.0429,102.004,99.0429,108.418,99.0429,99.0429,112.366,99.0429,99.0429,106.444,-7.80283,-4.06723,-7.41651,-11.2625,-3.38535,-3.33638,-3.44803,-3.46727,-4.0595,-3.90915,-3.56723,-4.10688,-3.91603,-3.43603,-3.39392,-3.8134,-3.35865,-3.35728,-3.39392,-3.43603,-3.45109,-3.8134,-3.68747,-3.35097,-3.39392,-3.3381,-3.43318,-3.76969,-4.58804,-3.35728,-4.4606,-3.35214,-3.35097,-3.8134,-4.84666,-3.66603,-3.33638,-3.3381,-3.50418,-3.36716,-3.8134,-3.38334,-3.35728,-3.33862,-9.43182,-9.43182,-3.3373,-3.38334,-3.91603,-3.3678,-3.56289,-3.35879,-4.92239,-3.33862,-3.45109,-3.45109,-3.38334,-4.58804,-3.50048,-4.0595,-3.95141,-3.8134,-3.34765,-3.41937,-3.41937,-3.5196,-3.8134,-3.90915,-3.8134,-4.24178,-3.33862,-3.8134,-3.35728,-3.33862,-3.33862,-3.38535,103.07,115.065,119.126,97.9516,101.505,101.781,123.482,79.9137,101.239,96.2767,114.83,110.557,123.27,83.451,120.879,78.7742,91.2708,115.287,125.985,86.0775,85.9194,90.99,94.8644,109.963,106.668,123.839,99.1753,114.352,111.607,105.998,97.2331,100.745,99.8702,81.829,107.055,117.896,105.488,112.616,105.154,103.131,85.4375,87.7992,126.144,100.285,96.878,113.206,96.9775,105.326,92.6056,95.1235,83.5494,94.4694,115.584,100.481,120.217,118.691,90.5384,85.5174,96.1859,121.836,77.1819,96.4398,99.8436,102.316,110.88,143.255,109.34,92.0567,94.8748,108.353,97.7306,108.631,125.162,94.1527,98.5584,123.778
-233.585,0.998621,0.221566,4,15,0,235.573,103.167,1.12989,11.0657,102.427,104.686,101.297,95.6473,104.686,106.946,111.466,102.444,102.427,101.297,109.206,96.7772,105.816,103.557,110.336,99.037,97.9071,109.206,110.336,103.557,95.6473,99.037,106.946,101.297,110.336,108.076,103.557,104.686,105.842,109.206,112.596,105.816,101.297,99.037,100.167,108.076,106.946,108.076,102.427,103.47,99.037,102.427,109.206,99.037,108.076,108.076,105.44,102.427,105.816,101.594,97.9071,104.686,107.541,99.037,95.6473,95.6473,102.427,105.842,104.686,102.427,97.9071,99.037,95.6473,95.6473,95.6473,112.596,99.037,101.297,99.037,106.193,99.037,99.037,109.206,99.037,99.037,104.686,-7.61633,-4.28035,-7.32233,-11.8311,-3.43808,-3.36087,-3.33156,-3.41296,-3.95334,-3.84389,-3.79854,-4.03673,-4.14426,-3.49232,-3.32325,-3.81355,-3.34068,-3.32536,-3.32325,-3.49232,-3.40015,-3.81355,-3.51981,-3.32966,-3.32325,-3.3379,-3.37444,-3.63089,-4.31857,-3.32536,-3.97061,-3.39426,-3.32966,-3.81355,-4.92897,-3.90335,-3.36087,-3.3379,-3.55699,-3.3956,-3.81355,-3.34683,-3.32536,-3.32658,-10.4997,-10.4997,-3.32894,-3.34683,-4.14426,-3.37776,-3.57808,-3.32471,-4.54705,-3.32658,-3.40015,-3.40015,-3.34683,-4.31857,-3.41247,-3.95334,-3.91993,-3.81355,-3.32502,-3.45301,-3.45301,-3.3503,-3.81355,-3.84389,-3.81355,-3.99804,-3.32658,-3.81355,-3.32536,-3.32658,-3.32658,-3.43808,86.8575,106.271,104.231,84.0995,97.4379,101.576,117.568,102.136,104.637,101.508,130.608,101.75,104.469,91.7612,109.964,98.8551,97.2983,123.229,105.006,103.721,91.3326,100.23,114.613,92.5307,124.372,100.604,113.435,88.2553,119.254,104.43,125.951,99.6701,90.2186,107.282,76.2177,102.58,97.0363,103.824,110.802,103.714,120.479,106.865,125.824,92.9855,105.461,90.1695,100.376,94.1523,100.605,105.959,76.4349,110.037,124.697,77.1463,106.436,84.9787,118.344,110.763,112.546,112.381,97.4115,96.6096,80.3203,86.7445,107.086,99.6538,91.9695,95.6319,97.9291,120.948,82.7209,99.0554,109.573,101.736,86.6351,95.0004
-233.599,0.995635,0.221566,4,15,0,235.103,103.644,1.60156,14.844,102.595,105.798,100.994,92.9858,105.798,109.001,115.408,102.619,102.595,100.994,112.205,94.5874,107.4,104.197,113.806,97.7905,96.1889,112.205,113.806,104.197,92.9858,97.7905,109.001,100.994,113.806,110.603,104.197,105.798,107.436,112.205,117.009,107.4,100.994,97.7905,99.3921,110.603,109.001,110.603,102.595,104.074,97.7905,102.595,112.205,97.7905,110.603,110.603,106.866,102.595,107.4,101.415,96.1889,105.798,109.844,97.7905,92.9858,92.9858,102.595,107.436,105.798,102.595,96.1889,97.7905,92.9858,92.9858,92.9858,117.009,97.7905,100.994,97.7905,107.934,97.7905,97.7905,112.205,97.7905,97.7905,105.798,-6.02742,-4.0742,-5.79632,-7.80949,-3.65659,-3.61879,-3.68289,-3.67046,-3.97651,-3.89079,-3.75443,-4.15557,-3.97679,-3.69295,-3.64941,-3.9548,-3.64949,-3.62756,-3.64941,-3.69295,-3.72817,-3.9548,-3.8004,-3.61877,-3.64941,-3.61736,-3.6565,-3.83439,-4.28866,-3.62756,-4.27304,-3.63187,-3.61877,-3.9548,-4.58022,-3.81691,-3.61879,-3.61736,-3.74095,-3.64625,-3.9548,-3.63182,-3.62756,-3.62761,-7.13858,-7.13858,-3.61662,-3.63182,-3.97679,-3.65013,-3.70345,-3.62387,-4.48994,-3.62761,-3.72817,-3.72817,-3.63182,-4.28866,-3.69282,-3.97651,-4.04937,-3.9548,-3.64276,-3.63676,-3.63676,-3.72802,-3.9548,-3.89079,-3.9548,-4.10026,-3.62761,-3.9548,-3.62756,-3.62761,-3.62761,-3.65659,113.285,119.874,100.517,90.8928,95.0318,134.183,124.833,95.8693,127.739,111.081,124.076,101.335,100.027,83.2933,95.9917,120.874,92.1536,123.143,113.925,109.197,116.749,87.6272,98.2561,126.973,109.374,98.8976,106.696,115.644,87.4259,123.165,100.512,93.4151,112.655,110.503,116.229,87.5993,115.797,124.579,100.154,81.8056,114.194,113.865,91.8683,81.4387,141.023,91.9306,109.032,103.947,142.736,110.826,99.5111,143.535,90.5012,136.526,113.539,79.8609,81.1618,87.0568,97.4936,98.8075,105.588,86.8175,97.7786,90.5145,86.167,119.648,114.491,95.3304,101.438,116.509,77.5554,102.895,130.944,95.9465,88.45,114.104
-233.198,0.999113,0.221566,3,7,0,234.018,103.664,1.52725,14.6729,102.663,105.718,101.136,93.4999,105.718,108.772,114.881,102.686,102.663,101.136,111.827,95.0271,107.245,104.191,113.354,98.0816,96.5544,111.827,113.354,104.191,93.4999,98.0816,108.772,101.136,113.354,110.3,104.191,105.718,107.28,111.827,116.409,107.245,101.136,98.0816,99.6089,110.3,108.772,110.3,102.663,104.073,98.0816,102.663,111.827,98.0816,110.3,110.3,106.736,102.663,107.245,101.538,96.5544,105.718,109.576,98.0816,93.4999,93.4999,102.663,107.28,105.718,102.663,96.5544,98.0816,93.4999,93.4999,93.4999,116.409,98.0816,101.136,98.0816,107.754,98.0816,98.0816,111.827,98.0816,98.0816,105.718,-6.0827,-4.07866,-5.85641,-7.99947,-3.64753,-3.60844,-3.66028,-3.66166,-3.97737,-3.89295,-3.76008,-4.12559,-3.98277,-3.68332,-3.63107,-3.93483,-3.63252,-3.61269,-3.63107,-3.68332,-3.70307,-3.93483,-3.78366,-3.60794,-3.63107,-3.60515,-3.64573,-3.82426,-4.28039,-3.61269,-4.23023,-3.62257,-3.60794,-3.93483,-4.57059,-3.82347,-3.60844,-3.60515,-3.72995,-3.63536,-3.93483,-3.62142,-3.61269,-3.61349,-7.26531,-7.26531,-3.60495,-3.62142,-3.98277,-3.63717,-3.70471,-3.6118,-4.47456,-3.61349,-3.70307,-3.70307,-3.62142,-4.28039,-3.68087,-3.97737,-4.0248,-3.93483,-3.62428,-3.63339,-3.63339,-3.70033,-3.93483,-3.89295,-3.93483,-4.08791,-3.61349,-3.93483,-3.61269,-3.61349,-3.61349,-3.64753,117.105,130.204,99.407,73.8536,101.979,111.001,113.539,93.1928,106.788,71.7606,137.816,108.562,94.5265,113.575,117.199,77.5335,96.6456,111.467,71.21,103.81,97.7792,98.5082,127.349,83.8751,86.1429,96.4319,84.7334,88.2197,108.576,128.244,138.663,89.0342,97.1817,96.5912,93.8989,133.483,104.896,105.771,87.3026,117.437,90.2079,98.0086,138.765,103.932,97.6619,114.59,96.6405,98.2173,106.248,101.411,117.421,112.935,108.45,82.318,106.209,111.198,71.7388,94.2996,101.549,99.2887,74.5112,93.8061,107.437,76.5098,82.5189,107.217,101.016,96.1301,100.74,101.479,115.442,98.6916,100.861,111.922,95.19,119.506
-232.033,0.996564,0.221566,4,15,0,234.711,105.785,1.12285,12.912,105.05,107.296,103.927,98.3128,107.296,109.541,114.033,105.067,105.05,103.927,111.787,99.4357,108.418,106.173,112.91,101.681,100.559,111.787,112.91,106.173,98.3128,101.681,109.541,103.927,112.91,110.664,106.173,107.296,108.444,111.787,115.156,108.418,103.927,101.681,102.804,110.664,109.541,110.664,105.05,106.086,101.681,105.05,111.787,101.681,110.664,110.664,108.044,105.05,108.418,104.223,100.559,107.296,110.132,101.681,98.3128,98.3128,105.05,108.444,107.296,105.05,100.559,101.681,98.3128,98.3128,98.3128,115.156,101.681,103.927,101.681,108.793,101.681,101.681,111.787,101.681,101.681,107.296,-7.16141,-3.96115,-6.92913,-10.4772,-3.49903,-3.47773,-3.52587,-3.6379,-4.15638,-4.0588,-3.67939,-3.81181,-3.87936,-3.52102,-3.50249,-3.68463,-3.47803,-3.48667,-3.50249,-3.52102,-3.48563,-3.68463,-3.75012,-3.52335,-3.50249,-3.47842,-3.59137,-3.85975,-4.47249,-3.48667,-4.16595,-3.4846,-3.52335,-3.68463,-4.3639,-3.73849,-3.47773,-3.47842,-3.55058,-3.48483,-3.68463,-3.55358,-3.48667,-3.48557,-8.11754,-8.11754,-3.48279,-3.55358,-3.87936,-3.48034,-3.81144,-3.50967,-4.66555,-3.48557,-3.48563,-3.48563,-3.55358,-4.47249,-3.63672,-4.15638,-3.74444,-3.68463,-3.48823,-3.68434,-3.68434,-3.55681,-3.68463,-4.0588,-3.68463,-4.19385,-3.48557,-3.68463,-3.48667,-3.48557,-3.48557,-3.49903,108.925,103.373,95.2718,100.134,104.662,118.163,116.696,99.3813,114.908,116.454,107.486,93.5195,90.6983,105.549,113.061,87.1784,100.231,106.457,111.356,96.263,122.931,115.21,108.095,99.4109,121.364,107.31,107.942,108.297,91.9646,118.132,122.547,88.1625,100.942,121.475,117.88,109.667,89.7097,97.4127,109.022,79.2909,108.33,123.426,131.382,87.1915,116.543,119.624,94.7858,93.2337,91.2909,115.225,108.532,131.856,103.164,84.3678,76.603,101.487,77.7093,107.086,119.635,109.64,107.537,108.758,113.704,110.136,90.7362,97.0844,100.481,99.2825,85.8046,90.8621,101.571,106.002,120.184,104.521,107.555,102.716
