# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 17:36:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.99999999900000003
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\xwli99gf.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621193626_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.21014
# Diagonal elements of inverse mass matrix:
# 2.30165, 0.148161, 0.00828457
-231.592,0.999733,0.21014,4,15,0,232.614,103.839,1.21989,12.3087,103.04,105.48,101.82,95.7208,105.48,107.92,112.799,103.058,103.04,101.82,110.359,96.9407,106.7,104.26,111.579,99.3804,98.1605,110.359,111.579,104.26,95.7208,99.3804,107.92,101.82,111.579,109.14,104.26,105.48,106.727,110.359,114.019,106.7,101.82,99.3804,100.6,109.14,107.92,109.14,103.04,104.166,99.3804,103.04,110.359,99.3804,109.14,109.14,106.293,103.04,106.7,102.141,98.1605,105.48,108.562,99.3804,95.7208,95.7208,103.04,106.727,105.48,103.04,98.1605,99.3804,95.7208,95.7208,95.7208,114.019,99.3804,101.82,99.3804,107.106,99.3804,99.3804,110.359,99.3804,99.3804,105.48,-7.03196,-4.12505,-6.77083,-10.328,-3.49667,-3.44353,-3.4551,-3.52244,-3.99043,-3.89035,-3.73597,-3.99209,-4.01304,-3.53798,-3.43748,-3.80143,-3.44041,-3.42967,-3.43748,-3.53798,-3.48968,-3.80143,-3.63624,-3.44018,-3.43748,-3.43169,-3.48914,-3.72583,-4.32793,-3.42967,-4.07786,-3.46519,-3.44018,-3.80143,-4.67128,-3.8185,-3.44353,-3.43169,-3.58911,-3.47028,-3.80143,-3.45975,-3.42967,-3.43051,-8.93926,-8.93926,-3.4297,-3.45975,-4.01304,-3.46141,-3.64902,-3.43647,-4.53884,-3.43051,-3.48968,-3.48968,-3.45975,-4.32793,-3.52835,-3.99043,-3.89185,-3.80143,-3.4307,-3.53725,-3.53725,-3.48255,-3.80143,-3.89035,-3.80143,-4.05529,-3.43051,-3.80143,-3.42967,-3.43051,-3.43051,-3.49667,111.13,111.308,88.9477,89.691,128.579,109.741,114.495,119.094,78.9955,105.688,114.695,98.1383,97.7978,112.728,95.369,85.6994,95.9377,116.775,114.655,114.705,109.948,94.9221,99.4442,110.875,115.504,85.2391,102.707,107.572,121.364,115.476,108.036,101.139,116.642,97.7022,99.753,116.62,131.869,108.139,92.3296,88.4804,102.889,99.2392,108.499,83.6458,96.4481,103.011,94.3572,107.693,95.629,91.6272,84.8577,123.998,99.6757,66.3748,103.794,112.371,110.879,108.918,106.703,112.788,81.3994,102.352,92.3038,85.8074,103.025,87.5965,101.592,98.7958,109.561,102.807,82.3583,104.504,89.4817,115.991,105.141,133.22
-231.484,0.998229,0.21014,4,15,0,231.952,104.378,1.14422,13.1777,103.628,105.917,102.484,96.763,105.917,108.205,112.782,103.646,103.628,102.484,110.494,97.9073,107.061,104.773,111.638,100.196,99.0515,110.494,111.638,104.773,96.763,100.196,108.205,102.484,111.638,109.349,104.773,105.917,107.087,110.494,113.926,107.061,102.484,100.196,101.34,109.349,108.205,109.349,103.628,104.685,100.196,103.628,110.494,100.196,109.349,109.349,106.68,103.628,107.061,102.785,99.0515,105.917,108.807,100.196,96.763,96.763,103.628,107.087,105.917,103.628,99.0515,100.196,96.763,96.763,96.763,113.926,100.196,102.484,100.196,107.442,100.196,100.196,110.494,100.196,100.196,105.917,-6.75359,-4.06854,-6.53578,-9.7939,-3.54547,-3.50674,-3.51975,-3.59774,-4.03225,-3.94622,-3.75767,-3.91852,-3.97951,-3.57615,-3.50519,-3.77424,-3.50006,-3.49817,-3.50519,-3.57615,-3.52764,-3.77424,-3.69132,-3.51523,-3.50519,-3.49868,-3.56305,-3.78063,-4.31606,-3.49817,-4.05589,-3.52234,-3.51523,-3.77424,-4.50004,-3.82408,-3.50674,-3.49868,-3.61436,-3.52351,-3.77424,-3.53537,-3.49817,-3.49758,-8.25543,-8.25543,-3.49747,-3.53537,-3.97951,-3.51514,-3.73337,-3.50805,-4.49166,-3.49758,-3.52764,-3.52764,-3.53537,-4.31606,-3.59827,-4.03225,-3.84261,-3.77424,-3.49788,-3.62916,-3.62916,-3.54185,-3.77424,-3.94622,-3.77424,-4.07064,-3.49758,-3.77424,-3.49817,-3.49758,-3.49758,-3.54547,96.0629,100.183,118.672,85.507,134.503,104.773,137.587,90.2039,117.578,99.7623,115.689,97.0057,106.532,108.646,99.0798,103.561,71.4733,116.892,103.216,99.4038,96.4981,115.978,129.339,89.9134,132.509,106.876,86.7134,95.125,123.255,106.085,120.976,96.2352,95.336,116.392,94.9574,107.19,132.489,113.578,117.425,96.4721,100.241,97.2641,88.2712,97.2665,115.293,107.218,103.108,98.5538,125.015,94.5443,98.0981,118.646,109.07,113.431,91.8208,89.5935,101.203,104.98,102.361,91.1023,97.5382,98.2932,86.2546,91.7671,114.949,116.74,99.6252,100.161,110.771,132.908,116.327,117.763,120.33,104.783,94.7781,104.249
-232.104,0.991578,0.21014,3,11,0,232.862,103.27,1.09662,11.9172,102.551,104.745,101.455,95.9716,104.745,106.938,111.324,102.568,102.551,101.455,109.131,97.0682,105.841,103.648,110.228,99.2615,98.1648,109.131,110.228,103.648,95.9716,99.2615,106.938,101.455,110.228,108.034,103.648,104.745,105.866,109.131,112.421,105.841,101.455,99.2615,100.358,108.034,106.938,108.034,102.551,103.564,99.2615,102.551,109.131,99.2615,108.034,108.034,105.476,102.551,105.841,101.743,98.1648,104.745,107.515,99.2615,95.9716,95.9716,102.551,105.866,104.745,102.551,98.1648,99.2615,95.9716,95.9716,95.9716,112.421,99.2615,101.455,99.2615,106.207,99.2615,99.2615,109.131,99.2615,99.2615,104.745,-7.12733,-4.21627,-6.88022,-10.8374,-3.49416,-3.42994,-3.4031,-3.47883,-3.95155,-3.85887,-3.81283,-3.98568,-4.10271,-3.53898,-3.39711,-3.80291,-3.40878,-3.39958,-3.39711,-3.53898,-3.45406,-3.80291,-3.56638,-3.40437,-3.39711,-3.41053,-3.44378,-3.66614,-4.25814,-3.39958,-3.94008,-3.45782,-3.40437,-3.80291,-4.7552,-3.90099,-3.42994,-3.41053,-3.59226,-3.45694,-3.80291,-3.41984,-3.39958,-3.39884,-9.59711,-9.59711,-3.40192,-3.41984,-4.10271,-3.44054,-3.63162,-3.39888,-4.44932,-3.39884,-3.45406,-3.45406,-3.41984,-4.25814,-3.47618,-3.95155,-3.89006,-3.80291,-3.39753,-3.52247,-3.52247,-3.41756,-3.80291,-3.85887,-3.80291,-3.98038,-3.39884,-3.80291,-3.39958,-3.39884,-3.39884,-3.49416,107.789,101.084,95.2033,92.7305,124.158,85.4801,98.3865,114.675,107.505,99.0115,104.371,91.3724,118.2,102.721,107.298,108.179,101.665,96.3459,97.7962,140.034,76.5743,108.715,99.246,114.002,95.7412,91.8866,102.277,111.37,81.2487,88.2358,114.232,103.806,90.2196,105.66,112.732,123.93,103.956,124.696,91.3204,117.248,113.769,89.6114,121.553,96.2853,113.439,101.856,124.626,98.2895,107.016,89.3803,136.897,76.5607,125.506,120.929,100.483,99.0727,88.9791,117.994,94.7716,88.5751,104.211,76.2044,93.0821,106.571,106.721,118.275,77.1948,123.624,110.494,107.048,100.512,98.7964,115.227,63.4743,101.778,102.138
-231.475,0.999948,0.21014,3,15,0,232.234,104.279,1.05289,12.7561,103.59,105.695,102.537,97.2722,105.695,107.801,112.013,103.605,103.59,102.537,109.907,98.3251,106.748,104.642,110.96,100.431,99.378,109.907,110.96,104.642,97.2722,100.431,107.801,102.537,110.96,108.854,104.642,105.695,106.772,109.907,113.066,106.748,102.537,100.431,101.484,108.854,107.801,108.854,103.59,104.561,100.431,103.59,109.907,100.431,108.854,108.854,106.397,103.59,106.748,102.814,99.378,105.695,108.355,100.431,97.2722,97.2722,103.59,106.772,105.695,103.59,99.378,100.431,97.2722,97.2722,97.2722,113.066,100.431,102.537,100.431,107.099,100.431,100.431,109.907,100.431,100.431,105.695,-6.93187,-4.09371,-6.71793,-10.3316,-3.52189,-3.4798,-3.47739,-3.5705,-4.03242,-3.94789,-3.77797,-3.88378,-4.00456,-3.55315,-3.46778,-3.74632,-3.46614,-3.46497,-3.46778,-3.55315,-3.48781,-3.74632,-3.65195,-3.48472,-3.46778,-3.46898,-3.53117,-3.75379,-4.30623,-3.46497,-3.98951,-3.49744,-3.48472,-3.74632,-4.51846,-3.84669,-3.4798,-3.46898,-3.59122,-3.49507,-3.74632,-3.50454,-3.46497,-3.46552,-8.66718,-8.66718,-3.46517,-3.50454,-4.00456,-3.48338,-3.73519,-3.47378,-4.47494,-3.46552,-3.48781,-3.48781,-3.50454,-4.30623,-3.56462,-4.03242,-3.81164,-3.74632,-3.46736,-3.62745,-3.62745,-3.49382,-3.74632,-3.94789,-3.74632,-4.04724,-3.46552,-3.74632,-3.46497,-3.46552,-3.46552,-3.52189,97.0237,116.931,113.632,108.005,111.277,95.6607,104.594,100.07,121.144,106.373,133.465,123.997,94.1944,76.126,106.209,101.786,112.703,121.353,98.8841,92.5388,94.1092,77.5787,107.366,89.195,115.918,100.102,103.77,87.8243,96.9707,97.9845,136.58,98.664,100.535,101.86,106.688,117.462,99.3457,110.868,97.8364,83.0956,86.2282,102.735,126.113,110.957,111.257,122.614,94.1249,115.876,92.8157,118.629,103.178,90.9128,102.925,103.987,91.6159,97.6141,108.754,77.9265,104.313,95.1277,96.1156,98.7977,74.3401,93.194,108.246,118.26,80.1158,107.566,115.547,113.875,90.3419,115.746,124.425,100.052,76.0678,98.9163
-231.502,0.998317,0.21014,3,15,0,231.787,104.245,1.01923,12.9161,103.577,105.616,102.558,97.462,105.616,107.654,111.731,103.593,103.577,102.558,109.693,98.4812,106.635,104.597,110.712,100.52,99.5005,109.693,110.712,104.597,97.462,100.52,107.654,102.558,110.712,108.673,104.597,105.616,106.658,109.693,112.75,106.635,102.558,100.52,101.539,108.673,107.654,108.673,103.577,104.518,100.52,103.577,109.693,100.52,108.673,108.673,106.295,103.577,106.635,102.826,99.5005,105.616,108.191,100.52,97.462,97.462,103.577,106.658,105.616,103.577,99.5005,100.52,97.462,97.462,97.462,112.75,100.52,102.558,100.52,106.975,100.52,100.52,109.693,100.52,100.52,105.616,-6.85651,-4.09754,-6.65448,-10.2289,-3.53502,-3.49391,-3.4864,-3.57992,-4.02992,-3.95008,-3.79583,-3.87508,-4.01277,-3.56492,-3.47893,-3.74679,-3.47816,-3.4777,-3.47893,-3.56492,-3.49672,-3.74679,-3.65301,-3.49703,-3.47893,-3.48269,-3.54074,-3.75454,-4.28672,-3.4777,-3.96467,-3.51135,-3.49703,-3.74679,-4.49887,-3.86192,-3.49391,-3.48269,-3.60105,-3.50761,-3.74679,-3.51577,-3.4777,-3.47822,-8.59617,-8.59617,-3.47783,-3.51577,-4.01277,-3.49521,-3.74793,-3.48524,-4.44473,-3.47822,-3.49672,-3.49672,-3.51577,-4.28672,-3.57194,-4.02992,-3.80782,-3.74679,-3.48089,-3.6443,-3.6443,-3.50009,-3.74679,-3.95008,-3.74679,-4.03515,-3.47822,-3.74679,-3.4777,-3.47822,-3.47822,-3.53502,118.565,105.656,115.15,79.5689,107.1,102.772,107.236,94.9516,122.3,85.871,109.274,95.377,93.6603,110.734,97.5204,98.7701,103.826,112.075,112.667,124.645,124.008,100.89,113.555,83.9807,104.829,115.901,93.8458,118.934,104.118,115.927,104.501,93.0556,98.1506,79.939,111.028,112.602,124.221,115.453,136.954,113.111,114.788,90.3241,110.198,106.413,107.151,110.012,106.918,108.106,105.185,120.113,79.5615,96.142,118.48,103.238,100.35,105.419,124.161,110.804,88.7792,115.339,100.212,111.564,105.433,97.6026,116.845,106.876,104.116,96.3228,102.114,103.517,106.985,86.963,141.598,112.891,106.863,107.676
-231.784,0.981355,0.21014,2,7,0,233.988,104.078,0.868745,12.661,103.509,105.246,102.64,98.2963,105.246,106.984,110.459,103.522,103.509,102.64,108.721,99.1651,106.115,104.378,109.59,100.903,100.034,108.721,109.59,104.378,98.2963,100.903,106.984,102.64,109.59,107.853,104.378,105.246,106.135,108.721,111.327,106.115,102.64,100.903,101.771,107.853,106.984,107.853,103.509,104.311,100.903,103.509,108.721,100.903,107.853,107.853,105.825,103.509,106.115,102.869,100.034,105.246,107.441,100.903,98.2963,98.2963,103.509,106.135,105.246,103.509,100.034,100.903,98.2963,98.2963,98.2963,111.327,100.903,102.64,100.903,106.405,100.903,100.903,108.721,100.903,100.903,105.246,-6.95973,-4.13641,-6.78049,-10.7329,-3.52795,-3.48584,-3.45812,-3.56158,-4.02667,-3.95581,-3.85425,-3.82364,-4.05881,-3.55607,-3.45799,-3.71562,-3.45747,-3.46257,-3.45799,-3.55607,-3.46652,-3.71562,-3.6096,-3.47921,-3.45799,-3.47185,-3.51724,-3.72413,-4.24691,-3.46257,-3.85769,-3.50454,-3.47921,-3.71562,-4.4939,-3.91773,-3.48584,-3.47185,-3.58889,-3.49314,-3.71562,-3.49587,-3.46257,-3.46001,-8.99829,-8.99829,-3.45968,-3.49587,-4.05881,-3.47535,-3.77149,-3.46231,-4.38188,-3.46001,-3.46652,-3.46652,-3.49587,-4.24691,-3.54332,-4.02667,-3.76727,-3.71562,-3.46886,-3.67215,-3.67215,-3.46296,-3.71562,-3.95581,-3.71562,-3.99039,-3.46001,-3.71562,-3.46257,-3.46001,-3.46001,-3.52795,111.012,92.2652,100.031,97.5905,102.789,115.581,108.452,82.803,83.6751,102.107,107.023,103.558,116.986,98.0433,105.115,79.3647,123.332,89.641,110.1,117.184,102.119,98.5234,92.1124,103.825,115.055,123.697,91.3633,105.431,134.682,93.4305,108.589,92.2498,91.743,134.016,100.743,124.479,109.524,112.569,106.862,83.0054,105.736,96.4776,131.48,84.2154,99.6294,123.515,111.743,118.129,100.382,94.5023,101.862,104.605,94.9119,88.4438,94.6737,106.983,105.375,101.324,98.8395,112.326,112.835,104.638,85.3177,94.9451,109.161,101.718,100.14,89.2408,102.46,119.842,103.341,107.773,112.616,74.2348,99.5878,105.972
