# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 17:36:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.99999999900000003
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\xwli99gf.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621193626_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.0957005
# Diagonal elements of inverse mass matrix:
# 2.40767, 0.124393, 0.00532178
-233.626,0.998855,0.0957005,5,31,0,236.416,104.279,0.933318,11.0636,103.668,105.535,102.735,98.0682,105.535,107.401,111.135,103.682,103.668,102.735,109.268,99.0015,106.468,104.601,110.201,100.868,99.9348,109.268,110.201,104.601,98.0682,100.868,107.401,102.735,110.201,108.335,104.601,105.535,106.489,109.268,112.068,106.468,102.735,100.868,101.801,108.335,107.401,108.335,103.668,104.53,100.868,103.668,109.268,100.868,108.335,108.335,106.157,103.668,106.468,102.98,99.9348,105.535,107.893,100.868,98.0682,98.0682,103.668,106.489,105.535,103.668,99.9348,100.868,98.0682,98.0682,98.0682,112.068,100.868,102.735,100.868,106.779,100.868,100.868,109.268,100.868,100.868,105.535,-7.95295,-4.17733,-7.69979,-12.7609,-3.40405,-3.35018,-3.32786,-3.46662,-4.08572,-3.98506,-3.79307,-3.81673,-4.07059,-3.44165,-3.32277,-3.66324,-3.32262,-3.32479,-3.32277,-3.44165,-3.33784,-3.66324,-3.54637,-3.35315,-3.32277,-3.33393,-3.40909,-3.69396,-4.40306,-3.32479,-3.9175,-3.37356,-3.35315,-3.66324,-4.67545,-3.87846,-3.35018,-3.33393,-3.48637,-3.36346,-3.66324,-3.37756,-3.32479,-3.32568,-10.4139,-10.4139,-3.32366,-3.37756,-4.07059,-3.34389,-3.72578,-3.33222,-4.59758,-3.32568,-3.33784,-3.33784,-3.37756,-4.40306,-3.44773,-4.08572,-3.73642,-3.66324,-3.33417,-3.58851,-3.58851,-3.34007,-3.66324,-3.98506,-3.66324,-4.0611,-3.32568,-3.66324,-3.32479,-3.32568,-3.32568,-3.40405,93.3598,114.219,89.1483,97.0744,103.513,107.996,115.751,117.985,112.781,109.184,115.39,90.9809,95.6544,111.727,114.335,117.529,98.1433,92.7586,110.78,125.606,88.7766,119.836,89.3767,118.798,118.227,112.053,109.033,104.682,107.258,110.802,119.169,108.909,98.3343,104.658,98.8081,115.145,120.793,104.578,117.294,103.802,102.636,114.188,108.056,110.398,108.404,105.499,111.899,96.1159,118.692,98.1724,109.784,119.27,100.012,100.746,106.238,93.4087,105.276,105.46,128.094,104.18,115.258,100.285,80.517,102.037,84.0552,112.567,82.5262,91.8587,111.133,109.491,93.3184,99.1012,121.464,84.861,100.359,97.8665
-234.163,0.998604,0.0957005,4,15,0,234.594,104.737,0.875805,10.9656,104.163,105.915,103.288,98.9086,105.915,107.667,111.17,104.177,104.163,103.288,109.418,99.7844,106.791,105.039,110.294,101.536,100.66,109.418,110.294,105.039,98.9086,101.536,107.667,103.288,110.294,108.542,105.039,105.915,106.811,109.418,112.046,106.791,103.288,101.536,102.412,108.542,107.667,108.542,104.163,104.972,101.536,104.163,109.418,101.536,108.542,108.542,106.499,104.163,106.791,103.518,100.66,105.915,108.128,101.536,98.9086,98.9086,104.163,106.811,105.915,104.163,100.66,101.536,98.9086,98.9086,98.9086,112.046,101.536,103.288,101.536,107.083,101.536,101.536,109.418,101.536,101.536,105.915,-8.16691,-4.13863,-7.92127,-13.2603,-3.38309,-3.33634,-3.31939,-3.48574,-4.14785,-4.04788,-3.77931,-3.74764,-4.03923,-3.41603,-3.31406,-3.61159,-3.31551,-3.31511,-3.31406,-3.41603,-3.31865,-3.61159,-3.55811,-3.35865,-3.31406,-3.32253,-3.41929,-3.72249,-4.45747,-3.31511,-3.91705,-3.35652,-3.35865,-3.61159,-4.60001,-3.85957,-3.33634,-3.32253,-3.45535,-3.34447,-3.61159,-3.38578,-3.31511,-3.32351,-10.4605,-10.4605,-3.31382,-3.38578,-4.03923,-3.32636,-3.78624,-3.32895,-4.64634,-3.32351,-3.31865,-3.31865,-3.38578,-4.45747,-3.45919,-4.14785,-3.67643,-3.61159,-3.34017,-3.64371,-3.64371,-3.3311,-3.61159,-4.04788,-3.61159,-4.0998,-3.32351,-3.61159,-3.31511,-3.32351,-3.32351,-3.38309,91.4719,98.5332,106.587,101.403,90.4549,114.672,103.839,96.4556,91.3747,95.5497,125.737,86.3771,108.724,116.96,105.748,109.098,91.9374,102.515,117.533,99.4593,95.247,123.47,103.425,116.166,102.786,92.5841,97.5695,108.437,108.084,112.194,122.721,93.8244,111.971,106.001,109.496,101.842,118.773,113.006,113.824,101.247,114.681,104.458,108.812,106.714,122.052,105.005,104.387,119.755,102.86,104.803,84.3558,98.6164,94.5022,103.532,85.3879,99.4056,109.549,113.941,95.2259,93.9818,84.5463,102.827,96.6581,108.99,99.8977,110.634,97.1502,97.1563,106.791,101.098,121.5,121.501,102.215,79.3383,89.4809,123.859
-232.076,1,0.0957005,5,31,0,234.575,103.299,1.36214,12.0477,102.407,105.131,101.045,94.2339,105.131,107.855,113.304,102.427,102.407,101.045,110.58,95.5961,106.493,103.769,111.942,98.3203,96.9582,110.58,111.942,103.769,94.2339,98.3203,107.855,101.045,111.942,109.217,103.769,105.131,106.524,110.58,114.666,106.493,101.045,98.3203,99.6825,109.217,107.855,109.217,102.407,103.664,98.3203,102.407,110.58,98.3203,109.217,109.217,106.039,102.407,106.493,101.403,96.9582,105.131,108.572,98.3203,94.2339,94.2339,102.407,106.524,105.131,102.407,96.9582,98.3203,94.2339,94.2339,94.2339,114.666,98.3203,101.045,98.3203,106.947,98.3203,98.3203,110.58,98.3203,98.3203,105.131,-7.02552,-4.1694,-6.72778,-10.148,-3.48948,-3.42366,-3.44542,-3.48336,-3.93806,-3.82802,-3.71351,-4.12251,-4.03626,-3.54156,-3.4208,-3.87773,-3.43969,-3.40897,-3.4208,-3.54156,-3.52234,-3.87773,-3.62038,-3.41157,-3.4208,-3.40992,-3.45675,-3.69503,-4.32287,-3.40897,-4.14876,-3.45018,-3.41157,-3.87773,-4.82982,-3.80831,-3.42366,-3.40992,-3.60643,-3.46371,-3.87773,-3.42777,-3.40897,-3.41753,-9.13721,-9.13721,-3.40917,-3.42777,-4.03626,-3.45914,-3.5746,-3.41222,-4.56733,-3.41753,-3.52234,-3.52234,-3.42777,-4.32287,-3.49851,-3.93806,-3.99373,-3.87773,-3.42376,-3.46956,-3.46956,-3.48281,-3.87773,-3.82802,-3.87773,-4.04626,-3.41753,-3.87773,-3.40897,-3.41753,-3.41753,-3.48948,115.741,104.809,105.775,92.2486,111.168,121.424,130.169,89.6288,121.082,108.907,101.401,95.2543,102.257,75.6117,97.5093,97.0893,87.3968,94.9,117.186,81.9038,103.622,111.733,106.366,92.4424,101.413,124.452,91.9042,113.272,128.21,110.947,110.215,127.786,105.692,99.8039,97.2571,132.883,118.041,117.295,93.1086,84.4116,93.3388,118.764,108.723,80.6946,125.219,121.812,122.807,110.829,104.061,95.2817,115.179,113.463,103.273,113.796,107.146,97.5202,99.6004,113.029,93.1982,92.5433,127.199,72.9836,88.2426,78.6202,93.8247,109.462,103.203,106.134,103.826,113.828,117.329,93.8368,113.886,116.656,120.936,103.698
-233.437,0.997837,0.0957005,4,15,0,233.695,102.496,1.17694,11.3729,101.725,104.079,100.548,94.6637,104.079,106.433,111.141,101.743,101.725,100.548,108.787,95.8407,105.256,102.902,109.964,98.1945,97.0176,108.787,109.964,102.902,94.6637,98.1945,106.433,100.548,109.964,107.61,102.902,104.079,105.283,108.787,112.318,105.256,100.548,98.1945,99.3715,107.61,106.433,107.61,101.725,102.812,98.1945,101.725,108.787,98.1945,107.61,107.61,104.864,101.725,105.256,100.858,97.0176,104.079,107.053,98.1945,94.6637,94.6637,101.725,105.283,104.079,101.725,97.0176,98.1945,94.6637,94.6637,94.6637,112.318,98.1945,100.548,98.1945,105.648,98.1945,98.1945,108.787,98.1945,98.1945,104.079,-7.24095,-4.33001,-6.95763,-11.0616,-3.48569,-3.39936,-3.35521,-3.41199,-3.88164,-3.7803,-3.83621,-4.12519,-4.1905,-3.54492,-3.35018,-3.88893,-3.38456,-3.35586,-3.35018,-3.54492,-3.46025,-3.88893,-3.51015,-3.35134,-3.35018,-3.37226,-3.38274,-3.6025,-4.22659,-3.35586,-3.9367,-3.43717,-3.35134,-3.88893,-4.99516,-3.9436,-3.39936,-3.37226,-3.61486,-3.44226,-3.88893,-3.36168,-3.35586,-3.36278,-10.2964,-10.2964,-3.36274,-3.36168,-4.1905,-3.42519,-3.54055,-3.3502,-4.44473,-3.36278,-3.46025,-3.46025,-3.36168,-4.22659,-3.4145,-3.88164,-4.00171,-3.88893,-3.36164,-3.43426,-3.43426,-3.37094,-3.88893,-3.7803,-3.88893,-3.93645,-3.36278,-3.88893,-3.35586,-3.36278,-3.36278,-3.48569,89.0358,106.985,77.9739,93.2688,111.675,124.747,107.597,113.714,86.384,97.853,113.029,99.2691,107.258,114.647,105.439,117.229,101.058,96.1102,123.144,117.79,98.8968,90.1453,93.2089,89.0805,121.146,102.622,90.7657,105.829,105.536,119.586,105.928,127.352,81.5143,91.2439,99.0759,85.9094,123.111,96.4741,93.18,102.575,95.1527,92.3582,109.743,93.0314,106.217,113.711,119.515,106.679,107.519,90.5262,94.0448,99.6131,103.785,101.169,105.716,97.6384,113.032,97.0509,94.7697,115.01,110.442,84.3443,90.0501,100.938,86.9961,107.523,109.629,78.4061,87.517,99.8611,92.129,101.349,117.749,92.8439,101.591,115.211
-233.286,0.999998,0.0957005,4,15,0,233.585,102.413,1.15984,11.5018,101.653,103.973,100.493,94.6942,103.973,106.293,110.932,101.671,101.653,100.493,108.612,95.8541,105.133,102.813,109.772,98.1737,97.0139,108.612,109.772,102.813,94.6942,98.1737,106.293,100.493,109.772,107.452,102.813,103.973,105.159,108.612,112.092,105.133,100.493,98.1737,99.3336,107.452,106.293,107.452,101.653,102.724,98.1737,101.653,108.612,98.1737,107.452,107.452,104.746,101.653,105.133,100.799,97.0139,103.973,106.903,98.1737,94.6942,94.6942,101.653,105.159,103.973,101.653,97.0139,98.1737,94.6942,94.6942,94.6942,112.092,98.1737,100.493,98.1737,105.519,98.1737,98.1737,108.612,98.1737,98.1737,103.973,-7.14826,-4.33228,-6.87583,-10.9113,-3.49874,-3.41339,-3.36473,-3.41971,-3.8747,-3.77761,-3.85157,-4.11775,-4.19685,-3.55666,-3.36164,-3.89005,-3.39514,-3.36872,-3.36164,-3.55666,-3.46784,-3.89005,-3.5111,-3.36236,-3.36164,-3.38597,-3.39135,-3.6017,-4.2043,-3.36872,-3.91405,-3.45098,-3.36236,-3.89005,-4.97568,-3.95649,-3.41339,-3.38597,-3.62476,-3.45474,-3.89005,-3.37177,-3.36872,-3.37405,-10.2035,-10.2035,-3.37538,-3.37177,-4.19685,-3.43678,-3.54738,-3.36145,-4.41268,-3.37405,-3.46784,-3.46784,-3.37177,-4.2043,-3.4211,-3.8747,-3.99882,-3.89005,-3.37226,-3.44473,-3.44473,-3.37798,-3.89005,-3.77761,-3.89005,-3.9227,-3.37405,-3.89005,-3.36872,-3.37405,-3.37405,-3.49874,86.9209,107.147,113.257,91.9757,98.6467,114.546,133.246,104.992,120.433,102.215,117.412,95.9048,120.585,120.984,95.5587,95.8659,99.6267,116.089,111.278,104.677,84.6363,88.2205,102.921,84.3375,87.0905,116.518,86.7926,117.455,100.56,84.1111,109.918,117.965,100.501,94.4081,99.3985,85.99,103.348,110.279,101.276,100.559,87.0628,97.92,134.528,95.9871,109.633,120.339,97.6079,73.1202,106.078,102.611,91.312,106.306,116.905,90.6628,72.5956,75.2662,100.858,89.217,97.2634,87.3754,100.521,96.0489,99.6676,60.5818,93.2583,102.251,106.757,93.5243,118.587,84.5439,104.123,88.2624,116.39,121.592,96.0691,107.248
-231.801,0.999705,0.0957005,5,31,0,233.821,103.859,1.1042,12.0278,103.136,105.344,102.031,96.5104,105.344,107.552,111.969,103.152,103.136,102.031,109.761,97.6146,106.448,104.24,110.865,99.823,98.7188,109.761,110.865,104.24,96.5104,99.823,107.552,102.031,110.865,108.657,104.24,105.344,106.473,109.761,113.073,106.448,102.031,99.823,100.927,108.657,107.552,108.657,103.136,104.155,99.823,103.136,109.761,99.823,108.657,108.657,106.08,103.136,106.448,102.322,98.7188,105.344,108.134,99.823,96.5104,96.5104,103.136,106.473,105.344,103.136,98.7188,99.823,96.5104,96.5104,96.5104,113.073,99.823,102.031,99.823,106.816,99.823,99.823,109.761,99.823,99.823,105.344,-7.20096,-4.14854,-6.95226,-10.8827,-3.48108,-3.42686,-3.41956,-3.50723,-4.0025,-3.90646,-3.76851,-3.93633,-4.04089,-3.52083,-3.40874,-3.76412,-3.41183,-3.40635,-3.40874,-3.52083,-3.44824,-3.76412,-3.60329,-3.42042,-3.40874,-3.41239,-3.46828,-3.70792,-4.31854,-3.40635,-3.99687,-3.44976,-3.42042,-3.76412,-4.66343,-3.85087,-3.42686,-3.41239,-3.56901,-3.44941,-3.76412,-3.44014,-3.40635,-3.40626,-9.31377,-9.31377,-3.40735,-3.44014,-4.04089,-3.43605,-3.66889,-3.4124,-4.51455,-3.40626,-3.44824,-3.44824,-3.44014,-4.31854,-3.50486,-4.0025,-3.84601,-3.76412,-3.40621,-3.55265,-3.55265,-3.4388,-3.76412,-3.90646,-3.76412,-4.03446,-3.40626,-3.76412,-3.40635,-3.40626,-3.40626,-3.48108,90.373,113.63,104.242,83.7981,122.487,135.834,109.618,94.6629,119.789,85.5676,112.725,87.3451,107.318,105.035,122.855,102.321,93.8393,98.8942,140.324,112.091,96.827,101.208,105.495,103.798,99.6185,113.303,90.64,108.702,108.554,113.82,117.72,94.9403,106.232,103.153,99.5186,93.9562,102.897,110.036,100.847,93.2316,96.0786,81.8153,125.345,116.827,108.322,104.022,98.8696,92.8233,110.208,91.1565,97.5374,115.511,117.668,98.2213,92.9932,91.9477,107.577,113.798,119.897,96.0232,102.026,87.1253,95.5514,101.369,97.6915,100.397,109.345,83.454,90.4995,97.8672,95.2374,77.6872,104.699,107.667,116.183,113.963
