# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 17:37:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.99999999900000003
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\s91cl0qa.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621193720_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.264988
# Diagonal elements of inverse mass matrix:
# 2.14095, 0.117114, 0.0072695
-231.489,0.971457,0.264988,4,15,0,235.252,104.358,1.14016,12.1834,103.612,105.892,102.471,96.7706,105.892,108.172,112.733,103.629,103.612,102.471,110.453,97.9107,107.032,104.752,111.593,100.191,99.0509,110.453,111.593,104.752,96.7706,100.191,108.172,102.471,111.593,109.312,104.752,105.892,107.058,110.453,113.873,107.032,102.471,100.191,101.331,109.312,108.172,109.312,103.612,104.664,100.191,103.612,110.453,100.191,109.312,109.312,106.652,103.612,107.032,102.771,99.0509,105.892,108.772,100.191,96.7706,96.7706,103.612,107.058,105.892,103.612,99.0509,100.191,96.7706,96.7706,96.7706,113.873,100.191,102.471,100.191,107.412,100.191,100.191,110.453,100.191,100.191,105.892,-7.22449,-4.08947,-6.97069,-10.7875,-3.47586,-3.43027,-3.44417,-3.53565,-4.0431,-3.94293,-3.72606,-3.91132,-3.98548,-3.5118,-3.42756,-3.74311,-3.42205,-3.4197,-3.42756,-3.5118,-3.45414,-3.74311,-3.64398,-3.43959,-3.42756,-3.42061,-3.49507,-3.74862,-4.37338,-3.4197,-4.06731,-3.44869,-3.43959,-3.74311,-4.593,-3.80378,-3.43027,-3.42061,-3.55649,-3.4499,-3.74311,-3.46295,-3.4197,-3.41914,-8.99545,-8.99545,-3.41901,-3.46295,-3.98548,-3.43993,-3.69495,-3.43107,-4.5777,-3.41914,-3.45414,-3.45414,-3.46295,-4.37338,-3.53595,-4.0431,-3.82284,-3.74311,-3.41951,-3.57343,-3.57343,-3.46954,-3.74311,-3.94293,-3.74311,-4.08668,-3.41914,-3.74311,-3.4197,-3.41914,-3.41914,-3.47586,102.527,130.833,109.886,97.5987,97.8479,92.7755,94.2982,106.385,115.59,82.0951,104.969,116.776,105.409,95.3006,108.195,96.0197,82.0046,93.8431,112.1,93.2468,81.482,107.22,99.5585,103.806,121.763,107.336,110.996,101.829,115.118,108.354,127.884,93.9004,88.3463,85.4936,108.811,98.3003,110.455,123.03,94.675,100.035,116.172,96.1016,121.205,107.232,111.696,135.78,112.913,108.504,92.4232,88.0124,96.0271,106.113,97.2282,97.2165,85.2619,80.6415,90.9948,93.3013,97.5671,84.1248,93.9776,109.91,93.5995,95.2304,85.192,100.134,110.591,97.6506,101.327,107.917,102.329,110.11,103.244,74.2617,92.1407,106.499
-232.039,0.981664,0.264988,3,15,0,233.381,105.614,1.37358,13.2988,104.714,107.462,103.341,96.473,107.462,110.209,115.703,104.735,104.714,103.341,112.956,97.8466,108.835,106.088,114.33,100.594,99.2202,112.956,114.33,106.088,96.473,100.594,110.209,103.341,114.33,111.582,106.088,107.462,108.866,112.956,117.077,108.835,103.341,100.594,101.967,111.582,110.209,111.582,104.714,105.982,100.594,104.714,112.956,100.594,111.582,111.582,108.377,104.714,108.835,103.702,99.2202,107.462,110.932,100.594,96.473,96.473,104.714,108.866,107.462,104.714,99.2202,100.594,96.473,96.473,96.473,117.077,100.594,103.341,100.594,109.293,100.594,100.594,112.956,100.594,100.594,107.462,-6.91357,-3.95107,-6.64929,-9.61247,-3.52483,-3.50674,-3.59857,-3.64478,-4.11873,-4.00978,-3.64689,-3.92419,-3.85902,-3.54988,-3.55961,-3.75675,-3.50833,-3.53131,-3.55961,-3.54988,-3.54178,-3.75675,-3.80125,-3.53817,-3.55961,-3.51369,-3.6114,-3.87801,-4.48896,-3.53131,-4.33104,-3.51045,-3.53817,-3.75675,-4.42593,-3.70693,-3.50674,-3.51369,-3.58559,-3.51488,-3.75675,-3.56945,-3.53131,-3.50761,-7.67921,-7.67921,-3.51489,-3.56945,-3.85902,-3.5135,-3.74695,-3.54049,-4.71873,-3.50761,-3.54178,-3.54178,-3.56945,-4.48896,-3.66402,-4.11873,-3.83514,-3.75675,-3.50663,-3.62507,-3.62507,-3.64819,-3.75675,-4.00978,-3.75675,-4.22672,-3.50761,-3.75675,-3.53131,-3.50761,-3.50761,-3.52483,92.2711,122.39,109.767,98.3876,115.7,95.4378,121.464,96.1205,95.3585,105.047,112.376,100.277,95.4026,117.754,85.2948,95.5852,78.639,107.641,96.2818,86.659,98.4652,104.997,121.337,115.472,111.074,96.3629,115.62,109.611,117.188,84.2717,119.412,98.9745,98.8155,119.676,83.5634,97.8543,97.0539,101.765,109.186,71.0359,88.983,125.953,96.2763,103.435,100.343,135.008,109.269,87.7662,128,106.212,88.6004,93.8874,124.479,90.4198,88.0438,65.758,105.544,123.565,96.9647,100.57,97.9681,83.2876,70.8471,108.863,114.755,95.711,120.066,138.314,113.953,115.09,96.076,114.828,117.083,103.833,72.6036,109.304
-232.229,0.997911,0.264988,4,15,0,232.906,105.681,1.4722,13.121,104.716,107.661,103.244,95.8833,107.661,110.605,116.494,104.739,104.716,103.244,113.55,97.3555,109.133,106.189,115.022,100.3,98.8277,113.55,115.022,106.189,95.8833,100.3,110.605,103.244,115.022,112.077,106.189,107.661,109.166,113.55,117.966,109.133,103.244,100.3,101.772,112.077,110.605,112.077,104.716,106.075,100.3,104.716,113.55,100.3,112.077,112.077,108.642,104.716,109.133,103.632,98.8277,107.661,111.38,100.3,95.8833,95.8833,104.716,109.166,107.661,104.716,98.8277,100.3,95.8833,95.8833,95.8833,117.966,100.3,103.244,100.3,109.624,100.3,100.3,113.55,100.3,100.3,107.661,-6.99345,-3.93534,-6.70288,-9.6074,-3.50905,-3.49422,-3.61564,-3.63523,-4.12214,-4.00259,-3.61399,-3.9575,-3.83612,-3.53534,-3.5664,-3.76642,-3.49715,-3.52975,-3.5664,-3.53534,-3.54237,-3.76642,-3.8198,-3.52372,-3.5664,-3.50569,-3.60439,-3.88806,-4.53506,-3.52975,-4.43061,-3.49534,-3.52372,-3.76642,-4.45811,-3.67544,-3.49422,-3.50569,-3.57423,-3.50075,-3.76642,-3.55776,-3.52975,-3.49342,-7.6698,-7.6698,-3.50449,-3.55776,-3.83612,-3.50089,-3.71948,-3.53208,-4.79285,-3.49342,-3.54237,-3.54237,-3.55776,-4.53506,-3.6636,-4.12214,-3.85566,-3.76642,-3.49389,-3.59368,-3.59368,-3.67746,-3.76642,-4.00259,-3.76642,-4.26388,-3.49342,-3.76642,-3.52975,-3.49342,-3.49342,-3.50905,108.904,94.5961,101.402,91.0431,101.633,104.52,143.047,120.105,107.798,91.6537,111.941,90.5222,100.375,90.336,115.189,118.039,115.077,107.068,135.186,113.112,100.233,89.8988,95.7032,102.693,93.2629,110.568,97.4606,86.8153,109.425,111.202,137.74,106.035,106.522,103.705,90.2261,108.876,118.525,107.612,100.621,113.801,142.418,110.087,111.942,88.9022,121.168,109.946,117.339,123.292,113.398,98.0604,96.9089,106.996,113.75,109.015,93.9011,91.7811,130.873,134.171,113.401,90.0401,85.7279,112.014,89.0848,96.7047,89.1006,95.7928,93.1547,89.6712,105.996,112.234,124.388,97.6544,109.625,98.4851,101.385,84.2516
-231.313,0.997577,0.264988,3,11,0,232.747,103.955,1.111,13.1733,103.227,105.449,102.116,96.5609,105.449,107.671,112.115,103.244,103.227,102.116,109.893,97.6719,106.56,104.338,111.004,99.8939,98.7829,109.893,111.004,104.338,96.5609,99.8939,107.671,102.116,111.004,108.782,104.338,105.449,106.585,109.893,113.226,106.56,102.116,99.8939,101.005,108.782,107.671,108.782,103.227,104.252,99.8939,103.227,109.893,99.8939,108.782,108.782,106.19,103.227,106.56,102.408,98.7829,105.449,108.256,99.8939,96.5609,96.5609,103.227,106.585,105.449,103.227,98.7829,99.8939,96.5609,96.5609,96.5609,113.226,99.8939,102.116,99.8939,106.93,99.8939,99.8939,109.893,99.8939,99.8939,105.449,-6.67812,-4.10719,-6.46895,-9.74346,-3.55681,-3.51276,-3.51002,-3.58427,-4.00121,-3.92009,-3.79146,-3.93503,-4.01758,-3.5895,-3.50003,-3.7914,-3.5014,-3.49716,-3.50003,-3.5895,-3.53121,-3.7914,-3.66667,-3.51003,-3.50003,-3.5014,-3.55135,-3.75438,-4.26824,-3.49716,-4.00114,-3.53123,-3.51003,-3.7914,-4.53672,-3.85972,-3.51276,-3.5014,-3.6293,-3.53122,-3.7914,-3.52713,-3.49716,-3.49716,-8.39217,-8.39217,-3.49779,-3.52713,-4.01758,-3.52061,-3.71939,-3.50318,-4.43378,-3.49716,-3.53121,-3.53121,-3.52713,-4.26824,-3.58268,-4.00121,-3.85966,-3.7914,-3.49722,-3.62116,-3.62116,-3.52711,-3.7914,-3.92009,-3.7914,-4.02981,-3.49716,-3.7914,-3.49716,-3.49716,-3.49716,-3.55681,105.258,88.0129,106.237,86.8613,109.203,126.355,94.2336,107.212,101.009,104.373,97.2935,101.082,112.751,113.591,85.8861,90.9985,99.421,104.501,115.201,124.882,118.699,86.3051,117.824,106.196,113.61,100.441,131.287,116.799,139.323,129.17,110.973,90.5983,91.2004,79.2526,110.916,113.975,111.761,98.4592,102.773,114.366,87.9627,86.158,100.605,119.069,115.432,121.139,97.8268,102.511,94.6281,95.415,104.205,104.524,93.4653,115.895,86.5463,84.301,108.79,104.913,101.569,111.522,105.996,89.3713,116.152,88.379,94.163,121.372,116.234,94.4623,95.2204,87.8005,88.444,88.2332,107.691,95.3214,94.9268,109.125
-233.103,0.966451,0.264988,3,15,0,234.92,101.528,1.398,13.7333,100.613,103.409,99.2146,92.2246,103.409,106.205,111.797,100.634,100.613,99.2146,109.001,93.6226,104.807,102.011,110.399,96.4186,95.0206,109.001,110.399,102.011,92.2246,96.4186,106.205,99.2146,110.399,107.603,102.011,103.409,104.838,109.001,113.195,104.807,99.2146,96.4186,97.8166,107.603,106.205,107.603,100.613,101.903,96.4186,100.613,109.001,96.4186,107.603,107.603,104.341,100.613,104.807,99.5825,95.0206,103.409,106.94,96.4186,92.2246,92.2246,100.613,104.838,103.409,100.613,95.0206,96.4186,92.2246,92.2246,92.2246,113.195,96.4186,99.2146,96.4186,105.273,96.4186,96.4186,109.001,96.4186,96.4186,103.409,-6.02315,-4.26853,-5.80142,-8.26538,-3.65394,-3.57695,-3.54732,-3.56089,-3.83734,-3.76386,-3.85951,-4.24983,-4.15073,-3.70798,-3.53918,-4.02776,-3.60449,-3.54141,-3.53918,-3.70798,-3.69904,-4.02776,-3.64082,-3.5404,-3.53918,-3.554,-3.54948,-3.68427,-4.10484,-3.54141,-4.0003,-3.61027,-3.5404,-4.02776,-4.84336,-3.94622,-3.57695,-3.554,-3.77238,-3.62761,-4.02776,-3.53976,-3.54141,-3.57277,-8.30416,-8.30416,-3.55311,-3.53976,-4.15073,-3.62431,-3.60559,-3.53969,-4.27943,-3.57277,-3.69904,-3.69904,-3.53976,-4.10484,-3.56956,-3.83734,-4.13362,-4.02776,-3.58466,-3.55188,-3.55188,-3.56582,-4.02776,-3.76386,-4.02776,-3.91666,-3.57277,-4.02776,-3.54141,-3.57277,-3.57277,-3.65394,105.066,137.636,112.95,87.3999,95.8513,102.35,81.324,82.8346,130.126,100.944,92.7802,77.4332,102.209,95.265,129.998,92.8865,96.7399,110.454,85.7187,98.09,92.4889,117.157,111.923,97.958,126.734,92.2909,104.871,104.807,96.8903,107.483,124.069,111.435,93.3648,119.553,96.6869,94.0317,108.677,96.3408,103.938,124.581,95.4102,110.288,109.003,94.9701,106.29,102.989,103.915,111.172,99.3174,114.154,104.533,88.1,105.576,128.22,109.997,70.8666,97.0715,103.307,117.054,104.203,103.841,77.5992,89.5435,60.2589,72.471,110.586,83.9626,87.8746,97.4815,120.215,77.4801,105.27,81.8169,82.3617,110.797,88.6718
-233.251,0.998959,0.264988,3,7,0,233.49,101.396,1.4657,13.4212,100.436,103.367,98.97,91.6415,103.367,106.299,112.161,100.458,100.436,98.97,109.23,93.1072,104.833,101.901,110.696,96.0386,94.5729,109.23,110.696,101.901,91.6415,96.0386,106.299,98.97,110.696,107.764,101.901,103.367,104.866,109.23,113.627,104.833,98.97,96.0386,97.5043,107.764,106.299,107.764,100.436,101.789,96.0386,100.436,109.23,96.0386,107.764,107.764,104.344,100.436,104.833,99.3557,94.5729,103.367,107.07,96.0386,91.6415,91.6415,100.436,104.866,103.367,100.436,94.5729,96.0386,91.6415,91.6415,91.6415,113.627,96.0386,98.97,96.0386,105.321,96.0386,96.0386,109.23,96.0386,96.0386,103.367,-6.08707,-4.2837,-5.84538,-8.32902,-3.6379,-3.55381,-3.52874,-3.53621,-3.81807,-3.73912,-3.83775,-4.30789,-4.15433,-3.69783,-3.51712,-4.05683,-3.59753,-3.51742,-3.51712,-3.69783,-3.70971,-4.05683,-3.6259,-3.51872,-3.51712,-3.52965,-3.52581,-3.66643,-4.11073,-3.51742,-4.03123,-3.58989,-3.51872,-4.05683,-4.92048,-3.93135,-3.55381,-3.52965,-3.76969,-3.61252,-4.05683,-3.5163,-3.51742,-3.55934,-8.46738,-8.46738,-3.53075,-3.5163,-4.15433,-3.61265,-3.57382,-3.51689,-4.30336,-3.55934,-3.70971,-3.70971,-3.5163,-4.11073,-3.54725,-3.81807,-4.1764,-4.05683,-3.57825,-3.52326,-3.52326,-3.55229,-4.05683,-3.73912,-4.05683,-3.91469,-3.55934,-4.05683,-3.51742,-3.55934,-3.55934,-3.6379,102.324,92.0335,102.957,89.6439,95.9498,116.051,110.926,103.792,94.4787,97.447,104.611,83.6189,114.519,94.4118,109.818,108.888,101.76,108.92,112.953,94.2175,78.1189,117.534,128.102,114.698,120.241,128.823,114.329,108.388,114.296,117.292,112.484,123.01,104.491,92.7408,108.605,103.076,87.7378,113.35,77.6709,119.901,102.319,130.683,111.994,95.1448,118.796,102.531,120.313,106.828,91.6668,102.335,109.496,74.3792,108.305,91.526,107.23,107.177,108.231,87.6442,101.083,83.5208,84.3283,87.2974,74.4654,78.188,103.404,112.568,107.613,82.6379,68.4173,105.527,96.462,98.6265,125.548,91.281,104.011,80.5874
