# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 17:37:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.99999999900000003
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\s91cl0qa.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621193720_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.276623
# Diagonal elements of inverse mass matrix:
# 2.15996, 0.121987, 0.00639304
-231.455,1,0.276623,4,15,0,232.163,104.292,1.27188,13.4063,103.459,106.003,102.187,95.8276,106.003,108.546,113.634,103.478,103.459,102.187,111.09,97.0995,107.274,104.731,112.362,99.6432,98.3714,111.09,112.362,104.731,95.8276,99.6432,108.546,102.187,112.362,109.818,104.731,106.003,107.303,111.09,114.906,107.274,102.187,99.6432,100.915,109.818,108.546,109.818,103.459,104.633,99.6432,103.459,111.09,99.6432,109.818,109.818,106.851,103.459,107.274,102.522,98.3714,106.003,109.216,99.6432,95.8276,95.8276,103.459,107.303,106.003,103.459,98.3714,99.6432,95.8276,95.8276,95.8276,114.906,99.6432,102.187,99.6432,107.698,99.6432,99.6432,111.09,99.6432,99.6432,106.003,-6.62908,-4.05973,-6.3968,-9.3573,-3.55911,-3.52054,-3.5514,-3.60612,-4.01859,-3.92785,-3.73551,-3.97765,-3.96517,-3.5919,-3.53018,-3.81306,-3.52204,-3.51797,-3.53018,-3.5919,-3.56309,-3.81306,-3.71786,-3.52797,-3.53018,-3.51475,-3.57692,-3.793,-4.32601,-3.51797,-4.13277,-3.53533,-3.52797,-3.81306,-4.52795,-3.80306,-3.52054,-3.51475,-3.63369,-3.5407,-3.81306,-3.54794,-3.51797,-3.51501,-8.00638,-8.00638,-3.51475,-3.54794,-3.96517,-3.53557,-3.70962,-3.52582,-4.51792,-3.51501,-3.56309,-3.56309,-3.54794,-4.32601,-3.6149,-4.01859,-3.89085,-3.81306,-3.51553,-3.60914,-3.60914,-3.58161,-3.81306,-3.92785,-3.81306,-4.08874,-3.51501,-3.81306,-3.51797,-3.51501,-3.51501,-3.55911,97.1278,107.475,126.906,93.6235,110.496,89.8082,114.751,110.67,115.288,120.788,117.521,96.4801,108.194,80.0719,132.411,121.227,88.8384,145.843,90.4365,123.625,113.296,79.8986,112.369,84.6566,110.999,101.731,102.35,92.6141,116.54,82.4622,123.482,131.037,117.787,84.0018,88.2022,118.512,144.607,119.014,111.802,91.8247,104.991,109.77,133.369,87.8844,98.3226,117.797,95.1382,111.349,127.828,92.5639,80.3324,116.757,133.501,99.343,93.5211,77.4557,73.4285,96.557,97.9735,94.2901,81.1828,73.2026,96.7715,103.772,106.076,109.206,110.394,98.0455,122.11,105.605,72.8314,95.0125,119.364,94.2875,90.7069,97.3166
-232.688,0.971292,0.276623,3,11,0,234.989,104.031,0.576734,12.5858,103.653,104.807,103.077,100.193,104.807,105.96,108.267,103.662,103.653,103.077,107.114,100.77,105.384,104.23,107.69,101.923,101.346,107.114,107.69,104.23,100.193,101.923,105.96,103.077,107.69,106.537,104.23,104.807,105.397,107.114,108.844,105.384,103.077,101.923,102.5,106.537,105.96,106.537,103.653,104.186,101.923,103.653,107.114,101.923,106.537,106.537,105.191,103.653,105.384,103.228,101.346,104.807,106.264,101.923,100.193,100.193,103.653,105.397,104.807,103.653,101.346,101.923,100.193,100.193,100.193,108.844,101.923,103.077,101.923,105.576,101.923,101.923,107.114,101.923,101.923,104.807,-7.02641,-4.18014,-6.90493,-11.4038,-3.53664,-3.50302,-3.46099,-3.56204,-4.03993,-3.99126,-3.97567,-3.72044,-4.12587,-3.55659,-3.46834,-3.65743,-3.45723,-3.4778,-3.46834,-3.55659,-3.45163,-3.65743,-3.56364,-3.48139,-3.46834,-3.48936,-3.50799,-3.69633,-4.17801,-3.4778,-3.6984,-3.51878,-3.48139,-3.65743,-4.41821,-4.02363,-3.50302,-3.48936,-3.57865,-3.49032,-3.65743,-3.49364,-3.4778,-3.46318,-9.41427,-9.41427,-3.45838,-3.49364,-4.12587,-3.46458,-3.85788,-3.45356,-4.26345,-3.46318,-3.45163,-3.45163,-3.49364,-4.17801,-3.52444,-4.03993,-3.68788,-3.65743,-3.49727,-3.77946,-3.77946,-3.45573,-3.65743,-3.99126,-3.65743,-3.9246,-3.46318,-3.65743,-3.4778,-3.46318,-3.46318,-3.53664,96.9422,133.979,99.6951,94.0022,120.603,114.462,96.2681,88.3959,101.112,118.079,131.136,116.397,93.9752,122.445,126.982,100.912,76.2377,121.882,99.8903,93.7043,91.544,111.249,95.9583,127.139,127.976,81.1231,98.4691,108.106,126.618,106.684,80.8145,103.64,129.781,98.6042,81.0129,123.43,89.0703,127.41,99.8892,112.026,110.368,87.2778,115.619,103.353,93.6829,118.642,97.7371,103.268,106.848,87.3535,100.932,93.4639,131.817,108.933,81.3893,100.591,99.9882,115.146,105.189,101.573,74.5413,120.347,96.1993,119.388,99.3508,97.0914,97.2278,90.712,96.4101,111.98,104.078,105.95,120.3,113.509,90.2294,118.317
-233.261,0.975269,0.276623,4,15,0,236.178,102.029,0.708811,12.3838,101.565,102.982,100.856,97.3117,102.982,104.4,107.235,101.575,101.565,100.856,105.817,98.0205,103.691,102.273,106.526,99.4381,98.7293,105.817,106.526,102.273,97.3117,99.4381,104.4,100.856,106.526,105.109,102.273,102.982,103.707,105.817,107.944,103.691,100.856,99.4381,100.147,105.109,104.4,105.109,101.565,102.219,99.4381,101.565,105.817,99.4381,105.109,105.109,103.455,101.565,103.691,101.042,98.7293,102.982,104.773,99.4381,97.3117,97.3117,101.565,103.707,102.982,101.565,98.7293,99.4381,97.3117,97.3117,97.3117,107.944,99.4381,100.856,99.4381,103.927,99.4381,99.4381,105.817,99.4381,99.4381,102.982,-6.68367,-4.37955,-6.53942,-10.7333,-3.5959,-3.53758,-3.46025,-3.48317,-3.87136,-3.81955,-4.09113,-3.90322,-4.30253,-3.62997,-3.47467,-3.79903,-3.44059,-3.49236,-3.47467,-3.62997,-3.45889,-3.79903,-3.49844,-3.43771,-3.47467,-3.51333,-3.45218,-3.59427,-4.02789,-3.49236,-3.64107,-3.5651,-3.43771,-3.79903,-4.72038,-4.15832,-3.53758,-3.51333,-3.66732,-3.533,-3.79903,-3.44331,-3.49236,-3.43636,-10.0057,-10.0057,-3.46896,-3.44331,-4.30253,-3.49341,-3.68377,-3.4387,-4.12529,-3.43636,-3.45889,-3.45889,-3.44331,-4.02789,-3.46432,-3.87136,-3.84948,-3.79903,-3.43812,-3.60962,-3.60962,-3.44911,-3.79903,-3.81955,-3.79903,-3.80124,-3.43636,-3.79903,-3.49236,-3.43636,-3.43636,-3.5959,106.184,103.24,107.96,107.925,108.06,105.996,151.544,118.856,98.8884,97.4673,90.3763,101.491,100.135,118.799,101.16,106.566,83.1775,103.475,101.314,92.0401,112.256,123.936,74.5572,109.67,105.737,99.2929,111.778,107.832,113.789,103.256,104.695,90.7402,90.1026,101.617,98.4853,82.397,119.782,92.585,91.2708,127.911,92.688,115.463,106.755,93.8949,110.8,105.82,111.358,116.872,79.4177,92.6297,92.7019,106.485,92.0681,99.1065,78.0882,106.009,103.637,122.987,93.4315,105.184,101.812,101.902,104.917,105.79,97.4459,101.268,83.6664,93.3234,106.867,110.259,116.971,92.3051,98.4917,84.2729,93.1815,108.179
-233.583,0.998162,0.276623,4,15,0,234.569,105.345,1.78999,14.1723,104.172,107.752,102.382,93.4324,107.752,111.332,118.492,104.199,104.172,102.382,114.912,95.2224,109.542,105.962,116.702,98.8024,97.0124,114.912,116.702,105.962,93.4324,98.8024,111.332,102.382,116.702,113.122,105.962,107.752,109.583,114.912,120.282,109.542,102.382,98.8024,100.592,113.122,111.332,113.122,104.172,105.825,98.8024,104.172,114.912,98.8024,113.122,113.122,108.946,104.172,109.542,102.853,97.0124,107.752,112.274,98.8024,93.4324,93.4324,104.172,109.583,107.752,104.172,97.0124,98.8024,93.4324,93.4324,93.4324,120.282,98.8024,102.382,98.8024,110.139,98.8024,98.8024,114.912,98.8024,98.8024,107.752,-6.47718,-3.94365,-6.18062,-8.26611,-3.58281,-3.57465,-3.74976,-3.67395,-4.07023,-3.95191,-3.63467,-4.11385,-3.84247,-3.61081,-3.68205,-3.88236,-3.59245,-3.6303,-3.68205,-3.61081,-3.6776,-3.88236,-3.88992,-3.58436,-3.68205,-3.5945,-3.65872,-3.91405,-4.50299,-3.6303,-4.59428,-3.57075,-3.58436,-3.88236,-4.50786,-3.68798,-3.57465,-3.5945,-3.65477,-3.57891,-3.88236,-3.61357,-3.6303,-3.5738,-6.95568,-6.95568,-3.58316,-3.61357,-3.84247,-3.58468,-3.69264,-3.60528,-4.78044,-3.5738,-3.6776,-3.6776,-3.61357,-4.50299,-3.71984,-4.07023,-3.99013,-3.88236,-3.59194,-3.59956,-3.59956,-3.83342,-3.88236,-3.95191,-3.88236,-4.2733,-3.5738,-3.88236,-3.6303,-3.5738,-3.5738,-3.58281,91.2164,100.975,109.479,65.4791,102.483,124.176,126.837,106.867,92.7177,114.019,82.2261,74.237,120.801,95.9493,111.637,90.207,85.6793,108.786,122.922,88.1684,75.7268,102.508,97.4774,95.9653,115.92,96.6287,127.58,97.426,114.813,121.702,131.169,136.125,92.4281,122.541,110.015,127.074,116.668,111.568,115.129,92.7147,94.5457,116.601,115.133,90.3355,100.659,133.674,114.258,118.63,95.7953,91.2397,91.1016,95.0236,90.5393,124.201,108.97,87.664,123.45,100.91,122.441,83.8878,88.4319,85.7558,75.8278,73.7276,99.4518,95.3531,104.57,126.782,95.2046,105.83,103.257,93.3768,110.983,101.531,113.645,103.906
-236.609,0.98307,0.276623,3,15,0,236.997,105.476,2.2971,14.4416,103.971,108.565,101.674,90.1887,108.565,113.16,122.348,104.006,103.971,101.674,117.754,92.4858,110.863,106.268,120.051,97.08,94.7829,117.754,120.051,106.268,90.1887,97.08,113.16,101.674,120.051,115.457,106.268,108.565,110.914,117.754,124.645,110.863,101.674,97.08,99.3771,115.457,113.16,115.457,103.971,106.092,97.08,103.971,117.754,97.08,115.457,115.457,110.097,103.971,110.863,102.279,94.7829,108.565,114.369,97.08,90.1887,90.1887,103.971,110.914,108.565,103.971,94.7829,97.08,90.1887,90.1887,90.1887,124.645,97.08,101.674,97.08,111.628,97.08,97.08,117.754,97.08,97.08,108.565,-6.35576,-3.90251,-5.99425,-7.46117,-3.59398,-3.61298,-3.95459,-3.68304,-4.05701,-3.91578,-3.60115,-4.32445,-3.78922,-3.62243,-3.83124,-3.98924,-3.6543,-3.73319,-3.83124,-3.62243,-3.81983,-3.98924,-4.00422,-3.59577,-3.83124,-3.66043,-3.68325,-3.96758,-4.6152,-3.73319,-5.04519,-3.59083,-3.59577,-3.98924,-4.60868,-3.63854,-3.61298,-3.66043,-3.67618,-3.59519,-3.98924,-3.62686,-3.73319,-3.60949,-6.44972,-6.44972,-3.61726,-3.62686,-3.78922,-3.6104,-3.64389,-3.63902,-4.98647,-3.60949,-3.81983,-3.81983,-3.62686,-4.6152,-3.76494,-4.05701,-4.14419,-3.98924,-3.68111,-3.58914,-3.58914,-4.10324,-3.98924,-3.91578,-3.98924,-4.39147,-3.60949,-3.98924,-3.73319,-3.60949,-3.60949,-3.59398,103.125,92.9096,115.995,113.378,119.794,76.2261,128.617,122.819,118.437,85.4645,107.795,102.018,110.562,111.362,124.144,78.9711,65.3281,120.145,147.546,83.6059,75.2425,104.398,123.763,95.7333,127.263,93.0218,118.775,131.821,99.8505,112.785,110.518,99.3217,105.389,93.1452,118.795,126.584,110.817,127.545,85.5049,116.866,114.883,112.548,108.166,121.169,149.249,124.242,98.662,83.8463,100.184,91.9198,87.3555,95.7904,114.342,106.123,90.049,100.853,113.684,82.1,113.806,98.4625,76.2545,91.4602,105.402,105.874,80.9287,106.223,91.944,123.406,96.9997,91.5102,79.6388,100.511,120.967,91.7449,112.271,104.561
-236.657,0.998459,0.276623,2,3,0,236.916,105.59,2.29916,14.3963,104.085,108.683,101.785,90.2896,108.683,113.281,122.478,104.119,104.085,101.785,117.88,92.5887,110.982,106.384,120.179,97.187,94.8879,117.88,120.179,106.384,90.2896,97.187,113.281,101.785,120.179,115.58,106.384,108.683,111.034,117.88,124.777,110.982,101.785,97.187,99.4862,115.58,113.281,115.58,104.085,106.207,97.187,104.085,117.88,97.187,115.58,115.58,110.216,104.085,110.982,102.39,94.8879,108.683,114.491,97.187,90.2896,90.2896,104.085,111.034,108.683,104.085,94.8879,97.187,90.2896,90.2896,90.2896,124.777,97.187,101.785,97.187,111.748,97.187,97.187,117.88,97.187,97.187,108.683,-6.38864,-3.8949,-6.02328,-7.50199,-3.5901,-3.61188,-3.96153,-3.68395,-4.06449,-3.921,-3.59676,-4.31727,-3.78211,-3.61746,-3.83586,-3.98198,-3.64896,-3.7357,-3.83586,-3.61746,-3.81339,-3.98198,-4.01145,-3.5936,-3.83586,-3.66104,-3.68422,-3.97397,-4.63049,-3.7357,-5.06694,-3.58824,-3.5936,-3.98198,-4.60113,-3.63304,-3.61188,-3.66104,-3.67033,-3.59123,-3.98198,-3.62616,-3.7357,-3.605,-6.44403,-6.44403,-3.6163,-3.62616,-3.78211,-3.60582,-3.64355,-3.63882,-5.00645,-3.605,-3.81339,-3.81339,-3.62616,-4.63049,-3.76779,-4.06449,-4.13687,-3.98198,-3.67556,-3.58611,-3.58611,-4.1127,-3.98198,-3.921,-3.98198,-4.40402,-3.605,-3.98198,-3.7357,-3.605,-3.605,-3.5901,93.1155,119.36,93.1017,104.207,102.402,129.017,118.99,151.138,110.218,103.609,131.552,102.375,115.394,65.8563,145.967,87.1374,99.7655,103.993,120.036,128.818,87.8928,79.2541,128.256,122.872,130.252,128.439,99.2753,84.6626,81.6979,120.179,144.554,105.709,84.5551,111.955,92.5348,125.123,130.074,136.843,85.1652,109.883,123.722,100.49,147.566,97.3488,133.19,101.647,96.1044,88.2641,112.859,88.4036,110.092,105.013,159.39,81.7124,87.1924,53.8189,108.163,108.161,120.045,85.0146,103.599,119.021,75.1866,105.69,97.4401,129.292,112.024,103.439,111.113,117.929,93.1731,96.5264,93.0395,96.543,116.827,115.33
