# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 17:37:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.97999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\h42cyfr9.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621193739_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.435524
# Diagonal elements of inverse mass matrix:
# 2.43428, 0.132754, 0.00621425
-231.515,0.998289,0.435524,3,7,0,232.266,104.734,0.984846,12.6094,104.089,106.059,103.104,98.1801,106.059,108.029,111.968,104.104,104.089,103.104,109.998,99.165,107.044,105.074,110.983,101.135,100.15,109.998,110.983,105.074,98.1801,101.135,108.029,103.104,110.983,109.013,105.074,106.059,107.066,109.998,112.953,107.044,103.104,101.135,102.119,109.013,108.029,109.013,104.089,104.998,101.135,104.089,109.998,101.135,109.013,109.013,106.715,104.089,107.044,103.364,100.15,106.059,108.547,101.135,98.1801,98.1801,104.089,107.066,106.059,104.089,100.15,101.135,98.1801,98.1801,98.1801,112.953,101.135,103.104,101.135,107.372,101.135,101.135,109.998,101.135,101.135,106.059,-7.10775,-4.06457,-6.89965,-10.7532,-3.50223,-3.46561,-3.46556,-3.58057,-4.07762,-3.9934,-3.76796,-3.82257,-3.98127,-3.52969,-3.45642,-3.70054,-3.45346,-3.45338,-3.45642,-3.52969,-3.4638,-3.70054,-3.65609,-3.48369,-3.45642,-3.45645,-3.53435,-3.77157,-4.34521,-3.45338,-3.98099,-3.48087,-3.48369,-3.70054,-4.45878,-3.83296,-3.46561,-3.45645,-3.56325,-3.47621,-3.70054,-3.50597,-3.45338,-3.45743,-8.73615,-8.73615,-3.45339,-3.50597,-3.98127,-3.46473,-3.77735,-3.46671,-4.50897,-3.45743,-3.4638,-3.4638,-3.50597,-4.34521,-3.56883,-4.07762,-3.7585,-3.70054,-3.46351,-3.66381,-3.66381,-3.4808,-3.70054,-3.9934,-3.70054,-4.07315,-3.45743,-3.70054,-3.45338,-3.45743,-3.45743,-3.50223,96.5552,105.673,106.811,79.8128,76.1503,106.42,117.647,84.7415,77.6255,95.0054,130.217,58.941,123.331,122.824,96.7602,78.2797,109.585,105.366,120.605,104.416,100.264,94.1582,114.449,97.7238,89.5968,78.0752,87.589,93.3275,121.801,132.439,121.267,106.596,101.74,100.753,114.55,101.085,90.9797,77.1752,106.283,103.701,114.138,88.4157,117.54,87.4372,108.062,108.907,104.498,91.3403,107.347,101.804,86.2827,105.696,88.2685,106.926,98.7894,79.6497,103.215,101.91,82.7133,83.0071,113.591,104.955,101.563,100.565,107.048,97.188,82.1046,108.241,101.368,98.8047,88.4325,101.155,111.854,102.326,93.2602,92.0864
-235.235,0.885353,0.435524,3,7,0,235.538,106.886,1.65752,15.119,105.801,109.116,104.143,95.8558,109.116,112.431,119.061,105.826,105.801,104.143,115.746,97.5134,110.774,107.458,117.404,100.828,99.1709,115.746,117.404,107.458,95.8558,100.828,112.431,104.143,117.404,114.089,107.458,109.116,110.811,115.746,120.719,110.774,104.143,100.828,102.486,114.089,112.431,114.089,105.801,107.331,100.828,105.801,115.746,100.828,114.089,114.089,110.221,105.801,110.774,104.58,99.1709,109.116,113.303,100.828,95.8558,95.8558,105.801,110.811,109.116,105.801,99.1709,100.828,95.8558,95.8558,95.8558,120.719,100.828,104.143,100.828,111.326,100.828,100.828,115.746,100.828,100.828,109.116,-6.43848,-3.89401,-6.18489,-8.23443,-3.6366,-3.64782,-3.81448,-3.77775,-4.18101,-4.07245,-3.67447,-3.97594,-3.8211,-3.64902,-3.75479,-3.81889,-3.63639,-3.70711,-3.75479,-3.64902,-3.67246,-3.81889,-3.97291,-3.67244,-3.75479,-3.67145,-3.75657,-4.01118,-4.56181,-3.70711,-4.57385,-3.6362,-3.67244,-3.81889,-4.30585,-3.71133,-3.64782,-3.67145,-3.67346,-3.63517,-3.81889,-3.7085,-3.70711,-3.63639,-6.45581,-6.45581,-3.66252,-3.7085,-3.8211,-3.63591,-3.81886,-3.69214,-4.79986,-3.63639,-3.67246,-3.67246,-3.7085,-4.56181,-3.81666,-4.18101,-3.8914,-3.81889,-3.6355,-3.7099,-3.7099,-3.8862,-3.81889,-4.07245,-3.81889,-4.34303,-3.63639,-3.81889,-3.70711,-3.63639,-3.63639,-3.6366,109.359,123.66,99.9548,95.0624,136.91,106.935,121.107,106.841,78.0376,116.224,130.617,77.9868,91.2689,92.5914,102.393,119.213,107.114,96.2788,105.384,114.615,72.4642,90.3712,134.904,86.282,124.326,104.152,104.888,109.443,121.596,103.782,126.271,72.3343,89.9624,106.494,106.121,125.658,118.371,133.635,99.5729,131.8,105.548,90.1796,92.6887,82.41,103.125,118.335,117.114,119.945,97.4733,81.4133,76.6848,117.524,143.131,89.6363,94.9651,85.618,97.7105,118.862,119.758,112.877,86.1169,105.387,93.3542,65.3617,79.899,118.612,107.348,112.959,133.693,124.779,105.793,79.0139,103.72,85.329,89.6319,101.296
-232.708,0.750489,0.435524,3,7,0,239.401,105.442,0.686515,13.787,104.993,106.366,104.306,100.874,106.366,107.739,110.485,105.003,104.993,104.306,109.112,101.56,107.052,105.679,109.798,102.933,102.247,109.112,109.798,105.679,100.874,102.933,107.739,104.306,109.798,108.425,105.679,106.366,107.068,109.112,111.171,107.052,104.306,102.933,103.62,108.425,107.739,108.425,104.993,105.626,102.933,104.993,109.112,102.933,108.425,108.425,106.823,104.993,107.052,104.487,102.247,106.366,108.1,102.933,100.874,100.874,104.993,107.068,106.366,104.993,102.247,102.933,100.874,100.874,100.874,111.171,102.933,104.306,102.933,107.281,102.933,102.933,109.112,102.933,102.933,106.366,-6.76361,-4.03165,-6.63847,-10.3506,-3.57741,-3.55612,-3.54328,-3.68126,-4.13394,-4.08103,-3.85451,-3.73004,-3.98365,-3.59177,-3.54277,-3.67403,-3.55594,-3.54474,-3.54277,-3.59177,-3.54467,-3.67403,-3.7002,-3.59144,-3.54277,-3.54919,-3.62751,-3.8253,-4.28881,-3.54474,-3.87094,-3.56552,-3.59144,-3.67403,-4.24846,-3.89508,-3.55612,-3.54919,-3.60862,-3.55389,-3.67403,-3.60824,-3.54474,-3.5653,-8.08928,-8.08928,-3.54273,-3.60824,-3.98365,-3.54425,-3.93718,-3.55739,-4.38309,-3.5653,-3.54467,-3.54467,-3.60824,-4.28881,-3.64926,-4.13394,-3.70079,-3.67403,-3.59565,-3.85368,-3.85368,-3.54628,-3.67403,-4.08103,-3.67403,-4.05439,-3.5653,-3.67403,-3.54474,-3.5653,-3.5653,-3.57741,96.6271,82.2686,92.8093,127.098,75.1602,89.9351,104.882,117.486,93.4944,106.939,102.941,114.088,105.239,111.103,117.61,113.154,100.933,98.5898,106.113,103.013,84.3632,105.199,116.264,118.885,101.839,126.961,77.2188,98.1931,101.001,101.763,128.78,106.734,123.681,126.996,118.659,104.87,116.567,114.145,105.076,100.836,71.0867,112.193,95.1916,115.407,124.642,107.647,87.6706,110.861,96.5949,93.4617,89.6811,91.1121,121.043,111.882,95.351,96.9663,101.882,102.176,99.7586,106.53,104.619,95.1753,93.1369,114.042,111.654,124.745,104.182,106.051,102.747,92.889,108.717,112.026,102.253,119.299,121.147,86.7178
-231.731,1,0.435524,3,7,0,233.112,104.1,1.49366,13.2514,103.121,106.109,101.628,94.1595,106.109,109.096,115.071,103.144,103.121,101.628,112.083,95.6531,107.602,104.615,113.577,98.6405,97.1468,112.083,113.577,104.615,94.1595,98.6405,109.096,101.628,113.577,110.59,104.615,106.109,107.636,112.083,116.564,107.602,101.628,98.6405,100.134,110.59,109.096,110.59,103.121,104.5,98.6405,103.121,112.083,98.6405,110.59,110.59,107.105,103.121,107.602,102.021,97.1468,106.109,109.882,98.6405,94.1595,94.1595,103.121,107.636,106.109,103.121,97.1468,98.6405,94.1595,94.1595,94.1595,116.564,98.6405,101.628,98.6405,108.1,98.6405,98.6405,112.083,98.6405,98.6405,106.109,-6.62669,-4.05249,-6.35131,-9.05559,-3.54616,-3.50537,-3.57626,-3.58606,-3.99328,-3.88802,-3.6815,-4.08913,-3.94069,-3.58561,-3.53948,-3.87047,-3.52622,-3.5154,-3.53948,-3.58561,-3.60017,-3.87047,-3.73863,-3.51059,-3.53948,-3.50403,-3.56369,-3.79401,-4.36616,-3.5154,-4.2843,-3.51941,-3.51059,-3.87047,-4.62677,-3.75519,-3.50537,-3.50403,-3.63777,-3.53206,-3.87047,-3.53079,-3.5154,-3.50831,-7.9255,-7.9255,-3.50359,-3.53079,-3.94069,-3.53298,-3.64848,-3.51571,-4.60322,-3.50831,-3.60017,-3.60017,-3.53079,-4.36616,-3.6093,-3.99328,-3.97344,-3.87047,-3.51715,-3.55231,-3.55231,-3.62574,-3.87047,-3.88802,-3.87047,-4.12395,-3.50831,-3.87047,-3.5154,-3.50831,-3.50831,-3.54616,118.184,137.01,104.007,59.6507,86.0025,131.706,106.493,97.2112,85.5569,89.6753,107.249,79.3815,119.272,79.5405,113.078,104.364,91.6321,112.643,108.379,105.83,79.6585,111.632,109.704,78.9665,112.958,111.327,92.9869,111.711,103.41,110.345,133.653,82.3453,108.175,102.652,80.615,115.889,113.796,141.695,123.437,98.931,83.8999,89.5712,110.059,84.4813,110.149,103.187,94.2492,94.7564,95.1951,98.819,87.3428,86.3516,124.64,103.767,77.658,103.172,113.389,115.018,100.169,95.3774,90.6307,91.2642,95.9141,93.3219,98.2417,101.185,104.35,116.703,104.363,88.6955,109.663,103.112,121.953,107.126,114.722,96.6959
-232.206,0.97979,0.435524,3,7,0,232.861,103.357,1.43124,11.8107,102.419,105.282,100.988,93.832,105.282,108.144,113.869,102.441,102.419,100.988,111.007,95.2632,106.713,103.851,112.438,98.1257,96.6945,111.007,112.438,103.851,93.832,98.1257,108.144,100.988,112.438,109.576,103.851,105.282,106.745,111.007,115.301,106.713,100.988,98.1257,99.557,109.576,108.144,109.576,102.419,103.741,98.1257,102.419,111.007,98.1257,109.576,109.576,106.236,102.419,106.713,101.365,96.6945,105.282,108.898,98.1257,93.832,93.832,102.419,106.745,105.282,102.419,96.6945,98.1257,93.832,93.832,93.832,115.301,98.1257,100.988,98.1257,107.19,98.1257,98.1257,111.007,98.1257,98.1257,105.282,-7.15523,-4.1644,-6.82994,-10.2744,-3.46774,-3.40029,-3.44162,-3.46701,-3.94082,-3.82073,-3.67784,-4.16638,-4.02073,-3.52349,-3.40926,-3.89334,-3.42711,-3.39158,-3.40926,-3.52349,-3.52431,-3.89334,-3.62571,-3.39145,-3.40926,-3.38859,-3.4411,-3.69676,-4.36616,-3.39158,-4.22709,-3.42667,-3.39145,-3.89334,-4.88593,-3.77745,-3.40029,-3.38859,-3.59392,-3.44392,-3.89334,-3.40893,-3.39158,-3.40054,-9.24529,-9.24529,-3.38861,-3.40893,-4.02073,-3.44242,-3.54859,-3.39384,-4.63765,-3.40054,-3.52431,-3.52431,-3.40893,-4.36616,-3.48795,-3.94082,-4.02252,-3.89334,-3.41132,-3.44058,-3.44058,-3.48866,-3.89334,-3.82073,-3.89334,-4.07621,-3.40054,-3.89334,-3.39158,-3.40054,-3.40054,-3.46774,81.6284,93.0594,99.5911,89.8902,105.541,116.613,99.2158,94.1836,82.6911,119.364,111.499,93.3217,105.508,117.827,107.401,112.531,106.021,106.983,101.798,96.3,77.9712,107.583,102.49,98.5894,119.515,98.1389,101.68,105.823,93.2658,123.811,132.529,124.212,86.9509,101.324,119.758,117.138,86.7737,119.857,120.777,96.903,105.12,103.131,103.548,78.2929,123.565,99.5455,126.678,119.064,113.458,122.808,73.2229,100.547,116.751,102.65,83.7376,107.832,91.2954,86.0849,130.661,115.894,99.0737,90.0494,99.8531,66.1199,134.303,112.38,101.35,107.062,110.942,111.443,84.5624,117.113,103.349,95.1813,104.166,136.231
-232.029,1,0.435524,3,7,0,232.827,104.787,0.812978,13.6771,104.254,105.88,103.441,99.3765,105.88,107.506,110.758,104.267,104.254,103.441,109.132,100.189,106.693,105.067,109.945,101.815,101.002,109.132,109.945,105.067,99.3765,101.815,107.506,103.441,109.945,108.319,105.067,105.88,106.712,109.132,111.571,106.693,103.441,101.815,102.628,108.319,107.506,108.319,104.254,105.005,101.815,104.254,109.132,101.815,108.319,108.319,106.422,104.254,106.693,103.655,101.002,105.88,107.934,101.815,99.3765,99.3765,104.254,106.712,105.88,104.254,101.002,101.815,99.3765,99.3765,99.3765,111.571,101.815,103.441,101.815,106.964,101.815,101.815,109.132,101.815,101.815,105.88,-6.67091,-4.06755,-6.52381,-10.0512,-3.58003,-3.55129,-3.5362,-3.64837,-4.07776,-4.01757,-3.85036,-3.79192,-4.00795,-3.5997,-3.53467,-3.71372,-3.53735,-3.53668,-3.53467,-3.5997,-3.5357,-3.71372,-3.68526,-3.56632,-3.53467,-3.54222,-3.6033,-3.79559,-4.26112,-3.53668,-3.89254,-3.56389,-3.56632,-3.71372,-4.34127,-3.89935,-3.55129,-3.54222,-3.6229,-3.55397,-3.71372,-3.58304,-3.53668,-3.54347,-8.17822,-8.17822,-3.53482,-3.58304,-4.00795,-3.54157,-3.85822,-3.54411,-4.37286,-3.54347,-3.5357,-3.5357,-3.58304,-4.26112,-3.62709,-4.07776,-3.75105,-3.71372,-3.55857,-3.76966,-3.76966,-3.54126,-3.71372,-4.01757,-3.71372,-4.03129,-3.54347,-3.71372,-3.53668,-3.54347,-3.54347,-3.58003,110.299,105.268,109.643,101.827,82.3169,130.332,95.6992,106.815,88.742,86.3654,105.122,130.518,95.7585,74.3197,128.276,64.2944,109.772,118.688,106.799,120.365,81.2397,102.478,107.602,110.432,124.673,126.191,112.057,112.166,98.2443,113.474,111.448,130.125,81.6318,97.8459,83.9012,110.72,85.4462,112.452,84.7549,108.741,64.0568,121.299,133.401,114.993,116.973,101.713,76.3917,98.8547,99.6624,110.751,74.7782,130.522,107.546,102.891,75.4203,91.5226,102.836,114.954,113.331,117.22,91.8398,113.735,86.105,94.6646,77.4052,120.99,90.4562,100.166,113.985,100.739,120.693,86.4413,113.59,87.3752,122.616,114.528
