# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 17:37:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.97999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\h42cyfr9.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621193739_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.310617
# Diagonal elements of inverse mass matrix:
# 2.02359, 0.150984, 0.00754253
-233.794,0.99908,0.310617,3,7,0,235.285,101.592,1.72483,13.218,100.463,103.912,98.7377,90.1135,103.912,107.362,114.261,100.488,100.463,98.7377,110.812,91.8384,105.637,102.187,112.536,95.288,93.5632,110.812,112.536,102.187,90.1135,95.288,107.362,98.7377,112.536,109.087,102.187,103.912,105.676,110.812,115.986,105.637,98.7377,95.288,97.0128,109.087,107.362,109.087,100.463,102.055,95.288,100.463,110.812,95.288,109.087,109.087,105.062,100.463,105.637,99.1916,93.5632,103.912,108.27,95.288,90.1135,90.1135,100.463,105.676,103.912,100.463,93.5632,95.288,90.1135,90.1135,90.1135,115.986,95.288,98.7377,95.288,106.212,95.288,95.288,110.812,95.288,95.288,103.912,-6.15617,-4.2412,-5.86395,-8.10542,-3.60658,-3.52044,-3.55248,-3.52207,-3.81378,-3.71901,-3.74213,-4.44447,-4.09089,-3.67519,-3.51893,-4.11993,-3.61909,-3.5024,-3.51893,-3.67519,-3.78024,-4.11993,-3.65562,-3.50508,-3.51893,-3.5029,-3.51421,-3.67967,-4.18367,-3.5024,-4.23186,-3.55499,-3.50508,-4.11993,-5.01272,-3.84136,-3.52044,-3.5029,-3.76084,-3.59147,-4.11993,-3.50113,-3.5024,-3.56406,-8.29088,-8.29088,-3.50789,-3.50113,-4.09089,-3.60601,-3.53685,-3.50054,-4.43229,-3.56406,-3.78024,-3.78024,-3.50113,-4.18367,-3.54432,-3.81378,-4.27369,-4.11993,-3.6131,-3.50055,-3.50055,-3.60306,-4.11993,-3.71901,-4.11993,-3.97517,-3.56406,-4.11993,-3.5024,-3.56406,-3.56406,-3.60658,100.416,96.0323,108.109,109.234,108.613,89.738,119.914,94.4697,104.838,95.5368,99.3814,81.0952,108.206,100.279,112.712,69.2027,71.7756,136.85,113.012,114.884,78.896,107.085,117.964,89.13,117.007,89.267,114.137,91.2692,91.0659,121.567,104.674,103.401,87.7072,102.248,95.2891,99.8405,96.2625,102.253,88.0824,122.075,79.2191,87.7163,115.937,107.057,104.112,119.037,110.36,119.88,93.3075,93.9627,82.9216,94.9543,114.474,85.5784,110.954,104.97,99.5344,106.142,104.002,97.8775,102.865,102.873,75.0302,84.717,84.5288,146.119,70.599,113.096,110.949,117.295,87.5701,112.44,121.618,80.8152,90.3282,103.658
-231.617,0.994008,0.310617,2,7,0,234.45,103.286,1.21472,13.5632,102.49,104.92,101.275,95.2019,104.92,107.349,112.208,102.508,102.49,101.275,109.779,96.4166,106.134,103.705,110.993,98.846,97.6313,109.779,110.993,103.705,95.2019,98.846,107.349,101.275,110.993,108.564,103.705,104.92,106.162,109.779,113.423,106.134,101.275,98.846,100.061,108.564,107.349,108.564,102.49,103.611,98.846,102.49,109.779,98.846,108.564,108.564,105.729,102.49,106.134,101.595,97.6313,104.92,107.988,98.846,95.2019,95.2019,102.49,106.162,104.92,102.49,97.6313,98.846,95.2019,95.2019,95.2019,113.423,98.846,101.275,98.846,106.539,98.846,98.846,109.779,98.846,98.846,104.92,-6.39544,-4.14441,-6.18492,-9.07972,-3.59645,-3.5454,-3.53955,-3.58798,-3.95032,-3.87185,-3.81027,-4.02779,-4.04885,-3.634,-3.52898,-3.86444,-3.54155,-3.52643,-3.52898,-3.634,-3.58887,-3.86444,-3.67309,-3.53072,-3.52898,-3.5319,-3.5636,-3.74254,-4.21656,-3.52643,-4.01599,-3.56691,-3.53072,-3.86444,-4.6069,-3.88177,-3.5454,-3.5319,-3.67958,-3.57156,-3.86444,-3.54315,-3.52643,-3.52991,-8.19298,-8.19298,-3.52868,-3.54315,-4.04885,-3.56286,-3.68458,-3.52859,-4.38387,-3.52991,-3.58887,-3.58887,-3.54315,-4.21656,-3.59208,-3.95032,-3.94211,-3.86444,-3.5301,-3.59984,-3.59984,-3.55814,-3.86444,-3.87185,-3.86444,-4.0003,-3.52991,-3.86444,-3.52643,-3.52991,-3.52991,-3.59645,102.171,101.649,81.5011,113.704,120.569,110.779,133.257,103.052,124.492,127.052,144.032,98.6102,90.4165,112.613,113.406,98.9129,69.6769,91.5196,104.753,97.6841,97.479,90.744,107.967,93.1369,90.6933,142.961,122.328,82.2286,120.659,145.956,121.83,111.654,108.536,116.001,101.18,117.631,90.7182,111.11,112.015,119.598,85.2546,107.762,110.202,81.9794,102.39,111.372,107.674,126.715,118.638,102.821,117.726,128.215,104.658,99.4213,78.7302,96.3468,79.718,108.373,91.5525,106.694,102.661,88.5723,97.2782,101.635,103.429,114.314,71.0811,100.377,76.397,106.389,79.7163,88.6167,121.306,90.7369,94.3395,107.3
-233.044,0.984557,0.310617,3,7,0,233.288,106.792,1.23038,12.718,105.986,108.447,104.756,98.6041,108.447,110.908,115.829,106.005,105.986,104.756,113.369,99.8345,109.678,107.217,114.599,102.295,101.065,113.369,114.599,107.217,98.6041,102.295,110.908,104.756,114.599,112.138,107.217,108.447,109.705,113.369,117.06,109.678,104.756,102.295,103.526,112.138,110.908,112.138,105.986,107.122,102.295,105.986,113.369,102.295,112.138,112.138,109.267,105.986,109.678,105.08,101.065,108.447,111.555,102.295,98.6041,98.6041,105.986,109.705,108.447,105.986,101.065,102.295,98.6041,98.6041,98.6041,117.06,102.295,104.756,102.295,110.088,102.295,102.295,113.369,102.295,102.295,108.447,-7.46517,-3.87454,-7.19611,-10.7646,-3.46941,-3.46451,-3.56701,-3.67289,-4.25197,-4.13504,-3.59789,-3.7814,-3.79134,-3.4859,-3.52734,-3.64546,-3.46546,-3.49704,-3.52734,-3.4859,-3.46798,-3.64546,-3.82976,-3.53188,-3.52734,-3.47609,-3.62295,-3.94089,-4.63496,-3.49704,-4.36162,-3.46228,-3.53188,-3.64546,-4.30093,-3.65301,-3.46451,-3.47609,-3.51175,-3.46296,-3.64546,-3.57274,-3.49704,-3.47824,-7.89327,-7.89327,-3.48287,-3.57274,-3.79134,-3.46206,-3.84042,-3.52309,-4.86836,-3.47824,-3.46798,-3.46798,-3.57274,-4.63496,-3.68253,-4.25197,-3.70875,-3.64546,-3.47717,-3.6908,-3.6908,-3.61603,-3.64546,-4.13504,-3.64546,-4.32969,-3.47824,-3.64546,-3.49704,-3.47824,-3.47824,-3.46941,105.044,115.303,97.4468,81.3904,114.688,132.918,108.761,111.674,103.258,118.738,99.6214,91.2366,109.937,85.653,97.325,91.9984,90.8372,101.822,113.255,113.493,98.4999,117.274,104.23,95.9003,129.015,91.2295,115.554,125.684,140.674,130.051,139.087,105.636,108.799,97.1334,84.9809,112.092,110.046,123.821,96.6097,118.559,94.6326,105.798,108.369,94.6183,116.374,127.31,113.229,98.4404,112.775,95.4221,109.409,122.164,121.875,105.198,99.7638,122.869,90.4592,100.608,103.513,127.579,102.228,108.34,102.511,116.827,107.673,113.208,111.739,109.623,96.007,114.611,102.677,102.527,107.521,97.0216,112.491,93.0158
-232.301,1,0.310617,4,15,0,233.716,104.961,1.32449,14.2522,104.094,106.743,102.769,96.1468,106.743,109.392,114.69,104.114,104.094,102.769,112.041,97.4713,108.067,105.418,113.365,100.12,98.7958,112.041,113.365,105.418,96.1468,100.12,109.392,102.769,113.365,110.716,105.418,106.743,108.097,112.041,116.014,108.067,102.769,100.12,101.445,110.716,109.392,110.716,104.094,105.316,100.12,104.094,112.041,100.12,110.716,110.716,107.626,104.094,108.067,103.118,98.7958,106.743,110.089,100.12,96.1468,96.1468,104.094,108.097,106.743,104.094,98.7958,100.12,96.1468,96.1468,96.1468,116.014,100.12,102.769,100.12,108.509,100.12,100.12,112.041,100.12,100.12,106.743,-6.43709,-4.00848,-6.21909,-8.81772,-3.60197,-3.57676,-3.62999,-3.67571,-4.0648,-3.97721,-3.73179,-3.96223,-3.92635,-3.62753,-3.60373,-3.81612,-3.57942,-3.5861,-3.60373,-3.62753,-3.6124,-3.81612,-3.79297,-3.59473,-3.60373,-3.57712,-3.64812,-3.85993,-4.36204,-3.5861,-4.20712,-3.58505,-3.59473,-3.81612,-4.42334,-3.78801,-3.57676,-3.57712,-3.66172,-3.58975,-3.81612,-3.61711,-3.5861,-3.57589,-7.3745,-7.3745,-3.57812,-3.61711,-3.92635,-3.58718,-3.76629,-3.59437,-4.54705,-3.57589,-3.6124,-3.6124,-3.61711,-4.36204,-3.68777,-4.0648,-3.88486,-3.81612,-3.57599,-3.66886,-3.66886,-3.66489,-3.81612,-3.97721,-3.81612,-4.14272,-3.57589,-3.81612,-3.5861,-3.57589,-3.57589,-3.60197,98.6778,100.521,87.9968,91.4918,95.1609,90.8987,117.773,120.231,138.066,86.3825,129.472,90.4384,100.124,99.7658,110.729,95.978,95.6853,120.762,102.838,98.781,107.867,92.9261,100.762,104.507,121.493,99.1517,98.6941,100.011,136.245,111.469,103.274,107.368,92.3936,94.6518,88.3192,113.06,113.739,114.369,114.156,94.1722,105.929,124.65,111.982,97.6177,96.8868,121.298,107.025,100.143,104.867,121.095,102.228,108.651,133.737,123.256,84.4558,84.8045,84.7847,130.314,93.9587,110.945,122.522,97.7895,103.941,88.2984,80.8047,104.904,115.985,119.627,91.9544,98.0364,75.9323,109.517,128.155,118.149,100.445,120.672
-233.729,0.983827,0.310617,3,7,0,234.321,104.223,0.433294,12.3199,103.939,104.806,103.506,101.339,104.806,105.672,107.406,103.946,103.939,103.506,106.539,101.773,105.239,104.373,106.972,102.639,102.206,106.539,106.972,104.373,101.339,102.639,105.672,103.506,106.972,106.106,104.373,104.806,105.249,106.539,107.839,105.239,103.506,102.639,103.073,106.106,105.672,106.106,103.939,104.339,102.639,103.939,106.539,102.639,106.106,106.106,105.095,103.939,105.239,103.62,102.206,104.806,105.9,102.639,101.339,101.339,103.939,105.249,104.806,103.939,102.206,102.639,101.339,101.339,101.339,107.839,102.639,103.506,102.639,105.384,102.639,102.639,106.539,102.639,102.639,104.806,-7.22468,-4.19067,-7.12841,-12.1129,-3.51903,-3.49185,-3.45233,-3.55685,-4.07023,-4.03106,-4.02706,-3.65313,-4.14791,-3.53448,-3.46036,-3.60863,-3.44619,-3.46962,-3.46036,-3.53448,-3.43607,-3.60863,-3.53615,-3.47065,-3.46036,-3.48012,-3.49314,-3.6856,-4.17367,-3.46962,-3.63258,-3.50482,-3.47065,-3.60863,-4.37406,-4.06611,-3.49185,-3.48012,-3.55116,-3.4672,-3.60863,-3.48128,-3.46962,-3.45311,-9.77715,-9.77715,-3.4383,-3.48128,-4.14791,-3.43905,-3.92096,-3.4323,-4.23956,-3.45311,-3.43607,-3.43607,-3.48128,-4.17367,-3.50624,-4.07023,-3.63027,-3.60863,-3.511,-3.85374,-3.85374,-3.44554,-3.60863,-4.03106,-3.60863,-3.90851,-3.45311,-3.60863,-3.46962,-3.45311,-3.45311,-3.51903,91.2303,101.189,79.9298,88.345,93.0324,123.974,104.824,93.5887,112.781,105.024,98.5904,112.611,87.7069,100.179,94.7881,104.38,122.712,110.992,123.528,99.0666,94.5923,113.576,114.936,113.983,110.929,86.7869,111.364,87.6318,100.809,109.282,96.9063,93.2813,111.882,101.602,117.719,108.588,102.274,81.2435,110.951,107.962,105.738,101.285,109.411,87.6599,98.9862,108.293,99.7699,89.2529,94.3803,106.109,128.242,97.3454,120.201,99.4043,109.881,96.4463,114.905,106.145,113.485,103.021,100.876,112.335,102.409,101.158,105.911,111.767,111.519,109.94,84.0201,112.172,83.8799,114.622,110.455,107.066,75.7365,93.964
-233.126,0.993074,0.310617,3,7,0,234.562,103.93,0.46543,12.9694,103.625,104.556,103.16,100.833,104.556,105.487,107.349,103.632,103.625,103.16,106.418,101.298,105.022,104.091,106.883,102.229,101.764,106.418,106.883,104.091,100.833,102.229,105.487,103.16,106.883,105.953,104.091,104.556,105.032,106.418,107.814,105.022,103.16,102.229,102.695,105.953,105.487,105.953,103.625,104.055,102.229,103.625,106.418,102.229,105.953,105.953,104.867,103.625,105.022,103.283,101.764,104.556,105.732,102.229,100.833,100.833,103.625,105.032,104.556,103.625,101.764,102.229,100.833,100.833,100.833,107.814,102.229,103.16,102.229,105.177,102.229,102.229,106.418,102.229,102.229,104.556,-6.8425,-4.19051,-6.7501,-11.1625,-3.56962,-3.54207,-3.50243,-3.58459,-4.0334,-3.99634,-4.02988,-3.70661,-4.14842,-3.58533,-3.51041,-3.66103,-3.49078,-3.51967,-3.51041,-3.58533,-3.4836,-3.66103,-3.57104,-3.51122,-3.51041,-3.53023,-3.53128,-3.69916,-4.13323,-3.51967,-3.66305,-3.5552,-3.51122,-3.66103,-4.37174,-4.0681,-3.54207,-3.53023,-3.60232,-3.52086,-3.66103,-3.52061,-3.51967,-3.49631,-9.24877,-9.24877,-3.49117,-3.52061,-4.14842,-3.4932,-3.89289,-3.48245,-4.19629,-3.49631,-3.4836,-3.4836,-3.52061,-4.13323,-3.54324,-4.0334,-3.68318,-3.66103,-3.54033,-3.83037,-3.83037,-3.49573,-3.66103,-3.99634,-3.66103,-3.89849,-3.49631,-3.66103,-3.51967,-3.49631,-3.49631,-3.56962,114.742,95.7965,119.974,102.2,114.04,93.5229,96.871,119.218,121.234,111.978,106.893,114.207,112.462,64.0222,101.743,85.6995,79.6859,117.144,100.727,100.297,108.188,115.045,85.8176,113.09,108.592,70.9163,136.408,116.108,116.338,115.544,107.423,100.624,104.576,115.431,115.12,128.074,99.7374,137.498,113.495,84.5048,96.834,100.579,120.334,93.4189,116.444,115.604,121.078,86.1949,110.066,87.5216,94.3171,98.7876,74.6329,128.771,100.82,120.376,99.9577,112.399,97.063,77.9122,90.465,101.835,79.6401,121.469,96.7438,103.081,93.8911,94.8915,108.365,110.013,100.239,106.601,92.2825,113.327,111.855,99.3969
